# OF Trades,Index,DATE,HOME,0,AWAY,Market,EXP.,EXP Y/N,Score,Open BACK ODDS,SUCCESS,WON B/L,Goals (minutes)
0,46,41741,NOTTS COUNTY,0,8,0,3.37,0,2-Apr,1.67,0,0,"34, 48, 27, 85, 13, 25"
0,66,41744,VELEZ SARSFIELD,0,QUILMES,0,3.21,0,12,2.4,0,0,"28, 8, 5, 17"
0,82,41748,FOREST GREEN,0,WOKING,0,3.42,0,0,1.74,0,0,"91, 33, 90, 68"
0,83,41748,HALIFAX,0,MACCLESFIELD,0,3.34,0,6,1.74,0,0,"22, 45, 18"
0,84,41748,DUMBARTON,0,QUEEN OF SOUTH,0,3.25,0,5,1.7,1,0,"52, 66 (NOT IN PLAY), 17"
0,91,41749,GRODIG,0,RAPID VIENNA,0,3.12,0,0,1.73,0,0,"51, 25, 43, 12"
0,92,41749,AALBORG,0,RANDERS,0,3.13,0,1,1.77,0,0,"15, 37, 11"
1,1,41733,ADELAIDE,0,MELBOURNE,0,3.24,0,0,1.8,0,0,"1, 93, 33, 42"
1,2,41733,0,0,DUSSELDORF,0,3.26,0,1,1.97,0,0,"76, 53, 42"
1,3,41733,SPARTAK MOSCOW,0,URAL,0,3.57,1,2,1.9,1,1,20
1,7,41733,TEPLICE,0,PRIBRAM,0,3.71,1,4,1.84,1,1,84
1,9,41733,MARSEILLE,0,AJACCIO,0,3.04,0,3,1.71,2,0,"60, 4, 61, 76"
1,10,41733,1,0,LEVERKUSEN,0,3.3,0,6,1.67,2,0,"82, 4, 58"
1,30,41736,3,0,4,0,3.99,1,8,1.7,2,1,"32, 35"
1,31,41736,JONG ALAX,0,EINDHOVEN,0,4.01,0,1,1.7,2,0,"37, 42"
1,32,41736,JONG PSV,0,DEN BOSCH,0,3.27,0,4-Jan,1.7,2,0,"62, 85, 14, 72, 35"
1,33,41736,DIN. BUCURESTI,0,OTELUL,0,3.06,0,3,2.14,2,0,"44, 65, 60, 52"
1,34,41736,METZ,0,5,0,3.23,0,6,2.18,2,0,"39, 18, 53"
1,35,41737,WATFORD,0,LEEDS,0,3.19,0,11,1.85,2,0,"32, 9, 67"
1,36,41737,4,0,GILLINGHAM,0,3.3,1,8,1.8,2,1,"58, 42"
1,37,41740,BELUPO,0,6,0,3.19,0,6,1.75,0,0,"79, 69, 81"
1,38,41740,M.DONETSK,0,SEVASTOPOL,0,3.96,0,11,1.97,0,0,"16, 18, 36"
1,39,41740,ISTRES,0,CAEN,0,3.38,0,14,2.05,0,0,"25, 63, 17, 87, 22"
1,40,41740,TOURS,0,7,0,4.18,0,1,1.75,0,0,"15, 92, 86"
1,41,41740,SCHALKE,0,EIN. FRANKFURT,0,3.13,1,8,1.57,1,1,"59, 91"
1,43,41741,HANNOVER,0,HAMBURG,0,3.47,0,6,1.97,0,0,"48, 9, 26"
1,44,41741,MGLADBACH,0,STUTTGART,0,3.43,1,7,1.69,1,1,"89, 12"
1,47,41741,4,0,COVENTRY,0,3.72,1,4,1.82,1,1,6
1,48,41741,NACIONAL,0,MARITIMO,0,3.13,1,8,2.12,1,1,"7, 89"
1,49,41741,ZENIT,0,9,0,3.42,0,1-Apr,1.76,0,0,"52, 64, 94, 21, 81"
1,50,41741,GORNIK,0,LECH POZNAN,0,3.17,0,5,1.99,0,0,"31, 34, 51"
1,51,41741,AC WOLFSBERGER,0,GRODIG,0,3.79,0,1,1.64,0,0,"93, 19, 89"
1,52,41741,SABADELL,0,GIJON,0,3.29,1,8,1.83,1,1,"89, 85"
1,53,41742,LOCOMOTIV,0,ANZHI,0,3.02,1,13,2.14,1,1,0
1,54,41742,BETIS,0,SEVILLA,0,3.25,1,15,1.86,1,1,"82, 30"
1,55,41742,LYNGBY,0,HVIDORE,0,3.05,0,9,1.92,0,0,"59, 76, 85, 24, 34"
1,57,41742,PLZEN,0,JIHLAVA,0,3.94,1,7,1.76,1,1,"46, 82"
1,58,41742,FC PORTO,0,OLIVEIRENSE,0,3.29,0,1,1.98,0,0,"68, 29, 64"
1,63,41743,PANDURII,0,NAVODARI,0,3.29,1,13,2.14,1,1,0
1,64,41743,ESTORIL,0,FERREIRA,0,3.26,1,4,2.44,1,1,41
1,65,41744,RIJEKA,0,ZADAR,0,3.23,0,11,1.67,0,0,"70, 25, 16"
1,67,41745,DINAMO KIEV,0,SHAKHTAR,0,3.5,1,15,1.86,0,1,"34, 10"
1,70,41746,HVIDORE,0,FREDERICA,0,3.1,0,6,2.06,0,0,"9, 68, 37"
1,71,41746,MARIENLYST,0,LYNGBY,0,3.59,0,5,1.6,0,0,"70, 82, 88"
1,72,41746,AUE,0,DRESDEN,0,2.74,1,8,2.14,0,1,"19, 6"
1,73,41746,FRANKFURT,0,HANNOVER,0,2.8,0,14,1.74,0,0,"29, 20, 13, 68, 2"
1,74,41747,BRISTOL CITY,0,NOTTS COUNTRY,0,3.64,0,6,1.8,0,0,"86, 13, 30"
1,75,41747,2,0,TRANMERE,0,3.31,1,8,1.82,1,1,"78, 93"
1,76,41747,NIMES,0,5,0,3.53,1,4,1.98,1,1,67
1,77,41747,TROYES,0,7,0,3.48,0,5,1.68,0,0,"20, 70, 30"
1,78,41748,TOTTENHAM,0,FULHAM,0,3.4,0,3,1.7,0,0,"48,  62, 34, 37"
1,79,41748,AC MILAN,0,4,0,3.39,0,11,1.65,0,0,"51, 84, 43"
1,80,41748,BRAUNSCHWEIG,0,1,0,3.13,1,15,1.47,1,1,"86, 75"
1,81,41748,NOTTS FOREST,0,BIRMINGHAM,0,3.22,1,4,1.76,1,1,2
1,85,41748,CHELSEA,0,SUNDERLAND,0,3.1,0,1,1.7,0,0,"18, 80"
1,86,41748,1,0,WOLFSBERG,0,3.69,0,12,1.7,0,0,"2, 58, 42, 49"
1,87,41748,3,0,BOLOGNA,0,3.16,1,2,1.7,1,1,63
1,88,41749,0,0,GREUTHER FURTH,0,3.69,0,0,2.12,0,0,"74, 35, 59"
1,89,41749,DYNAMO MOSCOW,0,9,0,3.42,0,1,2.06,0,0,"81, 73, 27"
1,90,41749,HORSENS,0,AB,0,3.79,1,13,1.75,1,1,0
1,93,41749,STUTTGART,0,2,0,3.38,0,3,1.76,0,0,"69, 23, 59, 54"
1,95,41750,BIRMINGHAM,0,BLACKBURN,0,2.9,0,4-Feb,1.82,0,0,"24, 20, 63, 84, 10, 48"
1,96,41750,ROTHERHAM,0,8,0,3.68,1,4,1.75,1,1,79
1,97,41750,HAJDUK SPLIT,0,6,0,3.09,0,0,1.79,0,0,"66, 56, 31"
1,98,41750,ATHLONE,0,DUNDALK,0,5.32,1,2,1.6,1,1,94
1,99,41750,ANTALYASPOR,0,SILVASSPOR,0,3.07,0,1,1.9,0,0,"67, 84, 53"
2,42,41741,GREUTHER FURTH,0,AUE,0,3.39,0,6,1.79,0,0,"38, 17, 58"
2,45,41741,KARPARTY,0,DINAMO KIEV,0,3.02,0,0,2.02,0,0,"32, 58, 73, 48"
2,56,41742,LIVERPOOL,0,MAN CITY,1,4.16,0,9,2.48,0,0,"57, 6, 26, 78, 62"
2,59,41742,OLYMPIAKOS,0,APOLLON SMIRNIS,0,4.55,1,4,1.63,1,1,88
2,60,41743,FC BRNO,0,SIGMA OLOMOUC,0,3.17,1,8,2.18,1,1,"94, 70"
2,61,41743,V. NOVGOROD,0,DINAMO MOSCOW,0,3.34,0,16,2.0,0,0,"74, 53, 84, 91, 75"
2,62,41743,ELAZIGSPOR,0,GAZIANTEPSPOR,0,3.65,0,6,2.04,0,0,"83, 90, 34"
2,69,41745,VIBORG,0,AALBORG,0,3.69,1,15,1.74,0,1,"49, 59"
2,94,41750,DEN BOSCH,0,0,1,3.6,1,7,2.16,1,1,"70, 39"
3,68,41745,GRASSHOPPER,0,3,0,3.1,0,16,1.86,0,0,"60, 6, 45, 27"
3,100,41751,DINAMO ZAGREB,0,HRVATSKI DRAGOVOLJAC,0,3.35,0,10,1.47,0,0,"50, 64, 90, 62, 28"
