Subtitle,Account Name,Contract Start Date,Membership Category,Website
Suppliers and Manufacturers,Denim de L'Ile,41730.0,4,
Suppliers and Manufacturers,PT Sri Rejeki Isman,42675.0,4,
Civil Society,Prakruthi,41883.0,1,www.prakruthi.org
Suppliers and Manufacturers,Idupulapadu Cotton Mills Pvt. Ltd.,41640.0,7,
Suppliers and Manufacturers,"Zhucheng Chinatex G-Way Textile Co,.Ltd",42767.0,7,www.g-way.cn
Producer Organisation,Indus Farmers Welfare Association (IFWA) Ghotki.,41974.0,2,
Suppliers and Manufacturers,"Qingdao Jifa Shengbao Textile Co., Ltd",42125.0,7,
Suppliers and Manufacturers,Qingdao Textile Group Fabric Co. Ltd.,41821.0,4,
Suppliers and Manufacturers,Sindh Agro Industries,41730.0,12,
Suppliers and Manufacturers,"Foshan Xindongpo Textile Co., Ltd",42522.0,7,
Suppliers and Manufacturers,Cofco Agri Ltd.,42430.0,12,
Retailers and Brands,"Williams-Sonoma, Inc.",42309.0,3,www.williams-sonomainc.com
Suppliers and Manufacturers,Reha Tekstil Dis Ticaret ve San A.S,42522.0,9,
Civil Society,Development Support Centre,42736.0,1,www.dscindia.org
Suppliers and Manufacturers,Midland Knitwear Ltd,42644.0,9,www.mfgbd.net
Suppliers and Manufacturers,Vertical Knits SA DE CV,42186.0,6,
Suppliers and Manufacturers,"Hunan Dongxin Group Co.,Ltd",42430.0,4,
Suppliers and Manufacturers,"Yixing Jin Yu Textile Co., Ltd",42705.0,,www.qfc.cn/company/d408466/
Suppliers and Manufacturers,PT. Embee Plumbon Tekstil,42675.0,7,www.embeetex.com
Suppliers and Manufacturers,Grospinz Fabz Limited,41883.0,7,
Suppliers and Manufacturers,Hantex,40787.0,4,
Suppliers and Manufacturers,Pee Vee Textiles Ltd,42156.0,4,
Suppliers and Manufacturers,Zibo Yinshilai Textile Co. Ltd.,41671.0,9,
Suppliers and Manufacturers,Tavex Europe S.L.,42430.0,4,
Suppliers and Manufacturers,SM Spinning Mills Ltd,42522.0,7,
Civil Society,Coastal Salinity Prevention Cell,42156.0,1,www.cspc.org.in
Suppliers and Manufacturers,Super Spinning Mills,40848.0,7,
Suppliers and Manufacturers,Manufacturas Kaltex SA de CV,42370.0,4,
Suppliers and Manufacturers,Soorty Enterprises (Pvt.) Ltd.,40878.0,4,
Suppliers and Manufacturers,Karacasu Tekstil,40848.0,7,
Suppliers and Manufacturers,RKS Cotton Pvt Ltd,42644.0,12,
Suppliers and Manufacturers,Namoi Cotton Alliance,42186.0,12,
Suppliers and Manufacturers,Masood Textile Mills Ltd.,42036.0,4,
Suppliers and Manufacturers,Fiasul Industria de Fios LTDA,,7,www.fiasul.com.br
Suppliers and Manufacturers,Faircot SA,42461.0,12,www.faircot.ch
Suppliers and Manufacturers,Technocraft Industries Limited,41974.0,7,
Suppliers and Manufacturers,Saiham Textile Mills Ltd,42767.0,7,www.saihamtextile.com
Civil Society,Community Action For Rural Development Society,41913.0,1,cardanj.org
Suppliers and Manufacturers,Pratibha Syntex Ltd.,41579.0,4,
Suppliers and Manufacturers,Vijay Pratisthan,42370.0,12,
Suppliers and Manufacturers,Din Dayal Purushottam Lal,42339.0,12,
Suppliers and Manufacturers,Naheed Composite Textile Mills Limited,41821.0,7,
Civil Society,Udyansh Gramin Samaj Sewa Samiti (UGSSS),42491.0,1,www.udyansh.org.in
Producer Organisation,Auscott Ltd.,41640.0,2,www.auscott.com.au
Suppliers and Manufacturers,Kipas Mensucat,40544.0,4,
Suppliers and Manufacturers,Thermax Group,41821.0,4,
Suppliers and Manufacturers,Weiqiao Textile Co. Ltd.,41821.0,4,
Suppliers and Manufacturers,Dezhou Huayuan Eco-Technology Co.,41334.0,7,
Suppliers and Manufacturers,Cocamar Cooperativa Agroindustrial,42767.0,7,www.cocamar.com.br
Suppliers and Manufacturers,"Ningbo win-win Melange Yarn Co.,Ltd",42522.0,7,
Suppliers and Manufacturers,Eastern Garments (Pvt.) Limited,42583.0,6,
Suppliers and Manufacturers,SCM Textile Spinners (A Unit of Space Textiles Pvt. Ltd.),41671.0,4,
Suppliers and Manufacturers,Sitex-Swift,42036.0,4,
Suppliers and Manufacturers,United Spinning Mills (Pvt) Ltd.,42705.0,7,
Suppliers and Manufacturers,Aarvee Denims And Exports Limited,41974.0,7,
Suppliers and Manufacturers,Balavigna Weaving Mills Pvt Ltd,42705.0,6,www.balavignaorganic.com
Suppliers and Manufacturers,Diamond International Co. Ltd.,42309.0,7,
Suppliers and Manufacturers,Interloop Ltd.,41395.0,4,
Suppliers and Manufacturers,Maharaja Shree Umaid Mills Ltd,42370.0,7,
Suppliers and Manufacturers,Kongkiat Textile,42370.0,7,
Suppliers and Manufacturers,Singhal Spintex Pvt. Ltd.,42036.0,7,
Suppliers and Manufacturers,"Xinjiang Huasheng Spin Co,.Ltd",42644.0,,
Retailers and Brands,IdKIds Sas,42370.0,3,www.idgroup.com
Suppliers and Manufacturers,Hebi Chaoge Cotton Yarn Co. Ltd.,41640.0,7,
Suppliers and Manufacturers,Vaibhav Laxmi Export Pvt. Ltd.,40848.0,12,
Producer Organisation,Xinjiang Luthai Fengshou Cotton Industry Co. Ltd.,41244.0,2,www.ltfsmy.com
Retailers and Brands,Ikea Supply AG,40179.0,3,www.IKEA.com
Suppliers and Manufacturers,Zahidjee Textile Mills Limited,42736.0,4,www.zahidjee.com.pk
Suppliers and Manufacturers,Ayabe Co. Ltd,42491.0,7,
Producer Organisation,Farmers Associates of Pakistan,40179.0,2,www.farmersassociates.com
Suppliers and Manufacturers,"Anhui Hanlian Textile co.,Ltd",42491.0,7,
Suppliers and Manufacturers,Siruvani Yarns,42736.0,7,
Suppliers and Manufacturers,Hebei Ningfang Group Co. Ltd.,41579.0,4,
Suppliers and Manufacturers,Kamal Ltd.,42036.0,9,
Suppliers and Manufacturers,Aman Spinning Mills,41395.0,7,
Suppliers and Manufacturers,Shristi Cotspin Pvt Ltd,42736.0,4,www.shristicotspinn.in
Suppliers and Manufacturers,Prilla 2000 (Pty) Ltd.,42036.0,7,
Suppliers and Manufacturers,"Jiangsu Guotai International Group Guohua Corp.,Ltd",42064.0,4,
Suppliers and Manufacturers,Rasi Tex (India) Pvt Ltd,42064.0,7,
Suppliers and Manufacturers,"Ningbo Yu Tai  Thread Industrial Co.,Ltd",42491.0,7,
Associate Members,United States Fashion Industry Association (USFIA),42278.0,0,www.usfashionindustry.com
Retailers and Brands,Ralph Lauren Corporation,42491.0,3,www.ralphlauren.com
Suppliers and Manufacturers,Armstrong Spinning Mills Pvt Ltd,42278.0,7,
Suppliers and Manufacturers,Ambika Cotton Mills Ltd,42309.0,7,
Suppliers and Manufacturers,PT Argo Pantes TBK,42430.0,4,
Suppliers and Manufacturers,Ashima Group,40634.0,4,
Suppliers and Manufacturers,Jiangsu Huabao Textile Group,41579.0,7,
Suppliers and Manufacturers,"Zhejiang Shengfu Trading Co., Ltd",42522.0,12,
Suppliers and Manufacturers,"Sichuan Tian Yi Textiles Co.,Ltd",42156.0,7,
Suppliers and Manufacturers,Loftex Industries Ltd.,42705.0,,www.loftex.com.cn
Suppliers and Manufacturers,Isil Tekstil San. ve Tic. Ltd. Sti.,42036.0,4,
Suppliers and Manufacturers,Arvind Dyeing & Bleaching Mills Pvt Ltd,42461.0,7,
Suppliers and Manufacturers,PT Bitratex Industries,42491.0,7,
Suppliers and Manufacturers,Ucak Tekstil Turizm A.S.,41609.0,4,
Retailers and Brands,No Ordinary Designer Label ltd (Ted Baker),42461.0,3,www.tedbaker.com
Suppliers and Manufacturers,Badsha Textiles Ltd,42309.0,7,
Suppliers and Manufacturers,Master Textile Mills Ltd.,41153.0,4,
Suppliers and Manufacturers,Alpine Knits India Pvt. Ltd.,41671.0,7,
Suppliers and Manufacturers,Naveena Exports Ltd.,40513.0,4,
Retailers and Brands,Levi Strauss & Co.,40179.0,3,www.levistrauss.com
Suppliers and Manufacturers,"Xiajin County Ruixin Textile Co.,Ltd",42430.0,7,
Suppliers and Manufacturers,"Black Peony Group Import &Export  Co.,Ltd.",42795.0,,www.blackpeony.com
Suppliers and Manufacturers,Wuxi Jingwei Textile Technology Test Co. Ltd.,41579.0,7,
Suppliers and Manufacturers,"Nanpi Huayu Cotton Industry Co.,Ltd",42248.0,7,
Suppliers and Manufacturers,Ravali Spinners Pvt Ltd,42064.0,7,
Suppliers and Manufacturers,Cetinkaya Mensucat San ve Tic A.S,42430.0,4,
Suppliers and Manufacturers,K. T. Spinning Mills Pvt Ltd,42705.0,7,
Suppliers and Manufacturers,Shandong Pingyang Textile Co. Ltd.,41821.0,7,
Suppliers and Manufacturers,"Xinjiang Litai Silk Road Investment  Co., LTD",42644.0,7,www. jinshengroup.com
Suppliers and Manufacturers,"Yarns&Colors Co.,Ltd",42644.0,7,www.yarnscolors.com
Retailers and Brands,Hemtex AB,40179.0,3,www.hemtex.com
Suppliers and Manufacturers,South Asia Textile Industries Lanka (Pvt) Ltd.,42614.0,6,
Suppliers and Manufacturers,Faisal Fabrics Ltd.,42248.0,6,
Associate Members,Cotton Connect,40179.0,0,www.cottonconnect.org
Suppliers and Manufacturers,"Changyi Huachen Yuesheng Textile Co.,Ltd",42339.0,7,
Suppliers and Manufacturers,Dalian Shenzhou Textiles Co. Ltd. Group,41030.0,7,
Suppliers and Manufacturers,"Akesu Youngor Textile Co.,Ltd",42156.0,7,
Suppliers and Manufacturers,SEL Manufacturing Co. Ltd.,41030.0,7,
Suppliers and Manufacturers,"Siam Kurabo Co., Ltd",42430.0,7,
Suppliers and Manufacturers,Fazal Industries,42614.0,5,
Suppliers and Manufacturers,Ugurlular Tekstil San Tic A.S,42186.0,7,
Suppliers and Manufacturers,GTN Industries/GTN Engineering (India) Ltd.,40940.0,4,
Suppliers and Manufacturers,R Group,42217.0,9,
Suppliers and Manufacturers,Cotton Blossom (India) Pvt Ltd,42370.0,7,
Retailers and Brands,Coop,42522.0,3,www.coop.ch
Suppliers and Manufacturers,Aggressive Textrade Pvt Ltd,42705.0,12,www.atplcotton.com
Suppliers and Manufacturers,Iris Fabrics Ltd,42491.0,6,
Suppliers and Manufacturers,Basyazicioglu Tekstil San. ve Tic. A.S. (AKA Bamen),41091.0,7,
Suppliers and Manufacturers,Dhancot Fibres Pvt. Ltd.,42522.0,12,
Suppliers and Manufacturers,Shri Dhanalakshmi Spintex Pvt Ltd,42736.0,7,www.shridhanalakshmi.com
Producer Organisation,Nimad Farmers Producer Company,41153.0,2,
Suppliers and Manufacturers,Mr. Fabrics ( Pvt. ) LTD.,42430.0,6,
Suppliers and Manufacturers,GRG Cotspin Pvt Ltd,42705.0,7,www.grggroup.in
Suppliers and Manufacturers,Chin Hung Fibres Ltd,42430.0,7,
Suppliers and Manufacturers,IFC,41456.0,Financial Institutions,www.ifc.org
Retailers and Brands,KID Interior AS,42583.0,3,www.kid.no
Suppliers and Manufacturers,Shangtex YuFeng,41091.0,7,
Suppliers and Manufacturers,Garg Acrylics Ltd.,41000.0,7,
Suppliers and Manufacturers,Pioneer Knitwears (BD) Ltd,42461.0,6,
Suppliers and Manufacturers,Rameswar Udyog Pvt Ltd,42491.0,4,
Suppliers and Manufacturers,"Xiajin county tianrun textile co., Ltd",42430.0,7,
Suppliers and Manufacturers,Sagar Manufacturers Pvt Ltd,42705.0,7,www.sagarmanufacturers.com
Suppliers and Manufacturers,"Changzhou Hengji Textile Co., Ltd",42156.0,4,
Suppliers and Manufacturers,Calik Group,41334.0,4,
Civil Society,MYKAPS (MYRADA Kaveri Pradeshika Samsthe),41456.0,1,www.mykaps.in
Civil Society,Lok Sanjh Foundation,41579.0,1,www.loksanjh.org
Suppliers and Manufacturers,AA Coarse Spun Ltd,42552.0,7,
Suppliers and Manufacturers,CHTC Dayao Textile Co. Ltd.,41760.0,10,
Suppliers and Manufacturers,"Zhejiang Lucky Bird Textile Co.,Ltd",41944.0,7,
Suppliers and Manufacturers,Aman Cotton Fibrous Limited,42095.0,7,
Suppliers and Manufacturers,WestPoint Home LLC,42552.0,4,
Retailers and Brands,Bestseller,40787.0,3,www.bestseller.com
Suppliers and Manufacturers,Shao Guan Shun Chang Weaving Factory Ltd,42491.0,6,
Suppliers and Manufacturers,Nithin Textiles Pvt. Ltd.,42125.0,7,
Civil Society,Kamalnayan Jamnalal Bajaj Foundation,42461.0,1,www.bajajfoundation.org
Suppliers and Manufacturers,Alok Industries Ltd.,40878.0,4,
Suppliers and Manufacturers,Machiyara Group,41487.0,9,
Suppliers and Manufacturers,Candiani S.p.A.,40664.0,4,
Suppliers and Manufacturers,Jihua 3542 Textile Co. Ltd.,41760.0,4,
Retailers and Brands,Burberry Ltd,42217.0,3,www.uk.burberry.com
Suppliers and Manufacturers,Tamijuddin Textile Mills Ltd,42491.0,7,
Suppliers and Manufacturers,Pride Manufacturing de R.L.,42705.0,4,www.grupokarimsyarn.com
Suppliers and Manufacturers,"Chonbang Co, Ltd",42339.0,4,
Suppliers and Manufacturers,Societe de Developpement et des Fibres Textiles (SODEFITEX),41730.0,11,
Suppliers and Manufacturers,Brastex S/A,42736.0,4,www.gso.br/brastex/index.htm
Suppliers and Manufacturers,"XianYang China Resources Textiles Co.,Ltd",42248.0,4,
Suppliers and Manufacturers,Sri Velayudhaswamy Spinning Mills Pvt Ltd.,42036.0,7,
Producer Organisation,Xinjiang Taichang Industrial Co. Ltd.,41334.0,2,
Suppliers and Manufacturers,Kikani Enterprises Pvt Ltd,42278.0,10,
Suppliers and Manufacturers,His Tekstil Sanayi ve Ticaret Ltd Sti,42767.0,7,www.histekstil.com.tr
Associate Members,All Pakistan Textile Mills Association (APTMA),40179.0,0,www.aptma.org.pk
Suppliers and Manufacturers,Shakthi Knitting Ltd,42370.0,6,
Suppliers and Manufacturers,"Gemma Knits (Thailand) Co., Ltd.",42705.0,6,
Suppliers and Manufacturers,Internet Tekstil San. ve Tic. A.S.,41913.0,4,
Suppliers and Manufacturers,Gul Ahmed Textile Mills,40848.0,4,
Retailers and Brands,Marimekko Corporation,41579.0,3,company.marimekko.fi
Suppliers and Manufacturers,Siddiqsons Ltd.,41030.0,4,
Suppliers and Manufacturers,Spectrum International Pvt. Ltd.,41426.0,12,
Suppliers and Manufacturers,M/S. P.D. Sekhsaria Trading Co. Pvt. Ltd.,40940.0,12,
Suppliers and Manufacturers,Henan Pingmian Textile Group,41487.0,4,
Suppliers and Manufacturers,PT Kurabo Manunggal Textile Industries (Kumatex),41883.0,4,www.kumatex.com
Suppliers and Manufacturers,Outpace Spinning Mills,41456.0,7,
Suppliers and Manufacturers,Silteks Tekstil San Tic A.S,42370.0,7,
Suppliers and Manufacturers,Suryalakshmi Cotton Mills Ltd.,41640.0,7,
Suppliers and Manufacturers,Umer Group,40664.0,4,
Suppliers and Manufacturers,Hebei  Hongrun  New  Type  Material Co.Ltd,42705.0,,www.ch-run.cn
Suppliers and Manufacturers,Sirikcioglu Mensucat,41214.0,4,
Suppliers and Manufacturers,Erve Buying,42736.0,Sourcing Agent,www.erve.com
Suppliers and Manufacturers,Nisshinbo Textile Group,42614.0,7,
Suppliers and Manufacturers,Panasian Impve Pvt Ltd,42736.0,12,www.panasian.co.in
Suppliers and Manufacturers,Mambo Commodities,42036.0,12,
Suppliers and Manufacturers,Zephyr Textiles Ltd.,42767.0,,
Suppliers and Manufacturers,Mercury Fabrics Pvt. Ltd.,42217.0,6,
Suppliers and Manufacturers,"An Hui Yu Hua Textile Co.,Ltd",42644.0,7,www.AHYHFZ.com
Suppliers and Manufacturers,"Turbo Yarn, S.A. de C.V.",42675.0,7,www.turboyarn.com.mx
Suppliers and Manufacturers,Azgard Nine Ltd,42095.0,4,
Civil Society,Ambuja Cement Foundation,40575.0,1,www.ambujacementfoundation.org
Retailers and Brands,VF Corporation,41091.0,3,www.vfc.com
Retailers and Brands,C&A AG,42248.0,3,www.c-and-a.com
Suppliers and Manufacturers,"Jiangyin Haima fancy yarn Co., Ltd",42036.0,7,
Suppliers and Manufacturers,Sutlej Textiles & Industries Ltd.,41974.0,7,
Suppliers and Manufacturers,M/S Seeds & Grains India Pvt. Ltd.,41913.0,12,
Suppliers and Manufacturers,GTN Group of Companies,40360.0,4,
Associate Members,Wakefield Inspection Services,41456.0,0,www.wiscontrol.com
Suppliers and Manufacturers,Nazar Tekstil San. Tic. A.S.,42248.0,7,
Suppliers and Manufacturers,Zahra Textile,42583.0,7,
Suppliers and Manufacturers,Jiangsu Xinfang Science & Technology Group Co. Ltd.,41883.0,7,
Retailers and Brands,Varner Retail AS,42491.0,3,www.varner.com
Suppliers and Manufacturers,DBL Group,41609.0,4,
Suppliers and Manufacturers,Sri Sivajothi Spinning Mills Pvt Ltd,42736.0,7,
Suppliers and Manufacturers,Tulip Towel Industries (Pvt) Ltd.,42705.0,9,www.tuliptowel.com.pk
Suppliers and Manufacturers,"Sanyang textile co., LTD",42583.0,4,
Suppliers and Manufacturers,Shahi Exports Pvt. Ltd.,41944.0,4,
Civil Society,Vrutti,41913.0,1,www.vrutti.org
Suppliers and Manufacturers,"Shaanxi Qinyuan Textile Co.,Ltd",42614.0,4,
Suppliers and Manufacturers,S. B. T. Apparels Pvt Ltd,42491.0,4,
Suppliers and Manufacturers,Arik Bey Tekstil,41030.0,4,
Suppliers and Manufacturers,Avaneetha Textiles Pvt. Ltd.,42125.0,7,
Suppliers and Manufacturers,Sandipkumar Dharmendrakumar,42309.0,12,
Suppliers and Manufacturers,Markwell Spinning Pvt Ltd,42705.0,7,www.markwellspinning.com
Suppliers and Manufacturers,Al-Muqeet Textiles (Private) Limited,42125.0,7,
Suppliers and Manufacturers,Mafatlal Industries Ltd,40756.0,7,
Suppliers and Manufacturers,Panther Textile Holding Co. Ltd. (Tat Fung Textile Co.),41579.0,4,
Suppliers and Manufacturers,DD Cotton Pvt Ltd,42644.0,12,www.ddcotton.com
Suppliers and Manufacturers,Mem Tekstil Sanayi ve Ticaret A.S,42156.0,4,
Suppliers and Manufacturers,Imteks Giyim San. ve Tic. A.S.,41244.0,5,
Retailers and Brands,Sainsburys Supermarkets Ltd.,40179.0,3,www.sainsburys.co.uk.
Suppliers and Manufacturers,Ruchi Infrastructure Ltd.,42339.0,12,
Civil Society,Alliance for Water Stewardship (AWS),42675.0,1,www.allianceforwaterstewardship.org
Retailers and Brands,Adidas Group,40179.0,3,www.adidas-group.com
Suppliers and Manufacturers,Zafer Tekstil San. ve Tic. A.S.,42036.0,7,
Suppliers and Manufacturers,"DNM Textile for Spinning, Weaving and Dyeing",41487.0,4,
Producer Organisation,Cotton Australia Ltd.,41456.0,2,www.cottonaustralia.com.au
Suppliers and Manufacturers,Dabiruddin Spinning Mills Ltd,42736.0,7,www.salmagroup.com.bd
Suppliers and Manufacturers,"Zaozhuang Hiyoung Dynasty Textile Co.,Ltd.",42736.0,4,
Suppliers and Manufacturers,"Jiangsu Xin Nong Xin Textile Co., Ltd",42705.0,12,2014
Suppliers and Manufacturers,"Textil Santanderina, S.A.",41974.0,4,
Civil Society,Solidaridad,40179.0,1,www.solidaridad.nl
Suppliers and Manufacturers,Square Textiles Ltd.,41579.0,7,
Suppliers and Manufacturers,Prem Textiles International Pvt Ltd,42736.0,4,www.premtextiles.com
Suppliers and Manufacturers,Textufil S.A. de C.V.,42552.0,4,
Producer Organisation,Pakistan Rural Workers Social Welfare Organisation (PRWSWO),41913.0,2,www.prwswo.org
Suppliers and Manufacturers,"Tainan Spinning  Co., Ltd",42430.0,7,
Suppliers and Manufacturers,Sangam (India) Limited,42278.0,7,
Suppliers and Manufacturers,Selcuk Iplik San. ve Tic. A.S.,42705.0,4,www.selcukgroup.com
Suppliers and Manufacturers,Camay Garments Factory Ltd.,42644.0,9,
Suppliers and Manufacturers,"Wahoo(Changshu) Imp&Exp Co., Ltd",41883.0,12,
Retailers and Brands,KappAhl Sverige AB,40179.0,3,www.kappahl.com
Suppliers and Manufacturers,Buhler Group,42339.0,7,
Suppliers and Manufacturers,Green House Ltd,41974.0,7,
Suppliers and Manufacturers,Uspar Tekstil San. ve Tic. A.S.,41640.0,4,
Producer Organisation,Akesu Jintian Farm Co. Ltd.,41244.0,2,
Suppliers and Manufacturers,Jytx Textile Co. Ltd.,41730.0,4,
Suppliers and Manufacturers,Adwaith Textiles Ltd,42552.0,7,
Suppliers and Manufacturers,"Changzhou Mao qi textile co., LTD",42186.0,7,
Suppliers and Manufacturers,"Hebei Spring Textiles  Co., Ltd",41913.0,7,
Suppliers and Manufacturers,Kohinoor Mills Ltd,42036.0,6,
Suppliers and Manufacturers,Ipek Tekstil ve Dis Tic. A.S,42339.0,7,
Suppliers and Manufacturers,"Alroubaia Textile Co. ""FOURTEX""",42736.0,7,www.sharabati-denim.com
Suppliers and Manufacturers,Novetex Textiles Ltd.,41821.0,7,
Suppliers and Manufacturers,"Changzhou Qunda Textile Co. Ltd., Jiangsu Daoda Textile Technology Co. Ltd.",41579.0,7,
Suppliers and Manufacturers,Premier Fine Linens Pvt Ltd,42767.0,Home Textiles,
Suppliers and Manufacturers,Tamishna Synthetics Ltd,42522.0,7,
Suppliers and Manufacturers,Sintex Industries Ltd (Yarn Division),42491.0,7,
Suppliers and Manufacturers,"Xinjiang Ruisheng Textile Co.,Ltd",42522.0,7,
Suppliers and Manufacturers,Chenduran Cotspin (India) Pvt Ltd,42767.0,7,
Suppliers and Manufacturers,"Jiaozuo Haihua Textile Co.,Ltd",42186.0,7,
Retailers and Brands,Next Retail Ltd,42248.0,3,www.next.co.uk
Suppliers and Manufacturers,Ginni Filaments Ltd.,41671.0,7,
Suppliers and Manufacturers,Square Corporation,42614.0,Non-lint Trader,www.square-corp.com
Suppliers and Manufacturers,Shijiazhuang Changshan Hengxin Textile Co. Ltd.,41760.0,7,
Retailers and Brands,HEMA B.V.,41974.0,3,www.hema.nl
Suppliers and Manufacturers,Zhejiang Saintyear Textile Co. Ltd.,41122.0,6,
Suppliers and Manufacturers,"Jiangsu Sunshine Textile Co.,Ltd",41791.0,4,
Retailers and Brands,La Redoute,42614.0,3,www.laredoute.fr
