Account Name,Contract Start Date,Membership Category,Website
"Kuk Il Spinning Co., Ltd",42705.0,7,
Hussain Mills,40756.0,4,
Rajvir Industries Ltd.,40360.0,7,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Aarti International Ltd.,41671.0,7,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
FM Denim Co Ltd,42217.0,4,
Civil Society,,,
Suppliers and Manufacturers,,,
Zhong Xiang Waisun Textiles Company Limited,42186.0,7,
Prabhu Spinning Mills Pvt. Ltd.,42036.0,7,
"Gildan Yarns, LLC",42278.0,7,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Dong- Il Vietnam Co., Ltd",42644.0,7,www.dong-il.com
Plexus,41122.0,12,
Sudiva Spinners Pvt. Ltd.,41579.0,7,
Chenniappa Yarn Spinners Pvt Ltd,42736.0,7,www.chenniappa.com
Shree Siddhivinayak Cotspin Pvt Ltd,42705.0,7,www.sscotspin.com
"Sociedade Algodoeira do Niassa JFS, SARL",41091.0,11,
"Yancheng Xue Er Textile co., Ltd",42491.0,7,
Becri - Malhas e Confeccoes S. A.,42217.0,9,
Shreedhar Cotsyn Private Ltd.,41821.0,12,
Malwa Industries Ltd.,40787.0,4,
Anandi Entreprises,40513.0,12,
Tonrose Ltd,42614.0,9,www.tonrose.co.uk
Marteks Maras Tekstil Sanayi A.S.,42767.0,7,www.marteksmaras.com
Rajapalayam Mills Limited,41913.0,7,
Denim de L'Ile,41730.0,4,
Civil Society,,,
Suppliers and Manufacturers,,,
Idupulapadu Cotton Mills Pvt. Ltd.,41640.0,7,
Producer Organisation,,,
Suppliers and Manufacturers,,,
"Qingdao Jifa Shengbao Textile Co., Ltd",42125.0,7,
Qingdao Textile Group Fabric Co. Ltd.,41821.0,4,
Sindh Agro Industries,41730.0,12,
"Foshan Xindongpo Textile Co., Ltd",42522.0,7,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Civil Society,,,
Suppliers and Manufacturers,,,
Midland Knitwear Ltd,42644.0,9,www.mfgbd.net
Vertical Knits SA DE CV,42186.0,6,
"Hunan Dongxin Group Co.,Ltd",42430.0,4,
"Yixing Jin Yu Textile Co., Ltd",42705.0,,www.qfc.cn/company/d408466/
PT. Embee Plumbon Tekstil,42675.0,7,www.embeetex.com
Grospinz Fabz Limited,41883.0,7,
Hantex,40787.0,4,
Pee Vee Textiles Ltd,42156.0,4,
Zibo Yinshilai Textile Co. Ltd.,41671.0,9,
Tavex Europe S.L.,42430.0,4,
Civil Society,,,
Suppliers and Manufacturers,,,
Super Spinning Mills,40848.0,7,
Manufacturas Kaltex SA de CV,42370.0,4,
Soorty Enterprises (Pvt.) Ltd.,40878.0,4,
Karacasu Tekstil,40848.0,7,
RKS Cotton Pvt Ltd,42644.0,12,
Namoi Cotton Alliance,42186.0,12,
Masood Textile Mills Ltd.,42036.0,4,
Fiasul Industria de Fios LTDA,,7,www.fiasul.com.br
Faircot SA,42461.0,12,www.faircot.ch
Technocraft Industries Limited,41974.0,7,
Civil Society,,,
Suppliers and Manufacturers,,,
Pratibha Syntex Ltd.,41579.0,4,
Vijay Pratisthan,42370.0,12,
Din Dayal Purushottam Lal,42339.0,12,
Civil Society,,,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Kipas Mensucat,40544.0,4,
Thermax Group,41821.0,4,
Weiqiao Textile Co. Ltd.,41821.0,4,
Dezhou Huayuan Eco-Technology Co.,41334.0,7,
Cocamar Cooperativa Agroindustrial,42767.0,7,www.cocamar.com.br
"Ningbo win-win Melange Yarn Co.,Ltd",42522.0,7,
Eastern Garments (Pvt.) Limited,42583.0,6,
SCM Textile Spinners (A Unit of Space Textiles Pvt. Ltd.),41671.0,4,
Sitex-Swift,42036.0,4,
United Spinning Mills (Pvt) Ltd.,42705.0,7,
Aarvee Denims And Exports Limited,41974.0,7,
Balavigna Weaving Mills Pvt Ltd,42705.0,6,www.balavignaorganic.com
Diamond International Co. Ltd.,42309.0,7,
Interloop Ltd.,41395.0,4,
Maharaja Shree Umaid Mills Ltd,42370.0,7,
Kongkiat Textile,42370.0,7,
Singhal Spintex Pvt. Ltd.,42036.0,7,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Hebi Chaoge Cotton Yarn Co. Ltd.,41640.0,7,
Producer Organisation,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Zahidjee Textile Mills Limited,42736.0,4,www.zahidjee.com.pk
Producer Organisation,,,
Suppliers and Manufacturers,,,
"Anhui Hanlian Textile co.,Ltd",42491.0,7,
Siruvani Yarns,42736.0,7,
Hebei Ningfang Group Co. Ltd.,41579.0,4,
Kamal Ltd.,42036.0,9,
Aman Spinning Mills,41395.0,7,
Shristi Cotspin Pvt Ltd,42736.0,4,www.shristicotspinn.in
Prilla 2000 (Pty) Ltd.,42036.0,7,
"Jiangsu Guotai International Group Guohua Corp.,Ltd",42064.0,4,
Rasi Tex (India) Pvt Ltd,42064.0,7,
Associate Members,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Armstrong Spinning Mills Pvt Ltd,42278.0,7,
Ambika Cotton Mills Ltd,42309.0,7,
PT Argo Pantes TBK,42430.0,4,
Ashima Group,40634.0,4,
Jiangsu Huabao Textile Group,41579.0,7,
"Zhejiang Shengfu Trading Co., Ltd",42522.0,12,
"Sichuan Tian Yi Textiles Co.,Ltd",42156.0,7,
Loftex Industries Ltd.,42705.0,,www.loftex.com.cn
Isil Tekstil San. ve Tic. Ltd. Sti.,42036.0,4,
Arvind Dyeing & Bleaching Mills Pvt Ltd,42461.0,7,
PT Bitratex Industries,42491.0,7,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Badsha Textiles Ltd,42309.0,7,
Master Textile Mills Ltd.,41153.0,4,
Alpine Knits India Pvt. Ltd.,41671.0,7,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Xiajin County Ruixin Textile Co.,Ltd",42430.0,7,
"Black Peony Group Import &Export  Co.,Ltd.",42795.0,,www.blackpeony.com
Wuxi Jingwei Textile Technology Test Co. Ltd.,41579.0,7,
"Nanpi Huayu Cotton Industry Co.,Ltd",42248.0,7,
Ravali Spinners Pvt Ltd,42064.0,7,
Cetinkaya Mensucat San ve Tic A.S,42430.0,4,
K. T. Spinning Mills Pvt Ltd,42705.0,7,
Shandong Pingyang Textile Co. Ltd.,41821.0,7,
"Xinjiang Litai Silk Road Investment  Co., LTD",42644.0,7,www. jinshengroup.com
Retailers and Brands,,,
Suppliers and Manufacturers,,,
South Asia Textile Industries Lanka (Pvt) Ltd.,42614.0,6,
Associate Members,,,
Suppliers and Manufacturers,,,
"Changyi Huachen Yuesheng Textile Co.,Ltd",42339.0,7,
Dalian Shenzhou Textiles Co. Ltd. Group,41030.0,7,
"Akesu Youngor Textile Co.,Ltd",42156.0,7,
SEL Manufacturing Co. Ltd.,41030.0,7,
"Siam Kurabo Co., Ltd",42430.0,7,
Fazal Industries,42614.0,5,
Ugurlular Tekstil San Tic A.S,42186.0,7,
GTN Industries/GTN Engineering (India) Ltd.,40940.0,4,
R Group,42217.0,9,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Aggressive Textrade Pvt Ltd,42705.0,12,www.atplcotton.com
Iris Fabrics Ltd,42491.0,6,
Basyazicioglu Tekstil San. ve Tic. A.S. (AKA Bamen),41091.0,7,
Dhancot Fibres Pvt. Ltd.,42522.0,12,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Mr. Fabrics ( Pvt. ) LTD.,42430.0,6,
GRG Cotspin Pvt Ltd,42705.0,7,www.grggroup.in
Chin Hung Fibres Ltd,42430.0,7,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Shangtex YuFeng,41091.0,7,
Garg Acrylics Ltd.,41000.0,7,
Pioneer Knitwears (BD) Ltd,42461.0,6,
Rameswar Udyog Pvt Ltd,42491.0,4,
"Xiajin county tianrun textile co., Ltd",42430.0,7,
Sagar Manufacturers Pvt Ltd,42705.0,7,www.sagarmanufacturers.com
"Changzhou Hengji Textile Co., Ltd",42156.0,4,
Civil Society,,,
MYKAPS (MYRADA Kaveri Pradeshika Samsthe),41456.0,1,www.mykaps.in
Suppliers and Manufacturers,,,
AA Coarse Spun Ltd,42552.0,7,
CHTC Dayao Textile Co. Ltd.,41760.0,10,
"Zhejiang Lucky Bird Textile Co.,Ltd",41944.0,7,
Aman Cotton Fibrous Limited,42095.0,7,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Shao Guan Shun Chang Weaving Factory Ltd,42491.0,6,
Civil Society,,,
Suppliers and Manufacturers,,,
Alok Industries Ltd.,40878.0,4,
Machiyara Group,41487.0,9,
Candiani S.p.A.,40664.0,4,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Tamijuddin Textile Mills Ltd,42491.0,7,
Pride Manufacturing de R.L.,42705.0,4,www.grupokarimsyarn.com
"Chonbang Co, Ltd",42339.0,4,
Societe de Developpement et des Fibres Textiles (SODEFITEX),41730.0,11,
Brastex S/A,42736.0,4,www.gso.br/brastex/index.htm
"XianYang China Resources Textiles Co.,Ltd",42248.0,4,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Kikani Enterprises Pvt Ltd,42278.0,10,
Associate Members,,,
Suppliers and Manufacturers,,,
Shakthi Knitting Ltd,42370.0,6,
"Gemma Knits (Thailand) Co., Ltd.",42705.0,6,
Internet Tekstil San. ve Tic. A.S.,41913.0,4,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Siddiqsons Ltd.,41030.0,4,
Spectrum International Pvt. Ltd.,41426.0,12,
M/S. P.D. Sekhsaria Trading Co. Pvt. Ltd.,40940.0,12,
Henan Pingmian Textile Group,41487.0,4,
PT Kurabo Manunggal Textile Industries (Kumatex),41883.0,4,www.kumatex.com
Outpace Spinning Mills,41456.0,7,
Silteks Tekstil San Tic A.S,42370.0,7,
Suryalakshmi Cotton Mills Ltd.,41640.0,7,
Umer Group,40664.0,4,
Hebei  Hongrun  New  Type  Material Co.Ltd,42705.0,,www.ch-run.cn
Sirikcioglu Mensucat,41214.0,4,
Erve Buying,42736.0,Sourcing Agent,www.erve.com
Nisshinbo Textile Group,42614.0,7,
Panasian Impve Pvt Ltd,42736.0,12,www.panasian.co.in
Mambo Commodities,42036.0,12,
Zephyr Textiles Ltd.,42767.0,,
Mercury Fabrics Pvt. Ltd.,42217.0,6,
"An Hui Yu Hua Textile Co.,Ltd",42644.0,7,www.AHYHFZ.com
"Turbo Yarn, S.A. de C.V.",42675.0,7,www.turboyarn.com.mx
Civil Society,,,
Retailers and Brands,,,
VF Corporation,41091.0,3,www.vfc.com
Suppliers and Manufacturers,,,
"Jiangyin Haima fancy yarn Co., Ltd",42036.0,7,
Sutlej Textiles & Industries Ltd.,41974.0,7,
M/S Seeds & Grains India Pvt. Ltd.,41913.0,12,
Associate Members,,,
Suppliers and Manufacturers,,,
Nazar Tekstil San. Tic. A.S.,42248.0,7,
Zahra Textile,42583.0,7,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
DBL Group,41609.0,4,
Sri Sivajothi Spinning Mills Pvt Ltd,42736.0,7,
Tulip Towel Industries (Pvt) Ltd.,42705.0,9,www.tuliptowel.com.pk
"Sanyang textile co., LTD",42583.0,4,
Civil Society,,,
Suppliers and Manufacturers,,,
"Shaanxi Qinyuan Textile Co.,Ltd",42614.0,4,
S. B. T. Apparels Pvt Ltd,42491.0,4,
Arik Bey Tekstil,41030.0,4,
Avaneetha Textiles Pvt. Ltd.,42125.0,7,
Sandipkumar Dharmendrakumar,42309.0,12,
Markwell Spinning Pvt Ltd,42705.0,7,www.markwellspinning.com
Al-Muqeet Textiles (Private) Limited,42125.0,7,
Mafatlal Industries Ltd,40756.0,7,
Panther Textile Holding Co. Ltd. (Tat Fung Textile Co.),41579.0,4,
DD Cotton Pvt Ltd,42644.0,12,www.ddcotton.com
Mem Tekstil Sanayi ve Ticaret A.S,42156.0,4,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Civil Society,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Zafer Tekstil San. ve Tic. A.S.,42036.0,7,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Dabiruddin Spinning Mills Ltd,42736.0,7,www.salmagroup.com.bd
"Zaozhuang Hiyoung Dynasty Textile Co.,Ltd.",42736.0,4,
"Jiangsu Xin Nong Xin Textile Co., Ltd",42705.0,12,2014
Civil Society,,,
Suppliers and Manufacturers,,,
Square Textiles Ltd.,41579.0,7,
Prem Textiles International Pvt Ltd,42736.0,4,www.premtextiles.com
Producer Organisation,,,
Suppliers and Manufacturers,,,
"Tainan Spinning  Co., Ltd",42430.0,7,
Sangam (India) Limited,42278.0,7,
Selcuk Iplik San. ve Tic. A.S.,42705.0,4,www.selcukgroup.com
Camay Garments Factory Ltd.,42644.0,9,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Buhler Group,42339.0,7,
Green House Ltd,41974.0,7,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Jytx Textile Co. Ltd.,41730.0,4,
Adwaith Textiles Ltd,42552.0,7,
"Changzhou Mao qi textile co., LTD",42186.0,7,
"Hebei Spring Textiles  Co., Ltd",41913.0,7,
Kohinoor Mills Ltd,42036.0,6,
Ipek Tekstil ve Dis Tic. A.S,42339.0,7,
"Alroubaia Textile Co. ""FOURTEX""",42736.0,7,www.sharabati-denim.com
Novetex Textiles Ltd.,41821.0,7,
"Changzhou Qunda Textile Co. Ltd., Jiangsu Daoda Textile Technology Co. Ltd.",41579.0,7,
Premier Fine Linens Pvt Ltd,42767.0,Home Textiles,
Tamishna Synthetics Ltd,42522.0,7,
Sintex Industries Ltd (Yarn Division),42491.0,7,
"Xinjiang Ruisheng Textile Co.,Ltd",42522.0,7,
Chenduran Cotspin (India) Pvt Ltd,42767.0,7,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Ginni Filaments Ltd.,41671.0,7,
Square Corporation,42614.0,Non-lint Trader,www.square-corp.com
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Zhejiang Saintyear Textile Co. Ltd.,41122.0,6,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Civil Society,,,
Suppliers and Manufacturers,,,
Ravv Tekstil,42156.0,9,
Arikan Mensucat San ve Tic A.S.,41913.0,7,
Guangzhou Kangjian Textile and Clothing Co Ltd,42036.0,6,
"Fuzhou Development Zone Zhengtai Textile Co.,Ltd",42644.0,6,www.fzztfz.com
Umar Spinning Mills Pvt Ltd,42036.0,7,
Haian Lianfa Cotton Spinning Co. Ltd. (Aksu Lianfa Textile Co. Ltd.),41640.0,7,
M M Yarns Pvt Ltd,42491.0,7,
Sharmanji Yarns Pvt. Ltd.,42186.0,7,
J.K Spinning Mills Ltd,42278.0,7,
Kikani Exports Pvt Ltd,42767.0,4,www.kikaniexports.com
Gill & Co Pvt. Ltd.,42430.0,12,
Arif Knitspin Ltd,42522.0,7,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Premier Tex Products Private Ltd.,41974.0,7,
"Tiong Liong Industrial Co., Ltd.",42430.0,6,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Bari Textile Mills Pvt Ltd.,42736.0,9,
DVS Tarim Urunleri Tekstil Sanayi ve Ticaret A.S,42736.0,7,www.dvstekstil.com
Thapar Group / JCT Ltd.,41153.0,7,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Karteks Tekstil San. Ve Tic. A.S.,42795.0,4,www.karteks.com.tr
Chiem Patana Textiles Co. Ltd.,41760.0,4,
"Danyang City Yongtai Textile CO., LTD",42644.0,4,
Mittapalli Spinners Ltd,42705.0,7,www.mittapallispinners.com
Memsa Tekstil Sanayi ve Ticaret LTD STI,42614.0,12,
Eastman Spinning Mills (P) Ltd.,42461.0,4,
"Loeb & Company, Inc.",42614.0,12,
"Salem Kandaa Textile Mills Pvt. Ltd., Sri Sellam Textiles Pvt. Ltd.",41609.0,7,
US Denim Mills Pvt. Ltd.,40725.0,6,
"Atlantic Mills (Thailand) Co., Ltd and AMC Spinning Co., Ltd",42217.0,4,
Retailers and Brands,,,
Civil Society,,,
Suppliers and Manufacturers,,,
The Delta Spinning Mills Ltd,42278.0,7,
CRC Textile Mills Ltd,42309.0,7,
Arvind Ltd.,40513.0,4,
Yuyue Home Textile Co. Ltd.,41334.0,4,
Adamjee Enterprises,41944.0,9,
Thien Nam Investment and Development Joint Stock Company,42583.0,7,
"JiangSu GTIG Eastar Co,Ltd",42491.0,10,
"Siyu Group Co.,Ltd",42339.0,12,
Kardem Tekstil San. ve Tic. AS,41791.0,9,
Soktas Tekstil Sanayi ve Ticaret A.S.,42186.0,4,
SVA Syntex Pvt Ltd,42736.0,7,
Indus Group of Companies,41122.0,4,
MARS Textile Ltd,42461.0,7,
Aarthi A1 Traders,41395.0,9,
Maral Overseas,41518.0,4,
Civil Society,,,
Suppliers and Manufacturers,,,
Bhuvneswari Cotspin India Pvt Ltd,42736.0,4,
Ozone PB Spintex Ltd,41944.0,7,
Culimeta - Saveguard Ltd.,42614.0,7,www.culimeta-saveguard.com
Compagnie Malienne pour le developpement des textiles (CMDT),41730.0,11,
VRA Cotton Mills Pvt Ltd,42064.0,12,
Cedro Textil,42430.0,7,
Kilim Group,41760.0,4,
Civil Society,,,
Suppliers and Manufacturers,,,
Bharat Cotton Factory,42705.0,12,
"Shaoxing Dafa Cloth Trade Co., Ltd",41913.0,6,
Birli Spinning Mill Pvt Ltd,42705.0,7,
Yunus Tekstil,42217.0,4,
Paramount Textile Ltd.,42156.0,6,
"Tongxiang Chengnan Silk Spinning Co.,Ltd",42217.0,7,
Marfani Denim Mills,41852.0,4,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Ningbo Shenzhou Knitting Co.,Ltd",42064.0,5,
Sri Vaarri Spinning Mills,41974.0,7,
Gohar Textile Mills (Pvt) Ltd.,41974.0,7,
Dhruv Cotton Processing Pvt. Ltd.,41821.0,7,
Sanjana Rotor Spin Ltd,42156.0,7,
Sunny Trexim Pvt Ltd,40940.0,12,
RMP Fab Sourcing Pvt Ltd,42309.0,6,
JinYuan HengBo Group,42217.0,7,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Changzhou Jintan Huamao Jinsheng Science And Technology Developing Co.,Ltd.",41579.0,7,
Nishat Mills,40725.0,4,
"Taicang Litai Textile Mill Co.,Ltd",42156.0,4,
"Zouping Tongda Textile Co., Ltd.",42430.0,7,
Mandhana Industries Ltd.,41244.0,6,
Anhui Huamao Textile Co. Ltd.,41671.0,4,
Changzhou Yueye Corduroy Co. Ltd.,41214.0,6,
Civil Society,,,
Suppliers and Manufacturers,,,
Loknayak Jayprakash Narayan Shetkari Sahakari Soot Girni Ltd.,41000.0,7,
L. S. Mills Ltd.,42461.0,7,
Weifang Chang Hao Textile Co. Ltd.,41821.0,7,
Jiangsu Gtig Hubo Co. Ltd.,41640.0,4,
Anwara Mannan Textile Mills Limited,41913.0,7,
Kallam Spinning Mills Ltd,42339.0,7,
Prabhu Spinning Mills Pvt. Ltd. - OE Division,41699.0,7,
NZ Textile Ltd,42278.0,7,
Jyotirmaye Textiles Pvt Ltd,42522.0,7,
Dakota Industrial Co. Ltd.,41244.0,9,
Ahmad Hassan Textile Mills Ltd.,42064.0,7,
Foshan Deyingjia Textile Company CT,41487.0,6,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Ningbo Seduno Group Co. Ltd.,41640.0,9,
"Nangtong Doublegreat Textile Co.,Ltd",42705.0,4,www.ntshtex.com
Karsu Tekstil,42125.0,4,
Kaynak Iplik San Ve TIC A.S.,41883.0,4,
Milan Ginning Pressing Pvt. Ltd.,41821.0,12,
Din Textile Mills,40940.0,7,
Eastman Exports Global Clothing,40878.0,4,
Producer Organisation,,,
Suppliers and Manufacturers,,,
"Jiangsu Yulan Yarn-Dyed Fabric Co.,Ltd",42095.0,6,
Devcot S.A.,40940.0,12,
"Yixing Lucky Textiles Group Co., Ltd",42491.0,6,
Ahuja Cotspin Pvt. Ltd.,42217.0,7,
Beirholms VÃ¦verier A/S. (Creadore),41030.0,9,
Civil Society,,,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Cone Denim,42156.0,4,
"Tah Tong Textile Co., Ltd.(Taiwan&Vietnam)",42430.0,7,
R S Cottmark India Pvt. Ltd.,42125.0,12,
Burteks Tekstil San ve Tic A.S,42736.0,4,
"Tejidos Royo, S.L.",41456.0,5,www.royotextile.com
"JiangYin  BeiYe Textile Co.,Ltd",42156.0,7,
Rajapalayam Textile Ltd,42614.0,7,
Bannari Amman Spinning Mills Ltd.,41730.0,7,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Jiangyin Qiangli Textile Co.,Ltd",42675.0,7,
Hamid Fabrics Ltd.,41821.0,9,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Bengbu Huawan Textile Co., Ltd",41944.0,4,
Lotus Integrated Tex Park Ltd (Melange Unit),42491.0,7,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
KKP Spinning Mills,41518.0,7,
Vikrant International Pvt. Ltd.,41883.0,12,
Shri Vallabh Pittie Industries Ltd,42705.0,7,www.pittie.com
Mei Sheng Textiles Vietnam Co. Ltd.,42705.0,4,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Ambica Cotseeds Ltd,42736.0,12,www.vcottonexport.com
Jiangsu Liangji Group Co. Ltd.,41609.0,4,
"Changzhou JiuRong Import&Export Co.,Ltd",42491.0,10,
Sri Nukala Rama Koteswara Rao Textiles Pvt Ltd,42309.0,7,
Saif Textile Mills,40787.0,7,
PT Pacific Texindo Industry,42552.0,7,
"Shandong Ruyi Technology Group Co., Ltd",41974.0,4,
Nitin Spinners Limited,41791.0,7,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Ghazi Fabrics International Ltd.,41091.0,4,
NSL Textile Ltd.,40360.0,4,
Mega Yarn Dyeing Mills Ltd,42614.0,6,www.megayarn.com
Quality Textile Mills Ltd.,41640.0,7,
Naveena Group of Industries,41000.0,4,
Yuli County Cotton & Linen Company,42095.0,12,
Raj Overseas,42217.0,9,
Glencore Agriculture B.V.,42036.0,12,
Lingxian Hengyu Textiles Co.Ltd,42522.0,7,
Hateks Hatay Tekstil,40756.0,4,
Yiwu Hengsheng Textile Co. Ltd,42522.0,7,
"Tianjin Tianfang Investment Holding Co.,Ltd",41913.0,4,
Besler Tekstil San. Tic. A.S,42370.0,7,
Satia Synthetics Ltd,42522.0,7,
Senthilkumar Textile Mills Pvt Ltd,42644.0,7,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Eveready Spinning Mills Pvt. Ltd.,41671.0,7,
Mahmood Group,40848.0,4,
"Fujian Gelier  Printing & Dyeing Co., Ltd.",42186.0,4,
Sri Jayakrishna Textiles,42491.0,7,
Raymond UCO Denim Pvt. Ltd.,41487.0,4,
Adim Tekstil San. ve Tic. A.S.,42095.0,7,
"Nantong Huaqiang Cloth Co.,Ltd",41913.0,4,
KKP Textiles Ltd.,41944.0,7,
"Zhengzhou Chenglin Textile Co.,Ltd",42370.0,4,
Roytex S.A.,42705.0,4,www.liztex.com
Nisar Spinning Mills Pvt Ltd,42339.0,7,
Santista Work Solution S.A.,42036.0,4,
Tianli Spinning (Mauritius) Co. Ltd.,42095.0,7,
Amarjothi Spinning Mills Ltd,42095.0,7,
"Changzhou Yingjie Environmental Technology Co., Ltd",42491.0,4,
Meezan Enterprises Pvt. Ltd.,42705.0,12,
Imka Iplik Tekstil Isl San ve Tic A.S,42736.0,4,www.imkaiplik.com
Balsuyu Mensucat San. ve Tic. A.S.,41609.0,7,
Viyellatex Group,40940.0,7,
"ZheJiang XinMian Textile Co.,Ltd",41944.0,7,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Heinrich Otto K.-G.,42736.0,8,www.heinrichotto.com
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Dafeng  Wanda  Textile  Co.,Ltd",42248.0,7,
Kedarnath Ginning Pvt Ltd,42370.0,12,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Lucky Textile Mills Ltd.,41974.0,9,
"Jing Chain Textile Shu Yang Co.,Ltd",42064.0,7,
Mekotex Pvt. Ltd.,41699.0,7,
Dadasons Pvt. Ltd.,42736.0,12,www.dadasons.com
Matam Fibre Mills Ltd,42552.0,7,
Alkas Spinning Mills Pvt Ltd,42736.0,7,
Reliance Weaving Mills Ltd.,41030.0,4,
"Shandong Huimin Dongtai Textile Co., Ltd",42036.0,7,
Ilsan Tekstil San. Ve Tic A.S.,41640.0,4,
Plummy Fashions Limited,42278.0,6,
Jiangsu Zhongheng Dyeing & Finishing Co. Ltd.,41579.0,6,
Turpan Esquel Textile Company Limited,42552.0,7,
Liberty Knitwear Ltd,42522.0,9,
"Haining Bafang Weaving Co.,Ltd.",41974.0,4,
XPCC No.5 Cotton&Linen Corp,42156.0,12,
Organi Mark (Pty) Ltd,42675.0,12,www.organimark.co.za
C.A. Textile Mills (Pvt) Ltd,41944.0,7,
"Wuxi JHT Homewares Co.,Ltd",41974.0,9,
"Shandong Huajie Textile Co.,Ltd",42248.0,7,
N. Murugan Chettiar,42522.0,12,
Sangeeth Textiles Pvt Ltd,42309.0,7,
Davas Tekstil Sanayi Ticaret A.S,42644.0,7,www.davastekstil.com
Bulut Tekstil San. ve Tic. Ltd. Sti.,41821.0,7,
"Xinfang Group Co.,Ltd",42156.0,4,
Nagreeka Exports Ltd.,41030.0,7,
AKH Knitting & Dyeing Ltd,42583.0,9,
Gucbirligi Tekstil San. ve Tic. A.S.,41579.0,7,
Youth Spinning Mills Ltd,42461.0,7,
Shandong Dashing Cashmere Products Co.ltd,42644.0,,
