Restaurant_id,City,Ranking,Rating,Price Range,Number of Reviews,ID_TA,Cuisine Style
id_1188,Rome,1189,4.0,$$ - $$$,173.0,d11895495,"  Vegan Options,   Seafood,   Brazilian,   Sushi"
id_11945,London,11955,4.0,NaN,3.0,d7276832,Pizza
id_1200,London,1202,4.0,$$ - $$$,278.0,d719718,"European,   Gluten Free Options,   British,   Vegetarian Friendly"
id_1201,Vienna,1202,4.0,NaN,20.0,d1103441,Russian
id_12014,Paris,12016,3.5,NaN,16.0,d3735127,  Healthy
id_1208,Vienna,1209,4.5,$$ - $$$,8.0,d12995806,"  Street Food, Vietnamese"
id_12089,Paris,12091,3.5,NaN,15.0,d1035596,Other
id_12247,Paris,12249,3.0,NaN,2.0,d12112547,Other
id_12273,London,12283,4.5,NaN,2.0,d1044726,"Bar,   Grill"
id_1228,Barcelona,1229,4.0,$$ - $$$,277.0,d790369,"Mediterranean,   Spanish,   Vegetarian Friendly"
id_1228,Madrid,1230,4.0,$$ - $$$,78.0,d10331391,"  Spanish, Mediterranean"
id_12287,Paris,12289,3.0,NaN,8.0,d11666969,Other
id_12307,London,12317,3.5,$$ - $$$,63.0,d1018974,"  Malaysian,   Thai, Asian"
id_12364,London,12374,4.0,NaN,NaN,d5442851,Other
id_12381,Paris,12383,3.5,NaN,3.0,d715001,French
id_1239,Rome,1240,4.0,$$ - $$$,302.0,d4023512,"  Mediterranean,   Seafood, Italian,   Vegetarian Friendly,   Soups"
id_12392,London,12402,4.0,$$ - $$$,NaN,d13153300,"  Cafe,   Pizza"
id_1244,Munich,1256,3.5,$$ - $$$,45.0,d2524764,"Asian,   Vegetarian Friendly"
id_1246,Hamburg,1248,4.0,$$ - $$$,15.0,d3849968,Greek
id_1247,Dublin,1250,5.0,NaN,3.0,d7805333,Other
id_12473,Paris,12475,3.5,NaN,13.0,d4185793,South American
id_12495,Paris,12497,3.0,NaN,8.0,d10478105,Other
id_1251,Edinburgh,1252,4.5,$,15.0,d5442784,Cafe
id_1254,Geneva,1260,3.0,NaN,6.0,d2625256,Italian
id_1257,Budapest,1258,5.0,$$ - $$$,14.0,d10613140,"  Healthy,   Hungarian,   Vegan Options, Eastern European,   Vegetarian Friendly"
id_1257,Madrid,1259,4.0,$$ - $$$,121.0,d2096546,Chinese
id_12587,London,12597,4.0,$$ - $$$,2.0,d10333393,French
id_1261,Rome,1262,4.0,$,822.0,d4811912,"  Vegetarian Friendly,   Fast Food,   Spanish, Brew Pub"
id_1268,Lyon,1269,4.0,$,37.0,d4585716,French
id_12703,Paris,12705,3.0,$$ - $$$,121.0,d2011853,  Pub
id_1272,Barcelona,1273,4.0,$$$$,554.0,d1080720,"  Vegan Options,   European,   Vegetarian Friendly, Mediterranean,   Spanish"
id_1275,Rome,1276,4.0,$$ - $$$,377.0,d2439603,"  European,   Pizza"
id_128,Stockholm,129,4.5,$$ - $$$,183.0,d5949148,"Italian,   Mediterranean"
id_1280,Stockholm,1281,4.5,NaN,2.0,d12949592,Other
id_12824,London,12834,3.5,NaN,7.0,d720652,Chinese
id_12901,London,12911,3.5,$$ - $$$,4.0,d12996130,  British
id_1293,Stockholm,1294,4.0,NaN,6.0,d12335302,Lebanese
id_130,Edinburgh,131,4.5,$$ - $$$,448.0,d752894,"  Pub, American,   Vegetarian Friendly,   British,   Bar"
id_1300,Lisbon,1301,4.5,$,32.0,d8008981,"  Portuguese, Cafe"
id_13016,London,13026,3.5,$$ - $$$,52.0,d2508041,"  British,   Pub"
id_131,Dublin,132,4.5,$$ - $$$,404.0,d3859070,"  Vegan Options,   European, Irish,   Vegetarian Friendly,   International,   Bar"
id_1313,Zurich,1318,4.0,NaN,6.0,d8736586,Other
id_13159,Paris,13161,3.0,NaN,37.0,d6697515,Other
id_13175,Paris,13177,3.0,$$ - $$$,121.0,d3405673,"  International, French,   European,   Vegetarian Friendly"
id_13199,London,13209,3.0,$$ - $$$,11.0,d718909,"Italian,   Pizza"
id_1323,Dublin,1326,3.5,$,113.0,d3431140,  Vegan Options
id_1327,Budapest,1328,5.0,NaN,NaN,d8791087,Other
id_1334,Hamburg,1336,5.0,$,NaN,d12384552,  Pub
id_13354,London,13364,4.0,$,34.0,d3192609,"Asian,   Thai"
id_13389,London,13399,4.0,$$ - $$$,16.0,d4872826,"European,   British,   Spanish"
id_1339,London,1341,4.0,$$ - $$$,1495.0,d3181518,"  Gluten Free Options,   Central American,   Bar,   Vegetarian Friendly"
id_134,Geneva,135,4.0,$$ - $$$,191.0,d7687905,"  Steakhouse, French"
id_13403,London,13413,3.5,NaN,3.0,d12452377,Other
id_1341,Vienna,1342,3.5,$,110.0,d941095,  Vegetarian Friendly
id_13419,London,13429,3.5,$$ - $$$,35.0,d3242247,  Pub
id_1346,London,1348,4.5,$,156.0,d8125299,"  Vegetarian Friendly,   Gluten Free Options"
id_13563,London,13573,3.5,$,6.0,d8401717,Seafood
id_1359,Barcelona,1360,4.5,$,59.0,d9765679,"Italian,   Vegetarian Friendly"
id_1365,Zurich,1370,3.5,$$ - $$$,25.0,d1125197,Italian
id_1370,Brussels,1381,5.0,NaN,3.0,d11995686,Other
id_1372,Prague,1373,5.0,NaN,7.0,d9745343,Other
id_1374,Copenhagen,1376,3.5,$$ - $$$,66.0,d6618276,"  Scandinavian,   Danish, European"
id_13747,London,13757,3.5,$$ - $$$,39.0,d4919283,"  Pub,   British, Bar"
id_1381,Brussels,1376,5.0,NaN,4.0,d10814311,Other
id_13815,London,13825,3.5,$,28.0,d2176100,"  Central American,   Fast Food"
id_13830,Paris,13832,2.0,$$ - $$$,3.0,d10784629,French
id_13850,London,13860,3.5,$$ - $$$,32.0,d7949523,"  Vegetarian Friendly,   Italian,   Vegan Options, Pizza"
id_13892,Paris,13894,5.0,$$ - $$$,NaN,d8660001,"  Healthy, French,   Delicatessen"
id_1391,Budapest,1392,5.0,NaN,NaN,d7724601,  Hungarian
id_1394,Dublin,1398,4.5,NaN,2.0,d5812483,Chinese
id_1398,Geneva,1405,1.5,NaN,2.0,d12414220,Other
id_14,Helsinki,15,4.0,$$ - $$$,1488.0,d850178,"  European,   Scandinavian,   Soups,   Vegan Options,   Vegetarian Friendly"
id_1401,Dublin,1405,4.0,$$ - $$$,28.0,d6633059,Cafe
id_1403,Geneva,1411,1.0,NaN,NaN,d7996902,Other
id_1409,Budapest,1410,5.0,NaN,NaN,d13197631,"  European, French"
id_14134,London,14144,3.5,$$ - $$$,52.0,d734267,"  Vegetarian Friendly,   Pizza,   Gluten Free Options"
id_1414,Milan,1416,4.0,$,252.0,d3773630,"Pizza,   Vegetarian Friendly"
id_1418,Athens,1420,4.5,$,7.0,d10122352,  Mediterranean
id_1418,Oporto,1419,3.0,NaN,2.0,d12503536,Other
id_14346,London,14357,3.5,$,14.0,d5081096,Fast Food
id_1435,Munich,1447,4.0,$,21.0,d4597916,  Pizza
id_14351,London,14362,3.0,NaN,3.0,d5081396,Other
id_14386,London,14397,3.5,$$ - $$$,53.0,d731210,Indian
id_14403,London,14414,4.0,NaN,4.0,d10760580,Turkish
id_1441,Paris,1442,5.0,$$ - $$$,49.0,d12947099,  Vegetarian Friendly
id_14422,London,14433,3.5,NaN,19.0,d5220257,Other
id_14512,London,14523,3.0,NaN,8.0,d10686851,Sushi
id_1457,Oporto,1458,4.5,$,2.0,d12147644,"  Fusion,   Contemporary"
id_1461,Milan,1463,3.5,$,283.0,d2589168,"  Seafood,   Japanese"
id_14612,London,14623,3.0,NaN,39.0,d7994738,Other
id_1464,Rome,1465,4.0,$$ - $$$,678.0,d1953294,"  Mediterranean,   European,   Vegan Options"
id_1466,Vienna,1467,4.0,$$ - $$$,21.0,d2632522,  Turkish
id_1468,Zurich,1473,3.5,$$ - $$$,24.0,d1887046,"  Pub,   British, Bar"
id_147,Prague,148,4.5,$,105.0,d10389421,"Cafe,   Gluten Free Options,   Vegetarian Friendly,   Vegan Options"
id_1475,London,1477,4.5,$$ - $$$,313.0,d733450,"  Asian, Indian,   Gluten Free Options"
id_1478,Madrid,1480,4.0,$$ - $$$,215.0,d8123141,"  European,   Vegetarian Friendly, Mediterranean"
id_1482,Amsterdam,1485,5.0,NaN,12.0,d10027275,Other
id_14925,London,14936,3.0,$$ - $$$,319.0,d2361013,  Gluten Free Options
id_14953,London,14964,3.5,NaN,11.0,d5122174,Sushi
id_14973,London,14984,3.0,$,18.0,d7617571,  British
id_14995,London,15006,3.0,NaN,5.0,d10201077,Other
id_14996,London,15007,3.0,$$ - $$$,85.0,d6403079,"  European, British,   Bar"
id_150,Budapest,151,4.5,$,1317.0,d813990,"  Vegetarian Friendly,   Mediterranean"
id_1501,Barcelona,1502,4.0,$$ - $$$,144.0,d8737446,"Bar,   European,   Spanish,   Vegetarian Friendly"
id_1504,Rome,1505,4.0,$,403.0,d7208833,  Pub
id_1512,Warsaw,1514,4.0,$$ - $$$,34.0,d2271370,"  Asian, Chinese"
id_1516,Warsaw,1518,4.0,NaN,6.0,d11793939,Other
id_152,Luxembourg,153,4.0,$$ - $$$,80.0,d743790,"  Sushi, Japanese,   Asian"
id_1524,Athens,1526,3.5,NaN,3.0,d13001826,"Pizza,   Street Food,   Greek"
id_15279,London,15291,3.5,$$ - $$$,16.0,d5795578,"  Halal, Indian"
id_1530,Prague,1533,4.5,$$ - $$$,34.0,d4768479,"  Central European, European,   Czech"
id_15306,London,15318,3.5,NaN,2.0,d8853180,Other
id_1533,Paris,1534,4.5,$$ - $$$,105.0,d4697825,French
id_1535,Stockholm,1537,4.0,NaN,10.0,d7992032,Other
id_1536,Brussels,1537,4.0,$,20.0,d7336387,Asian
id_1536,Vienna,1537,4.0,$,27.0,d2140541,  European
id_1539,Stockholm,1541,3.5,$$ - $$$,8.0,d12516525,"  Steakhouse,   Pub, American"
id_1541,Lisbon,1542,4.5,$$ - $$$,17.0,d3729391,Japanese
id_1545,Lisbon,1546,4.5,$$ - $$$,7.0,d13171584,European
id_1547,Amsterdam,1550,3.5,$$ - $$$,91.0,d10488468,"  Japanese, Chinese,   Street Food,   Korean,   Asian"
id_155,Amsterdam,156,4.5,$$ - $$$,482.0,d4588301,"  Latin, Steakhouse,   Argentinean,   European,   South American,   Barbecue,   Vegetarian Friendly"
id_1552,Brussels,1606,5.0,$$ - $$$,NaN,d13206566,Italian
id_1556,Rome,1557,4.5,$$ - $$$,287.0,d1095455,"Seafood,   Gluten Free Options,   European,   Italian,   Vegetarian Friendly,   Mediterranean"
id_156,Budapest,157,4.0,$$ - $$$,438.0,d1648922,"  Vegetarian Friendly,   Bar, Irish,   European"
id_1564,Dublin,1568,3.5,NaN,5.0,d2190085,Fast Food
id_15646,London,15658,2.5,NaN,3.0,d5440481,Other
id_1571,Barcelona,1572,4.0,$$ - $$$,105.0,d8774881,"Japanese,   Asian"
id_15748,London,15760,3.0,$,31.0,d4584798,  American
id_1576,Budapest,1577,4.0,$,24.0,d7651862,Vietnamese
id_1579,Rome,1580,4.5,$$ - $$$,64.0,d10744198,  International
id_158,Warsaw,159,4.0,$$ - $$$,187.0,d6369030,"  Vegan Options,   Vegetarian Friendly,   European"
id_1583,Prague,1586,4.0,$$ - $$$,14.0,d4769401,  Czech
id_1585,Lyon,1586,4.0,$$ - $$$,25.0,d4295258,Italian
id_159,Oporto,160,4.5,$$ - $$$,264.0,d1027670,"  Vegetarian Friendly,   Vegan Options,   Asian,   Gluten Free Options"
id_16034,London,16046,2.0,NaN,NaN,d7243246,Other
id_1608,Athens,1610,4.0,NaN,9.0,d4591733,  Italian
id_1611,Rome,1612,4.0,$$ - $$$,621.0,d803842,"Italian,   Seafood,   Vegetarian Friendly,   Pizza"
id_1615,Barcelona,1616,4.0,$$ - $$$,83.0,d10339269,  Vegan Options
id_1619,Madrid,1621,4.5,$$ - $$$,107.0,d3218566,"  Pizza, Italian"
id_1620,Warsaw,1622,4.0,NaN,2.0,d11770289,Other
id_16215,London,16227,2.0,$,11.0,d5667751,Pizza
id_163,Stockholm,164,4.5,$,99.0,d3478764,"  Middle Eastern,   Vegan Options, Mediterranean,   Vegetarian Friendly"
id_1630,Lisbon,1631,4.5,$$ - $$$,9.0,d12081682,Italian
id_1639,Berlin,1641,4.0,$,64.0,d6494498,"  Vegetarian Friendly, Cafe,   European"
id_164,Hamburg,165,4.5,$$ - $$$,73.0,d6031001,"  Gluten Free Options,   Vegetarian Friendly,   Healthy"
id_1646,Athens,1648,3.5,NaN,17.0,d3709334,Other
id_1651,Lyon,1652,4.5,NaN,2.0,d13279636,Other
id_1655,Madrid,1657,5.0,$$$$,11.0,d13174390,"  Asian, Peruvian"
id_1665,Athens,1667,3.5,NaN,8.0,d8627732,Other
id_1672,Athens,1674,3.0,NaN,NaN,d11951673,Other
id_1674,Amsterdam,1679,4.0,$$ - $$$,26.0,d3610708,  International
id_1675,Lisbon,1676,4.0,$$ - $$$,41.0,d10170180,"  Vegetarian Friendly,   Healthy,   Delicatessen,   Greek"
id_1678,Athens,1680,3.0,NaN,NaN,d12883544,Other
id_1684,Dublin,1688,3.0,NaN,8.0,d11958324,Other
id_1686,Rome,1687,4.5,$,38.0,d12538734,"  Vegan Options, Mexican,   Latin,   Vegetarian Friendly"
id_1696,Paris,1697,4.0,$$$$,519.0,d942290,"French,   Vegetarian Friendly,   European"
id_1698,Berlin,1700,4.0,$$ - $$$,19.0,d11888740,Vegetarian Friendly
id_17,Rome,18,4.5,$,281.0,d8516817,"  Vegan Options,   Vegetarian Friendly"
id_1705,Budapest,1706,4.0,NaN,6.0,d9747453,Other
id_1716,Dublin,1720,3.5,$,20.0,d3544710,Fast Food
id_1718,Edinburgh,1725,2.5,$,18.0,d5425608,"Chinese,   Asian"
id_1720,Milan,1722,4.0,$,50.0,d5808504,"  Pizza, Italian"
id_1721,Edinburgh,1728,2.0,$$ - $$$,26.0,d11688138,"Pub,   Bar"
id_1722,Hamburg,1725,4.0,$$ - $$$,3.0,d12867794,"Asian,   Nepali"
id_173,Hamburg,174,4.0,$$ - $$$,142.0,d1340332,"Seafood,   European,   Barbecue,   Portuguese"
id_1741,Hamburg,1744,3.0,NaN,12.0,d959162,Other
id_1745,Lisbon,1747,4.0,$$ - $$$,11.0,d13150829,"European,   Contemporary"
id_1746,Munich,1760,4.0,$$ - $$$,55.0,d1912599,"  Vegetarian Friendly,   Contemporary,   Mediterranean, Diner"
id_1748,Berlin,1750,3.5,$,90.0,d6280580,American
id_1751,Paris,1752,4.5,$$$$,114.0,d3327962,  Vegetarian Friendly
id_1754,Rome,1755,4.0,$$ - $$$,382.0,d4930739,"  Vegan Options,   Vegetarian Friendly,   Pizza, Italian"
id_1760,Paris,1761,4.5,$,86.0,d8384800,"  Vegan Options,   Gluten Free Options"
id_1762,Warsaw,1764,3.5,NaN,6.0,d6673365,Italian
id_1767,Milan,1769,4.0,$$ - $$$,25.0,d12927216,  Brazilian
id_1773,Amsterdam,1778,4.5,$,11.0,d8734791,Turkish
id_1776,Brussels,1777,4.5,$,3.0,d11445075,"  European, Polish"
id_1780,Barcelona,1781,4.5,$,31.0,d10230660,Italian
id_1789,Madrid,1791,4.0,$$ - $$$,35.0,d11978912,"Thai,   Vegetarian Friendly"
id_18,Dublin,19,4.5,$$ - $$$,670.0,d6482548,"  Pub,   Vegetarian Friendly,   European"
id_1801,Amsterdam,1806,5.0,$,8.0,d8656639,"  Vegetarian Friendly, Middle Eastern"
id_1808,Hamburg,1811,3.5,NaN,16.0,d5506292,Other
id_1810,Berlin,1812,4.0,$,68.0,d5532050,"  Vietnamese,   Vegetarian Friendly,   Vegan Options"
id_1811,Hamburg,1814,4.0,$$ - $$$,2.0,d10250368,"Chinese,   Delicatessen,   Minority Chinese,   German"
id_1815,Berlin,1817,3.5,$$ - $$$,1067.0,d1119896,"Italian,   Vegan Options,   Gluten Free Options,   European,   Vegetarian Friendly,   Mediterranean"
id_182,Lisbon,183,4.0,$,825.0,d1852620,"Steakhouse,   Portuguese"
id_1820,Milan,1822,3.5,$,567.0,d1100325,"Italian,   Mediterranean,   Vegetarian Friendly"
id_1827,Rome,1828,4.0,$$ - $$$,274.0,d2374918,Bar
id_1831,Paris,1832,4.5,$$ - $$$,111.0,d4212687,"  Italian,   Vegan Options, Mediterranean"
id_1842,Paris,1843,4.5,$$ - $$$,132.0,d9746677,"French,   European"
id_1857,Budapest,1858,4.0,NaN,2.0,d12359266,Other
id_1862,Rome,1863,4.5,$$ - $$$,89.0,d9603011,"  Vegetarian Friendly,   Mediterranean,   Seafood, Italian"
id_1879,Lisbon,1882,4.0,$,33.0,d9739262,"Vegetarian Friendly,   Gluten Free Options"
id_1880,Lisbon,1883,4.5,NaN,6.0,d8759915,Other
id_1897,Rome,1898,4.0,$$ - $$$,181.0,d1674503,"  Pizza, Italian"
id_1903,Lyon,1904,4.0,NaN,5.0,d4191913,Italian
id_1905,Barcelona,1906,4.0,$$ - $$$,250.0,d8602690,"  European,   Spanish"
id_1907,Copenhagen,1912,2.5,NaN,9.0,d5408595,"  Fast Food, Chinese"
id_1907,Munich,1923,3.5,NaN,46.0,d1356624,Other
id_191,Oslo,192,4.0,$$ - $$$,53.0,d3385038,"Bar,   Vegetarian Friendly"
id_1921,Barcelona,1922,4.0,$$ - $$$,94.0,d8661176,"  Vegetarian Friendly,   Vegan Options, Mediterranean"
id_1925,Berlin,1927,4.0,$,42.0,d4748988,"  European, Italian,   Pizza"
id_194,Munich,196,4.0,$$ - $$$,106.0,d4818393,"  Vegetarian Friendly, Cafe,   Gluten Free Options,   Vegan Options"
id_194,Warsaw,195,4.0,$$ - $$$,143.0,d779167,"  European,   Vegetarian Friendly, Russian"
id_1940,Lyon,1941,3.0,$$ - $$$,354.0,d1324029,"European,   Seafood,   French"
id_1941,Milan,1943,4.0,NaN,47.0,d10701333,Other
id_1952,Budapest,1953,3.5,$$ - $$$,39.0,d12410110,  Vegetarian Friendly
id_1958,Munich,1974,3.5,$$ - $$$,95.0,d1342155,  Vegetarian Friendly
id_1968,Vienna,1970,4.0,$$ - $$$,39.0,d7920021,"  Austrian, Cafe,   European"
id_197,Bratislava,198,4.5,$$ - $$$,6.0,d13203526,"  International, American"
id_197,Lyon,198,4.0,$$ - $$$,370.0,d918784,French
id_1971,Lisbon,1974,4.5,NaN,9.0,d10026779,Other
id_1971,Vienna,1973,4.0,NaN,9.0,d12630204,Other
id_1974,Paris,1975,4.0,$$ - $$$,152.0,d6385547,European
id_1976,Paris,1977,4.0,$$ - $$$,345.0,d807906,  European
id_198,Zurich,200,4.0,$$$$,211.0,d797737,"  Vegetarian Friendly,   European, Italian,   Mediterranean"
id_1981,Budapest,1982,3.5,NaN,8.0,d10073699,Other
id_1986,Prague,1989,5.0,NaN,NaN,d4768291,"European,   Czech"
id_199,Luxembourg,200,4.0,$$ - $$$,145.0,d3675106,"European,   Gluten Free Options"
id_1993,Amsterdam,1998,4.5,NaN,12.0,d9832010,Other
id_1994,Munich,2010,3.5,$,50.0,d2517446,"Fast Food,   Vegetarian Friendly"
id_20,Budapest,21,4.5,$$$$,956.0,d696038,"European,   Hungarian,   Vegan Options,   Gluten Free Options"
id_2006,Amsterdam,2011,4.5,$$ - $$$,15.0,d3591150,"Dutch,   European"
id_2024,Paris,2025,4.5,$$ - $$$,93.0,d780204,"  European, Bar,   French"
id_2040,Madrid,2042,3.5,$$ - $$$,339.0,d1109944,"Mediterranean,   Spanish"
id_2041,Madrid,2043,3.5,$$ - $$$,172.0,d6868018,  Vegetarian Friendly
id_2042,Stockholm,2045,3.5,NaN,2.0,d5936523,Pub
id_2045,Madrid,2047,4.5,$$ - $$$,20.0,d10302313,"Italian,   Venezuelan,   Mexican"
id_2047,Prague,2050,5.0,$$ - $$$,NaN,d12243659,Italian
id_205,Barcelona,206,4.5,$$ - $$$,613.0,d3499028,"  Gluten Free Options, Brew Pub,   International,   Cafe,   Vegan Options"
id_2055,Amsterdam,2060,4.5,NaN,8.0,d10488130,Other
id_206,Vienna,207,4.5,$$ - $$$,55.0,d10395526,"Japanese,   Fusion,   Asian"
id_2073,Paris,2074,4.0,$$ - $$$,128.0,d1048529,"  Pub,   Cafe"
id_2074,Prague,2077,5.0,NaN,NaN,d7124393,Vietnamese
id_2089,Milan,2091,4.5,$$ - $$$,103.0,d2701946,Italian
id_2098,Barcelona,2099,4.0,$,41.0,d7952588,"Cafe,   Mediterranean"
id_2108,Budapest,2109,3.5,NaN,2.0,d11616946,Other
id_211,Barcelona,212,4.5,$$ - $$$,773.0,d2470800,"  Contemporary,   Vegetarian Friendly"
id_2111,Paris,2112,4.0,$$ - $$$,121.0,d695083,"Mediterranean,   Vegan Options"
id_213,Helsinki,214,4.5,$,100.0,d784491,  International
id_2137,Lisbon,2140,5.0,NaN,2.0,d3193915,  Portuguese
id_214,Dublin,215,4.0,$$ - $$$,1774.0,d4236147,"  Vegetarian Friendly,   Pub,   Soups"
id_214,Milan,215,4.0,$$$$,1613.0,d5264429,  Vegan Options
id_216,Copenhagen,217,4.5,$$ - $$$,125.0,d8121703,"  Vegetarian Friendly,   Cafe,   Vegan Options"
id_2171,Berlin,2173,3.5,$$ - $$$,130.0,d1359957,"Mediterranean,   Grill,   Vegetarian Friendly,   European,   German"
id_2171,Lyon,2172,3.0,$,52.0,d4098079,Steakhouse
id_2177,Lisbon,2180,3.5,$$ - $$$,110.0,d7247750,"  Mediterranean,   European"
id_2185,Amsterdam,2190,5.0,NaN,NaN,d12049003,Other
id_2188,Hamburg,2192,3.5,NaN,4.0,d4553147,Other
id_2198,Milan,2200,4.0,$,75.0,d4909559,"  Pub, Bar"
id_2224,Lisbon,2227,4.5,NaN,9.0,d697252,Other
id_2224,Paris,2225,4.5,$$ - $$$,140.0,d782237,"  Wine Bar, French"
id_2233,Stockholm,2236,3.0,NaN,21.0,d10769792,Other
id_2236,Lisbon,2239,3.5,$$ - $$$,185.0,d2091250,"  Portuguese, Mediterranean"
id_2256,London,2261,4.5,$$ - $$$,273.0,d3253550,"  Vegan Options,   Vegetarian Friendly"
id_2259,Vienna,2261,4.5,NaN,3.0,d7097810,Other
id_2265,Stockholm,2269,3.5,NaN,6.0,d5972350,Sushi
id_2273,Paris,2274,4.0,$$ - $$$,157.0,d1019904,Chinese
id_2273,Vienna,2275,4.5,NaN,2.0,d11903856,Other
id_229,Helsinki,230,4.0,$$ - $$$,47.0,d4476199,"  Vegetarian Friendly,   European,   Pub,   Gluten Free Options"
id_230,Oporto,231,4.0,$$ - $$$,352.0,d4007924,"Japanese,   Sushi,   Gluten Free Options"
id_2309,Madrid,2311,3.5,$$ - $$$,307.0,d1172837,"Mediterranean,   Spanish"
id_2355,Barcelona,2356,4.5,$$$$,15.0,d12254437,"  Contemporary, Mediterranean,   Fusion,   Diner"
id_2356,Berlin,2358,4.5,$,19.0,d4342126,German
id_2361,Brussels,2362,4.0,$$ - $$$,23.0,d4506544,Spanish
id_237,Stockholm,238,4.5,$$ - $$$,154.0,d1496204,"  Gluten Free Options,   Scandinavian"
id_239,Athens,240,4.5,$,62.0,d6513977,"  Asian,   Vegan Options,   Fast Food,   Vegetarian Friendly"
id_2393,Paris,2394,4.0,$$ - $$$,142.0,d1071288,  European
id_2406,Milan,2408,4.0,$$ - $$$,184.0,d813925,  Seafood
id_241,Munich,243,4.5,$$ - $$$,152.0,d1178760,"German,   Vegetarian Friendly"
id_2410,Lisbon,2413,4.0,NaN,2.0,d3393987,"  Portuguese, European"
id_2423,Rome,2424,3.5,$$ - $$$,481.0,d5504724,"Italian,   Vegetarian Friendly,   Delicatessen,   European"
id_2427,Rome,2428,4.5,$,69.0,d5263694,  Pizza
id_245,Stockholm,246,4.0,$$ - $$$,92.0,d8774485,"  Vegan Options, British,   Cafe"
id_2454,Munich,2471,3.5,$$ - $$$,10.0,d5509232,Thai
