Restaurant_id,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,ID_TA
id_1754,Rome,  Vegan Options,1755,4.0,$$ - $$$,382.0,d4930739
id_1940,Lyon,European,1941,3.0,$$ - $$$,354.0,d1324029
id_1993,Amsterdam,Other,1998,4.5,NaN,12.0,d9832010
id_3287,Rome,  Vegetarian Friendly,3288,4.5,$,44.0,d9710052
id_2484,Madrid,Mediterranean,2486,4.0,$$ - $$$,55.0,d6701548
id_1831,Paris,  Italian,1832,4.5,$$ - $$$,111.0,d4212687
id_164,Hamburg,  Gluten Free Options,165,4.5,$$ - $$$,73.0,d6031001
id_1672,Athens,Other,1674,3.0,NaN,NaN,d11951673
id_758,Berlin,  Vietnamese,759,4.5,$,44.0,d10698854
id_1556,Rome,Seafood,1557,4.5,$$ - $$$,287.0,d1095455
id_4463,Paris,Italian,4464,3.5,$$ - $$$,396.0,d742407
id_4348,London,  Bar,4355,4.5,$$ - $$$,120.0,d4324139
id_3462,Barcelona,Other,3463,4.5,NaN,11.0,d10039662
id_1994,Munich,Fast Food,2010,3.5,$,50.0,d2517446
id_230,Oporto,Japanese,231,4.0,$$ - $$$,352.0,d4007924
id_559,Athens,  Vegetarian Friendly,560,3.5,$$ - $$$,304.0,d1070166
id_1464,Rome,  Mediterranean,1465,4.0,$$ - $$$,678.0,d1953294
id_6536,Barcelona,  Vegetarian Friendly,6537,3.5,$$ - $$$,122.0,d4436498
id_8993,Paris,Asian,8995,4.5,NaN,9.0,d5058767
id_991,Dublin,  Sushi,993,4.5,$$ - $$$,31.0,d8524256
id_48,Rome,  Fast Food,49,4.5,$$ - $$$,1724.0,d8511258
id_4780,Rome,Italian,4781,5.0,$,3.0,d12842559
id_270,Vienna,  Vegan Options,271,4.0,$$ - $$$,384.0,d2021717
id_3233,Rome,  Gluten Free Options,3234,3.5,$$ - $$$,209.0,d11998026
id_482,Geneva,  Swiss,485,4.5,$$$$,12.0,d10288341
id_1547,Amsterdam,  Japanese,1550,3.5,$$ - $$$,91.0,d10488468
id_14,Helsinki,  Scandinavian,15,4.0,$$ - $$$,1488.0,d850178
id_1696,Paris,French,1697,4.0,$$$$,519.0,d942290
id_6811,Paris,Moroccan,6812,4.0,$$$$,34.0,d12170386
id_387,Ljubljana,  Slovenian,388,3.5,$,10.0,d806051
id_3327,London,  Vegetarian Friendly,3334,4.0,$$ - $$$,143.0,d953657
id_130,Edinburgh,  Pub,131,4.5,$$ - $$$,448.0,d752894
id_387,Ljubljana,  Central European,388,3.5,$,10.0,d806051
id_17,Rome,  Vegan Options,18,4.5,$,281.0,d8516817
id_412,Rome,  Vegetarian Friendly,413,4.0,$$ - $$$,486.0,d795702
id_1079,Lisbon,  European,1080,4.0,$$ - $$$,167.0,d2703359
id_4209,Rome,Italian,4210,4.0,$,55.0,d8020681
id_2961,Berlin,  Cafe,2963,3.5,$$ - $$$,59.0,d5822584
id_684,Prague,  International,685,4.0,$$ - $$$,75.0,d944247
id_486,Zurich,Italian,489,4.0,$$ - $$$,90.0,d1139366
id_456,Rome,  Italian,457,4.5,$$ - $$$,1237.0,d3134650
id_14,Helsinki,  Soups,15,4.0,$$ - $$$,1488.0,d850178
id_4232,London,  Halal,4239,4.0,$$ - $$$,177.0,d718937
id_9772,London,Pakistani,9781,4.5,NaN,7.0,d7599401
id_1921,Barcelona,  Vegetarian Friendly,1922,4.0,$$ - $$$,94.0,d8661176
id_793,Dublin,  Irish,794,5.0,$$ - $$$,8.0,d13172414
id_10876,London,Indian,10886,4.0,$$ - $$$,20.0,d4185485
id_1239,Rome,  Seafood,1240,4.0,$$ - $$$,302.0,d4023512
id_2944,Berlin,Other,2946,5.0,NaN,4.0,d11958431
id_6583,London,  British,6592,4.5,$,29.0,d2524119
id_155,Amsterdam,  Latin,156,4.5,$$ - $$$,482.0,d4588301
id_550,Dublin,  European,551,4.0,$$ - $$$,118.0,d3153451
id_820,Vienna,  Bar,821,4.0,$$ - $$$,130.0,d1963456
id_396,Barcelona,Japanese,397,5.0,$$ - $$$,45.0,d12384001
id_194,Munich,  Vegetarian Friendly,196,4.0,$$ - $$$,106.0,d4818393
id_456,Rome,  Vegetarian Friendly,457,4.5,$$ - $$$,1237.0,d3134650
id_3031,Milan,  European,3033,4.5,$$ - $$$,4.0,d13198202
id_3196,Berlin,  European,3198,4.0,$,30.0,d5519810
id_1272,Barcelona,  European,1273,4.0,$$$$,554.0,d1080720
id_352,London,  Sushi,353,4.5,$$$$,688.0,d8632781
id_540,Bratislava,Other,541,3.5,NaN,3.0,d4770088
id_537,Madrid,  Vegetarian Friendly,538,4.0,$$ - $$$,515.0,d991104
id_3917,Rome,  Grill,3918,3.5,$$ - $$$,197.0,d3454924
id_6011,Madrid,  Pizza,6014,3.5,$$ - $$$,48.0,d3902868
id_393,Warsaw,  Grill,394,4.0,$$ - $$$,141.0,d4323006
id_5206,Barcelona,Other,5207,4.5,NaN,7.0,d5867903
id_541,Lyon,  Vietnamese,542,4.0,$$ - $$$,138.0,d2641947
id_3803,London,  Vegetarian Friendly,3810,4.5,$,25.0,d11721387
id_2512,Vienna,  Asian,2514,3.5,$$ - $$$,65.0,d947018
id_156,Budapest,Irish,157,4.0,$$ - $$$,438.0,d1648922
id_1188,Rome,  Vegan Options,1189,4.0,$$ - $$$,173.0,d11895495
id_155,Amsterdam,Steakhouse,156,4.5,$$ - $$$,482.0,d4588301
id_5357,Madrid,  Asian,5360,3.5,$$ - $$$,60.0,d6703191
id_1339,London,  Central American,1341,4.0,$$ - $$$,1495.0,d3181518
id_30,Geneva,  European,31,4.5,$$$$,142.0,d2618233
id_254,Lyon,French,255,4.0,$,233.0,d7596737
id_293,Madrid,  Gluten Free Options,294,4.0,$$ - $$$,754.0,d4410180
id_1516,Warsaw,Other,1518,4.0,NaN,6.0,d11793939
id_14346,London,Fast Food,14357,3.5,$,14.0,d5081096
id_4670,London,  Vegan Options,4678,5.0,$$ - $$$,19.0,d10070252
id_2620,London,  Vegetarian Friendly,2625,4.0,$$ - $$$,372.0,d3192453
id_11407,London,Other,11417,4.5,NaN,3.0,d10109314
id_253,Prague,  Czech,254,4.5,$$ - $$$,307.0,d3192062
id_194,Munich,Cafe,196,4.0,$$ - $$$,106.0,d4818393
id_846,Copenhagen,Chinese,847,3.5,$,74.0,d1081584
id_245,Stockholm,British,246,4.0,$$ - $$$,92.0,d8774485
id_771,Paris,  Gluten Free Options,772,4.0,$$$$,926.0,d695264
id_1201,Vienna,Russian,1202,4.0,NaN,20.0,d1103441
id_1300,Lisbon,  Portuguese,1301,4.5,$,32.0,d8008981
id_781,Barcelona,  Healthy,782,4.5,$$ - $$$,88.0,d9769328
id_377,Warsaw,  Thai,378,4.0,$$ - $$$,98.0,d4211999
id_945,Berlin,  Vegetarian Friendly,946,4.0,$,164.0,d4823847
id_361,Rome,  Mediterranean,362,4.5,$$ - $$$,288.0,d7361724
id_1539,Stockholm,  Steakhouse,1541,3.5,$$ - $$$,8.0,d12516525
id_553,Lisbon,Italian,554,4.5,$$ - $$$,66.0,d10266436
id_40,Edinburgh,  Vegetarian Friendly,41,4.5,$$ - $$$,834.0,d1871954
id_2711,Madrid,  Mediterranean,2713,4.5,$,9.0,d12354572
id_12307,London,Asian,12317,3.5,$$ - $$$,63.0,d1018974
id_4196,Barcelona,  Pub,4197,5.0,$$ - $$$,NaN,d12572658
id_284,Milan,  Fusion,285,4.0,$$ - $$$,905.0,d1926746
id_18,Dublin,  Vegetarian Friendly,19,4.5,$$ - $$$,670.0,d6482548
id_820,Vienna,  Diner,821,4.0,$$ - $$$,130.0,d1963456
id_14134,London,  Vegetarian Friendly,14144,3.5,$$ - $$$,52.0,d734267
id_2460,Milan,Japanese,2462,3.5,$,170.0,d3738693
id_1827,Rome,Bar,1828,4.0,$$ - $$$,274.0,d2374918
id_4166,London,Indian,4173,3.5,$$ - $$$,3135.0,d779012
id_56,Dublin,  British,57,4.5,$$ - $$$,3491.0,d1884058
id_1200,London,  Gluten Free Options,1202,4.0,$$ - $$$,278.0,d719718
id_402,Rome,Italian,403,4.0,$$ - $$$,1133.0,d1488977
id_2045,Madrid,Italian,2047,4.5,$$ - $$$,20.0,d10302313
id_1968,Vienna,Cafe,1970,4.0,$$ - $$$,39.0,d7920021
id_553,Lisbon,  Vegetarian Friendly,554,4.5,$$ - $$$,66.0,d10266436
id_8307,London,Other,8316,4.5,NaN,10.0,d7850012
id_689,Vienna,  Latin,690,4.5,$$ - $$$,29.0,d10485816
id_2055,Amsterdam,Other,2060,4.5,NaN,8.0,d10488130
id_13389,London,European,13399,4.0,$$ - $$$,16.0,d4872826
id_1754,Rome,  Vegetarian Friendly,1755,4.0,$$ - $$$,382.0,d4930739
id_4670,London,  Mediterranean,4678,5.0,$$ - $$$,19.0,d10070252
id_4348,London,  Pub,4355,4.5,$$ - $$$,120.0,d4324139
id_1720,Milan,  Pizza,1722,4.0,$,50.0,d5808504
id_5013,Paris,  Vegetarian Friendly,5014,4.0,$$$$,116.0,d719923
id_12901,London,  British,12911,3.5,$$ - $$$,4.0,d12996130
id_1767,Milan,  Brazilian,1769,4.0,$$ - $$$,25.0,d12927216
id_10876,London,  Asian,10886,4.0,$$ - $$$,20.0,d4185485
id_5131,Madrid,Spanish,5134,3.5,$,35.0,d3780762
id_3896,Barcelona,American,3897,4.0,$$ - $$$,13.0,d13162505
id_111,Edinburgh,  Pub,112,4.5,$$ - $$$,1951.0,d1186842
id_1370,Brussels,Other,1381,5.0,NaN,3.0,d11995686
id_532,Barcelona,  Vegan Options,533,4.0,$$ - $$$,744.0,d3179219
id_2476,Barcelona,  Street Food,2477,5.0,$,17.0,d10445344
id_890,Zurich,Other,894,4.5,NaN,4.0,d12206760
id_1365,Zurich,Italian,1370,3.5,$$ - $$$,25.0,d1125197
id_270,Warsaw,  European,271,4.0,$$ - $$$,85.0,d8797372
id_1897,Rome,  Pizza,1898,4.0,$$ - $$$,181.0,d1674503
id_318,Copenhagen,  Gluten Free Options,319,4.5,$$ - $$$,88.0,d4093614
id_3243,Milan,Pizza,3245,4.0,NaN,16.0,d7734583
id_9780,London,  Fast Food,9789,3.5,$$ - $$$,162.0,d3613533
id_3302,Paris,  Vegetarian Friendly,3303,4.0,$$ - $$$,245.0,d6949479
id_216,Copenhagen,  Vegetarian Friendly,217,4.5,$$ - $$$,125.0,d8121703
id_781,Barcelona,  Gluten Free Options,782,4.5,$$ - $$$,88.0,d9769328
id_871,Milan,  Vegetarian Friendly,873,4.5,$$ - $$$,69.0,d8277124
id_1539,Stockholm,  Pub,1541,3.5,$$ - $$$,8.0,d12516525
id_1751,Paris,  Vegetarian Friendly,1752,4.5,$$$$,114.0,d3327962
id_3652,Lisbon,Mediterranean,3657,2.0,$$ - $$$,292.0,d1096951
id_4209,Rome,  Fast Food,4210,4.0,$,55.0,d8020681
id_86,Budapest,  Hungarian,87,4.5,$$ - $$$,1256.0,d779921
id_825,Bratislava,Italian,826,3.0,NaN,9.0,d3199765
id_2460,Milan,  Sushi,2462,3.5,$,170.0,d3738693
id_714,Edinburgh,  European,715,4.5,$,42.0,d8713635
id_820,Milan,  Pizza,822,4.0,$,186.0,d2486144
id_8562,Paris,Other,8564,4.0,NaN,20.0,d1327141
id_1675,Lisbon,  Vegetarian Friendly,1676,4.0,$$ - $$$,41.0,d10170180
id_4090,Berlin,Italian,4092,4.0,$$ - $$$,20.0,d2046169
id_7272,London,  Pub,7281,4.0,$$ - $$$,72.0,d7002116
id_1678,Athens,Other,1680,3.0,NaN,NaN,d12883544
id_514,Madrid,  Gluten Free Options,515,4.0,$$ - $$$,231.0,d4473807
id_4196,Barcelona,Bar,4197,5.0,$$ - $$$,NaN,d12572658
id_8449,Madrid,Mediterranean,8456,2.5,$$ - $$$,566.0,d7241440
id_311,Warsaw,  Sushi,312,4.5,$$ - $$$,34.0,d9863670
id_7756,Madrid,Other,7763,3.0,NaN,18.0,d10784649
id_257,Copenhagen,Italian,258,4.5,$$ - $$$,92.0,d10292470
id_360,Budapest,  European,361,5.0,$$ - $$$,49.0,d8654533
id_7122,London,Bar,7131,4.0,$$ - $$$,79.0,d3322305
id_3998,Rome,  Mediterranean,3999,4.0,$$ - $$$,137.0,d2323613
id_874,Krakow,Pizza,875,4.5,NaN,4.0,d10477806
id_2177,Lisbon,  Mediterranean,2180,3.5,$$ - $$$,110.0,d7247750
id_11306,London,  Spanish,11316,3.5,$$ - $$$,47.0,d2643319
id_5611,London,Mediterranean,5620,5.0,$$ - $$$,8.0,d12971996
id_538,Stockholm,American,539,4.0,$$ - $$$,82.0,d780673
id_311,Warsaw,  Asian,312,4.5,$$ - $$$,34.0,d9863670
id_5080,Barcelona,Italian,5081,3.5,$$$$,32.0,d10226097
id_1272,Barcelona,  Vegetarian Friendly,1273,4.0,$$$$,554.0,d1080720
id_159,Oporto,  Vegetarian Friendly,160,4.5,$$ - $$$,264.0,d1027670
