Latitude,Longitude,Index,City
40.52,69.33,225,buston
-25.62,-57.5,489,nueva italia
-2.68,111.62,116,pangkalanbuun
32.12,20.07,297,benghazi
43.15,-77.62,184,rochester
48.68,71.64,172,atasu
47.91,106.88,294,ulaanbaatar
16.45,-85.85,353,savannah bight
68.12,13.5,497,gravdal
52.46,39.37,386,borinskoye
28.75,-82.5,182,florida
-12.7,-38.32,522,camacari
-18.37,-66.97,443,poopo
71.0,24.66,102,havoysund
35.13,140.3,54,katsuura
17.08,122.42,234,dicabisagan
8.3,30.14,137,ler
63.66,9.57,22,beian
45.25,77.98,395,ushtobe
-20.02,148.23,475,bowen
2.04,45.34,220,mogadishu
-20.41,57.7,141,mahebourg
17.02,54.09,568,salalah
58.55,50.04,350,kirovo-chepetsk
29.96,122.3,440,shenjiamen
50.68,156.12,192,severo-kurilsk
-34.53,20.04,59,bredasdorp
38.42,141.3,298,ishinomaki
42.8,93.45,186,hami
-26.65,15.16,185,luderitz
20.5,-10.07,126,adrar
2.18,22.47,142,bumba
-16.7,-151.02,325,fare
17.78,95.75,147,letpadan
19.22,-98.81,370,miraflores
21.32,103.9,68,son la
-4.27,15.28,398,brazzaville
9.59,41.87,195,dire dawa
9.49,50.81,408,bandarbeyla
18.5,102.42,388,phonhong
-0.72,-48.52,266,soure
71.92,114.08,196,saskylakh
-23.07,-44.96,453,cunha
48.41,29.25,492,obodivka
8.08,22.4,337,ouadda
70.63,147.92,154,chokurdakh
66.83,70.83,229,yar-sale
-35.66,-63.76,542,general pico
-31.25,-61.49,83,rafaela
22.57,59.53,431,sur
-15.33,28.68,566,chongwe
27.9,102.26,3,xichang
-3.8,102.27,169,bengkulu
20.78,97.03,211,taunggyi
29.03,21.55,527,jalu
-1.8,-79.33,555,montalvo
3.87,-67.92,114,inirida
18.74,7.39,474,arlit
50.7,-127.42,318,port hardy
43.78,20.23,548,guca
5.88,-10.05,428,buchanan
3.07,172.79,67,butaritari
37.13,26.85,146,lakkion
-16.07,167.38,218,norsup
-2.5,-66.27,129,fonte boa
-24.79,-50.01,133,castro
52.83,70.78,267,stepnyak
37.1,-113.58,250,saint george
31.37,119.87,5,yicheng
18.03,-77.85,485,black river
-34.58,150.86,545,flinders
32.45,-99.73,385,abilene
14.9,-24.5,441,sao filipe
29.37,-94.97,506,galveston
11.0,122.67,4,dingle
53.62,109.62,460,barguzin
63.75,-68.51,282,iqaluit
-21.2,-175.2,45,vaini
-23.12,-134.97,11,rikitea
56.54,21.04,247,liepaja
-10.45,161.92,468,kirakira
52.52,117.02,567,chernyshevsk
43.8,87.6,264,urumqi
65.28,-126.83,344,norman wells
62.46,-114.35,14,yellowknife
48.52,-72.23,583,roberval
18.1,-91.02,25,reforma
19.22,-104.7,88,san patricio
39.18,-84.53,239,hamilton
41.32,19.44,311,durres
43.28,5.52,505,la pena
59.12,159.97,572,palana
-3.55,143.63,87,wewak
42.6,-73.97,7,albany
19.73,-155.09,9,hilo
69.3,139.9,484,deputatskiy
3.52,15.05,387,yokadouma
2.43,103.84,459,mersing
39.05,-27.98,95,lagoa
60.91,61.52,341,ous
-6.32,155.48,374,panguna
-46.13,167.68,279,tuatapere
30.32,35.48,407,wadi musa
15.12,108.8,355,quang ngai
-24.96,-53.46,405,cascavel
-0.22,20.87,168,boende
1.64,18.07,510,impfondo
51.0,95.2,197,balgazyn
33.02,-80.18,515,summerville
-54.8,-68.3,37,ushuaia
-33.65,115.33,36,busselton
63.84,-22.43,171,grindavik
21.53,84.73,301,deogarh
-7.95,110.28,259,bambanglipuro
-8.26,-49.26,33,conceicao do araguaia
62.67,131.17,199,borogontsy
44.25,-85.4,504,cadillac
-30.18,-50.21,66,cidreira
-22.97,-42.03,32,arraial do cabo
7.77,-72.22,500,san cristobal
27.63,93.83,207,ziro
-25.17,45.05,454,beloha
-23.65,-70.4,570,antofagasta
64.75,177.48,541,anadyr
-21.21,-159.78,79,avarua
20.2,1.01,512,tessalit
50.0,88.67,249,kosh-agach
18.3,73.25,544,indapur
22.29,114.16,109,victoria
1.0,-52.0,523,amapa
73.51,80.55,61,dikson
-22.67,167.48,23,vao
13.93,41.69,406,edd
33.19,-82.53,508,avera
-20.21,57.76,28,quatre cocos
1.98,32.54,178,apac
-12.74,-60.15,104,vilhena
-16.48,-151.75,139,faanui
-22.96,14.51,181,walvis bay
-0.13,-67.09,293,sao gabriel da cachoeira
9.45,18.94,258,kyabe
29.58,-9.5,43,tiznit
-14.27,50.17,76,sambava
-0.88,131.25,286,sorong
-23.86,35.38,176,inhambane
14.2,24.67,358,kutum
48.59,57.19,49,shubarshi
-22.28,166.46,529,noumea
64.57,143.2,372,ust-nera
71.04,27.85,271,mehamn
15.47,74.52,447,londa
-9.8,-139.03,70,atuona
20.93,-17.03,424,nouadhibou
47.67,-122.12,573,redmond
55.96,92.36,233,divnogorsk
-0.03,109.33,432,pontianak
2.82,-60.67,416,boa vista
22.4,-79.97,435,santa clara
-20.46,-66.83,179,uyuni
60.82,-115.8,261,hay river
64.18,-51.72,499,nuuk
-24.7,44.75,51,ampanihy
-24.87,113.63,74,carnarvon
59.38,143.3,156,okhotsk
-5.38,27.0,238,kongolo
37.72,-25.43,414,vila franca do campo
46.54,138.33,327,svetlaya
18.9,-3.53,30,araouane
-10.07,-78.15,242,huarmey
64.75,20.95,582,skelleftea
51.02,45.7,39,krasnoarmeysk
36.29,-76.25,375,elizabeth city
-2.65,10.0,551,gamba
-7.61,15.06,47,uige
11.5,42.5,513,jibuti
16.06,-61.77,362,vieux-habitants
18.09,-15.98,558,nouakchott
-20.34,57.76,208,bambous virieux
77.48,-69.36,110,qaanaaq
69.22,-51.1,315,ilulissat
24.83,-104.83,419,durango
-10.41,-36.43,232,piacabucu
61.68,64.48,174,kommunisticheskiy
71.29,-156.79,108,barrow
65.97,78.37,400,urengoy
49.2,119.7,581,hailar
19.11,37.33,397,sawakin
34.06,-117.65,507,ontario
6.3,-10.8,476,monrovia
69.49,88.4,413,talnakh
44.08,2.92,119,millau
-41.15,-71.31,251,san carlos de bariloche
72.79,-56.15,46,upernavik
-14.48,35.26,17,mangochi
60.72,-135.05,101,whitehorse
43.06,44.74,575,oktyabrskoye
47.15,134.34,455,lermontovka
-19.84,34.84,525,beira
42.78,-9.06,557,muros
25.52,90.22,164,tura
-7.33,-75.02,77,contamana
10.57,72.64,319,kavaratti
7.38,8.57,263,yaan
55.07,-117.29,418,valleyview
29.29,-81.06,402,ormond beach
36.62,-121.92,483,pacific grove
31.61,34.76,98,gat
26.89,88.07,480,birin
33.67,-95.58,75,lamar
39.81,-121.58,113,magalia
-20.23,164.02,448,poum
-38.27,141.97,359,codrington
8.08,77.57,465,kanniyakumari
71.69,128.87,188,tiksi
-34.42,19.23,40,hermanus
17.52,-101.27,378,petatlan
58.52,-117.14,421,high level
16.08,80.17,339,chilakalurupet
40.82,-82.27,377,ashland
-6.88,112.21,213,labuhan
26.12,127.67,364,itoman
-19.76,-44.31,304,esmeraldas
69.45,-133.04,12,tuktoyaktuk
-11.21,13.84,120,sumbe
-5.55,12.2,244,cabinda
65.09,12.37,569,terrak
-0.91,122.88,536,biak
-28.24,-48.67,72,imbituba
-0.9,-89.6,382,puerto baquerizo moreno
41.71,-70.23,580,yarmouth
51.62,-8.87,412,clonakilty
-39.2,173.88,335,okato
40.59,-122.39,509,redding
34.98,133.47,134,niimi
67.45,153.68,343,srednekolymsk
45.44,40.58,224,kropotkin
53.41,-2.98,228,liverpool
50.15,-5.07,221,falmouth
12.22,125.48,345,alugan
-20.73,139.5,157,mount isa
62.58,6.13,122,roald
50.37,129.11,389,yekaterinoslavka
-8.61,120.47,136,ruteng
57.13,73.83,442,znamenskoye
62.49,17.33,280,timra
52.33,-109.93,151,macklin
-24.13,19.12,316,aranos
-8.01,-34.86,473,olinda
27.98,-114.06,320,guerrero negro
56.82,70.61,302,vikulovo
11.28,-15.83,471,bubaque
62.0,132.43,490,churapcha
-53.15,-70.92,6,punta arenas
14.92,-23.51,498,praia
32.67,-17.1,153,ponta do sol
39.01,-104.7,584,black forest
50.3,103.31,52,kholtoson
40.67,31.58,410,bolu
53.43,38.66,183,kurkino
-33.93,18.42,29,cape town
10.15,-85.45,191,nicoya
5.41,100.34,1,georgetown
25.81,66.62,394,uthal
56.45,138.17,496,ayan
38.44,57.43,214,baherden
54.77,-101.86,533,flin flon
57.79,-152.41,2,kodiak
50.7,103.47,245,bayangol
-34.0,24.73,194,kruisfontein
-34.48,-54.33,396,rocha
-6.98,-34.83,167,cabedelo
-21.22,48.33,366,mananjary
-19.98,57.61,219,cap malheureux
21.43,39.83,331,mecca
34.77,32.42,332,pafos
-21.36,55.77,356,saint-philippe
20.89,-156.47,291,kahului
-17.71,-39.25,328,caravelas
40.8,-124.16,554,eureka
37.73,-25.67,347,ponta delgada
-19.52,45.47,243,miandrivazo
2.33,37.99,526,marsabit
12.45,4.2,190,birnin kebbi
8.12,-63.55,201,ciudad bolivar
4.14,96.13,231,meulaboh
-9.2,25.85,439,bukama
-1.63,-47.48,553,sao miguel do guama
51.38,1.39,308,margate
-25.55,-54.59,223,foz do iguacu
31.9,-116.68,269,el sauzal
17.49,44.13,540,najran
51.13,0.26,556,royal tunbridge wells
4.09,30.68,295,yei
-21.2,-41.89,423,itaperuna
17.42,121.44,365,tabuk
56.05,51.97,543,grakhovo
70.47,-68.59,150,clyde river
41.17,-74.05,140,rockland
67.67,12.69,360,sorland
39.21,46.41,128,kapan
-21.15,149.2,235,mackay
9.19,117.81,322,tagusao
43.91,67.25,357,zhanakorgan
37.67,-1.7,466,lorca
-3.67,152.43,351,namatanai
-17.53,-149.33,477,tiarei
-34.68,150.87,521,kiama
35.73,140.83,426,hasaki
44.5,38.14,488,divnomorskoye
-37.96,176.99,203,whakatane
61.6,5.03,292,floro
-46.19,168.86,80,mataura
16.52,-90.64,380,benemerito de las americas
14.72,102.03,450,pak thong chai
-15.43,-74.62,248,acari
-8.93,125.41,65,airai
47.17,-55.15,313,marystown
38.52,-28.7,118,ribeira grande
13.78,124.39,81,gigmoto
3.98,13.18,24,abong mbang
-24.97,-57.57,585,benjamin aceval
1.57,30.25,461,bunia
23.52,74.0,132,galiakot
48.92,2.33,152,saint-denis
63.05,179.32,433,beringovskiy
-13.68,48.45,44,ambanja
71.97,102.5,63,khatanga
61.28,108.01,99,yerbogachen
-43.3,-65.1,534,rawson
3.94,-75.22,479,ortega
42.1,-79.24,50,jamestown
-25.4,-70.48,161,taltal
-33.87,121.9,204,esperance
-5.67,132.75,121,tual
32.69,47.27,222,dehloran
30.44,61.84,467,mirabad
60.05,69.9,390,gornopravdinsk
-4.05,19.53,89,mangai
5.38,-52.95,149,sinnamary
-34.65,-58.62,340,moron
18.47,120.58,363,davila
69.65,18.96,323,tromso
-18.06,13.84,417,opuwo
69.7,170.31,180,pevek
-28.45,21.26,274,upington
-22.12,14.28,162,henties bay
60.73,114.93,574,lensk
-19.06,-169.92,198,alofi
64.38,-173.3,15,provideniya
47.67,-52.73,187,torbay
-45.87,170.5,170,dunedin
70.37,31.11,217,vardo
-23.13,150.73,469,yeppoon
46.43,26.4,338,asau
45.76,106.27,462,mandalgovi
40.29,-76.83,430,progress
-33.7,-53.46,257,chuy
42.25,-75.83,324,broome
3.08,-59.95,482,bonfim
-0.74,-90.35,8,puerto ayora
59.7,30.79,35,nikolskoye
25.29,60.64,562,chabahar
64.5,-165.41,85,nome
25.12,62.33,535,gwadar
38.92,141.13,64,ichinoseki
-16.84,36.99,478,mocuba
2.38,11.28,348,ambam
38.42,77.24,148,shache
-18.59,-39.73,276,conceicao da barra
-17.73,-149.15,487,tautira
65.58,-171.0,256,lavrentiya
-26.82,-65.22,449,tucuman
-33.01,-58.52,470,gualeguaychu
65.61,72.68,240,staryy nadym
34.95,-85.26,427,fort oglethorpe
-41.07,145.92,100,burnie
41.12,80.26,289,aksu
40.92,14.53,531,nola
69.38,178.42,212,leningradskiy
-5.18,-68.9,310,jutai
-20.1,146.27,577,charters towers
-9.67,-35.74,236,maceio
-19.55,169.27,115,isangel
14.97,8.89,38,tanout
14.4,46.47,384,marzuq
60.14,-45.24,393,nanortalik
64.47,40.85,511,uyemskiy
40.5,16.42,495,matera
38.61,-89.37,56,carlyle
-6.22,155.63,530,kieta
-1.83,-44.87,127,cururupu
-20.52,57.52,57,souillac
64.54,40.54,429,arkhangelsk
36.41,-105.57,437,taos
16.15,36.2,451,wagar
56.55,36.43,537,novozavidovskiy
55.72,38.34,546,imeni vorovskogo
1.74,98.78,303,sibolga
-28.87,28.05,381,hlotse
-17.69,-42.52,145,capelinha
32.0,-102.08,369,midland
-29.95,-71.34,528,coquimbo
-21.64,-41.05,124,sao joao da barra
-41.87,-73.82,273,ancud
44.17,66.75,78,shieli
52.3,86.2,520,krasnogorskoye
58.69,99.18,336,kodinsk
-42.78,147.06,55,new norfolk
46.68,113.28,383,baruun-urt
14.83,120.78,342,paombong
51.26,-80.61,246,moose factory
33.28,134.15,16,muroto
-0.6,73.08,58,hithadhoo
43.41,-124.22,230,north bend
49.98,92.07,486,ulaangom
-15.2,12.15,27,namibe
55.13,39.8,155,radovitskiy
6.75,11.82,91,banyo
78.22,15.64,82,longyearbyen
-37.83,140.77,175,mount gambier
65.61,-37.64,21,tasiilaq
27.37,87.2,564,khandbari
8.88,11.37,446,jalingo
-2.57,150.8,143,kavieng
5.72,19.07,422,sibut
41.37,-73.41,13,bethel
-28.45,18.73,19,warmbad
18.65,74.08,552,koregaon
-20.7,-44.83,202,oliveira
-35.17,173.17,334,ahipara
-41.41,175.52,415,waipawa
31.81,121.66,93,huilong
47.12,51.88,312,atyrau
42.0,8.92,346,ajaccio
-9.88,-56.09,565,alta floresta
