Ohio,Alaska,South Carolina,Massachusetts,Louisiana,Colorado,Florida,Nevada,Nebraska,Virginia,South Dakota,Delaware,New Jersey,Wisconsin,Oklahoma,Kansas,Wyoming,Rhode Island,Iowa,North Carolina,Oregon,New Mexico,Montana,Illinois,Vermont,Idaho,New York,California,Missouri,Alabama,Indiana,Utah,Connecticut,Maryland,New Hampshire,Georgia,Washington,Arkansas,Kentucky,Pennsylvania,Michigan,Tennessee,West Virginia,Texas,Arizona,Hawaii,Mississippi,North Dakota,Maine,Minnesota
2.20%,6.30%,1.60%,6.70%,1.80%,3.30%,2.90%,8.70%,2.50%,6.60%,1.50%,4.00%,9.80%,2.80%,2.20%,3.00%,1.00%,3.60%,2.50%,2.90%,4.50%,1.70%,0.80%,5.50%,1.80%,1.50%,8.90%,14.80%,2.00%,1.40%,2.20%,2.50%,4.70%,6.60%,2.70%,4.10%,8.60%,1.60%,1.50%,3.50%,3.10%,1.80%,0.80%,4.80%,3.40%,37.70%,1.10%,1.50%,1.20%,4.90%
0.10%,1.30%,0.10%,0.10%,0.10%,0.20%,0.10%,0.80%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.20%,0.10%,0.10%,0.20%,0.10%,0.10%,0.40%,0.20%,0.10%,0.10%,Z,0.20%,0.10%,0.50%,0.10%,0.10%,0.10%,1.00%,0.10%,0.10%,0.10%,0.10%,0.80%,0.30%,0.10%,0.10%,Z,0.10%,Z,0.10%,0.30%,10.20%,0.10%,0.10%,Z,0.10%
2.20%,7.30%,1.80%,2.30%,1.60%,3.00%,2.10%,4.20%,2.10%,2.90%,2.30%,2.60%,2.20%,1.90%,6.10%,2.90%,2.10%,2.70%,1.80%,2.20%,3.80%,2.50%,2.70%,1.90%,1.90%,2.40%,2.50%,3.80%,2.20%,1.60%,2.00%,2.50%,2.30%,2.80%,1.70%,2.10%,4.60%,2.00%,1.90%,1.90%,2.40%,1.90%,1.70%,1.90%,2.80%,23.70%,1.20%,2.10%,1.70%,2.40%
3.70%,7.00%,5.50%,11.50%,5.00%,21.30%,24.90%,28.50%,10.70%,9.10%,3.70%,9.20%,20.00%,6.70%,10.30%,11.60%,10.00%,14.90%,5.80%,9.20%,12.80%,48.50%,3.60%,17.00%,1.90%,12.30%,19.00%,38.90%,4.10%,4.20%,6.80%,13.80%,15.70%,9.80%,3.50%,9.40%,12.40%,7.30%,3.50%,7.00%,5.00%,5.20%,1.50%,39.10%,30.90%,10.40%,3.10%,3.60%,1.60%,5.20%
79.50%,61.20%,63.90%,73.00%,59.00%,68.60%,54.90%,49.90%,79.60%,62.40%,82.50%,62.90%,55.80%,81.70%,66.20%,76.30%,84.10%,73.30%,86.20%,63.50%,76.40%,38.10%,86.50%,61.70%,93.10%,82.40%,55.80%,37.70%,79.70%,65.80%,79.60%,78.80%,67.70%,51.50%,90.80%,53.40%,69.50%,72.90%,85.00%,77.00%,75.40%,74.20%,92.30%,42.60%,55.50%,22.10%,56.90%,85.00%,93.50%,80.60%
"806,531","69,323","378,959","355,083","281,989","391,725","1,507,738","220,332","132,918","706,539","63,742","71,213","393,277","381,940","295,847","198,396","48,505","66,076","211,066","696,119","306,723","164,157","90,000","668,933","44,708","119,711","828,586","1,777,410","451,342","363,170","426,493","134,332","199,331","403,900","106,827","670,617","564,864","220,953","297,312","870,770","626,722","462,414","150,021","1,539,655","505,794","110,238","184,774","51,179","119,058","342,388"
4.10%,7.40%,4.80%,15.50%,4.00%,9.80%,19.70%,19.20%,6.60%,11.70%,3.00%,8.70%,21.70%,4.80%,5.80%,6.90%,3.60%,13.30%,4.70%,7.70%,9.90%,9.80%,2.10%,14.00%,4.30%,6.10%,22.50%,27.00%,3.90%,3.50%,4.80%,8.40%,13.90%,14.50%,5.70%,9.80%,13.40%,4.70%,3.40%,6.30%,6.30%,4.80%,1.50%,16.60%,13.50%,17.70%,2.30%,3.20%,3.50%,7.70%
"5,164,361","310,658","2,236,153","2,858,026","2,036,975","2,339,118","9,301,642","1,221,698","827,156","3,491,054","383,838","426,149","3,604,409","2,668,444","1,721,045","1,259,864","270,600","462,589","1,380,162","4,540,498","1,732,786","917,568","497,756","5,326,970","329,525","700,825","8,231,687","14,060,525","2,760,084","2,230,185","2,854,546","1,054,164","1,499,116","2,447,127","625,307","4,218,776","3,025,685","1,354,762","1,965,556","5,612,002","4,560,055","2,919,671","886,640","10,753,629","2,961,003","537,114","1,307,441","368,624","730,705","2,409,935"
"5,127,508","306,967","2,137,683","2,808,254","1,964,981","2,212,898","8,989,580","1,173,814","796,793","3,364,939","363,438","405,885","3,553,562","2,624,358","1,664,378","1,233,215","261,868","463,388","1,336,417","4,327,528","1,675,562","901,388","482,825","5,296,715","322,539","667,796","8,108,103","13,680,081","2,712,729","2,171,853","2,795,541","979,709","1,487,891","2,378,814","614,754","4,088,801","2,885,677","1,316,299","1,927,164","5,567,315","4,532,233","2,812,133","881,917","9,977,436","2,844,526","519,508","1,274,719","317,498","721,830","2,347,201"
66.30%,63.40%,68.60%,62.10%,65.80%,64.30%,65.30%,55.10%,66.20%,66.20%,68.10%,71.20%,64.50%,67.30%,66.10%,66.70%,69.10%,60.10%,71.50%,65.10%,61.30%,68.10%,67.20%,66.40%,71.00%,68.90%,53.60%,54.30%,67.20%,68.70%,69.00%,69.50%,67.00%,66.80%,71.00%,63.30%,62.50%,66.10%,67.20%,69.20%,71.00%,66.80%,72.50%,62.20%,62.80%,56.90%,68.40%,64.10%,71.20%,71.70%
"$129,900 ","$250,000 ","$139,900 ","$333,100 ","$144,100 ","$247,800 ","$159,000 ","$173,700 ","$133,200 ","$245,000 ","$140,500 ","$231,500 ","$315,900 ","$165,800 ","$117,900 ","$132,000 ","$194,800 ","$238,000 ","$129,200 ","$154,900 ","$237,300 ","$160,300 ","$193,500 ","$173,800 ","$217,500 ","$162,900 ","$283,400 ","$385,500 ","$138,400 ","$125,500 ","$124,200 ","$215,900 ","$270,500 ","$286,900 ","$237,300 ","$148,100 ","$259,500 ","$111,400 ","$123,200 ","$166,000 ","$122,400 ","$142,100 ","$103,800 ","$136,000 ","$167,500 ","$515,300 ","$103,100 ","$153,800 ","$173,800 ","$186,200 "
"$1,246 ","$1,827 ","$1,183 ","$2,063 ","$1,200 ","$1,577 ","$1,435 ","$1,442 ","$1,270 ","$1,711 ","$1,210 ","$1,537 ","$2,386 ","$1,402 ","$1,147 ","$1,282 ","$1,348 ","$1,815 ","$1,171 ","$1,248 ","$1,557 ","$1,227 ","$1,294 ","$1,636 ","$1,535 ","$1,189 ","$2,022 ","$2,155 ","$1,210 ","$1,139 ","$1,102 ","$1,428 ","$2,067 ","$1,951 ","$1,870 ","$1,346 ","$1,731 ","$1,019 ","$1,112 ","$1,425 ","$1,257 ","$1,181 ",$966 ,"$1,432 ","$1,343 ","$2,270 ","$1,077 ","$1,243 ","$1,336 ","$1,490 "
$444 ,$554 ,$347 ,$717 ,$317 ,$419 ,$463 ,$410 ,$471 ,$433 ,$433 ,$445 ,$973 ,$532 ,$370 ,$455 ,$386 ,$682 ,$434 ,$373 ,$469 ,$327 ,$387 ,$574 ,$641 ,$340 ,$709 ,$500 ,$402 ,$345 ,$378 ,$388 ,$833 ,$582 ,$747 ,$392 ,$511 ,$327 ,$339 ,$498 ,$461 ,$359 ,$293 ,$460 ,$380 ,$505 ,$341 ,$423 ,$477 ,$479 
$730 ,"$1,146 ",$790 ,"$1,102 ",$788 ,"$1,002 ","$1,002 ",$973 ,$726 ,"$1,116 ",$655 ,"$1,018 ","$1,192 ",$776 ,$727 ,$757 ,$789 ,$925 ,$697 ,$797 ,$907 ,$777 ,$711 ,$907 ,$895 ,$743 ,"$1,132 ","$1,255 ",$746 ,$717 ,$745 ,$887 ,"$1,075 ","$1,230 ","$1,000 ",$879 ,"$1,014 ",$677 ,$675 ,$840 ,$783 ,$764 ,$643 ,$882 ,$913 ,"$1,438 ",$717 ,$709 ,$777 ,$848 
"22,816","1,503","32,165","16,288","14,503","38,974","116,240","17,952","8,078","31,132","5,686","5,804","26,793","19,274","12,092","9,807","1,727","1,226","14,317","60,550","19,586","4,863","4,781","22,603","1,771","12,165","33,711","102,350","18,997","15,001","18,713","22,662","5,504","17,044","3,796","51,675","44,077","9,474","12,714","23,303","20,408","36,157","2,544","165,853","35,578","3,369","6,886","3,981","4,010","21,449"
"4,585,084","250,969","1,815,094","2,549,721","1,727,919","2,024,468","7,300,494","1,016,709","736,613","3,062,783","330,858","344,022","3,189,486","2,299,107","1,455,321","1,113,472","226,865","410,602","1,236,409","3,775,581","1,533,430","763,603","409,394","4,786,388","257,167","589,320","7,262,279","12,717,801","2,364,688","1,848,325","2,501,937","906,292","1,352,583","2,166,389","520,251","3,574,362","2,668,912","1,138,025","1,708,499","4,958,859","3,841,148","2,504,556","740,890","9,149,196","2,412,212","450,572","1,096,593","299,638","553,284","2,124,745"
2.46,2.81,2.56,2.53,2.6,2.55,2.63,2.72,2.47,2.62,2.45,2.62,2.73,2.43,2.57,2.53,2.49,2.46,2.42,2.54,2.51,2.67,2.41,2.63,2.34,2.69,2.63,2.96,2.48,2.55,2.55,3.15,2.57,2.67,2.47,2.73,2.56,2.53,2.5,2.49,2.52,2.53,2.43,2.84,2.69,3.02,2.64,2.32,2.34,2.49
85.30%,80.90%,84.70%,87.10%,86.30%,80.80%,83.80%,78.80%,83.70%,84.40%,83.40%,86.60%,90.20%,85.80%,82.60%,83.50%,81.90%,86.60%,84.80%,84.70%,81.90%,85.70%,83.60%,86.80%,86.50%,82.40%,89.10%,85.20%,83.90%,85.30%,85.00%,82.90%,87.80%,86.60%,86.50%,84.00%,82.50%,83.90%,84.70%,88.00%,85.30%,84.70%,88.20%,83.30%,81.30%,85.10%,86.10%,82.20%,85.90%,85.50%
6.70%,16.20%,6.90%,22.50%,8.50%,16.90%,28.10%,30.00%,10.80%,15.40%,6.50%,12.90%,30.50%,8.70%,9.80%,11.30%,7.10%,21.40%,7.40%,11.20%,15.10%,35.70%,4.10%,22.70%,5.40%,10.60%,30.40%,43.90%,6.00%,5.20%,8.30%,14.70%,21.90%,17.20%,7.90%,13.60%,18.90%,7.20%,5.10%,10.60%,9.20%,6.90%,2.50%,35.00%,26.90%,25.20%,3.90%,5.60%,6.60%,11.00%
89.10%,92.10%,85.60%,89.80%,83.40%,90.70%,86.90%,85.10%,90.70%,88.30%,90.90%,88.40%,88.60%,91.00%,86.90%,90.20%,92.30%,86.20%,91.50%,85.80%,89.80%,84.20%,92.80%,87.90%,91.80%,89.50%,85.60%,81.80%,88.40%,84.30%,87.80%,91.20%,89.90%,89.40%,92.30%,85.40%,90.40%,84.80%,84.20%,89.20%,89.60%,85.50%,85.00%,81.90%,86.00%,91.00%,82.30%,91.70%,91.60%,92.40%
26.10%,28.00%,25.80%,40.50%,22.50%,38.10%,27.30%,23.00%,29.30%,36.30%,27.00%,30.00%,36.80%,27.80%,24.10%,31.00%,25.70%,31.90%,26.70%,28.40%,30.80%,26.30%,29.50%,32.30%,36.00%,25.90%,34.20%,31.40%,27.10%,23.50%,24.10%,31.10%,37.60%,37.90%,34.90%,28.80%,32.90%,21.10%,22.30%,28.60%,26.90%,24.90%,19.20%,27.60%,27.50%,30.80%,20.70%,27.70%,29.00%,33.70%
9.90%,8.10%,10.30%,7.90%,11.00%,7.20%,8.50%,9.00%,7.30%,7.70%,8.40%,8.50%,6.60%,8.20%,11.30%,8.60%,8.50%,8.90%,7.90%,9.60%,10.20%,10.10%,9.10%,7.10%,10.00%,9.00%,7.40%,6.80%,10.40%,11.80%,9.70%,6.60%,7.10%,7.10%,8.50%,8.80%,8.90%,12.30%,12.90%,9.50%,10.30%,11.20%,14.40%,8.10%,8.20%,6.50%,11.90%,6.80%,11.90%,7.10%
6.60%,15.50%,11.90%,2.90%,11.90%,8.60%,15.30%,13.10%,9.90%,10.10%,10.30%,6.60%,9.20%,6.20%,16.10%,10.10%,13.40%,5.10%,5.00%,12.20%,7.30%,10.80%,9.80%,7.40%,4.50%,11.80%,7.00%,8.30%,10.50%,10.70%,9.40%,9.70%,5.70%,7.00%,7.10%,14.80%,6.90%,9.30%,6.00%,6.70%,6.30%,10.60%,6.50%,18.60%,11.90%,4.20%,13.90%,8.10%,9.90%,4.80%
63.30%,67.70%,60.10%,67.50%,60.40%,67.60%,58.80%,64.00%,69.90%,64.70%,68.60%,63.10%,65.90%,67.10%,61.10%,66.30%,67.70%,65.50%,67.60%,61.80%,62.10%,59.10%,63.60%,65.60%,66.60%,62.60%,63.30%,63.10%,63.20%,58.00%,63.90%,67.70%,67.20%,67.90%,68.20%,62.30%,63.50%,58.50%,59.10%,62.80%,61.20%,61.00%,53.90%,64.30%,59.30%,61.50%,57.50%,69.30%,63.40%,70.00%
59.00%,65.00%,56.20%,63.40%,56.00%,62.60%,54.70%,59.30%,65.20%,60.80%,64.60%,59.40%,60.60%,63.50%,55.70%,61.60%,62.70%,61.60%,63.30%,57.70%,57.60%,54.90%,59.50%,60.70%,63.60%,56.80%,58.70%,57.20%,59.30%,53.00%,59.00%,59.50%,62.80%,64.10%,63.80%,57.90%,58.50%,53.30%,54.90%,58.30%,57.10%,56.30%,49.20%,57.70%,54.50%,58.80%,53.70%,65.00%,59.90%,66.20%
"20,652,777","2,221,335","9,763,818","17,508,975","11,697,949","13,617,654","49,817,925","27,481,505","3,094,498","17,795,901","1,873,699","2,148,437","19,673,558","10,303,256","7,121,153","4,873,411","1,644,844","2,481,314","5,468,687","18,622,258","8,466,788","4,349,672","2,420,455","27,937,381","1,564,272","2,680,225","49,285,508","90,830,372","12,430,310","7,576,462","13,076,602","4,789,281","9,542,068","12,516,782","2,942,278","18,976,611","14,297,278","4,307,264","7,500,115","23,504,192","17,962,356","12,499,013","4,036,333","54,480,811","13,996,635","9,536,706","6,999,175","2,045,123","2,901,347","11,722,627"
"80,915,693","6,375,483","22,941,292","63,583,090","27,951,792","29,488,161","124,061,425","13,928,514","12,869,418","47,705,003","6,211,731","7,003,251","60,375,232","40,680,625","22,795,438","18,248,370","3,291,478","8,223,005","18,583,828","55,227,505","24,956,816","11,236,630","6,469,475","83,431,778","4,457,996","7,895,614","155,666,053","248,953,592","40,089,316","26,039,632","42,493,117","14,521,857","29,573,119","40,821,901","9,616,460","51,800,643","43,966,889","15,792,628","26,264,745","96,329,248","63,018,786","42,383,683","12,259,395","145,035,130","37,055,881","8,136,947","16,630,587","5,418,355","10,297,043","40,403,572"
"313,629,976",D,"99,160,840","81,927,799","271,191,050","50,447,098","96,924,106","14,719,141","57,499,177","96,389,872","16,882,647","22,597,384","108,854,971","177,728,926","74,295,394","86,076,260","10,783,794","11,262,158","116,668,830","202,344,646","51,349,948","29,102,352","11,535,236","281,037,755","9,315,494","20,201,432","148,879,931","512,303,164","111,535,362","124,809,759","242,763,842","50,046,429","55,160,095","39,532,989","18,895,624","155,836,792","131,530,601","62,712,925","129,284,438","231,396,178","238,892,383","139,960,482","24,553,072","702,603,073","51,243,473",D,"66,441,608","14,427,360","16,044,543","123,076,309"
"155,426,023","5,216,303","45,520,900","123,904,370","68,012,838","77,034,971","252,626,608","19,841,701","42,618,995","86,613,641","20,411,059","5,628,914","288,467,844","77,066,883","71,892,946","60,226,324","5,597,891","22,310,389","62,318,301","105,275,586","48,325,261","10,720,363","12,645,824","295,456,992","6,450,076","17,906,012","341,734,970","666,652,186","91,916,351","57,746,565","81,173,422","30,927,885","161,962,244","60,734,191","18,029,179","143,645,290","83,313,366","31,256,110","71,745,899","191,170,147","115,704,903","111,718,421","14,295,437","691,242,607","69,437,272","9,607,982","28,302,952","28,150,837","12,961,262","104,485,117"
"153,553,997","10,474,275","58,093,824","92,915,380","61,396,364","67,815,200","273,867,145","38,234,170","30,470,717","110,002,385","13,791,827","14,456,001","133,665,728","78,201,822","50,256,231","38,276,461","9,446,043","12,063,865","44,905,624","120,691,007","49,481,054","25,179,274","15,623,573","166,634,514","9,933,751","20,444,278","251,167,736","481,800,461","90,546,581","58,564,965","85,857,962","38,024,486","51,632,467","76,379,707","26,018,201","119,801,495","118,924,049","36,815,256","54,869,978","178,794,945","119,302,046","91,641,605","22,637,923","356,116,376","84,716,542","18,901,745","37,053,190","15,519,816","21,521,714","78,898,182"
"$13,301 ","$14,320 ","$12,298 ","$13,980 ","$13,342 ","$13,073 ","$14,177 ","$13,858 ","$16,422 ","$13,438 ","$16,550 ","$15,763 ","$15,079 ","$13,656 ","$13,174 ","$13,263 ","$16,388 ","$11,486 ","$14,607 ","$12,376 ","$12,690 ","$12,073 ","$15,544 ","$12,942 ","$15,868 ","$12,812 ","$12,834 ","$12,665 ","$15,036 ","$12,145 ","$13,133 ","$13,317 ","$14,381 ","$12,980 ","$19,700 ","$12,077 ","$17,243 ","$12,483 ","$12,526 ","$14,008 ","$12,071 ","$14,194 ","$12,201 ","$13,666 ","$12,927 ","$13,576 ","$12,413 ","$22,183 ","$16,192 ","$14,667 "
23.2,19.0,23.9,28.7,25.1,24.8,26.4,23.9,18.3,27.9,16.9,25.5,31.0,21.9,21.3,19.1,18.3,24.2,18.9,23.9,22.9,21.6,18.1,28.4,22.5,20.2,32.3,28.0,23.2,24.4,23.3,21.6,25.4,32.3,26.9,27.4,26.3,21.6,23.0,26.3,24.2,24.5,25.6,25.6,24.8,26.8,24.1,17.2,23.6,23.1
"$49,429 ","$72,515 ","$45,483 ","$68,563 ","$45,047 ","$60,629 ","$47,507 ","$51,847 ","$52,997 ","$65,015 ","$50,957 ","$60,509 ","$72,093 ","$53,357 ","$46,879 ","$52,205 ","$58,840 ","$56,852 ","$53,183 ","$46,868 ","$51,243 ","$44,963 ","$47,169 ","$57,574 ","$55,176 ","$47,583 ","$59,269 ","$61,818 ","$48,173 ","$43,623 ","$49,255 ","$60,727 ","$70,331 ","$74,551 ","$66,779 ","$49,620 ","$61,062 ","$41,371 ","$43,740 ","$53,599 ","$49,576 ","$45,219 ","$41,751 ","$53,207 ","$50,255 ","$69,515 ","$39,665 ","$57,181 ","$49,331 ","$61,492 "
"$26,953 ","$33,413 ","$24,604 ","$36,895 ","$24,981 ","$32,217 ","$26,829 ","$26,541 ","$27,882 ","$34,152 ","$26,747 ","$30,554 ","$36,582 ","$28,340 ","$25,032 ","$27,706 ","$29,803 ","$31,118 ","$27,950 ","$25,920 ","$27,684 ","$24,012 ","$26,381 ","$30,494 ","$29,894 ","$23,399 ","$33,236 ","$30,318 ","$26,259 ","$24,091 ","$25,346 ","$24,686 ","$38,803 ","$36,897 ","$34,362 ","$25,737 ","$31,762 ","$22,798 ","$24,063 ","$29,291 ","$26,607 ","$25,227 ","$23,450 ","$26,999 ","$25,848 ","$29,822 ","$21,057 ","$32,035 ","$27,655 ","$32,157 "
14.60%,9.90%,15.30%,10.40%,20.20%,11.00%,14.70%,13.80%,11.40%,11.00%,13.30%,11.70%,10.40%,11.80%,16.30%,12.10%,11.30%,12.80%,11.80%,15.40%,13.30%,19.80%,13.30%,13.00%,11.90%,14.40%,14.70%,14.30%,14.00%,17.10%,14.10%,10.20%,9.80%,9.70%,7.30%,16.00%,11.30%,17.20%,18.50%,12.90%,15.00%,15.80%,17.90%,15.60%,16.40%,9.30%,20.80%,10.70%,12.50%,9.90%
"251,668","20,907","103,973","175,225","105,575","161,737","532,830","63,383","53,719","197,384","26,511","24,852","230,961","139,500","93,093","74,526","21,040","28,387","80,952","223,209","112,393","43,793","37,270","318,266","21,121","44,757","540,298","908,120","158,191","98,540","145,116","75,463","89,232","137,204","37,669","224,593","182,913","65,175","91,845","299,695","219,627","133,344","36,993","569,091","136,352","31,915","58,662","24,848","40,801","148,666"
