Index,Longitude,Latitude,Country
136,120.47,-8.61,ID
302,70.61,56.82,RU
243,45.47,-19.52,MG
116,111.62,-2.68,ID
33,-49.26,-8.26,BR
237,88.17,57.31,RU
54,140.3,35.13,JP
391,63.58,61.36,RU
405,-53.46,-24.96,BR
361,32.98,-24.53,MZ
233,92.36,55.96,RU
223,-54.59,-25.55,BR
115,169.27,-19.55,VU
134,133.47,34.98,JP
38,8.89,14.97,NE
248,-74.62,-15.43,PE
509,-122.39,40.59,US
463,158.67,57.8,RU
385,-99.73,32.45,US
212,178.42,69.38,RU
104,-60.15,-12.74,BR
379,-101.27,52.11,CA
346,8.92,42.0,FR
95,-27.98,39.05,PT
296,-124.16,40.6,US
239,-84.53,39.18,US
358,24.67,14.2,SD
404,2.53,48.96,FR
410,31.58,40.67,TR
524,55.28,-21.15,RE
287,11.94,58.35,SE
339,80.17,16.08,IN
438,-74.85,49.78,CA
528,-71.34,-29.95,CL
558,-15.98,18.09,MR
146,26.85,37.13,GR
585,-57.57,-24.97,PY
485,-77.85,18.03,JM
329,102.46,14.43,TH
320,-114.06,27.98,MX
487,-149.15,-17.73,PF
499,-51.72,64.18,GL
541,177.48,64.75,RU
340,-58.62,-34.65,AR
0,-159.32,22.08,US
121,132.75,-5.67,ID
381,28.05,-28.87,LS
375,-76.25,36.29,US
382,-89.6,-0.9,EC
138,118.72,-8.47,ID
274,21.26,-28.45,ZA
522,-38.32,-12.7,BR
17,35.26,-14.48,MW
102,24.66,71.0,NO
514,87.98,65.82,RU
231,96.13,4.14,ID
506,-94.97,29.37,US
376,135.29,43.74,RU
575,44.74,43.06,RU
176,35.38,-23.86,MZ
436,-71.63,-33.04,CL
207,93.83,27.63,IN
437,-105.57,36.41,US
73,10.78,45.17,IT
308,1.39,51.38,GB
420,-93.22,45.02,US
92,80.17,12.63,IN
415,175.52,-41.41,NZ
14,-114.35,62.46,CA
220,45.34,2.04,SO
309,-151.26,60.55,US
387,15.05,3.52,CM
152,2.33,48.92,FR
518,-70.1,41.28,US
194,24.73,-34.0,ZA
428,-10.05,5.88,LR
542,-63.76,-35.66,AR
430,-76.83,40.29,US
357,67.25,43.91,KZ
371,-69.22,-51.62,AR
168,20.87,-0.22,CD
198,-169.92,-19.06,NU
322,117.81,9.19,PH
579,13.23,-8.84,AO
123,-65.71,66.15,CA
417,13.84,-18.06,
84,-86.57,34.73,US
452,100.35,-0.95,ID
276,-39.73,-18.59,BR
185,15.16,-26.65,
79,-159.78,-21.21,CK
60,-57.56,-38.0,AR
23,167.48,-22.67,NC
458,73.07,6.62,MV
64,141.13,38.92,JP
582,20.95,64.75,SE
501,-72.5,46.82,CA
71,168.33,-46.6,NZ
478,36.99,-16.84,MZ
483,-121.92,36.62,US
512,1.01,20.2,ML
447,74.52,15.47,IN
504,-85.4,44.25,US
383,113.28,46.68,MN
61,80.55,73.51,RU
489,-57.5,-25.62,PY
193,169.85,-46.28,NZ
440,122.3,29.96,CN
271,27.85,71.04,NO
169,102.27,-3.8,ID
324,-75.83,42.25,US
256,-171.0,65.58,RU
244,12.2,-5.55,AO
293,-67.09,-0.13,BR
34,26.89,-33.59,ZA
520,86.2,52.3,RU
277,135.88,46.49,RU
107,124.65,56.67,RU
285,-52.33,4.93,GF
148,77.24,38.42,CN
443,-66.97,-18.37,BO
315,-51.1,69.22,GL
182,-82.5,28.75,US
120,13.84,-11.21,AO
68,103.9,21.32,VN
166,20.74,-8.42,AO
453,-44.96,-23.07,BR
190,4.2,12.45,NG
255,-51.19,68.82,GL
47,15.06,-7.61,AO
313,-55.15,47.17,CA
147,95.75,17.78,MM
362,-61.77,16.06,GP
66,-50.21,-30.18,BR
230,-124.22,43.41,US
31,-50.61,-15.82,BR
160,-64.32,44.38,CA
400,78.37,65.97,RU
278,152.85,-25.3,AU
351,152.43,-3.67,PG
228,-2.98,53.41,GB
99,108.01,61.28,RU
414,-25.43,37.72,PT
433,179.32,63.05,RU
388,102.42,18.5,LA
525,34.84,-19.84,MZ
331,39.83,21.43,SA
199,131.17,62.67,RU
69,39.51,68.05,RU
125,116.31,35.91,CN
344,-126.83,65.28,CA
26,-59.52,13.22,BB
203,176.99,-37.96,NZ
205,27.91,-33.02,ZA
265,45.65,39.72,AM
393,-45.24,60.14,GL
300,-63.06,18.22,AI
373,17.69,-14.66,AO
332,32.42,34.77,CY
298,141.3,38.42,JP
1,100.34,5.41,MY
532,-59.78,8.2,GY
413,88.4,69.49,RU
86,147.33,-42.88,AU
290,72.94,41.87,KG
164,90.22,25.52,IN
210,113.16,51.9,RU
260,-109.91,22.89,MX
25,-91.02,18.1,MX
468,161.92,-10.45,SB
29,18.42,-33.93,ZA
479,-75.22,3.94,CO
36,115.33,-33.65,AU
572,159.97,59.12,RU
145,-42.52,-17.69,BR
461,30.25,1.57,CD
53,-115.95,30.48,MX
226,-90.4,20.87,MX
546,38.34,55.72,RU
475,148.23,-20.02,AU
441,-24.5,14.9,CV
540,44.13,17.49,SA
474,7.39,18.74,NE
234,122.42,17.08,PH
502,108.63,34.06,CN
222,47.27,32.69,IR
218,167.38,-16.07,VU
538,22.27,-19.67,BW
65,125.41,-8.93,TL
367,33.12,0.95,UG
503,42.24,57.81,RU
536,122.88,-0.91,ID
94,-97.86,55.74,CA
42,-71.17,-31.63,CL
557,-9.06,42.78,ES
327,138.33,46.54,RU
253,32.55,25.29,EG
548,20.23,43.78,RS
183,38.66,53.43,RU
269,-116.68,31.9,MX
384,46.47,14.4,YE
336,99.18,58.69,RU
37,-68.3,-54.8,AR
251,-71.31,-41.15,AR
11,-134.97,-23.12,PF
465,77.57,8.08,IN
43,-9.5,29.58,MA
186,93.45,42.8,CN
208,57.76,-20.34,MU
167,-34.83,-6.98,BR
140,-74.05,41.17,US
3,102.26,27.9,CN
510,18.07,1.64,CG
195,41.87,9.59,ET
263,8.57,7.38,NG
314,-35.46,-5.2,BR
8,-90.35,-0.74,EC
181,14.51,-22.96,
49,57.19,48.59,KZ
363,120.58,18.47,PH
531,14.53,40.92,IT
467,61.84,30.44,AF
48,-134.42,58.3,US
459,103.84,2.43,MY
63,102.5,71.97,RU
364,127.67,26.12,JP
389,129.11,50.37,RU
289,80.26,41.12,CN
434,-158.01,21.32,US
494,114.97,-8.19,ID
40,19.23,-34.42,ZA
539,-20.27,63.44,IS
395,77.98,45.25,KZ
547,-63.0,-40.81,AR
175,140.77,-37.83,AU
470,-58.52,-33.01,AR
78,66.75,44.17,KZ
129,-66.27,-2.5,BR
41,-17.34,66.04,IS
279,167.68,-46.13,NZ
196,114.08,71.92,RU
517,-68.06,-38.95,AR
490,132.43,62.0,RU
578,-15.21,64.25,IS
481,173.78,-35.1,NZ
24,13.18,3.98,CM
85,-165.41,64.5,US
301,84.73,21.53,IN
236,-35.74,-9.67,BR
170,170.5,-45.87,NZ
211,97.03,20.78,MM
241,130.99,-25.24,AU
74,113.63,-24.87,AU
554,-124.16,40.8,US
457,31.83,41.25,TR
62,126.58,7.45,PH
242,-78.15,-10.07,PE
135,92.63,60.38,RU
439,25.85,-9.2,CD
266,-48.52,-0.72,BR
103,126.53,52.78,RU
105,80.23,9.82,LK
221,-5.07,50.15,GB
156,143.3,59.38,RU
184,-77.62,43.15,US
516,-28.63,38.53,PT
304,-44.31,-19.76,BR
58,73.08,-0.6,MV
232,-36.43,-10.41,BR
444,120.21,-3.46,ID
258,18.94,9.45,TD
179,-66.83,-20.46,BO
530,155.63,-6.22,PG
131,116.22,40.22,CN
12,-133.04,69.45,CA
201,-63.55,8.12,VE
229,70.83,66.83,RU
10,31.18,27.18,EG
165,135.6,62.67,RU
98,34.76,31.61,IL
113,-121.58,39.81,US
89,19.53,-4.05,CD
341,61.52,60.91,RU
15,-173.3,64.38,RU
295,30.68,4.09,SS
299,122.79,-0.95,ID
359,141.97,-38.27,AU
227,-120.46,34.64,US
565,-56.09,-9.88,BR
419,-104.83,24.83,MX
567,117.02,52.52,RU
303,98.78,1.74,ID
348,11.28,2.38,CM
118,-28.7,38.52,PT
416,-60.67,2.82,BR
108,-156.79,71.29,US
513,42.5,11.5,DJ
318,-127.42,50.7,CA
555,-79.33,-1.8,EC
544,73.25,18.3,IN
189,-76.22,-13.7,PE
224,40.58,45.44,RU
180,170.31,69.7,RU
386,39.37,52.46,RU
124,-41.05,-21.64,BR
456,-99.39,36.43,US
563,44.38,14.3,YE
424,-17.03,20.93,MR
282,-68.51,63.75,CA
240,72.68,65.61,RU
32,-42.03,-22.97,BR
216,71.72,40.43,UZ
192,156.12,50.68,RU
50,-79.24,42.1,US
130,-108.59,37.35,US
158,23.77,56.97,LV
450,102.03,14.72,TH
67,172.79,3.07,KI
392,-1.58,6.45,GH
204,121.9,-33.87,AU
486,92.07,49.98,MN
316,19.12,-24.13,
13,-73.41,41.37,US
507,-117.65,34.06,US
317,-57.75,-6.22,BR
100,145.92,-41.07,AU
76,50.17,-14.27,MG
117,-46.05,60.92,GL
562,60.64,25.29,IR
283,86.18,69.41,RU
448,164.02,-20.23,NC
545,150.86,-34.58,AU
431,59.53,22.57,OM
355,108.8,15.12,VN
275,-122.14,52.14,CA
527,21.55,29.03,LY
543,51.97,56.05,RU
394,66.62,25.81,PK
328,-39.25,-17.71,BR
141,57.7,-20.41,MU
325,-151.02,-16.7,PF
477,-149.33,-17.53,PF
556,0.26,51.13,GB
151,-109.93,52.33,CA
369,-102.08,32.0,US
352,-121.94,50.69,CA
418,-117.29,55.07,CA
254,52.98,47.53,KZ
305,-49.67,61.99,GL
390,69.9,60.05,RU
163,45.76,64.9,RU
91,11.82,6.75,CM
270,134.95,47.89,RU
174,64.48,61.68,RU
191,-85.45,10.15,CR
173,57.53,22.93,OM
500,-72.22,7.77,VE
142,22.47,2.18,CD
19,18.73,-28.45,
90,125.51,12.18,PH
154,147.92,70.63,RU
537,36.43,56.55,RU
44,48.45,-13.68,MG
321,75.6,22.13,IN
172,71.64,48.68,KZ
521,150.87,-34.68,AU
535,62.33,25.12,PK
412,-8.87,51.62,IE
143,150.8,-2.57,PG
109,114.16,22.29,HK
422,19.07,5.72,CF
460,109.62,53.62,RU
286,131.25,-0.88,ID
511,40.85,64.47,RU
122,6.13,62.58,NO
209,-147.72,64.84,US
378,-101.27,17.52,MX
566,28.68,-15.33,ZM
28,57.76,-20.21,MU
101,-135.05,60.72,CA
342,120.78,14.83,PH
46,-56.15,72.79,GL
162,14.28,-22.12,
288,128.92,-3.33,ID
570,-70.4,-23.65,CL
75,-95.58,33.67,US
421,-117.14,58.52,CA
550,-137.51,60.75,CA
425,-52.9,65.42,GL
284,31.16,40.84,TR
429,40.54,64.54,RU
257,-53.46,-33.7,UY
21,-37.64,65.61,GL
455,134.34,47.15,RU
268,-151.75,-16.52,PF
432,109.33,-0.03,ID
119,2.92,44.08,FR
235,149.2,-21.15,AU
177,-124.02,54.02,CA
93,121.66,31.81,CN
445,51.53,25.29,QA
396,-54.33,-34.48,UY
206,129.48,28.37,JP
20,-73.65,-37.62,CL
561,8.52,39.17,IT
5,119.87,31.37,CN
493,35.73,54.39,RU
267,70.78,52.83,KZ
326,114.6,-28.77,AU
306,-3.0,51.59,GB
569,12.37,65.09,NO
153,-17.1,32.67,PT
559,78.7,67.47,RU
354,139.87,34.98,JP
574,114.93,60.73,RU
35,30.79,59.7,RU
427,-85.26,34.95,US
338,26.4,46.43,RO
449,-65.22,-26.82,AR
526,37.99,2.33,KE
583,-72.23,48.52,CA
515,-80.18,33.02,US
197,95.2,51.0,RU
571,10.7,46.62,IT
335,173.88,-39.2,NZ
106,-59.59,-4.39,BR
297,20.07,32.12,LY
534,-65.1,-43.3,AR
356,55.77,-21.36,RE
519,49.05,-13.2,MG
159,35.58,6.98,ET
155,39.8,55.13,RU
82,15.64,78.22,SJ
492,29.25,48.41,UA
246,-80.61,51.26,CA
137,30.14,8.3,SS
533,-101.86,54.77,CA
469,150.73,-23.13,AU
464,101.77,36.62,CN
337,22.4,8.08,CF
