Subtitle,Item #,Description,On Hand,Reg.,Special
Restricted Firearms,G21GEN4FS,GLOCK 21 GEN 4 FIXED SIGHTS,1.0,1175.0,950.0
Shotguns,512298395,"WINCHESTER SXP ULT DEF 12-3,18 INV+1",2.0,585.0,468.0
Rimfire Rifles,SAV40001,SAVAGE 64F SEMI 22LR,1.0,230.0,184.0
Rimfire Rifles,SAV40060,SAVAGE 64F LEFT HAND SEMI 22LR,1.0,225.0,180.0
Shotguns,MKA1919KM,MKA 1919 KEY MOD 12GA,1.0,1050.0,892.5
Rimfire Rifles,21001102,BROWNING AUTO 22 GRADE 1 22LR,1.0,830.0,725.0
Centrefire Rifles,JRTV141,TIKKA T3 CAMO STAINLESS 300 WSM,2.0,1125.0,895.0
Shotguns,512299395,"WINCHESTER SXP ULT MAR DEF,12-3,18 INV+1",2.0,630.0,504.0
Shotguns,MOS50460,MOSSBERG 500 CHAINSAW 12GA,1.0,675.0,525.0
Centrefire Rifles,SAV22224,SAVAGE AXIS-II XP 7MM-08 REM,1.0,600.0,500.0
Centrefire Rifles,SAV22420,SAVAGE AXIS XP 243 WIN,1.0,500.0,425.0
Restricted Firearms,1911-22-C1,SIG SAUER 1911 22 C1 CAMO,1.0,699.0,399.0
Rimfire Rifles,SAV47001,SAVAGE A17 SEMI 17 HMR,2.0,635.0,508.0
Shotguns,A0389400,"BENELLI SUPER NOVA TAC 3.5"" 12GA 14""",2.0,1000.0,800.0
Rimfire Rifles,SAV28700,SAVAGE MKII FV 22 LR,3.0,310.0,265.0
Rimfire Rifles,H003T,HENRY PUMP 22LR OCT,1.0,680.0,480.0
Restricted Firearms,BM90831,BUSHMASTER XM15 PATROLMAN 223/5.56,1.0,1500.0,1095.0
Centrefire Rifles,35299226,BROWNING X-BLT ECLP HUNT 30/06 SPRG,1.0,1175.0,998.75
Centrefire Rifles,K3000764,KIMBER MTN ASCENT 280 ACKLEY,1.0,2975.0,2400.0
Rimfire Rifles,SAV45200,SAVAGE 64 TR SR SEMI 22LR,2.0,450.0,360.0
Centrefire Rifles,35800246,BROWNING A-BLT 3 STLKR 300 WSM,1.0,675.0,573.75
Centrefire Rifles,34006118,BROWNING BLR 308 WIN,1.0,1195.0,1015.75
Centrefire Rifles,EDGE300,FIERCE EDGE 300 WIN MAG,1.0,3350.0,2500.0
Shotguns,20051,"BENELLI NOVA TACT 3.5"" 12GA",1.0,595.0,476.0
Shotguns,BEN20071,"BENELLI NOVA MAX-5 12 GA 3.5"" 28""",1.0,775.0,620.0
Centrefire Rifles,R84078,REM 700 CDL DM 7mm REM MAG,1.0,1150.0,695.0
Shotguns,BEN20100,"BENELLI SUPER NOVA 3.5"" 12 GA",1.0,775.0,620.0
Centrefire Rifles,R27269,REM 700 SPS SS 30-06 SPRG,2.0,960.0,785.0
Centrefire Rifles,K3000814,KIMBER MONTANA 280 ACK. IMP.,1.0,2099.0,1700.0
Shotguns,MKA1919,MKA 1919 QUAD RAIL 12GA,1.0,1050.0,892.5
Centrefire Rifles,JRS2Q41,SAKO 85 FINNLIGHT 300 WSM,1.0,2300.0,1950.0
Centrefire Rifles,35202216,BROWNING X-BLT SS 7mm-08 REM,1.0,1325.0,1126.25
Shotguns,7H31816215040,"BERETTA A350 XTREMA SYN 12 GA 28""",1.0,1725.0,1250.0
Restricted Firearms,51507490,"BROWNING BM CNTR SS 5.5"" URX 22LR",1.0,695.0,520.0
Centrefire Rifles,35202231,BROWNING X-BLT SS 338 WIN MAG,2.0,1375.0,1168.75
Centrefire Rifles,TS3203100,TIKKA T3 SYN 300 WIN MAG,1.0,840.0,675.0
Shotguns,R25012,REM 870 MARINE MAG 12GA,1.0,995.0,796.0
Shotguns,R81045,"REM VERSAMAX SPRTSMN 12GA 28""",1.0,1385.0,1108.0
Rimfire Rifles,SAV13780,SAVAGE RASCAL PINK 22 LR,2.0,250.0,220.0
