Restaurant_id,City,Ranking,Rating,Number of Reviews,URL_TA,ID_TA,Cuisine Style
id_1048,Paris,1049,4.5,281.0,/Restaurant_Review-g187147-d719083-Reviews-Le_Clos_des_Gourmets-Paris_Ile_de_France.html,d719083,"  European,   Vegetarian Friendly, French"
id_10665,London,10675,4.0,7.0,/Restaurant_Review-g186338-d10677156-Reviews-Bombay_Spice-London_England.html,d10677156,Other
id_1069,Dublin,1072,4.5,17.0,/Restaurant_Review-g186605-d5536153-Reviews-Sakura_Sushi-Dublin_County_Dublin.html,d5536153,"  Sushi,   Asian,   Vegetarian Friendly, Japanese"
id_1076,Warsaw,1077,5.0,2.0,/Restaurant_Review-g274856-d12018194-Reviews-The_Zoopa-Warsaw_Mazovia_Province_Central_Poland.html,d12018194,"  European,   International, Polish,   Fusion"
id_10781,London,10791,4.5,17.0,/Restaurant_Review-g186338-d787024-Reviews-Crystal_Palace-London_England.html,d787024,"  Middle Eastern, Turkish,   Halal"
id_1079,Lisbon,1080,4.0,167.0,/Restaurant_Review-g189158-d2703359-Reviews-A_Mourisca-Lisbon_Lisbon_District_Central_Portugal.html,d2703359,"  Portuguese,   European,   Mediterranean"
id_108,Hamburg,109,4.0,371.0,/Restaurant_Review-g187331-d1353540-Reviews-Nagel_Restaurant_and_Brasserie-Hamburg.html,d1353540,"  Gastropub,   European"
id_1084,Lyon,1085,4.5,15.0,/Restaurant_Review-g187265-d4492506-Reviews-Les_petites_serviettes-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d4492506,Contemporary
id_10876,London,10886,4.0,20.0,/Restaurant_Review-g186338-d4185485-Reviews-Haweli_of_Sutton-London_England.html,d4185485,"  Asian, Indian,   Balti,   Vegetarian Friendly,   Eastern European"
id_1089,Lyon,1090,4.0,22.0,/Restaurant_Review-g187265-d10389470-Reviews-Brasserie_Gallay-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d10389470,French
id_111,Edinburgh,112,4.5,1951.0,/Restaurant_Review-g186525-d1186842-Reviews-The_World_s_End-Edinburgh_Scotland.html,d1186842,"  Gluten Free Options,   British,   European,   Scottish, Bar,   Vegetarian Friendly,   Vegan Options"
id_111,Ljubljana,112,4.5,30.0,/Restaurant_Review-g274873-d5965027-Reviews-Zhong_Hua_Restaurant-Ljubljana_Upper_Carniola_Region.html,d5965027,"Chinese,   Asian,   Vegetarian Friendly"
id_11121,London,11131,4.5,7.0,/Restaurant_Review-g186338-d8659568-Reviews-46_Mercy-London_England.html,d8659568,"Bar,   Pub"
id_11134,London,11144,4.5,8.0,/Restaurant_Review-g186338-d2225278-Reviews-Semz_Cafe-London_England.html,d2225278,"  Mediterranean, Turkish,   British"
id_1115,Rome,1116,4.5,87.0,/Restaurant_Review-g187791-d7359557-Reviews-Pommidoro-Rome_Lazio.html,d7359557,"  Vegan Options, Pizza,   Vegetarian Friendly"
id_11266,London,11276,4.0,10.0,/Restaurant_Review-g186338-d9740703-Reviews-Kultrun-London_England.html,d9740703,"  Chilean, Latin,   Spanish,   South American"
id_11272,London,11282,4.5,3.0,/Restaurant_Review-g186338-d7311463-Reviews-Kitchen-London_England.html,d7311463,International
id_11306,London,11316,3.5,47.0,/Restaurant_Review-g186338-d2643319-Reviews-Iberica_La_Terraza-London_England.html,d2643319,"  Spanish,   Bar,   European,   Pub, Mediterranean"
id_1132,Paris,1133,4.5,255.0,/Restaurant_Review-g187147-d1877226-Reviews-Shu-Paris_Ile_de_France.html,d1877226,"  Asian, Japanese"
id_1133,Brussels,1134,3.5,61.0,/Restaurant_Review-g188644-d1082420-Reviews-Al_Pronto-Brussels.html,d1082420,"Italian,   Pizza,   European"
id_1135,Zurich,1140,4.5,4.0,/Restaurant_Review-g188113-d6620235-Reviews-Mai_Wok-Zurich.html,d6620235,"Chinese,   Vietnamese"
id_11407,London,11417,4.5,3.0,/Restaurant_Review-g186338-d10109314-Reviews-Heathrow_Restaurant-London_England.html,d10109314,Other
id_1141,Milan,1143,4.5,28.0,/Restaurant_Review-g187849-d12710453-Reviews-Sara_Indian_Restaurant-Milan_Lombardy.html,d12710453,"  Vegan Options, Indian"
id_11432,Paris,11434,4.0,15.0,/Restaurant_Review-g187147-d1074698-Reviews-Pakito-Paris_Ile_de_France.html,d1074698,Other
id_1149,Madrid,1150,4.5,53.0,/Restaurant_Review-g187514-d12099376-Reviews-Los_Espetinhos-Madrid.html,d12099376,"  Gluten Free Options, Steakhouse"
id_1151,Milan,1153,4.5,143.0,/Restaurant_Review-g187849-d2697097-Reviews-Pravda-Milan_Lombardy.html,d2697097,Other
id_11602,London,11612,4.0,16.0,/Restaurant_Review-g186338-d10392913-Reviews-Aqua_London-London_England.html,d10392913,Other
id_1167,Brussels,1168,4.0,26.0,/Restaurant_Review-g188644-d11962971-Reviews-Vertigo-Brussels.html,d11962971,"European,   Contemporary,   Gastropub"
id_1168,Lisbon,1169,4.0,67.0,/Restaurant_Review-g189158-d6883153-Reviews-Restaurante_Sem_Palavras-Lisbon_Lisbon_District_Central_Portugal.html,d6883153,"  Mediterranean,   Portuguese, Seafood,   European"
id_1182,Copenhagen,1176,5.0,3.0,/Restaurant_Review-g189541-d6813236-Reviews-Koi_Sushi-Copenhagen_Zealand.html,d6813236,  Sushi
id_1188,Rome,1189,4.0,173.0,/Restaurant_Review-g187791-d11895495-Reviews-SAO_Brazilian_Sushi_Bar-Rome_Lazio.html,d11895495,"  Vegetarian Friendly,   Sushi,   Seafood,   Gluten Free Options,   Vegan Options,   Brazilian"
id_11945,London,11955,4.0,3.0,/Restaurant_Review-g186338-d7276832-Reviews-Duke_of_Wellington-London_England.html,d7276832,Pizza
id_1200,London,1202,4.0,278.0,/Restaurant_Review-g186338-d719718-Reviews-Light_House_Restaurant-London_England.html,d719718,"European,   Gluten Free Options,   Vegetarian Friendly,   British"
id_1201,Vienna,1202,4.0,20.0,/Restaurant_Review-g190454-d1103441-Reviews-Abend_Restaurant_Feuervogel-Vienna.html,d1103441,Russian
id_12014,Paris,12016,3.5,16.0,/Restaurant_Review-g187147-d3735127-Reviews-Fish_and_Food_Cafe-Paris_Ile_de_France.html,d3735127,"  Healthy, Seafood"
id_12045,London,12055,4.0,2.0,/Restaurant_Review-g186338-d8635738-Reviews-The_Golden_Anchor_Public_House-London_England.html,d8635738,Caribbean
id_1208,Vienna,1209,4.5,8.0,/Restaurant_Review-g190454-d12995806-Reviews-Ivy_s_Pho_Grill-Vienna.html,d12995806,"  Street Food, Vietnamese"
id_12089,Paris,12091,3.5,15.0,/Restaurant_Review-g187147-d1035596-Reviews-L_Envol_Cafe_Quebecois-Paris_Ile_de_France.html,d1035596,Other
id_1213,Dublin,1216,5.0,NaN,/Restaurant_Review-g186605-d7246537-Reviews-Restaurant-Dublin_County_Dublin.html,d7246537,Other
id_12247,Paris,12249,3.0,2.0,/Restaurant_Review-g187147-d12112547-Reviews-Restaurant_Naina-Paris_Ile_de_France.html,d12112547,Other
id_1225,Dublin,1228,5.0,NaN,/Restaurant_Review-g186605-d12873448-Reviews-Scent_at_Home-Dublin_County_Dublin.html,d12873448,Other
id_12273,London,12283,4.5,2.0,/Restaurant_Review-g186338-d1044726-Reviews-Toad_in_the_Hole-London_England.html,d1044726,"  Grill, Bar"
id_1228,Barcelona,1229,4.0,277.0,/Restaurant_Review-g187497-d790369-Reviews-La_Fianna-Barcelona_Catalonia.html,d790369,"Mediterranean,   Vegan Options,   Vegetarian Friendly,   International"
id_1228,Madrid,1230,4.0,78.0,/Restaurant_Review-g187514-d10331391-Reviews-El_Kiosko_Ferraz-Madrid.html,d10331391,"  Gluten Free Options,   Vegan Options, Mediterranean,   Spanish,   Vegetarian Friendly"
id_12287,Paris,12289,3.0,8.0,/Restaurant_Review-g187147-d11666969-Reviews-Institut_De_Bonte-Paris_Ile_de_France.html,d11666969,Other
id_12307,London,12317,3.5,63.0,/Restaurant_Review-g186338-d1018974-Reviews-Dim_T-London_England.html,d1018974,"  Vegetarian Friendly,   Chinese, Asian,   Malaysian,   Thai"
id_12364,London,12374,4.0,NaN,/Restaurant_Review-g186338-d5442851-Reviews-Queen_s_Crescent_Grill-London_England.html,d5442851,Other
id_1239,Rome,1240,4.0,302.0,/Restaurant_Review-g187791-d4023512-Reviews-Hostaria_da_Vincenzo-Rome_Lazio.html,d4023512,"  Soups, Italian,   Gluten Free Options,   Mediterranean,   Vegetarian Friendly"
id_12392,London,12402,4.0,NaN,/Restaurant_Review-g186338-d13153300-Reviews-Italian_Corner-London_England.html,d13153300,"Italian,   Pizza,   Cafe"
id_1243,Warsaw,1244,4.5,12.0,/Restaurant_Review-g274856-d4781734-Reviews-Stara_Praga-Warsaw_Mazovia_Province_Central_Poland.html,d4781734,Cafe
id_1244,Munich,1256,3.5,45.0,/Restaurant_Review-g187309-d2524764-Reviews-Majestic_Asia_Restaurant-Munich_Upper_Bavaria_Bavaria.html,d2524764,"Asian,   Vegetarian Friendly"
id_12449,London,12459,4.0,NaN,/Restaurant_Review-g186338-d12114896-Reviews-Subway-London_England.html,d12114896,Other
id_12452,Paris,12454,3.0,2.0,/Restaurant_Review-g187147-d11766630-Reviews-Domino_s-Paris_Ile_de_France.html,d11766630,Other
id_1246,Hamburg,1248,4.0,15.0,/Restaurant_Review-g187331-d3849968-Reviews-Taverna_Korfu-Hamburg.html,d3849968,Greek
id_1247,Dublin,1250,5.0,3.0,/Restaurant_Review-g186605-d7805333-Reviews-Biscotti_Caffe-Dublin_County_Dublin.html,d7805333,Other
id_12473,Paris,12475,3.5,13.0,/Restaurant_Review-g187147-d4185793-Reviews-Jesusparadis-Paris_Ile_de_France.html,d4185793,South American
id_12475,London,12485,4.0,NaN,/Restaurant_Review-g186338-d5583335-Reviews-The_India_Gate-London_England.html,d5583335,Indian
id_12495,Paris,12497,3.0,8.0,/Restaurant_Review-g187147-d10478105-Reviews-Pacha_Kebab-Paris_Ile_de_France.html,d10478105,Other
id_1254,Geneva,1260,3.0,6.0,/Restaurant_Review-g188057-d2625256-Reviews-Olio_Design-Geneva.html,d2625256,Italian
id_1257,Budapest,1258,5.0,14.0,/Restaurant_Review-g274887-d10613140-Reviews-Suzy_s_vegan_dinner_above_the_city-Budapest_Central_Hungary.html,d10613140,"  Vegetarian Friendly,   Hungarian,   Central European,   Vegan Options,   Healthy"
id_1257,Madrid,1259,4.0,121.0,/Restaurant_Review-g187514-d2096546-Reviews-Asia_Te-Madrid.html,d2096546,"Chinese,   Asian"
id_12587,London,12597,4.0,2.0,/Restaurant_Review-g186338-d10333393-Reviews-La_Petite_Poule-London_England.html,d10333393,French
id_1261,Rome,1262,4.0,822.0,/Restaurant_Review-g187791-d4811912-Reviews-100_Montaditos-Rome_Lazio.html,d4811912,"  Spanish, Brew Pub,   Vegetarian Friendly,   Fast Food"
id_12622,London,12632,4.0,NaN,/Restaurant_Review-g186338-d12175079-Reviews-Pappadom-London_England.html,d12175079,Indian
id_1268,Lyon,1269,4.0,37.0,/Restaurant_Review-g187265-d4585716-Reviews-Saumon_et_Cie-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d4585716,French
id_12703,Paris,12705,3.0,121.0,/Restaurant_Review-g187147-d2011853-Reviews-Aux_Villes_du_Nord-Paris_Ile_de_France.html,d2011853,"  Pub, Bar,   French"
id_1272,Barcelona,1273,4.0,554.0,/Restaurant_Review-g187497-d1080720-Reviews-Restaurante_Arola-Barcelona_Catalonia.html,d1080720,"Mediterranean,   Spanish,   Vegetarian Friendly,   European,   Vegan Options"
id_1275,Rome,1276,4.0,377.0,/Restaurant_Review-g187791-d2439603-Reviews-Elliot_Pub-Rome_Lazio.html,d2439603,"  Pub,   Pizza,   European,   Bar, Italian"
id_128,Stockholm,129,4.5,183.0,/Restaurant_Review-g189852-d5949148-Reviews-Un_Poco-Stockholm.html,d5949148,"  Vegetarian Friendly,   European,   Mediterranean, Italian"
id_1280,Stockholm,1281,4.5,2.0,/Restaurant_Review-g189852-d12949592-Reviews-Gandhi_Grondal-Stockholm.html,d12949592,Other
id_12824,London,12834,3.5,7.0,/Restaurant_Review-g186338-d720652-Reviews-Tai_Buffet-London_England.html,d720652,Chinese
id_12901,London,12911,3.5,4.0,/Restaurant_Review-g186338-d12996130-Reviews-The_Running_Horse-London_England.html,d12996130,International
id_12906,London,12916,3.0,8.0,/Restaurant_Review-g186338-d5080700-Reviews-Kebabish-London_England.html,d5080700,Other
id_1293,Stockholm,1294,4.0,6.0,/Restaurant_Review-g189852-d12335302-Reviews-Litani-Stockholm.html,d12335302,"  Mediterranean, Lebanese"
id_130,Edinburgh,131,4.5,448.0,/Restaurant_Review-g186525-d752894-Reviews-The_Cambridge_Bar-Edinburgh_Scotland.html,d752894,"  Bar, American,   Gluten Free Options,   British"
id_1300,Lisbon,1301,4.5,32.0,/Restaurant_Review-g189158-d8008981-Reviews-Pastelaria_Pomarense-Lisbon_Lisbon_District_Central_Portugal.html,d8008981,"Cafe,   European"
id_13016,London,13026,3.5,52.0,/Restaurant_Review-g186338-d2508041-Reviews-The_Swan_Wimbledon-London_England.html,d2508041,"  British,   Pub"
id_13074,London,13084,4.0,3.0,/Restaurant_Review-g186338-d3912269-Reviews-Forbidden_Temple-London_England.html,d3912269,Asian
id_131,Dublin,132,4.5,404.0,/Restaurant_Review-g186605-d3859070-Reviews-McGettigans_Cookhouse_Bar-Dublin_County_Dublin.html,d3859070,"  International,   Vegan Options,   Bar, Irish,   European,   Gluten Free Options"
id_13122,London,13132,3.5,28.0,/Restaurant_Review-g186338-d4040052-Reviews-Peppers_Restaurant_Chiswick-London_England.html,d4040052,"Indian,   Asian"
id_1313,Zurich,1318,4.0,6.0,/Restaurant_Review-g188113-d8736586-Reviews-Cafe_Uetli-Zurich.html,d8736586,Other
id_13159,Paris,13161,3.0,37.0,/Restaurant_Review-g187147-d6697515-Reviews-La_Piazza-Paris_Ile_de_France.html,d6697515,Other
id_13175,Paris,13177,3.0,121.0,/Restaurant_Review-g187147-d3405673-Reviews-La_Terrasse_Vedettes_de_Paris-Paris_Ile_de_France.html,d3405673,"  Vegetarian Friendly,   International, French"
id_13199,London,13209,3.0,11.0,/Restaurant_Review-g186338-d718909-Reviews-Eco-London_England.html,d718909,"Italian,   Pizza"
id_1323,Dublin,1326,3.5,113.0,/Restaurant_Review-g186605-d3431140-Reviews-Chopped-Dublin_County_Dublin.html,d3431140,"  Gluten Free Options, Fast Food,   Delicatessen,   Vegetarian Friendly,   Vegan Options"
id_1327,Budapest,1328,5.0,NaN,/Restaurant_Review-g274887-d8791087-Reviews-Bunny_Chinese_Fast_Food-Budapest_Central_Hungary.html,d8791087,Other
id_1328,Milan,1330,4.0,237.0,/Restaurant_Review-g187849-d1226617-Reviews-De_Pasajo_Dal_Marchigiano-Milan_Lombardy.html,d1226617,Other
id_13337,Paris,13339,2.5,13.0,/Restaurant_Review-g187147-d4129187-Reviews-Le_New_s-Paris_Ile_de_France.html,d4129187,Italian
id_1334,Hamburg,1336,5.0,NaN,/Restaurant_Review-g187331-d12384552-Reviews-Club_20457-Hamburg.html,d12384552,"Bar,   Pub"
id_13354,London,13364,4.0,34.0,/Restaurant_Review-g186338-d3192609-Reviews-The_Hammersmith_Cafe-London_England.html,d3192609,"Asian,   Thai"
id_13389,London,13399,4.0,16.0,/Restaurant_Review-g186338-d4872826-Reviews-Elliotts_London_Bridge-London_England.html,d4872826,European
id_1339,London,1341,4.0,1495.0,/Restaurant_Review-g186338-d3181518-Reviews-TGI_Friday_s_Piccadilly-London_England.html,d3181518,"  Central American,   Bar,   Gluten Free Options, American,   Vegetarian Friendly"
id_134,Geneva,135,4.0,191.0,/Restaurant_Review-g188057-d7687905-Reviews-Le_49_Rhone-Geneva.html,d7687905,"French,   European,   Steakhouse"
id_13403,London,13413,3.5,3.0,/Restaurant_Review-g186338-d12452377-Reviews-Bella_Italia-London_England.html,d12452377,Other
id_1341,Vienna,1342,3.5,110.0,/Restaurant_Review-g190454-d941095-Reviews-Pizzaria_Mafiosi-Vienna.html,d941095,"  Pizza,   European,   Vegetarian Friendly, Italian"
id_13419,London,13429,3.5,35.0,/Restaurant_Review-g186338-d3242247-Reviews-The_Argyle-London_England.html,d3242247,"  Pub,   British"
id_1346,London,1348,4.5,156.0,/Restaurant_Review-g186338-d8125299-Reviews-Waffle_Jack_s_American_Diner-London_England.html,d8125299,"American,   Vegan Options,   Vegetarian Friendly"
id_13478,London,13488,2.5,8.0,/Restaurant_Review-g186338-d1097059-Reviews-Asta_3-London_England.html,d1097059,Other
id_1349,Athens,1351,4.5,3.0,/Restaurant_Review-g189400-d8810157-Reviews-Athens_Attica.html,d8810157,Other
id_13563,London,13573,3.5,6.0,/Restaurant_Review-g186338-d8401717-Reviews-Springbank-London_England.html,d8401717,Seafood
id_1359,Barcelona,1360,4.5,59.0,/Restaurant_Review-g187497-d9765679-Reviews-Pizza_D_Autore-Barcelona_Catalonia.html,d9765679,"  Pizza, Italian,   Mediterranean"
id_1365,Zurich,1370,3.5,25.0,/Restaurant_Review-g188113-d1125197-Reviews-Milano-Zurich.html,d1125197,Italian
id_1368,Warsaw,1370,4.5,2.0,/Restaurant_Review-g274856-d8596967-Reviews-Le_Petit_Cafe-Warsaw_Mazovia_Province_Central_Poland.html,d8596967,Other
id_1370,Brussels,1381,5.0,3.0,/Restaurant_Review-g950786-d11995686-Reviews-Atelier_du_Sushi-Schaerbeek_Brussels.html,d11995686,Other
id_1372,Prague,1373,5.0,7.0,/Restaurant_Review-g274707-d9745343-Reviews-Chlebicek_Store_Vegan_Deli-Prague_Bohemia.html,d9745343,Other
id_1374,Copenhagen,1376,3.5,66.0,/Restaurant_Review-g189541-d6618276-Reviews-Plaza_Grill-Copenhagen_Zealand.html,d6618276,"  Scandinavian,   Danish, European"
id_13747,London,13757,3.5,39.0,/Restaurant_Review-g186338-d4919283-Reviews-Jam_Circus-London_England.html,d4919283,"  Pub, Bar,   British"
id_13815,London,13825,3.5,28.0,/Restaurant_Review-g186338-d2176100-Reviews-Poncho_8-London_England.html,d2176100,"  South American, Mexican,   Central American,   Fast Food"
id_13830,Paris,13832,2.0,3.0,/Restaurant_Review-g187147-d10784629-Reviews-O_Tacos-Paris_Ile_de_France.html,d10784629,French
id_13850,London,13860,3.5,32.0,/Restaurant_Review-g186338-d7949523-Reviews-Lardo_Bebe-London_England.html,d7949523,"  Vegetarian Friendly, Pizza,   Vegan Options,   Italian"
id_13892,Paris,13894,5.0,NaN,/Restaurant_Review-g187147-d8660001-Reviews-Chez_Margot-Paris_Ile_de_France.html,d8660001,  Delicatessen
id_1391,Budapest,1392,5.0,NaN,/Restaurant_Review-g274887-d7724601-Reviews-Bite-Budapest_Central_Hungary.html,d7724601,"  Fast Food,   International, American,   Hungarian,   European"
id_1394,Dublin,1398,4.5,2.0,/Restaurant_Review-g186605-d5812483-Reviews-Excellent_Chinese_Take_Away-Dublin_County_Dublin.html,d5812483,Chinese
id_1398,Geneva,1405,1.5,2.0,/Restaurant_Review-g188057-d12414220-Reviews-Restaurant_de_la_Queue_d_Arve-Geneva.html,d12414220,Other
id_14,Helsinki,15,4.0,1488.0,/Restaurant_Review-g189934-d850178-Reviews-Kappeli-Helsinki_Uusimaa.html,d850178,"  European,   Scandinavian,   Gluten Free Options,   Vegetarian Friendly, Cafe"
id_1401,Amsterdam,1404,3.5,142.0,/Restaurant_Review-g188590-d3191953-Reviews-Do_Brasil-Amsterdam_North_Holland_Province.html,d3191953,"Steakhouse,   Brazilian"
id_1401,Dublin,1405,4.0,28.0,/Restaurant_Review-g186605-d6633059-Reviews-Green_Land_Cafe-Dublin_County_Dublin.html,d6633059,Cafe
id_1403,Geneva,1411,1.0,NaN,/Restaurant_Review-g188057-d7996902-Reviews-Lidia-Geneva.html,d7996902,Other
id_14074,London,14084,3.5,15.0,/Restaurant_Review-g186338-d5122063-Reviews-The_Honest_Sausage-London_England.html,d5122063,American
id_1409,Budapest,1410,5.0,NaN,/Restaurant_Review-g274887-d13197631-Reviews-Le_Poulet-Budapest_Central_Hungary.html,d13197631,"  Hungarian, French,   European"
id_14134,London,14144,3.5,52.0,/Restaurant_Review-g186338-d734267-Reviews-Pizza_Express-London_England.html,d734267,"  Pizza, Italian,   Vegetarian Friendly,   Gluten Free Options"
id_1414,Milan,1416,4.0,252.0,/Restaurant_Review-g187849-d3773630-Reviews-Piccola_Ischia-Milan_Lombardy.html,d3773630,"Pizza,   Vegetarian Friendly"
id_1418,Athens,1420,4.5,7.0,/Restaurant_Review-g189400-d10122352-Reviews-CENTRO_Coffee_Restaurant-Athens_Attica.html,d10122352,"  Greek, Italian,   Mediterranean"
id_1418,Oporto,1419,3.0,2.0,/Restaurant_Review-g189180-d12503536-Reviews-Dick_s_Bar-Porto_Porto_District_Northern_Portugal.html,d12503536,Other
id_1430,Oporto,1431,3.5,3.0,/Restaurant_Review-g189180-d7992689-Reviews-Abel_Sernadas-Porto_Porto_District_Northern_Portugal.html,d7992689,Other
id_14346,London,14357,3.5,14.0,/Restaurant_Review-g186338-d5081096-Reviews-Chicken_Cottage-London_England.html,d5081096,Fast Food
id_1435,Munich,1447,4.0,21.0,/Restaurant_Review-g187309-d4597916-Reviews-Eiscafe_Pinocchio-Munich_Upper_Bavaria_Bavaria.html,d4597916,  Pizza
id_14351,London,14362,3.0,3.0,/Restaurant_Review-g186338-d5081396-Reviews-Gourmet_Creations-London_England.html,d5081396,Other
id_14386,London,14397,3.5,53.0,/Restaurant_Review-g186338-d731210-Reviews-Shampan-London_England.html,d731210,  Asian
id_14403,London,14414,4.0,4.0,/Restaurant_Review-g186338-d10760580-Reviews-Antep_Durum-London_England.html,d10760580,Turkish
id_1441,Paris,1442,5.0,49.0,/Restaurant_Review-g187147-d12947099-Reviews-Mayfair_Garden_champs_elysees-Paris_Ile_de_France.html,d12947099,"Indian,   Pakistani,   Middle Eastern,   Vegetarian Friendly"
id_14422,London,14433,3.5,19.0,/Restaurant_Review-g186338-d5220257-Reviews-Elements-London_England.html,d5220257,Other
id_14512,London,14523,3.0,8.0,/Restaurant_Review-g186338-d10686851-Reviews-Umi_Sushi_Bar-London_England.html,d10686851,Sushi
id_1457,Oporto,1458,4.5,2.0,/Restaurant_Review-g189180-d12147644-Reviews-O_Casarao-Porto_Porto_District_Northern_Portugal.html,d12147644,"Brazilian,   Fusion,   Contemporary"
id_1461,Milan,1463,3.5,283.0,/Restaurant_Review-g187849-d2589168-Reviews-Kyo_Fusion_Restaurant-Milan_Lombardy.html,d2589168,"Chinese,   Seafood,   Sushi,   Japanese,   Vegetarian Friendly"
id_14612,London,14623,3.0,39.0,/Restaurant_Review-g186338-d7994738-Reviews-Slim_Jim_s_Liquor_Store-London_England.html,d7994738,Other
id_1464,Rome,1465,4.0,678.0,/Restaurant_Review-g187791-d1953294-Reviews-Mavi-Rome_Lazio.html,d1953294,"  Vegetarian Friendly,   Gluten Free Options,   Vegan Options, Italian,   Mediterranean,   European"
id_1466,Vienna,1467,4.0,21.0,/Restaurant_Review-g190454-d2632522-Reviews-Cafe_Berfin-Vienna.html,d2632522,"  Turkish, Middle Eastern"
id_1468,Zurich,1473,3.5,24.0,/Restaurant_Review-g188113-d1887046-Reviews-McGees_Irish_Pub_Restaurant-Zurich.html,d1887046,"  Indian,   Irish, Bar,   Fast Food,   British"
id_147,Prague,148,4.5,105.0,/Restaurant_Review-g274707-d10389421-Reviews-GoodEats-Prague_Bohemia.html,d10389421,"  International,   Gluten Free Options,   Vegetarian Friendly,   Vegan Options, Cafe,   European"
id_1473,Stockholm,1474,4.0,15.0,/Restaurant_Review-g189852-d1079439-Reviews-Bees_thaifood-Stockholm.html,d1079439,Thai
