"Asian alone, percent, July 1, 2016,  (V2016)","Female persons, percent,  July 1, 2016,  (V2016)","Persons 65 years and over, percent,  July 1, 2016,  (V2016)","With a disability, under age 65 years, percent, 2011-2015","Hispanic or Latino, percent, July 1, 2016,  (V2016)","Population, Census, April 1, 2010","Median selected monthly owner costs -with a mortgage, 2011-2015","Nonminority-owned firms, 2012","Foreign born persons, percent, 2011-2015","Female persons, percent, April 1, 2010","Persons per household, 2011-2015","Land area in square miles, 2010","Persons in poverty, percent","Persons 65 years and over, percent, April 1, 2010","Households, 2011-2015","In civilian labor force, total, percent of population age 16 years+, 2011-2015","Housing units,  July 1, 2016,  (V2016)","Total employment, percent change, 2014-2015","Total annual payroll, 2015 ($1,000)","Two or More Races, percent, July 1, 2016,  (V2016)","Median gross rent, 2011-2015","Minority-owned firms, 2012","Nonveteran-owned firms, 2012","Owner-occupied housing unit rate, 2011-2015","Total employer establishments, 2015","Total nonemployer establishments, 2015","Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","Population estimates base, April 1, 2010,  (V2016)","White alone, percent, July 1, 2016,  (V2016)","Persons  without health insurance, under age 65 years, percent","Median value of owner-occupied housing units, 2011-2015","All firms, 2012","Median selected monthly owner costs -without a mortgage, 2011-2015","Total retail sales per capita, 2012","Total retail sales, 2012 ($1,000)","American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)","Veterans, 2011-2015","White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","Persons under 5 years, percent, July 1, 2016,  (V2016)","Men-owned firms, 2012","Persons under 18 years, percent, April 1, 2010","Total health care and social assistance receipts/revenue, 2012 ($1,000)","In civilian labor force, female, percent of population age 16 years+, 2011-2015","Building permits, 2016","Total merchant wholesaler sales, 2012 ($1,000)","Total employment, 2015","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Veteran-owned firms, 2012","Population estimates, July 1, 2016,  (V2016)","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","Persons under 18 years, percent, July 1, 2016,  (V2016)","Total manufacturers shipments, 2012 ($1,000)","Total accommodation and food services sales, 2012 ($1,000)","Housing units, April 1, 2010","Black or African American alone, percent, July 1, 2016,  (V2016)","Population per square mile, 2010",Fact,"Women-owned firms, 2012","Median household income (in 2015 dollars), 2011-2015","High school graduate or higher, percent of persons age 25 years+, 2011-2015"
3.40%,50.30%,16.90%,8.20%,30.90%,"6,392,017","$1,343 ","344,981",13.50%,50.30%,2.69,"113,594.08",16.40%,13.80%,"2,412,212",59.30%,"2,961,003",2.40%,"102,671,393",2.80%,$913 ,"135,313","427,582",62.80%,"136,352","451,951",8.40%,"6,392,301",83.30%,11.90%,"$167,500 ","499,926",$380 ,"$12,927 ","84,716,542",5.40%,"505,794",55.50%,6.30%,"245,243",25.50%,"37,055,881",54.50%,"35,578","69,437,272","2,295,186",24.8,"46,780","6,931,071","$25,848 ",0.30%,26.90%,27.50%,81.30%,23.50%,"51,243,473","13,996,635","2,844,526",4.90%,56.3,Arizona,"182,425","$50,255 ",86.00%
5.50%,50.90%,14.60%,7.10%,17.00%,"12,830,632","$1,636 ","795,129",14.00%,51.00%,2.63,"55,518.93",13.00%,12.50%,"4,786,388",65.60%,"5,326,970",2.20%,"289,183,546",1.90%,$907 ,"311,684","1,006,885",66.40%,"318,266","968,330",-0.20%,"12,831,574",77.20%,7.40%,"$173,800 ","1,135,017",$574 ,"$12,942 ","166,634,514",0.60%,"668,933",61.70%,6.00%,"609,648",24.40%,"83,431,778",60.70%,"22,603","295,456,992","5,427,549",28.4,"89,110","12,801,539","$30,494 ",0.10%,22.70%,32.30%,86.80%,22.90%,"281,037,755","27,937,381","5,296,715",14.70%,231.1,Illinois,"417,500","$57,574 ",87.90%
2.80%,50.30%,16.10%,8.20%,6.70%,"5,686,986","$1,402 ","379,934",4.80%,50.40%,2.43,"54,157.80",11.80%,13.70%,"2,299,107",67.10%,"2,668,444",2.20%,"112,406,494",1.90%,$776 ,"40,507","370,755",67.30%,"139,500","341,935",1.60%,"5,687,289",87.50%,6.20%,"$165,800 ","432,980",$532 ,"$13,656 ","78,201,822",1.10%,"381,940",81.70%,5.80%,"236,252",23.60%,"40,680,625",63.50%,"19,274","77,066,883","2,503,532",21.9,"39,830","5,778,708","$28,340 ",0.10%,8.70%,27.80%,85.80%,22.30%,"177,728,926","10,303,256","2,624,358",6.60%,105,Wisconsin,"133,859","$53,357 ",91.00%
6.60%,50.80%,14.60%,7.70%,9.10%,"8,001,024","$1,711 ","450,109",11.70%,50.90%,2.62,"39,490.09",11.00%,12.20%,"3,062,783",64.70%,"3,491,054",1.20%,"165,788,897",2.90%,"$1,116 ","185,043","548,439",66.20%,"197,384","576,446",5.10%,"8,001,041",70.00%,10.10%,"$245,000 ","653,193",$433 ,"$13,438 ","110,002,385",0.50%,"706,539",62.40%,6.10%,"353,012",23.20%,"47,705,003",60.80%,"31,132","86,613,641","3,198,718",27.9,"76,434","8,411,808","$34,152 ",0.10%,15.40%,36.30%,84.40%,22.20%,"96,389,872","17,795,901","3,364,939",19.80%,202.6,Virginia,"236,290","$65,015 ",88.30%
2.20%,51.00%,16.20%,9.90%,3.70%,"11,536,504","$1,246 ","759,569",4.10%,51.20%,2.46,"40,860.69",14.60%,14.10%,"4,585,084",63.30%,"5,164,361",1.80%,"213,161,303",2.20%,$730 ,"122,653","776,193",66.30%,"251,668","763,418",0.70%,"11,536,727",82.50%,6.60%,"$129,900 ","904,814",$444 ,"$13,301 ","153,553,997",0.30%,"806,531",79.50%,6.00%,"510,078",23.70%,"80,915,693",59.00%,"22,816","155,426,023","4,719,985",23.2,"91,316","11,614,373","$26,953 ",0.10%,6.70%,26.10%,85.30%,22.50%,"313,629,976","20,652,777","5,127,508",12.80%,282.30,Ohio,"306,824","$49,429 ",89.10%
1.80%,51.10%,14.40%,11.00%,5.00%,"4,533,372","$1,200 ","277,676",4.00%,51.00%,2.6,"43,203.90",20.20%,12.30%,"1,727,919",60.40%,"2,036,975",0.40%,"76,684,760",1.60%,$788 ,"126,100","354,460",65.80%,"105,575","358,223",3.30%,"4,533,479",63.20%,11.90%,"$144,100 ","414,291",$317 ,"$13,342 ","61,396,364",0.80%,"281,989",59.00%,6.60%,"215,111",24.70%,"27,951,792",56.00%,"14,503","68,012,838","1,724,973",25.1,"42,211","4,681,666","$24,981 ",0.10%,8.50%,22.50%,86.30%,23.80%,"271,191,050","11,697,949","1,964,981",32.60%,104.9,Louisiana,"151,114","$45,047 ",83.40%
1.40%,51.60%,16.10%,11.80%,4.20%,"4,779,736","$1,139 ","272,651",3.50%,51.50%,2.55,"50,645.33",17.10%,13.80%,"1,848,325",58.00%,"2,230,185",1.90%,"67,370,353",1.60%,$717 ,"92,219","316,984",68.70%,"98,540","322,025",1.70%,"4,780,131",69.30%,10.70%,"$125,500 ","374,153",$345 ,"$12,145 ","58,564,965",0.70%,"363,170",65.80%,6.00%,"203,604",23.70%,"26,039,632",53.00%,"15,001","57,746,565","1,634,391",24.4,"41,943","4,863,300","$24,091 ",0.10%,5.20%,23.50%,85.30%,22.60%,"124,809,759","7,576,462","2,171,853",26.80%,94.4,Alabama,"137,630","$43,623 ",84.30%
3.60%,51.40%,16.50%,8.90%,14.90%,"1,052,567","$1,815 ","77,042",13.30%,51.70%,2.46,"1,033.81",12.80%,14.40%,"410,602",65.50%,"462,589",1.00%,"19,704,826",2.70%,$925 ,"14,737","79,837",60.10%,"28,387","76,747",0.30%,"1,052,940",84.40%,5.10%,"$238,000 ","94,642",$682 ,"$11,486 ","12,063,865",1.00%,"66,076",73.30%,5.20%,"54,651",21.30%,"8,223,005",61.60%,"1,226","22,310,389","425,748",24.2,"9,904","1,056,426","$31,118 ",0.20%,21.40%,31.90%,86.60%,19.70%,"11,262,158","2,481,314","463,388",8.10%,"1,018.10",Rhode Island,"30,484","$56,852 ",86.20%
2.50%,50.20%,15.00%,7.30%,10.70%,"1,826,341","$1,270 ","144,122",6.60%,50.40%,2.47,"76,824.17",11.40%,13.50%,"736,613",69.90%,"827,156",2.30%,"36,967,924",2.10%,$726 ,"14,571","137,254",66.20%,"53,719","131,518",4.40%,"1,826,334",88.90%,9.90%,"$133,200 ","164,089",$471 ,"$16,422 ","30,470,717",1.40%,"132,918",79.60%,7.00%,"83,696",25.10%,"12,869,418",65.20%,"8,078","42,618,995","870,279",18.3,"16,693","1,907,116","$27,882 ",0.10%,10.80%,29.30%,83.70%,24.80%,"57,499,177","3,094,498","796,793",5.00%,23.8,Nebraska,"51,936","$52,997 ",90.70%
4.80%,50.40%,12.00%,8.10%,39.10%,"25,145,561","$1,432 ","1,224,845",16.60%,50.40%,2.84,"261,231.71",15.60%,10.30%,"9,149,196",64.30%,"10,753,629",3.20%,"521,095,797",1.90%,$882 ,"1,070,392","2,057,218",62.20%,"569,091","2,205,149",10.80%,"25,146,100",79.40%,18.60%,"$136,000 ","2,356,748",$460 ,"$13,666 ","356,116,376",1.00%,"1,539,655",42.60%,7.20%,"1,251,696",27.30%,"145,035,130",57.70%,"165,853","691,242,607","10,239,710",25.6,"213,590","27,862,596","$26,999 ",0.10%,35.00%,27.60%,83.30%,26.20%,"702,603,073","54,480,811","9,977,436",12.60%,96.3,Texas,"866,678","$53,207 ",81.90%
6.30%,47.70%,10.40%,8.10%,7.00%,"710,231","$1,827 ","51,147",7.40%,48.00%,2.81,"570,640.95",9.90%,7.70%,"250,969",67.70%,"310,658",0.40%,"15,643,303",7.30%,"$1,146 ","13,688","56,091",63.40%,"20,907","55,521",4.50%,"710,249",66.10%,15.50%,"$250,000 ","68,032",$554 ,"$14,320 ","10,474,275",15.20%,"69,323",61.20%,7.30%,"35,402",26.40%,"6,375,483",65.00%,"1,503","5,216,303","267,999",19.0,"7,953","741,894","$33,413 ",1.30%,16.20%,28.00%,80.90%,25.20%,D,"2,221,335","306,967",3.80%,1.2,Alaska,"22,141","$72,515 ",92.10%
2.20%,50.70%,14.90%,9.70%,6.80%,"6,483,802","$1,102 ","405,090",4.80%,50.80%,2.55,"35,826.11",14.10%,13.00%,"2,501,937",63.90%,"2,854,546",2.20%,"113,315,432",2.00%,$745 ,"61,252","412,543",69.00%,"145,116","403,546",2.30%,"6,484,136",85.60%,9.40%,"$124,200 ","479,059",$378 ,"$13,133 ","85,857,962",0.40%,"426,493",79.60%,6.40%,"253,533",24.80%,"42,493,117",59.00%,"18,713","81,173,422","2,660,503",23.3,"45,174","6,633,053","$25,346 ",0.10%,8.30%,24.10%,85.00%,23.80%,"242,763,842","13,076,602","2,795,541",9.70%,181,Indiana,"162,798","$49,255 ",87.80%
4.70%,51.20%,16.10%,7.10%,15.70%,"3,574,097","$2,067 ","259,614",13.90%,51.30%,2.57,"4,842.36",9.80%,14.20%,"1,352,583",67.20%,"1,499,116",1.20%,"92,555,072",2.30%,"$1,075 ","56,113","281,182",67.00%,"89,232","272,809",0.10%,"3,574,114",80.60%,5.70%,"$270,500 ","326,693",$833 ,"$14,381 ","51,632,467",0.50%,"199,331",67.70%,5.20%,"187,845",22.90%,"29,573,119",62.80%,"5,504","161,962,244","1,503,102",25.4,"31,056","3,576,452","$38,803 ",0.10%,21.90%,37.60%,87.80%,21.10%,"55,160,095","9,542,068","1,487,891",11.80%,738.1,Connecticut,"106,678","$70,331 ",89.90%
3.30%,49.70%,13.40%,7.20%,21.30%,"5,029,196","$1,577 ","442,365",9.80%,49.90%,2.55,"103,641.89",11.00%,10.90%,"2,024,468",67.60%,"2,339,118",3.30%,"117,539,555",3.00%,"$1,002 ","85,849","469,524",64.30%,"161,737","480,847",10.20%,"5,029,324",87.50%,8.60%,"$247,800 ","547,352",$419 ,"$13,073 ","67,815,200",1.60%,"391,725",68.60%,6.10%,"284,554",24.40%,"29,488,161",62.60%,"38,974","77,034,971","2,253,795",24.8,"51,722","5,540,545","$32,217 ",0.20%,16.90%,38.10%,80.80%,22.80%,"50,447,098","13,617,654","2,212,898",4.50%,48.5,Colorado,"194,508","$60,629 ",90.70%
1.70%,50.50%,16.50%,10.10%,48.50%,"2,059,179","$1,227 ","83,857",9.80%,50.60%,2.67,"121,298.15",19.80%,13.20%,"763,603",59.10%,"917,568",3.90%,"25,145,307",2.50%,$777 ,"60,622","128,693",68.10%,"43,793","121,279",1.10%,"2,059,198",82.60%,10.80%,"$160,300 ","151,363",$327 ,"$12,073 ","25,179,274",10.60%,"164,157",38.10%,6.20%,"71,132",25.20%,"11,236,630",54.90%,"4,863","10,720,363","626,284",21.6,"14,096","2,081,015","$24,012 ",0.20%,35.70%,26.30%,85.70%,23.60%,"29,102,352","4,349,672","901,388",2.50%,17.00,New Mexico,"59,044","$44,963 ",84.20%
2.50%,50.30%,16.40%,7.90%,5.80%,"3,046,355","$1,171 ","236,561",4.70%,50.50%,2.42,"55,857.13",11.80%,14.90%,"1,236,409",67.60%,"1,380,162",1.70%,"55,079,743",1.80%,$697 ,"14,707","217,779",71.50%,"80,952","207,167",2.90%,"3,046,869",91.40%,5.00%,"$129,200 ","259,121",$434 ,"$14,607 ","44,905,624",0.50%,"211,066",86.20%,6.40%,"135,382",23.90%,"18,583,828",63.30%,"14,317","62,318,301","1,338,418",18.9,"25,889","3,134,693","$27,950 ",0.10%,7.40%,26.70%,84.80%,23.30%,"116,668,830","5,468,687","1,336,417",3.70%,54.5,Iowa,"82,345","$53,183 ",91.50%
37.70%,49.80%,17.10%,6.50%,10.40%,"1,360,301","$2,270 ","38,510",17.70%,49.90%,3.02,"6,422.63",9.30%,14.30%,"450,572",61.50%,"537,114",0.90%,"22,068,393",23.70%,"$1,438 ","74,208","101,334",56.90%,"31,915","104,707",5.00%,"1,360,301",25.80%,4.20%,"$515,300 ","118,454",$505 ,"$13,576 ","18,901,745",0.40%,"110,238",22.10%,6.40%,"60,409",22.30%,"8,136,947",58.80%,"3,369","9,607,982","523,677",26.8,"11,148","1,428,557","$29,822 ",10.20%,25.20%,30.80%,85.10%,21.60%,D,"9,536,706","519,508",2.20%,211.8,Hawaii,"44,453","$69,515 ",91.00%
2.90%,51.40%,15.50%,9.60%,9.20%,"9,535,483","$1,248 ","603,182",7.70%,51.30%,2.54,"48,617.91",15.40%,12.90%,"3,775,581",61.80%,"4,540,498",3.10%,"164,936,258",2.20%,$797 ,"183,380","684,743",65.10%,"223,209","722,639",6.40%,"9,535,688",71.00%,12.20%,"$154,900 ","805,985",$373 ,"$12,376 ","120,691,007",1.60%,"696,119",63.50%,6.00%,"435,677",23.90%,"55,227,505",57.70%,"60,550","105,275,586","3,670,284",23.9,"86,571","10,146,788","$25,920 ",0.10%,11.20%,28.40%,84.70%,22.70%,"202,344,646","18,622,258","4,327,528",22.20%,196.10,North Carolina,"287,058","$46,868 ",85.80%
2.00%,50.90%,16.10%,10.40%,4.10%,"5,988,927","$1,210 ","415,972",3.90%,51.00%,2.48,"68,741.52",14.00%,14.00%,"2,364,688",63.20%,"2,760,084",1.60%,"109,135,528",2.20%,$746 ,"61,035","415,542",67.20%,"158,191","402,091",1.70%,"5,988,928",83.20%,10.50%,"$138,400 ","491,606",$402 ,"$15,036 ","90,546,581",0.60%,"451,342",79.70%,6.10%,"257,948",23.80%,"40,089,316",59.30%,"18,997","91,916,351","2,442,316",23.2,"49,217","6,093,000","$26,259 ",0.10%,6.00%,27.10%,83.90%,22.80%,"111,535,362","12,430,310","2,712,729",11.80%,87.1,Missouri,"162,616","$48,173 ",88.40%
1.50%,49.60%,16.00%,8.40%,3.70%,"814,180","$1,210 ","74,228",3.00%,50.00%,2.45,"75,811.00",13.30%,14.30%,"330,858",68.60%,"383,838",1.60%,"13,812,997",2.30%,$655 ,"4,101","66,219",68.10%,"26,511","64,006",6.30%,"814,195",85.20%,10.30%,"$140,500 ","81,314",$433 ,"$16,550 ","13,791,827",9.00%,"63,742",82.50%,7.10%,"42,418",24.90%,"6,211,731",64.60%,"5,686","20,411,059","353,540",16.9,"8,604","865,454","$26,747 ",0.10%,6.50%,27.00%,83.40%,24.60%,"16,882,647","1,873,699","363,438",2.00%,10.70,South Dakota,"23,722","$50,957 ",90.90%
6.60%,51.60%,14.60%,7.10%,9.80%,"5,773,552","$1,951 ","314,902",14.50%,51.60%,2.67,"9,707.24",9.70%,12.30%,"2,166,389",67.90%,"2,447,127",1.00%,"118,496,858",2.80%,"$1,230 ","203,394","462,232",66.80%,"137,204","475,518",4.20%,"5,773,786",59.30%,7.00%,"$286,900 ","531,953",$582 ,"$12,980 ","76,379,707",0.60%,"403,900",51.50%,6.10%,"276,630",23.40%,"40,821,901",64.10%,"17,044","60,734,191","2,239,817",32.3,"50,976","6,016,447","$36,897 ",0.10%,17.20%,37.90%,86.60%,22.40%,"39,532,989","12,516,782","2,378,814",30.70%,594.8,Maryland,"209,119","$74,551 ",89.40%
6.70%,51.50%,15.80%,7.90%,11.50%,"6,547,629","$2,063 ","499,959",15.50%,51.60%,2.53,"7,800.06",10.40%,13.80%,"2,549,721",67.50%,"2,858,026",2.60%,"198,026,611",2.30%,"$1,102 ","89,967","525,667",62.10%,"175,225","514,298",4.00%,"6,547,813",81.80%,2.90%,"$333,100 ","607,664",$717 ,"$13,980 ","92,915,380",0.50%,"355,083",73.00%,5.30%,"357,158",21.70%,"63,583,090",63.40%,"16,288","123,904,370","3,167,329",28.7,"58,339","6,811,779","$36,895 ",0.10%,22.50%,40.50%,87.10%,20.20%,"81,927,799","17,508,975","2,808,254",8.60%,839.4,Massachusetts,"199,210","$68,563 ",89.80%
