"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
BIOLOGICAL SCIENCES,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,
CIS,,,,,,,,,,,
NURSING,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
MUSIC,,,,,,,,,,,
CIS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
44711.0,,ADX 170-A001,8,3,3,7,5,5,2.0,43696.0,43814.0
CRIMINAL JUSTICE,,,,,,,,,,,
HISTORY,,,,,,,,,,,
CIS,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
ALLIED HEALTH,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
STATISTICS,,,,,,,,,,,
PHYSICS,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
44395.0,10,MAT 150-A002,76,3,0,5,19,90,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,
FIRE/RESCUE SCIENCE  Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
ART ,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
NURSING ASSISTANT,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
NURSING,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
INDUSTRIAL CORE,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
ASTRONOMY,,,,,,,,,,,
GEOLOGICAL SCIENCES,,,,,,,,,,,
NURSING,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
44562.0,7,ENG 102-A001,62,3,0,5,39,48,2.0,43696.0,43814.0
MATHEMATICS,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
SPANISH LANGUAGE AND LITERATURE,,,,,,,,,,,
SOCIAL WORK,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,
THEATRE,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
ART ,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
ART ,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
57272.0,,MAT100-A0H1,75,2,0,5,23,88,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
44447.0,2,BIO 225-A001,31,4,2,6,17,33,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
CIS,,,,,,,,,,,
45396.0,,CIT 262-A0B2,MS Network Infrastructure,3,5,14,30,38,2.0,43759.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
NURSING,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
44415.0,,ELT 110-A0E1,53,5,0,9,46,56,2.0,43696.0,43814.0
CIS,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
WELDING,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
SPANISH LANGUAGE AND LITERATURE,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
VETERINARY TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
HISTORY,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
KINESIOLOGY AND HEALTH PROMOTION,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,
STATISTICS,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
44449.0,,BIO 225-A0L2,31,,2,25,25,33,2.0,43696.0,43814.0
ENGLISH,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
HISTORY,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,
WELDING,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
ALLIED HEALTH,,,,,,,,,,,
ART ,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,
ART ,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
ALLIED HEALTH,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
WELDING,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,
WELDING,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
CIS,,,,,,,,,,,
THEATRE,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,
NURSING,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
44485.0,4,COM 181-A005,41,3,0,10,34,45,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,
FIRE/RESCUE SCIENCE  Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
44446.0,,ELT 265-A0L1,57,,0,3,50,42,2.0,43696.0,43814.0
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
HISTORY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
EDUCATION,,,,,,,,,,,
HISTORY,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,
WELDING,,,,,,,,,,,
44503.0,,23,Shield Metal ArcWld Fillet Lab,3,10,12:40 PM,78,110,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,
CIS,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
ENERGY SYSTEMS,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
GEOGRAPHY,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
44923.0,1,BIO 150-A001,Principles of Biology I,3,0,23,24,24,2.0,43696.0,43814.0
MATHEMATICS,,,,,,,,,,,
44400.0,10,MAT 155-A001,Trigonometry,3,0,0,19,90,2.0,43696.0,43814.0
DIESEL TECHNOLOGY,,,,,,,,,,,
MUSIC,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
STATISTICS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,
ART ,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
PHYSICS,,,,,,,,,,,
WELDING,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,
CIS,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
KINESIOLOGY AND HEALTH PROMOTION,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
NURSING,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
WELDING,,,,,,,,,,,
CIS,,,,,,,,,,,
45095.0,,CIT 161-A0Y1,Introduction to Networks,4,6,14,30,40,0.0,43696.0,43814.0
45397.0,,CIT 293-A0Z1,CIT Employability Studies,1,1,1,1,39,1.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
COMPUTER AIDED DRAFTING,,,,,,,,,,,
NURSING,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
HISTORY,,,,,,,,,,,
MUSIC,,,,,,,,,,,
44581.0,0,MUS 104-A0Z1,Introduction to Jazz History,3,1,1,1,72,1.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
THEATRE,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
MUSIC,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
MUSIC,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
NURSING,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,
VETERINARY TECHNOLOGY,,,,,,,,,,,
COOPERATIVE EDUCATION,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
HISTORY,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
44603.0,,BAS 212-A0Z1,Intro to Financial Management,3,1,1,1,1,1.0,43696.0,43814.0
