city,ranking,reviews_number,cuisine_style
Amsterdam,96.0,496.0," Steakhouse,  Vegetarian Friendly, French,  Grill,  Gluten Free Options,  International,  Dutch,  European"
Amsterdam,100.0,563.0," Gluten Free Options,  Seafood,  Vegetarian Friendly,  French,  International, Dutch,  European"
Amsterdam,101.0,696.0," Pub, Irish,  Vegetarian Friendly,  British,  European,  Bar,  International"
Amsterdam,102.0,475.0," Central European,  Vegetarian Friendly, Dutch,  Vegan Options,  Gluten Free Options,  European,  Bar"
Amsterdam,104.0,1056.0," Indonesian,  Vegan Options, Asian,  Vegetarian Friendly"
Amsterdam,107.0,409.0," European, Bar,  Vegetarian Friendly,  American"
Amsterdam,108.0,761.0," Vegetarian Friendly,  European,  Pizza,  Vegan Options,  Mediterranean, Italian"
Amsterdam,111.0,302.0," Gluten Free Options, Pub,  Bar,  German,  European"
Amsterdam,115.0,388.0," Vegan Options, French,  European,  Dutch,  Cafe,  Vegetarian Friendly,  Gluten Free Options"
Amsterdam,117.0,1307.0,"Mediterranean,  European,  Vegetarian Friendly,  Italian"
Amsterdam,119.0,1160.0,"Steakhouse,  International,  Grill"
Amsterdam,125.0,1998.0,"Fast Food,  Vegan Options,  Asian,  Vegetarian Friendly,  Gluten Free Options"
Amsterdam,130.0,272.0,Pub
Amsterdam,134.0,508.0," Vegan Options,  Cafe,  Gluten Free Options,  Vegetarian Friendly,  Bar, Dutch,  European"
Amsterdam,135.0,366.0," Gluten Free Options, Dutch,  Vegan Options,  Vegetarian Friendly,  European"
Amsterdam,139.0,448.0," Vegetarian Friendly,  Gluten Free Options,  Vegan Options,  European, Italian,  Mediterranean"
Amsterdam,141.0,385.0," Vegan Options, Italian,  European,  Vegetarian Friendly"
Amsterdam,142.0,136.0," European, French,  Central European,  Swiss,  Vegetarian Friendly,  Gluten Free Options"
Amsterdam,146.0,230.0," Vegan Options, Italian,  Vegetarian Friendly"
Amsterdam,147.0,81.0," Seafood,  Vegetarian Friendly,  Gluten Free Options, Dutch,  Vegan Options,  European"
Amsterdam,148.0,3595.0,"Dutch,  European,  Vegan Options,  International,  Central European,  Gluten Free Options,  Vegetarian Friendly"
Amsterdam,149.0,1030.0," Dutch,  Scandinavian, German"
Amsterdam,153.0,809.0," European,  Swiss,  Central European, Dutch,  Vegetarian Friendly"
Amsterdam,156.0,482.0," Barbecue,  Argentinean, Steakhouse,  Latin,  South American,  Vegetarian Friendly,  European"
Amsterdam,162.0,544.0,"Dutch,  Gluten Free Options,  European,  Vegetarian Friendly,  Bar"
Amsterdam,163.0,435.0,"Dutch,  Cafe,  Pub,  Bar,  European,  Vegetarian Friendly"
Amsterdam,165.0,1340.0," European,  Vegan Options,  Gluten Free Options, Dutch,  Vegetarian Friendly"
Amsterdam,169.0,226.0," Vegetarian Friendly, European,  Vegan Options,  Gluten Free Options,  Soups,  International"
Amsterdam,171.0,540.0,"European,  International,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options"
Amsterdam,175.0,328.0," Vegan Options,  Fast Food, Dutch,  Vegetarian Friendly"
Amsterdam,176.0,498.0,unknown
Amsterdam,178.0,284.0," Gluten Free Options,  Vegan Options,  Vegetarian Friendly, European"
Amsterdam,180.0,354.0," Vegetarian Friendly,  Bar, Dutch,  European,  Pub"
Amsterdam,181.0,72.0," Vegetarian Friendly, Lebanese,  Middle Eastern,  Fast Food,  Vegan Options"
Amsterdam,184.0,220.0,"French,  Gluten Free Options,  Dutch,  European,  Vegetarian Friendly"
Amsterdam,186.0,724.0," Vegetarian Friendly,  Vegan Options,  Dutch,  Mediterranean, French,  Gluten Free Options,  European"
Amsterdam,188.0,400.0," European,  Pub,  Vegetarian Friendly, Dutch,  Bar"
Amsterdam,189.0,583.0," Asian, Japanese,  Vegetarian Friendly,  Vegan Options,  Sushi,  Gluten Free Options"
Amsterdam,197.0,847.0," European,  Pub,  Bar,  Grill, Dutch,  Vegetarian Friendly"
Amsterdam,198.0,377.0," Gastropub,  Pub,  European,  British, Bar,  Vegetarian Friendly"
Amsterdam,199.0,365.0," Gluten Free Options,  European,  Spanish,  Vegetarian Friendly, Mediterranean"
Amsterdam,200.0,111.0," Vegan Options,  Halal,  Middle Eastern, Mediterranean,  Gluten Free Options,  Arabic,  Vegetarian Friendly"
Amsterdam,201.0,814.0," Spanish,  Mediterranean,  European,  Vegan Options, Italian,  Vegetarian Friendly"
Amsterdam,202.0,687.0," Gluten Free Options, Cafe,  European,  Vegetarian Friendly"
Amsterdam,203.0,1222.0," Fast Food,  Vegan Options, Dutch,  Vegetarian Friendly"
Amsterdam,212.0,343.0," International,  Vegan Options, French,  Gluten Free Options,  European,  Central European,  Vegetarian Friendly"
Amsterdam,217.0,582.0," Bar,  Vegetarian Friendly,  European,  Pub, Irish"
Amsterdam,219.0,403.0," European, Steakhouse,  Grill,  Vegetarian Friendly,  Gluten Free Options"
Amsterdam,223.0,1046.0," Vegetarian Friendly,  European,  Mediterranean,  Vegan Options,  Pizza, Italian"
Amsterdam,224.0,402.0," Gluten Free Options,  Japanese, Chinese,  Sushi,  Vegan Options,  Asian,  Vegetarian Friendly,  Thai"
Amsterdam,225.0,552.0,"Asian,  Vegetarian Friendly,  Gluten Free Options,  Indonesian,  Vegan Options"
Amsterdam,226.0,101.0," Seafood, Dutch,  Gluten Free Options,  European"
Amsterdam,228.0,201.0," Bar,  Vegetarian Friendly, Dutch,  European,  Gastropub,  Cafe"
Amsterdam,229.0,97.0," Vegetarian Friendly,  Grill, Steakhouse,  Barbecue,  Argentinean"
Amsterdam,230.0,818.0," Vegan Options,  Indonesian,  Vegetarian Friendly, Asian"
Amsterdam,232.0,200.0," Portuguese,  Vegetarian Friendly,  European,  Gluten Free Options, Mediterranean"
Amsterdam,238.0,346.0," Bar,  Gluten Free Options,  European,  International,  Vegetarian Friendly, Dutch"
Amsterdam,244.0,542.0," Gluten Free Options,  Vegetarian Friendly,  Cafe, Dutch,  European,  Vegan Options"
Amsterdam,248.0,650.0,"American,  Vegetarian Friendly,  Fast Food"
Amsterdam,249.0,202.0," Vegetarian Friendly,  Gluten Free Options,  European,  Vegan Options,  Mediterranean, Italian"
Amsterdam,250.0,827.0," European,  Gluten Free Options,  Vegetarian Friendly,  Bar, Steakhouse,  Central European,  Dutch"
Amsterdam,251.0,1074.0," Indonesian,  Vegetarian Friendly,  Gluten Free Options,  Vegan Options, Asian"
Amsterdam,254.0,183.0," Vegetarian Friendly, Cafe,  European,  Gluten Free Options,  Vegan Options"
Amsterdam,257.0,399.0," Spanish,  Gluten Free Options,  Vegan Options,  Mediterranean, Italian,  European,  Vegetarian Friendly"
Amsterdam,259.0,342.0," Vegetarian Friendly, Mediterranean,  Gluten Free Options,  Spanish,  Vegan Options"
Amsterdam,263.0,255.0," Barbecue,  Turkish, Mediterranean,  Middle Eastern,  Gluten Free Options,  Vegetarian Friendly,  Vegan Options,  Halal"
Amsterdam,264.0,349.0," Vegetarian Friendly,  Bar,  Pub, Dutch,  European"
Amsterdam,265.0,796.0," Gluten Free Options,  Delicatessen,  Vegetarian Friendly, French,  Dutch,  European"
Amsterdam,267.0,6777.0," Gluten Free Options,  Vegan Options, Barbecue,  American,  Vegetarian Friendly"
Amsterdam,270.0,389.0," Fusion,  Dutch,  Vegetarian Friendly, French,  European,  Gluten Free Options"
Amsterdam,272.0,160.0,"Bar,  European"
Amsterdam,273.0,392.0,"Dutch,  Bar,  Vegetarian Friendly,  Central European,  European"
Amsterdam,280.0,349.0," Bar,  Vegetarian Friendly, Dutch,  Pub,  European,  Gluten Free Options,  Cafe"
Amsterdam,284.0,310.0," Gluten Free Options,  Vegan Options, European,  Vegetarian Friendly"
Amsterdam,286.0,206.0," Gluten Free Options,  Vegan Options,  Vietnamese,  Soups, Asian,  Vegetarian Friendly"
Amsterdam,291.0,187.0," European, Dutch,  Central European,  Vegetarian Friendly,  Swiss"
Amsterdam,297.0,339.0," Pub, Dutch,  Bar,  European,  Vegetarian Friendly"
Amsterdam,300.0,1103.0," Gluten Free Options,  Vegan Options,  Asian, Chinese,  Vegetarian Friendly"
Amsterdam,304.0,273.0," Gluten Free Options,  European,  Vegetarian Friendly,  Dutch,  Vegan Options, Cafe"
Amsterdam,309.0,241.0," European,  International,  Pub, Bar,  Vegetarian Friendly"
Amsterdam,312.0,279.0," Asian, International,  Chinese,  Gluten Free Options,  Vegetarian Friendly"
Amsterdam,313.0,124.0,"European,  Vegan Options,  Vegetarian Friendly,  Gluten Free Options"
Amsterdam,316.0,183.0," Gluten Free Options,  Vegetarian Friendly,  Vegan Options, Dutch,  European"
Amsterdam,317.0,39.0," Bar,  Spanish,  European,  Vegetarian Friendly, Mediterranean"
Amsterdam,319.0,39.0," Vegan Options,  Asian, Indian,  Vegetarian Friendly,  Nepali"
Amsterdam,326.0,270.0,"Steakhouse,  International,  Dutch,  European"
Amsterdam,331.0,318.0," European,  Gluten Free Options, Dutch,  Vegetarian Friendly"
Amsterdam,336.0,243.0," International,  Wine Bar, European,  Delicatessen"
Amsterdam,340.0,243.0," Vegetarian Friendly, Italian,  European,  Pizza"
Amsterdam,345.0,244.0," Vegetarian Friendly,  Pub,  Bar, American,  European"
Amsterdam,347.0,291.0," Central European,  European,  Vegetarian Friendly,  Gluten Free Options, Bar"
Amsterdam,352.0,237.0," Argentinean,  South American, Steakhouse"
Amsterdam,358.0,444.0," International,  Bar,  Vegan Options,  European,  Vegetarian Friendly,  Gluten Free Options, Dutch,  Cafe"
Amsterdam,359.0,537.0," European, Dutch,  Fast Food"
Amsterdam,362.0,296.0,"Dutch,  European,  Belgian,  Bar,  Vegetarian Friendly,  Pub"
Amsterdam,364.0,337.0,"Dutch,  European,  Gluten Free Options,  Grill,  Vegetarian Friendly"
Amsterdam,368.0,111.0," Wine Bar, European"
Amsterdam,371.0,242.0," Gluten Free Options,  Vegetarian Friendly, Bar,  European"
Amsterdam,372.0,86.0," Vegetarian Friendly,  Vegan Options,  European,  Pizza, Italian,  Mediterranean"
Amsterdam,374.0,124.0," Gluten Free Options,  Dutch, American,  Bar,  Pub,  International,  Vegan Options,  Vegetarian Friendly,  European"
Amsterdam,375.0,197.0," Vegan Options,  Vegetarian Friendly, French,  Gluten Free Options,  Healthy,  Cafe,  European"
Amsterdam,377.0,455.0," Bar, American,  Grill"
Amsterdam,378.0,56.0," Gluten Free Options,  Grill, Mediterranean,  Vegan Options,  Greek,  European,  Vegetarian Friendly"
Amsterdam,382.0,55.0," Vegetarian Friendly,  European, Dutch"
Amsterdam,383.0,845.0,"Seafood,  Vegan Options,  Asian,  Vegetarian Friendly,  Chinese"
Amsterdam,386.0,176.0," Vegan Options,  Gluten Free Options, Vegetarian Friendly"
Amsterdam,389.0,301.0," Vegetarian Friendly,  Gluten Free Options, French,  Dutch,  European"
Amsterdam,392.0,224.0,"Dutch,  Bar,  Cafe,  Vegetarian Friendly,  Pub,  European"
Amsterdam,399.0,341.0,"Mediterranean,  Spanish,  European"
Amsterdam,402.0,204.0," International, Bar,  European"
Amsterdam,403.0,342.0,"Italian,  Vegetarian Friendly,  European,  Gluten Free Options,  Contemporary,  French,  Cafe,  Bar"
Amsterdam,406.0,200.0,"Dutch,  Vegetarian Friendly,  European,  Pub,  Bar"
Amsterdam,409.0,135.0," Fast Food, Dutch"
Amsterdam,411.0,80.0," Dutch, International,  Bar,  European,  Grill,  Vegetarian Friendly,  American"
Amsterdam,414.0,230.0," European,  Vegan Options,  Cafe,  Vegetarian Friendly, Dutch,  Bar"
Amsterdam,417.0,446.0," Gluten Free Options, Dutch,  Bar,  European,  Vegetarian Friendly"
Amsterdam,425.0,420.0," Vegetarian Friendly, Indian,  Gluten Free Options,  Asian,  Vegan Options"
Amsterdam,426.0,479.0," Vegan Options, Bar,  European,  French,  Contemporary,  Central European,  Vegetarian Friendly,  Gluten Free Options"
Amsterdam,435.0,138.0,"Dutch,  Vegetarian Friendly,  Gluten Free Options,  European,  Vegan Options"
Amsterdam,438.0,381.0," Vegetarian Friendly,  Gluten Free Options, European"
Amsterdam,439.0,383.0,"Steakhouse,  Dutch,  European"
Amsterdam,441.0,732.0," Gluten Free Options,  European,  International, Dutch,  Vegetarian Friendly"
Amsterdam,444.0,102.0," Mediterranean,  Vegan Options,  European, Italian,  Vegetarian Friendly"
Amsterdam,445.0,261.0," European,  Vegetarian Friendly,  Mediterranean, Italian,  Pizza"
Amsterdam,446.0,401.0," Gluten Free Options, Indian,  Vegetarian Friendly,  Asian,  Vegan Options"
Amsterdam,449.0,81.0,"Healthy,  Gluten Free Options,  Vegetarian Friendly,  Vegan Options,  European,  Soups"
Amsterdam,454.0,552.0,"Dutch,  Central European,  Gluten Free Options,  European"
Amsterdam,459.0,220.0," European, Seafood,  Mediterranean,  Portuguese"
Amsterdam,460.0,37.0," Vegan Options,  Ethiopian,  Gluten Free Options,  Vegetarian Friendly, African"
Amsterdam,463.0,143.0," International,  Bar, Dutch,  Gluten Free Options,  Vegetarian Friendly,  Cafe,  European"
Amsterdam,464.0,281.0," European,  Vegetarian Friendly, Dutch,  Cafe"
Amsterdam,465.0,84.0," Vegan Options,  Vegetarian Friendly,  Pizza, Italian,  Mediterranean,  European"
Amsterdam,468.0,122.0," Bar, Dutch,  European,  Vegetarian Friendly,  Brew Pub,  Gluten Free Options"
Amsterdam,472.0,30.0," British,  Dutch,  Vegetarian Friendly,  Pub, European,  Vegan Options,  Bar"
Amsterdam,480.0,211.0," Bar,  Vegetarian Friendly,  Cafe, Dutch,  Central European,  Gluten Free Options,  European"
Amsterdam,481.0,119.0,"Dutch,  European,  Vegetarian Friendly,  International"
Amsterdam,488.0,379.0," Gluten Free Options,  Asian,  Vegetarian Friendly, Indian,  Vegan Options"
Amsterdam,493.0,153.0," Gluten Free Options,  Vegetarian Friendly,  European, Dutch"
Amsterdam,495.0,118.0," Grill,  Argentinean, Steakhouse,  Latin"
Amsterdam,497.0,120.0," Gluten Free Options, Barbecue,  European"
Amsterdam,502.0,129.0,"Dutch,  Pub,  Vegetarian Friendly,  Bar,  European,  Cafe"
Amsterdam,506.0,59.0," Gluten Free Options,  Vegan Options, Italian,  Mediterranean,  Pizza,  European,  Vegetarian Friendly"
Amsterdam,509.0,153.0," Vegetarian Friendly,  Gluten Free Options,  European, Dutch"
Amsterdam,510.0,250.0," Vegan Options,  European,  Vegetarian Friendly,  Gluten Free Options, Dutch"
Amsterdam,517.0,164.0," Tibetan, Indonesian,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options"
Amsterdam,525.0,137.0," Gluten Free Options,  Vegan Options,  Vegetarian Friendly, European"
Amsterdam,529.0,105.0," Vegetarian Friendly, Asian,  Indonesian,  Vegan Options"
Amsterdam,533.0,147.0," Vegan Options,  European,  Bar,  Vegetarian Friendly,  Gluten Free Options, Dutch"
Amsterdam,535.0,240.0,"American,  Fast Food"
Amsterdam,546.0,180.0,"Dutch,  Gluten Free Options,  French,  Vegetarian Friendly"
Amsterdam,551.0,109.0," Gluten Free Options,  Vegetarian Friendly,  European, French"
Amsterdam,553.0,214.0," European,  Vegetarian Friendly, Dutch,  Gluten Free Options,  Cafe,  Vegan Options"
Amsterdam,554.0,263.0,"French,  Gluten Free Options,  European,  Vegetarian Friendly"
Amsterdam,555.0,192.0," Gluten Free Options,  European,  Vegetarian Friendly, French"
Amsterdam,558.0,438.0,"European,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options"
Amsterdam,561.0,217.0," Vegetarian Friendly,  Gluten Free Options, Indian,  Vegan Options,  Asian"
Amsterdam,562.0,120.0," Japanese,  Grill,  Vegetarian Friendly, Sushi,  Seafood"
Amsterdam,566.0,163.0," Vegetarian Friendly,  Central European,  Gluten Free Options,  French, European,  Dutch"
Amsterdam,575.0,262.0," Vegan Options,  Gluten Free Options, Singaporean,  Vegetarian Friendly,  Minority Chinese,  Malaysian,  Asian"
Amsterdam,577.0,62.0,"Mexican,  Vegetarian Friendly,  Latin,  Vegan Options"
Amsterdam,578.0,126.0," Middle Eastern, Fast Food,  Vegan Options,  Vegetarian Friendly"
Amsterdam,579.0,467.0," European,  Vegetarian Friendly,  International, Dutch,  Gluten Free Options"
Amsterdam,580.0,118.0," Mediterranean,  Vegetarian Friendly, Italian,  European,  Pizza,  Vegan Options"
Amsterdam,581.0,186.0,"Asian,  Halal,  Indonesian,  Vegetarian Friendly"
Amsterdam,584.0,166.0," Vegetarian Friendly,  Thai,  Gluten Free Options,  Vegan Options, Asian"
Amsterdam,586.0,116.0,"American,  Bar,  Barbecue,  Pub"
Amsterdam,589.0,258.0,"Mexican,  Gluten Free Options,  Vegetarian Friendly"
Amsterdam,590.0,157.0," Gluten Free Options,  Vegetarian Friendly, Dutch"
Amsterdam,593.0,171.0," Gluten Free Options,  Steakhouse,  European, American,  Bar,  Vegetarian Friendly"
Amsterdam,597.0,42.0," French,  Dutch,  Fusion,  Healthy,  European,  Vegan Options,  Vegetarian Friendly, Cafe"
Amsterdam,601.0,140.0,"International,  Vegetarian Friendly,  Gluten Free Options,  European"
Amsterdam,604.0,132.0," European, Dutch,  Gluten Free Options,  Cafe,  Vegetarian Friendly"
Amsterdam,612.0,226.0," Vegetarian Friendly,  European,  Cafe, Dutch"
Amsterdam,615.0,34.0," Vegetarian Friendly,  Vegan Options,  Gluten Free Options,  International, French"
Amsterdam,616.0,195.0," Vegetarian Friendly,  Mediterranean, Italian,  European"
Amsterdam,617.0,134.0," European,  Pizza,  Vegan Options,  Vegetarian Friendly, Italian"
Amsterdam,619.0,183.0," Gluten Free Options, Cafe,  Vegan Options,  Vegetarian Friendly"
Amsterdam,623.0,270.0," Pizza,  European, Italian,  Vegetarian Friendly"
Amsterdam,625.0,315.0,"Dutch,  Cafe,  European"
Amsterdam,626.0,94.0," Cafe,  European,  Vegetarian Friendly, Dutch"
Amsterdam,629.0,226.0," Vegetarian Friendly,  Bar,  Central European,  European, Dutch,  Pub"
Amsterdam,633.0,82.0," Vegetarian Friendly,  Dutch,  Gluten Free Options, European,  Vegan Options"
Amsterdam,635.0,109.0," European,  Vegetarian Friendly, Dutch,  Bar"
Amsterdam,637.0,105.0," Mediterranean,  Moroccan,  Halal,  Middle Eastern, African"
Amsterdam,642.0,246.0," Vegetarian Friendly, Italian,  Mediterranean,  European"
Amsterdam,643.0,148.0,"Dutch,  Bar,  Cafe,  Pub"
Amsterdam,647.0,64.0," Bar,  Pub, Dutch,  Vegetarian Friendly,  Cafe,  European"
Amsterdam,655.0,79.0," Pub,  Fusion, Bar,  Asian,  Cafe"
Amsterdam,656.0,115.0," Vegetarian Friendly,  European,  Gluten Free Options, French,  Contemporary"
Amsterdam,657.0,198.0,"Indian,  Asian,  Vegetarian Friendly,  Gluten Free Options,  Vegan Options"
Amsterdam,659.0,177.0," Bar,  Vegetarian Friendly,  European,  Pub, Dutch"
Amsterdam,661.0,26.0," European, Dutch,  French,  Fusion,  Vegetarian Friendly,  Asian"
Amsterdam,666.0,150.0," Vegetarian Friendly,  European, International"
Amsterdam,668.0,86.0," European,  Dutch, French,  International"
Amsterdam,670.0,336.0," European, Dutch,  Gluten Free Options,  Vegetarian Friendly,  Bar"
Amsterdam,673.0,326.0," Seafood,  Gluten Free Options,  European,  Vegetarian Friendly, Dutch"
Amsterdam,674.0,71.0," Vegetarian Friendly,  Spanish,  Mediterranean,  European, Bar"
Amsterdam,685.0,58.0,"Dutch,  Vegetarian Friendly,  European"
Amsterdam,688.0,187.0," Vegetarian Friendly,  Gluten Free Options,  Central European, Dutch,  Healthy,  International,  European"
Amsterdam,693.0,409.0," Gluten Free Options, Indian,  Vegetarian Friendly,  Asian,  Vegan Options,  Halal"
Amsterdam,699.0,58.0,"Chinese,  Vegan Options,  Asian,  Fast Food,  Vegetarian Friendly"
Amsterdam,700.0,248.0," Vietnamese,  Vegetarian Friendly, Asian"
Amsterdam,701.0,163.0," Contemporary,  Vegan Options,  Cafe, French,  Vegetarian Friendly,  European,  Gluten Free Options,  Dutch,  International"
Amsterdam,702.0,23.0,"American,  International,  Vegetarian Friendly"
Amsterdam,709.0,23.0,unknown
Amsterdam,710.0,93.0," Gluten Free Options,  Vegetarian Friendly, Cafe"
Amsterdam,713.0,102.0," Vegetarian Friendly,  Vegan Options, European"
Amsterdam,719.0,50.0,"Italian,  Vegetarian Friendly,  Mediterranean,  European"
Amsterdam,722.0,128.0," Vegetarian Friendly,  Ethiopian, African,  Vegan Options"
Amsterdam,723.0,131.0," Dutch,  European,  Vegetarian Friendly, Seafood"
Amsterdam,728.0,74.0," Vegetarian Friendly, Italian,  European"
Amsterdam,729.0,132.0," Gluten Free Options, European,  International"
Amsterdam,732.0,294.0," Mediterranean,  Vegetarian Friendly, Italian,  European"
Amsterdam,733.0,184.0," Vegetarian Friendly, Indian,  Asian,  Vegan Options,  Gluten Free Options"
Amsterdam,738.0,436.0," European, Bar"
Amsterdam,739.0,173.0," European,  Fusion,  Grill,  Gluten Free Options, Dutch,  Cafe,  Vegetarian Friendly"
Amsterdam,744.0,215.0," Vegetarian Friendly,  Vegan Options,  Gluten Free Options,  Asian, Indian"
Amsterdam,746.0,129.0," Vegetarian Friendly,  European, Street Food,  Fast Food,  American"
Amsterdam,749.0,146.0," Vegan Options,  Bar,  Gluten Free Options, American,  Vegetarian Friendly,  Japanese"
Amsterdam,750.0,54.0,"Greek,  Vegetarian Friendly,  Seafood,  Turkish,  Vegan Options,  Italian"
Amsterdam,755.0,158.0," International, Dutch,  Gluten Free Options,  Vegetarian Friendly,  European"
Amsterdam,766.0,151.0," Vegetarian Friendly, Grill,  Asian,  Japanese,  Sushi,  Gluten Free Options"
Amsterdam,768.0,93.0," Vegetarian Friendly, European"
Amsterdam,772.0,154.0,"Italian,  Vegetarian Friendly,  European,  Mediterranean"
Amsterdam,773.0,122.0," Vegetarian Friendly, Asian,  Thai"
Amsterdam,774.0,170.0," Vegetarian Friendly, Mediterranean,  European"
Amsterdam,775.0,138.0,"Italian,  Gluten Free Options,  European,  Vegetarian Friendly"
Amsterdam,778.0,188.0," Vegetarian Friendly, Asian,  Thai"
Amsterdam,779.0,290.0," Seafood, Dutch,  European"
Amsterdam,781.0,223.0," South American, Peruvian"
Amsterdam,784.0,38.0," European,  Vegan Options,  Seafood, Italian,  Mediterranean,  Vegetarian Friendly"
Amsterdam,786.0,79.0,"Dutch,  European,  Bar,  Pub"
Amsterdam,790.0,196.0," Vegetarian Friendly, Chinese,  Asian"
Amsterdam,792.0,28.0," Soups,  European, Dutch,  Vegetarian Friendly,  Vegan Options"
Amsterdam,793.0,104.0," European, Dutch,  Cafe,  Bar,  Pub"
Amsterdam,794.0,108.0,"Dutch,  Bar,  European,  Vegetarian Friendly"
Amsterdam,795.0,24.0,"Asian,  Vegan Options,  Vegetarian Friendly,  Taiwanese"
Amsterdam,796.0,94.0," Vegan Options,  Vegetarian Friendly, Asian,  Gluten Free Options"
Amsterdam,800.0,61.0," European,  Pub, Bar,  Dutch"
Amsterdam,802.0,65.0," Vegan Options, Bar,  Gastropub,  Street Food,  Vegetarian Friendly"
Amsterdam,803.0,74.0,Bar
Amsterdam,807.0,94.0," Asian,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options, Chinese"
Amsterdam,808.0,131.0," Vegetarian Friendly,  Vegan Options,  Asian,  Nepali, Indian"
Amsterdam,809.0,103.0,"French,  Dutch,  Bar,  Asian,  European,  Vegetarian Friendly"
Amsterdam,811.0,142.0,"Dutch,  Gluten Free Options,  European,  Vegetarian Friendly"
Amsterdam,814.0,19.0," Italian,  Vegan Options, French,  Vegetarian Friendly"
Amsterdam,815.0,177.0," Asian,  Korean, Barbecue"
Amsterdam,816.0,338.0," Barbecue,  European,  Latin,  South American,  Argentinean, Steakhouse"
Amsterdam,818.0,134.0,"Italian,  Vegetarian Friendly,  Pizza,  European"
