Index,City,Country,Latitude,Longitude
393,nanortalik,GL,60.14,-45.24
156,okhotsk,RU,59.38,143.3
515,summerville,US,33.02,-80.18
320,guerrero negro,MX,27.98,-114.06
444,kaili,ID,-3.46,120.21
338,asau,RO,46.43,26.4
280,timra,SE,62.49,17.33
46,upernavik,GL,72.79,-56.15
526,marsabit,KE,2.33,37.99
167,cabedelo,BR,-6.98,-34.83
495,matera,IT,40.5,16.42
241,yulara,AU,-25.24,130.99
567,chernyshevsk,RU,52.52,117.02
472,te anau,NZ,-45.42,167.72
121,tual,ID,-5.67,132.75
361,chokwe,MZ,-24.53,32.98
106,borba,BR,-4.39,-59.59
450,pak thong chai,TH,14.72,102.03
132,galiakot,IN,23.52,74.0
387,yokadouma,CM,3.52,15.05
187,torbay,CA,47.67,-52.73
24,abong mbang,CM,3.98,13.18
263,yaan,NG,7.38,8.57
118,ribeira grande,PT,38.52,-28.7
364,itoman,JP,26.12,127.67
537,novozavidovskiy,RU,56.55,36.43
238,kongolo,CD,-5.38,27.0
370,miraflores,MX,19.22,-98.81
401,basco,PH,20.45,121.97
493,babynino,RU,54.39,35.73
288,amahai,ID,-3.33,128.92
298,ishinomaki,JP,38.42,141.3
504,cadillac,US,44.25,-85.4
150,clyde river,CA,70.47,-68.59
398,brazzaville,CG,-4.27,15.28
182,florida,US,28.75,-82.5
518,nantucket,US,41.28,-70.1
161,taltal,CL,-25.4,-70.48
2,kodiak,US,57.79,-152.41
18,sicuani,PE,-14.27,-71.23
335,okato,NZ,-39.2,173.88
3,xichang,CN,27.9,102.26
20,lebu,CL,-37.62,-73.65
312,atyrau,KZ,47.12,51.88
442,znamenskoye,RU,57.13,73.83
64,ichinoseki,JP,38.92,141.13
253,esna,EG,25.29,32.55
448,poum,NC,-20.23,164.02
173,nizwa,OM,22.93,57.53
473,olinda,BR,-8.01,-34.86
348,ambam,CM,2.38,11.28
333,port lincoln,AU,-34.73,135.87
290,toktogul,KG,41.87,72.94
250,saint george,US,37.1,-113.58
160,lunenburg,CA,44.38,-64.32
358,kutum,SD,14.2,24.67
386,borinskoye,RU,52.46,39.37
382,puerto baquerizo moreno,EC,-0.9,-89.6
520,krasnogorskoye,RU,52.3,86.2
468,kirakira,SB,-10.45,161.92
341,ous,RU,60.91,61.52
208,bambous virieux,MU,-20.34,57.76
32,arraial do cabo,BR,-22.97,-42.03
578,hofn,IS,64.25,-15.21
10,asyut,EG,27.18,31.18
319,kavaratti,IN,10.57,72.64
317,jacareacanga,BR,-6.22,-57.75
105,point pedro,LK,9.82,80.23
23,vao,NC,-22.67,167.48
120,sumbe,AO,-11.21,13.84
90,san policarpo,PH,12.18,125.51
413,talnakh,RU,69.49,88.4
496,ayan,RU,56.45,138.17
322,tagusao,PH,9.19,117.81
174,kommunisticheskiy,RU,61.68,64.48
52,kholtoson,RU,50.3,103.31
383,baruun-urt,MN,46.68,113.28
184,rochester,US,43.15,-77.62
301,deogarh,IN,21.53,84.73
296,fortuna,US,40.6,-124.16
35,nikolskoye,RU,59.7,30.79
128,kapan,AM,39.21,46.41
435,santa clara,CU,22.4,-79.97
505,la pena,FR,43.28,5.52
362,vieux-habitants,GP,16.06,-61.77
142,bumba,CD,2.18,22.47
408,bandarbeyla,SO,9.49,50.81
58,hithadhoo,MV,-0.6,73.08
304,esmeraldas,BR,-19.76,-44.31
579,luanda,AO,-8.84,13.23
84,madison,US,34.73,-86.57
224,kropotkin,RU,45.44,40.58
373,menongue,AO,-14.66,17.69
22,beian,NO,63.66,9.57
291,kahului,US,20.89,-156.47
114,inirida,CO,3.87,-67.92
574,lensk,RU,60.73,114.93
573,redmond,US,47.67,-122.12
145,capelinha,BR,-17.69,-42.52
67,butaritari,KI,3.07,172.79
256,lavrentiya,RU,65.58,-171.0
343,srednekolymsk,RU,67.45,153.68
83,rafaela,AR,-31.25,-61.49
86,hobart,AU,-42.88,147.33
272,rio grande,BR,-32.03,-52.1
42,illapel,CL,-31.63,-71.17
485,black river,JM,18.03,-77.85
503,ostrovskoye,RU,57.81,42.24
342,paombong,PH,14.83,120.78
422,sibut,CF,5.72,19.07
308,margate,GB,51.38,1.39
423,itaperuna,BR,-21.2,-41.89
82,longyearbyen,SJ,78.22,15.64
139,faanui,PF,-16.48,-151.75
433,beringovskiy,RU,63.05,179.32
307,saldanha,ZA,-33.01,17.94
424,nouadhibou,MR,20.93,-17.03
33,conceicao do araguaia,BR,-8.26,-49.26
547,viedma,AR,-40.81,-63.0
50,jamestown,US,42.1,-79.24
266,soure,BR,-0.72,-48.52
148,shache,CN,38.42,77.24
204,esperance,AU,-33.87,121.9
375,elizabeth city,US,36.29,-76.25
487,tautira,PF,-17.73,-149.15
418,valleyview,CA,55.07,-117.29
216,komsomolskiy,UZ,40.43,71.72
269,el sauzal,MX,31.9,-116.68
500,san cristobal,VE,7.77,-72.22
99,yerbogachen,RU,61.28,108.01
354,tateyama,JP,34.98,139.87
26,bathsheba,BB,13.22,-59.52
13,bethel,US,41.37,-73.41
392,bekwai,GH,6.45,-1.58
303,sibolga,ID,1.74,98.78
209,fairbanks,US,64.84,-147.72
460,barguzin,RU,53.62,109.62
8,puerto ayora,EC,-0.74,-90.35
47,uige,AO,-7.61,15.06
111,cherskiy,RU,68.75,161.3
306,newport,GB,51.59,-3.0
74,carnarvon,AU,-24.87,113.63
207,ziro,IN,27.63,93.83
426,hasaki,JP,35.73,140.83
131,changping,CN,40.22,116.22
546,imeni vorovskogo,RU,55.72,38.34
222,dehloran,IR,32.69,47.27
158,jurmala,LV,56.97,23.77
11,rikitea,PF,-23.12,-134.97
230,north bend,US,43.41,-124.22
115,isangel,VU,-19.55,169.27
223,foz do iguacu,BR,-25.55,-54.59
455,lermontovka,RU,47.15,134.34
162,henties bay,,-22.12,14.28
274,upington,ZA,-28.45,21.26
294,ulaanbaatar,MN,47.91,106.88
474,arlit,NE,18.74,7.39
349,sitka,US,57.05,-135.33
572,palana,RU,59.12,159.97
511,uyemskiy,RU,64.47,40.85
491,hare bay,CA,48.85,-54.01
353,savannah bight,HN,16.45,-85.85
57,souillac,MU,-20.52,57.52
421,high level,CA,58.52,-117.14
544,indapur,IN,18.3,73.25
416,boa vista,BR,2.82,-60.67
309,kenai,US,60.55,-151.26
252,waingapu,ID,-9.66,120.26
135,teya,RU,60.38,92.63
356,saint-philippe,RE,-21.36,55.77
330,kalmunai,LK,7.42,81.82
196,saskylakh,RU,71.92,114.08
585,benjamin aceval,PY,-24.97,-57.57
553,sao miguel do guama,BR,-1.63,-47.48
245,bayangol,RU,50.7,103.47
431,sur,OM,22.57,59.53
531,nola,IT,40.92,14.53
410,bolu,TR,40.67,31.58
516,horta,PT,38.53,-28.63
225,buston,TJ,40.52,69.33
530,kieta,PG,-6.22,155.63
293,sao gabriel da cachoeira,BR,-0.13,-67.09
311,durres,AL,41.32,19.44
517,neuquen,AR,-38.95,-68.06
200,port elizabeth,ZA,-33.92,25.57
400,urengoy,RU,65.97,78.37
199,borogontsy,RU,62.67,131.17
217,vardo,NO,70.37,31.11
70,atuona,PF,-9.8,-139.03
404,villepinte,FR,48.96,2.53
374,panguna,PG,-6.32,155.48
242,huarmey,PE,-10.07,-78.15
533,flin flon,CA,54.77,-101.86
477,tiarei,PF,-17.53,-149.33
6,punta arenas,CL,-53.15,-70.92
170,dunedin,NZ,-45.87,170.5
267,stepnyak,KZ,52.83,70.78
87,wewak,PG,-3.55,143.63
25,reforma,MX,18.1,-91.02
470,gualeguaychu,AR,-33.01,-58.52
284,duzce,TR,40.84,31.16
347,ponta delgada,PT,37.73,-25.67
211,taunggyi,MM,20.78,97.03
568,salalah,OM,17.02,54.09
54,katsuura,JP,35.13,140.3
299,luwuk,ID,-0.95,122.79
257,chuy,UY,-33.7,-53.46
264,urumqi,CN,43.8,87.6
219,cap malheureux,MU,-19.98,57.61
528,coquimbo,CL,-29.95,-71.34
507,ontario,US,34.06,-117.65
486,ulaangom,MN,49.98,92.07
378,petatlan,MX,17.52,-101.27
582,skelleftea,SE,64.75,20.95
360,sorland,NO,67.67,12.69
376,olga,RU,43.74,135.29
277,vostok,RU,46.49,135.88
554,eureka,US,40.8,-124.16
513,jibuti,DJ,11.5,42.5
558,nouakchott,MR,18.09,-15.98
315,ilulissat,GL,69.22,-51.1
571,lasa,IT,46.62,10.7
210,domna,RU,51.9,113.16
395,ushtobe,KZ,45.25,77.98
334,ahipara,NZ,-35.17,173.17
327,svetlaya,RU,46.54,138.33
490,churapcha,RU,62.0,132.43
390,gornopravdinsk,RU,60.05,69.9
389,yekaterinoslavka,RU,50.37,129.11
41,husavik,IS,66.04,-17.34
110,qaanaaq,GL,77.48,-69.36
244,cabinda,AO,-5.55,12.2
237,teguldet,RU,57.31,88.17
508,avera,US,33.19,-82.53
295,yei,SS,4.09,30.68
30,araouane,ML,18.9,-3.53
17,mangochi,MW,-14.48,35.26
498,praia,CV,14.92,-23.51
323,tromso,NO,69.65,18.96
130,cortez,US,37.35,-108.59
501,sainte-thecle,CA,46.82,-72.5
248,acari,PE,-15.43,-74.62
532,mabaruma,GY,8.2,-59.78
440,shenjiamen,CN,29.96,122.3
197,balgazyn,RU,51.0,95.2
355,quang ngai,VN,15.12,108.8
499,nuuk,GL,64.18,-51.72
512,tessalit,ML,20.2,1.01
171,grindavik,IS,63.84,-22.43
463,tigil,RU,57.8,158.67
275,williams lake,CA,52.14,-122.14
151,macklin,CA,52.33,-109.93
51,ampanihy,MG,-24.7,44.75
430,progress,US,40.29,-76.83
451,wagar,SD,16.15,36.2
300,the valley,AI,18.22,-63.06
271,mehamn,NO,71.04,27.85
551,gamba,GA,-2.65,10.0
278,hervey bay,AU,-25.3,152.85
89,mangai,CD,-4.05,19.53
497,gravdal,NO,68.12,13.5
318,port hardy,CA,50.7,-127.42
153,ponta do sol,PT,32.67,-17.1
63,khatanga,RU,71.97,102.5
198,alofi,NU,-19.06,-169.92
352,lillooet,CA,50.69,-121.94
577,charters towers,AU,-20.1,146.27
27,namibe,AO,-15.2,12.15
436,valparaiso,CL,-33.04,-71.63
45,vaini,TO,-21.2,-175.2
331,mecca,SA,21.43,39.83
344,norman wells,CA,65.28,-126.83
39,krasnoarmeysk,RU,51.02,45.7
576,sabang,ID,5.89,95.32
457,zonguldak,TR,41.25,31.83
538,nokaneng,BW,-19.67,22.27
541,anadyr,RU,64.75,177.48
441,sao filipe,CV,14.9,-24.5
523,amapa,BR,1.0,-52.0
109,victoria,HK,22.29,114.16
243,miandrivazo,MG,-19.52,45.47
522,camacari,BR,-12.7,-38.32
246,moose factory,CA,51.26,-80.61
287,uddevalla,SE,58.35,11.94
38,tanout,NE,14.97,8.89
529,noumea,NC,-22.28,166.46
492,obodivka,UA,48.41,29.25
235,mackay,AU,-21.15,149.2
539,vestmannaeyjar,IS,63.44,-20.27
55,new norfolk,AU,-42.78,147.06
555,montalvo,EC,-1.8,-79.33
326,geraldton,AU,-28.77,114.6
73,mantua,IT,45.17,10.78
34,port alfred,ZA,-33.59,26.89
206,naze,JP,28.37,129.48
185,luderitz,,-26.65,15.16
93,huilong,CN,31.81,121.66
195,dire dawa,ET,9.59,41.87
564,khandbari,NP,27.37,87.2
7,albany,US,42.6,-73.97
543,grakhovo,RU,56.05,51.97
560,jiwani,PK,25.05,61.74
186,hami,CN,42.8,93.45
201,ciudad bolivar,VE,8.12,-63.55
425,maniitsoq,GL,65.42,-52.9
285,cayenne,GF,4.93,-52.33
60,mar del plata,AR,-38.0,-57.56
53,san quintin,MX,30.48,-115.95
302,vikulovo,RU,56.82,70.61
412,clonakilty,IE,51.62,-8.87
249,kosh-agach,RU,50.0,88.67
467,mirabad,AF,30.44,61.84
483,pacific grove,US,36.62,-121.92
314,touros,BR,-5.2,-35.46
69,ostrovnoy,RU,68.05,39.51
377,ashland,US,40.82,-82.27
549,zapolyarnyy,RU,69.42,30.81
310,jutai,BR,-5.18,-68.9
452,padang,ID,-0.95,100.35
125,zhoucheng,CN,35.91,116.31
437,taos,US,36.41,-105.57
465,kanniyakumari,IN,8.08,77.57
180,pevek,RU,69.7,170.31
453,cunha,BR,-23.07,-44.96
19,warmbad,,-28.45,18.73
469,yeppoon,AU,-23.13,150.73
79,avarua,CK,-21.21,-159.78
239,hamilton,US,39.18,-84.53
124,sao joao da barra,BR,-21.64,-41.05
409,almeirim,BR,-1.52,-52.58
396,rocha,UY,-34.48,-54.33
305,paamiut,GL,61.99,-49.67
76,sambava,MG,-14.27,50.17
471,bubaque,GW,11.28,-15.83
100,burnie,AU,-41.07,145.92
521,kiama,AU,-34.68,150.87
550,haines junction,CA,60.75,-137.51
166,lucapa,AO,-8.42,20.74
102,havoysund,NO,71.0,24.66
461,bunia,CD,1.57,30.25
169,bengkulu,ID,-3.8,102.27
88,san patricio,MX,19.22,-104.7
143,kavieng,PG,-2.57,150.8
359,codrington,AU,-38.27,141.97
580,yarmouth,US,41.71,-70.23
247,liepaja,LV,56.54,21.04
31,itapirapua,BR,-15.82,-50.61
172,atasu,KZ,48.68,71.64
56,carlyle,US,38.61,-89.37
12,tuktoyaktuk,CA,69.45,-133.04
176,inhambane,MZ,-23.86,35.38
502,yuxia,CN,34.06,108.63
228,liverpool,GB,53.41,-2.98
281,san pedro,PH,14.35,121.02
454,beloha,MG,-25.17,45.05
149,sinnamary,GF,5.38,-52.95
15,provideniya,RU,64.38,-173.3
524,saint-leu,RE,-21.15,55.28
214,baherden,TM,38.44,57.43
282,iqaluit,CA,63.75,-68.51
152,saint-denis,FR,48.92,2.33
439,bukama,CD,-9.2,25.85
68,son la,VN,21.32,103.9
391,sovetskiy,RU,61.36,63.58
324,broome,US,42.25,-75.83
292,floro,NO,61.6,5.03
49,shubarshi,KZ,48.59,57.19
569,terrak,NO,65.09,12.37
261,hay river,CA,60.82,-115.8
405,cascavel,BR,-24.96,-53.46
484,deputatskiy,RU,69.3,139.9
163,leshukonskoye,RU,64.9,45.76
584,black forest,US,39.01,-104.7
192,severo-kurilsk,RU,50.68,156.12
240,staryy nadym,RU,65.61,72.68
181,walvis bay,,-22.96,14.51
159,mizan teferi,ET,6.98,35.58
188,tiksi,RU,71.69,128.87
5,yicheng,CN,31.37,119.87
407,wadi musa,JO,30.32,35.48
489,nueva italia,PY,-25.62,-57.5
213,labuhan,ID,-6.88,112.21
97,orange cove,US,36.62,-119.31
144,takoradi,GH,4.88,-1.76
372,ust-nera,RU,64.57,143.2
459,mersing,MY,2.43,103.84
482,bonfim,BR,3.08,-59.95
406,edd,ER,13.93,41.69
479,ortega,CO,3.94,-75.22
428,buchanan,LR,5.88,-10.05
98,gat,IL,31.61,34.76
71,bluff,NZ,-46.6,168.33
136,ruteng,ID,-8.61,120.47
276,conceicao da barra,BR,-18.59,-39.73
258,kyabe,TD,9.45,18.94
113,magalia,US,39.81,-121.58
232,piacabucu,BR,-10.41,-36.43
565,alta floresta,BR,-9.88,-56.09
123,pangnirtung,CA,66.15,-65.71
381,hlotse,LS,-28.87,28.05
138,bima,ID,-8.47,118.72
37,ushuaia,AR,-54.8,-68.3
193,kaitangata,NZ,-46.28,169.85
254,dossor,KZ,47.53,52.98
122,roald,NO,62.58,6.13
179,uyuni,BO,-20.46,-66.83
402,ormond beach,US,29.29,-81.06
226,celestun,MX,20.87,-90.4
480,birin,NP,26.89,88.07
164,tura,IN,25.52,90.22
