name,pop
South Ozone Park,75878
 Travis,39309
 West Maspeth,63271
East Harlem South,56899
 Bay Terrace,21751
park,418
 Clifton,19834
Ridgewood,69455
 Carnegie Hill,61207
 cemetery,418
 Wingate,67459
Todt Hill,30762
Murray Hill,50742
 Downtown Brklyn,34495
Allerton,28510
 Brookville,18950
 Harding Park,50753
Stapleton,24048
Hollis,20747
Williamsburg,32269
Midtown,25807
Jamaica Estates,25480
Chinatown,52375
Bayside,44371
Queensboro Hill,20800
Battery Park City,39699
Grymes Hill,22460
Turtle Bay,49737
Mount Hope,52649
Jackson Heights,113327
 Vinegar Hill,30847
Laurelton,24453
 Ravenswood,20030
Bath Beach,29931
 etc,436
Grymes Hill,19834
Hudson Yards,55839
 Bathgate,28149
 Queens,436
Richmond Hill,62982
 Prince's Bay,26376
 Midtown South,28630
 Boerum Hill,30847
 Oakwood Beach,22266
Brownsville,58300
East New York (Pennsylvania Ave),29343
 Fordham North,54415
Steinway,47534
University Heights,54335
West Farms,35011
Cambria Heights,18677
North Side,45774
 Port Morris,52413
East Elmhurst,23150
 Edgewater Park,44167
East New York,83275
 Eltingville,27770
Ocean Parkway South,20556
Far Rockaway,48344
Bedford,59227
 Mott Haven North,39214
Van Nest,27135
Sunset Park West,52312
park,1849
 Gowanus,67649
 Clifton,22460
Kingsbridge Heights,32496
Whitestone,30773
 New Hyde Park,22571
Mariner's Harbor,31474
 Union Square,70150
 Wakefield,42483
 Little Italy,36757
 Cobble Hill,22548
Borough Park,106357
 Flat Iron,55839
 cemetery,7
Spuyten Duyvil,30161
Queens Village,52504
Westerleigh,24102
 Fox Hills,19834
 Richmond Valley,18332
Rikers Island,12780
Sheepshead Bay,64518
 Ft. Wadsworth,16079
Jamaica Estates,26061
Clinton,45884
 cemetery,540
park,1906
Soundview,53686
Hunts Point,25142
Eastchester,34517
Bayside,43808
 Bronx River,34542
Grasmere,15238
 Fieldston,28013
 South Side,45774
Prospect Lefferts Gardens,70300
East Flatbush,56033
Mariner's Harbor,27957
East Concourse,58961
Erasmus,31392
Crown Heights North,103462
 Manhattn Bch,64596
 Arverne,31645
East Harlem South,57902
 Emersn Hill,30714
West New Brighton,32154
Springfield Gardens South,18950
 Woodrow,20763
Whitestone,31356
Briarwood,39138
Port Richmond,18042
 Kips Bay,50742
 Kips Bay,48419
 Bruckner,35137
Crotona Park East,18072
 Jamaica Hills,38675
 Manhattan,1849
 South Beach,24835
Seagate,31965
 West Maspeth,61947
Battery Park City,20088
East Elmhurst,21183
Upper East Side,63664
 Huguenot,27770
Bay Ridge,80539
 Brookville,20132
park,1785
Bay Ridge,79371
East Flatbush,50355
 Bergen Beach,45231
 Broad Chnl,28018
Briarwood,38675
Jackson Heights,108152
North Riverdale,27860
Brighton Beach,35244
Astoria,78793
 East Midtown,51231
 Holliswood,26061
 Carnegie Hill,63664
 Baychester,35422
Crown Heights South,39670
Charleston,18332
Elmhurst,24338
Great Kills,41680
Douglas Manor,24356
Oakwood,22049
Crotona Park East,20277
Sunset Park East,72340
Flatbush,105804
 Brooklyn,93
Woodhaven,54149
Morningside Heights,54208
 etc,1662
 Rockwy Prk,26711
Queensbridge,20030
West New Brighton,33551
Rosedale,25063
