group,Index,quantity,unit_cogs,name
DAIRY_CHESSE,8076,1,1.2,NAP TIGER 0_25 SPEED
DRINK_JUICE,9167,6,1.83,HELLENA 1_75 L N/G  POMARANCZOWY
SWEETS,19273,2,9.59,WEDEL PTASIE KARMEL  380 G
CIGARETTES,5609,38,9.14,PAP ROTHMANSY RED 100
COFFEE TEA,5909,1,9.44,HERBATA EXP.100T.AKBAR
ALCOHOL,22301,52,5.57,WODKA 1906 0_2L
CHEMISTRY,3587,2,5.79,BIALY JELEN SZAMPON 300 ML
DRINK_JUICE,8870,10,1.27,JOGURT GRECKI 150 G JAGODA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,16832,4,2.65,ORZESZKI ZIEMNE OK SOLONE 150G PUSZ
DAIRY_CHESSE,8099,12,2.555,SER MLEKPOL KROLEWSKI Z KOLNA 150G PLAS
GENERAL,11414,1,4.07,PUDL MIESZANKA WARZYWNA PO MEKSYKAN.450
GENERAL,11320,2,1.07,DR O BUDYN SLODKA CHWILA CZEK+MALINA
POULTRY,17095,0.18,24.0,SZYNKA PIECZONA KG
OCCASIONAL,17402,2,1.54,TORBA SREDNIA
ICE_CREAMS_FROZEN,15732,1,1.18,LODY KOSTKA SNIEZNA SMIET.
DRINK_JUICE,10543,6,1.21,NAP IZOTONICZNY 0_75 L 4MOVE
GENERAL_FOOD,12574,1,3.48,ANANAS PLASTRY 580 G GIANA
TABLETS,21185,2,4.09,TABLETKI IBUM 7 SZT
DRINK_JUICE,10370,7,0.81,NAP ENER.V-MAX 250 ML MOJITO
SWEETS,19308,1,9.05,BOMB MERCI NIEBIES 250G
VEGETABLES,22186,4,2.4,SKORUPKA KAPUSTA FOLIA 1 KG
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,16757,89,0.909325842696629,NAP ENERGETYCZNY V-MAX 0_25L PUSZKA
DAIRY_CHESSE,7867,1,6.19,MLEKO B/LAKTOZY 500 G W PROSZKU
ICE_CREAMS_FROZEN,15249,9,1.82,LODY BIG SNAK 180 ML
GENERAL,11438,4,1.46,WIN GALARETKA PRZEZROCZYSTA 71 G
SWEETS,19781,6,0.72,PETITKI LUBISIE BANAN
DAIRY_CHESSE,6726,5.02,13.653386454183302,SER WIEDENSKI RICOTTA
POULTRY,1496,2,2.78,LOWICZ DZEM WISNIA N/S?.
ICE_CREAMS_FROZEN,15590,9,3.0,LODY KORAL ROZEK 180 ML
SPICES,18497,2,1.29,KNORR PAPRYKA OSTRA Z HISZPANI
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,16602,1,15.28,NAP SPIR CYTRYNOWKA LUBELSKA 30% 0_5L
CHEMISTRY,2990,4,5.21,BREF KULKI BLU AKTIV
ALCOHOL,22946,1,10.46,SZAMPAN CIN CIN BIALY 0_75L
VEGETABLES,22079,112.484,5.655204295722059,KT POMIDOR MALINOWY
CHEMISTRY,3581,6,0.77,ARIEL KAPSU?KI DO BIA?EGO 32SZT
DRINK_JUICE,9056,3,0.87,NAP HORTEX 0_2 SCUBI
SWEETS,20376,2,2.21,LIZAK BALWANEK
CHEMISTRY,3270,1,1.66,MYDLO SZARE ATTIS 200GR
SWEETS,19329,2,3.2,CIASTKA JEZYKI Z ADVOCAT 140 G JUTRZENKA
SPICES,18027,1,1.4,KAMIS LISC LAUROWY 6G
GENERAL,11519,2,2.35,WEDEL CZEKOLADA 100G CREME BRULLE
POULTRY,17193,0.525,30.438095238095197,SMAKOSZKI KG
ICE_CREAMS_FROZEN,15702,30,1.88,LODY BIG MILK FRUUT
DAIRY_CHESSE,7619,3,1.65,HOCHL PIECZARKA 100G TOP BLOK
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,16719,1,0.88,APPETITA GORCZYCA BIALA 30G
CIGARETTES,5067,45,10.83,PAP CHESTERFIELD BLU 21
CIGARETTES,5173,52,10.826153846153801,PAP PAL MAL MINT
POULTRY,1547,11,3.77,BRZOSKWINIE SANDRA 820G
SPICES,18167,5,1.938,KNOR DELIKAT DO MIES 75G
POULTRY,17178,2.845,12.4850615114236,KIE?BASA WIOSENNA KG
COFFEE TEA,6093,1,7.86,HERB.ERL GREY 50SZ LIPTON
GENERAL_ITEMS,17812,17,3.85,POMPKA HEYAH 5 ZL
POULTRY,1843,4,3.05,SZPROT BIG FISH W POMID.170G
CHEMISTRY,3446,1,11.84,KREDKI SWIECOWE WKRECANE  12 SZT
DAIRY_CHESSE,7285,4,1.35,MILLER FROOP 150 G Z KIWI
OCCASIONAL,17479,3,2.78,TUNCZYK ROZDROBNIONY W WODZIE 130 G
DRINK_JUICE,10735,15,0.908,WODA CISOWIANKA 1_5 L GAZOWANA
DAIRY_CHESSE,7074,24,1.93,MASLANKA SREMSKA 1 L
GENERAL_FOOD,13107,4.7,10.1382978723404,OGORKI MALOSOLNE  LUZ
ICE_CREAMS_FROZEN,15482,12,1.35,LODY ROZEK MIX
BREAD,1056,278,0.58,S BULKA SOJOWA
DAIRY_CHESSE,7773,30,1.01,DESER JANA CZEKOLADOWY 120G
DRINK_JUICE,9932,4,1.35,JOGURT GRECKI 150 G TRUSK.
CIGARETTES,5317,37,10.6940540540541,PAP PAL MAL LINK BLU
CHEMISTRY,3182,2,6.89,BIALY JELEN PLYN DO KAPIELI 750 ML
SWEETS,20373,33,0.93,KULE RUMOWE
SWEETS,20755,8,1.48,DROPS HALLS WOTERMELON
ALCOHOL,576,9,0.82,PIWO LECH  MOITO 0_5 L B/ZW
GENERAL,11429,1,2.61,SOK Z KAPUSTY KISZONEJ 1 L
SWEETS,19144,11,1.39,CZEK AMELIA MLECZNA 100G
CHIPS_FLAKES,4704,13,2.18,STAR CHIPS SER POMIDOR 125 G
DAIRY_CHESSE,7236,2,1.59,HOCHL.SZYNKA 100G BLOK TOPIONY
GENERAL,11253,1,2.04,GOLARKA VENUS 2 SZT
DRINK_JUICE,9750,50,1.295,KUBUS WATER 0_5 L TRUSKAWKA
TABLETS,21209,6,4.75,TABLETKI IBUPROM 10SZT
GENERAL,11405,5,3.4,MLEKO KOKOSOWE 250 ML CZEKOLADA
GENERAL_FOOD,13159,10,2.39,WAFLE OKR?G?E 100GR
ALCOHOL,500,53,1.87415094339623,PIWO LECH SHANDY 0_5 BUT
ALCOHOL,22970,2,7.04,WINO FRESCO ROZOWE P/SL
GROATS_RICE_PASTA,14289,7,2.3,MAK SULMA MUSZELKA 100% DURUM
SWEETS,20329,8,0.83,CUKIERKI JUMI OWOCOWE 100G
ALCOHOL,22283,5,3.79,NAP SPIR SOPLICA CZ.PORZECZKA 0_1 L
ALCOHOL,22890,4,5.6,WODKA WALET 0_2 40%
GENERAL_FOOD,13335,1,1.83,WAFLE RYZOWE Z SLONECZ.SONKO
GENERAL_ITEMS,17652,31,1.6135483870967702,MAR PALMA BIELMAR 250G Z MURZYNKIEM
GENERAL_FOOD,13389,7,1.01,CYKORIA SOS DO PIECZENI
SWEETS,20655,7,2.69,SCHOGETTEN CZEKOL 100G MLECZNA
COOKIES_BULK,6384,0.33,10.2424242424242,WAFLE PISZINGER VAT 8%
GENERAL_FOOD,12810,2,2.8,SALAMI 150 G
POULTRY,17201,0.225,9.73333333333333,KASZANKA KG
OCCASIONAL,17434,1,4.24,PONNY FANTASY
SWEETS,21024,20,0.855,PRINCE POLO XXL MLECZNE
ICE_CREAMS_FROZEN,15468,1,2.66,LODY PRINCESSA ORZECH 95 ML
DAIRY_CHESSE,7328,4,1.09,SEREK PYSZNY Z TRUSK 140 G
GENERAL_FOOD,13928,1,10.59,MASKOTKA Z PREZENTEM 100G CZEKOL
DRINK_JUICE,9577,3,2.5,NAP CAPRIO 2L CZARNA PORZECZKA
ICE_CREAMS_FROZEN,14744,1,5.9,LODY CASSATE
CHEMISTRY,1997,7,0.59,ZMYWAK KUCZENNY Z UCHWYTEM
GENERAL_FOOD,12074,6,2.42,BAKOMA TWIST 400 G ZURAWIN
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,16703,4,3.53,WIN MAJONEZ  OMEGA 3 250ML
SWEETS,19768,3,1.98,MILKA CZEK.ORZECHOWA 100G
SPICES,18323,5,0.99,PRZYPRAWA.DO OGORKOW KWASZNYCH
ICE_CREAMS_FROZEN,15872,1,3.51,ZUPA OGORKOWA
DAIRY_CHESSE,8472,1,4.18,SER MOZZARELLA 250 G
DAIRY_CHESSE,7840,26,0.913076923076923,JOGURT PANA COTTA 150 G
DRINK_JUICE,10364,28,1.81142857142857,NAP COCA COLA 0_5L
GENERAL_FOOD,13258,12,1.93416666666667,KREM LAKOMCIA CZEK.ORZECH 190G
ALCOHOL,22814,1,17.48,WHISKY HIGHLANDER 0_5 L
ALCOHOL,23054,1,7.6,WINO WALDWEIN 0_75L JAGOGA S?ODKIE
VEGETABLES,22005,27,0.95,KT RZODKIEWKA PECZEK
DRINK_JUICE,9913,12,1.5183333333333302,ZBYSZKO 3 WITAMINKI GAZ 1_5 L
SWEETS,20852,10,0.68,WAFELEK SONATA 23 G
CIGARETTES,5333,17,9.96,PAP RGD  MINT
ALCOHOL,22804,4,16.0525,NAP SPIR SOPLICA WISNIOWA 0_5 L
CHIPS_FLAKES,4772,18,2.23,STAR CHIPS 130 G SER CEBULA
GENERAL,11445,1,3.35,BOROWIK SUSZONY 20 G
GENERAL,11245,4,1.35,CWIKLA Z CHRZANEM 300 G SLON.OGROD
GENERAL_FOOD,13364,3,4.33,ZUPA PIECZARKOWA NORDIS
SWEETS,19604,6,2.61,RURKI PAKOWANE W POL 120 G FLIS
CHEMISTRY,3662,1,1.59,MYDLO SZARE 175 G
CHEMISTRY,2621,7,2.95,BREF 4-FORMULA AKTIV
ALCOHOL,131,4,3.78,PIWO CIECHAN MIODOWE 0_5 L B/ZW
DAIRY_CHESSE,8513,5,2.39,WEDEL CZEKOLADA LESNA 100G
GENERAL,11230,8,0.74,WIN BUDYN CZEKOL DO CIAST 40 G
ALCOHOL,22618,14,4.00785714285714,NAP SPIR ZO?ADKOWA GORZKA 0_1 36%
CHIPS_FLAKES,4718,14,2.77,LAYS KARBOWANE 225 G ZIEL CEB.
ICE_CREAMS_FROZEN,14828,5,2.08,LODY GRAND
DRINK_JUICE,9793,11,0.74,NAP FRUGO POMAR 250 ML
DRINK_JUICE,9855,39,2.15333333333333,PEPSI *1L
SWEETS,20555,1,1.96,CUKIERKI NIMM2 90G
COFFEE TEA,5739,2,3.25,BISZKOPTY 120 G MLYNY POLSKIE
GROATS_RICE_PASTA,14231,2,2.67,SOS SPAGHETI SMIET+POMID DAWTON
ICE_CREAMS_FROZEN,15665,2,6.12,PIZZA GUSTAVO 425 G
DAIRY_CHESSE,7596,15,0.55,GALEO KWASWK CYTR
POULTRY,1563,4,2.4,PROFI PASZTET 250G FIRMOWY
ALCOHOL,23063,1,7.86,SZAMPAN DORATO ROZOWE P/SLODKIE 0_75 L
CHEMISTRY,2037,1,1.35,GAZA OPATRUNKOWA 1 M
SWEETS,20246,3,2.43,WEDEL CZEK TRUSKAW 100G
DRINK_JUICE,10683,3,1.63,NAP NAPI JAB?+WISNIA 1_5 L N/G
ALCOHOL,23082,7,7.63,NAP SPIR SOPLICA WISNIA 0_2
ALCOHOL,22292,21,4.14,NAP SPIR ZO?ADKOWA GORZKA 0_1 36%
GENERAL_ITEMS,17592,5,5.52,OLEJ LNIANY 200 ML
SPICES,18366,1,1.29,KNORR KURKUMA Z INDI 20 G
SWEETS,20588,12,1.32,JAJKO PRINCES
GROATS_RICE_PASTA,14278,1,1.76,RYZ SONKO BRAZOWY 4X100 GR
BREAD,1438,1,6.5,S BABKI 0_35KG
DRINK_JUICE,9479,18,1.74,PUDL SOK POMIDOROWY 300 G
GENERAL_FOOD,13343,5,0.73,WIN KISIEL TRUSKAWKOWY 77G
GENERAL_FOOD,12822,3,4.09,SP KURCZAK W GALARECIE
GENERAL,11563,1,2.39,MAK SULMA PAPPARDELE 320 G
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,16258,1,3.63,WIN SOS CHRZANOWY 250ML
GENERAL_ITEMS,16887,2,2.96,SP GALAT WIEPRZOWY 200G
ALCOHOL,183,11,1.65909090909091,PIWO BOJAN FAJRANT 0_5 L B/ZWR
POULTRY,1763,9,4.19,PIEROGI Z SEREM/OWOC TACKA 4000GR
GENERAL,11379,6,2.4,CIASTKA KRAKUSKI DESEROWE Z CUKREM 200G
VEGETABLES,21504,9,2.87666666666667,KT POMIDOR KOKTAILOWY 250 G
DAIRY_CHESSE,8433,4,2.32,LACIATY 150 G NATURALNE
CIGARETTES,5508,5,12.04,PAP LM LINK FORWARD
SWEETS,20654,2,1.74,SCHOGETTEN BLACK WHITE 100 G
ALCOHOL,830,1,4.07,PIWO DLA PANA TO 0_5 L B/BEZW
DAIRY_CHESSE,7710,60,1.45,SEREK WIEJSKI 200G ZIARNISTY COTTAGE
DAIRY_CHESSE,7485,4,1.8,MLEKO SWIEZE SREM 1 L 2%
GENERAL_FOOD,13210,3,0.68,CYKORIA BUDYN WANILIOWY B/C 40 G
POULTRY,17327,3.25,18.3876923076923,POLEDWICA SOPOLCKA KG
ICE_CREAMS_FROZEN,14700,1,4.63,PIEROGI Z SEREM 450 G
POULTRY,1652,2,1.72,TOREBKA NA BUTELK?
ICE_CREAMS_FROZEN,14839,5,1.12,LODY KAKTUS 45ML
OCCASIONAL,17487,10,1.038,GOLARKA POLSILWER
ALCOHOL,22499,30,6.64433333333333,WODKA ZUBROWKA BIALA 0_2L
CHEMISTRY,2778,3,0.79,ZESZYT LINIA 60 K
POULTRY,1554,6,4.1,KROKIETY Z KAPUS/GRZYB.400GR GRZESKOWIAK
DAIRY_CHESSE,8315,22,2.59818181818182,SKORUPKA 400 G OGOREK KWASZONY
GENERAL_FOOD,13838,4,1.59,WODA JURAJSKA TRUSKAWKA 1_5L_N/G
SPICES,18758,1,0.99,PRYMAT KMINEK RZYMSKI MIELONY 15 G
CIGARETTES,5483,5,9.95,PAP ROTHMANSY CLICK LINK
SWEETS,21048,2,2.31,WAFLE RONDEL 100 G
VEGETABLES,21342,41.66,5.11137782045127,KT CYTRYNA
ALCOHOL,601,4,2.62,PIWO SOMERSBY  0_4 B/BEZW
SWEETS,19730,17,0.34,GUMA Z TATUAZEM
VEGETABLES,21936,17,1.06058823529412,KT SZCZYPIOREK Z CEBULKA
ALCOHOL,23146,3,6.01,WINO SOPHIA 0_75 RED S?ODKIE
CHEMISTRY,3672,1,3.6,ODSWIEZACZ SZYSZKA  ZAPAS
DAIRY_CHESSE,7750,11,1.54454545454545,DA ALE PITNY 300 G TRUSKAWKA
ALCOHOL,191,5,2.67,PIWO DESPERADOS 0_4 L 6%  B/BEZW
ICE_CREAMS_FROZEN,15307,67,0.65,LODY PINGWINY  MLYNARCZYK B/POL
OCCASIONAL,17411,22,2.02,LAURKA KOMUNIJNA
TABLETS,21091,3,6.88,TABLETKI GRIPEX CNTROL 12
COFFEE TEA,5856,8,1.5,KAWA WOSEBA RODZINNA 80G
DAIRY_CHESSE,8000,15,2.46,GOS.MLEKO TUBA SLODZONE 150G
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,16142,1,0.93,KNORR G_K BARSZCZ CZERWONY
GENERAL_ITEMS,17598,3,2.8,MAR SNIADANIOWA 450 G
CIGARETTES,5492,47,0.65,ZAPALNICZKA KOLOR
GENERAL_ITEMS,16878,2,3.03,SP GALARETKA DROBIOWA 200G
GENERAL_FOOD,13279,6,0.96,OCET KULINARNY 0_5L
DAIRY_CHESSE,6485,181,0.79585635359116,JOGURT ZO NATURALNY 180 G
CHEWING_GUM_LOLIPOPS,4153,10,1.24,MENTOS MINT 38G
CHEWING_GUM_LOLIPOPS,4205,20,1.31,GUMA ROLL TATTOO
DAIRY_CHESSE,7613,8,2.49,HOCH KANAPKOWY MINI 120 G
CHEMISTRY,3578,6,3.11,ZNICZ BIA?Y SREDNI S-124
CHEMISTRY,3535,1,2.78,SCIERKA JAK BAWELNA 5 SZT
GENERAL,11631,1,2.9,GROSZEK PTYSIOWY 100G
CHEMISTRY,2256,1,4.04,SZAMPON FAMILIJNY 0_7 L
DRINK_JUICE,10309,59,0.942203389830508,WODA ZYWIEC 0_5L N/GAZ
ICE_CREAMS_FROZEN,15131,1,1.84,LODY ORLIK 75 ML
POULTRY,10854,6,7.04,FILETY SLEDZIOWE OPIEKANE 800G
DRINK_JUICE,8954,8,3.29,PEPSI COLA 2L
POULTRY,10789,0.96,23.375,FILET  ZAPIEKANY SEREM ZOLTYM
DAIRY_CHESSE,8015,5,1.74,GULASZ ANGIELSKI 110 G PODLASKI
ICE_CREAMS_FROZEN,15232,1,4.13,KLUSKI SLASKIE  Z DZIURK? 450GR NORDIS
DRINK_JUICE,10612,2,2.41,WODA ZYWIEC 1 L GAZ CYTR.
DAIRY_CHESSE,6805,17,1.32,DESER JANA WANILIOWY 120GR
POULTRY,10826,1,3.33,FILETY SLEDZIOWE W OLEJU 170 G
GENERAL_FOOD,12701,2,2.99,ALMETTE SZPINAK 150 G
DAIRY_CHESSE,8536,1,1.18,BAKOMA SATINA WANILIA 170 G
ICE_CREAMS_FROZEN,14705,3,3.01,SZPINAK 450G NORDIS.
ICE_CREAMS_FROZEN,15337,27,1.6066666666666698,LODY ROZKI CYTRYNA 110 ML
SWEETS,18842,4,0.82,GUMA ROSPUSZCZALNA SZCZELAJACA WAIRDS
DRINK_JUICE,9497,1,0.86,WODA JURAJSKA Z JODEM 1_5 L GAZ
ALCOHOL,569,29,2.35655172413793,PIWO HEINEKEN 0_5L B BEZ ZWROT
SPICES,18356,3,1.59,KAMIS PRZYPRAWA DO KURCZ/STAROPOLSKA
CHEMISTRY,2644,4,2.63,E PROSZEK 300G WHITE
DRINK_JUICE,10211,22,2.59,NAP MONSTER 0_5 L ENERGETYCZNY
CHEMISTRY,3058,1,1.2,MYDLO PALMOLIVE 90 G MILD
DAIRY_CHESSE,7474,2,1.45,MILLER FROOP 150 G Z KIWI
GENERAL_ITEMS,17711,3,0.11,KUBKI DO PIWA 0_4L
GENERAL,11643,1,2.15,KRATKA DO WYSMAZENIA 200G
DAIRY_CHESSE,8669,3,1.12,SMIETANKA DO KAWT 10 MLECZ.ZAG
DAIRY_CHESSE,7404,2,2.69,GOS MLEKO ZAGESZCZ/NIES? 500 ML
DRINK_JUICE,9905,82,1.21,WODA ZYWIEC 1_5L GAZ
ALCOHOL,22494,5,7.02,WODKA WYBOROWA 40% 0_2L BUT.
DAIRY_CHESSE,6390,4,2.68,ALMETTE SZCZYPIOREK CEBULA 150G
ICE_CREAMS_FROZEN,15001,2,1.3,LODY ROZKI MLYNARCZYK 120 ML
ALCOHOL,22368,2,20.77,WODKA KRUPNIK PREMIUM 0_7 L
GENERAL_FOOD,12424,3,1.12,KNORR SOS DO SAL.PAP.ZIOLA 9G
CHEMISTRY,3112,1,2.49,PUR 500 ML ACTION 3
GENERAL,11952,1,2.53,MARYNATA 160 G WEGIERSKA
GENERAL,11443,4,0.31,BANDAZ 5 CM *4 M
SWEETS,19873,2,0.92,BATON NESQUIK DELIC 25 G
CHEMISTRY,3132,1,1.85,SOFIMA MYD?O Z DOZOWNIKIEM 500 ML
DAIRY_CHESSE,8027,5,1.75,HOCHL.SZYNKA 100G BLOK TOPIONY
DRINK_JUICE,8889,4,2.99,NAP CAPRIO JABL.MALINA 2L
GROATS_RICE_PASTA,14641,4,3.49,MAKARON POLSKIE MLYNY 500G PENNE DURUM
ICE_CREAMS_FROZEN,15268,5,11.92,LODY JAK DAWNIEJ 900 ML CZEK_BELGIJSKA
POULTRY,11032,3,4.64,KORECZKI GIZYCKIE SLEDZIOWE 250GR KAP-N
GENERAL,11944,15,1.75,MAK EKOMAK 500 G SWIDERKI
GENERAL,11761,2,0.72,WIN BUDYN CZEKOLADOWY B/CUKRU 38 G
DAIRY_CHESSE,8598,4,1.66,JOGURT OW.WYSPA 150 G
DAIRY_CHESSE,6492,2,0.99,LODY KUBEK ICE MASTRY
DAIRY_CHESSE,8241,10,2.338,JOGURT Z MUSLI 210 G JAB?KO
DRINK_JUICE,9906,109,1.20119266055046,WODA ZYWIEC 1_5L NIE/GAZ
SWEETS,18820,4,2.19,DELICJE POMARANCZOWE 147G
COFFEE TEA,6048,1,2.39,CAPPUCCINO CZEKOLADOWE MOKATE 110GR
ALCOHOL,22988,12,3.31,SZAMPAN SOWIETSKOJE IGRIST.0_7 L
ALCOHOL,22633,68,13.784117647058801,WODKA KRUPNIK PREMIUM 0_5 L
CHEMISTRY,3311,3,3.45,PUR 900 ML BALSAAM
CHEMISTRY,2301,3,0.75,BIBULA MIX
GENERAL_FOOD,12401,1,1.78,GROSZEK KON.DAWTONA 400 G PUSZKA
CHIPS_FLAKES,4481,6,2.77,LAYS PAPRYKA 150G
GENERAL_FOOD,13304,10,2.23,PUDL KUKURYDZA 400G PUSZKA
CHEMISTRY,2938,3,4.41,SZCZOT_D/Z?B_MAXI CLEAN 40 MEDIUM DUO
POULTRY,17214,0.69,25.7536231884058,KOLBACZ WEGIERSKI  KG
DRINK_JUICE,9055,5,0.99,NAP HORTEX 0_2 L SCOOBY-DOO
DRINK_JUICE,9394,22,3.24,NAP COCA COLA 1_5 L
CHEWING_GUM_LOLIPOPS,4246,2,0.36,ZELKI KROKODYLE/MISKI NA SZT
SWEETS,20525,2,4.64,BOMBONIERA GALARE.W CZEKOL WISNIA 190 G
GENERAL,11893,2,3.5,SMAK MAK INDYK W GALARECIE 200G
SWEETS,19562,1,9.52,LODY CADENZA 0_9 L
DRINK_JUICE,10217,26,0.45,NAP NAPI MULTIWITAMINA 200 ML
DRINK_JUICE,9609,4,3.04,NAP HORTEX 1 L POMIDOROWY
DAIRY_CHESSE,6468,1,3.49,HOCHL.KRAZEK 180 G SORTETT
COFFEE TEA,5924,5,2.322,KAWA TCHIBO FAMILI 100G
DAIRY_CHESSE,6822,3,1.44,GOS.MLEKO ZAG. NIESL.200G GOSTYN
GENERAL,11674,2,3.15,SMAK MAK GALAT WIEPRZOWY 200G
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,16363,169,0.776863905325444,NAP ENERGETYCZNY V-MAX 0_25L PUSZKA
ALCOHOL,758,9,2.42,PIWO HEINEKEN 0_5 L BUT/BEZW 0%
DRINK_JUICE,8830,4,0.73,WODA CISOWIANKA 0_5L GAZ
BREAD,1447,5,8.0,S JABLECZ/MURZYN/JOGURTOWY
ICE_CREAMS_FROZEN,15162,19,1.35,LODY ROZEK MIX LOTERIA
ALCOHOL,553,B/ZW,5.0,PIWO BOJAN TOPOREK 0_5 L
SPICES,18276,3,0.9,GALEO PIEPRZ ZIOLOWY 12 G
GENERAL_FOOD,13144,1,2.55,SMAK MAK SMALEC Z CZOSNKIEM 200G
DAIRY_CHESSE,8427,17,1.87,JOGURT NATURALNY ZOTT 370GR
CHIPS_FLAKES,4573,7,1.66428571428571,LAYS CHEETOS 85G KETCHUP
CHEMISTRY,2529,2,3.29,PAPIER TOAL 8 ROL 2WAR
GENERAL_ITEMS,17613,69,1.31,MAR ZWYKLA 250G KRUSZWICA
