correction,misspell
recognize,reconise
recommend,reccomend
rectangle,rectangeles
recurring,reoccurring
regardless,irregardless
repetition,repitition
replacement,replasments
resemblance,reseblence
respect,respct
respectfully,respecally
responsible,reposable
room,roon
roughly,rought
rudimentary,rudemtry
running,runnung
sacrilegious,sacreligious
safely,saftly
satisfy,satifly
scrabble,scrabdle
section,secion
segments,segements
seize,sieze
sense,sence
separate,seperate
several,seferal
sherbet,sherbert
signal,singal
simplicity,"cimplicity,  simpfilty"
simply,simplye
site,sitte
situation,situration
sneaked,snuck
sometimes,sometmes
sonic,soonec
specifically,specificialy
spell,spel
spoke,spoak
sponsored,sponsered
steering,stering
stomach,stumach
straitjacket,straightjacket
student,stutent
style_guide,styleguide
subpoena,subpena
subscribed,subjecribed
substitutions, substations
sugar,suger
superfluous,superfulous
supersede,supercede
swimwear,swim_wear
sylph,slyph
synchronization,syncorization
tattoos,tattos
technically,techniquely
test," ttest, tesst"
tests,tets
than_or,thanot
that,taht
the,"teh,  thw"
themselves,theirselves
theoretical," theridically, teridical"
theoretically,thredically
this,ths
throughout,thruout
titillate,titalate
tomorrow,"tommorrow,  tomorow"
tough,taff
tragedy,tradegy
trouble,trubbel
tunnel_like,tunnellike
turned,tured
two,teo
tyranny,tyrrany
unconscious,unconscience
unconstitutional,unconisitional
under_ladder,underladder
unfortunately," unfortally,  unfortunently, unformanlly"
unintelligible,unentelegible
unnatural," unnaturral, unatourral,  unaturral"
up_cast,upcast
uranium,uranisium
utmost,upmost
version,verison
vinaigrette,vinagarette
volley,volye
voluntarism,volunteerism
voluptuous,volumptuous
wait,waite
want,mant
ward,whard
warlord,warloord
wasting,wadting
weaken,wicken
what,whaaat
wimp,whimp
won't,wan't
writing,writting
yield,yeild
your,youe
