Subtitle,Account Name,Contract Start Date,Membership Level,Website
Suppliers and Manufacturers,Plummy Fashions Limited,42278.0,3.0,
Suppliers and Manufacturers,PT Easterntex,42248.0,2.0,
Suppliers and Manufacturers,RSB Cottex Ltd.,42217.0,2.0,
Suppliers and Manufacturers,Kikani Exports Pvt Ltd,42767.0,2.0,www.kikaniexports.com
Suppliers and Manufacturers,Huangchuan Rongfeng Textile Industrial Co.Ltd,41944.0,2.0,
Suppliers and Manufacturers,RMT Textile Mills Ltd.,41883.0,2.0,
Suppliers and Manufacturers,Welspun India Limited,41821.0,2.0,
Suppliers and Manufacturers,Antonio de Almeida & Filhos Texteis SA,42705.0,2.0,www.moretextilegroup.com
Suppliers and Manufacturers,Zahidjee Textile Mills Limited,42736.0,2.0,www.zahidjee.com.pk
Suppliers and Manufacturers,Dhancot Fibres Pvt. Ltd.,42522.0,2.0,
Suppliers and Manufacturers,Aastha Spintex Pvt Ltd,42278.0,2.0,
Suppliers and Manufacturers,Shri Vallabh Pittie Industries Ltd,42705.0,2.0,www.pittie.com
Suppliers and Manufacturers,"Black Peony Group Import &Export  Co.,Ltd.",42795.0,2.0,www.blackpeony.com
Suppliers and Manufacturers,FM Denim Co Ltd,42217.0,2.0,
Suppliers and Manufacturers,"Hubei Jinghua Textile Group Co.,Ltd",42430.0,2.0,
Suppliers and Manufacturers,United Spinning Mills (Pvt) Ltd.,42705.0,2.0,
Suppliers and Manufacturers,Akij Textile Mills Ltd,42278.0,2.0,
Suppliers and Manufacturers,Maksons Spinning Mills Ltd.,41913.0,2.0,
Suppliers and Manufacturers,Amber Group,41671.0,2.0,
Suppliers and Manufacturers,PT Primayudha Mandirijaya,42248.0,2.0,
Suppliers and Manufacturers,Cocamar Cooperativa Agroindustrial,42767.0,2.0,www.cocamar.com.br
Suppliers and Manufacturers,Oswal Woollen Mills Limited,42156.0,2.0,
Suppliers and Manufacturers,Bossa,40878.0,2.0,
Suppliers and Manufacturers,Spintex Swaziland (Pty) Ltd.,42614.0,2.0,
Suppliers and Manufacturers,Hateks Hatay Tekstil,40756.0,2.0,
Suppliers and Manufacturers,Din Textile Mills,40940.0,2.0,
Suppliers and Manufacturers,Thiagarajar Mills Pvt. Ltd.,41821.0,2.0,
Suppliers and Manufacturers,Ravali Spinners Pvt Ltd,42064.0,2.0,
Suppliers and Manufacturers,Buhler Group,42339.0,2.0,
Suppliers and Manufacturers,"Turbo Yarn, S.A. de C.V.",42675.0,2.0,www.turboyarn.com.mx
Suppliers and Manufacturers,"Jiangsu Yulan Yarn-Dyed Fabric Co.,Ltd",42095.0,3.0,
Suppliers and Manufacturers,L. S. Mills Ltd.,42461.0,2.0,
Suppliers and Manufacturers,Faisal Fabrics Ltd.,42248.0,3.0,
Suppliers and Manufacturers,Ipek Tekstil ve Dis Tic. A.S,42339.0,2.0,
Suppliers and Manufacturers,"Tejidos Royo, S.L.",41456.0,2.0,www.royotextile.com
Suppliers and Manufacturers,"Sanyang textile co., LTD",42583.0,2.0,
Suppliers and Manufacturers,Jiangsu Zhongheng Dyeing & Finishing Co. Ltd.,41579.0,2.0,
Suppliers and Manufacturers,Bhalchandram Clothing Ltd (Lahoti Group),42248.0,2.0,
Suppliers and Manufacturers,Jihua 3542 Textile Co. Ltd.,41760.0,2.0,
Suppliers and Manufacturers,Crescent Fibres Limited,41821.0,2.0,
Suppliers and Manufacturers,PT Lucky Print Abadi,42705.0,3.0,www.luckytex.com
Suppliers and Manufacturers,"Suqian City Ke Xin Textile Co., Ltd.",42614.0,2.0,
Suppliers and Manufacturers,M/S Seeds & Grains India Pvt. Ltd.,41913.0,2.0,
Suppliers and Manufacturers,Super Sales India Ltd,42736.0,2.0,www.supersales.co.in
Suppliers and Manufacturers,BSB Spinning Mills Ltd,42491.0,2.0,
Suppliers and Manufacturers,C.A. Textile Mills (Pvt) Ltd,41944.0,2.0,
Suppliers and Manufacturers,Rubenis Klima San. Tic. A.S.,42095.0,2.0,
Suppliers and Manufacturers,Raj Overseas,42217.0,2.0,
Retailers and Brands,Bjorn Borg Clothing AB,42795.0,0.0,www.bjornborg.com
Suppliers and Manufacturers,Cargill,41214.0,2.0,
Suppliers and Manufacturers,AB Cotspin India Ltd,42248.0,2.0,
Suppliers and Manufacturers,Erve Buying,42736.0,3.0,www.erve.com
Suppliers and Manufacturers,Mustaqim Dyeing and Printing Industries Pvt. Ltd.,40513.0,2.0,
Suppliers and Manufacturers,Naveena Exports Ltd.,40513.0,2.0,
Suppliers and Manufacturers,Nantong Shuanglian,41518.0,2.0,
Suppliers and Manufacturers,Sandipkumar Dharmendrakumar,42309.0,2.0,
Suppliers and Manufacturers,Yonca Iplik Ticaret A.S,42461.0,2.0,
Civil Society,Gramin Samassya Mukti Trust,42156.0,0.0,www.gsmt-yavatmal.org
Suppliers and Manufacturers,Tamishna Synthetics Ltd,42522.0,2.0,
Suppliers and Manufacturers,Kikani Enterprises Pvt Ltd,42278.0,3.0,
Suppliers and Manufacturers,"Gemma Knits (Thailand) Co., Ltd.",42705.0,3.0,
Suppliers and Manufacturers,Avaneetha Textiles Pvt. Ltd.,42125.0,2.0,
Suppliers and Manufacturers,Bulut Tekstil San. ve Tic. Ltd. Sti.,41821.0,2.0,
Suppliers and Manufacturers,Gapsan Tekstil San. ve Tic. A.S.,42522.0,2.0,
Suppliers and Manufacturers,"Ningbo win-win Melange Yarn Co.,Ltd",42522.0,2.0,
Suppliers and Manufacturers,Indus Group of Companies,41122.0,2.0,
Suppliers and Manufacturers,Culimeta - Saveguard Ltd.,42614.0,2.0,www.culimeta-saveguard.com
Producer Organisation,Cotton Australia Ltd.,41456.0,0.0,www.cottonaustralia.com.au
Suppliers and Manufacturers,Hamid Fabrics Ltd.,41821.0,3.0,
Suppliers and Manufacturers,Theni Guru Krishna Textile Mills Pvt Ltd,42705.0,2.0,www.atktextiles.com
Suppliers and Manufacturers,Glossy Impex Pvt Ltd,42705.0,2.0,www.glossy.in
Suppliers and Manufacturers,"CVS Distributor Co., Ltd.",42156.0,3.0,
Suppliers and Manufacturers,South Asia Textile Industries Lanka (Pvt) Ltd.,42614.0,3.0,
Suppliers and Manufacturers,Vardhman Textiles,40787.0,2.0,
Suppliers and Manufacturers,"Sociedade Algodoeira do Niassa JFS, SARL",41091.0,3.0,
Suppliers and Manufacturers,Lingxian Hengyu Textiles Co.Ltd,42522.0,2.0,
Suppliers and Manufacturers,"Yarns&Colors Co.,Ltd",42644.0,2.0,www.yarnscolors.com
Suppliers and Manufacturers,Interloop Ltd.,41395.0,2.0,
Suppliers and Manufacturers,Mei Sheng Textiles Vietnam Co. Ltd.,42705.0,2.0,
Suppliers and Manufacturers,"Kuk Il Spinning Co., Ltd",42705.0,2.0,
Suppliers and Manufacturers,Asia Composite Mills Ltd,42309.0,2.0,
Suppliers and Manufacturers,Alpine Knits India Pvt. Ltd.,41671.0,2.0,
Suppliers and Manufacturers,Klopman International SRL,42491.0,3.0,
Suppliers and Manufacturers,Mittapalli Spinners Ltd,42705.0,2.0,www.mittapallispinners.com
Suppliers and Manufacturers,Murat Yapi Tekstil San.Tic.A.S,42339.0,2.0,
Retailers and Brands,Federation of Migros Cooperatives,40179.0,0.0,www.migros.ch
Suppliers and Manufacturers,Maritas Tekstil San. ve Tic. A.S.,41913.0,2.0,
Suppliers and Manufacturers,WestPoint Home LLC,42552.0,2.0,
Suppliers and Manufacturers,Nantong Tongzhou Jianghua Textile Company Ltd.,42309.0,2.0,
Suppliers and Manufacturers,Vijay Pratisthan,42370.0,2.0,
Suppliers and Manufacturers,The Lakshmi Mills Company Ltd,42705.0,2.0,www.lakshmimills.com
Suppliers and Manufacturers,Sutlej Textiles & Industries Ltd.,41974.0,2.0,
Suppliers and Manufacturers,Bussa Tekstil ve Enerji Ltd.Sti,42644.0,2.0,www.bussatekstil.com
Suppliers and Manufacturers,Nishat Mills,40725.0,2.0,
Suppliers and Manufacturers,"Yangzhou Yitai Textile CO.,LTD.",42795.0,2.0,
Civil Society,Awami Development Organization (ADO),42705.0,0.0,www.awammi.org
Suppliers and Manufacturers,Pee Vee Textiles Ltd,42156.0,2.0,
Suppliers and Manufacturers,Anwara Mannan Textile Mills Limited,41913.0,2.0,
Suppliers and Manufacturers,Sri Sankari Yarns Pvt. Ltd.,41730.0,2.0,
Suppliers and Manufacturers,Amber Cotton Mills Ltd,42339.0,2.0,
Suppliers and Manufacturers,Grupo Mundifios,,2.0,
Suppliers and Manufacturers,"Hebei  Like  Textile  Co.,Ltd",42430.0,2.0,
Suppliers and Manufacturers,"Nangtong Doublegreat Textile Co.,Ltd",42705.0,2.0,www.ntshtex.com
Suppliers and Manufacturers,Louis Dreyfus Company,40940.0,2.0,www.ldcom.com
Suppliers and Manufacturers,Texhong Textile Group Ltd.,41609.0,2.0,
Suppliers and Manufacturers,"Tiong Liong Industrial Co., Ltd.",42430.0,2.0,
Suppliers and Manufacturers,Syed Spinning & Cotton Mills Ltd.,42461.0,2.0,
Suppliers and Manufacturers,PT Kahatex,41640.0,2.0,
Suppliers and Manufacturers,Uspar Tekstil San. ve Tic. A.S.,41640.0,2.0,
Suppliers and Manufacturers,Panther Textile Holding Co. Ltd. (Tat Fung Textile Co.),41579.0,2.0,
Suppliers and Manufacturers,Cofco Agri Ltd.,42430.0,2.0,
Producer Organisation,Guoxin Rural Technical Service Association,40878.0,0.0,www.guoxin.org.cn
Suppliers and Manufacturers,"Yixing Jin Yu Textile Co., Ltd",42705.0,2.0,www.qfc.cn/company/d408466/
Suppliers and Manufacturers,Marteks Maras Tekstil Sanayi A.S.,42767.0,2.0,www.marteksmaras.com
Suppliers and Manufacturers,Narteks Tekstil San. ve Tic. A.S.,41699.0,2.0,
Suppliers and Manufacturers,Eastman Exports Global Clothing,40878.0,2.0,
Civil Society,CAB International Regional Office Pakistan,41030.0,0.0,www.cabi.org
Suppliers and Manufacturers,Zhejiang Changshan Textile Co.Ltd.,42186.0,2.0,
Suppliers and Manufacturers,Mayfair Ltd.,41426.0,2.0,
Civil Society,Sangtani Women Rural Development Organization (SWRDO),42644.0,0.0,www.sangtani.org.pk
Suppliers and Manufacturers,Basil Commodities Pvt. Ltd. (Basil Group),41122.0,2.0,
Suppliers and Manufacturers,Isil Tekstil San. ve Tic. Ltd. Sti.,42036.0,2.0,
Associate Members,SGS S.A.,40360.0,0.0,www.fibres.sgs.com
Suppliers and Manufacturers,Luoyang White Horse Group Co.Ltd.,42036.0,2.0,
Suppliers and Manufacturers,Jiangsu Guotai Huasheng Industrial Co. Ltd.,41760.0,2.0,
Suppliers and Manufacturers,Soorty Enterprises (Pvt.) Ltd.,40878.0,2.0,
Suppliers and Manufacturers,Al Karam Group,41306.0,2.0,
Suppliers and Manufacturers,Gokhan Tekstil San ve Tic A.S,42736.0,2.0,www.gokhan.com.tr
Suppliers and Manufacturers,RKS Cotton Pvt Ltd,42644.0,2.0,
Suppliers and Manufacturers,Zibo Yinshilai Textile Co. Ltd.,41671.0,2.0,
Suppliers and Manufacturers,Sagar Manufacturers Pvt Ltd,42705.0,2.0,www.sagarmanufacturers.com
Suppliers and Manufacturers,Paul Reinhart AG,40940.0,2.0,
Suppliers and Manufacturers,Rajby Textiles (Pvt) Ltd,42552.0,3.0,
Suppliers and Manufacturers,B. K. S. Textiles Pvt Ltd,42156.0,3.0,
Suppliers and Manufacturers,"Jiaozuo Haihua Textile Co.,Ltd",42186.0,2.0,
Suppliers and Manufacturers,Mekotex Pvt. Ltd.,41699.0,2.0,
Producer Organisation,Kissan Khushhal Welfare Organisation (KKWO),42186.0,0.0,
Producer Organisation,Supima,42217.0,0.0,www.supima.com
Retailers and Brands,"Williams-Sonoma, Inc.",42309.0,0.0,www.williams-sonomainc.com
Suppliers and Manufacturers,Davas Tekstil Sanayi Ticaret A.S,42644.0,2.0,www.davastekstil.com
Producer Organisation,Kashtkar Development Organisation,40634.0,0.0,
Producer Organisation,Tameer-O-Tarqqi Welfare Organization,42064.0,0.0,
Suppliers and Manufacturers,Menderes,41000.0,2.0,
Suppliers and Manufacturers,Yuli County Cotton & Linen Company,42095.0,2.0,
Suppliers and Manufacturers,"Ningbo Yu Tai  Thread Industrial Co.,Ltd",42491.0,2.0,
Retailers and Brands,RNB,41518.0,0.0,www.rnb.se
Suppliers and Manufacturers,ACS Textiles (Bangladesh) Ltd.,42186.0,3.0,
Suppliers and Manufacturers,Naheed Composite Textile Mills Limited,41821.0,2.0,
Suppliers and Manufacturers,Mr. Fabrics ( Pvt. ) LTD.,42430.0,3.0,
Suppliers and Manufacturers,"Dengzhou Yongtai Textile Co.,Ltd.",42370.0,2.0,
Civil Society,Action for Social Advancement (ASA),40575.0,0.0,www.asaindia.org
Suppliers and Manufacturers,Socota Textile and Clothing Division,42248.0,3.0,
Suppliers and Manufacturers,"Hunan Huihua Anjiang Textile Co.,Ltd",42675.0,2.0,
Suppliers and Manufacturers,Reha Tekstil Dis Ticaret ve San A.S,42522.0,3.0,
Suppliers and Manufacturers,SVA Syntex Pvt Ltd,42736.0,2.0,
Suppliers and Manufacturers,Amarjothi Spinning Mills Ltd,42095.0,2.0,
Suppliers and Manufacturers,Jaideep India Pvt Ltd,42522.0,2.0,
Suppliers and Manufacturers,Qingdao York Fashion Manufacture,41456.0,2.0,
Suppliers and Manufacturers,Sree Lalitha Parameswari Spinning Mills Pvt Ltd,42095.0,2.0,
Suppliers and Manufacturers,Santuk Tekstil San ve Tic A.S,42339.0,3.0,
Suppliers and Manufacturers,Lucky Textile Mills Ltd.,41974.0,2.0,
Suppliers and Manufacturers,"Tianjin Tianfang Investment Holding Co.,Ltd",41913.0,2.0,
Suppliers and Manufacturers,"Shandong  Hengtai Textile Co.,Ltd",42217.0,2.0,
Suppliers and Manufacturers,JinYuan HengBo Group,42217.0,2.0,
Civil Society,Farmer Association For Rural Management (FARM),42552.0,0.0,www.farmgujarat.com
Suppliers and Manufacturers,Ettlin Spinnerei und Weberei Productions GMBH & Co. KG,41821.0,2.0,
Suppliers and Manufacturers,Shri Dhanalakshmi Spintex Pvt Ltd,42736.0,2.0,www.shridhanalakshmi.com
Suppliers and Manufacturers,Kuk Il Vietnam Co. Ltd,42675.0,2.0,
Retailers and Brands,Coop,42522.0,1.0,www.coop.ch
Suppliers and Manufacturers,Navjyot International Trading Pvt. Ltd.,41122.0,2.0,
Suppliers and Manufacturers,Huafu Top Dyed Melange Yarn Co. Ltd.,40664.0,2.0,
Suppliers and Manufacturers,"Gildan Yarns, LLC",42278.0,2.0,
Suppliers and Manufacturers,GRV Spintex Pvt Ltd,42430.0,2.0,
Suppliers and Manufacturers,Tintex Textiles S.A.,42339.0,3.0,
Suppliers and Manufacturers,N. Murugan Chettiar,42522.0,2.0,
Suppliers and Manufacturers,Mambo Commodities,42036.0,2.0,
Suppliers and Manufacturers,Yesim Tekstil San. ve Tic. A.S.,41153.0,2.0,
Suppliers and Manufacturers,Shao Guan Shun Chang Weaving Factory Ltd,42491.0,2.0,
Suppliers and Manufacturers,Bhuvneswari Cotspin India Pvt Ltd,42736.0,2.0,
Suppliers and Manufacturers,"Dongying Pengjie Yarn-Dyed Fabric Co.,Ltd",42736.0,2.0,
Suppliers and Manufacturers,Abishek Industries Ltd./ Trident,40544.0,2.0,
Suppliers and Manufacturers,Shivdhara Spinners & Spinners Pvt Ltd,42705.0,2.0,www.shivdharagroup.com
Producer Organisation,Nimad Farmers Producer Company,41153.0,0.0,
Suppliers and Manufacturers,Adamjee Enterprises,41944.0,3.0,
Suppliers and Manufacturers,Umer Group,40664.0,2.0,
Suppliers and Manufacturers,"Jingzhou Aoda Textile Co., Ltd",42767.0,2.0,
Suppliers and Manufacturers,"Changzhou JiuRong Import&Export Co.,Ltd",42491.0,2.0,
Suppliers and Manufacturers,Kikani International Pvt Ltd,42461.0,3.0,
Suppliers and Manufacturers,PT Argo Pantes TBK,42430.0,2.0,
Suppliers and Manufacturers,Dezhou Huayuan Eco-Technology Co.,41334.0,2.0,
Suppliers and Manufacturers,RCMA Asia Pte Limited,42461.0,2.0,
Suppliers and Manufacturers,RSWM Group,41518.0,2.0,
Suppliers and Manufacturers,Chenduran Cotspin (India) Pvt Ltd,42767.0,2.0,
Suppliers and Manufacturers,Shangtex YuFeng,41091.0,2.0,
Suppliers and Manufacturers,Technocraft Industries Limited,41974.0,2.0,
Suppliers and Manufacturers,Nan Yang Haiyong Textile Enterprises Limited,42614.0,2.0,
Suppliers and Manufacturers,"Jiangsu Guotai International Group Guohua Corp.,Ltd",42064.0,2.0,
Suppliers and Manufacturers,Radiant Textiles Limited,42278.0,2.0,
Retailers and Brands,La Redoute,42614.0,0.0,www.laredoute.fr
Suppliers and Manufacturers,PT. Embee Plumbon Tekstil,42675.0,2.0,www.embeetex.com
Suppliers and Manufacturers,Sanjana Rotor Spin Ltd,42156.0,2.0,
Suppliers and Manufacturers,Memsa Tekstil Sanayi ve Ticaret LTD STI,42614.0,2.0,
Suppliers and Manufacturers,Atesa Tekstil Insaat Tarim Gida San. Tic. A.S.,42125.0,2.0,
Civil Society,Action For Food Production (AFPRO),40360.0,0.0,www.afpro.org
Civil Society,Coastal Salinity Prevention Cell,42156.0,0.0,www.cspc.org.in
Suppliers and Manufacturers,"Jiangyin Tianyi Woolen Co.,Ltd",42736.0,2.0,
Suppliers and Manufacturers,Kamal Yarn Ltd.,42186.0,2.0,
Suppliers and Manufacturers,WCT Holding,42248.0,2.0,
Suppliers and Manufacturers,Badsha Textiles Ltd,42309.0,2.0,
Retailers and Brands,Cotton On Group,42552.0,0.0,www.cottonongroup.com.au
Suppliers and Manufacturers,Senthilkumar Textile Mills Pvt Ltd,42644.0,2.0,
Suppliers and Manufacturers,Ming Tai Textiles Ltd,42339.0,2.0,
Suppliers and Manufacturers,Compagnie Malienne pour le developpement des textiles (CMDT),41730.0,2.0,
Suppliers and Manufacturers,Zibo Luqun Textile Co. Ltd.,41760.0,2.0,
Suppliers and Manufacturers,Kalpataruvu Spinning Mills Ltd,42736.0,2.0,
Suppliers and Manufacturers,"Changzhou Hengji Textile Co., Ltd",42156.0,2.0,
Suppliers and Manufacturers,Grospinz Fabz Limited,41883.0,2.0,
Suppliers and Manufacturers,Ravv Tekstil,42156.0,3.0,
Suppliers and Manufacturers,"Yancheng Haicheng Cotton Industry Co.,Ltd",42186.0,2.0,
Suppliers and Manufacturers,Aman Cotton Fibrous Limited,42095.0,2.0,
Suppliers and Manufacturers,"Xinfang Group Co.,Ltd",42156.0,2.0,
Suppliers and Manufacturers,"Ningbo Huadong Xufeng Textile Co.,Ltd",42064.0,2.0,
Suppliers and Manufacturers,"Suzhou Flying Fashions Co., Ltd",42736.0,2.0,
Producer Organisation,Sarob Non-Commercial Cooperative,41609.0,0.0,www.sarob.net
Suppliers and Manufacturers,Hantex,40787.0,2.0,
Civil Society,Alliance for Water Stewardship (AWS),42675.0,0.0,www.allianceforwaterstewardship.org
Suppliers and Manufacturers,"Zaozhuang Hiyoung Dynasty Textile Co.,Ltd.",42736.0,2.0,
Suppliers and Manufacturers,Zaber & Zubair Fabrics Ltd.,41579.0,2.0,
Suppliers and Manufacturers,SAF Mensucat  San. ve Tic. A.S.,40909.0,2.0,
Suppliers and Manufacturers,K.P.R Mill Ltd.,41671.0,2.0,
Associate Members,Cotton Incorporated,40179.0,0.0,www.cottoninc.com
Suppliers and Manufacturers,J.K. Spinning Mills Ltd,42309.0,2.0,
Suppliers and Manufacturers,Ayka Textile,41334.0,2.0,
Suppliers and Manufacturers,"Tainan Spinning  Co., Ltd",42430.0,2.0,
Suppliers and Manufacturers,Tonrose Ltd,42614.0,2.0,www.tonrose.co.uk
Suppliers and Manufacturers,"Foshan Xindongpo Textile Co., Ltd",42522.0,2.0,
Suppliers and Manufacturers,Tongzhou International Cotton Limited,42156.0,2.0,
Suppliers and Manufacturers,Faisal Asad Textile Mills Ltd.,42248.0,2.0,
Suppliers and Manufacturers,Ayabe Co. Ltd,42491.0,2.0,
Suppliers and Manufacturers,Anhui Huamao Textile Co. Ltd.,41671.0,2.0,
Suppliers and Manufacturers,Sri Alamelu Ammal Mills India Pvt Ltd,42705.0,2.0,
Suppliers and Manufacturers,"Zhejiang Lucky Bird Textile Co.,Ltd",41944.0,2.0,
Retailers and Brands,Levi Strauss & Co.,40179.0,0.0,www.levistrauss.com
Suppliers and Manufacturers,Ningbo Seduno Group Co. Ltd.,41640.0,3.0,
Suppliers and Manufacturers,Denim de L'Ile,41730.0,2.0,
Suppliers and Manufacturers,Hebi Chaoge Cotton Yarn Co. Ltd.,41640.0,2.0,
Retailers and Brands,Esprit Europe Services GmbH,42401.0,0.0,www.esprit.com
Suppliers and Manufacturers,Sintex Industries Ltd (Yarn Division),42491.0,2.0,
Suppliers and Manufacturers,DBL Group,41609.0,2.0,
Suppliers and Manufacturers,"Danyang City Yongtai Textile CO., LTD",42644.0,2.0,
Suppliers and Manufacturers,Winnitex,40756.0,2.0,
Suppliers and Manufacturers,Deniz Tekstil San. ve Tic. A.S.,41030.0,2.0,
Civil Society,Rural Education and Economic Development Society,41640.0,0.0,www.reedpakistan.org
Suppliers and Manufacturers,"Keer Group Co., Ltd",42430.0,2.0,
Suppliers and Manufacturers,Arvind Dyeing & Bleaching Mills Pvt Ltd,42461.0,2.0,
Suppliers and Manufacturers,Jiangsu Sifang Textile Co. Ltd.,41579.0,2.0,
Retailers and Brands,IdKIds Sas,42370.0,0.0,www.idgroup.com
Suppliers and Manufacturers,Pahartali Textile & Hosiery Mills,41730.0,2.0,
Suppliers and Manufacturers,Rasi Tex (India) Pvt Ltd,42064.0,2.0,
Suppliers and Manufacturers,Ahuja Cotspin Pvt. Ltd.,42217.0,2.0,
Suppliers and Manufacturers,Bimeco Garnhandel,40575.0,3.0,
Suppliers and Manufacturers,AKH Knitting & Dyeing Ltd,42583.0,3.0,
Suppliers and Manufacturers,Organi Mark (Pty) Ltd,42675.0,2.0,www.organimark.co.za
Civil Society,Solidaridad,40179.0,0.0,www.solidaridad.nl
Suppliers and Manufacturers,Jytx Textile Co. Ltd.,41730.0,2.0,
Suppliers and Manufacturers,Lucky Knits (Pvt.) Ltd,42430.0,3.0,
Suppliers and Manufacturers,Sambandam Siva Textiles Pvt. Ltd.,42036.0,2.0,
Suppliers and Manufacturers,Masood Textile Mills Ltd.,42036.0,2.0,
Suppliers and Manufacturers,Hebei  Hongrun  New  Type  Material Co.Ltd,42705.0,2.0,www.ch-run.cn
Suppliers and Manufacturers,Viswateja Spinning Mills Pvt Ltd,42552.0,2.0,
Suppliers and Manufacturers,Jiangsu Yulun Textile Group Ltd.,41579.0,2.0,
Retailers and Brands,Princess-Gruppen AS,42795.0,0.0,www.princessbutikken.no
Suppliers and Manufacturers,Mocotex S.A.,42036.0,2.0,
Suppliers and Manufacturers,Beyteks Tekstil San. ve Tic. A.S.,41579.0,2.0,
Retailers and Brands,Axstores,41122.0,0.0,www.axstores.se
Producer Organisation,Israel Cotton Production and Marketing Board Ltd. (ICB),42036.0,0.0,www.cotton.co.il
Retailers and Brands,Ellos AB,42217.0,0.0,www.ellos.se
Suppliers and Manufacturers,Jiangsu Lugang Science & Technology Co. Ltd.,41640.0,2.0,
Suppliers and Manufacturers,Rauf Textile & Printing Mills Pvt Ltd,42248.0,2.0,
Suppliers and Manufacturers,Jiangsu Jin Xia Textile Co. Ltd,42522.0,2.0,
Suppliers and Manufacturers,Kongkiat Textile,42370.0,2.0,
Suppliers and Manufacturers,Morarjee Textiles Limited,42036.0,2.0,
Suppliers and Manufacturers,CHTC Dayao Textile Co. Ltd.,41760.0,2.0,
Suppliers and Manufacturers,"Changzhou Jintan Huamao Jinsheng Science And Technology Developing Co.,Ltd.",41579.0,2.0,
Civil Society,Participatory Rural Development Initiatives Society (PRDIS),41153.0,0.0,www.prdis.com
Retailers and Brands,Marks and Spencer plc,40179.0,0.0,plana.marksandspencer.com
Civil Society,Mahatma Phule Samaj Sewa Mandal (MPSSM),42248.0,0.0,www.mpssm.org
Suppliers and Manufacturers,"Dafeng  Wanda  Textile  Co.,Ltd",42248.0,2.0,
Civil Society,Lok Sanjh Foundation,41579.0,0.0,www.loksanjh.org
Suppliers and Manufacturers,CRC Textile Mills Ltd,42309.0,2.0,
Suppliers and Manufacturers,Azgard Nine Ltd,42095.0,2.0,
Suppliers and Manufacturers,Finteks Tekstil ve Hali San Ltd Sti,42430.0,3.0,
Retailers and Brands,Adler Modemarkte AG,42036.0,0.0,www.adlermode.de
Suppliers and Manufacturers,"Taicang Longxin Textile Co.,Ltd",42339.0,2.0,
Suppliers and Manufacturers,"Fuzhou Development Zone Zhengtai Textile Co.,Ltd",42644.0,2.0,www.fzztfz.com
Suppliers and Manufacturers,Kilim Group,41760.0,2.0,
Suppliers and Manufacturers,Jiangsu Yueda Cotton Spinning Co. Ltd,41395.0,2.0,
Suppliers and Manufacturers,Al - Karam Towel Industries (Pvt.) Ltd.,42705.0,3.0,www.alkaramtowelindustries.com
Suppliers and Manufacturers,Prasuna Vamsikrishna Spinning Mills Pvt Ltd,42795.0,2.0,
Suppliers and Manufacturers,Divyalakshmi Textiles Pvt Ltd,42644.0,2.0,
Suppliers and Manufacturers,Mem Tekstil Sanayi ve Ticaret A.S,42156.0,2.0,
Suppliers and Manufacturers,"Jiangyin Haima fancy yarn Co., Ltd",42036.0,2.0,
Suppliers and Manufacturers,Fazal Group,41579.0,2.0,
