Account Name,Contract Start Date,Membership Level,Website
Kissan Khushhal Welfare Organisation (KKWO),42186.0,0.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Producer Organisation,,,
Kashtkar Development Organisation,40634.0,0.0,
Suppliers and Manufacturers,,,
Menderes,41000.0,2.0,
Yuli County Cotton & Linen Company,42095.0,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
ACS Textiles (Bangladesh) Ltd.,42186.0,3.0,
Naheed Composite Textile Mills Limited,41821.0,2.0,
Mr. Fabrics ( Pvt. ) LTD.,42430.0,3.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Socota Textile and Clothing Division,42248.0,3.0,
"Hunan Huihua Anjiang Textile Co.,Ltd",42675.0,2.0,
Reha Tekstil Dis Ticaret ve San A.S,42522.0,3.0,
SVA Syntex Pvt Ltd,42736.0,2.0,
Amarjothi Spinning Mills Ltd,42095.0,2.0,
Jaideep India Pvt Ltd,42522.0,2.0,
Qingdao York Fashion Manufacture,41456.0,2.0,
Sree Lalitha Parameswari Spinning Mills Pvt Ltd,42095.0,2.0,
Santuk Tekstil San ve Tic A.S,42339.0,3.0,
Lucky Textile Mills Ltd.,41974.0,2.0,
"Tianjin Tianfang Investment Holding Co.,Ltd",41913.0,2.0,
"Shandong  Hengtai Textile Co.,Ltd",42217.0,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Ettlin Spinnerei und Weberei Productions GMBH & Co. KG,41821.0,2.0,
Shri Dhanalakshmi Spintex Pvt Ltd,42736.0,2.0,www.shridhanalakshmi.com
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Navjyot International Trading Pvt. Ltd.,41122.0,2.0,
Huafu Top Dyed Melange Yarn Co. Ltd.,40664.0,2.0,
"Gildan Yarns, LLC",42278.0,2.0,
GRV Spintex Pvt Ltd,42430.0,2.0,
Tintex Textiles S.A.,42339.0,3.0,
N. Murugan Chettiar,42522.0,2.0,
Mambo Commodities,42036.0,2.0,
Yesim Tekstil San. ve Tic. A.S.,41153.0,2.0,
Shao Guan Shun Chang Weaving Factory Ltd,42491.0,2.0,
Bhuvneswari Cotspin India Pvt Ltd,42736.0,2.0,
"Dongying Pengjie Yarn-Dyed Fabric Co.,Ltd",42736.0,2.0,
Abishek Industries Ltd./ Trident,40544.0,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Adamjee Enterprises,41944.0,3.0,
Umer Group,40664.0,2.0,
"Jingzhou Aoda Textile Co., Ltd",42767.0,2.0,
"Changzhou JiuRong Import&Export Co.,Ltd",42491.0,2.0,
Kikani International Pvt Ltd,42461.0,3.0,
PT Argo Pantes TBK,42430.0,2.0,
Dezhou Huayuan Eco-Technology Co.,41334.0,2.0,
RCMA Asia Pte Limited,42461.0,2.0,
RSWM Group,41518.0,2.0,
Chenduran Cotspin (India) Pvt Ltd,42767.0,2.0,
Shangtex YuFeng,41091.0,2.0,
Technocraft Industries Limited,41974.0,2.0,
Nan Yang Haiyong Textile Enterprises Limited,42614.0,2.0,
"Jiangsu Guotai International Group Guohua Corp.,Ltd",42064.0,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
PT. Embee Plumbon Tekstil,42675.0,2.0,www.embeetex.com
Sanjana Rotor Spin Ltd,42156.0,2.0,
Memsa Tekstil Sanayi ve Ticaret LTD STI,42614.0,2.0,
Civil Society,,,
Action For Food Production (AFPRO),40360.0,0.0,www.afpro.org
Suppliers and Manufacturers,,,
"Jiangyin Tianyi Woolen Co.,Ltd",42736.0,2.0,
Kamal Yarn Ltd.,42186.0,2.0,
WCT Holding,42248.0,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Senthilkumar Textile Mills Pvt Ltd,42644.0,2.0,
Ming Tai Textiles Ltd,42339.0,2.0,
Compagnie Malienne pour le developpement des textiles (CMDT),41730.0,2.0,
Zibo Luqun Textile Co. Ltd.,41760.0,2.0,
Kalpataruvu Spinning Mills Ltd,42736.0,2.0,
"Changzhou Hengji Textile Co., Ltd",42156.0,2.0,
Grospinz Fabz Limited,41883.0,2.0,
Ravv Tekstil,42156.0,3.0,
"Yancheng Haicheng Cotton Industry Co.,Ltd",42186.0,2.0,
Aman Cotton Fibrous Limited,42095.0,2.0,
"Xinfang Group Co.,Ltd",42156.0,2.0,
"Ningbo Huadong Xufeng Textile Co.,Ltd",42064.0,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Civil Society,,,
Suppliers and Manufacturers,,,
"Zaozhuang Hiyoung Dynasty Textile Co.,Ltd.",42736.0,2.0,
Zaber & Zubair Fabrics Ltd.,41579.0,2.0,
SAF Mensucat  San. ve Tic. A.S.,40909.0,2.0,
Associate Members,,,
Suppliers and Manufacturers,,,
J.K. Spinning Mills Ltd,42309.0,2.0,
Ayka Textile,41334.0,2.0,
"Tainan Spinning  Co., Ltd",42430.0,2.0,
Tonrose Ltd,42614.0,2.0,www.tonrose.co.uk
"Foshan Xindongpo Textile Co., Ltd",42522.0,2.0,
Tongzhou International Cotton Limited,42156.0,2.0,
Faisal Asad Textile Mills Ltd.,42248.0,2.0,
Ayabe Co. Ltd,42491.0,2.0,
Anhui Huamao Textile Co. Ltd.,41671.0,2.0,
Sri Alamelu Ammal Mills India Pvt Ltd,42705.0,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Ningbo Seduno Group Co. Ltd.,41640.0,3.0,
Denim de L'Ile,41730.0,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Sintex Industries Ltd (Yarn Division),42491.0,2.0,
DBL Group,41609.0,2.0,
"Danyang City Yongtai Textile CO., LTD",42644.0,2.0,
Winnitex,40756.0,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
"Keer Group Co., Ltd",42430.0,2.0,
Arvind Dyeing & Bleaching Mills Pvt Ltd,42461.0,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Pahartali Textile & Hosiery Mills,41730.0,2.0,
Rasi Tex (India) Pvt Ltd,42064.0,2.0,
Ahuja Cotspin Pvt. Ltd.,42217.0,2.0,
Bimeco Garnhandel,40575.0,3.0,
AKH Knitting & Dyeing Ltd,42583.0,3.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Jytx Textile Co. Ltd.,41730.0,2.0,
Lucky Knits (Pvt.) Ltd,42430.0,3.0,
Sambandam Siva Textiles Pvt. Ltd.,42036.0,2.0,
Masood Textile Mills Ltd.,42036.0,2.0,
Hebei  Hongrun  New  Type  Material Co.Ltd,42705.0,2.0,www.ch-run.cn
Viswateja Spinning Mills Pvt Ltd,42552.0,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Mocotex S.A.,42036.0,2.0,
Retailers and Brands,,,
Producer Organisation,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Jiangsu Lugang Science & Technology Co. Ltd.,41640.0,2.0,
Rauf Textile & Printing Mills Pvt Ltd,42248.0,2.0,
Jiangsu Jin Xia Textile Co. Ltd,42522.0,2.0,
Kongkiat Textile,42370.0,2.0,
Morarjee Textiles Limited,42036.0,2.0,
CHTC Dayao Textile Co. Ltd.,41760.0,2.0,
Civil Society,,,
Retailers and Brands,,,
Civil Society,,,
Suppliers and Manufacturers,,,
Civil Society,,,
Suppliers and Manufacturers,,,
CRC Textile Mills Ltd,42309.0,2.0,
Azgard Nine Ltd,42095.0,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Taicang Longxin Textile Co.,Ltd",42339.0,2.0,
"Fuzhou Development Zone Zhengtai Textile Co.,Ltd",42644.0,2.0,www.fzztfz.com
Kilim Group,41760.0,2.0,
Jiangsu Yueda Cotton Spinning Co. Ltd,41395.0,2.0,
Al - Karam Towel Industries (Pvt.) Ltd.,42705.0,3.0,www.alkaramtowelindustries.com
Prasuna Vamsikrishna Spinning Mills Pvt Ltd,42795.0,2.0,
Divyalakshmi Textiles Pvt Ltd,42644.0,2.0,
Mem Tekstil Sanayi ve Ticaret A.S,42156.0,2.0,
"Jiangyin Haima fancy yarn Co., Ltd",42036.0,2.0,
Fazal Group,41579.0,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
"Jiangsu Guotai Int'l Group Guomao Co., Ltd",42491.0,2.0,
Dabiruddin Spinning Mills Ltd,42736.0,2.0,www.salmagroup.com.bd
Lotus Integrated Tex Park Ltd (Melange Unit),42491.0,2.0,
Sunny Trexim Pvt Ltd,40940.0,2.0,
Shandong Daiyin Textile Group Share Co. Ltd.,41609.0,2.0,
"Zhejiang Shengfu Trading Co., Ltd",42522.0,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Shujabad Weaving Mills Ltd,42095.0,2.0,
"Loeb & Company, Inc.",42614.0,2.0,
Olimpias Group srl,42614.0,3.0,www.olimpias.com
Bros Eastern,40756.0,2.0,
Birli Spinning Mill Pvt Ltd,42705.0,2.0,
Rana Polycot Ltd,42370.0,2.0,
Sadirlar Alliance Tekstil A.S,42736.0,3.0,www.satekstil.com.tr
R S Cottmark India Pvt. Ltd.,42125.0,2.0,
Zorluteks Tekstil,40756.0,2.0,
Alok Industries Ltd.,40878.0,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Cedro Textil,42430.0,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
KKP Spinning Mills,41518.0,2.0,
"Rugao Ruxing Textile Co.,Ltd",42156.0,2.0,
Crescent Bahuman Ltd.,40513.0,2.0,
"Zouping Tongda Textile Co., Ltd.",42430.0,2.0,
Soktas Tekstil Sanayi ve Ticaret A.S.,42186.0,2.0,
Weiqiao Textile Co. Ltd.,41821.0,2.0,
"Jing Chain Textile Shu Yang Co.,Ltd",42064.0,2.0,
Nisar Spinning Mills Pvt Ltd,42339.0,2.0,
"Fujian Gelier  Printing & Dyeing Co., Ltd.",42186.0,2.0,
"Yuen HingTextileï¼ˆShenzhenï¼‰Co.,Ltd",42705.0,2.0,www.yhccl.com
Bombay Rayon Fashions,41000.0,2.0,
Indo Count Group,41640.0,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Hussain Mills,40756.0,2.0,
"ZheJiang XinMian Textile Co.,Ltd",41944.0,2.0,
Raghukaushal Textile Pvt Ltd,42491.0,3.0,
Arik Bey Tekstil,41030.0,2.0,
Sarmangal Synthetics Pvt Ltd,42767.0,2.0,www.sarmangal.com
Nitin Spinners Limited,41791.0,2.0,
Shandong Dashing Cashmere Products Co.ltd,42644.0,2.0,
Shreedhar Cotsyn Private Ltd.,41821.0,2.0,
Sorabh Traders,41883.0,2.0,
Vicunha Europe SARL,40634.0,2.0,
Sichuan Zorluteks Yinhua Co. Ltd.,41730.0,2.0,
Pak Kuwait Textiles Limited,42614.0,2.0,
Qilu Hongye Textile Group Co. Ltd.,41579.0,2.0,
Paddockâ€™s Jeans Ltd,42705.0,3.0,
Matesa Tekstil Sanayi ve Ticaret A.S.,41913.0,2.0,
Wuxi Shilead Dyeing Co. Ltd.,41640.0,2.0,
Iskur Tekstil Enerji Tic. ve San. A.S.,41000.0,2.0,
Riaz Textile Mills Pvt. Ltd,42248.0,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Sunrise Spinning( Vietnam) Co.,Ltd",42705.0,2.0,
Otto Stadtlander GmbH,42125.0,2.0,
Changzhou Wujin Mahang Yarn-Dyed Fabric Co. Ltd.,41671.0,2.0,
Sustainable Textile and Agriculture Commodities (STAC) Pvt. Ltd.,41974.0,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Thats It Sweater Ltd,42583.0,3.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Eveready Spinning Mills Pvt. Ltd.,41671.0,2.0,
Besler Tekstil San. Tic. A.S,42370.0,2.0,
Marfani Denim Mills,41852.0,2.0,
Gimatex Industries Pvt. Ltd.,42036.0,2.0,
Metco Textile Pvt. Ltd.,41640.0,2.0,
Minateks,41609.0,2.0,
"Jining Delong Textile Co.,Ltd",42095.0,2.0,
Plexus,41122.0,2.0,
Balavigna Weaving Mills Pvt Ltd,42705.0,3.0,www.balavignaorganic.com
Bannari Amman Spinning Mills Ltd.,41730.0,2.0,
PT Sri Rejeki Isman,42675.0,2.0,
Satia Synthetics Ltd,42522.0,2.0,
"Fujian Province Putian Tianlong Textile Co., Ltd.",42705.0,2.0,
"Zhonghua Group Co. ,Ltd",41944.0,2.0,
Henan Pingmian Textile Group,41487.0,2.0,
Nagina Group of Industries,41122.0,2.0,
Xingtai H & J Textile Co. Ltd. (BlueDaimond),41579.0,2.0,
Sandhya Spinning Mill Ltd,42461.0,2.0,
Youth Spinning Mills Ltd,42461.0,2.0,
Mafatlal Industries Ltd,40756.0,2.0,
"Zouping County Sanli Textile Co., Ltd.",42491.0,2.0,
Internet Tekstil San. ve Tic. A.S.,41913.0,2.0,
Kipas Mensucat,40544.0,2.0,
Adwaith Textiles Ltd,42552.0,2.0,
Thapar Group / JCT Ltd.,41153.0,2.0,
"An Hui Yu Hua Textile Co.,Ltd",42644.0,2.0,www.AHYHFZ.com
Ozone PB Spintex Ltd,41944.0,2.0,
Rajasthan Textile Mills,42491.0,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Retailers and Brands,,,
Tesco Clothing,40360.0,0.0,www.tesco.com
Suppliers and Manufacturers,,,
Far Eastern New Century Corporation (Taiwan),41153.0,2.0,
Ambica Cotseeds Ltd,42736.0,2.0,www.vcottonexport.com
Anita's Textiles Ltd,42217.0,2.0,
Producer Organisation,,,
Staple Cotton Cooperative Association,42614.0,0.0,www.staplcotn.com
Suppliers and Manufacturers,,,
Mohan Spintex India Ltd,42705.0,2.0,www.mohanspintex.com
"Henan  Xinye Textile Co.,Ltd.",42278.0,2.0,
"Tah Tong Textile Co., Ltd.(Taiwan&Vietnam)",42430.0,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Aggressive Textrade Pvt Ltd,42705.0,2.0,www.atplcotton.com
Outpace Spinning Mills,41456.0,2.0,
Zhejiang Saintyear Textile Co. Ltd.,41122.0,3.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Zafer Tekstil San. ve Tic. A.S.,42036.0,2.0,
Norfil S/A Industria Textil,41944.0,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Iris Fabrics Ltd,42491.0,3.0,
IR Accessories Pvt Ltd,42156.0,3.0,
Gucbirligi Tekstil San. ve Tic. A.S.,41579.0,2.0,
H.A.Fibres Pvt Ltd,42125.0,2.0,
"Saigon Joubo Textile Co., Ltd.",42614.0,2.0,
Olam International Ltd.,40575.0,2.0,
S. A. Aanandan Spinning Mills Pvt. Ltd.,41000.0,2.0,
Impress-Newtex Composite Textiles Ltd,42339.0,3.0,
Pagmat A.S.,41821.0,2.0,
"Shandong Lichang Textile Science and Technology Co.,Ltd",41944.0,2.0,
Pratibha Syntex Ltd.,41579.0,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Suraj Cotton Mills Limited,42217.0,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Civil Society,,,
Suppliers and Manufacturers,,,
Orteks Tekstil Urunleri San. ve Tic. A.S.,41821.0,2.0,
Tirumala Cotton And Agro Products Pvt Ltd,42705.0,2.0,
"Mundotextil - Industrial Texteis, SA",42644.0,3.0,http://www.mundotextil.pt/
Matam Fibre Mills Ltd,42552.0,2.0,
Eastern Garments (Pvt.) Limited,42583.0,3.0,
Silteks Tekstil San Tic A.S,42370.0,2.0,
Quality Textile Mills Ltd.,41640.0,2.0,
SMM Textiles Ltd,42522.0,2.0,
Sharmanji Yarns Pvt. Ltd.,42186.0,2.0,
GTN Industries/GTN Engineering (India) Ltd.,40940.0,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Civil Society,,,
Suppliers and Manufacturers,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Sri Vaarri Spinning Mills,41974.0,2.0,
Super Spinning Mills,40848.0,2.0,
Ginni Filaments Ltd.,41671.0,2.0,
Master Textile Mills Ltd.,41153.0,2.0,
Gulle Entegre Tekstil Isletmeleri Eml.San ve Tic A.S,42583.0,2.0,
Aman Spinning Mills,41395.0,2.0,
Dong Guan Texwinca Textile& Garment  Ltd,42552.0,2.0,
Ashima Group,40634.0,2.0,
Kallam Spinning Mills Ltd,42339.0,2.0,
Indigo Textile (Pvt) Ltd,42036.0,2.0,
Brastex S/A,42736.0,2.0,www.gso.br/brastex/index.htm
Eurotessile Spa,41974.0,2.0,
Square Corporation,42614.0,3.0,www.square-corp.com
Turpan Esquel Textile Company Limited,42552.0,2.0,
Paramount Textile Ltd.,42156.0,3.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Yunus Tekstil,42217.0,2.0,
Glencore Agriculture B.V.,42036.0,2.0,
SANAM (Sociedade Algodoeira de Namialo),41579.0,2.0,
Elkins Tradelink Ltd.,42217.0,2.0,
Shijiazhuang Changshan Hengxin Textile Co. Ltd.,41760.0,2.0,
UTAH Spinning Mills Limited,41913.0,2.0,
Calik Group,41334.0,2.0,
"Shandong Zhide Textile Company.,Ltd",42430.0,2.0,
"Anhui Hanlian Textile co.,Ltd",42491.0,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Wuxi Jingwei Textile Technology Test Co. Ltd.,41579.0,2.0,
Armstrong Spinning Mills Pvt Ltd,42278.0,2.0,
Shahi Exports Pvt. Ltd.,41944.0,2.0,
Saiham Cotton Mills Ltd.,41821.0,2.0,
Rajapalayam Mills Limited,41913.0,2.0,
Delta Spinners Ltd,42583.0,2.0,
Skywin Spinning Pvt Ltd,42644.0,2.0,www.skywinspinning.com
"FuQing HaiAn Shoes Materials CO.,Ltd.",42644.0,2.0,
"Xinjiang Ruisheng Textile Co.,Ltd",42522.0,2.0,
Hussain Textile Corporation,42309.0,3.0,
Civil Society,,,
Suppliers and Manufacturers,,,
"Mirafios Sociedade, FIacao e Tecidos Lda",42705.0,2.0,www.mirafios.pt
Foshan Deyingjia Textile Company CT,41487.0,2.0,
Shandong Pingyang Textile Co. Ltd.,41821.0,2.0,
Nagreeka Exports Ltd.,41030.0,2.0,
DCM Textiles,42430.0,2.0,
"Hubei Yinhe Textile Co.,Ltd",42430.0,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Sirikcioglu Mensucat,41214.0,2.0,
Manjeet Oil Products,42339.0,2.0,
Eurotex Industries & Exports Ltd,42064.0,2.0,
Arikan Mensucat San ve Tic A.S.,41913.0,2.0,
Bafna Ginning & Pressing Pvt Ltd,42156.0,2.0,
