# OF Trades,Index,DATE,HOME,0,AWAY,Market,EXP.,EXP Y/N,Score,Open BACK ODDS,WON B/L,Goals (minutes)
1,98,41750,ATHLONE,0,DUNDALK,0,5.32,1,2,1.6,1,94
1,99,41750,ANTALYASPOR,0,SILVASSPOR,0,3.07,0,1,1.9,0,"84, 53, 67"
2,42,41741,GREUTHER FURTH,0,AUE,0,3.39,0,6,1.79,0,"17, 58, 38"
2,45,41741,KARPARTY,0,DINAMO KIEV,0,3.02,0,0,2.02,0,"32, 73, 58, 48"
2,56,41742,LIVERPOOL,0,MAN CITY,1,4.16,0,9,2.48,0,"26, 6, 62, 57, 78"
2,59,41742,OLYMPIAKOS,0,APOLLON SMIRNIS,0,4.55,1,4,1.63,1,88
2,60,41743,FC BRNO,0,SIGMA OLOMOUC,0,3.17,1,8,2.18,1,"94, 70"
2,61,41743,V. NOVGOROD,0,DINAMO MOSCOW,0,3.34,0,16,2.0,0,"91, 84, 75, 53, 74"
2,62,41743,ELAZIGSPOR,0,GAZIANTEPSPOR,0,3.65,0,6,2.04,0,"83, 34, 90"
2,69,41745,VIBORG,0,AALBORG,0,3.69,1,15,1.74,1,"49, 59"
2,94,41750,DEN BOSCH,0,0,1,3.6,1,7,2.16,1,"70, 39"
3,68,41745,GRASSHOPPER,0,3,0,3.1,0,16,1.86,0,"60, 45, 27, 6, 15"
3,100,41751,DINAMO ZAGREB,0,HRVATSKI DRAGOVOLJAC,0,3.35,0,10,1.47,0,"90, 50, 64, 62, 28"
