ranking,rating,reviews_number,cuisine_style
3.0,4.5,359.0,"European,  Swedish,  Scandinavian,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options,  International"
3.0,4.5,384.0," Vegan Options, Contemporary,  Gluten Free Options,  Slovenian"
3.0,4.5,428.0," Gluten Free Options, Brazilian,  Vegetarian Friendly,  European,  Portuguese,  Seafood"
3.0,4.5,555.0," Vegan Options,  Vegetarian Friendly, Diner,  Healthy,  Fast Food"
3.0,4.5,557.0," Pizza,  Mediterranean,  European, Italian,  Vegan Options,  Vegetarian Friendly"
3.0,4.5,705.0," Mediterranean,  Vegetarian Friendly, Seafood,  Grill,  Gluten Free Options,  Vegan Options,  Greek"
3.0,4.5,789.0," Vegan Options, Pizza"
3.0,4.5,3795.0," Gluten Free Options,  Mediterranean,  European,  Spanish,  Vegan Options, International"
3.0,5.0,427.0,"French,  Contemporary,  European"
3.0,5.0,550.0," Vegan Options,  Vegetarian Friendly,  Fast Food, Cafe,  European,  Gluten Free Options,  Soups,  Danish"
3.0,5.0,642.0," Scottish,  Vegetarian Friendly,  British,  International,  Gluten Free Options, European"
3.0,5.0,797.0," Vegetarian Friendly, International,  Gluten Free Options,  Bar"
3.0,5.0,1186.0,"Fast Food,  Italian,  Cafe,  Vegetarian Friendly"
4.0,4.5,194.0," European,  Central European,  Vegetarian Friendly,  Slovenian,  Gluten Free Options, Japanese,  Vegan Options,  Barbecue,  Fast Food,  Middle Eastern,  Mediterranean"
4.0,4.5,329.0," Asian,  Vegan Options,  Sushi,  Fusion,  Vegetarian Friendly, Japanese,  Gluten Free Options"
4.0,4.5,621.0," Gluten Free Options,  Central European,  Vegan Options,  Vegetarian Friendly, German"
4.0,4.5,907.0," Portuguese,  Vegan Options, Mediterranean,  European,  Delicatessen"
4.0,5.0,302.0," Vegetarian Friendly,  European,  Fusion, International,  Mediterranean,  Vegan Options,  Gluten Free Options"
4.0,5.0,332.0," Mediterranean,  Vegetarian Friendly,  Vegan Options,  Pizza,  European, Italian"
4.0,5.0,423.0,"European,  Mediterranean,  Portuguese,  Vegetarian Friendly,  Vegan Options,  Soups"
4.0,5.0,666.0," European,  Mediterranean,  Vegetarian Friendly,  Vegan Options, Italian,  Fast Food"
5.0,4.5,280.0," Chinese,  Fusion,  Vegetarian Friendly,  Asian, French,  Vegan Options"
5.0,4.5,316.0," Gluten Free Options, Dutch,  International,  European,  Vegetarian Friendly,  Vegan Options"
5.0,4.5,589.0," Vegetarian Friendly, Mediterranean,  Gluten Free Options,  Greek,  European,  Vegan Options"
5.0,4.5,631.0," Mediterranean,  Vegetarian Friendly,  Gluten Free Options,  European, Seafood,  Vegan Options,  Greek"
5.0,4.5,703.0," Vegan Options, European,  Gluten Free Options,  Scandinavian,  Vegetarian Friendly"
5.0,4.5,1485.0," Asian, International,  Vegan Options,  Vegetarian Friendly,  European"
5.0,4.5,2140.0,"Italian,  Mediterranean,  European,  Vegetarian Friendly,  Vegan Options"
5.0,4.5,2356.0," Eastern European,  Vegan Options,  European, Polish,  Central European,  Gluten Free Options,  Vegetarian Friendly"
5.0,4.5,3206.0," Spanish,  Mediterranean,  Vegetarian Friendly, Seafood,  Gluten Free Options,  European,  Portuguese,  Vegan Options"
5.0,5.0,68.0," Contemporary,  Vegetarian Friendly,  European, French"
5.0,5.0,810.0," Vegetarian Friendly,  Scottish, Wine Bar"
5.0,5.0,1078.0," Gluten Free Options,  European,  Vegetarian Friendly,  Wine Bar,  Vegan Options, Mediterranean,  Spanish"
5.0,5.0,1316.0," Gluten Free Options, International,  European"
6.0,4.5,309.0," Vegan Options,  Soups,  Gluten Free Options, Polish,  European,  Central European,  Vegetarian Friendly,  Eastern European"
6.0,4.5,360.0," Gluten Free Options, European,  Slovenian,  Central European,  Vegetarian Friendly"
6.0,4.5,413.0," Vegetarian Friendly,  Gluten Free Options,  Pub,  Bar, American,  Healthy,  International"
6.0,4.5,430.0," Austrian,  European,  Vegetarian Friendly,  Gluten Free Options,  Central European,  Vegan Options, German"
6.0,4.5,556.0," Gluten Free Options, European,  Vegan Options,  Scandinavian,  Vegetarian Friendly"
6.0,4.5,576.0," Vegetarian Friendly,  Mediterranean,  European,  Seafood,  Gluten Free Options, Italian,  Vegan Options"
6.0,4.5,1127.0," European, Greek,  Mediterranean,  Gluten Free Options,  Vegan Options"
6.0,4.5,1222.0," Vegetarian Friendly,  Swiss,  Gluten Free Options, French,  European"
6.0,4.5,1569.0,"French,  Vegetarian Friendly,  Belgian,  Seafood,  Vegan Options,  European,  Central European,  Bar"
6.0,4.5,2535.0," Gluten Free Options,  Vegan Options,  European,  Vegetarian Friendly, French,  British"
6.0,5.0,1046.0," Greek,  Vegetarian Friendly, Mediterranean,  Contemporary,  European,  Gluten Free Options,  Vegan Options"
7.0,4.0,652.0," Vegetarian Friendly, Italian,  Mediterranean,  Pizza,  Gluten Free Options,  Vegan Options,  European"
7.0,4.5,160.0,"Bar,  Vegetarian Friendly"
7.0,4.5,363.0,"French,  European,  Gluten Free Options"
7.0,4.5,449.0," European,  Vegetarian Friendly, French"
7.0,4.5,455.0,"European,  Gluten Free Options,  Vegetarian Friendly,  Scandinavian,  Swedish,  International,  Vegan Options"
7.0,4.5,541.0," Vegetarian Friendly,  Eastern European,  Grill, Brew Pub,  Gastropub"
7.0,4.5,1455.0," Gluten Free Options,  Vegan Options,  Vegetarian Friendly, French,  European,  International,  Mediterranean"
7.0,4.5,2088.0," Portuguese, Mediterranean,  Wine Bar,  Delicatessen,  Gluten Free Options,  Vegetarian Friendly"
8.0,4.5,345.0,"European,  Portuguese,  Wine Bar"
8.0,4.5,468.0," Healthy,  Wine Bar, Indian,  Asian,  Balti,  Gluten Free Options,  Vegetarian Friendly,  Vegan Options"
8.0,4.5,492.0," European,  Central European,  Vegan Options, Swiss,  Gluten Free Options,  Vegetarian Friendly"
8.0,4.5,628.0," Contemporary,  Fusion,  Vegetarian Friendly,  Vegan Options, International,  European,  Gluten Free Options"
8.0,4.5,675.0," Vegan Options, Asian,  Indonesian,  Gluten Free Options,  Vegetarian Friendly"
8.0,4.5,706.0," Vegan Options,  Wine Bar,  Vegetarian Friendly,  French, European,  Portuguese"
8.0,4.5,764.0,"Seafood,  European,  Gluten Free Options,  Portuguese,  Mediterranean,  Spanish,  Vegetarian Friendly"
8.0,4.5,767.0," Gluten Free Options, Vegetarian Friendly"
8.0,4.5,832.0,"Mediterranean,  Vegan Options,  Gluten Free Options,  Vegetarian Friendly,  European,  Spanish"
8.0,4.5,1741.0," Vegan Options, Italian,  Gluten Free Options,  Vegetarian Friendly,  Mediterranean,  Greek"
8.0,4.5,2487.0," Fusion,  Seafood,  Vegan Options, Japanese,  Sushi,  Soups,  Gluten Free Options,  Vegetarian Friendly,  Asian"
9.0,4.5,350.0,"Grill,  Vegetarian Friendly,  Latin,  Brazilian,  South American,  Gluten Free Options"
9.0,4.5,463.0," Central European,  Vegan Options,  Gluten Free Options,  Vegetarian Friendly,  Fast Food, Austrian,  European"
9.0,4.5,533.0," Halal,  Gluten Free Options,  Vegetarian Friendly,  Egyptian,  Vegan Options,  Middle Eastern, Mediterranean"
9.0,4.5,557.0,"Steakhouse,  European,  Vegetarian Friendly,  Seafood,  Gluten Free Options"
9.0,4.5,693.0," Barbecue,  Gluten Free Options,  European,  Grill,  Argentinean, Steakhouse"
9.0,4.5,816.0," Vegetarian Friendly, European,  Central European,  Gluten Free Options,  Vegan Options"
9.0,4.5,923.0," Vegan Options,  Gluten Free Options, Japanese,  Asian,  Vegetarian Friendly"
9.0,4.5,956.0," Gluten Free Options, Indian,  Vegan Options,  Vegetarian Friendly,  Asian"
9.0,4.5,984.0," Gluten Free Options, Indian,  Vegan Options,  Asian,  Vegetarian Friendly"
9.0,4.5,1388.0," Central European, French,  Vegan Options,  Gluten Free Options,  European,  International,  Vegetarian Friendly"
9.0,4.5,4234.0," Delicatessen,  Greek,  Mediterranean, Middle Eastern,  Gluten Free Options"
9.0,5.0,408.0," Gluten Free Options,  Mediterranean,  Delicatessen,  Central American,  Latin,  Vegetarian Friendly, Mexican,  Colombian"
9.0,5.0,473.0," Gluten Free Options,  Vegan Options, Asian,  Thai,  Vegetarian Friendly"
10.0,4.5,277.0," Vegetarian Friendly,  European,  Gluten Free Options,  Mediterranean,  Vegan Options, Italian"
10.0,4.5,299.0," Central European,  Mediterranean,  Gluten Free Options,  Greek,  European,  Vegetarian Friendly, Seafood,  Vegan Options"
10.0,4.5,337.0," Gluten Free Options,  Vegetarian Friendly, Latin,  Bar,  Venezuelan,  Vegan Options"
10.0,4.5,375.0," Fast Food,  Southwestern,  Latin,  Vegetarian Friendly, Mexican,  Central American,  Vegan Options,  Gluten Free Options"
10.0,4.5,406.0,"Cafe,  Vegetarian Friendly,  European,  Gluten Free Options,  Vegan Options,  Healthy"
10.0,4.5,450.0,"Dutch,  Seafood,  Fast Food"
10.0,4.5,521.0," Vegetarian Friendly,  Gluten Free Options,  European,  Slovenian, Mediterranean,  Eastern European,  Vegan Options,  Central European"
10.0,4.5,689.0,"French,  Gluten Free Options,  Vegetarian Friendly"
10.0,4.5,692.0," Gluten Free Options,  Vegetarian Friendly,  Cafe,  Vegan Options,  European, Irish"
10.0,4.5,834.0," Bar,  Latin,  Street Food, Pub,  Vegetarian Friendly"
10.0,4.5,1352.0," Vegetarian Friendly,  Mediterranean,  European, Seafood,  Vegan Options,  Italian,  Gluten Free Options"
10.0,5.0,369.0," Vegan Options,  Pizza,  Vegetarian Friendly,  Gluten Free Options,  Fast Food, Italian"
11.0,4.0,607.0,"French,  Seafood,  European,  Vegetarian Friendly"
11.0,4.0,994.0," Gluten Free Options, European,  Scandinavian"
11.0,4.5,129.0," Central European,  Eastern European, European,  Vegetarian Friendly"
11.0,4.5,261.0," Gluten Free Options, Portuguese"
11.0,4.5,295.0," European, American,  Bar,  Vegetarian Friendly,  Gluten Free Options"
11.0,4.5,453.0," Vegan Options,  Gluten Free Options,  Bar,  Brew Pub,  Delicatessen,  Vegetarian Friendly, Italian"
11.0,4.5,462.0," Mediterranean,  European, Seafood,  Gluten Free Options,  International"
11.0,4.5,607.0,Steakhouse
11.0,4.5,722.0," Asian,  Gluten Free Options,  Vegan Options, Indian,  Vegetarian Friendly"
11.0,4.5,758.0," Danish,  Gluten Free Options, European,  Vegetarian Friendly,  Scandinavian"
11.0,4.5,837.0," Gluten Free Options,  Vegetarian Friendly,  International, Mediterranean,  Wine Bar,  European,  Vegan Options,  Spanish"
11.0,4.5,1403.0," Vegan Options, International,  European,  Hungarian,  Vegetarian Friendly,  Gluten Free Options,  Central European"
11.0,4.5,2222.0," Vegan Options,  Mediterranean,  International,  Vegetarian Friendly,  Italian,  European, Steakhouse,  Gluten Free Options"
11.0,5.0,99.0," Gluten Free Options,  European,  British,  Vegetarian Friendly, French,  Vegan Options,  Contemporary,  Irish"
12.0,4.5,378.0," Vegan Options,  Vegetarian Friendly,  Gluten Free Options,  Asian, Indian"
12.0,4.5,434.0,"Mediterranean,  European,  Gluten Free Options,  Spanish"
12.0,4.5,467.0,"Seafood,  European,  Gluten Free Options,  Mediterranean"
12.0,4.5,542.0," Vegan Options,  Vegetarian Friendly, Italian"
12.0,4.5,591.0," Barbecue,  Steakhouse,  European, American"
12.0,4.5,630.0,"Italian,  Wine Bar,  Mediterranean"
12.0,4.5,2154.0," European,  Vegetarian Friendly,  Vegan Options, French"
12.0,5.0,392.0," Vegan Options,  Vegetarian Friendly,  European,  Turkish,  Middle Eastern,  Halal, Mediterranean,  Gluten Free Options"
13.0,4.5,288.0," Central European,  European,  Vegetarian Friendly, French,  Swiss,  Gluten Free Options"
13.0,4.5,321.0," International,  Gluten Free Options,  European,  Polish,  Vegan Options, Mediterranean,  Vegetarian Friendly"
13.0,4.5,368.0," Vegan Options,  Gluten Free Options,  Central European,  Vegetarian Friendly, French,  European"
13.0,4.5,407.0," Gluten Free Options,  Vegetarian Friendly,  Asian, Indian,  Bangladeshi,  Vegan Options"
13.0,4.5,485.0," Pizza,  Vegetarian Friendly,  Vegan Options, Italian"
13.0,4.5,509.0," European,  Steakhouse,  Gluten Free Options,  Barbecue, American,  Grill"
13.0,4.5,561.0," Gluten Free Options,  Vegetarian Friendly, French,  European"
13.0,4.5,585.0," European, Irish,  Vegetarian Friendly,  Gluten Free Options,  Vegan Options"
13.0,4.5,745.0," Mediterranean,  Vegetarian Friendly, Italian,  Gluten Free Options,  Vegan Options"
13.0,4.5,903.0," Fast Food,  Scottish,  British,  Pub,  Gluten Free Options,  Vegetarian Friendly,  Vegan Options, Bar"
13.0,4.5,1739.0," Mediterranean,  Contemporary,  Vegan Options,  Seafood, Italian,  Vegetarian Friendly,  Gluten Free Options"
13.0,4.5,3392.0," Greek,  Vegetarian Friendly, Mediterranean,  Gluten Free Options,  Vegan Options"
13.0,4.5,7575.0,"Hungarian,  Vegan Options,  Vegetarian Friendly"
13.0,5.0,572.0," Vegetarian Friendly, French,  Gluten Free Options,  Vegan Options"
14.0,4.0,1624.0," Central European,  European,  Gluten Free Options,  Vegetarian Friendly, French,  Vegan Options,  Seafood"
14.0,4.5,389.0," European, French"
14.0,4.5,414.0," Pizza, Italian,  European,  Vegan Options,  Mediterranean,  Fast Food,  Vegetarian Friendly"
14.0,4.5,454.0," Vegetarian Friendly, Mediterranean,  Middle Eastern,  Vegan Options,  Gluten Free Options,  Halal"
14.0,4.5,779.0," Fast Food, German,  Seafood"
14.0,4.5,948.0," Vegan Options,  Portuguese, Contemporary,  Brazilian,  Vegetarian Friendly,  Mediterranean,  Gluten Free Options"
14.0,4.5,1162.0," Gluten Free Options, Swedish,  Scandinavian,  Vegetarian Friendly"
14.0,4.5,1676.0," Spanish,  European,  International,  Gluten Free Options,  Fusion,  Contemporary,  Vegan Options, Mediterranean,  Vegetarian Friendly"
14.0,4.5,2297.0," Vegetarian Friendly,  Vegan Options,  Gluten Free Options, European,  British,  Scottish"
14.0,5.0,147.0," Middle Eastern,  Gluten Free Options,  Vegan Options, Fast Food,  Persian,  Vegetarian Friendly,  Halal"
14.0,5.0,489.0," Vegetarian Friendly,  Fast Food,  European,  Mediterranean,  Vegan Options, Italian"
15.0,4.0,325.0," Gluten Free Options, Indian,  Asian,  Vegan Options,  Vegetarian Friendly"
15.0,4.0,688.0," Eastern European, European,  Central European,  Vegetarian Friendly"
15.0,4.0,1488.0," European,  Scandinavian,  Vegetarian Friendly,  Gluten Free Options,  Soups, Cafe,  Vegan Options"
15.0,4.5,343.0,"Seafood,  Scandinavian,  Gluten Free Options,  Norwegian"
15.0,4.5,355.0," Pizza,  Vegan Options, Italian,  Mediterranean,  Vegetarian Friendly"
15.0,4.5,596.0,"Italian,  Vegan Options,  Mediterranean,  Vegetarian Friendly,  Gluten Free Options,  European"
15.0,4.5,650.0," Portuguese,  Latin,  Gluten Free Options,  Argentinean, Steakhouse,  South American,  Mediterranean,  European"
15.0,4.5,809.0," Vegetarian Friendly,  Central European, Steakhouse,  Gluten Free Options,  Barbecue,  European"
15.0,4.5,838.0,"Polish,  European,  Central European,  Vegetarian Friendly,  Eastern European,  Gluten Free Options"
15.0,4.5,839.0," Fast Food, American,  Vegetarian Friendly"
15.0,4.5,893.0," Pub,  European,  Gastropub,  Bar,  Central European, German"
15.0,4.5,1005.0," European,  Delicatessen, Swedish"
15.0,4.5,1246.0," Gluten Free Options,  Vegan Options,  Vegetarian Friendly,  European,  International,  Dutch, French"
15.0,4.5,1806.0," Vegan Options,  Gluten Free Options,  Vegetarian Friendly,  International, Polish,  European"
15.0,4.5,2050.0," Soups, Belgian,  Seafood,  European,  Gluten Free Options"
16.0,4.0,385.0," Asian,  Sushi, Japanese,  Gluten Free Options,  Vegetarian Friendly"
16.0,4.0,812.0," Gluten Free Options,  Vegan Options,  Mediterranean, Italian,  Vegetarian Friendly,  European,  Delicatessen"
16.0,4.5,194.0," Vegetarian Friendly,  Spanish,  Mediterranean,  Vegan Options, Cafe,  Delicatessen,  European,  Gluten Free Options"
16.0,4.5,603.0," Gluten Free Options,  Vegetarian Friendly, Asian,  Vegan Options"
16.0,4.5,1007.0," European, Belgian,  Pub,  Bar"
16.0,4.5,1391.0,"Dutch,  European,  Cafe,  Gluten Free Options,  Vegan Options,  Vegetarian Friendly,  British"
16.0,5.0,1015.0,"Seafood,  Fast Food,  British"
17.0,4.5,408.0," European,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options, Mediterranean,  Greek"
17.0,4.5,498.0," Vegetarian Friendly,  Middle Eastern,  Vegan Options,  Mediterranean,  Gluten Free Options, Lebanese,  Halal"
17.0,4.5,547.0," Portuguese, Fast Food"
17.0,4.5,1633.0," Healthy,  International,  European,  Gluten Free Options,  Vegetarian Friendly, Dutch"
17.0,4.5,2800.0," Vegan Options,  Mediterranean,  Pizza, Italian,  Vegetarian Friendly"
17.0,5.0,86.0," Vegan Options,  Danish,  Scandinavian,  Vegetarian Friendly,  Gluten Free Options, European"
17.0,5.0,114.0," Wine Bar, Italian,  Vegetarian Friendly,  Mediterranean"
17.0,5.0,1129.0," Vegan Options,  Contemporary,  British,  Vegetarian Friendly, European,  Gluten Free Options"
18.0,4.5,186.0," European,  Vegetarian Friendly,  Portuguese,  Gluten Free Options, Mediterranean,  Vegan Options"
18.0,4.5,205.0," Gluten Free Options, Japanese,  Asian,  Sushi,  Vegan Options,  Vegetarian Friendly"
18.0,4.5,220.0,"Mediterranean,  European,  Gluten Free Options,  Barbecue,  Vegetarian Friendly,  Portuguese,  Grill,  Vegan Options"
18.0,4.5,281.0," Mediterranean,  Vegan Options, Italian,  Vegetarian Friendly"
18.0,4.5,299.0,"Bar,  Vegetarian Friendly,  Gluten Free Options,  Mediterranean,  Vegan Options,  Greek"
18.0,4.5,308.0," Gluten Free Options,  Barbecue, Steakhouse,  Slovenian,  European"
18.0,4.5,310.0," Fusion, Cafe"
18.0,4.5,440.0," European,  Vegetarian Friendly,  Gluten Free Options,  Halal, Mediterranean,  Turkish,  Barbecue,  Middle Eastern,  Vegan Options"
18.0,4.5,486.0," Vegan Options,  Cafe, Irish,  European,  Vegetarian Friendly,  Gluten Free Options"
18.0,4.5,518.0," European, French,  Seafood,  Gluten Free Options"
18.0,4.5,792.0," Central European, German,  European"
18.0,4.5,958.0," Vegetarian Friendly,  European,  Bar,  International, French,  Seafood,  Gluten Free Options"
18.0,4.5,1211.0," Fast Food,  Vegetarian Friendly, Pizza,  Gluten Free Options,  Vegan Options"
18.0,4.5,2471.0," European, French,  Steakhouse"
19.0,4.5,114.0," Brazilian,  Grill,  Barbecue, Steakhouse"
19.0,4.5,252.0," Gluten Free Options,  Vegetarian Friendly,  Vegan Options, Cafe,  European"
19.0,4.5,421.0,"Italian,  Vegetarian Friendly,  Vegan Options,  International,  European,  Gluten Free Options"
19.0,4.5,426.0,"Indian,  Gluten Free Options,  Vegetarian Friendly,  Nepali,  Tibetan,  Vegan Options"
19.0,4.5,473.0," Vegetarian Friendly, Italian,  Street Food,  Mediterranean"
19.0,4.5,482.0,"American,  Vegetarian Friendly,  Fast Food,  Vegan Options,  Gluten Free Options"
19.0,4.5,514.0," European, French"
19.0,4.5,670.0," Vegetarian Friendly,  Irish,  Gluten Free Options,  European, Gastropub,  Pub"
19.0,4.5,985.0," Vegetarian Friendly,  Gluten Free Options, American,  Bar"
19.0,4.5,1386.0," Vegan Options,  European,  Vegetarian Friendly,  Gluten Free Options, French"
20.0,4.5,300.0,"Italian,  Mediterranean,  Vegetarian Friendly,  Gluten Free Options"
20.0,4.5,395.0,"Mediterranean,  Spanish,  Vegan Options,  Gluten Free Options,  European,  Vegetarian Friendly,  International"
20.0,4.5,400.0," Vegetarian Friendly, Irish,  Gluten Free Options,  Vegan Options,  European"
20.0,4.5,448.0," Greek,  Vegan Options,  European, Mediterranean,  Gluten Free Options,  Vegetarian Friendly"
20.0,4.5,457.0," Healthy,  Vegetarian Friendly, Indian,  Vegan Options,  Halal,  Gluten Free Options"
20.0,4.5,470.0," Vegetarian Friendly,  Scandinavian,  Vegan Options,  Gluten Free Options, European,  Swedish,  Caucasian"
20.0,4.5,495.0," Mediterranean, Italian,  Vegan Options,  European,  Vegetarian Friendly,  Gluten Free Options"
20.0,4.5,753.0," Gluten Free Options,  European, French"
20.0,4.5,835.0," Gluten Free Options,  Turkish,  European, Mediterranean,  Middle Eastern,  Vegetarian Friendly,  Barbecue,  Halal,  Vegan Options"
20.0,4.5,903.0," Vegetarian Friendly,  International, European,  Central European,  Gluten Free Options,  Vegan Options"
20.0,4.5,1250.0," Gluten Free Options,  European,  Central European,  Vegetarian Friendly, French"
20.0,4.5,2110.0," International, Mediterranean,  Portuguese,  Contemporary,  Vegan Options,  European,  Gluten Free Options,  Vegetarian Friendly"
20.0,5.0,273.0," Halal,  Gluten Free Options,  Vegan Options,  Middle Eastern,  Turkish,  European, Mediterranean,  Vegetarian Friendly"
21.0,4.5,196.0," Mediterranean,  Vegetarian Friendly, French,  Gluten Free Options"
21.0,4.5,203.0," Vegan Options,  Vegetarian Friendly, European,  Scandinavian,  Gluten Free Options"
21.0,4.5,295.0,"French,  European"
21.0,4.5,297.0,"German,  Vegetarian Friendly,  European,  Central European,  Austrian"
21.0,4.5,370.0,"Diner,  Vegan Options,  German,  Vegetarian Friendly,  Gluten Free Options"
21.0,4.5,492.0," Asian,  Vegetarian Friendly,  Sushi,  Fusion,  Seafood, Japanese,  Vegan Options,  Gluten Free Options"
21.0,4.5,584.0," Mediterranean,  Seafood, Italian,  Soups,  Gluten Free Options"
21.0,4.5,956.0," Central European,  Hungarian,  Vegan Options,  Gluten Free Options,  Vegetarian Friendly, European"
21.0,4.5,1380.0,"International,  European"
21.0,4.5,2253.0,"Seafood,  Mediterranean,  Vegan Options,  Gluten Free Options,  Soups,  Portuguese,  Vegetarian Friendly,  European"
21.0,5.0,1975.0," Fast Food,  Vegan Options,  Pizza,  Vegetarian Friendly, Italian"
22.0,4.0,209.0," Gluten Free Options,  Vegan Options,  Scandinavian, European,  Vegetarian Friendly"
22.0,4.5,239.0," Vegetarian Friendly,  Gluten Free Options,  European,  Dutch,  Seafood,  International, French"
22.0,4.5,249.0," Vegetarian Friendly,  Vegan Options, Italian,  Seafood,  Gluten Free Options"
22.0,4.5,371.0," European,  Vegetarian Friendly,  Austrian,  Central European, German"
22.0,4.5,382.0," Gluten Free Options,  Vegetarian Friendly,  Mediterranean,  Vegan Options,  Contemporary,  Cafe,  Healthy,  Greek,  European, Bar"
22.0,4.5,454.0," Central European, German,  Gluten Free Options,  European,  Seafood,  Vegetarian Friendly"
22.0,4.5,546.0," European,  Vegetarian Friendly,  Gluten Free Options, Mediterranean,  Portuguese"
22.0,4.5,558.0," Vegetarian Friendly,  Fast Food, Italian,  Vegan Options"
22.0,4.5,760.0," Vegan Options,  Central European,  Vegetarian Friendly, Italian,  European,  Mediterranean,  Polish"
22.0,4.5,805.0," Vegan Options,  Gluten Free Options, French,  European,  Vegetarian Friendly"
22.0,4.5,839.0," Gluten Free Options,  Vegetarian Friendly,  Fusion, Asian"
22.0,4.5,972.0," International,  Spanish,  Gluten Free Options, Bar,  Mediterranean,  European"
22.0,4.5,1003.0," Vegetarian Friendly,  French,  European,  International,  Vegan Options, Italian,  Mediterranean,  Gluten Free Options"
22.0,4.5,1382.0," Scandinavian,  Vegetarian Friendly,  Swedish,  Gluten Free Options, European"
23.0,4.0,2578.0," Vegetarian Friendly,  Eastern European, Bar,  Pub,  Brew Pub,  Czech,  European,  Central European"
23.0,4.5,184.0," Steakhouse, American,  Seafood,  European"
23.0,4.5,268.0," Vegan Options, French,  Gluten Free Options,  Vegetarian Friendly"
23.0,4.5,296.0," Gluten Free Options, Polish,  Eastern European,  Soups,  Vegetarian Friendly"
23.0,4.5,320.0," Vegan Options, Scandinavian,  Gluten Free Options,  Vegetarian Friendly"
23.0,4.5,372.0," Sushi,  Vegetarian Friendly, Japanese,  Asian"
23.0,4.5,401.0," Vegan Options,  British,  Pub,  Gluten Free Options, Bar,  Vegetarian Friendly"
23.0,4.5,462.0," Vegetarian Friendly, Mediterranean,  Irish,  Gluten Free Options,  Vegan Options,  European,  Cafe"
23.0,4.5,480.0,"Fusion,  Vegetarian Friendly,  European,  International,  Vegan Options,  Healthy"
23.0,4.5,1391.0,"Chinese,  Asian,  Gluten Free Options,  Vegetarian Friendly,  Vegan Options"
23.0,4.5,4274.0," European,  Vegetarian Friendly,  Vegan Options,  Spanish,  Gluten Free Options, Mediterranean,  Fusion"
23.0,5.0,68.0," Japanese,  Vegetarian Friendly, Chinese,  Thai,  Sushi,  Asian"
24.0,4.0,596.0," Pizza, Italian,  Gluten Free Options,  Vegetarian Friendly,  European,  Vegan Options"
24.0,4.0,791.0," Gluten Free Options,  Steakhouse,  Barbecue,  European,  Vegetarian Friendly, American"
24.0,4.5,343.0," Vegetarian Friendly,  Pizza, Italian,  Mediterranean"
24.0,4.5,348.0,"Japanese,  Vegan Options,  Gluten Free Options,  Asian,  Sushi,  Vegetarian Friendly"
24.0,4.5,615.0,"French,  European"
24.0,4.5,657.0," Vegetarian Friendly, Mediterranean,  Spanish,  Vegan Options,  Gluten Free Options,  European"
