Institution,Specific Graduate Program,Restrictions,City,State
,Business School Doctoral Program,2,6,0
Cornell University,,,,
,School of Hotel Administration,,28,0
Dartmouth College,,,,
,11,,29,25
,Tuck School of Business,,29,25
Davenport University,,,,
Delaware State University,,,,
,Master of Arts in Educational Leadership,2,30,26
DePaul University,,,,
,College of Liberal Arts and Sciences,,31,27
"Devry University, Addison Campus",,,,
"Devry University, Alahambra Center",,,,
"Devry University, Alpharetta Campus",,,,
"Devry University, Anaheim Center",,,,
"Devry University, Arlington (Crystal City) Campus",,,,
"Devry University, Atlanta Cobb Galleria Center",,,,
"Devry University, Austin Campus",,,,
"Devry University, Bakersfield Center",,,,
"Devry University, Bellevue (Seattle) Center",,,,
"Devry University, Bethesda Center",,,,
"Devry University, Charlotte Campus",,,,
"Devry University, Cherry Hill Center",,,,
"Devry University, Chesapeake (South Hampton Roads) Campus",,,,
"Devry University, Chicago Campus",,,,
"Devry University, Chicago Loop Center",,,,
"Devry University, Chicago O'Hare Center",,,,
"Devry University, Cincinnati Campus",,,,
"Devry University, Colorado Springs Center",,,,
"Devry University, Colton (Inland-Empire) Center",,,,
"Devry University, Columbus Campus",,,,
"Devry University, Columbus North Center",,,,
"Devry University, Daly City Center",,,,
"Devry University, Dayton Center",,,,
"Devry University, Decatur Campus",,,,
"Devry University, Downers Grove Center",,,,
"Devry University, Duluth (Gwinnett) Center",,,,
"Devry University, Edina Campus",,,,
"Devry University, Elgin Center",,,,
"Devry University, Federal Way Campus",,,,
"Devry University, Fremont Campus",,,,
"Devry University, Fresno Campus",,,,
"Devry University, Ft. Lauderdale Center",,,,
"Devry University, Ft. Washington Campus",,,,
"Devry University, Ft. Worth Center",,,,
"Devry University, Glendale Center",,,,
"Devry University, Greenwood Village (Denver South) Center",,,,
"Devry University, Gurnee Center",,,,
"Devry University, Henderson Campus",,,,
"Devry University, Houston Campus",,,,
"Devry University, Houston Galleria",,,,
"Devry University, Indianapolis Center",,,,
"Devry University, Irving Campus",,,,
"Devry University, Jacksonville Campus",,,,
"Devry University, Kansas City Campus",,,,
"Devry University, Kansas City Downtown",,,,
"Devry University, King of Prussia Center",,,,
"Devry University, Long Beach Campus",,,,
"Devry University, Louisville Campus",,,,
"Devry University, Lynnwood Center",,,,
"Devry University, Manassas Center",,,,
"Devry University, Manhattan Center",,,,
"Devry University, Memphis Campus",,,,
"Devry University, Merrillville Center",,,,
"Devry University, Mesa Center",,,,
"Devry University, Miami Center",,,,
"Devry University, Midtown Manhattan Campus",,,,
"Devry University, Milwaukee Campus",,,,
"Devry University, Miramar Campus",,,,
"Devry University, Morrisville Campus",,,,
"Devry University, Naperville Center",,,,
"Devry University, Nashville Campus",,,,
"Devry University, North Brunswick Campus",,,,
"Devry University, Oakland Center",,,,
"Devry University, Oklahoma City Campus",,,,
"Devry University, Orlando Campus",,,,
"Devry University, Orlando North Center",,,,
"Devry University, Oxnard Center",,,,
"Devry University, Palmdale Center",,,,
"Devry University, Paramus Center",,,,
"Devry University, Philadelphia (Center City) Center",,,,
"Devry University, Phoenix Campus",,,,
"Devry University, Pittsburgh Campus",,,,
"Devry University, Pomona Campus",,,,
"Devry University, Portland Campus",,,,
"Devry University, Rego Park (Queens) Center",,,,
"Devry University, Richardson Center",,,,
"Devry University, Sacramento (Elk Grove) Campus",,,,
"Devry University, San Antonio Campus",,,,
"Devry University, San Diego Campus",,,,
"Devry University, Sandy Campus",,,,
"Devry University, San Jose Center",,,,
"Devry University, Seven Hills Campus",,,,
"Devry University, Sherman Oaks Campus",,,,
"Devry University, Southfield Campus",,,,
"Devry University, St. Louis Campus",,,,
"Devry University, St. Louis Park Center",,,,
"Devry University, Stockbridge (Henry County) Center",,,,
"Devry University, Sugar Land (Houston) Center",,,,
"Devry University, Tampa Bay Campus",,,,
"Devry University, Tampa East Center",,,,
"Devry University, Tinley Park Campus",,,,
"Devry University, Waukesha Center",,,,
"Devry University, Westminster Campus",,,,
Doane College,,,,
,Master of Education- Educational Leadership,,68,37
,Master of Arts in Counseling,,68,37
,Master of Education- Curriculum and Development,,68,37
,Initial Program at the Advanced Level for Certification,,68,37
Dominican University,,,,
,Brennan School of Business,,69,27
,Graduate School of Library and Information Sciences,,69,27
,12,,69,27
Drew University,,,,
Drexel University,,,,
Duke University,,,,
,Nicholas School of the Environment,,71,31
,7,,71,31
,Sanford School of Public Policy,,71,31
Eastern University,,,,
,Campolo College Graduate/Professional Studies,,72,16
Emory University,,,,
,Goizueta School of Business,,33,28
,26,2,33,28
Fairfield University,,,,
,Dolan School of Business Master of Business Administration,,73,38
,Graduate School of Education and Allied Professions,,73,38
Fairleigh Dickinson University,,,,
Florida Atlantic University,,,,
Florida International University,,,,
,28,,52,32
,School of Hospitality and Tourism Management,,52,32
,29,,52,32
Fordham University,,,,
,School of Social Service,,6,0
,15,0,6,0
Framingham State University,,,,
Fuller Theological Seminary,,,,
,Ph.D program,,74,9
Georgetown University,,,,
,McCourt School of Public Policy,,1,2
,McDonough Business School,,1,2
,Edmund Walsh School of Foreign Service,2,1,2
,11,,1,2
George Washington University,,,,
,Columbian College of Arts and Sciences,3,1,2
,Graduate School of Human Development,3,1,2
,31,3,1,2
,School of Engineering and Applied Sciences,3,1,2
,Elliot School of International Affairs,"Master of Business Administration, MSIST and Ph.D. Programs in School of Business and Public Management (no subscore below 6.0)",1,2
,School of Public Health and Health Services,,1,2
Georgia State University,,,,
,Andrew Young School of Policy Studies,,33,28
,"Department of Modern and Classical Languages MA, French, German and Spanish",2,33,28
,College Of Education,,33,28
,32,4,33,28
,J. Mack Robinson College of Business,,33,28
,Institute of Public Health,2,33,28
Golden Gate University,,,,
Gonzaga University,,,,
Goshen College,,,,
,MS Nursing,,77,3
Harvard Business School,,,,
,Master of Business Administration Programs,,11,7
Henderson State University,,,,
Hofstra University,,,,
Houston Baptist University,,,,
Howard University,,,,
Illinois Institute of Technology,,,,
,Stuart School of Business,2,31,27
,36,,31,27
,College of Psychology,2,31,27
Illinois State University,,,,
"Indiana University, Bloomington",,,,
"Indiana University, East",,,,
"Indiana University-Purdue University, Fort Wayne",,,,
,Richard Doermer School of Business and Management Sciences,,Fort Wayne,3
,Kelley School of Business,,46,3
Johns Hopkins University,,,,
,Carey Business School,,79,30
,7,,79,30
,Advanced Academic Programs,,79,30
,Bloomberg School of Public Health,,79,30
,School of Arts and Sciences-4610,,79,30
,School of Engineering-4610,,79,30
,School of Medicine (Ph.D.),,79,30
Kent State University,,,,
,The School of Library and Information Science,,80,10
,39,,80,10
,Master of Science in Financial Engineering,,80,10
,40,,80,10
Keuka College,,,,
Lake Erie College,,,,
Lamar University,,,,
Lewis & Clark College,,,,
Loma Linda University,,,,
,School of Allied Health Professions,,81,9
,7,,81,9
,43,,81,9
,School of Science and Technology,,81,9
,13,,81,9
,School of Religion,,81,9
,38,,81,9
"Long Island University, Post",,,,
Loyola Marymount University,,,,
Loyola University Chicago,,,,
Lutheran School of Theology at Chicago,,,,
,Master of Theology,2,31,27
Luther Seminary,,,,
,44,,83,17
Manhattan School of Music,,,,
Maryland Institute College of Art,,,,
,Graphic Design,,79,30
,Rinehart School of Sculpture,2,79,30
Marywood University,,,,
,Health Sciences,,84,16
,Psychology:,,84,16
,Communication Arts,,84,16
,Nutrition:,,84,16
,Business & Managerial Science,,84,16
Massachusetts Institute of Technology,,,,
,Technology and Policy Program,5,85,7
,System Design and Management,5,85,7
,Computational and Systems Biology,6,85,7
,Economics,6,85,7
,Supply Chain Management,Contact school for score. IELTS only,85,7
,Linguistics & Philosophy,,85,7
,46,5,85,7
,Computation for Design and Optimization,5,85,7
,Department of Urban Studies/Planning,,85,7
,Civil and Environmental Engineering,2,85,7
,Center for Real Estate,6,85,7
,Comparative Media Studies,5,85,7
,Materials Science and Engineering,5,85,7
,Nuclear Science & Engineering,,85,7
,Harvard-MIT Division of Health Sciences and Technology,IELTS strongly preferred,85,7
,Master of Engineering in Manufacturing,Contact school for score (IELTS preferred),85,7
,Media Arts and Sciences,5,85,7
,Aeronautics and Astronautics,,85,7
,Electrical Engineering and Computer Science,6,85,7
,Mechanical Engineering,6,85,7
,Department of Architecture,"7.5 for Ph.D. History, Theory/Criticism of Architecture and Art (IELTS preferred)",85,7
,Engineering Systems Division,5,85,7
,Biological Engineering,5,85,7
,47,,85,7
,32,7,85,7
,"Departent of Earth, Atmospheric and Planetary Science",7,85,7
,Science Writing,,85,7
,26,7,85,7
,MIT-Woods Hole Oceanographic,,85,7
,Department of Mathematics,7,85,7
,Sloan School of Management,Ph.D. Program: 7.0,85,7
,Department of Brain/Cognitive Science,School of Science: (IELTS preferred),85,7
,"History, Anthropology and Sciences, Technology/Society",,85,7
,Operations Research,(IELTS preferred),85,7
,Microbiology,Interdisciplinary Programs: (7.0 preferred) (IELTS preferred),85,7
"Mercer University, Main Campus",,,,
Metropolitan State University,,,,
Michigan State University,,,,
Midland Lutheran College,,,,
Milligan College,,,,
Mills College,,,,
Minot State University,,,,
Mississippi State University,,,,
,28,"Department of Curriculum, Instruction, and Special Education (MA, Ph.D.)",87,40
,8,,87,40
,39,2,87,40
Mississippi University for Women,28,,87,40
Missouri University of Science and Technology,,,,
Montclair State University,,,,
Monterey Institute of International Studies,,,,
,1,(two-year),88,9
,Advanced Entry Master of Business Administration,,88,9
New School (The),,,,
,General Studies,,6,0
,Master of Fine Arts Program in Creative Writing,,6,0
,"Milano School of International Affairs, Management, and Urban Policy",,6,0
,20,,6,0
"New York Institute of Technology, Manhattan",,,,
New York Medical College,,,,
,Doctor of Physical Therapy (DTP),,89,0
,Doctor of Public Health in Health Policy and Management (DrPH),,89,0
,"School of Health Sciences and Practice, Master in Public Health",,89,0
New York University,,,,
,"College of Dentistry, Advanced Programs for International Dentists",Contact College of Dentistry for score,6,0
,Tisch School of the Arts,2,6,0
,Robert F. Wagner Graduate School of Public Service,2,6,0
,School of Professional and Continuing Studies,,6,0
,48,4,6,0
,Silver School of Social Work,4,6,0
,Gallatin School of Individualized Study,4,6,0
Niagara University,,,,
Northeastern Illinois University,,,,
Northeastern University,,,,
,49,,11,7
,50,,11,7
,D'Amore-McKim School of Business,2,11,7
,Sciences in Marine Biology,,11,7
,Bouve College of Health Sciences,,11,7
,"College of Arts, Media & Design",,11,7
,School of Journalism,,11,7
,Master of Design for Sustainable Urban Environments (MDes),,11,7
Northern Arizona University,,,,
Northwestern Polytechnic University,,,,
Northwestern University,,,,
,Northwestern Engineering Master of Project Management (MPM),,90,27
,Medill Northwestern University - Graduate Admissions,"School of Journalism, Media, Integrated Marketing Communications",90,27
"Northwood University, Florida",,,,
"Northwood University, Michigan",,,,
"Northwood University, Texas",,,,
Nova Southeastern University,,,,
Ohio Dominican University,,,,
Ohio State University,,,,
,Master of Labor and Human Resources,8,16,10
,Master of Business Operational Excellence,8,16,10
Oral Roberts University,,,,
Oregon Health & Science University,,,,
Pace University,,,,
,Seidenberg School of Computer Science and Information Systems,,6,0
,Lienard School of Nursing,,6,0
,Pace University-Lenox Hill Hospital Physician Assistant Program,,6,0
,Lubin School of Business,9,6,0
,Dyson College of Arts and Sciences,,6,0
Pacific Lutheran University,,,,
Pacific University,,,,
,51,(no subscore below 7.0),94,36
Palo Alto University,,,,
"Pennsylvania State University, Harrisburg",,,,
,Master of Professional Studies in Engineering Management,,95,16
,52,,95,16
"Pennsylvania State University, University Park",,,,
Pepperdine University,,,,
,School of Public Policy,,96,9
"Purdue University, Calumet",,,,
Regent University,,,,
,15,,97,23
,School of Business & Leadership,,97,23
Rhode Island School of Design,,,,
Rice University,,,,
"Richmond, The American International University in London",,,,
,Master in Art History,2,98,
Rider University,,,,
Rollins College,,,,
"Rutgers, The State University of New Jersey, Newark",,,,
Saint Louis University,,,,
Saint Vincent College,,,,
San Diego State University,,,,
San Francisco Art Institute,,,,
,Master of Art,,75,9
San Jose State University,,,,
Santa Clara University,,,,
,Leavey School of Business,,100,9
Seattle University,,,,
Seton Hall University,,,,
,Whitehead School of Diplomacy and International Relations,,South Orange,13
,Master of Arts in Writing Popular Fiction,,102,16
,Art Therapy with Specialization in Counseling,,102,16
Shenandoah University,,,,
SIT Graduate Institute,,,,
Southern Arkansas University,,,,
Spring Hill College,,,,
"St. John's University, Queens",,,,
St. Mary's University,,,,
Stetson University,,,,
"Stony Brook University, State University of New York (SUNY)",,,,
Suffolk University,,,,
Syracuse University,,,,
,Smith College of Engineering and Computer Science,2,103,0
,Whitman School of Management,,103,0
,School of Information Studies,2,103,0
,College of Visual and Performing Arts,,103,0
,Maxwell School,,103,0
Temple University,,,,
"Temple University, Japan Campus",,,,
"Texas A&M University, College Station",,,,
,Mays Business School,,104,11
"Texas A&M University, Commerce",,,,
,53,,105,11
,Physics,,105,11
,54,,105,11
,Agricultural Education,Master of Education,105,11
,55,,105,11
,56,,105,11
,Biological Sciences,,105,11
"Texas A&M University, Kingsville",,,,
Texas Christian University,,,,
Trine University,,,,
Tufts University,,,,
,57,,107,7
,Fletcher School of Law and Diplomacy,,107,7
,Cummings School of Veterinary Medicine,2,107,7
,"Graduate Arts, Sciences and Engineering",,107,7
Tulane University,,,,
,School of Public Health and Tropical Medicine,2,108,42
Union Graduate College,,,,
"University of Alabama, Birmingham",,,,
"University of Alabama, Tuscaloosa",,,,
"University of Alaska, Anchorage",,,,
"University of Alaska, Fairbanks",,,,
University of Arizona,,,,
,Eller College of Management,2,110,5
"University of Arkansas, Fayetteville",,,,
University of Arkansas For Medical Sciences,,,,
University of Baltimore,,,,
,International MS in Health Systems,2,79,30
,International MS in Applied Psychology,2,79,30
"University of California, Berkeley",,,,
"University of California, Davis",,,,
"University of California, Irvine",,,,
"University of California, San Diego",,,,
,Rady School of Management,Master of Business Administration and Ph.D programs,112,9
University of Central Arkansas,,,,
University of Central Oklahoma,,,,
,39,2,113,35
University of Chicago,,,,
University of Cincinnati,,,,
"University of Colorado, Boulder",,,,
,Journalism (Master's),,114,24
,Business (doctoral),,114,24
,Business (master's in accounting),,114,24
,47,,114,24
,"Technology, Media and Society (ATLAS)",,114,24
,60,,114,24
,Journalism (Doctoral),,114,24
,Ecology and Evolutionary Biology,,114,24
,Mechanical Engineering (Doctoral),,114,24
,54,,114,24
,Civil Engineering,,114,24
,"Molecular, Cellular, and Developmental Biology (MCDB)",,114,24
,Aerospace Engineering,,114,24
,Theater,,114,24
,56,,114,24
,Dance,,114,24
,Telecommunications,,114,24
,46,,114,24
,Environmental Studies,,114,24
,Electrical Engineering,,114,24
,Linguistics,,114,24
,Mechanical Engineering (Master's),,114,24
,53,,114,24
,Spanish,,114,24
,Engineering Management,,114,24
,MBA,,114,24
,Integrative Physiology,,114,24
"University of Colorado, Denver",,,,
University of Connecticut,,,,
,27,,115,38
,33,,115,38
University of Dallas,,,,
,1,,47,11
,MS/Master of Business Administration dual degree program,,47,11
University of Delaware,,,,
,16,2,99,26
,3,2,99,26
,College of Health Sciences,2,99,26
,College of Education and Human Development,2,99,26
,"College of Earth, Ocean and Environment",2,99,26
,College of Agriculture and Natural Resources,2,99,26
,Alfred Lerner College of Business and Economics,,99,26
,"Department of Health, Nutrition, and Exercise Sciences",Master's Degree (MS) Program In Human Nutrition,99,26
University of Denver,,,,
,University College,,25,24
,Morgridge College of Education,2,25,24
,Graduate Tax Program,2,25,24
,Korbel School of International Studies,2,25,24
,School of Professional Psychology,,25,24
,Arts Humanities and Social Sciences,,25,24
,Daniels College of Business,,25,24
University of Findlay,,,,
,6,2,116,10
University of Florida,,,,
,Warrington College of Business Administration,,117,32
University of Georgia,,,,
,J.M. Tull School of of Accounting,,19,28
University of Hartford,,,,
"University of Hawaii, Hilo",,,,
"University of Hawaii, Manoa",,,,
,1,10,118,44
University of Houston,,,,
,UH Law Center,,7,11
,College of Hotel Management,2,7,11
,55,2,7,11
,37,2,7,11
,28,2,7,11
,Cullen College of Engineering,2,7,11
,College of Social Work,2,7,11
,62,2,7,11
,College of Natural Sciences,2,7,11
,51,2,7,11
,62,,7,11
"University of Houston, Victoria",,,,
,50,2,22,11
University of Indianapolis,,,,
University of Iowa,,,,
,College of Dentistry,,119,45
University of Kansas,,,,
,0,no subscore below 5.5; provisional admissions (ESL required): 5.5 (no subsocre below 5.0),120,46
University of Kentucky,,,,
University of Louisville,,,,
"University of Maryland, Baltimore",,,,
"University of Maryland, Baltimore County",,,,
"University of Maryland, College Park",,,,
"University of Maryland University College, Adelphi (UMUC Headquarters), Adelphi",,,,
"University of Massachusetts, Amherst",,,,
,15,,121,7
,7,2,121,7
"University of Massachusetts, Boston",,,,
,63,,11,7
,M.Ed. School of Counseling,2,11,7
University of Memphis,,,,
University of Miami,,,,
"University of Michigan, Ann Arbor",,,,
,14,,122,4
,Ross School of Business,,122,4
,Krieger Graduate School of Arts and Sciences and Whiting School of Engineering,Chemical Engineering,122,4
,64,,122,4
,Rackham School of Graduate Studies,,122,4
,School of Information,,122,4
,42,,122,4
,Public Health,,122,4
,Taubman School - Architecture,,122,4
,Public Policy,,122,4
"University of Michigan, Dearborn",,,,
,6,,123,4
,"College of Arts, Sciences and Letters",,123,4
,College of Engineering and Computer Science,,123,4
"University of Minnesota, Twin Cities",,,,
,School of Journalism and Mass Communication,2,15,17
,64,,15,17
,13,,15,17
"University of Missouri, Kansas City",,,,
"University of Nevada, Las Vegas",,,,
"University of Nevada, Reno",,,,
University of New Hampshire,,,,
University of New Haven,,,,
,M.S. Industrial Engineering,,126,38
,M.S. Engineering and Operations Management,,126,38
,Ph.D. Criminal Justice,,126,38
,M.S. Network Systems,,126,38
,M.S. Mechanical Engineering,,126,38
,M.S. in Cellular Molecular Biology,,126,38
,M.S. Electrical Engineering,,126,38
,M.S. Environmental Engineering,,126,38
,M.S. Computer Engineering,,126,38
"University of North Carolina, Chapel Hill",,,,
"University of North Carolina, Charlotte",,,,
"University of North Carolina, Wilmington",,,,
University of North Texas,,,,
University of North Texas Health Science Center,,,,
University of Notre Dame,,,,
University of Oklahoma,,,,
University of Oregon,,,,
,Lundquist College of Business,9,128,36
,28,2,128,36
,3,2,128,36
,School of Architecture and Allied Arts,2,128,36
,School of Journalism and Education,2,128,36
University of Pennsylvania,,,,
,Master of Biotechnology,,58,16
,Graduate School of Education,,58,16
,Annenberg School of Communications,2,58,16
,Fels School of Government,2,58,16
,Graduate Division of Arts & Sciences,,58,16
,Graduate School of Design,,58,16
,School of Social Policy and Practice,,58,16
,7,,58,16
,36,7.5 suggested,58,16
,School of Engineering & Applied Science,2,58,16
"University of Phoenix, Ann Arbor Learning Center, Ann Arbor",,,,
"University of Phoenix, Arlington Learning Center, Arlington",,,,
"University of Phoenix, Arlington Student Resource Center, Arlington",,,,
"University of Phoenix, Asheville Learning Center, Asheville",,,,
"University of Phoenix, Atlanta Campus, Sandy Springs",,,,
"University of Phoenix, Augusta Campus, Augusta",,,,
"University of Phoenix, Austin Campus, Austin",,,,
"University of Phoenix, Bakersfield Learning Center, Bakersfield",,,,
"University of Phoenix, Baton Rougue Campus, Baton Rouge",,,,
"University of Phoenix, Bay Area - San Francisco Campus, San Jose",,,,
"University of Phoenix, Beachwood Learning Center, Beachwood",,,,
"University of Phoenix, Beale AFB Learning Center, Beale AFB",,,,
"University of Phoenix, Bellevue Learning Center, Bellevue",,,,
"University of Phoenix, Birmingham Campus, Birmingham",,,,
"University of Phoenix, Boston Campus, Braintree",,,,
"University of Phoenix, Brookstone Learning Center, Columbus",,,,
"University of Phoenix, Burlington Learning Center, Burlington",,,,
"University of Phoenix, Cascades Learning Center, Portland",,,,
"University of Phoenix, Cedar Hill Resource Center, Cedar Hill",,,,
"University of Phoenix, Cedar Rapids Student Learning Center, Cedar Rapids",,,,
"University of Phoenix, Central Florida Campus, Maitland",,,,
"University of Phoenix, Central Massachusetts Learning Center, Westborough",,,,
"University of Phoenix, Central Valley Campus, Fresno",,,,
"University of Phoenix, Chandler Learning Center, Chandler",,,,
"University of Phoenix, Charlotte Campus, Charlotte",,,,
"University of Phoenix, Charlotte East Student Resource Center, Charlotte",,,,
"University of Phoenix, Charlotte North Learning Center, Charlotte",,,,
"University of Phoenix, Chattanooga Campus, Chattanooga",,,,
"University of Phoenix, Chicago Campus, Schaumburg",,,,
"University of Phoenix, Chula Vista Learning Center, Chula Vista",,,,
"University of Phoenix, Cincinnati Campus, Westchester",,,,
"University of Phoenix, Clarkesville Learning Center, Clarkeville",,,,
"University of Phoenix, Clear Lake Learning Center, Houston",,,,
"University of Phoenix, Cleveland Campus, Independence",,,,
"University of Phoenix, Colorado Campus, Lone Tree",,,,
"University of Phoenix, Colorado Springs Downtown, Colorado Springs",,,,
"University of Phoenix, Columbia South Carolina Campus, Columbia",,,,
"University of Phoenix, Columbus-GA Campus, Columbus",,,,
"University of Phoenix, Columbus Ohio Campus, Columbus",,,,
"University of Phoenix, Concord Learning Center, Concord",,,,
"University of Phoenix, Corona Student Resource Center, Corona",,,,
"University of Phoenix, Covington Learning Center, Covington",,,,
"University of Phoenix, Culver City Learning Center, Culver City",,,,
"University of Phoenix, Cypress Creek Learning Center, Ft. Lauderdale",,,,
"University of Phoenix, Dallas Campus, Dallas",,,,
"University of Phoenix, Daytona Learning Center, Daytona Beach",,,,
"University of Phoenix, Dekalb Learning Center, Atlanta",,,,
"University of Phoenix, Deleware Campus, Wilmington",,,,
"University of Phoenix, Des Moines Campus, West Des Moines",,,,
"University of Phoenix, Des Peres Learning Center, Des Peres",,,,
"University of Phoenix, Detroit Campus, Troy",,,,
"University of Phoenix, Diamond Bar Learning Center, Diamond Bar",,,,
"University of Phoenix, Downtown Chicago Learning Center, Chicago",,,,
"University of Phoenix, Downtown Detroit Student Resource Center, Detroit",,,,
"University of Phoenix, Downtown Minneapolis Learning Center, Minneapolis",,,,
"University of Phoenix, Downtown San Diego Learning Center, San Diego",,,,
"University of Phoenix, Downtown St. Louis Learning Center, St. Louis",,,,
"University of Phoenix, East El Paso Learning Center, El Paso",,,,
"University of Phoenix, Eastern Washington Campus, Spokane",,,,
"University of Phoenix, East Jacksonville Learning Center, Jacksonville",,,,
"University of Phoenix, East Orlando Learning Center, Orlando",,,,
"University of Phoenix, El Centro Learning Center, Imperial",,,,
"University of Phoenix, El Centro Learning Center II, Imperial",,,,
"University of Phoenix, El Centro Learning Center III, El Centro",,,,
"University of Phoenix, Elk Grove Learning Center, Elk Grove",,,,
"University of Phoenix, Escorial Learning Center, Carolina",,,,
"University of Phoenix, Fairfax Learning Center, Fairfax",,,,
"University of Phoenix, Fairfield County Campus, Norwalk",,,,
"University of Phoenix, Fairfield Learning Center, Fairfield",,,,
"University of Phoenix, Flint Learning Center, Flint",,,,
"University of Phoenix, Florence KY Learning Center, Florence",,,,
"University of Phoenix, Fort Collins Learning Center, Fort Collins",,,,
"University of Phoenix, Fox Valley Learning Center, Grand Chute",,,,
"University of Phoenix, Franklin Learning Center, Franklin",,,,
"University of Phoenix, Gardena Learning Center, Gardena",,,,
"University of Phoenix, Greenbelt Learning Center, Greenbelt",,,,
"University of Phoenix, Greensboro Learning Center, Greensboro",,,,
"University of Phoenix, Greenville Learning Center, Greenville",,,,
"University of Phoenix, Gwinnettt Learning Center, Duluth",,,,
"University of Phoenix, Harrisburg Campus, Harrisburg",,,,
"University of Phoenix, Hawaii Campus, Honolulu",,,,
"University of Phoenix, HEAT Center, Aberdeen",,,,
"University of Phoenix, Henderson Learning Center, Henderson",,,,
"University of Phoenix, Hillsboro Learning Center, Hillsboro",,,,
"University of Phoenix, Houston Campus, Houston",,,,
"University of Phoenix, Houston Northwest Learning Center, Houston",,,,
"University of Phoenix, Idaho Campus, Meridian",,,,
"University of Phoenix, Idaho Falls Student Center, Idaho Falls",,,,
"University of Phoenix, Independence Learning Center, Independence",,,,
"University of Phoenix, Indianapolis Campus, Indianapolis",,,,
"University of Phoenix, Jackson Campus, Flowood",,,,
"University of Phoenix, Jersey City Campus, Jersey City",,,,
"University of Phoenix, Kansas City Campus, Kansas City",,,,
"University of Phoenix, Kapolei Learning Center, Kapolei",,,,
"University of Phoenix, Killeen Learning Center, Killeen",,,,
"University of Phoenix, Kirtland AFB Learning Center, Albuquerque",,,,
