popularity,release_date,title,year,pg_rating,imdb_id,runtime,imdb_rating,votes,gross_us,month,genre
7.89,2/16/2010,The Illusionist,2006,PG-13,443543,110,7.6,355366,39.87,2,"Drama,  Mystery,  Fantasy"
7.986000000000001,8/26/1955,The Night of the Hunter,1955,Not Rated,48424,92,8.0,82263,0.65,8," Drama, Crime,  Film-Noir"
7.992999999999999,1/12/1940,The Shop Around the Corner,1940,Not Rated,33045,99,8.1,28581,0.2,1," Romance, Comedy,  Drama"
8.026,9/14/1993,Naked,1993,Not Rated,107653,132,7.8,34789,1.77,9," Drama, Comedy"
8.037,4/13/1955,Rififi,1955,Not Rated,48021,118,8.1,29143,0.06,4," Thriller, Crime,  Drama"
8.068,2/5/2004,Tae Guk Gi: The Brotherhood of War,2004,R,386064,140,8.1,37885,1.11,2," War, Action,  Drama"
8.105,8/31/2000,Nine Queens,2000,R,247586,114,7.9,49856,1.22,8," Thriller, Crime,  Drama"
8.131,12/23/1994,The Jungle Book,1967,G,61852,78,7.6,166957,141.84,12," Adventure, Animation,  Family"
8.249,11/29/1973,The Holy Mountain,1973,R,71615,114,7.9,37468,0.06,11,"Adventure,  Fantasy,  Drama"
8.292,12/10/1972,Sleuth,1972,PG,69281,138,8.0,44842,4.08,12," Thriller, Mystery"
8.311,10/15/2008,Frost/Nixon,2008,R,870111,122,7.7,103547,18.59,10," History,  Drama, Biography"
8.317,2/13/1972,Cabaret,1972,PG,68327,124,7.8,48507,42.77,2,"Drama,  Music,  Musical"
8.372,11/5/1997,Fireworks,1997,--,119250,103,7.8,27838,0.23,11,"Crime,  Romance,  Drama"
8.435,12/15/1961,The Innocents,1961,Not Rated,55018,100,7.8,27109,2.62,12,Horror
8.46,9/20/1958,Cat on a Hot Tin Roof,1958,Not Rated,51459,108,8.0,45250,17.57,9,Drama
8.484,4/15/2005,Adam's Apples,2005,R,418455,94,7.8,45885,0.0,4," Drama,  Crime, Comedy"
8.488,1/18/1940,His Girl Friday,1940,Passed,32599,92,7.9,53845,0.3,1,"Comedy,  Romance,  Drama"
8.577,11/27/2003,Kal Ho Naa Ho,2003,Not Rated,347304,186,8.0,63612,1.79,11,"Comedy,  Musical,  Drama"
8.603,6/24/2016,The Salesman,2016,PG-13,5186714,124,7.8,51673,2.4,6,Drama
8.622,6/11/1969,True Grit,2010,PG-13,1403865,110,7.6,312868,171.24,6,"Drama,  Western"
8.629,12/15/1989,Glory,1989,R,97441,122,7.8,123517,26.83,12," Drama,  History, Biography"
8.675,7/15/2011,Zindagi Na Milegi Dobara,2011,Not Rated,1562872,155,8.1,68148,3.11,7," Drama, Comedy"
8.722000000000001,6/19/1987,Withnail & I,1987,R,94336,107,7.7,40521,1.54,6,"Comedy,  Drama"
8.722999999999999,11/29/1945,The Lost Weekend,1945,Passed,37884,101,7.9,33642,9.46,11,"Drama,  Film-Noir"
8.745,12/13/1973,Amarcord,1973,R,71129,123,7.9,40022,0.29,12," Family,  Drama, Comedy"
8.757,12/12/1966,A Man for All Seasons,1966,G,60665,120,7.7,31346,28.35,12,"Biography,  Drama,  History"
8.824,3/5/1998,"Lock, Stock and Two Smoking Barrels",1998,R,120735,107,8.2,536919,3.9,3," Crime, Action,  Comedy"
8.833,9/15/1972,The Discreet Charm of the Bourgeoisie,1972,PG,68361,102,7.9,38922,0.2,9,Comedy
8.867,7/7/1964,A Hard Day's Night,1964,G,58182,87,7.6,40496,13.78,7," Musical, Comedy"
8.882,12/18/2014,PK,2014,Not Rated,2338151,153,8.1,163763,10.62,12,"Comedy,  Drama,  Musical"
8.886000000000001,6/15/2001,Lagaan: Once Upon a Time in India,2001,PG,169102,224,8.1,105356,0.07,6,"Drama,  Musical,  Sport"
8.912,12/20/1991,Raise the Red Lantern,1991,PG,101640,125,8.1,29766,2.6,12," Romance, Drama,  History"
8.922,2/9/2009,The Secret of Kells,2009,Not Rated,485601,75,7.6,31995,0.69,2," Adventure,  Family, Animation"
8.942,10/6/2009,The White Ribbon,2009,R,1149362,144,7.8,68912,2.22,10," Mystery, Drama,  History"
8.943,10/13/1989,Crimes and Misdemeanors,1989,PG-13,97123,104,7.9,54826,18.25,10,"Comedy,  Drama"
8.947000000000001,3/15/2011,A Separation,2011,PG-13,1832382,123,8.3,220984,7.1,3,Drama
9.058,10/25/1967,Le Samouraï,1967,GP,62229,101,8.1,45674,0.04,10,"Crime,  Mystery,  Drama"
9.078,9/13/2008,Departures,2008,PG-13,1069238,130,8.1,48724,1.5,9,"Drama,  Music"
9.109,8/28/1953,From Here to Eternity,1953,Passed,45793,118,7.6,43544,30.5,8," Romance, Drama,  War"
9.117,4/11/1995,Underground,1995,Not Rated,114787,167,8.1,55352,0.17,4,"Comedy,  Drama,  Fantasy"
9.144,11/3/1971,Fiddler on the Roof,1971,G,67093,181,8.0,39629,80.5,11," Family,  Musical, Drama"
9.147,5/24/1996,Secrets & Lies,1996,R,117589,136,8.0,37747,13.42,5," Drama, Comedy"
9.21,6/11/1947,Miracle on 34th Street,1947,Not Rated,39628,96,7.9,41731,2.65,6," Family,  Drama, Comedy"
9.218,5/24/1967,Belle de Jour,1967,R,61395,100,7.7,40447,0.03,5," Romance, Drama"
9.352,12/11/1998,Rushmore,1998,R,128445,93,7.7,169685,17.11,12," Romance, Comedy,  Drama"
9.356,9/17/2003,Love Me If You Dare,2003,R,364517,93,7.6,67487,0.55,9,"Comedy,  Romance,  Drama"
9.373,9/19/1980,Ordinary People,1980,R,81283,124,7.7,47295,54.8,9,Drama
9.401,3/13/1992,My Cousin Vinny,1992,R,104952,120,7.6,107735,52.93,3," Crime, Comedy"
9.421,10/30/1968,The Lion in Winter,1968,PG,63227,134,7.9,29082,22.28,10," Drama, Biography,  History"
9.43,11/2/1984,The Killing Fields,1984,R,87553,141,7.8,51774,34.7,11," Drama, Biography,  History"
9.475,9/29/2004,Dead Man's Shoes,2004,Not Rated,419677,90,7.6,49863,0.01,9," Thriller,  Drama, Crime"
9.503,10/26/1993,Farewell My Concubine,1993,R,106332,171,8.1,25209,5.22,10,"Drama,  Romance,  Music"
9.539,7/21/1952,The Quiet Man,1952,Passed,45061,129,7.7,34792,10.55,7," Romance, Comedy,  Drama"
9.603,7/15/1983,Zelig,1983,PG,86637,79,7.7,39970,11.8,7,Comedy
9.606,12/10/1992,The Muppet Christmas Carol,1992,G,104940,85,7.7,50419,27.28,12," Family,  Drama, Comedy"
9.625,7/30/1972,Deliverance,1972,R,68473,109,7.7,99009,7.06,7," Drama, Adventure,  Thriller"
9.637,8/10/1960,Ocean's Eleven,2001,PG-13,240772,116,7.7,518400,183.42,8," Thriller, Crime"
9.648,12/19/1990,Hamlet,1996,PG-13,116477,242,7.7,36061,4.41,12,Drama
9.728,5/17/1987,Wings of Desire,1987,PG-13,93191,128,8.0,65061,3.33,5,"Drama,  Fantasy,  Romance"
9.735,12/5/1963,Charade,1963,Passed,56923,113,7.9,69112,13.47,12," Mystery, Comedy,  Romance"
9.788,3/7/2001,The Experiment,2001,R,250258,120,7.7,90952,0.14,3,"Drama,  Thriller"
9.793,10/5/2018,Andhadhun,2018,Not Rated,8108198,139,8.3,72628,1.37,10," Drama,  Music, Crime"
9.816,5/27/1987,The Last Emperor,1987,PG-13,93389,163,7.7,94780,43.98,5," Drama,  History, Biography"
9.827,10/16/2013,Tangerines,2013,Not Rated,2991224,87,8.2,40862,0.14,10,"Drama,  War"
9.83,10/26/2004,A Very Long Engagement,2004,R,344510,133,7.6,71038,6.17,10,"Drama,  Mystery,  Romance"
9.836,5/16/1960,Peeping Tom,1960,Not Rated,54167,101,7.7,31469,0.08,5," Horror,  Thriller, Drama"
9.882,10/11/1944,Laura,1944,Passed,37008,88,8.0,42864,4.36,10," Film-Noir,  Mystery, Drama"
9.886000000000001,7/26/2006,Little Miss Sunshine,2006,R,449059,101,7.8,441013,59.89,7,"Comedy,  Drama"
9.908999999999999,10/31/1962,What Ever Happened to Baby Jane?,1962,Passed,56687,134,8.1,50256,4.05,10," Thriller,  Horror, Drama"
9.946,9/27/1994,Ed Wood,1994,R,109707,127,7.8,165223,5.89,9," Drama,  Comedy, Biography"
9.965,1/22/1999,The Boondock Saints,1999,R,144117,108,7.8,227494,0.03,1," Crime, Action,  Thriller"
9.987,12/18/1985,The Color Purple,1985,PG-13,88939,154,7.8,78645,98.47,12,Drama
10.014,4/19/1977,Annie Hall,1977,PG,75686,93,8.0,252346,39.2,4," Romance, Comedy"
10.027999999999999,7/22/1948,The Red Shoes,1948,Not Rated,40725,135,8.1,31089,10.9,7," Music, Drama,  Romance"
10.097000000000001,7/30/2015,Drishyam,2015,Not Rated,4430212,163,8.2,71052,0.74,7,"Crime,  Mystery,  Drama"
10.12,6/11/2003,The Triplets of Belleville,2003,PG-13,286244,80,7.8,50688,7.0,6,"Animation,  Drama,  Comedy"
10.17,3/15/2006,The Lives of Others,2006,R,405094,137,8.4,360169,11.29,3," Thriller, Drama,  Mystery"
10.18,3/7/1973,The Long Goodbye,1973,R,70334,112,7.6,26465,0.96,3," Drama,  Crime, Comedy"
10.197000000000001,1/26/2008,Let the Right One In,2008,R,1139797,114,7.9,205995,2.12,1," Drama, Crime,  Fantasy"
10.235,10/31/2003,In America,2002,PG-13,298845,105,7.7,40437,15.54,10,Drama
10.257,10/6/2000,Requiem for a Dream,2000,R,180093,102,8.3,769841,3.64,10,Drama
10.263,2/1/1931,City Lights,1931,G,21749,87,8.5,168603,0.02,2," Drama, Comedy,  Romance"
10.27,3/29/2002,Sympathy for Mr. Vengeance,2002,R,310775,129,7.6,62876,0.05,3,"Crime,  Drama,  Thriller"
10.305,12/11/1967,Guess Who's Coming to Dinner,1967,Approved,61735,108,7.8,39867,56.7,12,"Comedy,  Drama"
10.315,9/7/1984,Blood Simple,1984,R,86979,99,7.6,88096,2.15,9," Thriller, Crime,  Drama"
10.317,8/15/1996,Shine,1996,PG-13,117631,105,7.7,51460,35.81,8," Drama, Biography,  Music"
10.369000000000002,12/17/1982,Fanny and Alexander,1982,R,83922,188,8.1,57945,4.97,12,Drama
10.373,6/10/1959,Hiroshima Mon Amour,1959,Not Rated,52893,90,7.9,28555,0.09,6,"Drama,  Romance"
10.485,1/26/2003,The Station Agent,2003,R,340377,89,7.6,67482,5.74,1,"Comedy,  Drama"
10.504000000000001,5/29/1954,Dial M for Murder,1954,PG,46912,105,8.2,159086,0.01,5," Thriller, Crime"
10.540999999999999,12/1/1981,On Golden Pond,1981,PG,82846,109,7.6,27750,119.29,12,Drama
10.564,3/17/1959,Rio Bravo,1959,Passed,53221,141,8.0,56480,12.54,3,"Action,  Drama,  Western"
10.569,9/8/1966,The Battle of Algiers,1966,Not Rated,58946,121,8.1,53401,0.06,9,"Drama,  War"
10.581,4/17/1924,Sherlock Jr.,1924,Passed,15324,45,8.2,42333,0.98,4," Romance, Action,  Comedy"
10.583,11/18/1994,Miracle on 34th Street,1947,Not Rated,39628,96,7.9,41731,2.65,11," Family,  Drama, Comedy"
10.584000000000001,5/9/1973,Paper Moon,1973,PG,70510,102,8.1,42412,30.93,5," Crime,  Drama, Comedy"
10.613,12/25/1996,Hamlet,1996,PG-13,116477,242,7.7,36061,4.41,12,Drama
10.652000000000001,10/8/2011,The Artist,2011,PG-13,1655442,100,7.9,231136,44.67,10," Romance, Comedy,  Drama"
10.725,9/4/2010,Incendies,2010,R,1255953,131,8.3,151164,6.86,9,"Drama,  Mystery,  War"
10.742,1/26/2006,Rang De Basanti,2006,Not Rated,405508,167,8.2,112293,2.2,1,"Comedy,  Crime,  Drama"
10.767000000000001,1/1/2013,The Best Offer,2013,R,1924396,131,7.8,108904,0.09,1,"Crime,  Drama,  Mystery"
10.77,5/15/1973,The Day of the Jackal,1973,PG,69947,143,7.8,37620,16.06,5,"Crime,  Thriller,  Drama"
10.788,12/19/1979,Kramer vs. Kramer,1979,PG,79417,105,7.8,133886,106.26,12,Drama
10.812999999999999,5/4/1984,This Is Spinal Tap,1984,R,88258,82,7.9,129162,0.19,5," Music, Comedy"
10.819,12/16/2002,25th Hour,2002,R,307901,135,7.6,170021,13.06,12,Drama
10.841,10/9/1952,Ikiru,1952,Not Rated,44741,143,8.3,68931,0.06,10,Drama
10.857999999999999,6/25/2003,The Return,2003,Not Rated,376968,110,8.0,42584,0.5,6,Drama
10.882,9/9/1993,True Romance,1993,R,108399,119,7.9,207640,12.28,9," Romance,  Drama, Crime"
10.947000000000001,5/25/1979,Stalker,1979,Not Rated,79944,162,8.2,117713,0.23,5,"Drama,  Sci-Fi"
10.967,8/26/2009,A Prophet,2009,R,1235166,155,7.9,93771,2.08,8,"Crime,  Drama"
11.033,11/18/1983,A Christmas Story,1983,PG,85334,93,7.9,133172,20.61,11,"Comedy,  Family"
11.136,6/27/1951,Strangers on a Train,1951,PG,44079,101,7.9,123640,7.63,6," Thriller, Crime,  Film-Noir"
11.161,5/13/1938,The Adventures of Robin Hood,1938,PG,29843,102,7.9,47291,3.98,5," Adventure,  Romance, Action"
11.192,11/26/1987,"Planes, Trains and Automobiles",1987,R,93748,93,7.6,125167,49.53,11,"Comedy,  Drama"
11.21,8/23/1946,The Big Sleep,1946,Passed,38355,114,7.9,78982,6.54,8," Mystery,  Film-Noir, Crime"
11.213,12/24/1925,Battleship Potemkin,1925,Not Rated,15648,66,8.0,53306,0.05,12,"Drama,  Thriller,  History"
11.222000000000001,4/17/1991,Delicatessen,1991,R,101700,99,7.6,80700,1.79,4,"Comedy,  Crime"
11.267000000000001,3/10/1999,The Insider,1999,R,140352,157,7.8,160387,28.97,3," Thriller, Biography,  Drama"
11.273,6/4/1982,Star Trek II: The Wrath of Khan,1982,PG,84726,113,7.7,112989,78.91,6," Adventure, Action,  Sci-Fi"
11.274000000000001,9/21/1990,Miller's Crossing,1990,R,100150,115,7.7,126136,5.08,9,"Crime,  Thriller,  Drama"
11.299000000000001,12/25/2015,A Man Called Ove,2015,PG-13,4080728,116,7.7,47769,3.36,12," Romance, Comedy,  Drama"
11.347999999999999,1/12/2006,The Last King of Scotland,2006,R,455590,123,7.7,175834,17.61,1," Drama,  History, Biography"
11.386,6/14/1944,Double Indemnity,1944,Passed,36775,107,8.3,144173,5.72,6," Drama, Crime,  Film-Noir"
11.42,2/9/2003,Good Bye Lenin!,2003,R,301357,121,7.7,138284,4.06,2," Drama, Comedy,  Romance"
11.448,3/23/2007,Once,2007,R,907657,86,7.8,110897,9.44,3," Music,  Romance, Drama"
11.457,9/19/2003,"Spring, Summer, Fall, Winter... and Spring",2003,R,374546,103,8.0,77724,2.38,9,"Drama,  Romance"
11.472000000000001,3/17/1989,Leviathan,2014,R,2802154,140,7.6,49601,1.09,3," Drama, Crime"
11.487,1/26/1994,Three Colors: White,1994,R,111507,92,7.6,64852,1.46,1," Romance,  Drama, Comedy"
11.493,6/19/2014,What We Do in the Shadows,2014,R,3416742,86,7.7,158335,3.33,6," Horror, Comedy"
11.497,12/27/1991,Fried Green Tomatoes,1991,PG-13,101921,130,7.7,67170,82.42,12,Drama
11.509,10/16/1998,Happiness,1998,Unrated,147612,134,7.7,66538,2.81,10," Drama, Comedy"
11.527999999999999,9/5/1993,Short Cuts,1993,R,108122,188,7.7,42360,6.11,9,"Comedy,  Drama"
11.536,9/1/2001,Cowboy Bebop: The Movie,2001,--,275277,115,7.9,43033,1.0,9,"Animation,  Action,  Crime"
11.547,12/21/2016,Dangal,2016,Not Rated,5074352,161,8.4,157650,12.39,12," Biography, Action,  Drama"
11.557,3/3/1998,Run Lola Run,1998,R,130827,80,7.6,188676,7.27,3," Thriller,  Drama, Crime"
11.562000000000001,9/24/2014,Leviathan,2014,R,2802154,140,7.6,49601,1.09,9," Drama, Crime"
11.571,6/27/2007,Persepolis,2007,PG-13,808417,96,8.0,88868,4.45,6,"Animation,  Drama,  Biography"
11.605,5/22/2014,Mommy,2014,R,3612616,139,8.1,50975,3.49,5,Drama
11.62,6/11/1986,Ferris Bueller's Day Off,1986,PG-13,91042,103,7.8,322298,70.14,6,Comedy
11.638,3/19/1959,Some Like It Hot,1959,Passed,53291,121,8.2,244899,25.0,3,"Comedy,  Romance,  Music"
11.675999999999998,9/20/1986,Down by Law,1986,R,90967,107,7.8,47991,1.44,9," Drama,  Crime, Comedy"
11.703,10/20/1983,The Right Stuff,1983,PG,86197,193,7.8,56361,21.5,10," Biography, Adventure,  Drama"
11.706,5/28/2009,Mother,2009,R,1216496,129,7.8,53346,0.55,5," Drama,  Mystery, Crime"
11.790999999999999,3/31/2016,Hunt for the Wilderpeople,2016,PG-13,4698684,101,7.9,112324,5.2,3,"Adventure,  Comedy,  Drama"
11.794,2/6/2004,The Motorcycle Diaries,2004,R,318462,126,7.8,96893,16.76,2," Drama, Adventure,  Biography"
11.815,7/20/1991,Only Yesterday,1991,PG,102587,118,7.6,27326,0.45,7," Drama,  Romance, Animation"
11.84,12/22/2010,True Grit,2010,PG-13,1403865,110,7.6,312868,171.24,12,"Drama,  Western"
11.84,5/31/1995,La Haine,1995,Not Rated,113247,98,8.1,151269,0.31,5,"Crime,  Drama"
11.868,7/20/2001,Hedwig and the Angry Inch,2001,R,248845,95,7.7,32022,3.03,7," Music, Comedy,  Drama"
11.935,5/31/1979,The Muppet Movie,1979,G,79588,95,7.6,32927,76.66,5," Family,  Comedy, Adventure"
11.966,11/24/1948,Bicycle Thieves,1948,Not Rated,40522,89,8.3,147257,0.33,11,Drama
11.982999999999999,3/23/1940,Rebecca,1940,Approved,32976,130,8.1,124454,4.36,3," Mystery, Drama,  Romance"
12.03,12/13/1973,Papillon,1973,R,70511,151,8.0,121899,53.27,12,"Biography,  Crime,  Drama"
12.05,7/1/2012,Amour,2012,PG-13,1602620,127,7.9,93427,6.74,7," Romance, Drama"
12.075,8/21/1946,Notorious,1946,Not Rated,38787,102,7.9,92566,10.46,8," Film-Noir, Drama,  Romance"
12.092,2/19/1999,October Sky,1999,PG,132477,108,7.8,83121,32.48,2," Family, Biography,  Drama"
12.120999999999999,12/8/1988,Mississippi Burning,1988,R,95647,128,7.8,88701,34.6,12," History,  Drama, Crime"
12.134,2/10/2004,Before Sunset,2004,R,381681,80,8.1,237492,5.82,2,"Drama,  Romance"
12.16,7/1/1959,Anatomy of a Murder,1959,Not Rated,52561,161,8.0,60029,11.9,7," Mystery,  Drama, Crime"
12.162,1/21/1921,The Kid,1921,Passed,12349,68,8.3,114056,5.45,1," Drama, Comedy,  Family"
12.17,12/23/1992,Scent of a Woman,1992,R,105323,156,8.0,265309,63.9,12,Drama
12.177,9/13/1985,After Hours,1985,R,88680,97,7.7,60101,10.6,9," Drama, Comedy,  Crime"
12.192,3/5/2003,21 Grams,2003,R,315733,124,7.6,225037,16.29,3,"Crime,  Thriller,  Drama"
12.198,12/18/1982,The King of Comedy,1982,PG,85794,109,7.8,89244,2.5,12," Drama,  Crime, Comedy"
12.219000000000001,4/4/1976,All the President's Men,1976,PG,74119,138,7.9,103676,70.6,4," History,  Drama, Biography"
12.257,9/8/1993,Three Colors: Blue,1993,R,108394,94,7.9,90435,1.32,9," Mystery, Drama,  Music"
12.265,9/3/2004,The Sea Inside,2004,PG-13,369702,126,8.0,77733,2.09,9," Drama, Biography"
12.270999999999999,2/1/1991,The Silence of the Lambs,1991,R,102926,118,8.6,1276668,130.74,2," Drama,  Thriller, Crime"
12.280999999999999,2/7/1974,Blazing Saddles,1974,R,71230,93,7.7,126476,119.5,2," Western, Comedy"
12.280999999999999,8/30/1996,Sling Blade,1996,R,117666,135,8.0,87083,24.48,8,Drama
12.293,9/25/1962,The Longest Day,1962,G,56197,178,7.8,52221,39.1,9," Drama,  History, Action"
12.3,12/19/1979,Being There,1979,PG,78841,130,8.0,65837,30.18,12,"Comedy,  Drama"
12.306,6/19/1998,The Celebration,1998,R,154420,105,8.0,78674,1.65,6,Drama
12.335,6/14/1989,Do the Right Thing,1989,R,97216,120,8.0,90155,27.55,6,"Comedy,  Drama"
12.34,6/22/1954,On the Waterfront,1954,Approved,47296,108,8.1,142663,9.6,6," Drama,  Thriller, Crime"
12.345,3/15/1940,The Grapes of Wrath,1940,Passed,32551,129,8.0,85812,0.06,3," History, Drama"
12.357999999999999,9/15/1992,Glengarry Glen Ross,1992,R,104348,100,7.7,96138,10.73,9,"Crime,  Mystery,  Drama"
12.360999999999999,7/14/1976,The Outlaw Josey Wales,1976,PG,75029,135,7.8,65868,31.8,7,Western
12.362,7/12/1925,The Gold Rush,1925,Passed,15864,95,8.2,101595,5.45,7," Comedy, Adventure,  Drama"
12.372,12/6/2002,Adaptation.,2002,R,268126,115,7.7,179124,22.25,12," Drama, Comedy"
12.382,8/2/1967,In the Heat of the Night,1967,Approved,61811,110,7.9,68075,24.38,8," Drama, Crime,  Mystery"
12.413,9/19/1986,Blue Velvet,1986,R,90756,120,7.7,182065,8.55,9," Mystery,  Thriller, Drama"
12.437000000000001,9/3/2005,Serenity,2005,PG-13,379786,119,7.8,283761,25.51,9," Sci-Fi, Action,  Adventure"
12.449000000000002,2/26/1993,Falling Down,1993,R,106856,113,7.6,172322,40.9,2," Drama, Crime,  Thriller"
12.452,12/17/1957,Witness for the Prosecution,1957,Approved,51201,116,8.4,109544,8.18,12," Mystery,  Drama, Crime"
12.523,5/20/2004,Mysterious Skin,2004,Unrated,370986,105,7.6,66050,0.7,5,Drama
12.527000000000001,10/6/1950,All About Eve,1950,Passed,42192,138,8.2,120998,0.01,10,Drama
12.579,4/19/1999,All About My Mother,1999,R,185125,101,7.8,89377,8.26,4,Drama
12.582,1/7/1952,The African Queen,1951,PG,43265,105,7.7,71711,0.54,1,"Adventure,  Drama,  Romance"
12.584000000000001,6/2/2005,Cinderella Man,2005,PG-13,352248,144,8.0,176588,61.65,6," Drama,  History, Biography"
12.594000000000001,6/20/1963,The Great Escape,1963,Approved,57115,172,8.2,225492,12.1,6," Drama,  History, Adventure"
12.604000000000001,4/21/1928,The Passion of Joan of Arc,1928,Passed,19254,114,8.1,48060,0.02,4," History,  Drama, Biography"
12.615,9/20/2012,End of Watch,2012,R,1855199,109,7.6,228734,41.0,9," Crime,  Drama, Action"
12.65,10/9/1971,The French Connection,1971,R,67116,104,7.7,110510,15.63,10,"Action,  Drama,  Crime"
12.683,12/12/1991,Night on Earth,1991,R,102536,129,7.8,55582,2.02,12," Drama, Comedy"
12.696,5/19/2003,Dogville,2003,R,276919,178,8.0,138366,1.53,5,"Crime,  Drama"
12.708,10/18/1941,The Maltese Falcon,1941,Not Rated,33870,100,8.0,149298,2.11,10," Mystery, Film-Noir"
12.709000000000001,4/20/1935,The Bride of Frankenstein,1935,Not Rated,26138,75,7.8,43673,4.36,4," Sci-Fi,  Horror, Drama"
12.722000000000001,12/12/2002,Infernal Affairs,2002,R,338564,101,8.0,118062,0.17,12,"Action,  Crime,  Drama"
12.729000000000001,12/19/1997,Open Your Eyes,1997,R,125659,119,7.7,64230,0.37,12," Mystery, Drama,  Sci-Fi"
12.735,11/10/1993,Carlito's Way,1993,R,106519,144,7.9,201664,36.95,11,"Crime,  Drama,  Thriller"
12.78,12/4/1990,Awakenings,1990,PG-13,99077,121,7.8,126018,52.1,12,"Biography,  Drama"
12.784,5/25/1969,Midnight Cowboy,1969,R,64665,113,7.8,101437,44.79,5,Drama
12.807,10/17/2004,Finding Neverland,2004,PG,308644,106,7.6,199030,51.68,10," Family, Biography,  Drama"
12.824000000000002,9/13/1994,Clerks,1994,R,109445,92,7.7,211762,3.15,9,Comedy
12.869000000000002,10/28/1998,The Legend of 1900,1998,R,120731,169,8.1,59208,0.26,10,"Drama,  Music,  Romance"
