Subtitle,"Class 
Number",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,44666.0,IEC 216-A0Z1,Literacy and Language in IECE,3,1,1,1,1,83,1.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,44755.0,AGR 125-A0L1,16,3,4,1,1,11,10,2.0,43696.0,43814.0
NURSING,44737.0,NSG 213-A0L1,87,,7,7,3,69,95,2.0,43696.0,43814.0
WELDING,44493.0,WLD 220-A001,Welding Certification,2,2,35,31,79,113,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44568.0,BIO 139-A0ZL,29,,1,1,1,1,30,1.0,43696.0,43814.0
MATHEMATICS,44381.0,MAT 126-A0Z1,72,3,1,1,1,1,89,1.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44869.0,ELT 110-A0L5,53,,10,3,41,47,58,2.0,43696.0,43814.0
COMMUNICATIONS,44518.0,COM 287-A0Z1,Persuasive Speaking,3,1,1,1,1,44,1.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,45356.0,AGR 115-A001,Agriculture Maintenance,3,6,14,13,SE119,5,2.0,43696.0,43814.0
MUSIC,44582.0,MUS 192-A0E1,University Chorus,1,3,12,16,38,92,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44464.0,CMM 230-A001,Conversational Programming,6,10,24,11:10 AM,32,34,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44435.0,EET 264-A001,51,2,2,16,7,43,53,2.0,43696.0,43814.0
CIS,44627.0,CIT 180-A0Z1,Security Fundamentals,3,1,1,1,1,40,1.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44705.0,0,6,2,3,6,10,6,5,2.0,43696.0,43814.0
PSYCHOLOGY,44772.0,PSY 110-A0Z1,94,3,1,1,1,1,96,1.0,43696.0,43814.0
COMMUNICATIONS,44486.0,COM 181-A006,41,3,2,0,0,33,44,2.0,43696.0,43814.0
CHEMISTRY,45011.0,CHE 170-A0Z1,34,4,1,1,1,1,Mahajan,1.0,43696.0,43814.0
 ACCOUNTING ,45102.0,ACC 202-A0BY,1,3,0,0,0,0,0,0.0,43759.0,43814.0
COMMUNICATIONS,44483.0,COM 181-A003,41,3,0,19,23,34,45,2.0,43696.0,43814.0
HEALTHCARE FACILITIES LEADERSHIP,44530.0,HFL 110-A0Z1,Intro Healthcare Industry,2,1,1,1,1,80,1.0,43696.0,43814.0
ENGLISH,45080.0,ENG 100-A0H2,60,2,0,10,2:50 PM,53,7,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44458.0,CMM 134-A001,39,6,10,27,39,32,34,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44599.0,BIO 139-A0Y2,29,4,1,1,1,1,32,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,44670.0,MIT 224-A0Z1,Medical Practice Management,3,1,1,1,1,91,1.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44759.0,FYE 100-A004,64,1,1,1,1,4,5,2.0,43696.0,43814.0
MUSIC,44579.0,MUS 100-A001,82,3,0,5,24,38,92,2.0,43696.0,43814.0
WELDING,44962.0,WLD 227-A001,Shield Metal ArcWld Pipe Lab A,3,14,10:35 AM,10,81,115,2.0,43696.0,43814.0
PHILOSOPHY,44588.0,PHI 110-A001,90,3,2,5,24,54,99,2.0,43696.0,43814.0
PSYCHOLOGY,44683.0,PSY 110-A0E1,94,3,7,9,34,66,11,2.0,43696.0,43814.0
SPANISH LANGUAGE AND LITERATURE,44596.0,SPA 101-A001,103,4,0,3,20,54,7,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44860.0,FYE 100-A0Z2,64,1,1,1,1,1,78,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44946.0,BIO 137-A0EL,28,,6,11,16,21,31,2.0,43696.0,43814.0
MATHEMATICS,57276.0,MAT 150-A0H1,76,3,0,33,11:45 AM,23,88,2.0,43696.0,43814.0
OFFICE SYSTEMS TECHNOLOGY,44894.0,OST 160-A001,Records & Database Mgmt.,3,2,19,23,27,7,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44426.0,EET 275-A001,Electrical Motor Controls Lab,4,10,28,20,43,55,2.0,43696.0,43814.0
COMMUNICATIONS,44508.0,COM 252-A002,43,3,0,15,17,37,47,2.0,43696.0,43814.0
RADIOGRAPHY,45372.0,DMI 128-A0L1,99,,7,19,8,73,14,2.0,43696.0,43814.0
STATISTICS,44404.0,STA 220-A003,104,3,2,5,24,62,107,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,44521.0,AGR 125-A001,16,3,2,15,17,11,10,2.0,43696.0,43814.0
COOPERATIVE EDUCATION,44786.0,COED 198-A001,40,9-Jan,4,1,1,4,Miller,2.0,43696.0,43814.0
ENGLISH,44574.0,ENG 102-A0Z2,62,3,1,1,1,1,70,1.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44437.0,EET 264-A002,51,2,2,15,2,43,53,2.0,43696.0,43814.0
CIS,44617.0,CIT 105-A005,35,3,2,10,20,27,7,2.0,43696.0,43814.0
STATISTICS,44807.0,STA 220-A0Z1,104,3,1,1,1,1,107,1.0,43696.0,43814.0
RELIGIOUS STUDIES,54102.0,REL 121-A001,Introduction the New Testament,3,0,19,23,56,9,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,45368.0,BIO 137-A0L6,28,,7,22,29,21,28,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44459.0,CMM 134-A0L1,39,,10,28,3:10 PM,32,34,2.0,43696.0,43814.0
NURSING,44738.0,NSG 213-A0C1,87,,4,1,1,70,95,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44831.0,ELT 265-A0L3,57,,0,6:00 PM,6,50,42,2.0,43696.0,43814.0
ENGLISH,44861.0,ENG 101-A0HZ,61,3,1,1,1,1,66,1.0,43696.0,43814.0
ENGLISH,44539.0,ENG 101-A0ZH,61,3,1,1,1,1,67,1.0,43696.0,43814.0
CHEMISTRY,44611.0,CHE 145-A001,Intro General Chemistry Lab,1,3,10,30,26,35,2.0,43696.0,43814.0
COMMUNICATIONS,44482.0,COM 181-A002,41,3,0,0,0,34,45,2.0,43696.0,43814.0
NURSING,44732.0,NSG 220-A0C1,88,,4,1,1,70,96,2.0,43696.0,43814.0
ENGLISH,44543.0,ENG 101-A004,61,3,0,15,17,38,68,2.0,43696.0,43814.0
PSYCHOLOGY,44676.0,PSY 110-A001,94,3,0,0,0,72,101,2.0,43696.0,43814.0
THEATRE,44777.0,TA 195-A001,Special Projects Theatre Arts,0,4,1,1,4,11,2.0,43696.0,43814.0
PSYCHOLOGY,44680.0,PSY 110-A005,94,3,0,10,20,19,52,2.0,43696.0,43814.0
ENGLISH,44525.0,ENG 101-A0H3,61,3,2,0,0,53,65,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44888.0,BIO 139-A0L1,29,,5,22,29,22,28,2.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,44663.0,IEC 101-A0Z1,Orient to Early Childhood Ed,3,1,1,1,1,83,1.0,43696.0,43814.0
RADIOGRAPHY,45108.0,DMI 110-A0B2,Clinical Practicum I,1,4,1,1,4,14,2.0,43759.0,43814.0
AUTOMOTIVE TECHNOLOGY,55319.0,AUT 240-A001,14,3,6,0,9,10,7,2.0,43696.0,43814.0
ENGLISH,44576.0,ENG 161-A0Z1,Intro to Literature,3,1,1,1,1,68,1.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44868.0,ELT 110-A005,53,5,10,15,2,47,58,2.0,43696.0,43814.0
MATHEMATICS,44377.0,MAT 126-A001,72,3,0,5,24,61,86,2.0,43696.0,43814.0
ENGLISH,44523.0,ENG 101-A0H1,61,3,0,16,19,53,64,2.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,54059.0,IEC 102-A0Z1,Foundations/Early Childhood Ed,3,1,1,1,1,83,1.0,43696.0,43814.0
WELDING,44512.0,WLD 131-A001,Gas Tngstn Arc Weld Fillet Lab,3,0,36,9,81,112,2.0,43696.0,43814.0
OFFICE SYSTEMS TECHNOLOGY,44833.0,OST 210-A0Z1,Adv Word Proc Application,3,1,1,1,1,98,1.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,59920.0,ELT 260-A0L1,Robotic & Industrial Automation ,,2,3,41,48,59,2.0,43696.0,43814.0
MATHEMATICS,55584.0,MAT 126S-A0M1,73,2,0,31,32,63,89,2.0,43696.0,43814.0
MUSIC,44940.0,MUS 222-A001,83,3,2,19,23,38,92,2.0,43696.0,43814.0
ALLIED HEALTH,45018.0,AHS 115-A0Z2,19,3,1,1,1,1,15,1.0,43696.0,43814.0
INDUSTRIAL MANTIENENCE TECHNOLGOY,44472.0,IMT 150-A001,Maintaining Industrial Equip I,3,2,3,3,49,42,2.0,43696.0,43814.0
MATHEMATICS,45429.0,MAT 141-A0Z1,74,3,1,1,1,1,89,1.0,43696.0,43814.0
SOCIOLOGY,44697.0,SOC 101-A0Z1,102,3,1,1,1,1,106,1.0,43696.0,43814.0
ECONOMICS,44638.0,ECO 202-A001,50,3,0,5,24,41,19,2.0,43696.0,43814.0
ENGLISH,44562.0,ENG 102-A001,62,3,0,5,24,39,48,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,44667.0,MIT 104-A0Z1,Medical Insurance,3,1,1,1,1,43,1.0,43696.0,43751.0
FIRST YEAR EXPERIENCE,44578.0,FYE 100-A001,64,1,6,19,23,58,46,2.0,43696.0,43814.0
RELIGIOUS STUDIES,44592.0,REL 120-A0Z1,Introduction the Old Testament,3,1,1,1,1,71,1.0,43696.0,43814.0
PSYCHOLOGY,44677.0,PSY 110-A002,94,3,0,5,24,72,102,2.0,43696.0,43814.0
NUTRITION AND FOOD SCIENCE,44450.0,NFS 101-A0Z1,Human Nutrition & Wellness,3,1,1,1,1,Foster,1.0,43696.0,43814.0
COMMUNICATIONS,44487.0,COM 181-A007,41,3,2,5,24,35,47,2.0,43696.0,43814.0
ENGLISH,45081.0,ENG 100-A0H3,60,2,2,5,42,53,65,2.0,43696.0,43814.0
CHEMISTRY,44431.0,9,34,,7,5,9,17,35,2.0,43696.0,43814.0
CIS,44808.0,CIT 130-A0Z1,Productivity Software,3,1,1,1,1,7,1.0,43696.0,43814.0
WELDING,44514.0,WLD 151-A086,108,2,0,7,18,HCA100,12,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44440.0,EET 287-A0Y1,Program Logic Control II Lab,2,11,24,23,43,53,0.0,43696.0,43814.0
ENGLISH,44544.0,ENG 101-A005,61,3,0,10,20,55,69,2.0,43696.0,43814.0
WELDING,44504.0,WLD 140-A001,Gas Metal Arc Welding,2,2,10:20 AM,4,58,110,2.0,43696.0,43814.0
ALLIED HEALTH,44609.0,AHS 115-A0Z1,19,3,1,1,1,1,14,1.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44418.0,15,55,,2,5,36,47,54,2.0,43696.0,43814.0
RELIGIOUS STUDIES,51390.0,REL 130-A002,101,3,2,19,23,56,Ramisch,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44413.0,ELT 110-A002,53,5,10,15,2,46,56,2.0,43696.0,43814.0
ENGLISH,45083.0,ENG 100-A0ZH,60,2,1,1,1,1,67,1.0,43696.0,43814.0
PSYCHOLOGY,44692.0,PSY 298-A0Z1,Essentials Abnormal Psychology,3,1,1,1,1,96,1.0,43696.0,43814.0
MUSIC,44586.0,MUP 102-A001,Voice,0,4,1,1,HUMH0131,92,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44439.0,EET 286-A0Y1,Program Logic Controllers II,2,4,1,1,1,53,0.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,45359.0,AGR 205-A001,Forage Management,3,4,1,1,4,11,2.0,43696.0,43814.0
DIESEL TECHNOLOGY,44982.0,13,47,,5,0,10,9,6,2.0,43696.0,43814.0
CIS,44623.0,CIT 111-A001,36,4,0,15,35,29,38,2.0,43696.0,43814.0
SURGICAL TECHNOLOGY,45099.0,SUR 103-A0B1,Surgical Tech Supplement Lab,1,13,7,3,75,108,2.0,43696.0,43751.0
ASTRONOMY,44912.0,AST 191-A0YE,The Solar System,3,3,9,25,12,18,0.0,43696.0,43814.0
WELDING,44491.0,WLD 170-A001,Blueprint Reading for Welding,2,10,9:50 AM,9,79,113,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,55312.0,7,15,2,7,0,10,10,7,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,44978.0,MIT 205-A0Z1,Advanced Medical Coding,3,1,1,1,1,91,1.0,43696.0,43814.0
VETERINARY TECHNOLOGY,44466.0,VET 220-A001,Parasitology and Clinical Lab,5,10,16,31,DT23,15,2.0,43696.0,43814.0
ENGLISH,45048.0,ENG 101-A014,61,3,2,19,23,55,68,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44853.0,ACR 101-A0E1,3,2,0,0.763888889,0.833333333,3,3,2.0,43696.0,43814.0
ENGLISH,44524.0,ENG 101-A0H2,61,3,0,15,17,53,11,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,55240.0,ADX 260-A001,10,3,3,0,9,10,7,2.0,43696.0,43814.0
WELDING,44503.0,23,Shield Metal ArcWld Fillet Lab,3,10,12:40 PM,41,78,110,2.0,43696.0,43814.0
MATHEMATICS,45430.0,MAT 141S-A0M1,Coreq Remediation for Math,1,2,33,0.465277778,63,89,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44556.0,BIO 137-A0L1,28,,3,19,8,22,29,2.0,43696.0,43814.0
PSYCHOLOGY,44689.0,PSY 223-A0Z1,96,3,1,1,1,1,101,1.0,43696.0,43814.0
THEATRE,46359.0,THA 260-A001,Stagecraft,3,0,10,20,HUMH0112,11,2.0,43696.0,43814.0
MUSIC,44584.0,MUS 222-A0Z1,83,3,1,1,1,1,92,1.0,43696.0,43814.0
HISTORY,44659.0,HIS 240-A0Z1,History of Kentucky,3,1,1,1,1,78,1.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44412.0,ELT 110-A0L1,53,,10,5,36,46,56,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44918.0,BIO 137-A002,28,4,0,21,22,18,30,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44898.0,FYE 100-A006,64,1,6,19,23,39,76,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44461.0,CMM 298-A001,40,1,4,1,1,4,34,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44770.0,FYE 100-A016,64,1,5,19,23,59,Thomas,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44640.0,BIO 151-A001,Principles of Biology Lab I,2,0,15,14,24,24,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44930.0,ADX 170-A002,8,3,8,7,2:15 PM,8,6,2.0,43696.0,43814.0
CIS,44616.0,CIT 105-A004,35,3,2,5,24,27,7,2.0,43696.0,43814.0
CARDIOPULMONARY RESUSCITATION,45051.0,CPR 100-A001,CPR Healthcare Professionals,1,4,1,1,4,49,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44715.0,8,15,2,6,9,6,6,8,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44914.0,BIO 135-A0Y1,27,4,1,1,1,1,28,0.0,43696.0,43814.0
COMMUNICATIONS,44499.0,COM 184-A001,42,1,1,1,1,36,44,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44884.0,CMM 124-A001,Applied Machining,6,10,24,31,ATC213,42,2.0,43696.0,43814.0
MATHEMATICS,44399.0,MAT 150-A0Z1,76,3,1,1,1,1,86,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44608.0,BIO 135-A0ZL,27,,1,1,1,1,23,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44923.0,BIO 150-A001,Principles of Biology I,3,0,23,30,24,24,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44463.0,CMM 214-A001,Industrial Machining,6,10,27,3:20 PM,31,41,2.0,43696.0,43814.0
SOCIOLOGY,44693.0,SOC 101-A001,102,3,0,5,24,71,106,2.0,43696.0,43814.0
DIESEL TECHNOLOGY,44982.0,13,47,2,3,6,10,9,6,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44449.0,BIO 225-A0L2,31,,2,25,17,25,33,2.0,43696.0,43814.0
ENGLISH,44557.0,ENG 101-A011,61,3,2,15,17,37,67,2.0,43696.0,43814.0
WELDING,44495.0,WLD 133-A001,Gas Tungsten Arc Wld GrooveLab,3,0,15,11,81,113,2.0,43696.0,43814.0
HEALTHCARE FACILITIES LEADERSHIP,44886.0,HFL 240-A0Z1,Maintenance and Operations II,3,1,1,1,1,80,1.0,43696.0,43814.0
COOPERATIVE EDUCATION,44630.0,COE 199-A001,Cooperative Education,8-Jan,1,1,1,4,43,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44433.0,BIO 112-A002,24,3,0,10,20,18,23,2.0,43696.0,43814.0
WELDING,44490.0,WLD 171-A001,Blueprint Reading/Welding Lab,3,10,7:45 AM,19,80,113,2.0,43696.0,43814.0
VETERINARY TECHNOLOGY,44468.0,VET 110-A001,Intro to Veterinary Tech,5,0,24,22,77,13,2.0,43696.0,43814.0
CRIMINAL JUSTICE,60706.0,11,45,3,,1,,1,Sims,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44430.0,ELT 114-A0L1,54,,10,3,41,48,53,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,45026.0,BIO 139-A0L2,29,,7,6,26,22,31,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,44669.0,MIT 217-A0Z1,79,3,1,1,1,1,43,1.0,43759.0,43814.0
RADIOGRAPHY,44970.0,DMI 102-A001,Med Term for Radiographers,1,M-F,26,10,73,14,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44606.0,BIO 137-A0L3,28,,3,5,27,21,30,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44549.0,BIO 113-A0Z1,25,1,1,1,1,1,25,1.0,43696.0,43814.0
NURSING ASSISTANT,44702.0,NAA 100-A0Y1,84,3,6,16,31,65,93,0.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44717.0,6,13,2,6,13,16,6,8,2.0,43696.0,43814.0
MATHEMATICS,44396.0,MAT 150-A003,76,3,0,19,23,61,89,2.0,43696.0,43814.0
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,46368.0,EMS 235-A003,59,2,3,15,12,52,62,2.0,43696.0,43814.0
DIESEL TECHNOLOGY,44897.0,14,48,,7,0,10,9,6,2.0,43696.0,43814.0
CIS,45393.0,CIT 111-A003,36,4,2,15,35,29,38,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,47227.0,EET 127-A0Z1,Electrical Technology Capstone,1,1,1,1,1,53,1.0,43696.0,43814.0
NURSING,44742.0,NSG 225-A001,Pharmacology II,1,5,25,22,67,97,2.0,43696.0,43814.0
SOCIOLOGY,44694.0,SOC 101-A002,102,3,0,19,23,71,106,2.0,43696.0,43814.0
RADIOGRAPHY,45373.0,DMI 214-A001,100,4,6,21,43,73,14,2.0,43696.0,43814.0
HEALTHCARE FACILITIES LEADERSHIP,44813.0,HFL 270-A0Z1,Helthcre Fac Ledrship Cap II,3,1,1,1,1,80,1.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44878.0,FYE 100-A0Z3,64,1,1,1,1,1,26,1.0,43696.0,43814.0
HISTORY,44979.0,HIS 105-A0Z1,66,3,1,1,1,1,81,1.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44445.0,ELT 265-A001,57,3,0,15,2,49,42,2.0,43696.0,43814.0
MATHEMATICS,44863.0,MAT 126-A0H1,72,3,2,19,23,23,88,2.0,43696.0,43814.0
MATHEMATICS,45061.0,MAT 126-A002,72,3,2,0,0,62,87,2.0,43696.0,43814.0
HEALTHCARE FACILITIES LEADERSHIP,44535.0,HFL 260-A0Z1,Healthcare Fac Leadrshp Cap I,3,1,1,1,1,80,1.0,43696.0,43814.0
WELDING,45005.0,WLD 152-A0EL,109,5,1,1,1,4,12,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44447.0,BIO 225-A001,31,4,2,6,31,17,33,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,55363.0,4,13,2,7,7,11,6,7,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44919.0,BIO 137-A0L4,28,,5,5,27,21,30,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44784.0,BIO 118-A0Z1,Microbes and Society,3,1,1,1,1,28,1.0,43696.0,43814.0
NURSING,44722.0,NSG 101-A0C1,85,,4,1,1,4,Ebelhar,2.0,43696.0,43814.0
POLITICAL SCIENCE,44674.0,POL 101-A001,92,3,0,15,17,41,77,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44416.0,ELT 110-A0L6,53,,0,11,8:30 PM,46,56,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,55312.0,7,15,2,6,6,10,10,7,2.0,43696.0,43814.0
RADIOGRAPHY,45369.0,DMI 222-A001,Image Analysis,2,6,26,4,73,104,2.0,43696.0,43814.0
COMMUNICATIONS,44484.0,COM 181-A004,41,3,0,15,17,35,46,2.0,43696.0,43814.0
EDUCATION,44641.0,EDP 202-A001,Human Development & Learning,3,0,5,24,42,52,2.0,43696.0,43814.0
