# OF Trades,Index,DATE,HOME,0,AWAY,Market,EXP Y/N,Score,Open BACK ODDS,SUCCESS,WON B/L,Goals (minutes)
1,38,41740,M.DONETSK,0,SEVASTOPOL,0,0,11,1.97,0,0,"36, 16, 18"
1,39,41740,ISTRES,0,CAEN,0,0,14,2.05,0,0,"63, 22, 25"
1,40,41740,TOURS,0,7,0,0,1,1.75,0,0,"92, 15, 86"
1,41,41740,SCHALKE,0,EIN. FRANKFURT,0,1,8,1.57,1,1,"91, 59"
1,43,41741,HANNOVER,0,HAMBURG,0,0,6,1.97,0,0,26
1,47,41741,4,0,COVENTRY,0,1,4,1.82,1,1,6
1,48,41741,NACIONAL,0,MARITIMO,0,1,8,2.12,1,1,7
1,49,41741,ZENIT,0,9,0,0,1-Apr,1.76,0,0,"52, 21, 81"
1,50,41741,GORNIK,0,LECH POZNAN,0,0,5,1.99,0,0,"51, 31"
1,51,41741,AC WOLFSBERGER,0,GRODIG,0,0,1,1.64,0,0,"89, 93"
1,52,41741,SABADELL,0,GIJON,0,1,8,1.83,1,1,"89, 85"
1,53,41742,LOCOMOTIV,0,ANZHI,0,1,13,2.14,1,1,0
1,54,41742,BETIS,0,SEVILLA,0,1,15,1.86,1,1,30
1,55,41742,LYNGBY,0,HVIDORE,0,0,9,1.92,0,0,"34, 59, 85, 76"
1,57,41742,PLZEN,0,JIHLAVA,0,1,7,1.76,1,1,46
1,58,41742,FC PORTO,0,OLIVEIRENSE,0,0,1,1.98,0,0,"68, 64, 29"
1,63,41743,PANDURII,0,NAVODARI,0,1,13,2.14,1,1,0
1,64,41743,ESTORIL,0,FERREIRA,0,1,4,2.44,1,1,41
1,65,41744,RIJEKA,0,ZADAR,0,0,11,1.67,0,0,"70, 16, 25"
1,70,41746,HVIDORE,0,FREDERICA,0,0,6,2.06,0,0,"37, 9"
1,71,41746,MARIENLYST,0,LYNGBY,0,0,5,1.6,0,0,"82, 88"
1,72,41746,AUE,0,DRESDEN,0,1,8,2.14,0,1,19
1,73,41746,FRANKFURT,0,HANNOVER,0,0,14,1.74,0,0,"13, 68, 29, 2, 20"
1,74,41747,BRISTOL CITY,0,NOTTS COUNTRY,0,0,6,1.8,0,0,"13, 86"
1,75,41747,2,0,TRANMERE,0,1,8,1.82,1,1,"93, 78"
1,77,41747,TROYES,0,7,0,0,5,1.68,0,0,"20, 70"
1,78,41748,TOTTENHAM,0,FULHAM,0,0,3,1.7,0,0,48
1,79,41748,AC MILAN,0,4,0,0,11,1.65,0,0,"84, 43"
1,80,41748,BRAUNSCHWEIG,0,1,0,1,15,1.47,1,1,"86, 75"
1,85,41748,CHELSEA,0,SUNDERLAND,0,0,1,1.7,0,0,"80, 11, 18"
1,86,41748,1,0,WOLFSBERG,0,0,12,1.7,0,0,"42, 58, 49"
1,88,41749,0,0,GREUTHER FURTH,0,0,0,2.12,0,0,"59, 74"
1,89,41749,DYNAMO MOSCOW,0,9,0,0,1,2.06,0,0,"81, 27"
1,90,41749,HORSENS,0,AB,0,1,13,1.75,1,1,0
1,93,41749,STUTTGART,0,2,0,0,3,1.76,0,0,"69, 54, 59, 23"
1,95,41750,BIRMINGHAM,0,BLACKBURN,0,0,4-Feb,1.82,0,0,"84, 48, 20, 10"
1,96,41750,ROTHERHAM,0,8,0,1,4,1.75,1,1,79
1,97,41750,HAJDUK SPLIT,0,6,0,0,0,1.79,0,0,"31, 56, 52"
1,98,41750,ATHLONE,0,DUNDALK,0,1,2,1.6,1,1,94
1,99,41750,ANTALYASPOR,0,SILVASSPOR,0,0,1,1.9,0,0,"84, 67"
2,42,41741,GREUTHER FURTH,0,AUE,0,0,6,1.79,0,0,"58, 17, 38"
2,45,41741,KARPARTY,0,DINAMO KIEV,0,0,0,2.02,0,0,"58, 32, 73, 48"
2,56,41742,LIVERPOOL,0,MAN CITY,1,0,9,2.48,0,0,"26, 57, 6, 78, 62"
2,59,41742,OLYMPIAKOS,0,APOLLON SMIRNIS,0,1,4,1.63,1,1,88
2,60,41743,FC BRNO,0,SIGMA OLOMOUC,0,1,8,2.18,1,1,94
2,61,41743,V. NOVGOROD,0,DINAMO MOSCOW,0,0,16,2.0,0,0,"84, 74, 53"
2,62,41743,ELAZIGSPOR,0,GAZIANTEPSPOR,0,0,6,2.04,0,0,"83, 34, 90"
2,69,41745,VIBORG,0,AALBORG,0,1,15,1.74,0,1,"49, 59"
2,94,41750,DEN BOSCH,0,0,1,1,7,2.16,1,1,"39, 70"
3,68,41745,GRASSHOPPER,0,3,0,0,16,1.86,0,0,"45, 27, 6"
3,100,41751,DINAMO ZAGREB,0,HRVATSKI DRAGOVOLJAC,0,0,10,1.47,0,0,"90, 50, 64, 62, 28"
