North Carolina,Colorado,New Mexico,Mississippi,Massachusetts,Illinois,Tennessee,Michigan,Arizona,Wyoming,Kansas,Vermont,Nevada,Montana,New Jersey,Georgia,California,Oregon,Alaska,Arkansas,Delaware,Maryland,Minnesota,Idaho,South Dakota,South Carolina,Florida,West Virginia,Maine,Iowa,Hawaii,Washington,Texas,New Hampshire,Ohio,Virginia,Oklahoma,Louisiana,Utah,North Dakota,Indiana,Connecticut,Alabama,Rhode Island
51.40%,49.70%,50.50%,51.50%,51.50%,50.90%,51.20%,50.80%,50.30%,48.90%,50.20%,50.60%,49.90%,49.70%,51.20%,51.30%,50.30%,50.50%,47.70%,50.90%,51.60%,51.60%,50.20%,49.90%,49.60%,51.50%,51.10%,50.50%,51.00%,50.30%,49.80%,50.00%,50.40%,50.50%,51.00%,50.80%,50.50%,51.10%,49.70%,48.70%,50.70%,51.20%,51.60%,51.40%
51.30%,49.90%,50.60%,51.40%,51.60%,51.00%,51.30%,50.90%,50.30%,49.00%,50.40%,50.70%,49.50%,49.80%,51.30%,51.20%,50.30%,50.50%,48.00%,50.90%,51.60%,51.60%,50.40%,49.90%,50.00%,51.40%,51.10%,50.70%,51.10%,50.50%,49.90%,50.20%,50.40%,50.70%,51.20%,50.90%,50.50%,51.00%,49.80%,49.50%,50.80%,51.30%,51.50%,51.70%
71.00%,87.50%,82.60%,59.30%,81.80%,77.20%,78.70%,79.60%,83.30%,92.80%,86.60%,94.60%,75.10%,89.20%,72.40%,61.20%,72.70%,87.40%,66.10%,79.40%,70.10%,59.30%,85.00%,93.30%,85.20%,68.50%,77.60%,93.60%,94.80%,91.40%,25.80%,80.00%,79.40%,93.80%,82.50%,70.00%,74.60%,63.20%,91.10%,87.90%,85.60%,80.60%,69.30%,84.40%
22.20%,4.50%,2.50%,37.70%,8.60%,14.70%,17.10%,14.20%,4.90%,1.30%,6.20%,1.30%,9.60%,0.60%,15.00%,32.00%,6.50%,2.10%,3.80%,15.70%,22.60%,30.70%,6.20%,0.80%,2.00%,27.50%,16.80%,3.60%,1.50%,3.70%,2.20%,4.10%,12.60%,1.50%,12.80%,19.80%,7.80%,32.60%,1.40%,2.90%,9.70%,11.80%,26.80%,8.10%
1.60%,1.60%,10.60%,0.60%,0.50%,0.60%,0.40%,0.70%,5.40%,2.70%,1.20%,0.40%,1.60%,6.60%,0.60%,0.50%,1.70%,1.80%,15.20%,1.00%,0.60%,0.60%,1.30%,1.80%,9.00%,0.50%,0.50%,0.20%,0.70%,0.50%,0.40%,1.90%,1.00%,0.30%,0.30%,0.50%,9.20%,0.80%,1.60%,5.50%,0.40%,0.50%,0.70%,1.00%
2.90%,3.30%,1.70%,1.10%,6.70%,5.50%,1.80%,3.10%,3.40%,1.00%,3.00%,1.80%,8.70%,0.80%,9.80%,4.10%,14.80%,4.50%,6.30%,1.60%,4.00%,6.60%,4.90%,1.50%,1.50%,1.60%,2.90%,0.80%,1.20%,2.50%,37.70%,8.60%,4.80%,2.70%,2.20%,6.60%,2.20%,1.80%,2.50%,1.50%,2.20%,4.70%,1.40%,3.60%
0.10%,0.20%,0.20%,0.10%,0.10%,0.10%,0.10%,Z,0.30%,0.10%,0.10%,Z,0.80%,0.10%,0.10%,0.10%,0.50%,0.40%,1.30%,0.30%,0.10%,0.10%,0.10%,0.20%,0.10%,0.10%,0.10%,Z,Z,0.10%,10.20%,0.80%,0.10%,0.10%,0.10%,0.10%,0.20%,0.10%,1.00%,0.10%,0.10%,0.10%,0.10%,0.20%
2.20%,3.00%,2.50%,1.20%,2.30%,1.90%,1.90%,2.40%,2.80%,2.10%,2.90%,1.90%,4.20%,2.70%,2.20%,2.10%,3.80%,3.80%,7.30%,2.00%,2.60%,2.80%,2.40%,2.40%,2.30%,1.80%,2.10%,1.70%,1.70%,1.80%,23.70%,4.60%,1.90%,1.70%,2.20%,2.90%,6.10%,1.60%,2.50%,2.10%,2.00%,2.30%,1.60%,2.70%
9.20%,21.30%,48.50%,3.10%,11.50%,17.00%,5.20%,5.00%,30.90%,10.00%,11.60%,1.90%,28.50%,3.60%,20.00%,9.40%,38.90%,12.80%,7.00%,7.30%,9.20%,9.80%,5.20%,12.30%,3.70%,5.50%,24.90%,1.50%,1.60%,5.80%,10.40%,12.40%,39.10%,3.50%,3.70%,9.10%,10.30%,5.00%,13.80%,3.60%,6.80%,15.70%,4.20%,14.90%
63.50%,68.60%,38.10%,56.90%,73.00%,61.70%,74.20%,75.40%,55.50%,84.10%,76.30%,93.10%,49.90%,86.50%,55.80%,53.40%,37.70%,76.40%,61.20%,72.90%,62.90%,51.50%,80.60%,82.40%,82.50%,63.90%,54.90%,92.30%,93.50%,86.20%,22.10%,69.50%,42.60%,90.80%,79.50%,62.40%,66.20%,59.00%,78.80%,85.00%,79.60%,67.70%,65.80%,73.30%
"696,119","391,725","164,157","184,774","355,083","668,933","462,414","626,722","505,794","48,505","198,396","44,708","220,332","90,000","393,277","670,617","1,777,410","306,723","69,323","220,953","71,213","403,900","342,388","119,711","63,742","378,959","1,507,738","150,021","119,058","211,066","110,238","564,864","1,539,655","106,827","806,531","706,539","295,847","281,989","134,332","51,179","426,493","199,331","363,170","66,076"
7.70%,9.80%,9.80%,2.30%,15.50%,14.00%,4.80%,6.30%,13.50%,3.60%,6.90%,4.30%,19.20%,2.10%,21.70%,9.80%,27.00%,9.90%,7.40%,4.70%,8.70%,14.50%,7.70%,6.10%,3.00%,4.80%,19.70%,1.50%,3.50%,4.70%,17.70%,13.40%,16.60%,5.70%,4.10%,11.70%,5.80%,4.00%,8.40%,3.20%,4.80%,13.90%,3.50%,13.30%
"4,540,498","2,339,118","917,568","1,307,441","2,858,026","5,326,970","2,919,671","4,560,055","2,961,003","270,600","1,259,864","329,525","1,221,698","497,756","3,604,409","4,218,776","14,060,525","1,732,786","310,658","1,354,762","426,149","2,447,127","2,409,935","700,825","383,838","2,236,153","9,301,642","886,640","730,705","1,380,162","537,114","3,025,685","10,753,629","625,307","5,164,361","3,491,054","1,721,045","2,036,975","1,054,164","368,624","2,854,546","1,499,116","2,230,185","462,589"
"4,327,528","2,212,898","901,388","1,274,719","2,808,254","5,296,715","2,812,133","4,532,233","2,844,526","261,868","1,233,215","322,539","1,173,814","482,825","3,553,562","4,088,801","13,680,081","1,675,562","306,967","1,316,299","405,885","2,378,814","2,347,201","667,796","363,438","2,137,683","8,989,580","881,917","721,830","1,336,417","519,508","2,885,677","9,977,436","614,754","5,127,508","3,364,939","1,664,378","1,964,981","979,709","317,498","2,795,541","1,487,891","2,171,853","463,388"
65.10%,64.30%,68.10%,68.40%,62.10%,66.40%,66.80%,71.00%,62.80%,69.10%,66.70%,71.00%,55.10%,67.20%,64.50%,63.30%,54.30%,61.30%,63.40%,66.10%,71.20%,66.80%,71.70%,68.90%,68.10%,68.60%,65.30%,72.50%,71.20%,71.50%,56.90%,62.50%,62.20%,71.00%,66.30%,66.20%,66.10%,65.80%,69.50%,64.10%,69.00%,67.00%,68.70%,60.10%
"$154,900 ","$247,800 ","$160,300 ","$103,100 ","$333,100 ","$173,800 ","$142,100 ","$122,400 ","$167,500 ","$194,800 ","$132,000 ","$217,500 ","$173,700 ","$193,500 ","$315,900 ","$148,100 ","$385,500 ","$237,300 ","$250,000 ","$111,400 ","$231,500 ","$286,900 ","$186,200 ","$162,900 ","$140,500 ","$139,900 ","$159,000 ","$103,800 ","$173,800 ","$129,200 ","$515,300 ","$259,500 ","$136,000 ","$237,300 ","$129,900 ","$245,000 ","$117,900 ","$144,100 ","$215,900 ","$153,800 ","$124,200 ","$270,500 ","$125,500 ","$238,000 "
"$1,248 ","$1,577 ","$1,227 ","$1,077 ","$2,063 ","$1,636 ","$1,181 ","$1,257 ","$1,343 ","$1,348 ","$1,282 ","$1,535 ","$1,442 ","$1,294 ","$2,386 ","$1,346 ","$2,155 ","$1,557 ","$1,827 ","$1,019 ","$1,537 ","$1,951 ","$1,490 ","$1,189 ","$1,210 ","$1,183 ","$1,435 ",$966 ,"$1,336 ","$1,171 ","$2,270 ","$1,731 ","$1,432 ","$1,870 ","$1,246 ","$1,711 ","$1,147 ","$1,200 ","$1,428 ","$1,243 ","$1,102 ","$2,067 ","$1,139 ","$1,815 "
$373 ,$419 ,$327 ,$341 ,$717 ,$574 ,$359 ,$461 ,$380 ,$386 ,$455 ,$641 ,$410 ,$387 ,$973 ,$392 ,$500 ,$469 ,$554 ,$327 ,$445 ,$582 ,$479 ,$340 ,$433 ,$347 ,$463 ,$293 ,$477 ,$434 ,$505 ,$511 ,$460 ,$747 ,$444 ,$433 ,$370 ,$317 ,$388 ,$423 ,$378 ,$833 ,$345 ,$682 
$797 ,"$1,002 ",$777 ,$717 ,"$1,102 ",$907 ,$764 ,$783 ,$913 ,$789 ,$757 ,$895 ,$973 ,$711 ,"$1,192 ",$879 ,"$1,255 ",$907 ,"$1,146 ",$677 ,"$1,018 ","$1,230 ",$848 ,$743 ,$655 ,$790 ,"$1,002 ",$643 ,$777 ,$697 ,"$1,438 ","$1,014 ",$882 ,"$1,000 ",$730 ,"$1,116 ",$727 ,$788 ,$887 ,$709 ,$745 ,"$1,075 ",$717 ,$925 
"60,550","38,974","4,863","6,886","16,288","22,603","36,157","20,408","35,578","1,727","9,807","1,771","17,952","4,781","26,793","51,675","102,350","19,586","1,503","9,474","5,804","17,044","21,449","12,165","5,686","32,165","116,240","2,544","4,010","14,317","3,369","44,077","165,853","3,796","22,816","31,132","12,092","14,503","22,662","3,981","18,713","5,504","15,001","1,226"
"3,775,581","2,024,468","763,603","1,096,593","2,549,721","4,786,388","2,504,556","3,841,148","2,412,212","226,865","1,113,472","257,167","1,016,709","409,394","3,189,486","3,574,362","12,717,801","1,533,430","250,969","1,138,025","344,022","2,166,389","2,124,745","589,320","330,858","1,815,094","7,300,494","740,890","553,284","1,236,409","450,572","2,668,912","9,149,196","520,251","4,585,084","3,062,783","1,455,321","1,727,919","906,292","299,638","2,501,937","1,352,583","1,848,325","410,602"
2.54,2.55,2.67,2.64,2.53,2.63,2.53,2.52,2.69,2.49,2.53,2.34,2.72,2.41,2.73,2.73,2.96,2.51,2.81,2.53,2.62,2.67,2.49,2.69,2.45,2.56,2.63,2.43,2.34,2.42,3.02,2.56,2.84,2.47,2.46,2.62,2.57,2.6,3.15,2.32,2.55,2.57,2.55,2.46
84.70%,80.80%,85.70%,86.10%,87.10%,86.80%,84.70%,85.30%,81.30%,81.90%,83.50%,86.50%,78.80%,83.60%,90.20%,84.00%,85.20%,81.90%,80.90%,83.90%,86.60%,86.60%,85.50%,82.40%,83.40%,84.70%,83.80%,88.20%,85.90%,84.80%,85.10%,82.50%,83.30%,86.50%,85.30%,84.40%,82.60%,86.30%,82.90%,82.20%,85.00%,87.80%,85.30%,86.60%
11.20%,16.90%,35.70%,3.90%,22.50%,22.70%,6.90%,9.20%,26.90%,7.10%,11.30%,5.40%,30.00%,4.10%,30.50%,13.60%,43.90%,15.10%,16.20%,7.20%,12.90%,17.20%,11.00%,10.60%,6.50%,6.90%,28.10%,2.50%,6.60%,7.40%,25.20%,18.90%,35.00%,7.90%,6.70%,15.40%,9.80%,8.50%,14.70%,5.60%,8.30%,21.90%,5.20%,21.40%
85.80%,90.70%,84.20%,82.30%,89.80%,87.90%,85.50%,89.60%,86.00%,92.30%,90.20%,91.80%,85.10%,92.80%,88.60%,85.40%,81.80%,89.80%,92.10%,84.80%,88.40%,89.40%,92.40%,89.50%,90.90%,85.60%,86.90%,85.00%,91.60%,91.50%,91.00%,90.40%,81.90%,92.30%,89.10%,88.30%,86.90%,83.40%,91.20%,91.70%,87.80%,89.90%,84.30%,86.20%
28.40%,38.10%,26.30%,20.70%,40.50%,32.30%,24.90%,26.90%,27.50%,25.70%,31.00%,36.00%,23.00%,29.50%,36.80%,28.80%,31.40%,30.80%,28.00%,21.10%,30.00%,37.90%,33.70%,25.90%,27.00%,25.80%,27.30%,19.20%,29.00%,26.70%,30.80%,32.90%,27.60%,34.90%,26.10%,36.30%,24.10%,22.50%,31.10%,27.70%,24.10%,37.60%,23.50%,31.90%
9.60%,7.20%,10.10%,11.90%,7.90%,7.10%,11.20%,10.30%,8.20%,8.50%,8.60%,10.00%,9.00%,9.10%,6.60%,8.80%,6.80%,10.20%,8.10%,12.30%,8.50%,7.10%,7.10%,9.00%,8.40%,10.30%,8.50%,14.40%,11.90%,7.90%,6.50%,8.90%,8.10%,8.50%,9.90%,7.70%,11.30%,11.00%,6.60%,6.80%,9.70%,7.10%,11.80%,8.90%
12.20%,8.60%,10.80%,13.90%,2.90%,7.40%,10.60%,6.30%,11.90%,13.40%,10.10%,4.50%,13.10%,9.80%,9.20%,14.80%,8.30%,7.30%,15.50%,9.30%,6.60%,7.00%,4.80%,11.80%,10.30%,11.90%,15.30%,6.50%,9.90%,5.00%,4.20%,6.90%,18.60%,7.10%,6.60%,10.10%,16.10%,11.90%,9.70%,8.10%,9.40%,5.70%,10.70%,5.10%
61.80%,67.60%,59.10%,57.50%,67.50%,65.60%,61.00%,61.20%,59.30%,67.70%,66.30%,66.60%,64.00%,63.60%,65.90%,62.30%,63.10%,62.10%,67.70%,58.50%,63.10%,67.90%,70.00%,62.60%,68.60%,60.10%,58.80%,53.90%,63.40%,67.60%,61.50%,63.50%,64.30%,68.20%,63.30%,64.70%,61.10%,60.40%,67.70%,69.30%,63.90%,67.20%,58.00%,65.50%
57.70%,62.60%,54.90%,53.70%,63.40%,60.70%,56.30%,57.10%,54.50%,62.70%,61.60%,63.60%,59.30%,59.50%,60.60%,57.90%,57.20%,57.60%,65.00%,53.30%,59.40%,64.10%,66.20%,56.80%,64.60%,56.20%,54.70%,49.20%,59.90%,63.30%,58.80%,58.50%,57.70%,63.80%,59.00%,60.80%,55.70%,56.00%,59.50%,65.00%,59.00%,62.80%,53.00%,61.60%
"18,622,258","13,617,654","4,349,672","6,999,175","17,508,975","27,937,381","12,499,013","17,962,356","13,996,635","1,644,844","4,873,411","1,564,272","27,481,505","2,420,455","19,673,558","18,976,611","90,830,372","8,466,788","2,221,335","4,307,264","2,148,437","12,516,782","11,722,627","2,680,225","1,873,699","9,763,818","49,817,925","4,036,333","2,901,347","5,468,687","9,536,706","14,297,278","54,480,811","2,942,278","20,652,777","17,795,901","7,121,153","11,697,949","4,789,281","2,045,123","13,076,602","9,542,068","7,576,462","2,481,314"
"55,227,505","29,488,161","11,236,630","16,630,587","63,583,090","83,431,778","42,383,683","63,018,786","37,055,881","3,291,478","18,248,370","4,457,996","13,928,514","6,469,475","60,375,232","51,800,643","248,953,592","24,956,816","6,375,483","15,792,628","7,003,251","40,821,901","40,403,572","7,895,614","6,211,731","22,941,292","124,061,425","12,259,395","10,297,043","18,583,828","8,136,947","43,966,889","145,035,130","9,616,460","80,915,693","47,705,003","22,795,438","27,951,792","14,521,857","5,418,355","42,493,117","29,573,119","26,039,632","8,223,005"
"202,344,646","50,447,098","29,102,352","66,441,608","81,927,799","281,037,755","139,960,482","238,892,383","51,243,473","10,783,794","86,076,260","9,315,494","14,719,141","11,535,236","108,854,971","155,836,792","512,303,164","51,349,948",D,"62,712,925","22,597,384","39,532,989","123,076,309","20,201,432","16,882,647","99,160,840","96,924,106","24,553,072","16,044,543","116,668,830",D,"131,530,601","702,603,073","18,895,624","313,629,976","96,389,872","74,295,394","271,191,050","50,046,429","14,427,360","242,763,842","55,160,095","124,809,759","11,262,158"
"105,275,586","77,034,971","10,720,363","28,302,952","123,904,370","295,456,992","111,718,421","115,704,903","69,437,272","5,597,891","60,226,324","6,450,076","19,841,701","12,645,824","288,467,844","143,645,290","666,652,186","48,325,261","5,216,303","31,256,110","5,628,914","60,734,191","104,485,117","17,906,012","20,411,059","45,520,900","252,626,608","14,295,437","12,961,262","62,318,301","9,607,982","83,313,366","691,242,607","18,029,179","155,426,023","86,613,641","71,892,946","68,012,838","30,927,885","28,150,837","81,173,422","161,962,244","57,746,565","22,310,389"
"120,691,007","67,815,200","25,179,274","37,053,190","92,915,380","166,634,514","91,641,605","119,302,046","84,716,542","9,446,043","38,276,461","9,933,751","38,234,170","15,623,573","133,665,728","119,801,495","481,800,461","49,481,054","10,474,275","36,815,256","14,456,001","76,379,707","78,898,182","20,444,278","13,791,827","58,093,824","273,867,145","22,637,923","21,521,714","44,905,624","18,901,745","118,924,049","356,116,376","26,018,201","153,553,997","110,002,385","50,256,231","61,396,364","38,024,486","15,519,816","85,857,962","51,632,467","58,564,965","12,063,865"
"$12,376 ","$13,073 ","$12,073 ","$12,413 ","$13,980 ","$12,942 ","$14,194 ","$12,071 ","$12,927 ","$16,388 ","$13,263 ","$15,868 ","$13,858 ","$15,544 ","$15,079 ","$12,077 ","$12,665 ","$12,690 ","$14,320 ","$12,483 ","$15,763 ","$12,980 ","$14,667 ","$12,812 ","$16,550 ","$12,298 ","$14,177 ","$12,201 ","$16,192 ","$14,607 ","$13,576 ","$17,243 ","$13,666 ","$19,700 ","$13,301 ","$13,438 ","$13,174 ","$13,342 ","$13,317 ","$22,183 ","$13,133 ","$14,381 ","$12,145 ","$11,486 "
23.9,24.8,21.6,24.1,28.7,28.4,24.5,24.2,24.8,18.3,19.1,22.5,23.9,18.1,31.0,27.4,28.0,22.9,19.0,21.6,25.5,32.3,23.1,20.2,16.9,23.9,26.4,25.6,23.6,18.9,26.8,26.3,25.6,26.9,23.2,27.9,21.3,25.1,21.6,17.2,23.3,25.4,24.4,24.2
"$46,868 ","$60,629 ","$44,963 ","$39,665 ","$68,563 ","$57,574 ","$45,219 ","$49,576 ","$50,255 ","$58,840 ","$52,205 ","$55,176 ","$51,847 ","$47,169 ","$72,093 ","$49,620 ","$61,818 ","$51,243 ","$72,515 ","$41,371 ","$60,509 ","$74,551 ","$61,492 ","$47,583 ","$50,957 ","$45,483 ","$47,507 ","$41,751 ","$49,331 ","$53,183 ","$69,515 ","$61,062 ","$53,207 ","$66,779 ","$49,429 ","$65,015 ","$46,879 ","$45,047 ","$60,727 ","$57,181 ","$49,255 ","$70,331 ","$43,623 ","$56,852 "
"$25,920 ","$32,217 ","$24,012 ","$21,057 ","$36,895 ","$30,494 ","$25,227 ","$26,607 ","$25,848 ","$29,803 ","$27,706 ","$29,894 ","$26,541 ","$26,381 ","$36,582 ","$25,737 ","$30,318 ","$27,684 ","$33,413 ","$22,798 ","$30,554 ","$36,897 ","$32,157 ","$23,399 ","$26,747 ","$24,604 ","$26,829 ","$23,450 ","$27,655 ","$27,950 ","$29,822 ","$31,762 ","$26,999 ","$34,362 ","$26,953 ","$34,152 ","$25,032 ","$24,981 ","$24,686 ","$32,035 ","$25,346 ","$38,803 ","$24,091 ","$31,118 "
15.40%,11.00%,19.80%,20.80%,10.40%,13.00%,15.80%,15.00%,16.40%,11.30%,12.10%,11.90%,13.80%,13.30%,10.40%,16.00%,14.30%,13.30%,9.90%,17.20%,11.70%,9.70%,9.90%,14.40%,13.30%,15.30%,14.70%,17.90%,12.50%,11.80%,9.30%,11.30%,15.60%,7.30%,14.60%,11.00%,16.30%,20.20%,10.20%,10.70%,14.10%,9.80%,17.10%,12.80%
"223,209","161,737","43,793","58,662","175,225","318,266","133,344","219,627","136,352","21,040","74,526","21,121","63,383","37,270","230,961","224,593","908,120","112,393","20,907","65,175","24,852","137,204","148,666","44,757","26,511","103,973","532,830","36,993","40,801","80,952","31,915","182,913","569,091","37,669","251,668","197,384","93,093","105,575","75,463","24,848","145,116","89,232","98,540","28,387"
"3,670,284","2,253,795","626,284","926,391","3,167,329","5,427,549","2,507,205","3,725,280","2,295,186","219,881","1,189,876","266,363","1,129,965","375,041","3,558,619","3,692,490","14,325,377","1,498,727","267,999","1,003,113","397,385","2,239,817","2,612,314","546,524","353,540","1,662,251","7,777,990","565,435","500,549","1,338,418","523,677","2,602,408","10,239,710","576,424","4,719,985","3,198,718","1,370,988","1,724,973","1,203,954","365,893","2,660,503","1,503,102","1,634,391","425,748"
"164,936,258","117,539,555","25,145,307","33,948,151","198,026,611","289,183,546","110,481,280","174,873,962","102,671,393","10,094,010","51,259,676","10,615,093","46,595,673","14,227,065","209,072,015","174,839,354","856,954,246","71,006,598","15,643,303","39,451,191","21,305,227","118,496,858","133,092,716","21,119,617","13,812,997","66,120,263","337,074,525","22,159,084","20,413,159","55,079,743","22,068,393","149,258,789","521,095,797","28,076,320","213,161,303","165,788,897","59,124,620","76,684,760","51,453,266","17,184,756","113,315,432","92,555,072","67,370,353","19,704,826"
3.10%,3.30%,3.90%,1.60%,2.60%,2.20%,2.20%,3.20%,2.40%,FN,1.00%,2.00%,3.70%,3.10%,0.90%,4.00%,3.50%,3.80%,0.40%,1.10%,1.50%,1.00%,1.80%,3.00%,1.60%,2.80%,4.50%,-1.70%,1.60%,1.70%,0.90%,2.90%,3.20%,2.30%,1.80%,1.20%,0.80%,0.40%,4.90%,1.40%,2.20%,1.20%,1.90%,1.00%
"722,639","480,847","121,279","211,955","514,298","968,330","495,703","700,254","451,951","48,140","195,777","60,312","205,980","86,969","670,765","870,897","3,206,958","278,839","55,521","198,380","60,734","475,518","397,378","122,221","64,006","329,431","2,040,339","88,136","113,012","207,167","104,707","444,135","2,205,149","104,437","763,418","576,446","276,218","358,223","216,280","53,263","403,546","272,809","322,025","76,747"
"805,985","547,352","151,363","235,454","607,664","1,135,017","550,453","834,087","499,926","62,427","239,118","75,827","227,156","112,419","792,088","929,864","3,548,449","339,305","68,032","231,959","73,418","531,953","489,494","146,642","81,314","367,726","2,100,187","114,435","139,570","259,121","118,454","541,522","2,356,748","131,638","904,814","653,193","327,229","414,291","251,419","68,270","479,059","326,693","374,153","94,642"
"287,058","194,508","59,044","89,159","199,210","417,500","195,694","306,986","182,425","19,344","77,194","23,417","82,508","35,449","252,944","376,506","1,320,085","123,015","22,141","75,962","23,964","209,119","157,821","45,121","23,722","131,856","807,817","39,065","42,067","82,345","44,453","187,677","866,678","38,525","306,824","236,290","105,168","151,114","76,269","20,316","162,798","106,678","137,630","30,484"
"183,380","85,849","60,622","74,824","89,967","311,684","105,234","158,946","135,313","4,077","26,127","2,354","71,864","5,578","237,242","371,588","1,619,857","41,456","13,688","35,982","14,440","203,394","47,302","10,592","4,101","83,233","926,112","5,777","4,339","14,707","74,208","92,807","1,070,392","6,111","122,653","185,043","64,875","126,100","24,423","3,190","61,252","56,113","92,219","14,737"
"603,182","442,365","83,857","155,094","499,959","795,129","434,025","657,237","344,981","55,397","204,562","70,491","144,944","102,746","533,808","538,893","1,819,107","285,028","51,147","189,029","54,782","314,902","428,716","130,973","74,228","276,269","1,121,749","104,785","131,322","236,561","38,510","426,697","1,224,845","121,297","759,569","450,109","249,027","277,676","218,826","62,271","405,090","259,614","272,651","77,042"
