profit,0,1,2,3,4
39700000,Cameron Diaz,Jennifer Lopez,Elizabeth Banks,Anna Kendrick,Brooklyn Decker
41126384,Jake Gyllenhaal,Michael PeÃ±a,Natalie Martinez,Anna Kendrick,David Harbour
42491068,Charlie Tahan,Winona Ryder,Catherine O'Hara,Martin Short,Martin Landau
43265139,Benjamin Walker,Dominic Cooper,Anthony Mackie,Mary Elizabeth Winstead,Rufus Sewell
47139399,Kodi Smit-McPhee,Tucker Albrizzi,Jodelle Ferland,Anna Kendrick,Casey Affleck
48520298,Maggie Smith,Tom Courtenay,Billy Connolly,Pauline Collins,Michael Gambon
52263166,Bruce Willis,Edward Norton,Jared Gilman,Kara Hayward,Bill Murray
53058786,Paul Rudd,Leslie Mann,Jason Segel,Maude Apatow,Megan Fox
55112176,Devon Bostick,Steve Zahn,Peyton List,Rachael Harris,Zachary Gordon
58338361,Hugh Grant,Brendan Gleeson,Jeremy Piven,Brian Blessed,Salma Hayek
62400000,Kate Beckinsale,Stephen Rea,Michael Ealy,Theo James,India Eisley
69272766,Roselyn SÃ¡nchez,Emilio Rivera,Nestor Serrano,Gonzalo Menendez,Alexander Asefa
71446075,Jeffrey Dean Morgan,Natasha Calis,Madison Davenport,Kyra Sedgwick,Rob LaBelle
73802074,Colin Farrell,Kate Beckinsale,Jessica Biel,Bryan Cranston,Bill Nighy
84070507,Michael Ealy,Jerry Ferrara,Meagan Good,Regina Hall,Kevin Hart
84281051,Meryl Streep,Steve Carell,Tommy Lee Jones,Jean Smart,Marin Ireland
88000000,Oliver Cooper,Jonathan Daniel Brown,Thomas Mann,Dax Flame,Kirby Bliss Blanton
92820716,Jessica Chastain,Jason Clarke,Mark Strong,Joel Edgerton,Chris Pratt
94025485,Taylor Kitsch,Alexander SkarsgÃ¥rd,Rihanna,Brooklyn Decker,Tadanobu Asano
94772232,Billy Crystal,Bette Midler,Marisa Tomei,Tom Everett Scott,Bailee Madison
95527149,Johnny Depp,Michelle Pfeiffer,Helena Bonham Carter,Jackie Earle Haley,Jonny Lee Miller
98018522,Julia Roberts,Lily Collins,Armie Hammer,Nathan Lane,Martin Klebba
98350426,Anna Kendrick,Skylar Astin,Brittany Snow,Anna Camp,Rebel Wilson
107470746,Kathryn McCormick,Ryan Guzman,Stephen Boss,Megan Boone,Jessica Guadix
110730736,Daniel Radcliffe,CiarÃ¡n Hinds,Sidney Johnston,Alisa Khazanova,Mary Stockley
114379533,Sacha Baron Cohen,Sayed Badreya,Aasif Mandvi,Megan Fox,Anna Faris
123076205,Denzel Washington,Ryan Reynolds,Vera Farmiga,Joel Kinnaman,Brendan Gleeson
130000000,Dane DeHaan,Alex Russell,Michael B. Jordan,Michael Kelly,Anna Wood
137817992,Katie Featherston,Kathryn Newton,Matt Shively,Brady Allen,Sprague Grayden
138274123,Naomi Watts,Ewan McGregor,Tom Holland,Samuel Joslin,Oaklee Pendergast
146572938,Jeremy Renner,Rachel Weisz,Edward Norton,Scott Glenn,Stacy Keach
151000000,Sam Worthington,Liam Neeson,Ralph Fiennes,Rosamund Pike,Edgar RamÃ­rez
158340595,Tom Cruise,Rosamund Pike,Richard Jenkins,David Oyelowo,Werner Herzog
159585328,Channing Tatum,Jonah Hill,Brie Larson,Dave Franco,Ellie Kemper
160221571,Channing Tatum,Matthew McConaughey,Olivia Munn,Cody Horn,Alex Pettyfer
161941670,Chris Pine,Alec Baldwin,Jude Law,Isla Fisher,Hugh Jackman
166114570,Rachel McAdams,Channing Tatum,Sam Neill,Scott Speedman,Jessica Lange
175159255,Milla Jovovich,Sienna Guillory,Michelle Rodriguez,Aryana Engineer,Li Bingbing
184738714,Bradley Cooper,Jennifer Lawrence,Robert De Niro,Jacki Weaver,Chris Tucker
184989584,Jason Biggs,Alyson Hannigan,Seann William Scott,Chris Klein,Thomas Ian Nicholas
187824128,Ben Affleck,Bryan Cranston,Alan Arkin,John Goodman,Victor Garber
212573423,Sylvester Stallone,Jason Statham,Dolph Lundgren,Bruce Willis,Arnold Schwarzenegger
226600000,Kristen Stewart,Charlize Theron,Chris Hemsworth,Sam Claflin,Ian McShane
273170142,Noomi Rapace,Michael Fassbender,Charlize Theron,Idris Elba,Guy Pearce
273375603,Adam Sandler,Steve Buscemi,David Spade,Kevin James,Selena Gomez
276692760,Dwayne Johnson,Josh Hutcherson,Kristin Davis,Vanessa Hudgens,Luis GuzmÃ¡n
278840316,Zac Efron,Danny DeVito,Taylor Swift,Ed Helms,Rob Riggle
306222889,John C. Reilly,Sarah Silverman,Jane Lynch,Jack McBrayer,Jamie Elman
325368238,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,Samuel L. Jackson
331141306,Liam Neeson,Maggie Grace,Famke Janssen,Rade Serbedzija,Luke Grimes
353983207,Kelly Macdonald,Julie Walters,Billy Connolly,Emma Thompson,Kevin McKidd
380809770,Hugh Jackman,Russell Crowe,Anne Hathaway,Amanda Seyfried,Sacha Baron Cohen
399026776,Will Smith,Tommy Lee Jones,Josh Brolin,Michael Stuhlbarg,Emma Thompson
489016565,Suraj Sharma,Irrfan Khan,Ayush Tandon,Gautam Belur,Adil Hussain
499368315,Mark Wahlberg,Mila Kunis,Seth MacFarlane,Joel McHale,Giovanni Ribisi
537215857,Andrew Garfield,Emma Stone,Rhys Ifans,Denis Leary,Martin Sheen
601921274,Ben Stiller,Sacha Baron Cohen,David Schwimmer,Frances McDormand,Chris Rock
616210692,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks
709000000,Kristen Stewart,Robert Pattinson,Taylor Lautner,Peter Facinelli,Elizabeth Reaser
767003568,Ian McKellen,Martin Freeman,Richard Armitage,Andy Serkis,Cate Blanchett
782244782,John Leguizamo,Ray Romano,Chris Wedge,Denis Leary,Seann William Scott
831041287,Christian Bale,Michael Caine,Gary Oldman,Anne Hathaway,Tom Hardy
908561013,Daniel Craig,Judi Dench,Javier Bardem,Ralph Fiennes,Naomie Harris
1299557910,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Scarlett Johansson
