itemID,brand,categories
79,342,"3514.0, 3047.0, 169.0, 2259.0, 3668.0, 2612.0, 2332.0, 2547.0"
82,790,"2402.0, 3736.0, 1408.0, 1523.0"
84,1492,"305.0, 3138.0, 2470.0"
85,194,"3902.0, 3910.0, 1138.0, 3900.0, 3444.0, 3903.0, 3901.0, 3912.0"
88,823,NaN
89,812,NaN
90,220,"327.0, 4021.0"
91,1201,"4156.0, 1772.0, 3024.0, 4133.0"
92,20,568.0
94,1371,"4004.0, 2178.0"
95,219,NaN
96,373,"327.0, 4230.0"
97,433,1170.0
99,532,"3497.0, 3900.0, 4029.0, 3910.0"
100,603,"3901.0, 3910.0, 3228.0, 3902.0"
101,193,"3254.0, 397.0"
102,18,2383.0
104,322,NaN
108,140,"1343.0, 2313.0"
109,463,879.0
110,186,"978.0, 3344.0"
111,1295,2519.0
112,43,"747.0, 2897.0, 3920.0, 4027.0"
115,898,"1069.0, 1800.0"
117,322,"1540.0, 3393.0, 1922.0"
118,322,NaN
119,322,1984.0
120,193,"3902.0, 3910.0, 3900.0, 3254.0, 1373.0, 3855.0"
121,449,"614.0, 1958.0, 2829.0, 1244.0"
122,361,3639.0
123,1097,3901.0
124,1267,1461.0
125,342,"3848.0, 3986.0"
126,1391,3639.0
127,1103,NaN
128,1368,"4056.0, 4185.0"
129,539,"2470.0, 2473.0"
130,1376,NaN
131,311,"3195.0, 2863.0, 1962.0, 3688.0"
132,206,163.0
133,366,195.0
135,933,"578.0, 3262.0, 1601.0, 1247.0"
136,1321,"2259.0, 3514.0, 2612.0, 1879.0, 2547.0, 3051.0"
137,771,"2790.0, 68.0"
138,322,1984.0
139,888,"807.0, 3625.0, 2371.0, 3907.0, 2209.0, 3399.0, 4203.0, 3459.0, 3222.0, 3283.0, 1124.0, 1505.0"
140,1004,"3601.0, 1235.0"
141,105,NaN
142,1139,1874.0
143,4,"4246.0, 1720.0, 407.0"
144,18,"637.0, 4035.0"
146,1379,"274.0, 1807.0, 789.0"
147,987,"3911.0, 3902.0, 3903.0, 3900.0"
148,1368,"4290.0, 4056.0"
149,1365,NaN
150,936,"3625.0, 3619.0"
151,1371,1098.0
152,766,3228.0
153,322,981.0
154,206,"1772.0, 3948.0"
155,481,"4048.0, 74.0"
156,1025,"3779.0, 577.0, 3497.0"
157,901,"2808.0, 3523.0, 3530.0"
158,342,"3960.0, 585.0"
159,342,"585.0, 3914.0, 3915.0"
160,221,NaN
161,1301,"1518.0, 3042.0"
162,1366,NaN
163,1366,2834.0
164,238,2995.0
166,438,"1091.0, 3424.0"
168,615,NaN
169,620,"1229.0, 1083.0, 3916.0, 1164.0, 1628.0, 1238.0"
170,1156,NaN
171,580,"483.0, 2732.0"
174,4,NaN
175,1382,NaN
176,580,3367.0
177,45,"78.0, 2005.0"
179,5,NaN
180,1496,"4140.0, 4040.0"
181,105,NaN
182,1039,1463.0
184,1496,"89.0, 3900.0, 3514.0, 2259.0, 2612.0, 3668.0, 3047.0, 2738.0, 3902.0"
185,1492,1686.0
186,1410,2473.0
187,1023,"1147.0, 2790.0"
188,824,"178.0, 976.0"
190,1158,"3262.0, 3779.0"
192,157,"3199.0, 247.0"
193,433,NaN
194,157,1378.0
195,453,"2718.0, 478.0, 3783.0"
197,194,"2050.0, 3914.0, 1793.0"
198,322,NaN
199,704,"3088.0, 3604.0"
200,906,"3273.0, 1091.0"
201,322,"2480.0, 2024.0"
202,1249,3625.0
203,393,"3720.0, 2048.0"
204,105,NaN
205,238,"3601.0, 352.0"
206,257,1022.0
207,77,1608.0
208,782,"3900.0, 111.0, 3901.0, 3903.0"
209,772,"1053.0, 3591.0"
210,1132,NaN
211,906,3639.0
212,160,NaN
214,657,2053.0
215,657,2053.0
216,522,NaN
217,1206,2690.0
218,71,"2578.0, 3548.0"
219,393,"2048.0, 2470.0, 211.0, 3914.0, 503.0, 3915.0, 5.0"
220,1180,"4028.0, 327.0, 2897.0, 3920.0"
221,406,"3704.0, 2833.0, 3424.0, 1295.0"
222,1079,300.0
223,329,2136.0
226,829,"3907.0, 4061.0, 1772.0, 3882.0"
227,618,"383.0, 1042.0, 1030.0, 1886.0"
229,37,300.0
230,1385,"2553.0, 1563.0"
231,1066,NaN
232,322,1984.0
233,906,2721.0
235,1058,862.0
236,929,NaN
237,4,NaN
238,406,"955.0, 2644.0"
239,1025,"1085.0, 3494.0, 2995.0"
240,907,"1849.0, 3910.0, 1763.0, 3903.0, 3902.0, 3901.0, 1053.0, 3915.0"
241,388,2470.0
242,23,"1807.0, 779.0"
243,47,"3901.0, 3900.0, 3902.0, 789.0, 3903.0"
244,1349,NaN
245,231,"3905.0, 3901.0, 2460.0"
246,20,2995.0
247,1296,"2790.0, 2014.0"
248,316,NaN
250,827,3917.0
251,504,1724.0
252,979,"1816.0, 2209.0, 2473.0, 3226.0, 3900.0"
253,1358,3625.0
254,615,2995.0
255,279,2470.0
256,265,300.0
257,1301,"3459.0, 4203.0"
259,147,"2658.0, 1980.0"
260,745,218.0
262,660,"4117.0, 1000.0, 2005.0"
263,194,"826.0, 1091.0, 3913.0, 277.0, 411.0, 3976.0"
264,933,2995.0
265,150,NaN
266,1113,2642.0
267,1305,NaN
268,1353,933.0
269,958,"3910.0, 473.0, 3901.0, 3903.0, 3900.0"
270,484,"3902.0, 1651.0, 3900.0, 3901.0"
271,18,"2547.0, 3668.0, 3047.0, 3611.0, 2612.0"
272,280,"1705.0, 975.0, 274.0"
274,442,3744.0
275,143,NaN
276,1325,"3820.0, 712.0"
277,406,"3575.0, 1728.0, 341.0"
278,1300,1711.0
280,1136,NaN
281,1265,"3086.0, 2366.0, 83.0, 1098.0"
282,930,NaN
283,140,NaN
284,1011,"1803.0, 3642.0"
285,290,"3654.0, 2995.0"
286,206,NaN
287,199,1998.0
288,1222,2667.0
289,1181,"1306.0, 3201.0, 3724.0"
290,1156,2136.0
291,356,"3214.0, 450.0"
292,772,"3901.0, 3090.0, 411.0"
293,484,"146.0, 1091.0, 1138.0"
294,322,1984.0
295,449,"614.0, 3914.0"
296,539,"3909.0, 855.0"
297,575,1362.0
298,1401,"274.0, 914.0, 587.0, 3530.0, 1849.0"
299,323,1835.0
300,771,"3902.0, 411.0, 3903.0, 3901.0, 3900.0"
301,504,2708.0
302,734,2995.0
303,157,"1378.0, 1979.0, 1672.0"
304,1297,"884.0, 2732.0"
305,1180,"1879.0, 2089.0, 2612.0, 2738.0, 2259.0, 3668.0, 169.0"
306,1197,NaN
307,1422,NaN
308,1037,3582.0
309,1126,"2175.0, 3029.0, 940.0"
310,1192,"3005.0, 2722.0"
311,1366,2834.0
312,157,"1803.0, 2739.0"
314,791,3214.0
315,1376,1807.0
317,1039,1763.0
318,660,74.0
319,340,"1091.0, 720.0, 522.0"
320,206,NaN
322,1383,"2636.0, 2725.0"
323,77,1800.0
324,153,"146.0, 1138.0"
325,1105,"1418.0, 1980.0, 2996.0"
326,406,1138.0
327,402,1984.0
328,406,"1138.0, 3370.0, 146.0"
329,880,1123.0
330,822,"3916.0, 3274.0, 1628.0"
331,887,3613.0
332,177,"771.0, 191.0, 3973.0, 669.0"
334,1492,"2716.0, 2203.0, 805.0"
335,1079,NaN
336,554,NaN
337,765,1283.0
340,322,2957.0
341,1496,"3140.0, 30.0, 2556.0, 1502.0, 90.0, 2057.0, 3652.0, 3268.0"
342,1111,"3044.0, 785.0"
343,634,"1091.0, 386.0"
344,1408,"1627.0, 2457.0"
345,1127,"327.0, 1807.0"
346,1295,163.0
348,1040,"365.0, 1169.0"
349,615,"2658.0, 1491.0, 1342.0"
350,1044,"1138.0, 3340.0"
352,408,"1763.0, 3915.0, 74.0"
353,1445,"3283.0, 860.0"
354,906,"2721.0, 3916.0"
355,105,2136.0
356,473,"3051.0, 169.0, 2612.0, 2547.0, 1879.0, 2738.0, 3514.0, 3668.0"
357,193,"3254.0, 2754.0"
358,801,"3254.0, 1779.0"
359,1249,NaN
360,20,"1675.0, 3259.0"
361,322,3810.0
362,671,"480.0, 4011.0"
363,993,"2873.0, 1980.0"
364,552,"3913.0, 2345.0, 308.0, 3837.0, 3195.0, 3912.0"
365,258,4060.0
366,1366,NaN
367,238,"2091.0, 3675.0, 557.0"
368,454,3960.0
369,191,3199.0
370,782,"2412.0, 1138.0"
371,150,NaN
372,150,NaN
373,319,NaN
374,27,"2473.0, 779.0"
375,186,3916.0
376,739,"1064.0, 2633.0, 1325.0, 1792.0"
377,938,274.0
378,1496,"3937.0, 30.0, 3915.0, 3268.0, 3924.0, 2104.0, 220.0"
379,406,"3086.0, 2366.0"
380,1038,"3910.0, 3903.0, 1288.0, 3900.0"
381,50,"3902.0, 3910.0, 3911.0, 3903.0, 3901.0"
382,86,NaN
383,73,2116.0
384,1004,"1235.0, 1394.0"
385,474,"1979.0, 1672.0"
386,322,NaN
387,325,"3700.0, 2373.0, 3419.0, 2548.0, 4249.0, 545.0, 3867.0"
389,322,1221.0
390,147,NaN
391,201,"3575.0, 3229.0, 879.0"
392,1258,"2402.0, 1066.0"
393,564,"740.0, 2136.0"
394,1366,2834.0
395,745,"2800.0, 3443.0, 4115.0, 3924.0, 3933.0, 3912.0, 3389.0, 803.0, 1986.0, 3760.0, 278.0, 1668.0, 4158.0"
396,1511,"3404.0, 3803.0, 2912.0"
397,1040,"2772.0, 1328.0"
398,1152,2810.0
399,829,3138.0
400,40,2658.0
401,272,"2888.0, 2022.0"
402,1040,"3901.0, 3902.0, 2420.0, 1373.0, 3903.0, 3900.0, 3254.0"
403,194,"1792.0, 3916.0, 871.0, 3874.0"
404,71,"1306.0, 2097.0, 1348.0"
406,531,"327.0, 4001.0"
408,1498,"1807.0, 2252.0, 1569.0"
410,1180,1508.0
411,145,"3259.0, 88.0, 2384.0"
412,1016,2628.0
413,1141,"2175.0, 3900.0, 3910.0, 3902.0, 3901.0"
415,632,"2726.0, 4183.0"
417,1023,"1097.0, 2872.0, 3084.0, 668.0, 2790.0, 1085.0, 1147.0"
418,389,NaN
419,799,1775.0
420,1156,2136.0
421,933,"2285.0, 2995.0"
422,1025,"65.0, 1352.0, 648.0, 3263.0, 137.0, 2636.0"
423,853,NaN
424,1496,"1879.0, 2259.0, 169.0, 2547.0, 1443.0, 2089.0, 89.0, 3668.0"
426,1023,"1097.0, 1147.0, 2790.0, 3470.0"
427,136,NaN
429,812,"2011.0, 3431.0"
430,408,NaN
431,385,NaN
432,1232,NaN
433,702,"526.0, 178.0, 3625.0"
434,199,"2682.0, 426.0"
436,4,NaN
437,1438,NaN
438,749,81.0
439,246,"1824.0, 1063.0"
440,1365,NaN
442,1247,2943.0
443,478,1583.0
445,186,"4167.0, 3700.0, 1474.0, 545.0, 1032.0"
446,207,"3949.0, 813.0"
447,174,"3254.0, 1405.0"
448,1249,"807.0, 3625.0"
449,1115,"3625.0, 236.0, 356.0"
450,1037,3176.0
451,1147,"4032.0, 4042.0"
452,1383,"3424.0, 3910.0, 3901.0"
453,153,3424.0
455,322,2957.0
456,844,NaN
457,771,"1209.0, 879.0"
459,408,356.0
460,1496,"74.0, 4204.0, 3361.0"
461,406,"1789.0, 411.0, 3540.0, 3913.0, 3704.0, 3915.0, 1415.0, 3976.0, 2325.0"
463,1146,"3917.0, 1772.0"
464,1469,"3469.0, 3587.0, 3107.0"
465,830,NaN
466,325,"3915.0, 877.0, 3349.0, 3914.0, 88.0, 3259.0"
467,632,"1965.0, 3903.0, 3900.0"
468,1206,"3901.0, 2586.0, 2469.0, 1898.0, 3905.0, 3903.0, 2473.0"
469,1058,1807.0
470,748,"2961.0, 3639.0"
471,810,2632.0
472,1492,805.0
473,322,1221.0
475,1391,1775.0
476,484,3639.0
477,603,581.0
478,406,1261.0
479,406,1021.0
480,128,"4070.0, 3908.0"
481,648,"3150.0, 2653.0, 302.0, 2732.0"
483,82,"77.0, 1402.0"
484,782,"3900.0, 435.0, 3903.0, 3905.0, 1524.0, 2412.0, 3745.0, 3918.0, 1849.0, 3910.0"
485,78,2690.0
486,193,"1763.0, 3855.0, 1522.0, 2581.0, 3910.0, 3254.0, 1373.0, 1794.0, 2147.0"
488,1280,3413.0
489,386,"268.0, 2041.0, 3702.0, 3098.0"
490,1475,NaN
491,539,"17.0, 2207.0, 115.0, 1176.0, 732.0"
492,1295,2519.0
493,495,"4051.0, 3908.0, 855.0"
494,5,1807.0
495,618,"1980.0, 3916.0"
496,782,"3262.0, 1247.0, 2863.0"
497,408,1350.0
498,1080,"1578.0, 648.0, 1143.0, 1187.0"
499,1025,"3934.0, 2995.0, 3970.0, 3654.0"
500,635,399.0
501,453,478.0
502,1383,"2207.0, 3240.0, 412.0"
503,1492,1424.0
505,560,2359.0
506,618,"3668.0, 2547.0, 3051.0, 3514.0, 919.0, 3047.0, 2738.0, 2612.0, 2259.0"
507,1411,"1060.0, 3268.0, 3937.0, 2104.0, 3935.0"
508,107,NaN
509,322,2435.0
510,1246,1984.0
511,601,"705.0, 2476.0"
513,322,1984.0
514,1023,"1184.0, 1578.0, 3478.0, 2032.0"
515,539,"1361.0, 1176.0, 1604.0, 3712.0"
517,735,3107.0
518,703,"1174.0, 3173.0, 3625.0"
519,399,"3267.0, 2455.0"
520,1383,"3422.0, 691.0"
521,1366,"1763.0, 2834.0"
522,1445,"3283.0, 1330.0"
524,1306,"3262.0, 1755.0"
526,771,"2686.0, 2609.0"
527,873,"890.0, 1591.0"
528,1016,NaN
529,943,"2470.0, 2848.0"
530,408,NaN
531,1276,"169.0, 3040.0, 1879.0"
532,1150,"2005.0, 1000.0, 2810.0, 3654.0, 2995.0"
533,615,"1711.0, 2919.0"
534,1276,"855.0, 1879.0, 3040.0, 169.0"
535,203,2758.0
536,1379,"433.0, 3078.0"
537,933,2790.0
538,207,"2104.0, 3268.0, 30.0"
539,1376,3994.0
540,1038,"3901.0, 3086.0, 3903.0, 3910.0, 3902.0"
541,1054,"1772.0, 3948.0"
542,901,"3900.0, 3901.0, 3905.0"
543,1324,"2964.0, 2580.0, 3453.0, 1843.0"
544,365,3262.0
545,249,"879.0, 491.0"
546,1500,"1591.0, 862.0, 2615.0, 3395.0, 767.0, 1921.0, 3625.0, 2722.0, 2872.0, 1793.0, 4281.0, 3457.0"
547,1445,"3283.0, 2209.0"
548,1039,4028.0
549,82,2642.0
550,703,"2104.0, 30.0, 4106.0, 1763.0, 795.0"
551,16,NaN
552,839,"4048.0, 74.0, 747.0"
553,167,"3625.0, 3767.0, 2788.0"
554,1375,"178.0, 2872.0, 3625.0"
555,598,3745.0
556,362,1405.0
558,831,"455.0, 1173.0, 1043.0, 3916.0, 399.0, 836.0"
559,646,"2675.0, 1343.0"
560,649,"2320.0, 152.0, 1538.0"
561,632,"921.0, 4059.0, 3903.0, 3901.0"
562,1368,2942.0
563,356,"2773.0, 3799.0, 1085.0, 1801.0"
564,950,NaN
565,1442,"178.0, 3625.0, 1176.0, 2453.0, 1046.0, 622.0"
566,135,1980.0
567,1036,1063.0
568,1111,"3444.0, 3905.0, 3903.0, 2473.0"
569,322,1022.0
570,454,1350.0
571,1513,2136.0
573,369,"2107.0, 2624.0"
574,174,"1794.0, 3254.0"
575,1023,"2874.0, 1085.0, 491.0, 879.0"
576,617,"1366.0, 3905.0"
577,1508,NaN
578,1111,"3910.0, 3903.0, 3911.0, 2716.0"
579,37,524.0
580,615,464.0
581,782,"1430.0, 2412.0, 578.0"
582,1083,"71.0, 2951.0"
584,62,NaN
585,1366,2834.0
586,1126,"476.0, 4034.0, 3499.0, 2389.0, 3268.0, 1124.0, 803.0, 1013.0, 1638.0, 4106.0, 3053.0, 990.0, 2682.0, 285.0, 777.0, 2556.0"
587,1324,"3914.0, 3912.0, 2346.0, 3915.0, 3694.0, 1760.0, 3625.0"
589,843,3901.0
590,547,NaN
591,147,"74.0, 4243.0"
592,571,"789.0, 1004.0, 656.0, 1759.0, 2890.0, 1807.0, 3834.0, 902.0, 855.0"
593,1445,"3283.0, 3173.0, 2209.0, 2452.0"
594,203,NaN
595,406,"1138.0, 411.0, 1789.0"
596,1385,NaN
597,342,"4029.0, 1775.0"
598,745,2919.0
599,10,NaN
600,827,"3995.0, 3902.0, 3444.0, 3900.0, 3903.0, 1807.0, 3901.0"
601,1188,3639.0
602,653,"3561.0, 4011.0, 3595.0, 3391.0, 3909.0, 332.0"
604,1232,"3915.0, 2389.0, 2872.0, 813.0, 3625.0, 303.0"
605,1125,"2197.0, 2636.0"
607,194,"3702.0, 681.0, 2041.0, 1138.0, 826.0"
608,45,"3948.0, 1772.0, 4133.0"
609,615,2942.0
610,406,"1093.0, 3704.0, 3604.0"
611,1039,NaN
612,514,"609.0, 3267.0, 3170.0, 3836.0"
613,540,NaN
615,239,"3838.0, 3827.0"
616,1025,"1402.0, 3591.0, 3322.0"
617,962,276.0
618,150,NaN
619,1445,2470.0
620,322,1221.0
621,322,NaN
622,1090,2778.0
623,601,2476.0
624,406,"2555.0, 2091.0, 1421.0, 1732.0"
625,1111,136.0
626,322,3810.0
627,1111,"1277.0, 1874.0"
628,1411,"30.0, 1060.0, 3986.0, 3268.0, 3937.0"
629,604,1729.0
630,150,46.0
631,601,2833.0
632,258,"3378.0, 2032.0"
633,369,"1694.0, 3529.0, 3867.0, 3024.0, 2422.0"
634,1015,2833.0
635,623,"1708.0, 390.0"
636,314,"2451.0, 1288.0, 2866.0"
637,6,"279.0, 1260.0, 47.0"
638,310,NaN
639,359,NaN
640,791,"1613.0, 2157.0"
641,1492,"805.0, 1560.0"
642,393,1667.0
643,643,"1138.0, 146.0"
644,157,"807.0, 3459.0, 3625.0"
645,1023,"1097.0, 2790.0, 702.0, 1147.0, 668.0, 1578.0, 1085.0"
646,1156,"1835.0, 3267.0, 622.0"
647,1411,"2104.0, 1395.0, 3904.0, 3268.0"
648,880,NaN
649,441,67.0
650,239,NaN
652,389,NaN
653,402,"300.0, 813.0, 3961.0"
655,1366,NaN
656,1145,"4035.0, 3775.0"
657,402,981.0
658,1004,"1235.0, 487.0"
659,1006,"2942.0, 415.0"
660,1040,1186.0
663,1122,3254.0
664,603,"1221.0, 4004.0, 3444.0, 1920.0"
665,1297,"1098.0, 2366.0"
666,513,NaN
668,251,NaN
669,806,NaN
670,1438,"3613.0, 2249.0"
671,186,"2005.0, 3916.0, 1000.0, 3424.0"
672,356,"850.0, 1098.0"
673,322,NaN
674,897,"178.0, 3205.0, 2732.0, 2872.0, 3625.0"
675,328,715.0
678,1295,2136.0
679,1301,"1176.0, 1708.0, 536.0"
680,1371,"2465.0, 742.0, 2979.0, 1635.0"
682,1004,"1000.0, 3654.0, 921.0, 2434.0, 4029.0, 3310.0, 2005.0, 2995.0"
683,619,NaN
684,194,"2463.0, 2743.0, 3426.0"
685,929,116.0
686,322,981.0
688,82,781.0
689,1474,536.0
690,748,"2345.0, 2961.0, 1472.0"
691,829,"2384.0, 1006.0, 977.0"
692,968,"4241.0, 327.0"
693,194,"3426.0, 1164.0, 2463.0, 2743.0"
694,120,"2833.0, 1229.0"
695,824,2175.0
696,564,"3916.0, 2136.0"
697,393,"2245.0, 738.0, 136.0, 2048.0"
698,962,276.0
699,706,NaN
700,1030,"1920.0, 4026.0, 4025.0"
701,5,NaN
702,219,3278.0
703,326,"1560.0, 1402.0"
704,1349,NaN
705,1274,2942.0
706,523,"3639.0, 3916.0"
707,961,"2862.0, 2255.0"
708,994,"3453.0, 3126.0, 2580.0, 3510.0"
709,1207,"4032.0, 3775.0"
710,649,"3903.0, 3910.0, 578.0, 3901.0, 288.0"
711,18,"480.0, 4005.0"
712,998,1943.0
713,580,"3939.0, 74.0"
715,1111,1980.0
716,406,"1772.0, 4129.0"
717,1145,"931.0, 2797.0"
718,257,NaN
719,75,2136.0
720,221,578.0
723,1274,4011.0
725,939,NaN
726,20,3639.0
727,1111,"3905.0, 914.0, 1569.0, 1898.0, 2586.0, 3910.0, 3901.0, 2473.0, 3902.0"
728,77,NaN
729,479,"3901.0, 3903.0, 3900.0, 3905.0, 274.0, 781.0, 3910.0"
731,203,"1661.0, 3290.0"
732,1039,300.0
733,632,"1965.0, 4123.0"
734,1438,"3903.0, 2079.0, 3910.0, 3911.0"
735,1291,NaN
736,549,"216.0, 3473.0"
737,806,NaN
738,539,"2005.0, 169.0, 3040.0, 1000.0"
739,618,"777.0, 3684.0"
741,665,NaN
742,207,4023.0
743,1180,3138.0
744,61,"1554.0, 3906.0"
745,492,NaN
746,406,"3540.0, 308.0, 2833.0, 1138.0, 146.0, 3704.0"
747,18,"90.0, 1502.0, 3079.0"
748,484,"2422.0, 1472.0, 3916.0, 3595.0, 308.0, 2863.0, 1164.0, 1694.0, 1749.0"
750,888,1518.0
751,135,"1051.0, 914.0"
753,1407,"2567.0, 3558.0"
754,823,2402.0
756,366,"862.0, 3688.0, 2035.0, 1099.0"
757,1366,NaN
758,288,"4229.0, 3024.0, 3907.0"
759,1156,NaN
761,91,"3745.0, 1849.0"
762,82,1807.0
763,783,"3262.0, 3879.0"
764,306,"2091.0, 3529.0"
765,393,"2062.0, 211.0"
766,239,NaN
767,1039,NaN
768,745,2919.0
769,180,NaN
771,752,NaN
772,453,3783.0
773,225,"3625.0, 1157.0, 3847.0, 2389.0"
774,1509,NaN
775,1141,2175.0
776,1295,NaN
777,333,"3900.0, 3502.0, 3910.0, 3903.0, 2995.0, 3902.0"
778,1277,71.0
779,238,2300.0
780,974,"3400.0, 3551.0, 2088.0"
781,206,"1085.0, 3901.0, 2995.0"
782,322,3748.0
784,546,NaN
786,18,2383.0
787,1049,NaN
788,1156,NaN
789,1180,"3909.0, 2890.0"
790,441,NaN
791,531,NaN
792,1180,"3625.0, 2389.0, 3083.0"
793,123,"3908.0, 855.0"
794,677,1807.0
795,806,"3254.0, 184.0"
796,1201,"1060.0, 4113.0, 1002.0, 3867.0, 3936.0, 30.0, 3937.0, 3268.0, 3935.0"
797,1383,"1138.0, 3422.0, 146.0, 578.0"
798,904,NaN
800,1262,287.0
802,604,NaN
803,393,"1920.0, 3919.0, 503.0, 2048.0"
804,5,NaN
805,829,2730.0
806,786,"1781.0, 1421.0"
807,615,1854.0
808,225,"3653.0, 3373.0, 3625.0"
809,1232,3926.0
810,1023,"1083.0, 1085.0, 1091.0"
811,1036,NaN
812,1182,NaN
813,1366,2834.0
816,1026,NaN
817,322,2756.0
819,1006,3138.0
820,1180,"3908.0, 3909.0, 3697.0, 855.0, 2890.0"
821,552,3101.0
825,286,"3902.0, 3903.0, 1886.0"
827,1433,"2919.0, 1711.0"
828,319,"1844.0, 2528.0"
829,322,2013.0
830,1287,2769.0
831,37,NaN
832,827,3307.0
833,386,"1858.0, 1851.0, 268.0, 178.0, 1085.0, 1578.0, 2870.0"
834,1325,"3767.0, 1322.0"
835,514,"1518.0, 2256.0, 1705.0, 3042.0"
836,135,"3138.0, 2470.0, 1524.0, 1807.0"
837,342,"1982.0, 585.0"
839,322,1984.0
840,1500,"3484.0, 4038.0, 1591.0"
841,406,"1728.0, 341.0, 2833.0"
842,322,NaN
843,150,NaN
844,1144,"2716.0, 3903.0"
845,428,2951.0
847,748,NaN
848,1127,"3901.0, 581.0, 1780.0, 3767.0, 3910.0"
849,77,NaN
850,1265,"2732.0, 52.0"
852,805,1069.0
854,1201,"3976.0, 2831.0, 2921.0, 3915.0"
855,1180,"1350.0, 3916.0"
856,901,NaN
857,1087,"2049.0, 3625.0"
858,748,3639.0
859,1338,1980.0
860,829,2470.0
861,952,1077.0
862,207,"3935.0, 3937.0, 30.0, 3268.0, 1060.0"
864,441,"1664.0, 1434.0, 3457.0, 1587.0, 1793.0, 3529.0"
866,666,2097.0
867,1368,2382.0
868,406,"3939.0, 74.0"
869,322,NaN
870,150,NaN
871,231,"274.0, 975.0"
872,119,NaN
873,771,"318.0, 2833.0, 3915.0, 1184.0, 2863.0, 4086.0"
875,1201,"3924.0, 237.0, 3912.0, 3914.0, 1555.0, 1657.0, 3915.0, 1350.0"
876,1036,NaN
877,734,"2325.0, 2005.0, 3654.0, 3594.0"
878,325,"1032.0, 4249.0, 3419.0, 3700.0, 545.0"
879,193,2754.0
880,1163,"3639.0, 1803.0, 3981.0, 3722.0"
881,1040,"365.0, 478.0, 1169.0"
882,994,"2690.0, 751.0, 2700.0, 3224.0"
883,1040,"2926.0, 3262.0, 808.0, 594.0"
884,768,1560.0
885,453,3800.0
886,827,"547.0, 2890.0"
887,500,NaN
888,1180,"2848.0, 2470.0"
889,1036,118.0
891,509,NaN
892,896,NaN
893,1475,975.0
894,342,"2547.0, 2738.0, 169.0, 3668.0, 3514.0, 2612.0, 3047.0"
895,1126,"3887.0, 1732.0, 1421.0"
896,1180,664.0
897,322,"3053.0, 1668.0, 4158.0, 1719.0, 3443.0"
898,322,"3903.0, 3902.0, 3901.0"
899,887,"1807.0, 3903.0, 3900.0"
900,539,1330.0
901,316,NaN
902,1499,"862.0, 1569.0"
903,1058,1807.0
904,50,"1798.0, 1225.0"
905,945,"3901.0, 3903.0, 1077.0, 3902.0, 3911.0"
906,1265,"2732.0, 2451.0, 1383.0, 1844.0"
907,150,"3903.0, 3900.0, 3639.0"
908,580,1350.0
909,274,NaN
910,772,"3455.0, 2138.0, 879.0"
911,622,1807.0
913,748,"1772.0, 4192.0"
914,1249,"983.0, 163.0"
915,1366,"156.0, 813.0, 4101.0"
916,1040,2420.0
917,632,3979.0
918,1030,"2819.0, 3128.0"
919,389,NaN
920,860,"3240.0, 1176.0, 732.0, 1796.0"
921,1163,"3107.0, 2085.0"
922,1040,NaN
