Subtitle,Institution,Specific Graduate Program,Minimum Score Requirement,Restrictions,State
Lake Erie College,,1,2.0,,10
Pacific University,,27,5.0,,36
"University of Phoenix, La Palma Learning Center, La Palma",,0,12.0,,9
"University of Phoenix, North Florida Learning Center, Jacksonville",,0,12.0,,32
"University of Phoenix, Southern California Campus, Costa Mesa",,0,12.0,,9
Golden Gate University,,Ageno School of Business,0.0,,9
"College of Staten Island, City University of New York (CUNY)",,Business Management,2.0,,0
"Devry University, Oklahoma City Campus",,25,1.0,,35
University of Pittsburgh,,15,5.0,,16
University of Texas Medical Branch,,7,12.0,,11
University of North Texas,,Business School,12.0,,11
Doane College,,Master of Education- Educational Leadership,1.0,,37
Ohio State University,,Master of Business Operational Excellence,9.0,8,10
Massachusetts Institute of Technology,,Nuclear Science & Engineering,2.0,,7
"City University of Seattle, Victoria",,22,,2,21
"California Baptist University, Hesperia",,17,0.0,,9
"University of Phoenix, Daytona Learning Center, Daytona Beach",,0,12.0,,32
"Colorado State University, Fort Collins",,6,0.0,,24
Seton Hall University,,Master of Arts in Writing Popular Fiction,12.0,,16
"University of California, Berkeley",,Haas School of Business,5.0,,9
Florida International University,,29,0.0,,32
University of New Haven,,M.S. Industrial Engineering,6.0,,38
San Francisco Art Institute,,Master of Art,7.0,,9
Arkansas State University,,6,1.0,,6
Chamberlain College of Nursing (online),,2,0.0,0,
Boise State University,,Business Graduate Programs,0.0,,14
"Devry University, Columbus North Center",,25,1.0,,10
"Devry University, Henderson Campus",,25,1.0,,33
Regent University,,15,5.0,,23
"University of Phoenix, Northland Learning Center, Kansas City",,0,12.0,,34
Gonzaga University,,33,0.0,,29
Syracuse University,,College of Visual and Performing Arts,5.0,,0
Florida International University,,28,0.0,,32
"University of Phoenix, Taylorsville Learning Center, Salt Lake City",,0,12.0,,15
"University of Phoenix, Birmingham Campus, Birmingham",,0,12.0,,8
Illinois Institute of Technology,,Stuart School of Business,,2,27
"City University of Seattle, Victoria",,21,,2,21
"Texas A&M University, College Station",,Mays Business School,6.0,,11
"University of Phoenix, San Antonio Campus, San Antonio",,0,12.0,,11
Doane College,,Master of Education- Curriculum and Development,1.0,,37
Midland Lutheran College,,Master of Professional Accounting,1.0,(no subscore below 5.0),39
Fordham University,,School of Social Service,2.0,,0
University of Florida,,Warrington College of Business Administration,6.0,,32
"Devry University, Cincinnati Campus",,25,1.0,,10
"University of Phoenix, Arlington Student Resource Center, Arlington",,0,12.0,,23
University of Southern Mississippi,,College of Arts and Letters,12.0,0,40
Massachusetts Institute of Technology,,Science Writing,11.0,,7
"University of Phoenix, Mesa Learning Center, Mesa",,0,12.0,,5
University of Houston,,College of Social Work,,2,11
Wesleyan University,,Graduate Liberal Studies Program,5.0,,38
"University of Alaska, Anchorage",,"College of Business, Public Policy",12.0,2,43
Fairfield University,,Master of Science in the Management of Technology,0.0,,38
"University of Maryland, Baltimore County",,Continuing & Professional Studies,,Master of Science in Engineering Management: Contact school for score,30
University of Georgia,,Terry College of Business,12.0,9,28
"University of Phoenix, Kansas City Campus, Kansas City",,0,12.0,,34
"University of Phoenix, Tinley Park Learning Center, Mokena",,0,12.0,,27
"Devry University, Cherry Hill Center",,25,1.0,,13
"University of Colorado, Boulder",,Business (doctoral),7.0,,24
DePaul University,,College of Computing and Digital Media,0.0,,27
Marywood University,,Communication Arts,1.0,,16
"University of Phoenix, Greenbelt Learning Center, Greenbelt",,0,12.0,,30
"University of Phoenix, Fox Valley Learning Center, Grand Chute",,0,12.0,,1
Massachusetts Institute of Technology,,Technology and Policy Program,7.0,5,7
Vanderbilt University,,49,6.0,,18
"University of Phoenix, Jackson Campus, Flowood",,0,12.0,,40
"City University of Seattle, University of International Business and Economics",,1,,2,
University of Houston,,Cullen College of Engineering,,2,11
"Devry University, Long Beach Campus",,25,1.0,,9
"Devry University, Orlando North Center",,25,1.0,,32
"University of Colorado, Boulder",,53,5.0,,24
Massachusetts Institute of Technology,,40,,School of Science: Contact school for score,7
University of Pittsburgh,,7,5.0,,16
Dominican University,,12,2.0,,27
Vanderbilt University,,2,,2,18
"City University of Seattle, Calgary",,21,,2,19
Massachusetts Institute of Technology,,"Departent of Earth, Atmospheric and Planetary Science",1.0,7,7
"University of Nevada, Reno",,39,5.0,9,33
University of Pennsylvania,,School of Social Policy and Practice,5.0,,16
"University of Phoenix, Idaho Falls Student Center, Idaho Falls",,0,12.0,,14
"University of Phoenix, East Jacksonville Learning Center, Jacksonville",,0,12.0,,32
"University of Phoenix, Jersey City Campus, Jersey City",,0,12.0,,13
"Pennsylvania State University, University Park",,Smeal College of Business,5.0,9,16
"University of Phoenix, East El Paso Learning Center, El Paso",,0,12.0,,11
"Baruch College, City University of New York (CUNY)",,Zicklin School of Business,5.0,,0
Harvard Business School,,Master of Business Administration Programs,2.0,,7
Fuller Theological Seminary,,Ph.D program,2.0,,9
Shenandoah University,,"Harry F. Byrd, Jr. School of Business",6.0,,23
University of Portland,,65,5.0,,36
"University of Phoenix, Nashville Campus, Nashville",,0,12.0,,18
"University of Phoenix, Columbus-GA Campus, Columbus",,0,12.0,,28
Lewis & Clark College,,42,2.0,,36
DePaul University,,College of Liberal Arts and Sciences,11.0,,27
"University of Missouri, Kansas City",,Henry W. Bloch School of Management,,PhD in Entrepreneurship and Innovation: contact school for score,34
"University of Colorado, Denver",,33,6.0,,24
University of Texas Medical Branch,,School of Allied Health Sciences,12.0,,11
University of Portland,,Drama,5.0,,36
"University of Phoenix, Knoxville Campus, Knoxville",,0,12.0,,18
"University of Phoenix, Manassas Learning Center, Manassas",,0,12.0,,23
Santa Clara University,,Leavey School of Business,5.0,,9
"University of Minnesota, Twin Cities",,64,12.0,,17
"Baruch College, City University of New York (CUNY)",,4,2.0,,0
"University of Hawaii, Manoa",,U.S. International Master of Business Administration,4.0,10,44
"Devry University, Atlanta Cobb Galleria Center",,25,1.0,,28
Santa Clara University,,10,6.0,,9
"California Baptist University, Riverside",,17,0.0,,9
"University of Phoenix, Henderson Learning Center, Henderson",,0,12.0,,33
"University of Colorado, Boulder",,Communications (master's and doctoral),12.0,,24
"California State University, Fullerton",,1,0.0,,9
George Washington University,,School of Engineering and Applied Sciences,1.0,3,2
"University of Phoenix, Lynnwood Learning Center, Seattle",,0,12.0,,29
University of South Dakota,,0,6.0,,SD
"New York Institute of Technology, Manhattan",,School of Management Master of Business Administration,1.0,,0
"Mercer University, Main Campus",,Eugene W. Stetson School of Business and Economics,12.0,,28
Pace University,,Seidenberg School of Computer Science and Information Systems,6.0,,0
Dartmouth College,,Tuck School of Business,2.0,,25
Alfred University,,Master of Fine Arts,1.0,,0
"University of Phoenix, McDonough Learning Center, McDonough",,0,12.0,,28
Nova Southeastern University,,H. Wayne Huizenga School of Business and Entrepreneurship,1.0,,32
"University of Phoenix, Modesto Learning Center - Salida, Modesto",,0,12.0,,9
"University of Phoenix, Murfreesboro Learning Center, Murfreesboro",,0,12.0,,18
Loma Linda University,,38,0.0,,9
"University of Phoenix, Las Colinas Learning Center, Irving",,0,12.0,,11
Washington University in St. Louis,,George Warren Brown School of Social Work MSW Program,5.0,,34
"University of Phoenix, Cedar Rapids Student Learning Center, Cedar Rapids",,0,12.0,,45
"University of Alabama, Tuscaloosa",,Manderson Graduate School of Business,12.0,,8
"Colorado State University, Pueblo",,1,10.0,,24
"University of Phoenix, Palm Desert Learning Center, Palm Desert",,0,12.0,,9
Massachusetts Institute of Technology,,46,2.0,5,7
"University of Phoenix, Little Rock Campus, Little Rock",,0,12.0,,6
New York University,,School of Professional and Continuing Studies,5.0,,0
University of Houston,,62,12.0,,11
"University of Phoenix, Baton Rougue Campus, Baton Rouge",,0,12.0,,42
University of Pennsylvania,,Master of Biotechnology,7.0,,16
"University of Phoenix, Southern Colorado Campus, Colorado Springs",,0,12.0,,24
American University,,Kogod School of Business,2.0,,2
Vanderbilt University,,3,,2,18
Eastern University,,School of Leadership and Development,0.0,,16
Pepperdine University,,School of Public Policy,5.0,,9
"University of Phoenix, Chattanooga Campus, Chattanooga",,0,12.0,,18
Maryland Institute College of Art,,Graphic Design,1.0,,30
"Devry University, Fresno Campus",,25,1.0,,9
Virginia Polytechnic Institute and State University,,16,12.0,,23
University of Memphis,,Master of Science and Ph.D. in Computer Science,12.0,,18
Widener University,,30,5.0,,16
"University of Colorado, Boulder",,Civil Engineering,5.0,,24
"Devry University, Portland Campus",,25,1.0,,36
Syracuse University,,School of Information Studies,,2,0
"University of North Carolina, Charlotte",,Belk College of Business,12.0,,31
University of Oregon,,28,,2,36
Upper Iowa University,,1,6.0,,45
"Devry University, St. Louis Campus",,25,1.0,,34
"Devry University, Pomona Campus",,25,1.0,,9
"University of Phoenix, Timonium Learning Center, Timonium",,0,12.0,,30
"Texas A&M University, Commerce",,56,4.0,,11
University of Kansas,,0,6.0,no subscore below 5.5; provisional admissions (ESL required): 5.5 (no subsocre below 5.0),46
"University of North Carolina, Chapel Hill",,Kenan-Flagler Business School,5.0,,31
Cornell University,,Johnson School of Management,2.0,,0
"Devry University, Fremont Campus",,25,1.0,,9
Columbia University,,Business School Master of Science Programs,,2,0
Massachusetts Institute of Technology,,Civil and Environmental Engineering,,2,7
Massachusetts Institute of Technology,,Center for Real Estate,2.0,6,7
Keuka College,,41,0.0,,0
"Devry University, Indianapolis Center",,25,1.0,,3
"University of Phoenix, Burlington Learning Center, Burlington",,0,12.0,,7
Loma Linda University,,School of Religion,0.0,,9
"University of Phoenix, Livonia Learning Center, Livonia",,0,12.0,,4
"University of Phoenix, Chicago Campus, Schaumburg",,0,12.0,,27
Saint Vincent College,,41,6.0,,16
Fordham University,,30,1.0,,0
Dartmouth College,,Dartmouth Institute for Health Policy & Clinical Practice,,2,25
University of New Haven,,M.S. Mechanical Engineering,6.0,,38
Loma Linda University,,13,0.0,,9
"Devry University, Charlotte Campus",,25,1.0,,31
University of San Francisco,,Masagung Graduate School of Management,5.0,,9
Georgia State University,,J. Mack Robinson College of Business,11.0,,28
"University of Phoenix, Bay Area - San Francisco Campus, San Jose",,0,12.0,,9
Brandeis University,,Heller Graduate School (SID Program),0.0,,7
Northeastern University,,School of Journalism,5.0,,7
Tufts University,,"Graduate Arts, Sciences and Engineering",12.0,,7
Marywood University,,Business & Managerial Science,1.0,,16
"University of Phoenix, El Centro Learning Center III, El Centro",,0,12.0,,9
Fordham University,,15,2.0,0,0
University of Pennsylvania,,Annenberg School of Communications,,2,16
"University of Phoenix, Oregon Campus, Tigard",,0,12.0,,36
Columbia University,,Teacher's College,2.0,,0
Marywood University,,Nutrition:,1.0,,16
"University of Phoenix, Northwest Indiana Campus, Merrilville",,0,12.0,,3
"University of Phoenix, Santa Teresa Learning Center, Santa Teresa",,0,12.0,,48
"University of Phoenix, Owasso Learning Center, Owasso",,0,12.0,,35
Bloomfield College,,Institute for Technology and Professional Studies,6.0,Bachelor of Science in Nursing (RN to BSN program),13
"California State University, Fullerton",,Master of Music,0.0,,9
"Arizona State University, Phoenix",,5,0.0,1,5
Brandeis University,,SLIFKA Program in Intercommunal Coexistence,2.0,,7
University of Denver,,Daniels College of Business,5.0,,24
Lutheran School of Theology at Chicago,,44,,2,27
University of Pennsylvania,,Graduate Division of Arts & Sciences,12.0,,16
Winthrop University,,39,6.0,,22
Northwestern University,,Northwestern Engineering Master of Project Management (MPM),8.0,,27
"University of Phoenix, Philadelphia Financial District Learning Center",,0,12.0,,16
Xavier University,,1,12.0,,10
"University of Phoenix, Pleasant Grove Learning Center, Pleasant Grove",,0,12.0,,15
University of Iowa,,College of Dentistry,5.0,,45
New York Medical College,,Doctor of Physical Therapy (DTP),2.0,,0
"Auburn University, Auburn","Auburn University, Montgomery",Masters of Real Estate Development,2.0,,8
"University of Phoenix, Beachwood Learning Center, Beachwood",,0,12.0,,10
"University of Phoenix, McAllen Campus, Allen",,0,12.0,,11
Loma Linda University,,School of Science and Technology,0.0,,9
Virginia Polytechnic Institute and State University,,58,6.0,Ph.D. program,23
"Devry University, Decatur Campus",,25,1.0,,28
"University of North Carolina, Wilmington",,Cameron School of Business,12.0,,31
Massachusetts Institute of Technology,,Mechanical Engineering,2.0,6,7
"University of Michigan, Ann Arbor",,42,12.0,,4
Carson-Newman College,,20,0.0,,18
Massachusetts Institute of Technology,,26,2.0,7,7
"University of Phoenix, Ann Arbor Learning Center, Ann Arbor",,0,12.0,,4
"Devry University, Duluth (Gwinnett) Center",,25,1.0,,28
"Texas A&M University, Commerce",,Biological Sciences,4.0,,11
"University of Colorado, Boulder",,Linguistics,12.0,,24
New York Medical College,,Doctor of Public Health in Health Policy and Management (DrPH),9.0,,0
"Devry University, Houston Campus",,25,1.0,,11
Georgia State University,,College of Arts and Science,,2,28
University of Central Oklahoma,,Jackson College of Graduate Studies,6.0,,35
University of Pittsburgh,,School of Public and International Affairs,5.0,,16
SIT Graduate Institute,,20,5.0,,VT
Massachusetts Institute of Technology,,Materials Science and Engineering,1.0,5,7
Yale University,,11,,,38
"University of Phoenix, Washington Learning Center, Washington",,0,12.0,,16
University of Oregon,,3,,2,36
Boston University,,13,1.0,,7
"University of California, San Diego",,Graduate School of International Relations & Pacific Studies,5.0,,9
Ohio State University,,Master of Labor and Human Resources,11.0,8,10
University of San Francisco,,7,5.0,,9
Saint Louis University,,John Cook School of Business,12.0,MBA,34
"Devry University, Pittsburgh Campus",,25,1.0,,16
"University of Phoenix, Las Vegas Campus, Las Vegas",,0,12.0,,33
"Devry University, San Diego Campus",,25,1.0,,9
"University of Maryland, College Park",,Robert H. Smith School of Business,5.0,,30
University of Denver,,University College,6.0,,24
University of Oregon,,School of Music and Dance,,2,36
Illinois Institute of Technology,,36,5.0,,27
Johns Hopkins University,,7,2.0,,30
"University of Phoenix, Minneapolis/ St. Paul Campus, St. Louis Park",,0,12.0,,17
"University of Phoenix, Fort Collins Learning Center, Fort Collins",,0,12.0,,24
University of San Francisco,,45,12.0,School of Education,9
Lutheran School of Theology at Chicago,,Master of Theology,,2,27
University of Scranton,,1,6.0,,16
"University of Phoenix, Louisiana Campus, Metairie",,0,12.0,,42
"Auburn University, Auburn",,Harrison School of Pharmacy,0.0,,8
"Devry University, St. Louis Park Center",,25,1.0,,17
University of Rochester,,School of Medicine and Dentistry,5.0,,0
"University of Phoenix, Northwest Learning Center, Phoenix",,0,12.0,,5
"Wheaton College, Illinois",,20,7.0,,27
"Richmond, The American International University in London",,Master in Art History,,2,
University of Iowa,,Henry B. Tippie School of Management,5.0,,45
"University of Michigan, Ann Arbor",,Public Health,12.0,,4
"Texas A&M University, College Station",,Health Science Center,6.0,,11
"University of Phoenix, Harrisburg Campus, Harrisburg",,0,12.0,,16
University of Delaware,,College of Health Sciences,,2,26
University of Pittsburgh,,1,5.0,12,16
"Devry University, Dayton Center",,25,1.0,,10
Virginia Polytechnic Institute and State University,,Pamplin College of Business,6.0,,23
"Devry University, Houston Galleria",,25,1.0,,11
"University of Phoenix, Lower Burcks County Learning Center, Levittown",,0,12.0,,16
"University of Massachusetts, Amherst",,15,6.0,,7
"University of Phoenix, North Valley Learning Center - Chico, Chico",,0,12.0,,9
"University of Phoenix, Boston Campus, Braintree",,0,12.0,,7
University of Delaware,,"College of Earth, Ocean and Environment",,2,26
"University of Phoenix, Central Florida Campus, Maitland",,0,12.0,,32
Johns Hopkins University,,15,5.0,,30
Clark University,,24,0.0,,7
"California Baptist University, Chino",,17,0.0,,9
"Stony Brook University, State University of New York (SUNY)",,School of Professional Development,12.0,,0
"University of Phoenix, Southglen Learning Center, Centennial",,0,12.0,,24
Northwestern Polytechnic University,,Doctoral programs,0.0,,9
"Devry University, Columbus Campus",,25,1.0,,10
"University of Massachusetts, Amherst",,Isenberg School of Management,6.0,,7
"Devry University, Kansas City Campus",,25,1.0,,34
"Northwood University, Michigan",,1,2.0,,4
"University of Michigan, Ann Arbor",,Krieger Graduate School of Arts and Sciences and Whiting School of Engineering,5.0,Chemical Engineering,4
"University of Phoenix, Memphis Campus, Cordova",,0,12.0,,18
Biola University,,Applied Linguistics and TESOL,2.0,,9
University of Virginia,,Curry School of Education,5.0,,23
University of Pennsylvania,,Fels School of Government,,2,16
University of Portland,,Engineering,5.0,,36
University of Houston,,C.T. Bauer College of Business,12.0,,11
"University of Phoenix, West Michigan Campus, Walker",,0,12.0,,4
Carnegie Mellon University,,Master of Science in Computational Finance,,2,16
Boston University,,11,0.0,,7
"University of Colorado, Boulder",,"Molecular, Cellular, and Developmental Biology (MCDB)",5.0,,24
Kent State University,,40,0.0,,10
"Texas A&M University, Kingsville",,55,4.0,,11
"University of Phoenix, Elk Grove Learning Center, Elk Grove",,0,12.0,,9
Duke University,,Sanford School of Public Policy,2.0,,31
University of Portland,,Theology,5.0,,36
Yale University,,Divinity School and Institute for Sacred Music,5.0,,38
Marywood University,,Biotechnology,1.0,,16
"Devry University, Naperville Center",,25,1.0,,27
Loma Linda University,,27,0.0,,9
"Devry University, Edina Campus",,25,1.0,,17
"University of Phoenix, Monroeville Learning Center, Pittsburgh",,0,12.0,,16
"University of Phoenix, Tri Cities Student Resource Center, Kennewick",,0,12.0,,29
"Carnegie Mellon University, Australia",,"Heinz School, School of Information Systems and Management",2.0,,
New School (The),,Social Research,2.0,,0
Minot State University,,6,1.0,,ND
Emory University,,26,,2,28
"University of Phoenix, Miramar Learning Center, Miramar",,0,12.0,,32
University of Pennsylvania,,36,,7.5 suggested,16
Baylor College of Medicine,,9,1.0,,11
"University of Phoenix, Fairfield Learning Center, Fairfield",,0,12.0,,9
"Brigham Young University, Utah",,Marriott School of Management,2.0,,15
"University of Massachusetts, Amherst",,7,,2,7
"Devry University, Bellevue (Seattle) Center",,25,1.0,,29
"University of Phoenix, Houston Campus, Houston",,0,12.0,,11
George Washington University,,31,1.0,3,2
Virginia Polytechnic Institute and State University,,School of Architecture and Design,12.0,Master of Landscape Architecture (MLA),23
"Devry University, Ft. Washington Campus",,25,1.0,,16
"University of Phoenix, Central Massachusetts Learning Center, Westborough",,0,12.0,,7
Boston College,,11,8.0,,7
University of Pittsburgh,,Swanson School of Engineering,12.0,,16
"University of Colorado, Boulder",,Telecommunications,5.0,,24
"University of Phoenix, Gwinnettt Learning Center, Duluth",,0,12.0,,28
"University of Colorado, Boulder",,"Technology, Media and Society (ATLAS)",5.0,,24
University of New Haven,,M.S. Engineering and Operations Management,6.0,,38
American University,,4,2.0,,2
"University of Phoenix, El Centro Learning Center, Imperial",,0,12.0,,9
Baldwin-Wallace College,,1,1.0,,10
Massachusetts Institute of Technology,,Aeronautics and Astronautics,2.0,,7
"University of Phoenix, New Mexico Campus, Albuquerque",,0,12.0,,48
"University of Phoenix, Greenville Learning Center, Greenville",,0,12.0,,22
"University of Phoenix, Salem Learning Center, Salem",,0,12.0,,36
"Devry University, Morrisville Campus",,25,1.0,,31
"University of Colorado, Boulder",,Journalism (Doctoral),5.0,,24
"Devry University, Bethesda Center",,25,1.0,,30
Goshen College,,MA Intercultural Leadership,,2,3
University of Houston,,51,,2,11
"Carnegie Mellon University, Australia",,Entertainment Technology Center,2.0,,
New School (The),,General Studies,2.0,,0
Tufts University,,58,7.0,,7
University of Pennsylvania,,Computer and Information Science Graduate Programs,7.0,,16
University of South Carolina,,Geological Sciences,12.0,,22
New York University,,Silver School of Social Work,,4,0
"Adelphi University, Garden City",,0,0.0,,0
University of Scranton,,Human Resources Administration,6.0,,16
Loma Linda University,,43,0.0,,9
"University of Phoenix, Yuma Learning Center, Yuma",,0,12.0,,6
Harvard Business School,,34,2.0,,7
"University of Phoenix, Rancho Cordova Learning Center, Rancho Cordova",,0,12.0,,9
University of Central Arkansas,,6,12.0,Master of Accountancy,5
"University of Alaska, Fairbanks",,Fairbanks School of Management,12.0,,43
"University of Phoenix, O'Fallen Learning Center, O'Fallon",,0,12.0,,34
"University of Phoenix, Bakersfield Learning Center, Bakersfield",,0,12.0,,9
York College of Pennsylvania,,1,6.0,,16
"University of Massachusetts, Boston",,Master of Arts in Applied Linguistics,,2,7
Monterey Institute of International Studies,,Fisher Graduate School of International Business,0.0,(no subscore below 6.0),9
"Devry University, Kansas City Downtown",,25,1.0,,34
University of Texas Medical Branch,,9,12.0,,11
"University of Phoenix, San Francisco Learning Center, San Francisco",,0,12.0,,9
University of South Carolina,,Moore School of Business,12.0,,22
"University of Colorado, Boulder",,Electrical Engineering,5.0,,24
"University of Phoenix, Downtown San Diego Learning Center, San Diego",,0,12.0,,9
University of Connecticut,,33,12.0,,38
"University of Phoenix, Hawaii Campus, Honolulu",,0,12.0,,44
University of Scranton,,Master of Health Administration,12.0,,16
University of Rhode Island,,College of Environmental and Life Sciences,,2,41
Illinois Institute of Technology,,37,6.0,,27
"St. John's University, Queens",,Peter J. Tobin College of Business,,2,0
"Devry University, Chicago O'Hare Center",,25,1.0,,27
"Devry University, San Antonio Campus",,25,1.0,,11
Mississippi State University,,Master of Science in Speech-Language Pathology,2.0,,40
"University of Phoenix, Flint Learning Center, Flint",,0,12.0,,4
University of Baltimore,,International MS in Applied Psychology,,2,30
Massachusetts Institute of Technology,,Comparative Media Studies,2.0,5,7
"University of Phoenix, Maryland Campus, Columbia",,0,12.0,,30
Tufts University,,57,5.0,,7
Tulane University,,Freeman School of Business,,2,42
"Devry University, Manhattan Center",,25,1.0,,0
New York University,,Stern School of Business,5.0,,0
University of Scranton,,Counseling Programs,12.0,,16
"University of Phoenix, Snellville Learning Center, Snellville",,0,12.0,,28
Ohio Dominican University,,20,0.0,,10
"University of Phoenix, Fairfax Learning Center, Fairfax",,0,12.0,,23
"University of Phoenix, San Bernadino Learning Center, San Bernadino",,0,12.0,,9
"University of Colorado, Boulder",,56,12.0,,24
University of Findlay,,6,,2,10
Northeastern Illinois University,,Linguistics Department,12.0,,27
Massachusetts Institute of Technology,,"History, Anthropology and Sciences, Technology/Society",2.0,,7
Mississippi State University,,39,,2,40
"University of Colorado, Boulder",,47,5.0,,24
Marywood University,,Psychology:,1.0,,16
