Institution,Specific Graduate Program,Minimum Score Requirement,Restrictions,State
Fairfield University,,,,
"University of Maryland, Baltimore County",,,,
University of Georgia,,,,
"University of Phoenix, Kansas City Campus, Kansas City",,,,
"University of Phoenix, Tinley Park Learning Center, Mokena",,,,
"Devry University, Cherry Hill Center",,,,
"University of Colorado, Boulder",,,,
DePaul University,,,,
Marywood University,,,,
"University of Phoenix, Greenbelt Learning Center, Greenbelt",,,,
"University of Phoenix, Fox Valley Learning Center, Grand Chute",,,,
Massachusetts Institute of Technology,,,,
Vanderbilt University,,,,
"University of Phoenix, Jackson Campus, Flowood",,,,
"City University of Seattle, University of International Business and Economics",,,,
University of Houston,,,,
"Devry University, Long Beach Campus",,,,
"Devry University, Orlando North Center",,,,
"University of Colorado, Boulder",,,,
Massachusetts Institute of Technology,,,,
University of Pittsburgh,,,,
Dominican University,,,,
Vanderbilt University,,,,
"City University of Seattle, Calgary",,,,
Massachusetts Institute of Technology,,,,
"University of Nevada, Reno",,,,
University of Pennsylvania,,,,
"University of Phoenix, Idaho Falls Student Center, Idaho Falls",,,,
"University of Phoenix, East Jacksonville Learning Center, Jacksonville",,,,
"University of Phoenix, Jersey City Campus, Jersey City",,,,
"Pennsylvania State University, University Park",,,,
"University of Phoenix, East El Paso Learning Center, El Paso",,,,
"Baruch College, City University of New York (CUNY)",,,,
Harvard Business School,,,,
Fuller Theological Seminary,,,,
Shenandoah University,,,,
University of Portland,,,,
"University of Phoenix, Nashville Campus, Nashville",,,,
"University of Phoenix, Columbus-GA Campus, Columbus",,,,
Lewis & Clark College,,,,
DePaul University,,,,
"University of Missouri, Kansas City",,,,
"University of Colorado, Denver",,,,
University of Texas Medical Branch,,,,
University of Portland,,,,
"University of Phoenix, Knoxville Campus, Knoxville",,,,
"University of Phoenix, Manassas Learning Center, Manassas",,,,
Santa Clara University,,,,
"University of Minnesota, Twin Cities",,,,
"Baruch College, City University of New York (CUNY)",,,,
"University of Hawaii, Manoa",,,,
"Devry University, Atlanta Cobb Galleria Center",,,,
Santa Clara University,,,,
"California Baptist University, Riverside",,,,
"University of Phoenix, Henderson Learning Center, Henderson",,,,
"University of Colorado, Boulder",,,,
"California State University, Fullerton",,,,
George Washington University,,,,
"University of Phoenix, Lynnwood Learning Center, Seattle",,,,
University of South Dakota,,,,
"New York Institute of Technology, Manhattan",,,,
"Mercer University, Main Campus",,,,
Pace University,,,,
Dartmouth College,,,,
Alfred University,,,,
"University of Phoenix, McDonough Learning Center, McDonough",,,,
Nova Southeastern University,,,,
"University of Phoenix, Modesto Learning Center - Salida, Modesto",,,,
"University of Phoenix, Murfreesboro Learning Center, Murfreesboro",,,,
Loma Linda University,,,,
"University of Phoenix, Las Colinas Learning Center, Irving",,,,
Washington University in St. Louis,,,,
"University of Phoenix, Cedar Rapids Student Learning Center, Cedar Rapids",,,,
"University of Alabama, Tuscaloosa",,,,
"Colorado State University, Pueblo",,,,
"University of Phoenix, Palm Desert Learning Center, Palm Desert",,,,
Massachusetts Institute of Technology,,,,
"University of Phoenix, Little Rock Campus, Little Rock",,,,
New York University,,,,
University of Houston,,,,
"University of Phoenix, Baton Rougue Campus, Baton Rouge",,,,
University of Pennsylvania,,,,
"University of Phoenix, Southern Colorado Campus, Colorado Springs",,,,
American University,,,,
Vanderbilt University,,,,
Eastern University,,,,
Pepperdine University,,,,
"University of Phoenix, Chattanooga Campus, Chattanooga",,,,
Maryland Institute College of Art,,,,
"Devry University, Fresno Campus",,,,
Virginia Polytechnic Institute and State University,,,,
University of Memphis,,,,
Widener University,,,,
"University of Colorado, Boulder",,,,
"Devry University, Portland Campus",,,,
Syracuse University,,,,
"University of North Carolina, Charlotte",,,,
University of Oregon,,,,
Upper Iowa University,,,,
"Devry University, St. Louis Campus",,,,
"Devry University, Pomona Campus",,,,
"University of Phoenix, Timonium Learning Center, Timonium",,,,
"Texas A&M University, Commerce",,,,
University of Kansas,,,,
"University of North Carolina, Chapel Hill",,,,
Cornell University,,,,
"Devry University, Fremont Campus",,,,
Columbia University,,,,
Massachusetts Institute of Technology,,,,
,Civil and Environmental Engineering,,2,7
Keuka College,,,,
"Devry University, Indianapolis Center",,,,
"University of Phoenix, Burlington Learning Center, Burlington",,,,
Loma Linda University,,,,
"University of Phoenix, Livonia Learning Center, Livonia",,,,
"University of Phoenix, Chicago Campus, Schaumburg",,,,
Saint Vincent College,,,,
Fordham University,,,,
Dartmouth College,,,,
University of New Haven,,,,
Loma Linda University,,,,
"Devry University, Charlotte Campus",,,,
University of San Francisco,,,,
Georgia State University,,,,
"University of Phoenix, Bay Area - San Francisco Campus, San Jose",,,,
Brandeis University,,,,
Northeastern University,,,,
Tufts University,,,,
Marywood University,,,,
"University of Phoenix, El Centro Learning Center III, El Centro",,,,
Fordham University,,,,
University of Pennsylvania,,,,
"University of Phoenix, Oregon Campus, Tigard",,,,
Columbia University,,,,
Marywood University,,,,
"University of Phoenix, Northwest Indiana Campus, Merrilville",,,,
"University of Phoenix, Santa Teresa Learning Center, Santa Teresa",,,,
"University of Phoenix, Owasso Learning Center, Owasso",,,,
Bloomfield College,,,,
"California State University, Fullerton",,,,
"Arizona State University, Phoenix",,,,
Brandeis University,,,,
University of Denver,,,,
Lutheran School of Theology at Chicago,,,,
University of Pennsylvania,,,,
Winthrop University,,,,
Northwestern University,,,,
"University of Phoenix, Philadelphia Financial District Learning Center",,,,
Xavier University,,,,
"University of Phoenix, Pleasant Grove Learning Center, Pleasant Grove",,,,
University of Iowa,,,,
New York Medical College,,,,
"Auburn University, Auburn",,,,
"University of Phoenix, Beachwood Learning Center, Beachwood",,,,
"University of Phoenix, McAllen Campus, Allen",,,,
Loma Linda University,,,,
Virginia Polytechnic Institute and State University,,,,
"Devry University, Decatur Campus",,,,
"University of North Carolina, Wilmington",,,,
Massachusetts Institute of Technology,,,,
"University of Michigan, Ann Arbor",,,,
Carson-Newman College,,,,
Massachusetts Institute of Technology,,,,
"University of Phoenix, Ann Arbor Learning Center, Ann Arbor",,,,
"Devry University, Duluth (Gwinnett) Center",,,,
"Texas A&M University, Commerce",,,,
"University of Colorado, Boulder",,,,
New York Medical College,,,,
"Devry University, Houston Campus",,,,
Georgia State University,,,,
University of Central Oklahoma,,,,
University of Pittsburgh,,,,
SIT Graduate Institute,,,,
Massachusetts Institute of Technology,,,,
Yale University,,,,
"University of Phoenix, Washington Learning Center, Washington",,,,
University of Oregon,,,,
Boston University,,,,
"University of California, San Diego",,,,
Ohio State University,,,,
University of San Francisco,,,,
Saint Louis University,,,,
"Devry University, Pittsburgh Campus",,,,
"University of Phoenix, Las Vegas Campus, Las Vegas",,,,
"Devry University, San Diego Campus",,,,
"University of Maryland, College Park",,,,
University of Denver,,,,
University of Oregon,,,,
Illinois Institute of Technology,,,,
Johns Hopkins University,,,,
"University of Phoenix, Minneapolis/ St. Paul Campus, St. Louis Park",,,,
"University of Phoenix, Fort Collins Learning Center, Fort Collins",,,,
University of San Francisco,,,,
Lutheran School of Theology at Chicago,,,,
University of Scranton,,,,
"University of Phoenix, Louisiana Campus, Metairie",,,,
"Auburn University, Auburn",,,,
"Devry University, St. Louis Park Center",,,,
University of Rochester,,,,
"University of Phoenix, Northwest Learning Center, Phoenix",,,,
"Wheaton College, Illinois",,,,
"Richmond, The American International University in London",,,,
University of Iowa,,,,
"University of Michigan, Ann Arbor",,,,
"Texas A&M University, College Station",,,,
"University of Phoenix, Harrisburg Campus, Harrisburg",,,,
University of Delaware,,,,
University of Pittsburgh,,,,
"Devry University, Dayton Center",,,,
Virginia Polytechnic Institute and State University,,,,
"Devry University, Houston Galleria",,,,
"University of Phoenix, Lower Burcks County Learning Center, Levittown",,,,
"University of Massachusetts, Amherst",,,,
"University of Phoenix, North Valley Learning Center - Chico, Chico",,,,
"University of Phoenix, Boston Campus, Braintree",,,,
University of Delaware,,,,
"University of Phoenix, Central Florida Campus, Maitland",,,,
Johns Hopkins University,,,,
Clark University,,,,
"California Baptist University, Chino",,,,
"Stony Brook University, State University of New York (SUNY)",,,,
"University of Phoenix, Southglen Learning Center, Centennial",,,,
Northwestern Polytechnic University,,,,
"Devry University, Columbus Campus",,,,
"University of Massachusetts, Amherst",,,,
"Devry University, Kansas City Campus",,,,
"Northwood University, Michigan",,,,
"University of Michigan, Ann Arbor",,,,
"University of Phoenix, Memphis Campus, Cordova",,,,
Biola University,,,,
University of Virginia,,,,
University of Pennsylvania,,,,
University of Portland,,,,
University of Houston,,,,
"University of Phoenix, West Michigan Campus, Walker",,,,
Carnegie Mellon University,,,,
Boston University,,,,
"University of Colorado, Boulder",,,,
Kent State University,,,,
"Texas A&M University, Kingsville",,,,
"University of Phoenix, Elk Grove Learning Center, Elk Grove",,,,
Duke University,,,,
University of Portland,,,,
Yale University,,,,
Marywood University,,,,
"Devry University, Naperville Center",,,,
Loma Linda University,,,,
"Devry University, Edina Campus",,,,
"University of Phoenix, Monroeville Learning Center, Pittsburgh",,,,
"University of Phoenix, Tri Cities Student Resource Center, Kennewick",,,,
"Carnegie Mellon University, Australia",,,,
New School (The),,,,
Minot State University,,,,
Emory University,,,,
"University of Phoenix, Miramar Learning Center, Miramar",,,,
University of Pennsylvania,,,,
Baylor College of Medicine,,,,
"University of Phoenix, Fairfield Learning Center, Fairfield",,,,
"Brigham Young University, Utah",,,,
"University of Massachusetts, Amherst",,,,
"Devry University, Bellevue (Seattle) Center",,,,
"University of Phoenix, Houston Campus, Houston",,,,
George Washington University,,,,
Virginia Polytechnic Institute and State University,,,,
"Devry University, Ft. Washington Campus",,,,
"University of Phoenix, Central Massachusetts Learning Center, Westborough",,,,
Boston College,,,,
University of Pittsburgh,,,,
"University of Colorado, Boulder",,,,
"University of Phoenix, Gwinnettt Learning Center, Duluth",,,,
"University of Colorado, Boulder",,,,
University of New Haven,,,,
American University,,,,
"University of Phoenix, El Centro Learning Center, Imperial",,,,
Baldwin-Wallace College,,,,
Massachusetts Institute of Technology,,,,
"University of Phoenix, New Mexico Campus, Albuquerque",,,,
"University of Phoenix, Greenville Learning Center, Greenville",,,,
"University of Phoenix, Salem Learning Center, Salem",,,,
"Devry University, Morrisville Campus",,,,
"University of Colorado, Boulder",,,,
"Devry University, Bethesda Center",,,,
Goshen College,,,,
University of Houston,,,,
"Carnegie Mellon University, Australia",,,,
New School (The),,,,
Tufts University,,,,
University of Pennsylvania,,,,
University of South Carolina,,,,
New York University,,,,
"Adelphi University, Garden City",,,,
University of Scranton,,,,
Loma Linda University,,,,
"University of Phoenix, Yuma Learning Center, Yuma",,,,
Harvard Business School,,,,
"University of Phoenix, Rancho Cordova Learning Center, Rancho Cordova",,,,
University of Central Arkansas,,,,
"University of Alaska, Fairbanks",,,,
"University of Phoenix, O'Fallen Learning Center, O'Fallon",,,,
"University of Phoenix, Bakersfield Learning Center, Bakersfield",,,,
York College of Pennsylvania,,,,
"University of Massachusetts, Boston",,,,
Monterey Institute of International Studies,,,,
"Devry University, Kansas City Downtown",,,,
University of Texas Medical Branch,,,,
"University of Phoenix, San Francisco Learning Center, San Francisco",,,,
University of South Carolina,,,,
"University of Colorado, Boulder",,,,
"University of Phoenix, Downtown San Diego Learning Center, San Diego",,,,
University of Connecticut,,,,
"University of Phoenix, Hawaii Campus, Honolulu",,,,
University of Scranton,,,,
University of Rhode Island,,,,
Illinois Institute of Technology,,,,
"St. John's University, Queens",,,,
"Devry University, Chicago O'Hare Center",,,,
"Devry University, San Antonio Campus",,,,
Mississippi State University,,,,
"University of Phoenix, Flint Learning Center, Flint",,,,
University of Baltimore,,,,
Massachusetts Institute of Technology,,,,
"University of Phoenix, Maryland Campus, Columbia",,,,
Tufts University,,,,
Tulane University,,,,
"Devry University, Manhattan Center",,,,
New York University,,,,
University of Scranton,,,,
"University of Phoenix, Snellville Learning Center, Snellville",,,,
Ohio Dominican University,,,,
"University of Phoenix, Fairfax Learning Center, Fairfax",,,,
"University of Phoenix, San Bernadino Learning Center, San Bernadino",,,,
"University of Colorado, Boulder",,,,
University of Findlay,,,,
Northeastern Illinois University,,,,
Massachusetts Institute of Technology,,,,
Mississippi State University,,,,
"University of Colorado, Boulder",,,,
Marywood University,,,,
"University of Phoenix, Idaho Campus, Meridian",,,,
University of Arizona,,,,
"University of Colorado, Boulder",,,,
Washington University in St. Louis,,,,
Chapman University,,,,
"University of Phoenix, Diamond Bar Learning Center, Diamond Bar",,,,
Regent University,,,,
Northeastern University,,,,
Brandeis University,,,,
"University of Phoenix, Dallas Campus, Dallas",,,,
"University of Michigan, Ann Arbor",,,,
University of Notre Dame,,,,
"Devry University, Glendale Center",,,,
"Devry University, Oxnard Center",,,,
"University of Phoenix, Plano Student Resource Center, Plano",,,,
"University of Wisconsin, Stout",,,,
Washington University in St. Louis,,,,
University of South Carolina,,,,
"University of California, Davis",,,,
"University of Michigan, Dearborn",,,,
University of Puget Sound,,,,
Rider University,,,,
"University of Phoenix, Virginia Beach Learning Center, Virginia Beach",,,,
"University of Phoenix, Atlanta Campus, Sandy Springs",,,,
"City University of Seattle, Edmonton",,,,
University of Delaware,,,,
New School (The),,,,
"Devry University, Tampa East Center",,,,
Georgetown University,,,,
"University of Houston, Victoria",,,,
"University of Phoenix, Lafayette, LA Campus, LaFayette",,,,
Alverno College,,,,
University of San Francisco,,,,
"University of Colorado, Boulder",,,,
"Devry University, Chicago Campus",,,,
Johns Hopkins University,,,,
"University of Michigan, Ann Arbor",,,,
"University of Phoenix, Columbus Ohio Campus, Columbus",,,,
University of Arizona,,,,
University of Oklahoma,,,,
"Pennsylvania State University, Harrisburg",,,,
Columbia University,,,,
Rollins College,,,,
Pace University,,,,
"City University of Seattle, Victoria",,,,
Massachusetts Institute of Technology,,,,
Union Graduate College,,,,
Syracuse University,,,,
"Indiana University-Purdue University, Fort Wayne",,,,
"Texas A&M University, Commerce",,,,
University of Rhode Island,,,,
Georgia State University,,,,
"University of Phoenix, Savannah Campus, Savannah",,,,
"Indiana University, East",,,,
"University of Phoenix, Mililani Learning Center, Mililani",,,,
"Devry University, King of Prussia Center",,,,
University of San Francisco,,,,
"College of Staten Island, City University of New York (CUNY)",,,,
University of Houston,,,,
University of San Diego,,,,
"California Baptist University, Beaumont",,,,
Boston University,,,,
"University of Phoenix, Tulsa Campus, Tulsa",,,,
University of Denver,,,,
University of Baltimore,,,,
University of Findlay,,,,
Florida Atlantic University,,,,
American University,,,,
"University of Phoenix, Kirtland AFB Learning Center, Albuquerque",,,,
Palo Alto University,,,,
"Carnegie Mellon University, Portugal",,,,
Washburn University,,,,
"University of Phoenix, South Florida Campus, Plantation",,,,
"University of Phoenix, West Valley Learning Center, Phoenix",,,,
Clarkson University,,,,
"Devry University, Orlando Campus",,,,
"University of Phoenix, Phoenix Hokoman Campus, Phoenix",,,,
American University,,,,
"University of Houston, Victoria",,,,
Columbia University,,,,
New York University,,,,
"Devry University, Arlington (Crystal City) Campus",,,,
Duke University,,,,
Dartmouth College,,,,
"University of Phoenix, River Road Learning Center, Tucson",,,,
"Devry University, Miami Center",,,,
"California State University, Fullerton",,,,
Johns Hopkins University,,,,
Massachusetts Institute of Technology,,,,
"California Baptist University, San Bernardino",,,,
Carnegie Mellon University,,,,
"University of Phoenix, Detroit Campus, Troy",,,,
"University of Phoenix, Milwaukee Campus, Brookville",,,,
"University of Phoenix, Westlake Learning Center, Westlake",,,,
University of Houston,,,,
University of Arkansas For Medical Sciences,,,,
"University of Massachusetts, Boston",,,,
University of Chicago,,,,
University of Houston,,,,
Massachusetts Institute of Technology,,,,
Capital University,,,,
University of Pittsburgh-Carnegie Mellon University,,,,
Massachusetts Institute of Technology,,,,
Yale University,,,,
"University of Texas, Tyler",,,,
"University of Phoenix, North Alpharetta Learning Center, Alpharetta",,,,
Cornell University,,,,
Fairfield University,,,,
Mills College,,,,
University of Pennsylvania,,,,
Claremont Graduate University,,,,
"Devry University, Lynnwood Center",,,,
Loyola University Chicago,,,,
Chapman University,,,,
Clark University,,,,
University of Portland,,,,
Northeastern University,,,,
Loma Linda University,,,,
Drexel University,,,,
Virginia Polytechnic Institute and State University,,,,
University of Denver,,,,
"University of Arkansas, Fayetteville",,,,
Drew University,,,,
Georgetown University,,,,
Pepperdine University,,,,
"Texas A&M University, Commerce",,,,
"Auburn University, Auburn",,,,
Massachusetts Institute of Technology,,,,
"University of St. Thomas, Minneapolis",,,,
"Indiana University, Bloomington",,,,
"Devry University, Ft. Worth Center",,,,
Massachusetts Institute of Technology,,,,
Kent State University,,,,
Massachusetts Institute of Technology,,,,
New York University,,,,
"Auburn University, Auburn",,,,
Vanderbilt University,,,,
Syracuse University,,,,
"University of Phoenix, Colorado Campus, Lone Tree",,,,
Vanderbilt University,,,,
"University of Phoenix, Florence KY Learning Center, Florence",,,,
"University of Colorado, Boulder",,,,
University of Denver,,,,
"University of Michigan, Dearborn",,,,
University of Florida,,,,
Goshen College,,,,
"University of Phoenix, Sarpy Student Resource Center, Omaha",,,,
Georgetown University,,,,
Massachusetts Institute of Technology,,,,
San Jose State University,,,,
Widener University,,,,
"University of Phoenix, Marietta Learning Center, Marietta",,,,
"University of Texas, Austin",,,,
University of Kentucky,,,,
University of New Haven,,,,
American University,,,,
"University of Phoenix, Portage Learning Center, Portage",,,,
University of Redlands,,,,
"University of Phoenix, Roseville Learning Center, Roseville",,,,
University of Oregon,,,,
Massachusetts Institute of Technology,,,,
University of Baltimore,,,,
"Devry University, Memphis Campus",,,,
"Devry University, Addison Campus",,,,
"University of Phoenix, Cleveland Campus, Independence",,,,
Massachusetts Institute of Technology,,,,
Seton Hall University,,,,
"City University of Seattle, Vancouver, Canada",,,,
"University of Phoenix, Brookstone Learning Center, Columbus",,,,
"City University of Seattle, Business and Hotel Management School",,,,
"University of Phoenix, Northern Nevada Campus, Reno",,,,
"City University of Seattle, Vysoka Skola Manazmentu",,,,
Carnegie Mellon University,,,,
Michigan State University,,,,
"University of Colorado, Boulder",,,,
Fuller Theological Seminary,,,,
"University of Colorado, Boulder",,,,
University of Pennsylvania,,,,
Western Kentucky University,,,,
Northeastern University,,,,
Tulane University,,,,
"University of Phoenix, Eastern Washington Campus, Spokane",,,,
"University of Phoenix, Magic View learning Center, Meridian",,,,
Capital University,,,,
"Rutgers, The State University of New Jersey, Newark",,,,
"University of Phoenix, Lathrop Learning Center, Lathrop",,,,
"University of Phoenix, North Davis Learning Center, Clearfield",,,,
"Devry University, Sacramento (Elk Grove) Campus",,,,
"Devry University, Elgin Center",,,,
Seton Hall University,,,,
Montclair State University,,,,
University of Houston,,,,
"Devry University, Philadelphia (Center City) Center",,,,
"University of Phoenix, Des Moines Campus, West Des Moines",,,,
"Devry University, Chesapeake (South Hampton Roads) Campus",,,,
George Washington University,,,,
"University of Washington, Bothell",,,,
Dominican University,,,,
"University of Colorado, Boulder",,,,
"University of Phoenix, Clear Lake Learning Center, Houston",,,,
"University of Phoenix, Gardena Learning Center, Gardena",,,,
"University of Phoenix, Northwest Arkansas Campus, Rogers",,,,
Massachusetts Institute of Technology,,,,
"University of Phoenix, Bellevue Learning Center, Bellevue",,,,
New York University,,,,
Boston University,,,,
"Devry University, Southfield Campus",,,,
"University of Phoenix, Santa Fe Learning Center, Santa Fe",,,,
"University of Phoenix, Miami Learning Center, Miami",,,,
"City University of Seattle, CU-TEI Piraeus Program",,,,
Ohio State University,,,,
Columbia University,,,,
Boston College,,,,
"University of Phoenix, Fairfield County Campus, Norwalk",,,,
"Devry University, Sandy Campus",,,,
"University of Phoenix, Concord Learning Center, Concord",,,,
Regent University,,,,
Oral Roberts University,,,,
Boston University,,,,
San Diego State University,,,,
Northeastern University,,,,
Virginia Polytechnic Institute and State University,,,,
University of San Francisco,,,,
Framingham State University,,,,
"University of Phoenix, HEAT Center, Aberdeen",,,,
University of Rhode Island,,,,
"University of Phoenix, Southlands Learning Center, Aurora",,,,
"Devry University, Seven Hills Campus",,,,
University of Pittsburgh,,,,
Massachusetts Institute of Technology,,,,
Syracuse University,,,,
Illinois Institute of Technology,,,,
New York Medical College,,,,
"University of Phoenix, Arlington Learning Center, Arlington",,,,
Manhattan School of Music,,,,
"University of Phoenix, Lancaster Learning Center, Lancaster",,,,
Pace University,,,,
"Devry University, Daly City Center",,,,
Capital University,,,,
New School (The),,,,
"University of Phoenix, Washington D.C. Campus, Washington",,,,
"University of Colorado, Boulder",,,,
Emory University,,,,
"Richmond, The American International University in London",,,,
"University of Phoenix, Lenexa Learning Center, Lenexa",,,,
"University of Phoenix, Palm Beach Gardens Learning Center",,,,
Kent State University,,,,
Georgetown University,,,,
Florida International University,,,,
University of Dallas,,,,
"University of Phoenix, Asheville Learning Center, Asheville",,,,
University of Pittsburgh,,,,
"University of Phoenix, Charlotte East Student Resource Center, Charlotte",,,,
Virginia Polytechnic Institute and State University,,,,
College of William and Mary (The),,,,
"University of Phoenix, Topeka Student Resource Center, Topeka",,,,
University of New Haven,,,,
"University of Phoenix, Dekalb Learning Center, Atlanta",,,,
George Washington University,,,,
"City University of Seattle, CU-TEI Piraeus Program",,,,
New School (The),,,,
"University of Phoenix, Westshore Learning Center, Tampa",,,,
"Carnegie Mellon University, Greece",,,,
Johns Hopkins University,,,,
"University of Phoenix, Columbia South Carolina Campus, Columbia",,,,
"University of Phoenix, Town Center Learning Center, Southfield",,,,
University of Pittsburgh,,,,
"University of Phoenix, Windsor Park Learning Center, Windcrest",,,,
"Wheaton College, Illinois",,,,
"Texas A&M University, Commerce",,,,
College of Charleston,,,,
"University of Phoenix, West Florida Campus, Tempe Terrace",,,,
Carnegie Mellon University,,,,
Widener University,,,,
"University of Phoenix, South Orlando Learning Center, Orlando",,,,
"Northwood University, Florida",,,,
"Devry University, Louisville Campus",,,,
Columbia University,,,,
University of Virginia,,,,
"Devry University, Colton (Inland-Empire) Center",,,,
University of Virginia,,,,
"University of Phoenix, Warrenville Learning Center, Warrenville",,,,
"University of Maryland University College, Adelphi (UMUC Headquarters), Adelphi",,,,
University of Portland,,,,
"Devry University, Jacksonville Campus",,,,
"Devry University, Oakland Center",,,,
"University of Phoenix, Greensboro Learning Center, Greensboro",,,,
Spring Hill College,,,,
Bellarmine University,,,,
California Lutheran University,,,,
University of Connecticut,,,,
Massachusetts Institute of Technology,,,,
"University of Colorado, Boulder",,,,
"Auburn University, Auburn",,,,
New York University,,,,
"Devry University, Tinley Park Campus",,,,
"Texas A&M University, Commerce",,,,
"University of Colorado, Boulder",,,,
"Devry University, Tampa Bay Campus",,,,
Widener University,,,,
"University of Phoenix, Tacoma Learning Center, Tacoma",,,,
