token,is_ailment,is_authority,is_body_part,is_ingredient,is_treatment
anemone,False,False,False,True,False
anguish,True,False,False,False,False
anima,False,True,False,False,False
anise,False,False,False,True,False
aniseed,False,False,False,True,False
anorectal,True,False,False,False,False
antihemorrhagic,False,False,False,True,False
antimony,False,False,False,True,False
antipyretic,False,False,False,True,False
anus,False,False,True,False,False
anxiety,True,False,False,False,False
aperient,False,False,False,False,True
aphasia,True,False,False,False,False
aphrodisiac,False,False,False,True,False
apoplexy,True,False,False,False,False
apparatus,False,False,False,True,False
appetite,True,False,False,False,False
apple,False,False,False,True,False
application,False,False,False,False,True
applied,False,False,False,False,True
apprentice,False,True,False,False,False
apricot,False,False,False,True,False
arachnoid,True,False,False,False,False
archigenes,False,True,False,False,False
argilla,False,False,False,True,False
aristolochia,False,True,False,False,False
aristotle,False,True,False,False,False
arm,False,False,True,False,False
armpit,False,False,True,False,False
aromatic,False,False,False,True,False
arsenic,False,False,False,True,False
artemisia,False,False,False,True,False
artery,False,False,True,False,False
asafoetida,False,False,False,True,False
ascetic,False,True,False,False,False
ascites,True,False,False,False,False
ash,False,False,False,True,False
asparagus,False,False,False,True,False
asthma,True,False,False,False,False
astral,False,False,False,False,True
astral-medicine,False,False,False,False,True
astringent,False,False,False,True,False
astro-medical,False,False,False,False,True
astrological,False,False,False,False,True
astrological-medical,False,False,False,False,True
astrology,False,False,False,False,True
atheroma,True,False,False,False,False
atrophy,True,False,False,False,False
attack,True,False,False,False,False
averroes,False,True,False,False,False
avicenna,False,True,False,False,False
baby,False,False,True,False,False
back,False,False,True,False,False
backache,False,False,True,False,False
bad,True,False,False,False,False
badly,True,False,False,False,False
baking,False,False,False,True,False
balanced,False,False,False,False,True
baldness,True,False,False,False,False
balm,False,False,False,True,False
balsam,False,False,False,True,False
bamboo,False,False,False,True,False
bandage,False,False,False,False,True
bandaging,False,False,False,False,True
bark,False,False,False,True,False
barley,False,False,False,True,False
barley-water,False,False,False,True,False
barren,True,False,False,False,False
basal,False,False,False,False,True
base,False,False,False,True,False
basil,False,False,False,True,False
basilius,False,False,False,True,False
bath,False,False,False,False,True
bathing,False,False,False,False,True
bayṭār,False,True,False,False,False
bdellium,False,False,False,True,False
bean,False,False,False,True,False
bedwetting,True,False,False,False,False
bee,False,False,False,True,False
beet,False,False,False,True,False
belly,False,False,True,False,False
berberi,False,False,False,False,True
berberis,False,False,False,False,True
bernard,False,True,False,False,False
beryl,False,False,False,True,False
betel,False,False,False,True,False
bile,True,False,False,False,False
bindweed,False,False,False,True,False
birth,True,False,False,False,False
bite,True,False,False,False,False
bitten,True,False,False,False,False
bitter,False,False,False,True,False
bituminous,False,False,False,True,False
bladder,False,False,True,False,False
bleed,True,False,False,False,False
bleeding,True,False,False,False,False
blepharitis,True,False,False,False,False
blindness,True,False,False,False,False
bloating,True,False,False,False,False
blockage,True,False,False,False,False
blocked,True,False,False,False,False
blood,False,False,True,False,False
blood-letting,False,False,False,False,True
bloodletting,False,False,False,False,True
bloodspots,True,False,False,False,False
bloody,True,False,False,False,False
blossom,False,False,False,True,False
blurred,True,False,False,False,False
bodily,False,False,True,False,False
body,False,False,True,False,False
boil,True,False,False,False,False
bole,False,False,False,True,False
bone,False,False,True,False,False
borage,False,False,False,True,False
borage-water,False,False,False,True,False
borax,False,False,False,True,False
bowel,False,False,True,False,False
box-thorn,False,False,False,True,False
boy,False,False,True,False,False
brain,False,False,True,False,False
bran,False,False,False,True,False
brassica,False,False,False,True,False
brazilwood,False,False,False,True,False
bread,False,False,False,True,False
breakfast,False,False,False,False,True
breast,False,False,True,False,False
breast-feeding,True,False,False,False,False
breast-related,True,False,False,False,False
breath,False,False,True,False,False
breathing,True,False,False,False,False
broken,True,False,False,False,False
bubo,True,False,False,False,False
bulimia,True,False,False,False,False
burn,True,False,False,False,False
burning,True,False,False,False,False
burnt,True,False,False,False,False
butter,False,False,False,True,False
buttock,False,False,True,False,False
buṭlān,False,True,False,False,False
cabbage,False,False,False,True,False
cadmia,False,False,False,True,False
cadmium,False,False,False,True,False
caesar,False,False,False,False,True
calx,False,False,False,True,False
camomile,False,False,False,True,False
camphor,False,False,False,True,False
cancer,True,False,False,False,False
candy,False,False,False,True,False
cannabis,False,False,False,True,False
canon,False,True,False,False,False
cant,False,False,True,False,False
canthus,False,False,True,False,False
caraway,False,False,False,True,False
cardamom,False,False,False,True,False
cardamon,False,False,False,True,False
care,False,False,False,False,True
caries,True,False,False,False,False
carminative,False,False,False,False,True
carnation,False,False,False,True,False
carob,False,False,False,True,False
carraway,False,False,False,True,False
carrot,False,False,False,True,False
carthamus,False,False,False,True,False
cartilage,False,False,True,False,False
cassia,False,False,False,True,False
cassis,False,False,False,True,False
castor,False,False,False,True,False
castoreum,False,False,False,True,False
cataract,True,False,False,False,False
cauterisation,False,False,False,False,True
cautery,False,False,False,False,True
cava,False,False,True,False,False
cavity,True,False,False,False,False
celery,False,False,False,True,False
celery-water,False,False,False,True,False
cephalic,False,False,True,False,False
cerebral,False,False,True,False,False
ceruse,False,False,False,True,False
chalk,False,False,False,True,False
chamomile,False,False,False,True,False
chebulic,False,False,False,True,False
cheese,False,False,False,True,False
chemistry,False,False,False,False,True
chest,False,False,True,False,False
chestnut,False,False,False,True,False
chewing,False,False,True,False,False
chicken,False,False,False,True,False
chickpea,False,False,False,True,False
chicory,False,False,False,True,False
child,False,False,True,False,False
childbirth,True,False,False,False,False
chin,False,False,True,False,False
cholera,True,False,False,False,False
choroid,False,False,True,False,False
chronic,True,False,False,False,False
chyme,True,False,False,False,False
cicatrisation,True,False,False,False,False
cimolia,False,False,False,True,False
cinnabar,False,False,False,True,False
cinnamon,False,False,False,True,False
circulation,True,False,False,False,False
cissus,False,False,False,True,False
cistus,False,False,False,True,False
clay,False,False,False,True,False
cleaning,False,False,False,False,True
cleanse,False,False,False,False,True
cleansing,False,False,False,False,True
clove,False,False,False,True,False
coal,False,False,False,True,False
coan,False,True,False,False,False
coco-grass,False,False,False,True,False
cocoon,False,False,False,True,False
coitus,True,False,False,False,False
colchicum,False,False,False,True,False
cold,True,False,False,False,False
coldness,True,False,False,False,False
colera,False,True,False,False,False
colic,True,False,False,False,False
collyrium,False,False,False,False,True
colocynth,False,False,False,True,False
coma,True,False,False,False,False
conception,True,False,False,False,False
concoction,False,False,False,False,True
congeal,False,False,False,False,True
congestion,True,False,False,False,False
conium,False,False,False,True,False
conjunctiva,True,False,False,False,False
conjunctivitis,True,False,False,False,False
constipation,True,False,False,False,False
consumption,True,False,False,False,False
contraception,False,False,False,False,True
contraceptive,False,False,False,False,True
convolvulus,False,False,False,True,False
convulsion,True,False,False,False,False
copper,False,False,False,True,False
coral,False,False,False,True,False
cordial,False,False,False,True,False
coriander,False,False,False,True,False
corn,False,False,False,True,False
cornea,False,False,True,False,False
corneal,False,False,True,False,False
corona,False,False,True,False,False
cosmetic,False,False,False,False,True
costus,False,False,False,True,False
cotton,False,False,False,True,False
couching,False,False,False,False,True
cough,True,False,False,False,False
coughing,True,False,False,False,False
cow,False,False,False,True,False
crack,True,False,False,False,False
cracked,True,False,False,False,False
cramp,True,False,False,False,False
cream,False,False,False,False,True
cress,False,False,False,True,False
crippled,True,False,False,False,False
crisis,True,False,False,False,False
critical,True,False,False,False,False
crocus,False,False,False,True,False
cry,True,False,False,False,False
cubeb,False,False,False,True,False
cubital,False,False,True,False,False
cucumber,False,False,False,True,False
cumin,False,False,False,True,False
cupping,False,False,False,False,True
curability,False,False,False,False,True
curative,False,False,False,False,True
curcuma,False,False,False,True,False
cure,False,False,False,False,True
cured,False,False,False,False,True
curing,False,False,False,False,True
cut,False,False,False,False,True
cutting,False,False,False,False,True
cyclamen,False,False,False,True,False
cyperus,False,False,False,True,False
cypress,False,False,False,True,False
cytinus,False,False,False,True,False
dairy,False,False,False,True,False
dead,True,False,False,False,False
deadly,True,False,False,False,False
deafness,True,False,False,False,False
death,True,False,False,False,False
debilitating,True,False,False,False,False
decay,True,False,False,False,False
deficiency,True,False,False,False,False
deficient,True,False,False,False,False
deformed,True,False,False,False,False
delusion,True,False,False,False,False
dental,True,False,False,False,False
dentifrice,False,False,False,False,True
dentist,False,True,False,False,False
dentistry,False,False,False,False,True
depilatory,False,False,False,False,True
depression,True,False,False,False,False
dermatitis,True,False,False,False,False
dermatological,False,False,False,False,True
dermatology,False,False,False,False,True
diabetes,True,False,False,False,False
diamond,False,False,False,True,False
diaphoretic,False,False,False,False,True
diarrhoea,True,False,False,False,False
die,True,False,False,False,False
died,True,False,False,False,False
diet,False,False,False,False,True
dietary,False,False,False,False,True
dietetic,False,False,False,False,True
dietetics,False,False,False,False,True
digestion,True,False,False,False,False
digestive,True,False,False,False,False
dilatation,False,False,False,False,True
dill,False,False,False,True,False
dimness,True,False,False,False,False
dioscorides,False,True,False,False,False
diphtheria,True,False,False,False,False
dipping,False,False,False,False,True
disabled,True,False,False,False,False
discharge,True,False,False,False,False
discolouration,True,False,False,False,False
disease,True,False,False,False,False
diseased,True,False,False,False,False
disintegration,True,False,False,False,False
dislocation,True,False,False,False,False
disorder,True,False,False,False,False
dispensary,False,False,False,False,True
dispenses,False,False,False,False,True
dissolution,False,False,False,False,True
dissolve,False,False,False,False,True
dissolved,False,False,False,False,True
distorted,False,False,False,False,True
distress,True,False,False,False,False
diuretic,False,False,False,False,True
divination,False,False,False,False,True
divinatory,False,False,False,False,True
doctor,False,True,False,False,False
dodder,False,False,False,True,False
doe,False,False,False,True,False
dog,False,False,False,True,False
doronicum,False,False,False,True,False
dosage,False,False,False,False,True
dropsy,True,False,False,False,False
druggist,False,True,False,False,False
drunk,True,False,False,False,False
drunkenness,True,False,False,False,False
dryness,True,False,False,False,False
dying,True,False,False,False,False
dysentry,True,False,False,False,False
dysmenorrhea,True,False,False,False,False
dyspnoea,True,False,False,False,False
dysuria,True,False,False,False,False
ear,False,False,True,False,False
earache,True,False,False,False,False
eardrop,True,False,False,False,False
ectropion,True,False,False,False,False
eczema,True,False,False,False,False
egg,False,False,False,True,False
ejaculation,True,False,False,False,False
elderly,True,False,False,False,False
elecampane,False,False,False,True,False
electuaries,False,False,False,False,True
electuary,False,False,False,False,True
element,False,False,False,True,False
elephantiasis,True,False,False,False,False
elettaria,False,False,False,True,False
elimination,False,False,False,False,True
elixir,False,False,False,False,True
embrocation,False,False,False,False,True
embryo,False,False,True,False,False
embryology,False,False,True,False,False
emesis,False,False,False,False,True
emetic,False,False,False,False,True
emicrania,True,False,False,False,False
emmenagogue,False,False,False,False,True
endive,False,False,False,True,False
endive-water,False,False,False,True,False
enema,False,False,False,False,True
enlargement,True,False,False,False,False
entropion,True,False,False,False,False
epidemic,True,False,False,False,False
epilepsy,True,False,False,False,False
epiphora,True,False,False,False,False
epistaxis,True,False,False,False,False
epithelium,False,False,True,False,False
epizootic,True,False,False,False,False
erection,False,False,True,False,False
eruca,False,False,False,True,False
eruption,True,False,False,False,False
erysipelas,True,False,False,False,False
euphorbia,False,False,False,True,False
evacuation,False,False,False,False,True
examination,False,False,False,False,True
excess,True,False,False,False,False
excrement,False,False,True,False,False
excretion,False,False,True,False,False
exhaustion,True,False,False,False,False
exophthalmos,True,False,False,False,False
expectorant,False,False,False,False,True
expectorate,False,False,False,False,True
expectoration,False,False,False,False,True
eye,False,False,True,False,False
eye-pain,True,False,False,False,False
eye-washes,False,False,False,False,True
eyeball,False,False,True,False,False
eyebrow,False,False,True,False,False
eyelash,False,False,True,False,False
eyelid,False,False,True,False,False
eyesight,False,False,True,False,False
face,False,False,True,False,False
facial,False,False,True,False,False
facultatibus,False,True,False,False,False
faeces,False,False,True,False,False
failing,True,False,False,False,False
faint,True,False,False,False,False
famine,True,False,False,False,False
fasting,False,False,False,False,True
fat,True,False,False,False,False
fava,False,False,False,True,False
fear,True,False,False,False,False
febrium,False,True,False,False,False
fennel,False,False,False,True,False
fenugreek,False,False,False,True,False
fertility,True,False,False,False,False
fever,True,False,False,False,False
feverish,True,False,False,False,False
fig,False,False,False,True,False
finger,False,False,True,False,False
fire,False,False,False,True,False
fish,False,False,False,True,False
fissure,True,False,False,False,False
fistula,True,False,False,False,False
flask,False,False,False,True,False
flatulence,True,False,False,False,False
flax,False,False,False,True,False
flea-wort,False,False,False,True,False
fleawort,False,False,False,True,False
flour,False,False,False,True,False
flower,False,False,False,True,False
flu,True,False,False,False,False
fluid,True,False,False,False,False
flush,False,False,False,False,True
flux,True,False,False,False,False
foetus,False,False,True,False,False
foot,False,False,True,False,False
forearm,False,False,True,False,False
forehead,False,False,True,False,False
forgetfulness,True,False,False,False,False
fracture,True,False,False,False,False
frankincense,False,False,False,True,False
freckle,False,False,True,False,False
fruit,False,False,False,True,False
fumaria,False,False,False,True,False
fumigant,False,False,False,False,True
fumigating,False,False,False,False,True
fumitory,False,False,False,False,True
galbanum,False,False,False,True,False
galen,False,True,False,False,False
galenic,False,True,False,False,False
galingale,False,False,False,True,False
gall-nut,False,False,False,True,False
gallic,False,False,False,True,False
gallnut,False,False,False,True,False
gallnuts,False,False,False,True,False
gangrene,True,False,False,False,False
gangrenous,True,False,False,False,False
gargle,False,False,False,False,True
gargling,False,False,False,False,True
garlic,False,False,False,True,False
gas,True,False,False,False,False
gasping,True,False,False,False,False
gastric,False,False,True,False,False
gastro-intestinal,False,False,True,False,False
gentian,False,False,False,True,False
giddiness,True,False,False,False,False
ginger,False,False,False,True,False
gingivitis,True,False,False,False,False
gland,False,False,True,False,False
glaucon,False,True,False,False,False
glauconem,False,True,False,False,False
goat,False,False,False,True,False
gold,False,False,False,True,False
goose,False,False,False,True,False
gourd,False,False,False,True,False
gout,True,False,False,False,False
grape,False,False,False,True,False
grass,False,False,False,True,False
groin,False,False,True,False,False
growth,False,False,True,False,False
gum,False,False,False,True,False
gummifera,False,False,False,True,False
gustatory,False,False,True,False,False
gut,False,False,True,False,False
gynaecological,False,False,True,False,False
gynaecology,False,False,True,False,False
gypsophila,False,False,False,True,False
haematite,False,False,False,True,False
haematuria,True,False,False,False,False
haemorrhage,True,False,False,False,False
haemorrhoid,True,False,False,False,False
hair,False,False,True,False,False
hairy,True,False,False,False,False
halitosis,True,False,False,False,False
hallucination,True,False,False,False,False
hand,False,False,True,False,False
harmala,False,False,False,True,False
hazelnut,False,False,False,True,False
head,False,False,True,False,False
headache,True,False,False,False,False
heal,False,False,False,False,True
healing,False,False,False,False,True
health,False,False,False,False,True
healthy,False,False,False,False,True
hearing,True,False,False,False,False
heart,False,False,True,False,False
heat,False,False,False,False,True
heel,False,False,True,False,False
hellebore,False,False,False,True,False
helminthicides,False,False,False,False,True
hematite,False,False,False,True,False
hemicrania,True,False,False,False,False
hemlock,False,False,False,True,False
hemp,False,False,False,True,False
hen,False,False,False,True,False
henna,False,False,False,True,False
hepatic,True,False,False,False,False
herb,False,False,False,True,False
hernia,True,False,False,False,False
herpes,True,False,False,False,False
hiccough,True,False,False,False,False
hiccup,True,False,False,False,False
hippocrates,False,True,False,False,False
hippocratic,False,True,False,False,False
hirsutism,True,False,False,False,False
hoarse,True,False,False,False,False
hoarseness,True,False,False,False,False
honey,False,False,False,True,False
horehound,False,False,False,True,False
horn,False,False,False,True,False
hospital,False,False,False,False,True
human,False,False,True,False,False
humoral,False,False,False,False,True
humour,False,False,False,False,True
hunger,True,False,False,False,False
hyacinth,False,False,False,True,False
hydrophobia,True,False,False,False,False
hygiene,False,False,False,False,True
hygienic,False,False,False,False,True
hypocistis,False,False,False,True,False
hypopyon,True,False,False,False,False
hyssop,False,False,False,True,False
illness,True,False,False,False,False
immobility,True,False,False,False,False
impairing,True,False,False,False,False
impotence,True,False,False,False,False
impurity,True,False,False,False,False
incantation,False,False,False,False,True
incense,False,False,False,False,True
incontinence,True,False,False,False,False
incurable,True,False,False,False,False
indigestion,True,False,False,False,False
indigo,False,False,False,True,False
induced,False,False,False,False,True
infant,False,False,True,False,False
infected,True,False,False,False,False
infection,True,False,False,False,False
infertility,True,False,False,False,False
infestation,True,False,False,False,False
inflamed,True,False,False,False,False
inflammation,True,False,False,False,False
inflammatory,True,False,False,False,False
infusion,False,False,False,False,True
injection,False,False,False,False,True
injury,True,False,False,False,False
insomnia,True,False,False,False,False
insufflation,False,False,False,False,True
intercourse,True,False,False,False,False
internal,True,False,False,False,False
intestinal,False,False,True,False,False
intestine,False,False,True,False,False
intoxication,True,False,False,False,False
invalid,True,False,False,False,False
iris,False,False,True,False,False
iron,False,False,False,True,False
irregular,True,False,False,False,False
irritates,True,False,False,False,False
irritation,True,False,False,False,False
ischiectomy,False,False,False,False,True
itch,True,False,False,False,False
itching,True,False,False,False,False
itchy,True,False,False,False,False
jalap,False,False,False,True,False
jasmine,False,False,False,True,False
jaundice,True,False,False,False,False
jaw,False,False,True,False,False
joint,False,False,True,False,False
juice,False,False,False,True,False
jujube,False,False,False,True,False
julep,False,False,False,True,False
juma,False,False,False,True,False
jumayʿ,False,True,False,False,False
keratitis,True,False,False,False,False
kernel,False,False,False,True,False
kidney,False,False,True,False,False
kneading,False,False,False,False,True
knee,False,False,True,False,False
kohl,False,False,False,True,False
laceration,True,False,False,False,False
lachrymal,False,False,True,False,False
lachrymation,True,False,False,False,False
lacrimation,True,False,False,False,False
ladaniferus,False,False,False,True,False
lambdoid,False,False,True,False,False
lancet,False,False,False,False,True
lancing,False,False,False,False,True
lapis,False,False,False,True,False
lard,False,False,False,True,False
laurel,False,False,False,True,False
lavandula,False,False,False,True,False
lavender,False,False,False,True,False
laxative,False,False,False,False,True
lazuli,False,False,False,True,False
lead,False,False,False,True,False
leech,False,False,False,False,True
leek,False,False,False,True,False
leek-water,False,False,False,True,False
left-hand,False,False,True,False,False
leg,False,False,True,False,False
lemon,False,False,False,True,False
lemongrass,False,False,False,True,False
lens,False,False,True,False,False
lentil,False,False,False,True,False
lentisk,False,False,False,True,False
leper,True,False,False,False,False
leproid,True,False,False,False,False
leprosy,True,False,False,False,False
lethal,True,False,False,False,False
lethargy,True,False,False,False,False
lettuce,False,False,False,True,False
leucoderma,True,False,False,False,False
leucoma,True,False,False,False,False
leukoderma,True,False,False,False,False
lichen,False,False,False,True,False
licorice,False,False,False,True,False
lienteric,True,False,False,False,False
lientery,True,False,False,False,False
lightheadedness,True,False,False,False,False
lily,False,False,False,True,False
limb,False,False,True,False,False
lime,False,False,False,True,False
limpness,True,False,False,False,False
linctus,False,False,False,False,True
linseed,False,False,False,True,False
lip,False,False,True,False,False
liquorice,False,False,False,True,False
litharge,True,False,False,False,False
liver,False,False,True,False,False
lobe,False,False,True,False,False
long-sightedness,True,False,False,False,False
looseness,True,False,False,False,False
lotion,False,False,False,False,True
lotus,False,False,False,True,False
louse,True,False,False,False,False
lozenge,False,False,False,False,True
lumbar,False,False,True,False,False
lung,False,False,True,False,False
lupine,False,False,False,True,False
lutum,False,False,False,True,False
lycium,False,False,False,True,False
lymph,False,False,True,False,False
mace,False,False,False,True,False
maculatum,False,False,False,True,False
madder,False,False,False,True,False
madness,True,False,False,False,False
magical,False,False,False,False,True
magico-medical,False,False,False,False,True
magnesium,False,False,False,True,False
mahaleb,False,False,False,True,False
maimonides,False,True,False,False,False
malar,True,False,False,False,False
mallow,False,False,False,True,False
mandrake,False,False,False,True,False
mania,True,False,False,False,False
manna,False,False,False,True,False
marcasite,False,False,False,True,False
marjoram,False,False,False,True,False
marrow,False,False,False,True,False
marrubium,False,False,False,True,False
marsh,False,False,False,True,False
marsh-mallow,False,False,False,True,False
marshmallow,False,False,False,True,False
massage,False,False,False,False,True
massaging,False,False,False,False,True
mastic,False,False,False,True,False
mater,False,False,True,False,False
maturation,False,False,False,False,True
measles,True,False,False,False,False
meat,False,False,False,True,False
meat-based,False,False,False,True,False
medendi,False,True,False,False,False
medical-pharmaceutical,False,False,False,False,True
medicament,False,False,False,False,True
medicated,False,False,False,False,True
medication,False,False,False,False,True
medicinal,False,False,False,False,True
medicine,False,False,False,False,True
medico-astrological,False,False,False,False,True
medico-cosmetic,False,False,False,False,True
medico-magical,False,False,False,False,True
medico-mystical,False,False,False,False,True
mehleb,False,True,False,False,False
melaena,True,False,False,False,False
melancholia,True,False,False,False,False
melancholic,True,False,False,False,False
melancholy,True,False,False,False,False
melissa,False,False,False,True,False
melitot,False,False,False,True,False
melon,False,False,False,True,False
member,False,False,True,False,False
membrane,False,False,True,False,False
meninges,False,False,True,False,False
meningitis,True,False,False,False,False
menorrhea,True,False,False,False,False
menstrual,True,False,False,False,False
menstruation,True,False,False,False,False
mental,True,False,False,False,False
mercury,False,False,False,True,False
metal,False,False,False,True,False
metel,False,False,False,True,False
mezereum,False,False,False,True,False
migraine,True,False,False,False,False
migrane,True,False,False,False,False
milk,False,False,False,True,False
millet,False,False,False,True,False
mimosa,False,False,False,True,False
mineral,False,False,False,True,False
minium,False,False,False,True,False
mint,False,False,False,True,False
mint-water,False,False,False,True,False
miscarriage,True,False,False,False,False
miswāk,False,False,False,True,False
miyrobalan,False,False,False,True,False
mouth,False,False,True,False,False
mucilaginous,False,False,False,True,False
mucus,True,False,False,False,False
mulberry,False,False,False,True,False
mumie,False,False,False,True,False
mung,False,False,False,True,False
muscle,False,False,True,False,False
muscular,False,False,True,False,False
mushroom,False,False,False,True,False
musk,False,False,False,True,False
mustard,False,False,False,True,False
mutibb,True,False,False,False,False
myristica,False,False,False,True,False
myrobalan,False,False,False,True,False
myrrh,False,False,False,True,False
myrtle,False,False,False,True,False
myrtle-water,False,False,False,True,False
nail,False,False,True,False,False
narcissus,False,False,False,True,False
nard,False,False,False,True,False
nasal,False,False,True,False,False
natron,False,False,False,True,False
nausea,True,False,False,False,False
neck,False,False,True,False,False
necrotic,True,False,False,False,False
nenuphar,False,False,False,True,False
neoplasm,True,False,False,False,False
nerve,False,False,True,False,False
nervous,True,False,False,False,False
nightmare,True,False,False,False,False
nightshade,False,False,False,True,False
nilotica,False,False,False,True,False
nipple,False,False,True,False,False
nitrate,False,False,False,True,False
nitre,False,False,False,True,False
nose,False,False,True,False,False
nosebleed,True,False,False,False,False
numbing,True,False,False,False,False
numbness,True,False,False,False,False
nut,False,False,False,True,False
nutmeg,False,False,False,True,False
nutrition,False,False,False,False,True
nutritional,False,False,False,False,True
obstetrics,False,False,False,False,True
oculist,False,False,False,False,True
oil,False,False,False,True,False
ointment,False,False,False,False,True
oleracea-water,False,False,False,True,False
oligospermia,False,False,False,True,False
olive,False,False,False,True,False
onion,False,False,False,True,False
operation,False,False,False,False,True
ophthalmia,True,False,False,False,False
ophthalmological,False,False,False,False,True
ophthalmology,False,False,False,False,True
opium,False,False,False,True,False
opopanax,False,False,False,True,False
opthalmology,False,False,False,False,True
optic,False,False,True,False,False
optical,False,False,True,False,False
optician,False,False,False,False,True
oral,False,False,True,False,False
orally,False,False,True,False,False
orange,False,False,False,True,False
oregano,False,False,False,True,False
organ,False,False,True,False,False
orgasm,False,False,True,False,False
oribasius,False,True,False,False,False
origan,False,False,False,True,False
origanum,False,False,False,True,False
over-eat,True,False,False,False,False
overweight,True,False,False,False,False
ox,False,False,False,True,False
oxide,False,False,False,True,False
oxymel,False,False,False,True,False
paediatrics,False,False,False,False,True
pain,True,False,False,False,False
painful,True,False,False,False,False
palm,False,False,True,False,False
palmatum,False,False,False,True,False
palpebral,True,False,False,False,False
palpitation,True,False,False,False,False
palsy,True,False,False,False,False
panacea,False,False,False,False,True
pannus,True,False,False,False,False
paralysed,True,False,False,False,False
paralysis,True,False,False,False,False
parasite,True,False,False,False,False
paresis,True,False,False,False,False
parsley,False,False,False,True,False
paste,False,False,False,True,False
pastille,False,False,False,True,False
pathological,True,False,False,False,False
pathology,True,False,False,False,False
patient,False,False,True,False,False
peach,False,False,False,True,False
peanut,False,False,False,True,False
pear,False,False,False,True,False
pearl,False,False,False,True,False
peel,False,False,False,True,False
peganum,False,False,False,True,False
pellitory,False,False,False,True,False
penile,False,False,True,False,False
penis,False,False,True,False,False
peony,False,False,False,True,False
pepper,False,False,False,True,False
perforation,True,False,False,False,False
pessary,False,False,False,False,True
pestilence,True,False,False,False,False
pestilential,True,False,False,False,False
petroselinum,False,False,False,True,False
phalanx,False,False,True,False,False
pharmaceutical,False,False,False,False,True
pharmacist,False,False,False,False,True
pharmacist/perfumer,False,False,False,False,True
pharmacological,False,False,False,False,True
pharmacology,False,False,False,False,True
pharmacopeia,False,False,False,False,True
pharmacopoeia,False,False,False,False,True
pharmacopoeial,False,False,False,False,True
pharmacopoeic,False,False,False,False,True
pharmacopoiea,False,False,False,False,True
philosophorum,False,False,False,True,False
phlebotomy,False,False,False,False,True
phlegm,False,False,True,False,False
phlegmatic,True,False,False,False,False
phthisic,True,False,False,False,False
phthisis,True,False,False,False,False
physician,False,False,False,False,True
physiognomy,False,False,False,False,True
physiological,False,False,False,False,True
physiology,False,False,False,False,True
pig,False,False,False,True,False
pigeon,False,False,False,True,False
pill,False,False,False,False,True
pine,False,False,False,True,False
piperita,False,False,False,True,False
pistachio,False,False,False,True,False
pith,False,False,False,True,False
plague,True,False,False,False,False
plant,False,False,False,True,False
plantago,False,False,False,True,False
plantain,False,False,False,True,False
plaster,False,False,False,False,True
plegia,False,False,False,True,False
pleurisy,True,False,False,False,False
plotinus,False,True,False,False,False
plum,False,False,False,True,False
pneuma,False,False,True,False,False
pneumata,False,False,True,False,False
pneumonia,True,False,False,False,False
poison,True,False,False,False,False
poisoning,True,False,False,False,False
poisonous,True,False,False,False,False
polypody,False,False,False,True,False
pomegranate,False,False,False,True,False
poppy,False,False,False,True,False
pore,False,False,True,False,False
portulaca,False,False,False,True,False
potash,False,False,False,True,False
potassium,False,False,False,True,False
potion,False,False,False,False,True
poultice,False,False,False,False,True
pregnancy,True,False,False,False,False
pregnant,True,False,False,False,False
