Name,Jersey #,Year,Position,Ht
South Atlanta,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
Lithonia,,,,
D.M. Therrell,,,,
Lithonia,,,,
South Atlanta,,,,
Carver,,,,
Grady,,,,
Benjamen E. Mays,,,,
Carver,,,,
North Atlanta,,,,
Grady,,,,
Booker T. Washington,,,,
South Atlanta,,,,
Maynard H. Jackson,,,,
Carver,,,,
North Atlanta,,,,
Benjamen E. Mays,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Grady,,,,
Carver,,,,
North Atlanta,,,,
D.M. Therrell,,,,
Booker T. Washington,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
Lithonia,,,,
Best Academy,,,,
Carver,,,,
Benjamen E. Mays,,,,
Grady,,,,
Benjamen E. Mays,,,,
Grady,,,,
Benjamen E. Mays,,,,
Carver,,,,
D.M. Therrell,,,,
Carver,,,,
Geronda Hall,38.0,9.0,11,6
South Atlanta,,,,
Grady,,,,
D.M. Therrell,,,,
Grady,,,,
Maynard H. Jackson,,,,
Carver,,,,
South Atlanta,,,,
Douglass,,,,
Marguis Thompson,2.0,11.0,29,5'3
North Atlanta,,,,
Best Academy,,,,
D.M. Therrell,,,,
South Atlanta,,,,
Douglass,,,,
Anthony Houseworth,11.0,12.0,31,4
Benjamen E. Mays,,,,
Best Academy,,,,
Douglass,,,,
North Atlanta,,,,
D'Angelo Bowen,61.0,,,
Grady,,,,
Benjamen E. Mays,,,,
Booker T. Washington,,,,
Kenneth Stewart,58.0,12.0,20,5
Lithonia,,,,
D.M. Therrell,,,,
Booker T. Washington,,,,
South Atlanta,,,,
Carver,,,,
Douglass,,,,
Lithonia,,,,
Dequivus Ogburn,60.0,12.0,8,5
Aaron Thompson,26.0,11.0,2,7
Carver,,,,
Lithonia,,,,
Benjamen E. Mays,,,,
Booker T. Washington,,,,
Grady,,,,
Best Academy,,,,
Carver,,,,
Best Academy,,,,
Nicholas Roberson,99.0,9.0,8,9
Maynard H. Jackson,,,,
D.M. Therrell,,,,
Best Academy,,,,
North Atlanta,,,,
Best Academy,,,,
North Atlanta,,,,
Douglass,,,,
Maynard H. Jackson,,,,
Freedom Calloway,25.0,9.0,,
D.M. Therrell,,,,
South Atlanta,,,,
Chritian Grier,1.0,10.0,,
Maynard H. Jackson,,,,
Keenan Moore,14.0,11.0,16,3
R.J. Ransom,13.0,10.0,,
Carver,,,,
Benjamen E. Mays,,,,
Booker T. Washington,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
Best Academy,,,,
Carver,,,,
Maynard H. Jackson,,,,
Carver,,,,
Best Academy,,,,
Gary Carter,20.0,10.0,2,8
Grady,,,,
Maynard H. Jackson,,,,
Booker T. Washington,,,,
Quentin Tennie,50.0,10.0,DL/SS,5
Benjamen E. Mays,,,,
Lithonia,,,,
North Atlanta,,,,
Carver,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
North Atlanta,,,,
Grady,,,,
Douglass,,,,
Grady,,,,
Widdie Gordon,56.0,12.0,8,
Jacquez Sloan,44.0,9.0,1,
Benjamen E. Mays,,,,
Maynard H. Jackson,,,,
Grady,,,,
North Atlanta,,,,
South Atlanta,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
Booker T. Washington,,,,
Best Academy,,,,
Carver,,,,
Best Academy,,,,
Douglass,,,,
Jarris Drains,81.0,9.0,10,10
Deterious Postell,32.0,9.0,30,10
Sijuan Smith,21.0,11.0,31,10
Grady,,,,
D.M. Therrell,,,,
Grady,,,,
D.M. Therrell,,,,
Lithonia,,,,
North Atlanta,,,,
Carver,,,,
Best Academy,,,,
Carver,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
Maynard H. Jackson,,,,
D.M. Therrell,,,,
Grady,,,,
South Atlanta,,,,
Lithonia,,,,
Benjamen E. Mays,,,,
North Atlanta,,,,
Benjamen E. Mays,,,,
Douglass,,,,
D.M. Therrell,,,,
Carver,,,,
Grady,,,,
Lithonia,,,,
Douglass,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Booker T. Washington,,,,
North Atlanta,,,,
Grady,,,,
Booker T. Washington,,,,
Lithonia,,,,
Benjamen E. Mays,,,,
Tyshawn Brown,2.0,11.0,10,4
Douglass,,,,
D.M. Therrell,,,,
Maynard H. Jackson,,,,
Best Academy,,,,
Lithonia,,,,
North Atlanta,,,,
Benjamen E. Mays,,,,
D.M. Therrell,,,,
Maynard H. Jackson,,,,
Carver,,,,
D.M. Therrell,,,,
Best Academy,,,,
North Atlanta,,,,
D.M. Therrell,,,,
North Atlanta,,,,
South Atlanta,,,,
Grady,,,,
Lithonia,,,,
Grady,,,,
Lithonia,,,,
North Atlanta,,,,
Douglass,,,,
Booker T. Washington,,,,
Best Academy,,,,
Benjamen E. Mays,,,,
Maynard H. Jackson,,,,
Carver,,,,
Aaron Williams,21.0,11.0,SS/WR,5
South Atlanta,,,,
North Atlanta,,,,
Lithonia,,,,
Best Academy,,,,
Maynard H. Jackson,,,,
Booker T. Washington,,,,
Best Academy,,,,
Douglass,,,,
D.M. Therrell,,,,
Douglass,,,,
Carver,,,,
Grady,,,,
D.M. Therrell,,,,
Carver,,,,
South Atlanta,,,,
Maynard H. Jackson,,,,
Douglass,,,,
Carver,,,,
D.M. Therrell,,,,
Lithonia,,,,
Carver,,,,
Grady,,,,
Booker T. Washington,,,,
Lithonia,,,,
Grady,,,,
Quantavious Swanson,78.0,12.0,8,
D.M. Therrell,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
Grady,,,,
South Atlanta,,,,
Benjamen E. Mays,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
Grady,,,,
Douglass,,,,
North Atlanta,,,,
Booker T. Washington,,,,
North Atlanta,,,,
Carver,,,,
North Atlanta,,,,
Benjamen E. Mays,,,,
Grady,,,,
Carver,,,,
Benjamen E. Mays,,,,
Maynard H. Jackson,,,,
D.M. Therrell,,,,
South Atlanta,,,,
Benjamen E. Mays,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
Booker T. Washington,,,,
Marquise Parker,11.0,11.0,2,5
Carver,,,,
Best Academy,,,,
D.M. Therrell,,,,
Dexter Brown,50.0,11.0,8,7
North Atlanta,,,,
Maynard H. Jackson,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
Xavier Lewis ,48.0,10.0,14,4
Lithonia,,,,
Benjamen E. Mays,,,,
Lithonia,,,,
D.M. Therrell,,,,
Grady,,,,
Best Academy,,,,
Benjamen E. Mays,,,,
Booker T. Washington,,,,
Carver,,,,
Lithonia,,,,
North Atlanta,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Benjamen E. Mays,,,,
Carver,,,,
Malik Miles,28.0,9.0,11,2
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
Carver,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
North Atlanta,,,,
Booker T. Washington,,,,
South Atlanta,,,,
Enrique Etheridge,44.0,11.0,,
Lithonia,,,,
South Atlanta,,,,
Jordan Ingram,70.0,12.0,,
Maynard H. Jackson,,,,
D.M. Therrell,,,,
Lithonia,,,,
Benjamen E. Mays,,,,
Carver,,,,
Colony Hall,32.0,12.0,32,1
Lithonia,,,,
South Atlanta,,,,
Booker T. Washington,,,,
Marcus Jackson,31.0,10.0,5,5
Grady,,,,
Maynard H. Jackson,,,,
Best Academy,,,,
Carver,,,,
Lithonia,,,,
Booker T. Washington,,,,
Douglass,,,,
Carver,,,,
Grady,,,,
Douglass,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
Booker T. Washington,,,,
D.M. Therrell,,,,
Booker T. Washington,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
Carver,,,,
D.M. Therrell,,,,
Douglass,,,,
Grady,,,,
Douglass,,,,
Maynard H. Jackson,,,,
Best Academy,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Douglass,,,,
Grady,,,,
South Atlanta,,,,
D.M. Therrell,,,,
Maynard H. Jackson,,,,
Grady,,,,
Carver,,,,
Yakez Edmunds,44.0,9.0,12,8
Grady,,,,
Carver,,,,
North Atlanta,,,,
Maynard H. Jackson,,,,
Carver,,,,
Maynard H. Jackson,,,,
Douglass,,,,
Best Academy,,,,
Grady,,,,
Lithonia,,,,
Benjamen E. Mays,,,,
Grady,,,,
Josh Jones,15.0,10.0,4,
Best Academy,,,,
Jeremiah Lowe,8.0,10.0,4,0
Lithonia,,,,
Benjamen E. Mays,,,,
Jovan Taylor,20.0,11.0,11,0
Carver,,,,
Douglass,,,,
Grady,,,,
Douglass,,,,
Maynard H. Jackson,,,,
Booker T. Washington,,,,
D.M. Therrell,,,,
South Atlanta,,,,
Grady,,,,
Carver,,,,
North Atlanta,,,,
Benjamen E. Mays,,,,
Lithonia,,,,
Douglass,,,,
Grady,,,,
Colin Bray,88.0,11.0,2,
Douglass,,,,
Carver,,,,
Best Academy,,,,
Benjamen E. Mays,,,,
Carver,,,,
North Atlanta,,,,
Douglass,,,,
Benjamen E. Mays,,,,
Lithonia,,,,
Castavious Felton,55.0,11.0,8,8
North Atlanta,,,,
Benjamen E. Mays,,,,
Grady,,,,
Carver,,,,
Grady,,,,
Douglass,,,,
Maynard H. Jackson,,,,
Carver,,,,
D.M. Therrell,,,,
Carver,,,,
D.M. Therrell,,,,
Lithonia,,,,
Benjamen E. Mays,,,,
Booker T. Washington,,,,
Grady,,,,
D.M. Therrell,,,,
Douglass,,,,
Best Academy,,,,
Booker T. Washington,,,,
Grady,,,,
Benjamen E. Mays,,,,
Maynard H. Jackson,,,,
Carver,,,,
North Atlanta,,,,
Lithonia,,,,
Maynard H. Jackson,,,,
