"76,434","12,804","50,976","49,331","16,693","59,379","15,689","14,096","26,789","25,889","6,470","252,377","49,217","6,584","45,582","89,110","8,237","12,912","51,722","71,861","41,943","18,754","33,208","11,148","45,174","25,915","185,756","8,604","21,610","11,486","57,996","96,787","58,339","42,211","47,987","137,532","31,056","97,969","7,953","30,918","91,316","46,780","23,049","36,273","213,590","86,571","9,904","39,830","16,119","7,206"
"3,364,939","667,796","2,378,814","2,885,677","796,793","2,812,133","721,830","901,388","1,274,719","1,336,417","261,868","13,680,081","2,712,729","317,498","2,347,201","5,296,715","322,539","881,917","2,212,898","4,532,233","2,171,853","979,709","1,927,164","519,508","2,795,541","1,316,299","8,989,580","363,438","1,233,215","482,825","3,553,562","4,088,801","2,808,254","1,964,981","2,137,683","8,108,103","1,487,891","5,567,315","306,967","1,675,562","5,127,508","2,844,526","1,173,814","1,664,378","9,977,436","4,327,528","463,388","2,624,358","614,754","405,885"
64.70%,62.60%,67.90%,63.50%,69.90%,61.00%,63.40%,59.10%,57.50%,67.60%,67.70%,63.10%,63.20%,69.30%,70.00%,65.60%,66.60%,53.90%,67.60%,61.20%,58.00%,67.70%,59.10%,61.50%,63.90%,58.50%,58.80%,68.60%,66.30%,63.60%,65.90%,62.30%,67.50%,60.40%,60.10%,63.30%,67.20%,62.80%,67.70%,62.10%,63.30%,59.30%,64.00%,61.10%,64.30%,61.80%,65.50%,67.10%,68.20%,63.10%
6.60%,1.50%,6.60%,8.60%,2.50%,1.80%,1.20%,1.70%,1.10%,2.50%,1.00%,14.80%,2.00%,1.50%,4.90%,5.50%,1.80%,0.80%,3.30%,3.10%,1.40%,2.50%,1.50%,37.70%,2.20%,1.60%,2.90%,1.50%,3.00%,0.80%,9.80%,4.10%,6.70%,1.80%,1.60%,8.90%,4.70%,3.50%,6.30%,4.50%,2.20%,3.40%,8.70%,2.20%,4.80%,2.90%,3.60%,2.80%,2.70%,4.00%
36.30%,25.90%,37.90%,32.90%,29.30%,24.90%,29.00%,26.30%,20.70%,26.70%,25.70%,31.40%,27.10%,27.70%,33.70%,32.30%,36.00%,19.20%,38.10%,26.90%,23.50%,31.10%,22.30%,30.80%,24.10%,21.10%,27.30%,27.00%,31.00%,29.50%,36.80%,28.80%,40.50%,22.50%,25.80%,34.20%,37.60%,28.60%,28.00%,30.80%,26.10%,27.50%,23.00%,24.10%,27.60%,28.40%,31.90%,27.80%,34.90%,30.00%
0.50%,1.80%,0.60%,1.90%,1.40%,0.40%,0.70%,10.60%,0.60%,0.50%,2.70%,1.70%,0.60%,5.50%,1.30%,0.60%,0.40%,0.20%,1.60%,0.70%,0.70%,1.60%,0.30%,0.40%,0.40%,1.00%,0.50%,9.00%,1.20%,6.60%,0.60%,0.50%,0.50%,0.80%,0.50%,1.00%,0.50%,0.40%,15.20%,1.80%,0.30%,5.40%,1.60%,9.20%,1.00%,1.60%,1.00%,1.10%,0.30%,0.60%
"31,132","12,165","17,044","44,077","8,078","36,157","4,010","4,863","6,886","14,317","1,727","102,350","18,997","3,981","21,449","22,603","1,771","2,544","38,974","20,408","15,001","22,662","12,714","3,369","18,713","9,474","116,240","5,686","9,807","4,781","26,793","51,675","16,288","14,503","32,165","33,711","5,504","23,303","1,503","19,586","22,816","35,578","17,952","12,092","165,853","60,550","1,226","19,274","3,796","5,804"
"653,193","146,642","531,953","541,522","164,089","550,453","139,570","151,363","235,454","259,121","62,427","3,548,449","491,606","68,270","489,494","1,135,017","75,827","114,435","547,352","834,087","374,153","251,419","331,546","118,454","479,059","231,959","2,100,187","81,314","239,118","112,419","792,088","929,864","607,664","414,291","367,726","2,008,988","326,693","975,453","68,032","339,305","904,814","499,926","227,156","327,229","2,356,748","805,985","94,642","432,980","131,638","73,418"
"8,411,808","1,683,140","6,016,447","7,288,000","1,907,116","6,651,194","1,331,479","2,081,015","2,988,726","3,134,693","585,501","39,250,017","6,093,000","757,952","5,519,952","12,801,539","624,594","1,831,102","5,540,545","9,928,300","4,863,300","3,051,217","4,436,974","1,428,557","6,633,053","2,988,248","20,612,439","865,454","2,907,289","1,042,520","8,944,469","10,310,371","6,811,779","4,681,666","4,961,119","19,745,289","3,576,452","12,784,227","741,894","4,093,465","11,614,373","6,931,071","2,940,058","3,923,561","27,862,596","10,146,788","1,056,426","5,778,708","1,334,795","952,065"
"236,290","45,121","209,119","187,677","51,936","195,694","42,067","59,044","89,159","82,345","19,344","1,320,085","162,616","20,316","157,821","417,500","23,417","39,065","194,508","306,986","137,630","76,269","106,011","44,453","162,798","75,962","807,817","23,722","77,194","35,449","252,944","376,506","199,210","151,114","131,856","725,709","106,678","304,803","22,141","123,015","306,824","182,425","82,508","105,168","866,678","287,058","30,484","133,859","38,525","23,964"
23.20%,27.40%,23.40%,23.50%,25.10%,23.60%,20.70%,25.20%,25.50%,23.90%,24.00%,25.00%,23.80%,22.30%,24.20%,24.40%,20.70%,20.90%,24.40%,23.70%,23.70%,31.50%,23.60%,22.30%,24.80%,24.40%,21.30%,24.90%,25.50%,22.60%,23.50%,25.70%,21.70%,24.70%,23.40%,22.30%,22.90%,22.00%,26.40%,22.60%,23.70%,25.50%,24.60%,24.80%,27.30%,23.90%,21.30%,23.60%,21.80%,22.90%
"450,109","130,973","314,902","426,697","144,122","434,025","131,322","83,857","155,094","236,561","55,397","1,819,107","415,972","62,271","428,716","795,129","70,491","104,785","442,365","657,237","272,651","218,826","296,155","38,510","405,090","189,029","1,121,749","74,228","204,562","102,746","533,808","538,893","499,959","277,676","276,269","1,248,304","259,614","818,858","51,147","285,028","759,569","344,981","144,944","249,027","1,224,845","603,182","77,042","379,934","121,297","54,782"
6.40%,7.80%,6.30%,6.50%,7.20%,6.40%,5.20%,7.00%,7.10%,6.60%,7.10%,6.80%,6.50%,6.60%,6.70%,6.50%,5.10%,5.60%,6.80%,6.00%,6.40%,9.50%,6.50%,6.40%,6.70%,6.80%,5.70%,7.30%,7.20%,6.30%,6.20%,7.10%,5.60%,6.90%,6.50%,6.00%,5.70%,5.70%,7.60%,6.20%,6.20%,7.10%,6.90%,7.00%,7.70%,6.60%,5.50%,6.30%,5.30%,6.20%
66.20%,68.90%,66.80%,62.50%,66.20%,66.80%,71.20%,68.10%,68.40%,71.50%,69.10%,54.30%,67.20%,64.10%,71.70%,66.40%,71.00%,72.50%,64.30%,71.00%,68.70%,69.50%,67.20%,56.90%,69.00%,66.10%,65.30%,68.10%,66.70%,67.20%,64.50%,63.30%,62.10%,65.80%,68.60%,53.60%,67.00%,69.20%,63.40%,61.30%,66.30%,62.80%,55.10%,66.10%,62.20%,65.10%,60.10%,67.30%,71.00%,71.20%
"$1,116 ",$743 ,"$1,230 ","$1,014 ",$726 ,$764 ,$777 ,$777 ,$717 ,$697 ,$789 ,"$1,255 ",$746 ,$709 ,$848 ,$907 ,$895 ,$643 ,"$1,002 ",$783 ,$717 ,$887 ,$675 ,"$1,438 ",$745 ,$677 ,"$1,002 ",$655 ,$757 ,$711 ,"$1,192 ",$879 ,"$1,102 ",$788 ,$790 ,"$1,132 ","$1,075 ",$840 ,"$1,146 ",$907 ,$730 ,$913 ,$973 ,$727 ,$882 ,$797 ,$925 ,$776 ,"$1,000 ","$1,018 "
$433 ,$340 ,$582 ,$511 ,$471 ,$359 ,$477 ,$327 ,$341 ,$434 ,$386 ,$500 ,$402 ,$423 ,$479 ,$574 ,$641 ,$293 ,$419 ,$461 ,$345 ,$388 ,$339 ,$505 ,$378 ,$327 ,$463 ,$433 ,$455 ,$387 ,$973 ,$392 ,$717 ,$317 ,$347 ,$709 ,$833 ,$498 ,$554 ,$469 ,$444 ,$380 ,$410 ,$370 ,$460 ,$373 ,$682 ,$532 ,$747 ,$445 
"17,795,901","2,680,225","12,516,782","14,297,278","3,094,498","12,499,013","2,901,347","4,349,672","6,999,175","5,468,687","1,644,844","90,830,372","12,430,310","2,045,123","11,722,627","27,937,381","1,564,272","4,036,333","13,617,654","17,962,356","7,576,462","4,789,281","7,500,115","9,536,706","13,076,602","4,307,264","49,817,925","1,873,699","4,873,411","2,420,455","19,673,558","18,976,611","17,508,975","11,697,949","9,763,818","49,285,508","9,542,068","23,504,192","2,221,335","8,466,788","20,652,777","13,996,635","27,481,505","7,121,153","54,480,811","18,622,258","2,481,314","10,303,256","2,942,278","2,148,437"
"576,446","122,221","475,518","444,135","131,518","495,703","113,012","121,279","211,955","207,167","48,140","3,206,958","402,091","53,263","397,378","968,330","60,312","88,136","480,847","700,254","322,025","216,280","280,835","104,707","403,546","198,380","2,040,339","64,006","195,777","86,969","670,765","870,897","514,298","358,223","329,431","1,685,636","272,809","811,890","55,521","278,839","763,418","451,951","205,980","276,218","2,205,149","722,639","76,747","341,935","104,437","60,734"
19.80%,0.80%,30.70%,4.10%,5.00%,17.10%,1.50%,2.50%,37.70%,3.70%,1.30%,6.50%,11.80%,2.90%,6.20%,14.70%,1.30%,3.60%,4.50%,14.20%,26.80%,1.40%,8.30%,2.20%,9.70%,15.70%,16.80%,2.00%,6.20%,0.60%,15.00%,32.00%,8.60%,32.60%,27.50%,17.70%,11.80%,11.80%,3.80%,2.10%,12.80%,4.90%,9.60%,7.80%,12.60%,22.20%,8.10%,6.60%,1.50%,22.60%
"$13,438 ","$12,812 ","$12,980 ","$17,243 ","$16,422 ","$14,194 ","$16,192 ","$12,073 ","$12,413 ","$14,607 ","$16,388 ","$12,665 ","$15,036 ","$22,183 ","$14,667 ","$12,942 ","$15,868 ","$12,201 ","$13,073 ","$12,071 ","$12,145 ","$13,317 ","$12,526 ","$13,576 ","$13,133 ","$12,483 ","$14,177 ","$16,550 ","$13,263 ","$15,544 ","$15,079 ","$12,077 ","$13,980 ","$13,342 ","$12,298 ","$12,834 ","$14,381 ","$14,008 ","$14,320 ","$12,690 ","$13,301 ","$12,927 ","$13,858 ","$13,174 ","$13,666 ","$12,376 ","$11,486 ","$13,656 ","$19,700 ","$15,763 "
"39,490.09","82,643.12","9,707.24","66,455.52","76,824.17","41,234.90","30,842.92","121,298.15","46,923.27","55,857.13","97,093.14","155,779.22","68,741.52","69,000.80","79,626.74","55,518.93","9,216.66","24,038.21","103,641.89","56,538.90","50,645.33","82,169.62","39,486.34","6,422.63","35,826.11","52,035.48","53,624.76","75,811.00","81,758.72","145,545.80","7,354.22","57,513.49","7,800.06","43,203.90","30,060.70","47,126.40","4,842.36","44,742.70","570,640.95","95,988.01","40,860.69","113,594.08","109,781.18","68,594.92","261,231.71","48,617.91","1,033.81","54,157.80","8,952.65","1,948.54"
"$34,152 ","$23,399 ","$36,897 ","$31,762 ","$27,882 ","$25,227 ","$27,655 ","$24,012 ","$21,057 ","$27,950 ","$29,803 ","$30,318 ","$26,259 ","$32,035 ","$32,157 ","$30,494 ","$29,894 ","$23,450 ","$32,217 ","$26,607 ","$24,091 ","$24,686 ","$24,063 ","$29,822 ","$25,346 ","$22,798 ","$26,829 ","$26,747 ","$27,706 ","$26,381 ","$36,582 ","$25,737 ","$36,895 ","$24,981 ","$24,604 ","$33,236 ","$38,803 ","$29,291 ","$33,413 ","$27,684 ","$26,953 ","$25,848 ","$26,541 ","$25,032 ","$26,999 ","$25,920 ","$31,118 ","$28,340 ","$34,362 ","$30,554 "
2.62,2.69,2.67,2.56,2.47,2.53,2.34,2.67,2.64,2.42,2.49,2.96,2.48,2.32,2.49,2.63,2.34,2.43,2.55,2.52,2.55,3.15,2.5,3.02,2.55,2.53,2.63,2.45,2.53,2.41,2.73,2.73,2.53,2.6,2.56,2.63,2.57,2.49,2.81,2.51,2.46,2.69,2.72,2.57,2.84,2.54,2.46,2.43,2.47,2.62
202.6,19,594.8,101.2,23.8,153.90,43.1,17.00,63.2,54.5,5.8,239.1,87.1,9.70,66.6,231.1,67.9,77.1,48.5,174.8,94.4,33.6,109.9,211.8,181,56,350.6,10.70,34.9,6.8,"1,195.50",168.4,839.4,104.9,153.90,411.20,738.1,283.90,1.2,39.90,282.30,56.3,24.6,54.70,96.3,196.10,"1,018.10",105,147,460.8
"548,439","124,314","462,232","461,401","137,254","469,392","115,839","128,693","198,566","217,779","51,353","3,176,341","415,542","56,904","419,628","1,006,885","63,317","94,960","469,524","733,517","316,984","219,807","282,704","101,334","412,543","192,988","1,846,686","66,219","203,401","93,393","707,975","800,585","525,667","354,460","303,137","1,811,544","281,182","837,792","56,091","288,790","776,193","427,582","191,293","273,491","2,057,218","684,743","79,837","370,755","108,817","60,318"
50.90%,49.90%,51.60%,50.20%,50.40%,51.30%,51.10%,50.60%,51.40%,50.50%,49.00%,50.30%,51.00%,49.50%,50.40%,51.00%,50.70%,50.70%,49.90%,50.90%,51.50%,49.80%,50.80%,49.90%,50.80%,50.90%,51.10%,50.00%,50.40%,49.80%,51.30%,51.20%,51.60%,51.00%,51.40%,51.60%,51.30%,51.30%,48.00%,50.50%,51.20%,50.30%,49.50%,50.50%,50.40%,51.30%,51.70%,50.40%,50.70%,51.60%
15.40%,10.60%,17.20%,18.90%,10.80%,6.90%,6.60%,35.70%,3.90%,7.40%,7.10%,43.90%,6.00%,5.60%,11.00%,22.70%,5.40%,2.50%,16.90%,9.20%,5.20%,14.70%,5.10%,25.20%,8.30%,7.20%,28.10%,6.50%,11.30%,4.10%,30.50%,13.60%,22.50%,8.50%,6.90%,30.40%,21.90%,10.60%,16.20%,15.10%,6.70%,26.90%,30.00%,9.80%,35.00%,11.20%,21.40%,8.70%,7.90%,12.90%
14.60%,15.10%,14.60%,14.80%,15.00%,15.70%,19.40%,16.50%,15.10%,16.40%,15.00%,13.60%,16.10%,14.50%,15.10%,14.60%,18.10%,18.80%,13.40%,16.20%,16.10%,10.50%,15.60%,17.10%,14.90%,16.30%,19.90%,16.00%,15.00%,17.70%,15.30%,13.10%,15.80%,14.40%,16.70%,15.40%,16.10%,17.40%,10.40%,16.80%,16.20%,16.90%,15.00%,15.00%,12.00%,15.50%,16.50%,16.10%,17.00%,17.50%
"8,001,041","1,567,650","5,773,786","6,724,545","1,826,334","6,346,298","1,328,364","2,059,198","2,968,103","3,046,869","563,767","37,254,522","5,988,928","672,591","5,303,924","12,831,574","625,741","1,853,011","5,029,324","9,884,129","4,780,131","2,763,888","4,339,344","1,360,301","6,484,136","2,916,025","18,804,592","814,195","2,853,129","989,414","8,791,953","9,688,680","6,547,813","4,533,479","4,625,410","19,378,110","3,574,114","12,702,857","710,249","3,831,072","11,536,727","6,392,301","2,700,691","3,751,615","25,146,100","9,535,688","1,052,940","5,687,289","1,316,461","897,936"
"3,491,054","700,825","2,447,127","3,025,685","827,156","2,919,671","730,705","917,568","1,307,441","1,380,162","270,600","14,060,525","2,760,084","368,624","2,409,935","5,326,970","329,525","886,640","2,339,118","4,560,055","2,230,185","1,054,164","1,965,556","537,114","2,854,546","1,354,762","9,301,642","383,838","1,259,864","497,756","3,604,409","4,218,776","2,858,026","2,036,975","2,236,153","8,231,687","1,499,116","5,612,002","310,658","1,732,786","5,164,361","2,961,003","1,221,698","1,721,045","10,753,629","4,540,498","462,589","2,668,444","625,307","426,149"
"$1,711 ","$1,189 ","$1,951 ","$1,731 ","$1,270 ","$1,181 ","$1,336 ","$1,227 ","$1,077 ","$1,171 ","$1,348 ","$2,155 ","$1,210 ","$1,243 ","$1,490 ","$1,636 ","$1,535 ",$966 ,"$1,577 ","$1,257 ","$1,139 ","$1,428 ","$1,112 ","$2,270 ","$1,102 ","$1,019 ","$1,435 ","$1,210 ","$1,282 ","$1,294 ","$2,386 ","$1,346 ","$2,063 ","$1,200 ","$1,183 ","$2,022 ","$2,067 ","$1,425 ","$1,827 ","$1,557 ","$1,246 ","$1,343 ","$1,442 ","$1,147 ","$1,432 ","$1,248 ","$1,815 ","$1,402 ","$1,870 ","$1,537 "
"8,001,024","1,567,582","5,773,552","6,724,540","1,826,341","6,346,105","1,328,361","2,059,179","2,967,297","3,046,355","563,626","37,253,956","5,988,927","672,591","5,303,925","12,830,632","625,741","1,852,994","5,029,196","9,883,640","4,779,736","2,763,885","4,339,367","1,360,301","6,483,802","2,915,918","18,801,310","814,180","2,853,118","989,415","8,791,894","9,687,653","6,547,629","4,533,372","4,625,364","19,378,102","3,574,097","12,702,379","710,231","3,831,074","11,536,504","6,392,017","2,700,551","3,751,351","25,145,561","9,535,483","1,052,567","5,686,986","1,316,470","897,934"
60.80%,56.80%,64.10%,58.50%,65.20%,56.30%,59.90%,54.90%,53.70%,63.30%,62.70%,57.20%,59.30%,65.00%,66.20%,60.70%,63.60%,49.20%,62.60%,57.10%,53.00%,59.50%,54.90%,58.80%,59.00%,53.30%,54.70%,64.60%,61.60%,59.50%,60.60%,57.90%,63.40%,56.00%,56.20%,58.70%,62.80%,58.30%,65.00%,57.60%,59.00%,54.50%,59.30%,55.70%,57.70%,57.70%,61.60%,63.50%,63.80%,59.40%
1.20%,3.00%,1.00%,2.90%,2.30%,2.20%,1.60%,3.90%,1.60%,1.70%,FN,3.50%,1.60%,1.40%,1.80%,2.20%,2.00%,-1.70%,3.30%,3.20%,1.90%,4.90%,2.90%,0.90%,2.20%,1.10%,4.50%,1.60%,1.00%,3.10%,0.90%,4.00%,2.60%,0.40%,2.80%,1.80%,1.20%,1.00%,0.40%,3.80%,1.80%,2.40%,3.70%,0.80%,3.20%,3.10%,1.00%,2.20%,2.30%,1.50%
5.10%,7.40%,4.20%,8.40%,4.40%,4.80%,0.20%,1.10%,0.70%,2.90%,3.90%,5.40%,1.70%,12.70%,4.10%,-0.20%,-0.20%,-1.20%,10.20%,0.40%,1.70%,10.40%,2.20%,5.00%,2.30%,2.50%,9.60%,6.30%,1.90%,5.40%,1.70%,6.40%,4.00%,3.30%,7.30%,1.90%,0.10%,0.60%,4.50%,6.80%,0.70%,8.40%,8.90%,4.60%,10.80%,6.40%,0.30%,1.60%,1.40%,6.00%
11.00%,14.40%,9.70%,11.30%,11.40%,15.80%,12.50%,19.80%,20.80%,11.80%,11.30%,14.30%,14.00%,10.70%,9.90%,13.00%,11.90%,17.90%,11.00%,15.00%,17.10%,10.20%,18.50%,9.30%,14.10%,17.20%,14.70%,13.30%,12.10%,13.30%,10.40%,16.00%,10.40%,20.20%,15.30%,14.70%,9.80%,12.90%,9.90%,13.30%,14.60%,16.40%,13.80%,16.30%,15.60%,15.40%,12.80%,11.80%,7.30%,11.70%
"165,788,897","21,119,617","118,496,858","149,258,789","36,967,924","110,481,280","20,413,159","25,145,307","33,948,151","55,079,743","10,094,010","856,954,246","109,135,528","17,184,756","133,092,716","289,183,546","10,615,093","22,159,084","117,539,555","174,873,962","67,370,353","51,453,266","63,741,066","22,068,393","113,315,432","39,451,191","337,074,525","13,812,997","51,259,676","14,227,065","209,072,015","174,839,354","198,026,611","76,684,760","66,120,263","513,083,321","92,555,072","257,626,942","15,643,303","71,006,598","213,161,303","102,671,393","46,595,673","59,124,620","521,095,797","164,936,258","19,704,826","112,406,494","28,076,320","21,305,227"
27.9,20.2,32.3,26.3,18.3,24.5,23.6,21.6,24.1,18.9,18.3,28.0,23.2,17.2,23.1,28.4,22.5,25.6,24.8,24.2,24.4,21.6,23.0,26.8,23.3,21.6,26.4,16.9,19.1,18.1,31.0,27.4,28.7,25.1,23.9,32.3,25.4,26.3,19.0,22.9,23.2,24.8,23.9,21.3,25.6,23.9,24.2,21.9,26.9,25.5
"$245,000 ","$162,900 ","$286,900 ","$259,500 ","$133,200 ","$142,100 ","$173,800 ","$160,300 ","$103,100 ","$129,200 ","$194,800 ","$385,500 ","$138,400 ","$153,800 ","$186,200 ","$173,800 ","$217,500 ","$103,800 ","$247,800 ","$122,400 ","$125,500 ","$215,900 ","$123,200 ","$515,300 ","$124,200 ","$111,400 ","$159,000 ","$140,500 ","$132,000 ","$193,500 ","$315,900 ","$148,100 ","$333,100 ","$144,100 ","$139,900 ","$283,400 ","$270,500 ","$166,000 ","$250,000 ","$237,300 ","$129,900 ","$167,500 ","$173,700 ","$117,900 ","$136,000 ","$154,900 ","$238,000 ","$165,800 ","$237,300 ","$231,500 "
2.90%,2.40%,2.80%,4.60%,2.10%,1.90%,1.70%,2.50%,1.20%,1.80%,2.10%,3.80%,2.20%,2.10%,2.40%,1.90%,1.90%,1.70%,3.00%,2.40%,1.60%,2.50%,1.90%,23.70%,2.00%,2.00%,2.10%,2.30%,2.90%,2.70%,2.20%,2.10%,2.30%,1.60%,1.80%,2.50%,2.30%,1.90%,7.30%,3.80%,2.20%,2.80%,4.20%,6.10%,1.90%,2.20%,2.70%,1.90%,1.70%,2.60%
0.10%,0.20%,0.10%,0.80%,0.10%,0.10%,Z,0.20%,0.10%,0.10%,0.10%,0.50%,0.10%,0.10%,0.10%,0.10%,Z,Z,0.20%,Z,0.10%,1.00%,0.10%,10.20%,0.10%,0.30%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,1.30%,0.40%,0.10%,0.30%,0.80%,0.20%,0.10%,0.10%,0.20%,0.10%,0.10%,0.10%
"$65,015 ","$47,583 ","$74,551 ","$61,062 ","$52,997 ","$45,219 ","$49,331 ","$44,963 ","$39,665 ","$53,183 ","$58,840 ","$61,818 ","$48,173 ","$57,181 ","$61,492 ","$57,574 ","$55,176 ","$41,751 ","$60,629 ","$49,576 ","$43,623 ","$60,727 ","$43,740 ","$69,515 ","$49,255 ","$41,371 ","$47,507 ","$50,957 ","$52,205 ","$47,169 ","$72,093 ","$49,620 ","$68,563 ","$45,047 ","$45,483 ","$59,269 ","$70,331 ","$53,599 ","$72,515 ","$51,243 ","$49,429 ","$50,255 ","$51,847 ","$46,879 ","$53,207 ","$46,868 ","$56,852 ","$53,357 ","$66,779 ","$60,509 "
Virginia,Idaho,Maryland,Washington,Nebraska,Tennessee,Maine,New Mexico,Mississippi,Iowa,Wyoming,California,Missouri,North Dakota,Minnesota,Illinois,Vermont,West Virginia,Colorado,Michigan,Alabama,Utah,Kentucky,Hawaii,Indiana,Arkansas,Florida,South Dakota,Kansas,Montana,New Jersey,Georgia,Massachusetts,Louisiana,South Carolina,New York,Connecticut,Pennsylvania,Alaska,Oregon,Ohio,Arizona,Nevada,Oklahoma,Texas,North Carolina,Rhode Island,Wisconsin,New Hampshire,Delaware
62.40%,82.40%,51.50%,69.50%,79.60%,74.20%,93.50%,38.10%,56.90%,86.20%,84.10%,37.70%,79.70%,85.00%,80.60%,61.70%,93.10%,92.30%,68.60%,75.40%,65.80%,78.80%,85.00%,22.10%,79.60%,72.90%,54.90%,82.50%,76.30%,86.50%,55.80%,53.40%,73.00%,59.00%,63.90%,55.80%,67.70%,77.00%,61.20%,76.40%,79.50%,55.50%,49.90%,66.20%,42.60%,63.50%,73.30%,81.70%,90.80%,62.90%
