"Persons 65 years and over, percent, April 1, 2010","Persons under 18 years, percent, July 1, 2016,  (V2016)","Households, 2011-2015","Total employer establishments, 2015","Persons under 5 years, percent, July 1, 2016,  (V2016)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","With a disability, under age 65 years, percent, 2011-2015","High school graduate or higher, percent of persons age 25 years+, 2011-2015","White alone, percent, July 1, 2016,  (V2016)","Total merchant wholesaler sales, 2012 ($1,000)","Veteran-owned firms, 2012","Housing units, April 1, 2010","In civilian labor force, total, percent of population age 16 years+, 2011-2015","Asian alone, percent, July 1, 2016,  (V2016)","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)","Building permits, 2016","All firms, 2012","Population estimates, July 1, 2016,  (V2016)","Women-owned firms, 2012","Persons under 18 years, percent, April 1, 2010","Nonminority-owned firms, 2012","Persons under 5 years, percent, April 1, 2010","Owner-occupied housing unit rate, 2011-2015","Median gross rent, 2011-2015","Median selected monthly owner costs -without a mortgage, 2011-2015","Total accommodation and food services sales, 2012 ($1,000)","Total nonemployer establishments, 2015","Black or African American alone, percent, July 1, 2016,  (V2016)","Total retail sales per capita, 2012","Land area in square miles, 2010","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Persons per household, 2011-2015","Population per square mile, 2010","Nonveteran-owned firms, 2012","Female persons, percent, April 1, 2010","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","Persons 65 years and over, percent,  July 1, 2016,  (V2016)","Population estimates base, April 1, 2010,  (V2016)","Housing units,  July 1, 2016,  (V2016)","Median selected monthly owner costs -with a mortgage, 2011-2015","Population, Census, April 1, 2010","In civilian labor force, female, percent of population age 16 years+, 2011-2015","Total employment, percent change, 2014-2015","Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","Persons in poverty, percent","Total annual payroll, 2015 ($1,000)","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Median value of owner-occupied housing units, 2011-2015","Two or More Races, percent, July 1, 2016,  (V2016)","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","Median household income (in 2015 dollars), 2011-2015",Fact,"White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","Hispanic or Latino, percent, July 1, 2016,  (V2016)","Persons  without health insurance, under age 65 years, percent","Total manufacturers shipments, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","Minority-owned firms, 2012","Female persons, percent,  July 1, 2016,  (V2016)","Total employment, 2015","Men-owned firms, 2012","Veterans, 2011-2015","Foreign born persons, percent, 2011-2015"
12.40%,23.70%,"226,865","21,040",6.50%,"3,291,478",8.50%,92.30%,92.80%,"5,597,891","6,470","261,868",67.70%,1.00%,25.70%,2.70%,"1,727","62,427","585,501","19,344",24.00%,"55,397",7.10%,69.10%,$789 ,$386 ,"1,644,844","48,140",1.30%,"$16,388 ","97,093.14","$29,803 ",2.49,5.8,"51,353",49.00%,7.10%,15.00%,"563,767","270,600","$1,348 ","563,626",62.70%,FN,3.90%,11.30%,"10,094,010",18.3,"$194,800 ",2.10%,0.10%,"$58,840 ",Wyoming,84.10%,10.00%,13.40%,"10,783,794","9,446,043",81.90%,"4,077",48.90%,"219,881","30,039","48,505",3.60%
11.40%,23.20%,"12,717,801","908,120",6.30%,"248,953,592",6.80%,81.80%,72.70%,"666,652,186","252,377","13,680,081",63.10%,14.80%,31.40%,1.70%,"102,350","3,548,449","39,250,017","1,320,085",25.00%,"1,819,107",6.80%,54.30%,"$1,255 ",$500 ,"90,830,372","3,206,958",6.50%,"$12,665 ","155,779.22","$30,318 ",2.96,239.1,"3,176,341",50.30%,43.90%,13.60%,"37,254,522","14,060,525","$2,155 ","37,253,956",57.20%,3.50%,5.40%,14.30%,"856,954,246",28.0,"$385,500 ",3.80%,0.50%,"$61,818 ",California,37.70%,38.90%,8.30%,"512,303,164","481,800,461",85.20%,"1,619,857",50.30%,"14,325,377","1,852,580","1,777,410",27.00%
14.00%,22.80%,"2,364,688","158,191",6.10%,"40,089,316",10.40%,88.40%,83.20%,"91,916,351","49,217","2,712,729",63.20%,2.00%,27.10%,0.60%,"18,997","491,606","6,093,000","162,616",23.80%,"415,972",6.50%,67.20%,$746 ,$402 ,"12,430,310","402,091",11.80%,"$15,036 ","68,741.52","$26,259 ",2.48,87.1,"415,542",51.00%,6.00%,16.10%,"5,988,928","2,760,084","$1,210 ","5,988,927",59.30%,1.60%,1.70%,14.00%,"109,135,528",23.2,"$138,400 ",2.20%,0.10%,"$48,173 ",Missouri,79.70%,4.10%,10.50%,"111,535,362","90,546,581",83.90%,"61,035",50.90%,"2,442,316","257,948","451,342",3.90%
14.50%,23.30%,"299,638","24,848",7.30%,"5,418,355",6.80%,91.70%,87.90%,"28,150,837","6,584","317,498",69.30%,1.50%,27.70%,5.50%,"3,981","68,270","757,952","20,316",22.30%,"62,271",6.60%,64.10%,$709 ,$423 ,"2,045,123","53,263",2.90%,"$22,183 ","69,000.80","$32,035 ",2.32,9.70,"56,904",49.50%,5.60%,14.50%,"672,591","368,624","$1,243 ","672,591",65.00%,1.40%,12.70%,10.70%,"17,184,756",17.2,"$153,800 ",2.10%,0.10%,"$57,181 ",North Dakota,85.00%,3.60%,8.10%,"14,427,360","15,519,816",82.20%,"3,190",48.70%,"365,893","37,016","51,179",3.20%
12.90%,23.30%,"2,124,745","148,666",6.40%,"40,403,572",7.10%,92.40%,85.00%,"104,485,117","45,582","2,347,201",70.00%,4.90%,33.70%,1.30%,"21,449","489,494","5,519,952","157,821",24.20%,"428,716",6.70%,71.70%,$848 ,$479 ,"11,722,627","397,378",6.20%,"$14,667 ","79,626.74","$32,157 ",2.49,66.6,"419,628",50.40%,11.00%,15.10%,"5,303,924","2,409,935","$1,490 ","5,303,925",66.20%,1.80%,4.10%,9.90%,"133,092,716",23.1,"$186,200 ",2.40%,0.10%,"$61,492 ",Minnesota,80.60%,5.20%,4.80%,"123,076,309","78,898,182",85.50%,"47,302",50.20%,"2,612,314","268,710","342,388",7.70%
12.50%,22.90%,"4,786,388","318,266",6.00%,"83,431,778",7.10%,87.90%,77.20%,"295,456,992","89,110","5,296,715",65.60%,5.50%,32.30%,0.60%,"22,603","1,135,017","12,801,539","417,500",24.40%,"795,129",6.50%,66.40%,$907 ,$574 ,"27,937,381","968,330",14.70%,"$12,942 ","55,518.93","$30,494 ",2.63,231.1,"1,006,885",51.00%,22.70%,14.60%,"12,831,574","5,326,970","$1,636 ","12,830,632",60.70%,2.20%,-0.20%,13.00%,"289,183,546",28.4,"$173,800 ",1.90%,0.10%,"$57,574 ",Illinois,61.70%,17.00%,7.40%,"281,037,755","166,634,514",86.80%,"311,684",50.90%,"5,427,549","609,648","668,933",14.00%
14.60%,19.00%,"257,167","21,121",4.90%,"4,457,996",10.00%,91.80%,94.60%,"6,450,076","8,237","322,539",66.60%,1.80%,36.00%,0.40%,"1,771","75,827","624,594","23,417",20.70%,"70,491",5.10%,71.00%,$895 ,$641 ,"1,564,272","60,312",1.30%,"$15,868 ","9,216.66","$29,894 ",2.34,67.9,"63,317",50.70%,5.40%,18.10%,"625,741","329,525","$1,535 ","625,741",63.60%,2.00%,-0.20%,11.90%,"10,615,093",22.5,"$217,500 ",1.90%,Z,"$55,176 ",Vermont,93.10%,1.90%,4.50%,"9,315,494","9,933,751",86.50%,"2,354",50.60%,"266,363","41,270","44,708",4.30%
16.00%,20.50%,"740,890","36,993",5.50%,"12,259,395",14.40%,85.00%,93.60%,"14,295,437","12,912","881,917",53.90%,0.80%,19.20%,0.20%,"2,544","114,435","1,831,102","39,065",20.90%,"104,785",5.60%,72.50%,$643 ,$293 ,"4,036,333","88,136",3.60%,"$12,201 ","24,038.21","$23,450 ",2.43,77.1,"94,960",50.70%,2.50%,18.80%,"1,853,011","886,640",$966 ,"1,852,994",49.20%,-1.70%,-1.20%,17.90%,"22,159,084",25.6,"$103,800 ",1.70%,Z,"$41,751 ",West Virginia,92.30%,1.50%,6.50%,"24,553,072","22,637,923",88.20%,"5,777",50.50%,"565,435","63,112","150,021",1.50%
10.90%,22.80%,"2,024,468","161,737",6.10%,"29,488,161",7.20%,90.70%,87.50%,"77,034,971","51,722","2,212,898",67.60%,3.30%,38.10%,1.60%,"38,974","547,352","5,540,545","194,508",24.40%,"442,365",6.80%,64.30%,"$1,002 ",$419 ,"13,617,654","480,847",4.50%,"$13,073 ","103,641.89","$32,217 ",2.55,48.5,"469,524",49.90%,16.90%,13.40%,"5,029,324","2,339,118","$1,577 ","5,029,196",62.60%,3.30%,10.20%,11.00%,"117,539,555",24.8,"$247,800 ",3.00%,0.20%,"$60,629 ",Colorado,68.60%,21.30%,8.60%,"50,447,098","67,815,200",80.80%,"85,849",49.70%,"2,253,795","284,554","391,725",9.80%
13.80%,22.10%,"3,841,148","219,627",5.80%,"63,018,786",10.30%,89.60%,79.60%,"115,704,903","71,861","4,532,233",61.20%,3.10%,26.90%,0.70%,"20,408","834,087","9,928,300","306,986",23.70%,"657,237",6.00%,71.00%,$783 ,$461 ,"17,962,356","700,254",14.20%,"$12,071 ","56,538.90","$26,607 ",2.52,174.8,"733,517",50.90%,9.20%,16.20%,"9,884,129","4,560,055","$1,257 ","9,883,640",57.10%,3.20%,0.40%,15.00%,"174,873,962",24.2,"$122,400 ",2.40%,Z,"$49,576 ",Michigan,75.40%,5.00%,6.30%,"238,892,383","119,302,046",85.30%,"158,946",50.80%,"3,725,280","446,128","626,722",6.30%
13.80%,22.60%,"1,848,325","98,540",6.00%,"26,039,632",11.80%,84.30%,69.30%,"57,746,565","41,943","2,171,853",58.00%,1.40%,23.50%,0.70%,"15,001","374,153","4,863,300","137,630",23.70%,"272,651",6.40%,68.70%,$717 ,$345 ,"7,576,462","322,025",26.80%,"$12,145 ","50,645.33","$24,091 ",2.55,94.4,"316,984",51.50%,5.20%,16.10%,"4,780,131","2,230,185","$1,139 ","4,779,736",53.00%,1.90%,1.70%,17.10%,"67,370,353",24.4,"$125,500 ",1.60%,0.10%,"$43,623 ",Alabama,65.80%,4.20%,10.70%,"124,809,759","58,564,965",85.30%,"92,219",51.60%,"1,634,391","203,604","363,170",3.50%
9.00%,30.20%,"906,292","75,463",8.30%,"14,521,857",6.60%,91.20%,91.10%,"30,927,885","18,754","979,709",67.70%,2.50%,31.10%,1.60%,"22,662","251,419","3,051,217","76,269",31.50%,"218,826",9.50%,69.50%,$887 ,$388 ,"4,789,281","216,280",1.40%,"$13,317 ","82,169.62","$24,686 ",3.15,33.6,"219,807",49.80%,14.70%,10.50%,"2,763,888","1,054,164","$1,428 ","2,763,885",59.50%,4.90%,10.40%,10.20%,"51,453,266",21.6,"$215,900 ",2.50%,1.00%,"$60,727 ",Utah,78.80%,13.80%,9.70%,"50,046,429","38,024,486",82.90%,"24,423",49.70%,"1,203,954","132,163","134,332",8.40%
13.30%,22.80%,"1,708,499","91,845",6.20%,"26,264,745",12.90%,84.20%,88.00%,"71,745,899","33,208","1,927,164",59.10%,1.50%,22.30%,0.30%,"12,714","331,546","4,436,974","106,011",23.60%,"296,155",6.50%,67.20%,$675 ,$339 ,"7,500,115","280,835",8.30%,"$12,526 ","39,486.34","$24,063 ",2.5,109.9,"282,704",50.80%,5.10%,15.60%,"4,339,344","1,965,556","$1,112 ","4,339,367",54.90%,2.90%,2.20%,18.50%,"63,741,066",23.0,"$123,200 ",1.90%,0.10%,"$43,740 ",Kentucky,85.00%,3.50%,6.00%,"129,284,438","54,869,978",84.70%,"27,258",50.70%,"1,579,477","184,154","297,312",3.40%
14.30%,21.60%,"450,572","31,915",6.40%,"8,136,947",6.50%,91.00%,25.80%,"9,607,982","11,148","519,508",61.50%,37.70%,30.80%,0.40%,"3,369","118,454","1,428,557","44,453",22.30%,"38,510",6.40%,56.90%,"$1,438 ",$505 ,"9,536,706","104,707",2.20%,"$13,576 ","6,422.63","$29,822 ",3.02,211.8,"101,334",49.90%,25.20%,17.10%,"1,360,301","537,114","$2,270 ","1,360,301",58.80%,0.90%,5.00%,9.30%,"22,068,393",26.8,"$515,300 ",23.70%,10.20%,"$69,515 ",Hawaii,22.10%,10.40%,4.20%,D,"18,901,745",85.10%,"74,208",49.80%,"523,677","60,409","110,238",17.70%
13.00%,23.80%,"2,501,937","145,116",6.40%,"42,493,117",9.70%,87.80%,85.60%,"81,173,422","45,174","2,795,541",63.90%,2.20%,24.10%,0.40%,"18,713","479,059","6,633,053","162,798",24.80%,"405,090",6.70%,69.00%,$745 ,$378 ,"13,076,602","403,546",9.70%,"$13,133 ","35,826.11","$25,346 ",2.55,181,"412,543",50.80%,8.30%,14.90%,"6,484,136","2,854,546","$1,102 ","6,483,802",59.00%,2.20%,2.30%,14.10%,"113,315,432",23.3,"$124,200 ",2.00%,0.10%,"$49,255 ",Indiana,79.60%,6.80%,9.40%,"242,763,842","85,857,962",85.00%,"61,252",50.70%,"2,660,503","253,533","426,493",4.80%
14.40%,23.60%,"1,138,025","65,175",6.40%,"15,792,628",12.30%,84.80%,79.40%,"31,256,110","25,915","1,316,299",58.50%,1.60%,21.10%,1.00%,"9,474","231,959","2,988,248","75,962",24.40%,"189,029",6.80%,66.10%,$677 ,$327 ,"4,307,264","198,380",15.70%,"$12,483 ","52,035.48","$22,798 ",2.53,56,"192,988",50.90%,7.20%,16.30%,"2,916,025","1,354,762","$1,019 ","2,915,918",53.30%,1.10%,2.50%,17.20%,"39,451,191",21.6,"$111,400 ",2.00%,0.30%,"$41,371 ",Arkansas,72.90%,7.30%,9.30%,"62,712,925","36,815,256",83.90%,"35,982",50.90%,"1,003,113","123,158","220,953",4.70%
17.30%,20.10%,"7,300,494","532,830",5.50%,"124,061,425",8.50%,86.90%,77.60%,"252,626,608","185,756","8,989,580",58.80%,2.90%,27.30%,0.50%,"116,240","2,100,187","20,612,439","807,817",21.30%,"1,121,749",5.70%,65.30%,"$1,002 ",$463 ,"49,817,925","2,040,339",16.80%,"$14,177 ","53,624.76","$26,829 ",2.63,350.6,"1,846,686",51.10%,28.10%,19.90%,"18,804,592","9,301,642","$1,435 ","18,801,310",54.70%,4.50%,9.60%,14.70%,"337,074,525",26.4,"$159,000 ",2.10%,0.10%,"$47,507 ",Florida,54.90%,24.90%,15.30%,"96,924,106","273,867,145",83.80%,"926,112",51.10%,"7,777,990","1,084,885","1,507,738",19.70%
14.30%,24.60%,"330,858","26,511",7.10%,"6,211,731",8.40%,90.90%,85.20%,"20,411,059","8,604","363,438",68.60%,1.50%,27.00%,9.00%,"5,686","81,314","865,454","23,722",24.90%,"74,228",7.30%,68.10%,$655 ,$433 ,"1,873,699","64,006",2.00%,"$16,550 ","75,811.00","$26,747 ",2.45,10.70,"66,219",50.00%,6.50%,16.00%,"814,195","383,838","$1,210 ","814,180",64.60%,1.60%,6.30%,13.30%,"13,812,997",16.9,"$140,500 ",2.30%,0.10%,"$50,957 ",South Dakota,82.50%,3.70%,10.30%,"16,882,647","13,791,827",83.40%,"4,101",49.60%,"353,540","42,418","63,742",3.00%
13.20%,24.60%,"1,113,472","74,526",6.70%,"18,248,370",8.60%,90.20%,86.60%,"60,226,324","21,610","1,233,215",66.30%,3.00%,31.00%,1.20%,"9,807","239,118","2,907,289","77,194",25.50%,"204,562",7.20%,66.70%,$757 ,$455 ,"4,873,411","195,777",6.20%,"$13,263 ","81,758.72","$27,706 ",2.53,34.9,"203,401",50.40%,11.30%,15.00%,"2,853,129","1,259,864","$1,282 ","2,853,118",61.60%,1.00%,1.90%,12.10%,"51,259,676",19.1,"$132,000 ",2.90%,0.10%,"$52,205 ",Kansas,76.30%,11.60%,10.10%,"86,076,260","38,276,461",83.50%,"26,127",50.20%,"1,189,876","125,169","198,396",6.90%
14.80%,21.80%,"409,394","37,270",6.00%,"6,469,475",9.10%,92.80%,89.20%,"12,645,824","11,486","482,825",63.60%,0.80%,29.50%,6.60%,"4,781","112,419","1,042,520","35,449",22.60%,"102,746",6.30%,67.20%,$711 ,$387 ,"2,420,455","86,969",0.60%,"$15,544 ","145,545.80","$26,381 ",2.41,6.8,"93,393",49.80%,4.10%,17.70%,"989,414","497,756","$1,294 ","989,415",59.50%,3.10%,5.40%,13.30%,"14,227,065",18.1,"$193,500 ",2.70%,0.10%,"$47,169 ",Montana,86.50%,3.60%,9.80%,"11,535,236","15,623,573",83.60%,"5,578",49.70%,"375,041","55,913","90,000",2.10%
13.50%,22.20%,"3,189,486","230,961",5.80%,"60,375,232",6.60%,88.60%,72.40%,"288,467,844","57,996","3,553,562",65.90%,9.80%,36.80%,0.60%,"26,793","792,088","8,944,469","252,944",23.50%,"533,808",6.20%,64.50%,"$1,192 ",$973 ,"19,673,558","670,765",15.00%,"$15,079 ","7,354.22","$36,582 ",2.73,"1,195.50","707,975",51.30%,30.50%,15.30%,"8,791,953","3,604,409","$2,386 ","8,791,894",60.60%,0.90%,1.70%,10.40%,"209,072,015",31.0,"$315,900 ",2.20%,0.10%,"$72,093 ",New Jersey,55.80%,20.00%,9.20%,"108,854,971","133,665,728",90.20%,"237,242",51.20%,"3,558,619","464,592","393,277",21.70%
10.70%,24.40%,"3,574,362","224,593",6.40%,"51,800,643",8.80%,85.40%,61.20%,"143,645,290","96,787","4,088,801",62.30%,4.10%,28.80%,0.50%,"51,675","929,864","10,310,371","376,506",25.70%,"538,893",7.10%,63.30%,$879 ,$392 ,"18,976,611","870,897",32.00%,"$12,077 ","57,513.49","$25,737 ",2.73,168.4,"800,585",51.20%,13.60%,13.10%,"9,688,680","4,218,776","$1,346 ","9,687,653",57.90%,4.00%,6.40%,16.00%,"174,839,354",27.4,"$148,100 ",2.10%,0.10%,"$49,620 ",Georgia,53.40%,9.40%,14.80%,"155,836,792","119,801,495",84.00%,"371,588",51.30%,"3,692,490","480,578","670,617",9.80%
