correction,misspell
function,fuction
generally,generly
gotten,gotton
government," gobernement, goberment,  gobernment"
graceful,gracefull
gradually,gradualy
grammar,grammer
guard,gaurd
happily,hapily
have,havne
height,heighth
hello, helo
help,"heellp,  hellp"
horse,hourse
housing,houssing
however,"howaver,  howver"
hyphen," hyfin, hifin,  hifine"
hypothesis, hypotathese
hysterical,hystrical
illegitimate,illegitament
immediately,imediaetly
implements,implemtes
in_depth,indepth
inadvertent,inadvertant
inconvenience,inconvience
indent,ident
independent,"independant,  independenent,  indepnends"
indispensable,indispensible
inefficient,inefficite
infamy,imfamy
initial,inital
initialized,"initinized,  initized"
inoculate,innoculate
insidious,incedious
insistent,"insistant,  insistenet"
installation,instulation
intelligent," intellegent,  intelegent,  intelignt,  intelegnent,  intelejent,  intejilent, intealignt,  intellagant,  intellgnt"
interested,intertes
interface,inerface
international,internation
interpreter,interpretter
irresistible,irresistable
irritable,irritible
john,johhn
judgement,judgment
judgment,judgement
kilometre,lilometer
knowing,knawing
laser,luser
layer,lloyer
leave,leasve
leisure,lesure
lesion,liasion
liaison,liason
library,libary
likely,likly
losing,lossing
madness,maddness
maintenance,maintanence
marshal,marshall
masks,maks
maximum,maxium
media,midia
memento,momento
memory,meory
metaphysical,pataphysical
mike,mic
miscellaneous,misilous
monkey, monkay
more,mroe
most_likely,mostlikely
mouser,mousr
moving,oving
naive,nieve
necessary, necesary
neighbor,neighbour
neighbour,neighbor
niece,neice
not_in,notin
noticeably,noticably
nuzzled,nozled
objects,objectsion
occasion,ocassion
occasionally,accosinly
occurrence,occurence
octogenarian,octagenarian
old,olf
opossum,opposim
organize,"organise,  organiz"
orient,orientate
oscilloscope,oscilascope
parameter,parametic
parameters,"paramers,  paranets"
particular,partrucal
permissive,permmasivie
phenomenal,phenominal
phone,fone
picturesque,picaresque
politic,politict
politician,polation
polygamy,poligamy
pragmatism,pragmaticism
preceding,preceeding
precision, precios
prefixes,prefices
prerogative,perogative
privilege,privielage
problematic,proplematic
procedures,proceedures
pronunciation," pronounciation,  pronisation, pronensiation"
properly,properally
psychologist,"pscolgst,  psicolagest"
quiz,quoz
raccoon,reccona
radius,radious
rampantly,ramplily
receive,recieve
recognize,reconise
recommend,reccomend
rectangle,rectangeles
recurring,reoccurring
redesign,redign
resemblance,reseblence
respect,respct
roughly,rought
rudimentary,rudemtry
sacrilegious,sacreligious
safely,saftly
salute,salut
satisfy,satifly
scrabble,scrabdle
section,secion
seize,sieze
sense,sence
separate,seperate
sherbet,sherbert
signal,singal
simplicity, simpfilty
site,sitte
situation,situration
smile,smil
sneaked,snuck
sonic,soonec
specifically,specificialy
spell,spel
spoke,spoak
steering,stering
straitjacket,straightjacket
student,stutent
style_guide,styleguide
subpoena,subpena
subscribed,subjecribed
substitutions,subisitions
sugar,suger
supersede,supercede
swimwear,swim_wear
sylph,slyph
synchronization,syncorization
tattoos,tattos
technically,techniquely
test," ttest, tesst"
the," thw, teh"
themselves,theirselves
theoretical, theridically
theoretically,thredically
this,ths
titillate,titalate
tomorrow, tomorow
tough,taff
tragedy,tradegy
trouble,trubbel
turned,tured
tyranny,tyrrany
unconscious,unconscience
under_ladder,underladder
unfortunately," unfortunently,  unfortally"
unnatural,"unatourral,  unnaturral"
up_cast,upcast
uranium,uranisium
vinaigrette,vinagarette
voluntarism,volunteerism
voluptuous,volumptuous
wait,waite
want,mant
what,whaaat
wimp,whimp
won't,wan't
yield,yeild
your,youe
