Day,Local Time,Dir,Speed/ Gust,Temp/ Feels Like,Pressure,Cloud Amount,Precip Amount,Weather
Thu 13 Jul,22:00,NE,4 / 8 mph,73 / 77°F,1012 mb,Low level cloud: 0% Mid level cloud: 21% High level cloud: 21% Most Significant Cloud Type: medium 21%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sat 15 Jul,01:00,NNE,4 / 8 mph,67 / 67°F,1012 mb,Low level cloud: 0% Mid level cloud: 11% High level cloud: 0% Most Significant Cloud Type: medium 10%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Wed 19 Jul,01:00,S,4 / 7 mph,71 / 71°F,1017 mb,Low level cloud: 0% Mid level cloud: 7% High level cloud: 0% Most Significant Cloud Type: medium 6%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Tue 18 Jul,13:00,ENE,11 / 13 mph,92 / 94°F,1018 mb,Low level cloud: 0% Mid level cloud: 6% High level cloud: 4% Most Significant Cloud Type: medium 6%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Mon 17 Jul,01:00,NE,9 / 18 mph,69 / 69°F,1021 mb,Low level cloud: 0% Mid level cloud: 12% High level cloud: 0% Most Significant Cloud Type: medium 11%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,10:00,ENE,11 / 13 mph,87 / 86°F,1021 mb,Low level cloud: 0% Mid level cloud: 7% High level cloud: 0% Most Significant Cloud Type: medium 6%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Tue 18 Jul,19:00,ESE,10 / 12 mph,87 / 87°F,1017 mb,Low level cloud: 0% Mid level cloud: 6% High level cloud: 4% Most Significant Cloud Type: medium 6%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,16:00,E,13 / 14 mph,90 / 92°F,1017 mb,Low level cloud: 0% Mid level cloud: 6% High level cloud: 8% Most Significant Cloud Type: medium 6%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Wed 19 Jul,19:00,ESE,12 / 14 mph,89 / 92°F,1015 mb,Low level cloud: 0% Mid level cloud: 9% High level cloud: 5% Most Significant Cloud Type: medium 8%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,16:00,E,16 / 18 mph,94 / 99°F,1015 mb,Low level cloud: 0% Mid level cloud: 7% High level cloud: 3% Most Significant Cloud Type: medium 6%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Tue 18 Jul,04:00,SSW,4 / 8 mph,64 / 64°F,1019 mb,Low level cloud: 0% Mid level cloud: 2% High level cloud: 0% Most Significant Cloud Type: medium 2%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,01:00,S,4 / 7 mph,65 / 65°F,1019 mb,Low level cloud: 0% Mid level cloud: 1% High level cloud: 0% Most Significant Cloud Type: high 0%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,10:00,ENE,5 / 6 mph,89 / 89°F,1019 mb,Low level cloud: 0% Mid level cloud: 5% High level cloud: 1% Most Significant Cloud Type: medium 5%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sun 16 Jul,10:00,ENE,18 / 21 mph,80 / 80°F,1020 mb,Low level cloud: 0% Mid level cloud: 13% High level cloud: 1% Most Significant Cloud Type: medium 13%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Wed 19 Jul,13:00,ENE,12 / 14 mph,96 / 101°F,1016 mb,Low level cloud: 0% Mid level cloud: 5% High level cloud: 1% Most Significant Cloud Type: medium 4%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Fri 14 Jul,16:00,NE,11 / 13 mph,88 / 89°F,1010 mb,Low level cloud: 0% Mid level cloud: 16% High level cloud: 0% Most Significant Cloud Type: medium 15%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sat 15 Jul,22:00,ENE,13 / 26 mph,74 / 77°F,1016 mb,Low level cloud: 0% Mid level cloud: 13% High level cloud: 66% Most Significant Cloud Type: medium 15%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Fri 14 Jul,01:00,ENE,5 / 10 mph,71 / 71°F,1012 mb,Low level cloud: 0% Mid level cloud: 27% High level cloud: 6% Most Significant Cloud Type: medium 27%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sun 16 Jul,13:00,ENE,16 / 18 mph,81 / 80°F,1020 mb,Low level cloud: 0% Mid level cloud: 18% High level cloud: 1% Most Significant Cloud Type: medium 18%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Wed 19 Jul,10:00,NNE,5 / 6 mph,93 / 94°F,1017 mb,Low level cloud: 0% Mid level cloud: 6% High level cloud: 9% Most Significant Cloud Type: medium 6%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sat 15 Jul,07:00,NNW,6 / 7 mph,81 / 80°F,1013 mb,Low level cloud: 0% Mid level cloud: 3% High level cloud: 0% Most Significant Cloud Type: medium 3%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,19:00,NE,5 / 6 mph,86 / 85°F,1014 mb,Low level cloud: 0% Mid level cloud: 6% High level cloud: 9% Most Significant Cloud Type: medium 5%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Mon 17 Jul,22:00,S,4 / 7 mph,72 / 76°F,1020 mb,Low level cloud: 0% Mid level cloud: 1% High level cloud: 3% Most Significant Cloud Type: medium 1%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
,19:00,ESE,5 / 6 mph,88 / 88°F,1019 mb,Low level cloud: 0% Mid level cloud: 2% High level cloud: 0% Most Significant Cloud Type: medium 1%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Fri 14 Jul,22:00,NNE,2 / 5 mph,69 / 69°F,1012 mb,Low level cloud: 0% Mid level cloud: 7% High level cloud: 0% Most Significant Cloud Type: medium 7%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Tue 18 Jul,07:00,WSW,3 / 4 mph,83 / 80°F,1020 mb,Low level cloud: 0% Mid level cloud: 4% High level cloud: 0% Most Significant Cloud Type: medium 3%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Fri 14 Jul,07:00,ENE,10 / 11 mph,84 / 85°F,1011 mb,Low level cloud: 0% Mid level cloud: 29% High level cloud: 2% Most Significant Cloud Type: medium 28%,Expect 0.01 In of precipitation over the past 3 hours. 0.01 In,
Mon 17 Jul,16:00,E,10 / 11 mph,88 / 88°F,1019 mb,Low level cloud: 0% Mid level cloud: 3% High level cloud: 0% Most Significant Cloud Type: medium 3%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sun 16 Jul,16:00,ENE,12 / 13 mph,82 / 80°F,1019 mb,Low level cloud: 0% Mid level cloud: 3% High level cloud: 0% Most Significant Cloud Type: medium 2%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Mon 17 Jul,04:00,ENE,7 / 15 mph,69 / 69°F,1020 mb,Low level cloud: 0% Mid level cloud: 8% High level cloud: 0% Most Significant Cloud Type: medium 7%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Fri 14 Jul,13:00,NE,12 / 13 mph,88 / 90°F,1011 mb,Low level cloud: 0% Mid level cloud: 15% High level cloud: 0% Most Significant Cloud Type: medium 14%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sat 15 Jul,10:00,NNE,11 / 13 mph,86 / 85°F,1014 mb,Low level cloud: 0% Mid level cloud: 3% High level cloud: 0% Most Significant Cloud Type: medium 3%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sun 16 Jul,04:00,E,12 / 22 mph,73 / 77°F,1018 mb,Low level cloud: 0% Mid level cloud: 16% High level cloud: 2% Most Significant Cloud Type: medium 16%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Fri 14 Jul,19:00,NE,6 / 6 mph,87 / 86°F,1010 mb,Low level cloud: 0% Mid level cloud: 8% High level cloud: 0% Most Significant Cloud Type: medium 8%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Mon 17 Jul,13:00,ENE,12 / 14 mph,88 / 88°F,1020 mb,Low level cloud: 0% Mid level cloud: 5% High level cloud: 0% Most Significant Cloud Type: medium 4%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Thu 13 Jul,13:00,NE,13 / 15 mph,92 / 99°F,1012 mb,Low level cloud: 0% Mid level cloud: 9% High level cloud: 0% Most Significant Cloud Type: medium 9%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Tue 18 Jul,22:00,SSE,6 / 14 mph,73 / 77°F,1018 mb,Low level cloud: 0% Mid level cloud: 10% High level cloud: 2% Most Significant Cloud Type: medium 9%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Thu 13 Jul,10:00,NNE,7 / 8 mph,90 / 94°F,1012 mb,Low level cloud: 0% Mid level cloud: 11% High level cloud: 0% Most Significant Cloud Type: medium 11%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sat 15 Jul,16:00,NE,11 / 12 mph,88 / 87°F,1013 mb,Low level cloud: 0% Mid level cloud: 1% High level cloud: 0% Most Significant Cloud Type: high 0%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sun 16 Jul,22:00,NE,6 / 13 mph,70 / 70°F,1021 mb,Low level cloud: 0% Mid level cloud: 10% High level cloud: 0% Most Significant Cloud Type: medium 9%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
