id,title,rating,year,duration,actor_1,actor_fb_likes_1,actor_2,actor_fb_likes_2,actor_3,actor_fb_likes_3
158,Exodus: Gods and Kings,PG-13,2014.0,150.0,Christian Bale,23000.0,María Valverde,893.0,Ben Mendelsohn,748.0
159,Star Trek,PG-13,2009.0,127.0,Chris Hemsworth,26000.0,Leonard Nimoy,12000.0,Bruce Greenwood,991.0
160,Spider-Man,PG-13,2002.0,121.0,J.K. Simmons,24000.0,James Franco,11000.0,Kirsten Dunst,4000.0
161,How to Train Your Dragon 2,PG,2014.0,102.0,Gerard Butler,18000.0,Djimon Hounsou,3000.0,America Ferrera,953.0
162,Gods of Egypt,PG-13,2016.0,126.0,Gerard Butler,18000.0,Elodie Yung,934.0,Bryan Brown,284.0
163,Stealth,PG-13,2005.0,121.0,Sam Shepard,820.0,Joe Morton,780.0,Richard Roxburgh,653.0
164,Watchmen,R,2009.0,215.0,Matt Frewer,986.0,Billy Crudup,745.0,Stephen McHattie,413.0
165,Lethal Weapon 4,R,1998.0,127.0,Jet Li,5000.0,Rene Russo,808.0,Darlene Love,91.0
166,Hulk,PG-13,2003.0,138.0,Kevin Rankin,820.0,Regi Davis,300.0,Celia Weston,258.0
167,G.I. Joe: Retaliation,PG-13,2013.0,122.0,Channing Tatum,17000.0,Dwayne Johnson,12000.0,Elodie Yung,934.0
168,Sahara,PG-13,2005.0,124.0,Matthew McConaughey,11000.0,Rainn Wilson,973.0,Delroy Lindo,848.0
169,Final Fantasy: The Spirits Within,PG-13,2001.0,106.0,Steve Buscemi,12000.0,Ming-Na Wen,2000.0,Jean Simmons,422.0
170,Captain America: The First Avenger,PG-13,2011.0,124.0,Chris Evans,11000.0,Dominic Cooper,3000.0,Hayley Atwell,2000.0
171,The World Is Not Enough,PG-13,1999.0,128.0,Colin Salmon,766.0,Maria Grazia Cucinotta,536.0,Desmond Llewelyn,244.0
172,Master and Commander: The Far Side of the World,PG-13,2003.0,138.0,James D'Arcy,613.0,Lee Ingleby,172.0,David Threlfall,168.0
173,The Twilight Saga: Breaking Dawn - Part 2,PG-13,2012.0,115.0,Robert Pattinson,21000.0,Kristen Stewart,17000.0,Taylor Lautner,12000.0
174,Happy Feet 2,PG,2011.0,100.0,Robin Williams,49000.0,Brad Pitt,11000.0,Common,989.0
175,The Incredible Hulk,PG-13,2008.0,135.0,Ty Burrell,3000.0,Peter Mensah,1000.0,William Hurt,882.0
176,Miami Vice,TV-14,,60.0,Don Johnson,982.0,Philip Michael Thomas,321.0,John Diehl,184.0
177,The BFG,PG,2016.0,117.0,Mark Rylance,535.0,Penelope Wilton,400.0,Rafe Spall,358.0
178,The Revenant,R,2015.0,156.0,Leonardo DiCaprio,29000.0,Tom Hardy,27000.0,Lukas Haas,733.0
179,Turbo,PG,2013.0,96.0,Ryan Reynolds,16000.0,Snoop Dogg,881.0,Ben Schwartz,463.0
180,Rango,PG,2011.0,107.0,Johnny Depp,40000.0,Ray Winstone,1000.0,Stephen Root,939.0
181,Penguins of Madagascar,PG,2014.0,92.0,Benedict Cumberbatch,19000.0,Annet Mahendru,411.0,Andy Richter,179.0
182,The Bourne Ultimatum,PG-13,2007.0,115.0,Matt Damon,13000.0,Edgar Ramírez,897.0,Albert Finney,883.0
183,Kung Fu Panda,PG,2008.0,92.0,Angelina Jolie Pitt,11000.0,Wayne Knight,967.0,Dan Fogler,562.0
184,Ant-Man,PG-13,2015.0,117.0,Judy Greer,2000.0,Hayley Atwell,2000.0,T.I.,680.0
185,The Hunger Games: Catching Fire,PG-13,2013.0,146.0,Jennifer Lawrence,34000.0,Josh Hutcherson,14000.0,Sandra Ellis Lafferty,523.0
186,Home,PG,2015.0,94.0,Jim Parsons,17000.0,Matt Jones,523.0,April Winchell,183.0
187,War of the Worlds,PG-13,2005.0,116.0,Tom Cruise,10000.0,Lisa Ann Walter,1000.0,Rick Gonzalez,807.0
188,Bad Boys II,R,2003.0,147.0,Will Smith,10000.0,Henry Rollins,898.0,Jordi Mollà,877.0
189,Puss in Boots,PG,2011.0,90.0,Salma Hayek,4000.0,Constance Marie,442.0,Amy Sedaris,397.0
190,Salt,PG-13,2010.0,101.0,Angelina Jolie Pitt,11000.0,Andre Braugher,702.0,August Diehl,282.0
191,Noah,PG-13,2014.0,138.0,Anthony Hopkins,12000.0,Emma Watson,9000.0,Logan Lerman,8000.0
192,The Adventures of Tintin,PG,2011.0,107.0,Toby Jones,2000.0,Mackenzie Crook,871.0,Tony Curran,845.0
193,Harry Potter and the Prisoner of Azkaban,PG,2004.0,142.0,Daniel Radcliffe,11000.0,Gary Oldman,10000.0,Rupert Grint,10000.0
194,Australia,PG-13,2008.0,165.0,Essie Davis,309.0,Bryan Brown,284.0,Eddie Baroo,165.0
195,After Earth,PG-13,2013.0,100.0,Will Smith,10000.0,Zoë Kravitz,943.0,Glenn Morshower,894.0
196,Dinosaur,PG,2000.0,82.0,Alfre Woodard,1000.0,D.B. Sweeney,558.0,Della Reese,388.0
197,Harry Potter and the Deathly Hallows: Part II,,2011.0,,Rupert Grint,10000.0,Dave Legeno,570.0,Ralph Ineson,159.0
198,Night at the Museum: Secret of the Tomb,PG,2014.0,98.0,Robin Williams,49000.0,Rami Malek,3000.0,Steve Coogan,1000.0
199,Megamind,PG,2010.0,95.0,J.K. Simmons,24000.0,Brad Pitt,11000.0,Will Ferrell,8000.0
200,Harry Potter and the Sorcerer's Stone,PG,2001.0,159.0,Daniel Radcliffe,11000.0,Fiona Shaw,687.0,Verne Troyer,645.0
201,R.I.P.D.,PG-13,2013.0,96.0,Ryan Reynolds,16000.0,Jeff Bridges,12000.0,Stephanie Szostak,1000.0
202,Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,2003.0,143.0,Johnny Depp,40000.0,Orlando Bloom,5000.0,Jack Davenport,1000.0
203,Harry Potter and the Deathly Hallows: Part I,,2010.0,,Rupert Grint,10000.0,Toby Jones,2000.0,Alfred Enoch,1000.0
204,The Hunger Games: Mockingjay - Part 1,PG-13,2014.0,123.0,Jennifer Lawrence,34000.0,Philip Seymour Hoffman,22000.0,Josh Hutcherson,14000.0
205,The Da Vinci Code,PG-13,2006.0,174.0,Tom Hanks,15000.0,Seth Gabel,574.0,Jürgen Prochnow,362.0
206,Rio 2,G,2014.0,101.0,Miguel Ferrer,688.0,Rachel Crow,237.0,Jeffrey Garcia,56.0
207,X-Men 2,PG-13,2003.0,134.0,Hugh Jackman,20000.0,Bruce Davison,505.0,Aaron Stanford,346.0
208,Fast Five,PG-13,2011.0,132.0,Paul Walker,23000.0,Vin Diesel,14000.0,Dwayne Johnson,12000.0
209,Sherlock Holmes: A Game of Shadows,PG-13,2011.0,129.0,Robert Downey Jr.,21000.0,Eddie Marsan,979.0,Paul Anderson,154.0
210,Clash of the Titans,PG-13,2010.0,106.0,Liam Neeson,14000.0,Jason Flemyng,1000.0,Alexa Davalos,850.0
211,Total Recall,R,1990.0,113.0,Ronny Cox,605.0,Rachel Ticotin,308.0,Marshall Bell,217.0
212,The 13th Warrior,R,1999.0,102.0,Tony Curran,845.0,Vladimir Kulich,372.0,Clive Russell,241.0
