Day,Local Time,Dir,Speed/ Gust,Temp/ Feels Like,Humidity,Pressure,Cloud Amount,Precip Amount,Weather
Sat 15 Jul,01:00,NNE,4 / 8 mph,67 / 67°F,77%,1012 mb,Low level cloud: 0% Mid level cloud: 11% High level cloud: 0% Most Significant Cloud Type: medium 10%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Thu 13 Jul,13:00,NE,13 / 15 mph,92 / 99°F,54%,1012 mb,Low level cloud: 0% Mid level cloud: 9% High level cloud: 0% Most Significant Cloud Type: medium 9%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Fri 14 Jul,04:00,E,6 / 14 mph,71 / 71°F,83%,1011 mb,Low level cloud: 0% Mid level cloud: 28% High level cloud: 0% Most Significant Cloud Type: medium 27%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Mon 17 Jul,19:00,ESE,5 / 6 mph,88 / 88°F,49%,1019 mb,Low level cloud: 0% Mid level cloud: 2% High level cloud: 0% Most Significant Cloud Type: medium 1%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Thu 13 Jul,22:00,NE,4 / 8 mph,73 / 77°F,84%,1012 mb,Low level cloud: 0% Mid level cloud: 21% High level cloud: 21% Most Significant Cloud Type: medium 21%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sun 16 Jul,16:00,ENE,12 / 13 mph,82 / 80°F,38%,1019 mb,Low level cloud: 0% Mid level cloud: 3% High level cloud: 0% Most Significant Cloud Type: medium 2%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Wed 19 Jul,16:00,E,16 / 18 mph,94 / 99°F,46%,1015 mb,Low level cloud: 0% Mid level cloud: 7% High level cloud: 3% Most Significant Cloud Type: medium 6%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Wed 19 Jul,19:00,ESE,12 / 14 mph,89 / 92°F,49%,1015 mb,Low level cloud: 0% Mid level cloud: 9% High level cloud: 5% Most Significant Cloud Type: medium 8%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sat 15 Jul,13:00,NE,13 / 15 mph,87 / 87°F,42%,1014 mb,Low level cloud: 0% Mid level cloud: 2% High level cloud: 7% Most Significant Cloud Type: medium 2%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sat 15 Jul,10:00,NNE,11 / 13 mph,86 / 85°F,45%,1014 mb,Low level cloud: 0% Mid level cloud: 3% High level cloud: 0% Most Significant Cloud Type: medium 3%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Thu 13 Jul,19:00,ENE,5 / 6 mph,89 / 94°F,63%,1011 mb,Low level cloud: 0% Mid level cloud: 16% High level cloud: 73% Most Significant Cloud Type: medium 18%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Thu 13 Jul,16:00,NE,9 / 11 mph,92 / 99°F,55%,1011 mb,Low level cloud: 0% Mid level cloud: 12% High level cloud: 4% Most Significant Cloud Type: medium 12%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sun 16 Jul,01:00,E,15 / 24 mph,76 / 78°F,68%,1017 mb,Low level cloud: 0% Mid level cloud: 11% High level cloud: 4% Most Significant Cloud Type: medium 10%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sun 16 Jul,19:00,E,6 / 7 mph,83 / 80°F,44%,1019 mb,Low level cloud: 0% Mid level cloud: 6% High level cloud: 0% Most Significant Cloud Type: medium 5%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Sun 16 Jul,04:00,E,12 / 22 mph,73 / 77°F,61%,1018 mb,Low level cloud: 0% Mid level cloud: 16% High level cloud: 2% Most Significant Cloud Type: medium 16%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
Tue 18 Jul,13:00,ENE,11 / 13 mph,92 / 94°F,43%,1018 mb,Low level cloud: 0% Mid level cloud: 6% High level cloud: 4% Most Significant Cloud Type: medium 6%,Expect 0.00 In of precipitation over the past 3 hours. 0.00 In,
