correction,misspell
housing,houssing
butter,buder
efficacy,efficity
help, hlp
voluntarism,volunteerism
layer,lloyer
ability,abilitey
unnatural,unatourral
madness,maddness
changing,changeing
smile,smil
occasion,ocassion
dangle,dongle
encyclopedia,encyclapidia
interested,intertes
acquaintance,aquantance
insistent,insistant
synchronization,syncorization
regardless,irregardless
intelligent, intelegent
recognize,reconise
bush,buch
at,ast
politician,polation
crazy,crasy
liaison,liason
flattering,flatterring
government, gobernment
volley,volye
bureaucracy,beaurocracy
salute,salut
psychologist, sicolagest
hypothesis, hypotathese
octogenarian,octagenarian
this,ths
unconstitutional,unconisitional
asymmetric,asymetric
parameter,parametic
humanity,humaniti
theoretical, theridically
nickelodeon,nickleodeon
sneaked,snuck
safely,saftly
interface,inerface
crucified,crusifed
picturesque,picaresque
frustrating,frustartaion
dangerous,danguages
polygamy,poligamy
tomorrow, tomorow
dramatically,dramaticly
yield,yeild
embed,imbed
however,howaver
tough,taff
occupied,occuppied
during,duren
environment,enviroment
unnatural, unnaturral
consistent,consident
supersede,supercede
deities,dieties
absorption,absorbtion
constant,contast
leave,leasve
appreciate,appresteate
basically,basicly
announcement,annonsment
exceed,excede
likely,likly
knowing,knawing
signal,singal
police,pollice
test,tesst
existence,egsistence
consensus,concensus
distort,distart
customization,custamisation
extensions,extions
caveats,cravets
complicated,compicated
drunkenness,drunkeness
ward,whard
committee,comitte
colloquialism,colloquilism
discuss,discuess
possible,possable
critique, ctitique
unfortunately,unformanlly
destroy,distroy
psychologist, psycolagest
due,dur
archetype,archeype
favor,faver
wasting,wadting
necessary, necesary
prefixes,prefices
straitjacket,straightjacket
weaken,wicken
hyphen, hifine
opossum,opposim
simply,simplye
unfortunately, unfortally
fax,faxe
oscilloscope,oscilascope
commitment,comitmment
spell,spel
compiler,comiler
latest,latext
what,whaaat
aggressive,aggresive
initialized, initized
most_likely,mostlikely
in_depth,indepth
failure,failer
eventually,evtually
iterate,interate
subscribed,subjecribed
weird,wierd
independent,independant
wimp,whimp
however, howver
defiantly,defenly
elegant, elligit
defence,defense
naive,nieve
warlord,warloord
stomach,stumach
intelligent, intelejent
everything,evething
anoint,annoint
more,mroe
marshal,marshall
insidious,incedious
titillate,titalate
library,libary
pursued,presued
alive,allieve
encyclopedia, encyclopia
coping,copping
unnatural, unaturral
coolly,cooly
beginning,beggining
interpreter,interpretter
hello,hallo
incomplete, incomplot
superfluous,superfulous
mischievous,mischievious
immediately,imediaetly
memory,meory
caller,cauler
fiery,firey
psychologist,pscolgst
butter, budr
believe, belive
john,johhn
bureaucracy, buracracy
respectfully,respecally
acquire,equire
pursue, presue
architecture,aratictature
lesion,liasion
amorphous,amourfous
RSX,rsx
swimwear,swim_wear
particular,partrucal
parameters,paramers
the,teh
efforts,effots
phonetic,funetik
tattoos,tattos
several,seferal
exercise,excercise
rampantly,ramplily
radius,radious
objects,objectsion
architecture, aricticure
kilometre,lilometer
hyphen,hifin
environmental,envireminakl
utmost,upmost
fantasy,famdasy
replacement,replasments
spoke,spoak
than_or,thanot
intelligent, intellegint
influential,influencial
old,olf
kilometer,lilometer
cemetery,cemetary
better,metter
neighbor,neighbour
elegant,elagent
test, ttest
millennium,millenium
hyphen, hiphine
commitment, comittmen
Nevada,nevade
sherbet,sherbert
button,buton
hypothesis,hypotathes
dog,dag
higher,higer
help,heellp
running,runnung
organize, organiz
student,stutent
pursue,persue
dictionary,ductioneery
believe,beleive
moving,oving
government,goberment
committee, commitee
encapsulation,encapsualtion
tragedy,tradegy
disagree,diagree
tunnel_like,tunnellike
your,youe
horse,hourse
site,sitte
automatically,autoamlly
alcohol,alchohol
Stephen,Steffen
definite,definate
error, erro
want,mant
permissive,permmasivie
indent,ident
obfuscate,obsfuscate
cosmopolitan,cosmoplyton
prefixed,prefixt
all_right,alright
irritable,irritible
attentively,atentively
desperate,desparate
about,abouy
inefficient,inefficite
mike,mic
anatomy, anotomy
rudimentary,rudemtry
raccoon,reccona
boycott,boygot
dinosaur,dinasaur
dinosaur, dinasour
decision,disition
intelligent, intellgnt
majority,majaerly
problematic,proplematic
beginning, beging
festival,fistival
except,excpt
daily,daly
bleat,blait
mouser,mousr
judgment,judgement
segments,segements
circle, circue
discussion,disssicion
miscellaneous,misilous
broccoli,brocolli
indispensable,indispensible
by_by,byby
accommodate, acommadate
that,taht
initial,inital
explicitly, explity
despair,dispair
phenomenal,phenominal
tyranny,tyrrany
satisfy,satifly
contribution,conibation
error,errara
anonymous,anynomous
dependable,dependeble
came,gamne
leisure,lesure
niece,neice
theoretical,teridical
cockamamie,cocamena
unintelligible,unentelegible
prerogative,perogative
vinaigrette,vinagarette
unconscious,unconscience
distant,destint
buoyant,bouyant
accidentally,accidently
dynamic, dynaic
sponsored,sponsered
