Subtitle,"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Room,"Instruction 
Mode","Start 
Date","End 
Date"
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,46367.0,,EMS 235-A002,56,2,3,15,12,52,2.0,43696.0,43814.0
POLITICAL SCIENCE,44674.0,5,POL 101-A001,89,3,0,15,17,41,2.0,43696.0,43814.0
WELDING,44496.0,,WLD 130-A001,Gas Tungsten Arc Welding,2,0,35,31,80,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44600.0,,BIO 139-A0LY,27,,6,21,2,22,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,45026.0,,BIO 139-A0L2,27,,7,6,26,22,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,44527.0,,AGR 200-A001,Agricultural Internship III,2,1,1,1,4,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44868.0,,ELT 110-A005,50,5,10,15,2,47,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44456.0,,CMM 114-A001,36,6,10,24,38,31,2.0,43696.0,43814.0
ENGLISH,44554.0,6,ENG 101-A010,58,3,2,19,23,36,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44900.0,,FYE 100-A010,61,1,5,19,23,35,2.0,43696.0,43814.0
WELDING,44519.0,,WLD 151-A0L2,102,2,0,12:00 AM,12:00 AM,HC102,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,45009.0,,3,9,2,5,8,6,6,2.0,43696.0,43814.0
GEOGRAPHY,44648.0,1,GEO 251-A0Z1,Weather & Climate,3,1,1,1,1,1.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44446.0,,ELT 265-A0L1,54,,0,3,18,50,2.0,43696.0,43814.0
MATHEMATICS,45432.0,9,MAT 150-A006,73,3,2,10,20,41,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44608.0,,BIO 135-A0ZL,25,,1,1,1,1,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44918.0,2,BIO 137-A002,26,4,0,21,22,18,2.0,43696.0,43814.0
MEDICAL ASSISTING,45019.0,,MAI 105-A001,Introduction Medical Assisting,3,2,0,0,64,2.0,43696.0,43814.0
WELDING,44501.0,,WLD 111-A001,Cutting Processes Lab,3,10,08:50 AM,36,78,2.0,43696.0,43814.0
COMMUNICATIONS,44506.0,4,COM 252-A001,41,3,0,5,24,35,2.0,43696.0,43814.0
CIS,44932.0,,CIT 105-A0Z4,33,3,1,1,1,1,1.0,43696.0,43814.0
STATISTICS,44402.0,9,STA 220-A001,101,3,0,5,24,62,2.0,43696.0,43814.0
ART ,45124.0,,ART 241-A001,Ceramics II,3,2,5,24,15,2.0,43696.0,43814.0
ENGLISH,44976.0,7,ENG 282-A001,International Film Studies,3,0,0,0,38,2.0,43696.0,43814.0
WELDING,44490.0,,WLD 171-A001,Blueprint Reading/Welding Lab,3,10,07:45 AM,19,81,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44843.0,,ACR 290-A0Y1,Journeyman Preparation,3,1,1,1,4,0.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44550.0,1,BIO 120-A0Z1,24,3,1,1,1,1,1.0,43696.0,43814.0
MUSIC,44586.0,,MUP 102-A001,Voice,0,4,1,1,HUMH0131,2.0,43696.0,43814.0
SOCIOLOGY,44699.0,5,SOC 235-A001,Inequality in Society,3,2,15,17,71,2.0,43696.0,43814.0
HISTORY,44659.0,0,HIS 240-A0Z1,History of Kentucky,3,1,1,1,1,1.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44752.0,,ACR 170-A001,Heat Load/Duct Design,3,3,2,3,2,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,44978.0,,MIT 205-A0Z1,Advanced Medical Coding,3,1,1,1,1,1.0,43696.0,43814.0
PSYCHOLOGY,44692.0,5,PSY 298-A0Z1,Essentials Abnormal Psychology,3,1,1,1,1,1.0,43696.0,43814.0
SURGICAL TECHNOLOGY,44406.0,,SUR 100-A001,Surg Tech Fund/Theory,12,12,34,4,74,2.0,43696.0,43814.0
SPANISH LANGUAGE AND LITERATURE,44596.0,8,SPA 101-A001,100,4,0,3,20,54,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44429.0,,ELT 114-A001,51,5,10,15,2,48,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44758.0,,FYE 100-A003,61,1,6,19,23,ATC231,2.0,43696.0,43814.0
COMMUNICATIONS,44488.0,4,COM 181-A008,39,3,2,5,24,33,2.0,43696.0,43814.0
DIESEL TECHNOLOGY,44982.0,,11,44,2,3,6,10,9,2.0,43696.0,43814.0
MATHEMATICS,57276.0,9,MAT 150-A0H1,73,3,0,33,11:45 AM,23,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,45093.0,,BAS 160-A0ZB,19,3,1,1,1,1,1.0,43696.0,43751.0
ELECTRICAL TECHNOLOGY,44841.0,,EET 281-A001,2,1,4,1,1,45,2.0,43696.0,43814.0
FIRE/RESCUE SCIENCE  Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,46291.0,,13,60,6,MR,9,16,57,2.0,43696.0,43814.0
INDUSTRIAL MANTIENENCE TECHNOLGOY,44443.0,,IMT 110-A086,Industrial Maint Electric Prin,3,0,26,32,60,2.0,43696.0,43814.0
MATHEMATICS,45426.0,9,MAT 126-A003,69,3,2,19,23,SE241,2.0,43696.0,43814.0
CIS,44619.0,,CIT 105-A0E2,33,3,7,9,34,28,2.0,43696.0,43814.0
DIESEL TECHNOLOGY,44897.0,,12,45,2,6,6,4,9,2.0,43696.0,43814.0
RADIOGRAPHY,45372.0,,DMI 128-A0L1,96,,7,19,8,73,2.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,44666.0,,IEC 216-A0Z1,Literacy and Language in IECE,3,1,1,1,1,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44552.0,1,BIO 120-A001,24,3,2,15,17,19,2.0,43696.0,43814.0
MUSIC,44584.0,0,MUS 222-A0Z1,80,3,1,1,1,1,1.0,43696.0,43814.0
NURSING,44722.0,,NSG 101-A0C1,82,,4,1,1,4,2.0,43696.0,43814.0
ART ,44479.0,,ART 240-A001,Ceramics I,3,2,5,23,14,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44411.0,,ELT 110-A001,50,5,10,16,7,46,2.0,43696.0,43814.0
NURSING,44741.0,,NSG 230-A0C1,86,,1,1,1,4,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44906.0,,FYE 100-A007,61,1,5,19,23,16,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,55363.0,,4,11,2,9,10,11,6,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,45356.0,,AGR 115-A001,Agriculture Maintenance,3,6,14,13,SE119,2.0,43696.0,43814.0
WELDING,44504.0,,WLD 140-A001,Gas Metal Arc Welding,2,2,10:20 AM,4,58,2.0,43696.0,43814.0
HISTORY,44651.0,0,HIS 104-A0Z1,62,3,1,1,1,1,1.0,43696.0,43814.0
CHEMISTRY,44743.0,2,CHE 175-A001,Gen College Chemistry Lab I,1,6,5,33,26,2.0,43696.0,43814.0
WELDING,44512.0,,WLD 131-A001,Gas Tngstn Arc Weld Fillet Lab,3,0,36,9,79,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44770.0,,FYE 100-A016,61,1,5,19,23,59,2.0,43696.0,43814.0
CIS,44626.0,,CIT 170-A001,Database Design Fundamentals,3,0,19,23,28,2.0,43696.0,43814.0
ASTRONOMY,44912.0,1,AST 191-A0YE,The Solar System,3,3,9,25,12,0.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44793.0,2,BIO 137-A0Y1,26,4,1,1,1,1,0.0,43696.0,43814.0
NURSING,44739.0,,NSG 230-A001,86,6,7,6,33,68,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,54063.0,,BIO 141-A0L1,28,,3,10,03:50 PM,20,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44462.0,,CMM 299-A001,3,1,4,1,1,4,2.0,43696.0,43814.0
MUSIC,44585.0,,MUP 101-A001,78,0,4,1,1,HUMH0129,2.0,43696.0,43814.0
THEATRE,46359.0,,THA 260-A001,Stagecraft,3,0,10,20,HUMH0112,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,44521.0,,AGR 125-A001,14,3,2,15,17,11,2.0,43696.0,43814.0
WELDING,44962.0,,WLD 227-A001,Shield Metal ArcWld Pipe Lab A,3,14,10:35 AM,10,79,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,44755.0,,AGR 125-A0L1,14,3,4,1,1,11,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,44605.0,,BAS 282-A001,20,3,0,0,0,16,2.0,43696.0,43814.0
PHILOSOPHY,44590.0,0,PHI 120-A001,Introductory Logic,3,0,5,24,55,2.0,43696.0,43814.0
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,46360.0,,EMS 240-A001,Medical Emergencies I,3,3,15,12,52,2.0,43696.0,43814.0
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,46368.0,,EMS 235-A003,56,2,3,15,12,52,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,44669.0,,MIT 217-A0Z1,76,3,1,1,1,1,1.0,43759.0,43814.0
HISTORY,44979.0,0,HIS 105-A0Z1,63,3,1,1,1,1,1.0,43696.0,43814.0
PSYCHOLOGY,44676.0,5,PSY 110-A001,91,3,0,0,0,72,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44787.0,,FYE 100-A015,61,1,5,19,23,37,2.0,43696.0,43814.0
COMMUNICATIONS,44498.0,4,COM 181-A0Z1,39,3,1,1,1,1,1.0,43696.0,43814.0
CIS,44627.0,,CIT 180-A0Z1,Security Fundamentals,3,1,1,1,1,1.0,43696.0,43814.0
ENGLISH,44544.0,6,ENG 101-A005,58,3,0,10,20,55,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,44526.0,,AGR 190-A001,Agricultural Internship II,2,1,1,1,4,2.0,43696.0,43814.0
MATHEMATICS,45430.0,,MAT 141S-A0M1,Coreq Remediation for Math,1,2,33,0.46527777777777773,63,2.0,43696.0,43814.0
ENGLISH,45080.0,,ENG 100-A0H2,57,2,0,10,02:50 PM,53,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44578.0,,FYE 100-A001,61,1,6,19,23,58,2.0,43696.0,43814.0
CIS,44623.0,,CIT 111-A001,34,4,0,15,35,29,2.0,43696.0,43814.0
ART ,44474.0,0,ART 100-A001,18,3,2,10,20,13,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44440.0,,EET 287-A0Y1,Program Logic Control II Lab,2,11,24,23,43,0.0,43696.0,43814.0
ENGLISH,44560.0,6,ENG 101-A0Z2,58,3,1,1,1,1,1.0,43696.0,43814.0
CIS,44614.0,,CIT 105-A003,33,3,0,10,20,27,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44753.0,,ACR 299-A001,3,2,4,1,1,4,2.0,43696.0,43814.0
 ACCOUNTING ,45090.0,,ACC 201-A0BY,0,3,0,0,0,0,0.0,43696.0,43751.0
FIRST YEAR EXPERIENCE,44878.0,,FYE 100-A0Z3,61,1,1,1,1,1,1.0,43696.0,43814.0
COMPUTER AIDED DRAFTING,44837.0,,CAD 100-A0ZL,31,,1,1,1,1,1.0,43696.0,43814.0
ENGLISH,45048.0,6,ENG 101-A014,58,3,2,19,23,55,2.0,43696.0,43814.0
ENGLISH,44570.0,6,ENG 102-A005,59,3,2,5,24,55,2.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,44908.0,,IEC 235-A0Z1,Intro to Inclusive Education,3,1,1,1,1,1.0,43696.0,43814.0
RELIGIOUS STUDIES,44595.0,10,REL 130-A0Z1,98,3,1,1,1,1,1.0,43696.0,43814.0
INDUSTRIAL MANTIENENCE TECHNOLGOY,45000.0,,IMT 289-A001,Industrial Maint Tech Capstone,1,4,1,1,4,1.0,43696.0,43814.0
WELDING,44744.0,,WLD 151-A001,102,2,2,2,44,70,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44888.0,,BIO 139-A0L1,27,,5,22,29,22,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,45003.0,,MIT 295-A0L1,77,3,4,1,1,4,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44880.0,,ACR 291-A001,2,1,1,2,8,2,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44423.0,,EET 254-A001,Electrical Construction,3,10,24,38,44,2.0,43696.0,43814.0
ENGLISH,44557.0,6,ENG 101-A011,58,3,2,15,17,37,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44749.0,,ACR 131-A001,Electrical Components Lab,2,2,05:20 PM,6,3,2.0,43696.0,43814.0
CIS,44808.0,,CIT 130-A0Z1,Productivity Software,3,1,1,1,1,1.0,43696.0,43814.0
POLITICAL SCIENCE,44797.0,5,POL 255-A001,90,3,2,19,23,71,2.0,43696.0,43814.0
SOCIOLOGY,44695.0,5,SOC 101-A003,99,3,0,15,17,71,2.0,43696.0,43814.0
INDUSTRIAL MANTIENENCE TECHNOLGOY,44472.0,,IMT 150-A001,Maintaining Industrial Equip I,3,2,3,3,49,2.0,43696.0,43814.0
PHILOSOPHY,44589.0,0,PHI 110-A0Z1,87,3,1,1,1,1,1.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44470.0,,ELT 265-A002,54,3,2,29,2,51,2.0,43696.0,43814.0
CIS,44613.0,,CIT 105-A002,33,3,0,19,23,27,2.0,43696.0,43814.0
FRENCH LANGUAGE AND LITERATURE,44577.0,8,FRE 101-A0Z1,Elemen French I,4,1,1,1,1,1.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,54059.0,,IEC 102-A0Z1,Foundations/Early Childhood Ed,3,1,1,1,1,1.0,43696.0,43814.0
SURGICAL TECHNOLOGY,45113.0,,SUR 125-A0BC,Surgical Tech Skills Pract I,2 - 3,13,06:15 AM,20,4,2.0,43759.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,45361.0,,AGR 275-A001,Value Added Production,3,4,1,1,4,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44448.0,,BIO 225-A0L1,29,,2,24,32,25,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44599.0,2,BIO 139-A0Y2,27,4,1,1,1,1,2.0,43696.0,43814.0
RADIOGRAPHY,44974.0,,DMI 108-A0L1,95,,5,19,30,73,2.0,43696.0,43814.0
MATHEMATICS,55583.0,,MAT 126S-A0H2,70,2,2,30,45,62,2.0,43696.0,43814.0
COMMUNICATIONS,44517.0,4,COM 254-A0Z1,42,3,1,1,1,1,1.0,43696.0,43814.0
NURSING,44731.0,,NSG 220-A0L1,85,,3,15,11,ACA105,2.0,43696.0,43814.0
ENGLISH,44551.0,6,ENG 101-A009,58,3,2,5,24,36,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44416.0,,ELT 110-A0L6,50,,0,11,08:30 PM,46,2.0,43696.0,43814.0
CIS,45376.0,,CIT 105-A0ZB,33,3,1,1,1,1,1.0,43759.0,43814.0
BIOLOGICAL SCIENCES,45025.0,2,BIO 139-A002,27,4,2,15,17,18,2.0,43696.0,43814.0
MATHEMATICS,44395.0,9,MAT 150-A002,73,3,0,5,24,19,2.0,43696.0,43814.0
COMMUNICATIONS,44482.0,4,COM 181-A002,39,3,0,0,0,34,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44855.0,,ACR 113-A001,Sheet Metal Fabrication Lab,2,2,1,1,3,2.0,43696.0,43814.0
MATHEMATICS,44392.0,9,MAT 150-A0ZH,73,3,1,1,1,1,1.0,43696.0,43814.0
INDUSTRIAL CORE,45022.0,,14,2,1,4,1,1,4,2.0,43696.0,43814.0
CHEMISTRY,44431.0,,9,32,,7,5,9,17,2.0,43696.0,43814.0
COMMUNICATIONS,44821.0,,COM 284-A001,40,1,1,1,1,36,2.0,43696.0,43814.0
ENGLISH,45081.0,,ENG 100-A0H3,57,2,2,5,42,53,2.0,43696.0,43814.0
