"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Room,"Instruction 
Mode","Start 
Date","End 
Date"
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
HISTORY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
SOCIAL WORK,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
ALLIED HEALTH,,,,,,,,,,,
NURSING,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
44691.0,5,PSY 185-A0Z1,Human Potential,3,1,1,1,1,1.0,43696.0,43814.0
MATHEMATICS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
WELDING,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
ART ,,,,,,,,,,,
HISTORY,,,,,,,,,,,
CIS,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
ALLIED HEALTH,,,,,,,,,,,
CIS,,,,,,,,,,,
45396.0,,CIT 262-A0B2,MS Network Infrastructure,3,5,14,37,30,2.0,43759.0,43814.0
ENGLISH,,,,,,,,,,,
HISTORY,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
ART ,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,
WELDING,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
44600.0,,BIO 139-A0LY,27,,6,21,2,22,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
WELDING,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
GEOGRAPHY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
44608.0,,BIO 135-A0ZL,25,,1,1,1,1,1.0,43696.0,43814.0
MEDICAL ASSISTING,,,,,,,,,,,
WELDING,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
CIS,,,,,,,,,,,
STATISTICS,,,,,,,,,,,
ART ,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
WELDING,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
MUSIC,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,
HISTORY,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,
SPANISH LANGUAGE AND LITERATURE,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
FIRE/RESCUE SCIENCE  Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
CIS,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
MUSIC,,,,,,,,,,,
NURSING,,,,,,,,,,,
ART ,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
NURSING,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
WELDING,,,,,,,,,,,
HISTORY,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,
WELDING,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
CIS,,,,,,,,,,,
ASTRONOMY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
NURSING,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
MUSIC,,,,,,,,,,,
THEATRE,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
WELDING,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
46360.0,,EMS 240-A001,Medical Emergencies I,3,3,15,12,52,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
HISTORY,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
CIS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
CIS,,,,,,,,,,,
ART ,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
CIS,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
COMPUTER AIDED DRAFTING,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
45048.0,6,ENG 101-A014,58,3,2,19,23,55,2.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,
WELDING,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
CIS,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
FRENCH LANGUAGE AND LITERATURE,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
44448.0,,BIO 225-A0L1,29,,2,24,32,25,2.0,43696.0,43814.0
RADIOGRAPHY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
NURSING,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
INDUSTRIAL CORE,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
NURSING,,,,,,,,,,,
MEDICAL ASSISTING,,,,,,,,,,,
HISTORY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
WELDING,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
CIS,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
44556.0,,BIO 137-A0L1,26,,3,19,8,22,2.0,43696.0,43814.0
MATHEMATICS,,,,,,,,,,,
ART ,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
NURSING,,,,,,,,,,,
CIS,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
GEOGRAPHY,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
VETERINARY TECHNOLOGY,,,,,,,,,,,
44468.0,,VET 110-A001,Intro to Veterinary Tech,5,0,24,22,77,2.0,43696.0,43814.0
44466.0,,VET 220-A001,Parasitology and Clinical Lab,5,10,16,31,DT23,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
44715.0,,8,13,2,6,9,6,6,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
HISTORY,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
HISTORY,,,,,,,,,,,
44654.0,0,HIS 108-A002,64,3,2,19,23,59,2.0,43696.0,43814.0
CIS,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
ART ,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
MUSIC,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
HUMAN SERVICES,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
WELDING,,,,,,,,,,,
44492.0,,WLD 298-A001,Welding Practicum,2,2,16,9,81,2.0,43696.0,43814.0
SOCIOLOGY,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
44863.0,9,MAT 126-A0H1,69,3,2,19,23,23,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
44507.0,,WLD 123-A001,Shield Metal Arc Wld GrooveLab,3,2,21,18,79,2.0,43696.0,43814.0
MATHEMATICS,,,,,,,,,,,
44803.0,9,MAT 126-A0M2,69,3,0,15,17,63,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
NURSING,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
ENERGY SYSTEMS,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
CIS,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
THEATRE,,,,,,,,,,,
ALLIED HEALTH,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
44425.0,,EET 274-A001,Electrical Motor Controls,3,10,27,39,44,2.0,43696.0,43814.0
CIS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
CIS,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
45424.0,QE,MAT 116-A001,68,3,0,19,23,41,2.0,43696.0,43814.0
EDUCATION,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
STATISTICS,,,,,,,,,,,
WELDING,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
GEOLOGICAL SCIENCES,,,,,,,,,,,
HISTORY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
44385.0,9,MAT 150-A0H2,73,3,0,15,17,23,2.0,43696.0,43814.0
ENGLISH,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
HUMAN SERVICES,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
CIS,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,
