Name,Jersey #,Year,Position,Wt
Maynard H. Jackson,,,,
Jordan Covington,81.0,11.0,22,240.0
South Atlanta,,,,
Booker T. Washington,,,,
Maynard H. Jackson,,,,
Douglass,,,,
Best Academy,,,,
Booker T. Washington,,,,
Carver,,,,
Booker T. Washington,,,,
Carver,,,,
North Atlanta,,,,
D.M. Therrell,,,,
Maynard H. Jackson,,,,
Carver,,,,
Benjamen E. Mays,,,,
North Atlanta,,,,
Benjamen E. Mays,,,,
Douglass,,,,
Carver,,,,
Dontavious Marks,2.0,12.0,13,160.0
Benjamen E. Mays,,,,
Douglass,,,,
Best Academy,,,,
Douglass,,,,
Octarius Hart,82.0,10.0,10,140.0
Lithonia,,,,
Maynard H. Jackson,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
Douglass,,,,
Carver,,,,
Lithonia,,,,
Best Academy,,,,
Booker T. Washington,,,,
Best Academy,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Best Academy,,,,
Maynard H. Jackson,,,,
Carver,,,,
Grady,,,,
Demarcus Morgan,20.0,11.0,0,
Lithonia,,,,
Maynard H. Jackson,,,,
North Atlanta,,,,
Grady,,,,
Benjamen E. Mays,,,,
Grady,,,,
Douglass,,,,
Best Academy,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
Aaron Young,34.0,10.0,11,145.0
North Atlanta,,,,
South Atlanta,,,,
Carver,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
Douglass,,,,
Lithonia,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Booker T. Washington,,,,
Maynard H. Jackson,,,,
Best Academy,,,,
Douglass,,,,
D.M. Therrell,,,,
Carver,,,,
Douglass,,,,
Grady,,,,
D.M. Therrell,,,,
Grady,,,,
Benjamen E. Mays,,,,
D.M. Therrell,,,,
Lithonia,,,,
Benjamen E. Mays,,,,
Best Academy,,,,
Carver,,,,
Antonio Gray,36.0,10.0,10,160.0
Grady,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
Grady,,,,
Carver,,,,
Charlie Patrick,20.0,11.0,23,200.0
Benjamen E. Mays,,,,
Grady,,,,
D.M. Therrell,,,,
South Atlanta,,,,
Benjamen E. Mays,,,,
Michael Worthans,73.0,11.0,8,340.0
Grady,,,,
Best Academy,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Carver,,,,
South Atlanta,,,,
D.M. Therrell,,,,
Tari Covington,25.0,10.0,2,175.0
Booker T. Washington,,,,
Best Academy,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Grady,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
Xzavion Curry,17.0,10.0,16,160.0
North Atlanta,,,,
Benjamen E. Mays,,,,
North Atlanta,,,,
Carver,,,,
North Atlanta,,,,
Booker T. Washington,,,,
Benjamen E. Mays,,,,
Lithonia,,,,
North Atlanta,,,,
D.M. Therrell,,,,
Grady,,,,
South Atlanta,,,,
D.M. Therrell,,,,
Best Academy,,,,
Benjamen E. Mays,,,,
North Atlanta,,,,
