Name,Jersey #,Year,Position,Wt
Benjamen E. Mays,,,,
Lithonia,,,,
Grady,,,,
Best Academy,,,,
Grady,,,,
Carver,,,,
Maynard H. Jackson,,,,
Douglass,,,,
Booker T. Washington,,,,
Carver,,,,
D.M. Therrell,,,,
Booker T. Washington,,,,
Maynard H. Jackson,,,,
Douglass,,,,
Best Academy,,,,
Carver,,,,
Benjamen E. Mays,,,,
Keenan Anderson,75.0,11.0,8,370.0
Best Academy,,,,
Maynard H. Jackson,,,,
Carver,,,,
Best Academy,,,,
Grady,,,,
Douglass,,,,
South Atlanta,,,,
Best Academy,,,,
Carver,,,,
North Atlanta,,,,
Grady,,,,
D.M. Therrell,,,,
Grady,,,,
North Atlanta,,,,
Grady,,,,
Maynard H. Jackson,,,,
South Atlanta,,,,
Douglass,,,,
North Atlanta,,,,
Booker T. Washington,,,,
D.M. Therrell,,,,
Lithonia,,,,
Douglass,,,,
Grady,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Booker T. Washington,,,,
Benjamen E. Mays,,,,
Best Academy,,,,
Carver,,,,
South Atlanta,,,,
Booker T. Washington,,,,
Andre Jackson,2.0,12.0,2,180.0
D.M. Therrell,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
Maynard H. Jackson,,,,
D.M. Therrell,,,,
Carver,,,,
Artis Grier,56.0,11.0,22,200.0
Maynard H. Jackson,,,,
Grady,,,,
Maynard H. Jackson,,,,
Carver,,,,
D.M. Therrell,,,,
Maynard H. Jackson,,,,
Tommy White,57.0,11.0,OL/LB/DE,298.0
Benjamen E. Mays,,,,
Grady,,,,
South Atlanta,,,,
Douglass,,,,
Carver,,,,
D.M. Therrell,,,,
Carver,,,,
Douglass,,,,
Benjamen E. Mays,,,,
Best Academy,,,,
North Atlanta,,,,
Chris Smith,21.0,,,
Best Academy,,,,
Carver,,,,
Benjamen E. Mays,,,,
Shiheem Rutherford,11.0,11.0,15,200.0
Grady,,,,
Best Academy,,,,
Grady,,,,
Benjamen E. Mays,,,,
Carver,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Booker T. Washington,,,,
Demarcus Davis,6.0,12.0,2,175.0
Carver,,,,
Best Academy,,,,
Lithonia,,,,
Douglass,,,,
Grady,,,,
Benjamen E. Mays,,,,
Quentin Ratliff,87.0,12.0,5,190.0
Douglass,,,,
Carver,,,,
South Atlanta,,,,
Benjamen E. Mays,,,,
Demarcus Worthy,91.0,11.0,LB/DL,220.0
South Atlanta,,,,
Douglass,,,,
D.M. Therrell,,,,
Grady,,,,
Maynard H. Jackson,,,,
D.M. Therrell,,,,
Lithonia,,,,
Terence Minor,1.0,11.0,2,170.0
Douglass,,,,
Carver,,,,
Booker T. Washington,,,,
Benjamen E. Mays,,,,
North Atlanta,,,,
Benjamen E. Mays,,,,
Carver,,,,
Booker T. Washington,,,,
Grady,,,,
Harlan Faddis,50.0,10.0,8,
Lithonia,,,,
Juwan Hardy,4.0,11.0,0,190.0
Best Academy,,,,
South Atlanta,,,,
Carver,,,,
Timsonte Dukes,29.0,10.0,17,170.0
D.M. Therrell,,,,
Grady,,,,
Douglass,,,,
D.M. Therrell,,,,
TyJuan Parks,58.0,10.0,8,190.0
Carver,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
Caymen Bridges,47.0,12.0,15,200.0
Maynard H. Jackson,,,,
Lithonia,,,,
North Atlanta,,,,
E.J. Barron,2.0,,,
Grady,,,,
Lithonia,,,,
North Atlanta,,,,
Oladi Falade,31.0,,,
Douglass,,,,
North Atlanta,,,,
South Atlanta,,,,
Best Academy,,,,
Booker T. Washington,,,,
Maynard H. Jackson,,,,
Drevion Norman,75.0,11.0,8,
Best Academy,,,,
Benjamen E. Mays,,,,
Broderick Stephens,56.0,12.0,22,225.0
Maynard H. Jackson,,,,
Douglass,,,,
Quinterrius Riley,6.0,12.0,31,160.0
D.M. Therrell,,,,
Christian Williams,1.0,12.0,2,170.0
Benjamen E. Mays,,,,
Maynard H. Jackson,,,,
Best Academy,,,,
Maynard H. Jackson,,,,
Jaimon Cornell,33.0,10.0,,
South Atlanta,,,,
Maynard H. Jackson,,,,
Lithonia,,,,
D.M. Therrell,,,,
Grady,,,,
Benjamen E. Mays,,,,
North Atlanta,,,,
Lithonia,,,,
Grady,,,,
D.M. Therrell,,,,
Carver,,,,
Malik Battle,61.0,12.0,22,250.0
Benjamen E. Mays,,,,
North Atlanta,,,,
Grady,,,,
Aaron Cochran,80.0,11.0,7,
Carver,,,,
Alaquende Thompson,43.0,10.0,17,150.0
D.M. Therrell,,,,
Booker T. Washington,,,,
Best Academy,,,,
Lithonia,,,,
Jozahn Carter,8.0,11.0,1,170.0
Grady,,,,
Kaleb Edwards,52.0,10.0,8,
North Atlanta,,,,
South Atlanta,,,,
Lithonia,,,,
Benjamen E. Mays,,,,
Carver,,,,
Douglass,,,,
Carver,,,,
North Atlanta,,,,
Carver,,,,
Omar Bloodsoe,70.0,10.0,22,220.0
Grady,,,,
Booker T. Washington,,,,
Lithonia,,,,
Booker T. Washington,,,,
Grady,,,,
Maynard H. Jackson,,,,
Benjamen E. Mays,,,,
Emanuel Burns,68.0,11.0,20,190.0
Booker T. Washington,,,,
South Atlanta,,,,
Carver,,,,
Douglass,,,,
Lithonia,,,,
Maynard H. Jackson,,,,
Booker T. Washington,,,,
Lithonia,,,,
Douglass,,,,
Maynard H. Jackson,,,,
Grady,,,,
Best Academy,,,,
Lithonia,,,,
Best Academy,,,,
Benjamen E. Mays,,,,
Booker T. Washington,,,,
Tariq Hightower,20.0,11.0,17,170.0
Benjamen E. Mays,,,,
Lithonia,,,,
Grady,,,,
North Atlanta,,,,
Maynard H. Jackson,,,,
Lithonia,,,,
Booker T. Washington,,,,
Benjamen E. Mays,,,,
Grady,,,,
Lithonia,,,,
Benjamen E. Mays,,,,
South Atlanta,,,,
Rondio Murphy,56.0,10.0,,
Maynard H. Jackson,,,,
Carver,,,,
Maynard H. Jackson,,,,
Grady,,,,
Douglass,,,,
Grady,,,,
Maynard H. Jackson,,,,
Carver,,,,
Benjamen E. Mays,,,,
Carver,,,,
Lithonia,,,,
Grady,,,,
Ronquavious Cullins,23.0,11.0,1,
South Atlanta,,,,
Grady,,,,
D.M. Therrell,,,,
Jared Wilson,28.0,9.0,1,140.0
South Atlanta,,,,
North Atlanta,,,,
South Atlanta,,,,
Lithonia,,,,
Rico Bruton,12.0,12.0,16,190.0
Carver,,,,
Maynard H. Jackson,,,,
D.M. Therrell,,,,
Grady,,,,
Lithonia,,,,
Booker T. Washington,,,,
Carver,,,,
Best Academy,,,,
South Atlanta,,,,
Benjamen E. Mays,,,,
Maynard H. Jackson,,,,
Carver,,,,
Best Academy,,,,
Maynard H. Jackson,,,,
Grady,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
Best Academy,,,,
Carver,,,,
D.M. Therrell,,,,
Benjamen E. Mays,,,,
Jordan Ellis,93.0,10.0,15,200.0
Carver,,,,
Lithonia,,,,
Benjamen E. Mays,,,,
D.M. Therrell,,,,
Douglass,,,,
Grady,,,,
Douglass,,,,
Best Academy,,,,
Douglass,,,,
D.M. Therrell,,,,
Jaquavious Lee,26.0,9.0,1,150.0
Lithonia,,,,
Best Academy,,,,
Carver,,,,
Grady,,,,
Maynard H. Jackson,,,,
North Atlanta,,,,
Benjamen E. Mays,,,,
Grady,,,,
Benjamen E. Mays,,,,
Douglass,,,,
Carver,,,,
Lithonia,,,,
Grady,,,,
North Atlanta,,,,
Carver,,,,
Douglass,,,,
North Atlanta,,,,
Grady,,,,
Benjamen E. Mays,,,,
North Atlanta,,,,
Benjamen E. Mays,,,,
Booker T. Washington,,,,
Douglass,,,,
Carver,,,,
Booker T. Washington,,,,
Grady,,,,
South Atlanta,,,,
D.M. Therrell,,,,
Grady,,,,
Tyri Jones,8.0,11.0,2,
Douglass,,,,
Carver,,,,
Douglass,,,,
Maynard H. Jackson,,,,
South Atlanta,,,,
Booker T. Washington,,,,
Grady,,,,
Best Academy,,,,
North Atlanta,,,,
Benjamen E. Mays,,,,
Maynard H. Jackson,,,,
Best Academy,,,,
Benjamen E. Mays,,,,
Gregory Lampkin,58.0,12.0,20,235.0
North Atlanta,,,,
Carver,,,,
Jamar Fordham Jr,13.0,12.0,SS/LB,195.0
Benjamen E. Mays,,,,
D.M. Therrell,,,,
North Atlanta,,,,
