# OF Trades,Index,DATE,HOME,0,AWAY,Market,EXP.,EXP Y/N,Score,Open BACK ODDS,SUCCESS,WON B/L,Goals (minutes)
1,2,41733,0,0,DUSSELDORF,0,3.26,0,1,1.97,0,0,53
1,3,41733,SPARTAK MOSCOW,0,URAL,0,3.57,1,2,1.9,1,1,20
1,9,41733,MARSEILLE,0,AJACCIO,0,3.04,0,3,1.71,2,0,"61, 4, 60"
1,10,41733,1,0,LEVERKUSEN,0,3.3,0,6,1.67,2,0,"58, 82, 4"
1,30,41736,3,0,4,0,3.99,1,8,1.7,2,1,32
1,31,41736,JONG ALAX,0,EINDHOVEN,0,4.01,0,1,1.7,2,0,"37, 56, 42"
1,32,41736,JONG PSV,0,DEN BOSCH,0,3.27,0,4-Jan,1.7,2,0,"62, 72, 85"
1,33,41736,DIN. BUCURESTI,0,OTELUL,0,3.06,0,3,2.14,2,0,"60, 44"
1,34,41736,METZ,0,5,0,3.23,0,6,2.18,2,0,"39, 18"
1,35,41737,WATFORD,0,LEEDS,0,3.19,0,11,1.85,2,0,"67, 9"
1,37,41740,BELUPO,0,6,0,3.19,0,6,1.75,0,0,"69, 81"
1,38,41740,M.DONETSK,0,SEVASTOPOL,0,3.96,0,11,1.97,0,0,"18, 16, 36"
1,39,41740,ISTRES,0,CAEN,0,3.38,0,14,2.05,0,0,"87, 17, 22"
1,40,41740,TOURS,0,7,0,4.18,0,1,1.75,0,0,92
1,43,41741,HANNOVER,0,HAMBURG,0,3.47,0,6,1.97,0,0,"9, 26"
1,44,41741,MGLADBACH,0,STUTTGART,0,3.43,1,7,1.69,1,1,89
1,48,41741,NACIONAL,0,MARITIMO,0,3.13,1,8,2.12,1,1,7
1,49,41741,ZENIT,0,9,0,3.42,0,1-Apr,1.76,0,0,"52, 94"
1,50,41741,GORNIK,0,LECH POZNAN,0,3.17,0,5,1.99,0,0,"31, 34"
1,51,41741,AC WOLFSBERGER,0,GRODIG,0,3.79,0,1,1.64,0,0,"93, 89, 19"
1,52,41741,SABADELL,0,GIJON,0,3.29,1,8,1.83,1,1,"85, 89"
1,53,41742,LOCOMOTIV,0,ANZHI,0,3.02,1,13,2.14,1,1,0
1,54,41742,BETIS,0,SEVILLA,0,3.25,1,15,1.86,1,1,82
1,55,41742,LYNGBY,0,HVIDORE,0,3.05,0,9,1.92,0,0,"34, 24, 76"
1,57,41742,PLZEN,0,JIHLAVA,0,3.94,1,7,1.76,1,1,46
1,58,41742,FC PORTO,0,OLIVEIRENSE,0,3.29,0,1,1.98,0,0,"64, 29"
1,63,41743,PANDURII,0,NAVODARI,0,3.29,1,13,2.14,1,1,0
1,64,41743,ESTORIL,0,FERREIRA,0,3.26,1,4,2.44,1,1,41
1,65,41744,RIJEKA,0,ZADAR,0,3.23,0,11,1.67,0,0,"70, 25"
1,67,41745,DINAMO KIEV,0,SHAKHTAR,0,3.5,1,15,1.86,0,1,"10, 34"
1,70,41746,HVIDORE,0,FREDERICA,0,3.1,0,6,2.06,0,0,"68, 9"
1,72,41746,AUE,0,DRESDEN,0,2.74,1,8,2.14,0,1,19
1,73,41746,FRANKFURT,0,HANNOVER,0,2.8,0,14,1.74,0,0,"29, 20, 13"
1,74,41747,BRISTOL CITY,0,NOTTS COUNTRY,0,3.64,0,6,1.8,0,0,"30, 13, 86"
1,75,41747,2,0,TRANMERE,0,3.31,1,8,1.82,1,1,93
1,76,41747,NIMES,0,5,0,3.53,1,4,1.98,1,1,67
1,77,41747,TROYES,0,7,0,3.48,0,5,1.68,0,0,"70, 30"
1,78,41748,TOTTENHAM,0,FULHAM,0,3.4,0,3,1.7,0,0,"34,  62, 37"
1,79,41748,AC MILAN,0,4,0,3.39,0,11,1.65,0,0,84
1,81,41748,NOTTS FOREST,0,BIRMINGHAM,0,3.22,1,4,1.76,1,1,2
1,85,41748,CHELSEA,0,SUNDERLAND,0,3.1,0,1,1.7,0,0,80
1,86,41748,1,0,WOLFSBERG,0,3.69,0,12,1.7,0,0,"2, 49, 58, 42"
1,87,41748,3,0,BOLOGNA,0,3.16,1,2,1.7,1,1,63
1,88,41749,0,0,GREUTHER FURTH,0,3.69,0,0,2.12,0,0,"92, 59, 35, 74"
1,89,41749,DYNAMO MOSCOW,0,9,0,3.42,0,1,2.06,0,0,"81, 73"
1,93,41749,STUTTGART,0,2,0,3.38,0,3,1.76,0,0,"59, 54"
1,95,41750,BIRMINGHAM,0,BLACKBURN,0,2.9,0,4-Feb,1.82,0,0,"10, 20, 84"
1,97,41750,HAJDUK SPLIT,0,6,0,3.09,0,0,1.79,0,0,"52, 56, 66"
1,99,41750,ANTALYASPOR,0,SILVASSPOR,0,3.07,0,1,1.9,0,0,"84, 53"
2,42,41741,GREUTHER FURTH,0,AUE,0,3.39,0,6,1.79,0,0,"17, 58"
2,45,41741,KARPARTY,0,DINAMO KIEV,0,3.02,0,0,2.02,0,0,"48, 32"
2,56,41742,LIVERPOOL,0,MAN CITY,1,4.16,0,9,2.48,0,0,"6, 57, 78, 62"
2,59,41742,OLYMPIAKOS,0,APOLLON SMIRNIS,0,4.55,1,4,1.63,1,1,88
2,60,41743,FC BRNO,0,SIGMA OLOMOUC,0,3.17,1,8,2.18,1,1,70
2,61,41743,V. NOVGOROD,0,DINAMO MOSCOW,0,3.34,0,16,2.0,0,0,"53, 75, 84, 91"
2,62,41743,ELAZIGSPOR,0,GAZIANTEPSPOR,0,3.65,0,6,2.04,0,0,"34, 90, 83"
2,69,41745,VIBORG,0,AALBORG,0,3.69,1,15,1.74,0,1,59
2,94,41750,DEN BOSCH,0,0,1,3.6,1,7,2.16,1,1,39
3,68,41745,GRASSHOPPER,0,3,0,3.1,0,16,1.86,0,0,"60, 27, 45"
3,100,41751,DINAMO ZAGREB,0,HRVATSKI DRAGOVOLJAC,0,3.35,0,10,1.47,0,0,"62, 64, 90"
