Index,budget,revenue,original_title,genres,release_year
129,74000000,311594032,The SpongeBob Movie: Sponge Out of Water,Animation,2015
10381,2000000,54207,Return of the Living Dead 3,Romance,1993
3870,0,0,96 Minutes,Thriller,2011
9811,0,0,The Man Who Would Be King,Drama,1975
8464,100000000,100138851,The Hunchback of Notre Dame,Family,1996
6436,25000000,0,Nomad,Action,2005
3513,10000000,17273593,Our Idiot Brother,Comedy,2011
5273,55000000,0,George of the Jungle,Family,1997
9141,15000000,10443316,Home Fries,Comedy,1998
4022,47000000,30002758,Solaris,Drama,2002
4530,6000000,13231461,The Words,Thriller,2012
6348,475000,3919254,Brick,Mystery,2005
6269,50000000,94000000,Syriana,Drama,2005
8222,35000000,15000000,Le Hussard sur le toit,War,1995
9516,0,7399763,High Spirits,Horror,1988
9036,90000000,0,Mighty Joe Young,Family,1998
7324,1000000,21378361,The Fog,Horror,1980
10537,111000,0,Henry: Portrait of a Serial Killer,Crime,1986
2650,100000000,362211740,Planet of the Apes,Action,2001
4524,1000000,9138338,The Sessions,Drama,2012
10236,21,42,Teenage Mutant Ninja Turtles III,Action,1993
8780,0,0,Rugrats In Paris,Animation,2000
814,0,1124445,Hector and the Search for Happiness,Drama,2014
10377,30,0,The Meteor Man,Science Fiction,1993
3700,0,0,Hawaiian Vacation,Comedy,2011
7948,1200000,4978922,Stop Making Sense,Music,1984
1684,0,0,The Private Lives of Pippa Lee,Comedy,2009
7923,0,0,The Adventures of Buckaroo Banzai Across the 8th Dimension,Comedy,1984
557,0,0,Brothers,Family,2015
9252,0,0,Chances Are,Romance,1989
8101,60000000,104324083,Under Siege 2: Dark Territory,Action,1995
2934,40000000,151161491,Vantage Point,Drama,2008
3215,4000000,530048,Oorlogswinter,Drama,2008
10509,3000000,19472057,Friday the 13th Part VI: Jason Lives,Thriller,1986
9963,0,0,Man in the Wilderness,Adventure,1971
5676,0,18642,A Single Shot,Drama,2013
10526,0,0,The Big Easy,Drama,1986
8150,0,0,Just Cause,Drama,1995
2458,0,0,Mickey's Once Upon a Christmas,Animation,1999
7500,0,0,Underdog,Comedy,2007
5757,0,0,Barbie: Mariposa and The Fairy Princess,Animation,2013
3625,4000000,355688,Another Happy Day,Drama,2011
2212,2500000,52604,Hatchet II,Thriller,2010
7309,18000000,538400000,The Empire Strikes Back,Science Fiction,1980
1456,60000000,87784194,State of Play,Action,2009
326,0,0,San Andreas Quake,TV Movie,2015
8099,0,189859560,Outbreak,Science Fiction,1995
10226,44000000,368875760,The Fugitive,Crime,1993
2588,0,0,Topsy-Turvy,Music,1999
6341,15000000,12036149,The Three Burials of Melquiades Estrada,Crime,2005
1045,0,0,The Keeping Room,Drama,2014
10813,0,0,KISS Meets the Phantom of the Park,TV Movie,1978
3926,140000000,431971116,Die Another Day,Adventure,2002
6612,21000000,0,Bordertown,Mystery,2006
6545,12000000,0,Duma,Family,2005
2940,0,0,High School Musical 3: Senior Year,Family,2008
728,66000000,203277636,Need for Speed,Thriller,2014
4294,0,0,Nobody's Fool,Drama,1994
1868,0,0,Vertige,Action,2009
272,0,0,Deathgasm,Comedy,2015
3925,140000000,109578115,Treasure Planet,Animation,2002
6655,25000000,119188334,The Omen,Thriller,2006
8557,1000000,24475416,Sling Blade,Drama,1996
10831,0,0,The Fortune Cookie,Comedy,1966
4294,0,0,Nobody's Fool,Comedy,1994
9489,7000000,20256975,Action Jackson,Action,1988
10695,0,0,Dr. Terror's House of Horrors,Horror,1965
4688,0,0,Barbie: The Princess & The Popstar,Family,2012
9326,75000000,152368585,Backdraft,Action,1991
291,6000000,90777,Beasts of No Nation,War,2015
7292,600000,0,Boxcar Bertha,Thriller,1972
6287,55000000,223387299,Flightplan,Thriller,2005
4581,12000000,66351,Deadfall,Thriller,2012
10224,57000000,159055768,Demolition Man,Science Fiction,1993
10829,4653000,6000000,El Dorado,Action,1966
7915,0,0,The Ewok Adventure,Adventure,1984
4431,25000000,63100000,Contraband,Thriller,2012
6119,25000000,96773200,The Jewel of the Nile,Romance,1985
1242,0,0,Jim Jefferies: BARE,Comedy,2014
4454,45000000,47000000,Savages,Crime,2012
9467,0,239606210,Crocodile Dundee II,Comedy,1988
5459,35000000,116980662,Warm Bodies,Horror,2013
4993,80000000,116643346,S.W.A.T.,Crime,2003
582,0,0,Welcome to Leith,Crime,2015
5519,7500000,0,Saving Santa,Animation,2013
3704,0,0,La femme du VÃ¨me,Mystery,2011
10005,6000000,24078196,Lionheart,Action,1990
6963,30000000,152159461,Kill Bill: Vol. 2,Crime,2004
4492,0,0,Trouble with the Curve,Drama,2012
9301,4000000,0,Kill Me Again,Action,1989
312,0,0,Operator,Drama,2015
1535,50000000,60161391,The International,Drama,2009
8063,0,10676194,Hercules,Action,1983
3017,65000000,415252786,Sex and the City,Comedy,2008
9488,5000000,17768757,Halloween 4: The Return of Michael Myers,Thriller,1988
8826,75000000,157299717,X-Men,Action,2000
4284,0,763847,Before the Rain,War,1994
5271,75000000,136982834,Conspiracy Theory,Mystery,1997
7341,0,0,The Long Good Friday,Action,1980
1883,0,90508336,Madea Goes to Jail,Crime,2009
1772,0,0,Bionicle: The Legend Reborn,Animation,2009
8655,32000000,0,Bogus,Fantasy,1996
4559,0,8887603,Hyde Park on Hudson,History,2012
5477,30000000,36894225,The Family,Action,2013
6426,0,0,Loverboy,Romance,2005
3274,0,0,Red Mist,Foreign,2008
7438,0,39000000,Fracture,Thriller,2007
1887,0,0,Book of Blood,Drama,2009
8713,28000000,90449929,Bring It On,Comedy,2000
5557,4800000,10337387,Only God Forgives,Thriller,2013
733,10000000,28883511,Big Eyes,Drama,2014
5519,7500000,0,Saving Santa,Comedy,2013
1608,80000000,122444772,Surrogates,Action,2009
5270,68000000,118063304,The Saint,Thriller,1997
6091,31000000,300473716,Rocky IV,Drama,1985
9675,0,0,The Fourth Protocol,Thriller,1987
3008,18000000,382174,The Informers,Thriller,2008
8120,9000000,0,Dead Man,Fantasy,1995
5242,50000000,109423648,The Game,Mystery,1997
7553,0,0,Cassandra's Dream,Thriller,2007
8272,0,0,Romper Stomper,Drama,1992
8494,50000000,42277365,Escape from L.A.,Thriller,1996
7518,60000000,0,Shrek the Halls,Adventure,2007
6084,12305523,36230219,Mad Max Beyond Thunderdome,Science Fiction,1985
3918,52000000,352114312,Catch Me If You Can,Crime,2002
501,0,0,Glassland,Drama,2015
2893,75000000,258270008,Wanted,Thriller,2008
5577,60000000,60052138,Beautiful Creatures,Romance,2013
4451,39000000,81491068,Frankenweenie,Family,2012
1867,0,0,Laid to Rest,Thriller,2009
2927,20000000,41627431,Never Back Down,Drama,2008
3472,35000000,28128670,The Thing,Mystery,2011
2081,0,265318,Black Death,Mystery,2010
5249,75000000,224012234,Con Air,Thriller,1997
9328,65000000,17218080,Hudson Hawk,Comedy,1991
8210,0,0,Problem Child 3,Fantasy,1995
1192,0,0,Two Men in Town,Drama,2014
5383,0,0,A Simple Wish,Action,1997
8065,0,0,Eddie Murphy: Delirious,Comedy,1983
3165,0,0,$5 a Day,Drama,2008
3542,0,0,Jackass 3.5,Action,2011
103,0,0,Spooks: The Greater Good,Action,2015
9091,30000000,9898412,Very Bad Things,Crime,1998
10024,0,11541758,Pump up the Volume,Drama,1990
4454,45000000,47000000,Savages,Thriller,2012
10570,0,0,Night of the Creeps,Science Fiction,1986
8485,55000000,121969216,Executive Decision,Adventure,1996
6007,232000,0,Neverlake,Mystery,2013
4871,0,0,A Mother's Nightmare,Mystery,2012
755,20000000,34077920,Endless Love,Drama,2014
6444,0,0,Family Guy Presents Stewie Griffin: The Untold Story,Comedy,2005
2061,15000000,0,Unthinkable,Drama,2010
2544,0,0,The War Zone,Drama,1999
3250,0,0,MR 73,Drama,2008
9553,23000000,0,Tequila Sunrise,Romance,1988
8574,44000000,0,The Juror,Thriller,1996
8305,0,32710894,FernGully: The Last Rainforest,Family,1992
110,15000000,61548707,Krampus,Comedy,2015
418,0,0,Cyberbully,Thriller,2015
3849,0,0,DeadHeads,Horror,2011
8673,45000000,224834564,Chicken Run,Comedy,2000
8494,50000000,42277365,Escape from L.A.,Action,1996
1159,0,0,Jackass Presents: Bad Grandpa .5,Comedy,2014
7210,0,0,Le Convoyeur,Action,2004
9330,16000000,45361000,Thelma & Louise,Adventure,1991
5588,120000000,415440673,The Wolverine,Adventure,2013
430,0,0,Bad Roomies,Comedy,2015
9268,750000,0,Meet the Feebles,Comedy,1989
9038,25000000,50671850,Bride of Chucky,Comedy,1998
8251,0,0,Death Becomes Her,Fantasy,1992
9629,0,34368475,Adventures in Babysitting,Crime,1987
6660,30000000,53653224,Stranger Than Fiction,Drama,2006
8506,0,34585416,That Thing You Do!,Comedy,1996
5101,6000000,18750246,A Mighty Wind,Music,2003
3081,16000000,50007546,The Women,Comedy,2008
5023,85000000,80916492,The Rundown,Thriller,2003
2154,0,0,Firebreather,Thriller,2010
3290,0,0,Doctor Who: The Next Doctor,Drama,2008
10526,0,0,The Big Easy,Crime,1986
4278,6000000,0,The Paper,Drama,1994
2682,0,0,Kate & Leopold,Comedy,2001
10270,0,0,The Vanishing,Mystery,1993
6590,149000000,64459316,Flushed Away,Comedy,2006
3368,500000,0,How to Be,Comedy,2008
5578,27220000,5496951,The Frozen Ground,Thriller,2013
5269,80000000,177977226,Flubber,Science Fiction,1997
94,64000000,97571250,The Little Prince,Animation,2015
3427,8000000,1749457,Chalet Girl,Comedy,2011
9422,0,0,"He Said, She Said",Romance,1991
8729,0,0,Batman Beyond: Return of the Joker,Animation,2000
1464,0,0,Wrong Turn 3: Left for Dead,Thriller,2009
190,0,0,Open Season: Scared Silly,Animation,2015
7932,0,0,Blame It on Rio,Romance,1984
8672,92000000,264105545,Charlie's Angels,Comedy,2000
9609,6000000,29180280,Raising Arizona,Crime,1987
9428,0,21830957,Only the Lonely,Comedy,1991
9115,8000000,17460020,Half Baked,Crime,1998
7812,0,0,Buried Alive,Horror,2007
10144,3000000,25000000,The Apartment,Drama,1960
6991,50000000,200804534,Garfield,Comedy,2004
9662,0,0,Suspect,Crime,1987
9053,60000000,0,Mercury Rising,Action,1998
7059,32000000,50907422,Team America: World Police,Action,2004
4464,6000000,31081,Maniac,Thriller,2012
8518,40000000,48093211,The Preacher's Wife,Comedy,1996
6568,76000000,69959751,Children of Men,Science Fiction,2006
1171,0,1169603,The Remaining,Thriller,2014
5422,150000000,1274219009,Frozen,Animation,2013
7861,0,61801971,The Electric Horseman,Western,1979
7303,500000,0,Blacula,Horror,1972
9252,0,0,Chances Are,Comedy,1989
3858,2500000,0,A Warrior's Heart,Drama,2011
318,0,0,3-Headed Shark Attack,Science Fiction,2015
8990,0,0,The Man in the Iron Mask,Adventure,1998
6926,0,0,Changement d'adresse,Romance,2006
5245,32000000,79082515,Home Alone 3,Comedy,1997
3783,4200000,0,Memorial Day,History,2011
3786,10000000,4417580,"Jeff, Who Lives at Home",Comedy,2011
4360,0,0,Hercules in the Maze of the Minotaur,Fantasy,1994
380,5000000,4842699,90 Minutes in Heaven,Drama,2015
2609,0,0,Chris Rock: Bigger & Blacker,Comedy,1999
456,0,0,Cosmic Scrat-tastrophe,Animation,2015
6497,0,0,Happy Endings,Romance,2005
3552,6000000,0,The Hit List,Action,2011
4383,125000000,198802074,Total Recall,Science Fiction,2012
5716,0,0,The Power of Few,Crime,2013
783,5000000,2367161,The Guest,Thriller,2014
321,0,0,The Escort,Comedy,2015
1591,0,0,The Stepfather,Thriller,2009
10536,0,6637565,Black Moon Rising,Action,1986
334,0,0,Ronaldo,Documentary,2015
5745,0,0,Eastern Boys,Drama,2013
3149,8000000,2033165,Mutant Chronicles,Horror,2008
1957,37000000,154026136,The Town,Thriller,2010
10644,275000,0,The Crazies,Horror,1973
3584,0,3538446,Martha Marcy May Marlene,Thriller,2011
7625,0,0,Storm Warning,Horror,2007
10710,0,0,The Heroes of Telemark,Action,1965
8159,0,17689177,Heavyweights,Comedy,1995
8304,3705538,62548947,The Crying Game,Crime,1992
911,0,0,Out of the Dark,Thriller,2014
7406,30000000,129266061,Atonement,Romance,2007
5290,27000000,60527873,Kiss the Girls,Crime,1997
2766,15000000,12000000,Knockaround Guys,Thriller,2001
8251,0,0,Death Becomes Her,Comedy,1992
6597,4200000,0,High School Musical,Music,2006
1685,55000000,0,Imagine That,Comedy,2009
5772,33000000,9494789,The Young and Prodigious T.S. Spivet,Adventure,2013
5949,18,0,Prisoners of the Sun,Adventure,2013
6426,0,0,Loverboy,Drama,2005
8248,40000000,215862692,Dracula,Horror,1992
8109,32000000,18552460,The Quick and the Dead,Western,1995
8180,0,0,Castle Freak,Drama,1995
10453,1000000,0,Tom Jones,Comedy,1963
92,0,0,Mythica: The Necromancer,Fantasy,2015
8003,0,19910002,Breathless,Action,1983
8419,5000000,19905359,Nighthawks,Crime,1981
4455,35000000,0,Get the Gringo,Crime,2012
4491,4000000,0,The Baytown Outlaws,Comedy,2012
4015,0,19576023,S1m0ne,Science Fiction,2002
7724,0,0,Straightheads,Thriller,2007
2965,85000000,297138014,Horton Hears a Who!,Family,2008
9089,18000000,9495408,The Red Violin,Mystery,1998
2039,2000000,572809,I Spit on Your Grave,Thriller,2010
1481,13000000,10652035,I Love You Phillip Morris,Comedy,2009
1100,0,0,Petals on the Wind,Drama,2014
2229,65000,0,Tiny Furniture,Comedy,2010
629,165000000,621752480,Interstellar,Science Fiction,2014
4372,170000000,396600000,Snow White and the Huntsman,Fantasy,2012
4221,27000000,101646581,Timecop,Thriller,1994
7376,0,6659377,Where the Buffalo Roam,Adventure,1980
4073,0,0,Rabbit-Proof Fence,Action,2002
6337,25000000,15431177,The Greatest Game Ever Played,Drama,2005
1884,0,0,35 Rhums,Foreign,2009
10818,0,0,Long Weekend,Mystery,1978
5790,0,0,Scenic Route,Drama,2013
2021,20000000,0,La Rafle,Drama,2010
10161,0,0,The Alamo,Action,1960
9787,0,0,Zardoz,Fantasy,1974
4118,35000000,0,The Wild Thornberrys Movie,Animation,2002
270,9000000,21571189,Black or White,Drama,2015
1223,0,0,The 7:39,Drama,2014
3007,20000000,20211394,Appaloosa,Crime,2008
8889,10500000,792910554,E.T. the Extra-Terrestrial,Adventure,1982
5808,0,0,Sound City,Documentary,2013
6496,1500000,0,Death Tunnel,Thriller,2005
9522,0,12090735,Hellbound: Hellraiser II,Thriller,1988
611,0,0,World of Tomorrow,Comedy,2015
10582,0,0,When the Wind Blows,Comedy,1986
4418,15000000,145000000,Chronicle,Drama,2012
2896,30000000,108979549,Transporter 3,Adventure,2008
4282,0,0,The Cowboy Way,Comedy,1994
987,0,0,Extraterrestrial,Science Fiction,2014
4094,20000000,57588485,Drumline,Drama,2002
9703,0,0,Teen Wolf Too,Family,1987
8773,24000000,0,Nurse Betty,Thriller,2000
696,25000000,153997819,Ride Along,Action,2014
7396,70000000,135560026,Stardust,Fantasy,2007
5301,28000000,5684789,Kundun,Drama,1997
3717,8000000,5634828,Albert Nobbs,Drama,2011
6735,60000000,17800000,Flyboys,History,2006
7236,0,0,Chris Rock: Never Scared,Comedy,2004
1972,3000000,0,Undisputed III: Redemption,Action,2010
2428,45000000,90683916,Galaxy Quest,Family,1999
10047,1500000,5728953,Hardware,Science Fiction,1990
10782,10000000,0,The Wild Geese,Thriller,1978
2350,0,0,Peacock,Mystery,2010
6525,11000000,0,Don't Come Knocking,Music,2005
883,10000000,0,In the Blood,Thriller,2014
6564,85000000,194168700,The Holiday,Romance,2006
7526,20000000,86865564,Epic Movie,Adventure,2007
8207,12000000,27400000,Now and Then,Comedy,1995
7528,10000000,17500000,In the Land of Women,Comedy,2007
2249,0,0,Scooby-Doo! Abracadabra-Doo,Mystery,2010
8827,0,0,Girlfight,Drama,2000
9628,18000000,39321715,Blind Date,Comedy,1987
10046,25000000,2075084,The Sheltering Sky,Romance,1990
10803,0,0,Eyes of Laura Mars,Thriller,1978
2080,20000000,49779728,She's Out of My League,Comedy,2010
7549,25000000,68377859,Dan in Real Life,Comedy,2007
4120,10000000,11411644,The Powerpuff Girls,Family,2002
4195,30000000,160638883,Legends of the Fall,Romance,1994
2043,90000000,16178959,The Nutcracker: The Untold Story,Family,2010
6579,0,15309302,Alpha Dog,Crime,2006
7354,6000000,0,Ordinary People,Drama,1980
10123,0,0,The Absent-Minded Professor,Science Fiction,1961
3572,0,0,Hick,Comedy,2011
8097,7000000,25405445,Desperado,Thriller,1995
2676,137000000,85131830,Final Fantasy: The Spirits Within,Science Fiction,2001
3402,42000000,89162162,Red Riding Hood,Thriller,2011
5897,0,0,No Half Measures: Creating the Final Season of Breaking Bad,Documentary,2013
3344,0,0,Lake Mungo,Horror,2008
5052,0,12991996,Le Divorce,Drama,2003
3957,84000000,275650703,Scooby-Doo,Adventure,2002
10273,30,0,Striking Distance,Thriller,1993
9811,0,0,The Man Who Would Be King,Adventure,1975
1004,500000,15000000,Parts Per Billion,Science Fiction,2014
9604,16000000,30857814,The Princess Bride,Comedy,1987
602,0,0,The Bad Education Movie,Comedy,2015
2879,185000000,786636033,Indiana Jones and the Kingdom of the Crystal Skull,Action,2008
10241,25000000,56505065,Tombstone,Action,1993
7235,0,0,Dracula 3000,Science Fiction,2004
7785,10000000,20342161,Reno 911!: Miami,Crime,2007
568,0,0,VANish,Action,2015
1165,0,0,The Device,Science Fiction,2014
8369,0,0,Stay Tuned,Fantasy,1992
3326,7000000,0,The Burrowers,Horror,2008
4136,14000000,0,Highway,Adventure,2002
4413,120000000,829000000,The Twilight Saga: Breaking Dawn - Part 2,Adventure,2012
7913,3000000,14418922,Night of the Comet,Action,1984
10228,26000000,206678440,Philadelphia,Drama,1993
1418,65000000,93525586,The Lovely Bones,Fantasy,2009
9007,55000000,198685114,City of Angels,Drama,1998
3569,0,0,Foster,Drama,2011
2954,9000000,32973937,Nick and Norah's Infinite Playlist,Drama,2008
7179,6500000,1548955,A Home at the End of the World,Romance,2004
10541,4700000,8025872,The Texas Chainsaw Massacre 2,Horror,1986
8621,3000000,2503829,Ridicule,Drama,1996
10820,315000,0,How the Grinch Stole Christmas!,Animation,1966
8554,26000000,116400000,The First Wives Club,Comedy,1996
1445,15000000,8459458,Chloe,Mystery,2009
1696,100000000,0,Dragonball Evolution,Action,2009
3087,0,84375061,Nights in Rodanthe,Romance,2008
5097,75000000,51142659,Hollywood Homicide,Adventure,2003
8716,80000000,33463969,Red Planet,Science Fiction,2000
10264,0,0,Point of No Return,Drama,1993
831,2000000,48390,Decoding Annie Parker,Drama,2014
8356,0,0,Kuffs,Crime,1992
1558,3400000,9444018,The Collector,Horror,2009
10809,0,0,Someone's Watching Me!,TV Movie,1978
2637,115000000,562816256,"Monsters, Inc.",Family,2001
7510,5200000,14723313,KatyÅ„,Drama,2007
303,0,0,Avengers Grimm,Adventure,2015
6536,0,0,Ellie Parker,Comedy,2005
3432,12000000,22939027,Young Adult,Drama,2011
9043,70000000,116672912,The Siege,Action,1998
4090,0,773228,Bloody Sunday,Drama,2002
3295,4600000,0,Alone in the Dark 2,Horror,2008
3815,4000000,0,Quarantine 2: Terminal,Horror,2011
8661,103000000,457640427,Gladiator,Drama,2000
6527,15000000,0,Human Trafficking,Drama,2005
9070,0,0,Black Dog,Thriller,1998
5122,780000,0,Saints and Soldiers,Adventure,2003
3695,15000000,0,Faces in the Crowd,Mystery,2011
2170,0,0,The Pillars of the Earth,History,2010
2712,31000000,24185781,Hearts in Atlantis,Drama,2001
9342,40000000,205405498,JFK,Thriller,1991
8039,5952000,2120439,Videodrome,Mystery,1983
933,0,0,October Gale,Thriller,2014
2275,1500000,187716,Waste Land,Foreign,2010
8669,100000000,169327687,The Emperor's New Groove,Comedy,2000
113,700000,17986781,Dope,Crime,2015
10849,0,0,Gambit,Action,1966
2742,28000000,14010832,Ghosts of Mars,Science Fiction,2001
6603,28000000,38159905,Just My Luck,Romance,2006
8561,0,0,Fly Away Home,Drama,1996
5605,0,0,Ambushed,Crime,2013
6601,15000000,69623713,The Hills Have Eyes,Horror,2006
9544,10000000,3916303,Earth Girls Are Easy,Comedy,1988
3123,12000000,0,Franklyn,Fantasy,2008
3548,0,0,La luna,Family,2011
6106,3500000,34000000,Day of the Dead,Horror,1985
2963,120000000,93945766,Speed Racer,Family,2008
227,8000000,0,Careful What You Wish For,Thriller,2015
9279,0,0,Music Box,Thriller,1989
9685,0,4215859,Hot Pursuit,Comedy,1987
5029,0,0,What a Girl Wants,Romance,2003
9416,0,0,V.I. Warshawski,Thriller,1991
7521,23000000,29541790,In the Valley of Elah,Drama,2007
7829,34000000,210300000,Moonraker,Thriller,1979
413,0,0,Already Tomorrow in Hong Kong,Comedy,2015
4523,0,0,Ghost Recon: Alpha,Action,2012
8546,0,0,Poison Ivy II: Lily,Drama,1996
10439,0,0,The Sword in the Stone,Family,1963
10750,0,0,The Prime of Miss Jean Brodie,Drama,1969
10798,0,0,Heaven Can Wait,Drama,1978
998,0,0,These Final Hours,Thriller,2014
408,0,0,Larry Gaye: Renegade Male Flight Attendant,Comedy,2015
3503,3500000,19504039,Margin Call,Thriller,2011
4308,400000,0,Kickboxer 4: The Aggressor,Romance,1994
9003,95000000,250288523,The Mask of Zorro,Comedy,1998
8518,40000000,48093211,The Preacher's Wife,Drama,1996
4788,0,0,World Without End,Drama,2012
975,0,0,Best Night Ever,Comedy,2014
9325,0,0,Bill & Ted's Bogus Journey,Family,1991
9318,70000000,300854823,Hook,Comedy,1991
1199,0,0,Nowhere Safe,Drama,2014
9605,5000000,44793222,A Nightmare on Elm Street 3: Dream Warriors,Thriller,1987
7931,0,0,Against All Odds,Adventure,1984
3373,15000000,76175166,Drive,Crime,2011
6834,0,210128,Starter for 10,Comedy,2006
10124,200000,2000000,The Pit and the Pendulum,Horror,1961
4083,0,13102295,Long Time Dead,Horror,2002
6089,44000000,300400432,Rambo: First Blood Part II,Thriller,1985
9751,0,3110000,Coogan's Bluff,Action,1968
799,9000000,0,Skin Trade,Action,2014
6129,4500000,10609321,After Hours,Drama,1985
9141,15000000,10443316,Home Fries,Drama,1998
8927,0,0,Honkytonk Man,Drama,1982
458,0,0,Waffle Street,Drama,2015
3976,30000000,180622424,Sweet Home Alabama,Comedy,2002
4806,8000,0,Found,Drama,2012
1020,0,0,Ride,Comedy,2014
2896,30000000,108979549,Transporter 3,Action,2008
235,0,45710059,"McFarland, USA",Drama,2015
7342,0,0,The Dogs of War,Foreign,1980
2965,85000000,297138014,Horton Hears a Who!,Comedy,2008
3004,0,204660,Sleepwalking,Drama,2008
3193,37000000,100076342,Nim's Island,Adventure,2008
9679,1800000,31623833,Can't Buy Me Love,Comedy,1987
6127,0,0,Death Wish 3,Thriller,1985
216,0,0,Lava,Fantasy,2015
5235,90000000,263920180,The Fifth Element,Action,1997
9527,0,0,School Daze,Comedy,1988
4327,0,0,Iron Will,Family,1994
2440,21000000,0,"South Park: Bigger, Longer & Uncut",Animation,1999
6793,8000000,426224,Fido,Comedy,2006
10513,0,43579163,Police Academy 3: Back in Training,Comedy,1986
6314,15000000,47175038,The Wedding Date,Romance,2005
9205,0,15704614,Leviathan,Action,1989
9762,85000,30859000,The Texas Chain Saw Massacre,Horror,1974
10648,4000000,55675257,The Aristocats,Animation,1970
2750,15000000,0,Buffalo Soldiers,Drama,2001
6869,0,0,The Dark,Mystery,2006
6585,20000000,33889159,She's the Man,Family,2006
10037,0,1030938,Hidden Agenda,Mystery,1990
2094,0,0,Mirrors 2,Horror,2010
8785,8000000,0,Woman on Top,Drama,2000
8898,12000000,96800000,Star Trek II: The Wrath of Khan,Adventure,1982
5465,100000000,268426634,Epic,Adventure,2013
5987,0,0,Snow Bride,Family,2013
9384,2000000,0,The Pit and the Pendulum,Horror,1991
9253,0,0,The Toxic Avenger Part III: The Last Temptation of Toxie,Horror,1989
1727,0,0,Mrs. Miracle,Fantasy,2009
10379,0,0,The Snapper,Comedy,1993
1662,0,0,Der Knochenmann,Comedy,2009
1481,13000000,10652035,I Love You Phillip Morris,Drama,2009
8269,8000000,6739141,Fortress,Action,1992
9390,0,13,Drop Dead Fred,Comedy,1991
7655,0,0,Barbie Fairytopia: Magic of the Rainbow,Family,2007
10287,0,0,Fearless,Drama,1993
2324,0,0,The Dead,Horror,2010
950,0,7176347,A Long Way Down,Drama,2014
10601,5500000,159616327,The Sting,Comedy,1973
10244,30000000,36516012,Carlito's Way,Thriller,1993
4066,0,0,Try Seventeen,Drama,2002
9176,0,0,New Rose Hotel,Drama,1998
5981,0,0,Molly Maxwell,Drama,2013
725,0,0,Stonehearst Asylum,Horror,2014
9359,19000000,174999005,Sleeping with the Enemy,Crime,1991
907,0,0,Burying the Ex,Comedy,2014
1080,0,0,Life Itself,Documentary,2014
8835,12000000,0,Dr. T and the Women,Romance,2000
