name,pop
 Vinegar Hill,34495
Highbridge,33844
Kew Gardens,23278
 Bruckner,35634
Crotona Park East,20277
 Huguenot,27770
SoHo,36757
Upper East Side,63664
Longwood,23082
Fort Greene,26079
West Brighton,17370
Homecrest,44316
Fresh Meadows,17373
Woodside,43846
 cemetery,1662
 Gowanus,67263
park,418
 Huguenot,26376
East Flatbush,50355
Bushwick South,64617
Chinatown,47844
 Coney Island,31965
Ocean Parkway South,20299
Crown Heights South,39670
Flushing,72008
 Woodrow,20763
Battery Park City,39699
 TriBeCa,36757
East Williamsburg,34158
 Maspeth,25521
Charleston,23313
 Edenwald,35422
Rego Park,29404
 Vinegar Hill,30847
North Side,40130
Arden Heights,24996
Williamsbridge,61321
Old Astoria,27814
New Brighton,17525
 Port Morris,52413
Kew Gardens Hills,36052
Maspeth,28916
 Arlington,31474
Pomonok,31734
Marble Hill,49087
 Arverne,36885
Cypress Hills,48961
Pomonok,34034
 Woodrow,18894
Bedford Park,54415
Jamaica Estates,25480
 Civic Center,36757
Baisley Park,34603
Rego Park,28260
Carroll Gardens,38353
Ft. Totten,21751
 Flat Iron,55839
Todt Hill,30762
Murray Hill,51739
 Lower Manhattan,39699
Rosedale,25502
 West Maspeth,63271
 Jamaica Hills,39138
Pelham Parkway,30073
 Fieldston,27860
Sunset Park East,66150
 Manhattan,1662
Stapleton,24048
Eastchester,35422
 etc,1906
 Bayswater,50058
 Ocean Parkway,36891
Todt Hill,30714
Marble Hill,46746
Prospect Lefferts Gardens,67459
Westerleigh,23790
Rugby,55326
 Floral Park,22426
 Union Square,70150
North Corona,52037
Sheepshead Bay,64596
North Riverdale,27860
Kew Gardens,23888
Gravesend,29257
Soundview,35634
Erasmus,29938
Soundview,50753
Hunts Point,25142
Midtown,28630
Park Slope,67649
Sunset Park West,52312
Lindenwood,28121
park,7
Airport,0
 Fordham North,55329
 Clason Point,50753
Grasmere,16079
Prospect Heights,19849
Norwood,40494
 Boerum Hill,34495
 cemetery,1785
Starrett City,13354
Homecrest,45679
 City Line,49223
Hunts Point,27204
Highbridge,37727
 cemetery,436
Co,43752
park,1662
Steinway,47534
 cemetery,7
 etc,540
Westchester,25768
Oakwood,22049
Rossville,20763
Chinatown,52375
Port Richmond,18042
Woodhaven,54149
Clinton Hill,34791
 Bergen Beach,42940
 Throgs Neck,43712
 Richmond Valley,23313
 Bronx,540
West Village,68483
 Pelham Gardens,28903
Middle Village,37629
Brownsville,58300
Madison,39076
North Side,45774
Upper West Side,136954
Morningside Heights,55929
 Harding Park,50753
Bedford,70713
 Riverdale,27860
 Lower Manhattan,20088
DUMBO,30847
 City Island,26583
Richmond Hill,62985
Steinway,53604
Brooklyn Heights,22548
 Bathgate,28149
Bay Ridge,80539
Ozone Park,21376
 Bruckner,35137
Whitestone,30773
Hudson Yards,70150
 Tottenville,23313
Lincoln Square,61489
Washington Heights North,73457
 Roosevelt Island,80771
 Bay Terrace,22731
 etc,1849
Bronxdale,35538
Windsor Terrace,20988
 Utopia,17373
 Graniteville,31474
Woodhaven,56674
Rossville,18894
Douglas Manor,24739
West Farms,34542
Yorkville,76768
Springfield Gardens South,20132
College Point,21407
Fordham South,28262
Bellerose,24464
Manhattanville,24772
Port Richmond,20191
East Flatbush,56033
 Heartland Villg,30714
 Mott Haven North,39214
Auburndale,20201
Turtle Bay,49737
 Morris Heights,54188
Grasmere,15238
Central Harlem South,43383
 Midtown South,28630
Great Kills,41680
East Flushing,26516
 Cobble Hill,22548
 etc,418
Erasmus,31392
Baisley Park,35729
 Olinville,61321
Laurelton,24453
Clinton,40595
South Jamaica,38894
Astoria,78793
 Mill Basin,45231
Bensonhurst East,62978
Grymes Hill,22460
 Manhattn Bch,64596
Oakland Gardens,27873
 South Beach,24835
 Rosebank,26453
Westchester,27248
Oakwood,22266
 Wingate,70300
Lenox Hill,76631
 Belle Harbor,28018
 Kips Bay,48419
Manhattanville,22950
East Harlem South,56899
Mariner's Harbor,27957
Allerton,28903
East Harlem South,57902
New Dorp,21896
 Bayside Hills,44371
 Arlington,27957
Mount Hope,52649
 Bronx River,34542
 Emersn Hill,30762
Hamilton Heights,48520
 Westchester Square,27135
Mariner's Harbor,31474
 Staten Island,7
Lower East Side,72258
 Edgewater Park,43712
Belmont,27378
 St. George,32154
Annadale,26376
 Cooper Village,21049
 Morris Park,27135
 Lighthse Hill,30762
East Concourse,58961
 Bronx River,35011
Longwood,26196
Far Rockaway,50058
Mott Haven,49030
Georgetown,42940
Queens Village,57704
Cambria Heights,20944
 Marine Park,45231
East New York,83275
Airport,0
 Clifton,19834
 City Island,27140
New Springville,39597
Parkchester,29353
 Op City,43752
Lower East Side,72957
 Polo Grounds,70016
 Wakefield,42483
Grymes Hill,19834
Borough Park,101055
 Clason Point,53686
 Melrose,29797
Eastchester,34517
 Edenwald,34517
park,436
Central Harlem North,75282
 Heartland Villg,30762
North Corona,47156
 cemetery,0
Gramercy,27988
 Tottenville,18332
 Arrochar,15238
Glen Oaks,22426
Flatlands,64762
Prospect Lefferts Gardens,70300
 Baychester,35422
 Gerritsen Beach,64596
Bayside,43808
 Eltingville,26376
Springfield Gardens North,25409
 Manhattn Bch,64518
 Columbia Street,38327
 Arverne,31645
Jamaica,51849
Mott Haven,52413
Spuyten Duyvil,29872
Charleston,18332
Ocean Parkway South,20556
 Columbia Street,38353
 Castle Hill,50753
Bay Ridge,79371
 Boerum Hill,30847
Pelham Bay,26583
Murray Hill,48419
 Cooper Village,19101
Flushing,69362
 Ft. Wadsworth,16079
Melrose South,33195
Hamilton Heights,50555
Williamsburg,32926
Seagate,34267
 Cobble Hill,22887
 Clearview,22731
West Village,66880
 Flat Iron,70150
Bushwick North,56093
 Dongan Hills,23017
College Point,24275
 Silver Lake,16784
 Sunnyside,61947
 Belle Harbor,26711
Ft. Totten,22731
 Bergen Beach,45231
park,93
 St. George,33551
 Travis,39597
South Ozone Park,75878
 Fieldston,28013
Glen Oaks,22571
Murray Hill,53009
Glendale,32496
 Farragut,50355
Greenpoint,34719
Oakland Gardens,28237
Canarsie,83693
 Coney Island,34267
 Clearview,21751
Claremont,31078
 Long Island City,21104
Whitestone,31356
Corona,57658
Schuylerville,44167
Woodlawn,43583
Upper East Side,61207
 Manhattan,1849
 Ravenswood,20030
 Emersn Hill,30714
West Farms,35011
Canarsie,85058
 Douglaston,24739
 Gowanus,67649
Rikers Island,12780
Hammels,36885
Kensington,36937
Middle Village,37929
 Bloomfield,39309
 Concourse Village,62284
 Red Hook,38353
DUMBO,34495
Old Town,24835
 Brookville,18950
 Lighthse Hill,30714
 Dongan Hills,24835
Midwood,55440
Far Rockaway,48344
Bensonhurst West,88727
Ocean Hill,31935
West New Brighton,33551
Georgetown,45231
East Tremont,39280
Fort Greene,28335
 Marine Park,42940
St. Albans,48593
Elmhurst,88427
 etc,7
Cypress Hills,49223
 Gerritsen Beach,64518
East Elmhurst,21183
 Country Club,27140
Stuyvesant Heights,63504
 Inwood,46746
Lincoln Square,55239
 Roosevelt Island,76631
 Carnegie Hill,61207
 etc,1785
Battery Park City,20088
Great Kills,40720
North Riverdale,28013
Elmhurst,24338
 Unionport,25768
Bath Beach,28572
Ocean Hill,30067
 Little Neck,24356
 Queens,1785
Washington Heights South,84438
Kensington,36891
 Bayside Hills,43808
 East Midtown,51231
Brighton Beach,35547
Bronxdale,34309
Cambria Heights,18677
 Arrochar,16079
Lenox Hill,80771
Queensboro Hill,19309
Clinton,45884
 Holliswood,26061
SoHo,42742
Glendale,31071
 etc,0
Sunset Park West,54041
Old Town,23017
 Brookville,20132
 Remsen Village,57934
 Rockwy Prk,28018
Ozone Park,21052
Arden Heights,25238
 Chelsea,55839
Queensbridge,20030
 Op City,40676
 Carnegie Hill,63664
Forest Hills,83728
 Bathgate,31078
 cemetery,93
Woodlawn,42483
Van Cortlandt Village,50607
Williamsbridge,57420
Windsor Terrace,20779
 Clifton,22460
 Bloomfield,39597
Central Harlem North,70016
West Concourse,39282
Crown Heights North,103169
Briarwood,38675
East Harlem North,58019
Parkchester,29821
 Little Italy,42742
 Maspeth,24338
 Douglaston,24356
 Sunnyside,63271
Gramercy,26184
 Baychester,34517
 Union Square,55839
Bedford Park,55329
Westerleigh,24102
park,1785
Carroll Gardens,38327
Brooklyn Heights,22887
East Williamsburg,31878
Laurelton,26375
Corona,52082
 Westchester Square,29250
Seagate,31965
 Eltingville,27770
 Morris Park,29250
Kew Gardens Hills,37479
Dyker Heights,42419
West Concourse,39557
Flatbush,110875
 East Midtown,49737
 Civic Center,42742
Stuyvesant Town,19101
Claremont,28149
Bayside,44371
 Remsen Village,55326
 TriBeCa,42742
 Flushing Heights,34034
Schuylerville,43712
Fordham South,26880
Breezy Point,28018
 Silver Lake,17525
Bensonhurst East,58566
Stuyvesant Heights,61827
Dyker Heights,39332
East Village,44136
Ridgewood,69317
Sunset Park East,72340
Sheepshead Bay,64518
 Inwood,49087
Gravesend,29436
Crotona Park East,18072
Williamsburg,32269
Van Nest,27135
 New Hyde Park,22571
Crown Heights North,103462
 Farragut,56033
Midtown,25807
Woodside,45099
 Kips Bay,50742
 Brooklyn,418
Van Nest,29250
Co,40676
 Holliswood,25480
 Red Hook,38327
 Edgemere,31645
 Throgs Neck,44167
Central Harlem South,39075
 South Side,45774
 Bay Terrace,21751
Queens Village,52504
South Ozone Park,78906
 Unionport,27248
Crown Heights South,42370
 City Line,48961
Prospect Heights,19655
Jackson Heights,108152
 Brooklyn,93
 Staten Island,0
park,540
Bedford,59227
Jamaica,53751
 Edgemere,36885
Hudson Yards,55839
Elmhurst,25521
Yorkville,77942
Hammels,31645
Van Cortlandt Village,50100
 Little Neck,24739
 Midland Beach,20242
Hunters Point,61947
Soundview,53686
Queensboro Hill,20800
Breezy Point,26711
Norwood,40817
East Village,41746
Annadale,27770
 Long Island City,20030
Murray Hill,50742
 Concourse Village,58961
Elmhurst,87972
Rosedale,25063
 Chelsea,70150
East Flushing,26982
 cemetery,1849
Hollis,20269
Washington Heights North,67136
 etc,436
Morrisania,29797
 South Beach,23017
park,1849
Richmond Hill,62982
 cemetery,1906
Douglas Manor,24356
Madison,38917
Brownsville,59099
 Bronx,1906
Morningside Heights,54208
 Fox Hills,19834
Upper West Side,132378
East Elmhurst,23150
 Melrose,37865
Astoria,89122
park,0
 Port Ivory,31474
 Bayswater,48344
East Concourse,62284
New Brighton,16784
Springfield Gardens South,18950
 etc,1662
 Prince's Bay,26376
 Downtown Brklyn,34495
 Hillcrest,34034
Melrose South,39214
Stuyvesant Town,21049
Morrisania,37865
 etc,93
 Kingsbridge,30161
Turtle Bay,51231
 Mill Basin,42940
Hollis,20747
