Subtitle,"Class 
Number","Gen
Ed",Class,Description,Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
AGRICULTURAL TECHNOLOGY AND STUDIES,44528.0,,AGR 240-A001,18,2,16,19,11,13,2.0,43696.0,43814.0
ENGLISH,44546.0,7,ENG 101-A007,61,2,0,0,13,37,2.0,43696.0,43814.0
MUSIC,44579.0,0,MUS 100-A001,82,0,5,24,38,92,2.0,43696.0,43814.0
STATISTICS,44403.0,10,STA 220-A002,104,0,19,23,62,107,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,60817.0,,BAS 288-A0Z1,Personal and Organizational Ldrshp,,1,,1,deMesa,1.0,43696.0,43814.0
CHEMISTRY,44431.0,1,9,34,2,0,0,17,35,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,59919.0,,ELT 260-A001,Robotic & Industrial Automation,2,29,2,48,59,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,55348.0,,AUT 140-A001,12,9,7,14,10,7,2.0,43696.0,43814.0
NURSING,44742.0,,NSG 225-A001,Pharmacology II,5,25,22,67,97,2.0,43696.0,43814.0
CHEMISTRY,44610.0,1,CHE 140-A001,Introductory General Chemistry,0,15,17,12,35,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44787.0,,FYE 100-A015,64,5,19,23,37,70,2.0,43696.0,43814.0
NURSING,44736.0,,18,87,5,15,11,68,95,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,44527.0,,AGR 200-A001,Agricultural Internship III,1,1,1,4,11,2.0,43696.0,43814.0
THEATRE,44598.0,0,THA 101-A001,Intro to Theatre,2,15,17,76,109,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44747.0,,ACR 101-A001,3,2,3,3,3,2,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44820.0,,BIO 139-A0YL,29,7,21,2,21,29,0.0,43696.0,43814.0
NURSING,44736.0,,18,87,7,6,33,67,95,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44703.0,,ADX 120-A001,Basic Automotive Electricity,0,0,9,5,5,2.0,43696.0,43814.0
PHYSICS,45002.0,,PHY 201-A0EL,91,1,1,1,4,18,2.0,43696.0,43814.0
CIS,44626.0,,CIT 170-A001,Database Design Fundamentals,0,19,23,28,39,2.0,43696.0,43814.0
DIESEL TECHNOLOGY,44981.0,,DIT 140-A001,Hydraulics,3,0,9,8,6,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,44602.0,,BAS 160-A001,21,2,15,17,16,19,2.0,43696.0,43814.0
ENGLISH,44871.0,7,ENG 102-A007,62,2,15,17,36,64,2.0,43696.0,43814.0
ENGLISH,44976.0,8,ENG 282-A001,International Film Studies,0,0,0,38,71,2.0,43696.0,43814.0
PSYCHOLOGY,44676.0,6,PSY 110-A001,94,0,0,0,72,101,2.0,43696.0,43814.0
WELDING,45004.0,,WLD 152-A0E1,109,0,4,7:45 PM,80,12,2.0,43696.0,43814.0
THEATRE,45006.0,,THA 126-A001,Acting I: Fundamentals/Acting,2,14,21,76,109,2.0,43696.0,43814.0
ART ,44810.0,,ART 221-A001,Painting II,0,18,22,15,16,2.0,43696.0,43814.0
 ACCOUNTING ,44601.0,,ACT 101-A0Z1,Fundamentals of Accounting I,1,1,1,1,1,1.0,43696.0,43751.0
AGRICULTURAL TECHNOLOGY AND STUDIES,44825.0,,AGR 150-A0L1,17,4,1,1,4,12,2.0,43696.0,43814.0
RELIGIOUS STUDIES,44591.0,8,REL 101-A0Z1,Intro to Religious Studies,1,1,1,1,105,1.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,44605.0,,BAS 282-A001,22,0,0,0,16,19,2.0,43696.0,43814.0
WELDING,44745.0,,WLD 151-A0L1,108,4,1,1,4,114,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44711.0,,ADX 170-A001,8,3,7,11,5,5,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,45357.0,,AGR 135-A001,Herbaceous Plant Production,4,1,1,4,10,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44915.0,,BIO 135-A0YL,27,6,19,8,21,28,0.0,43696.0,43814.0
THEATRE,44776.0,,THA 193-A001,Performance Practicum,4,1,1,4,109,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44538.0,1,BIO 113-A001,25,3,6,26,20,26,2.0,43696.0,43814.0
CIS,45397.0,,CIT 293-A0Z1,CIT Employability Studies,1,1,1,1,39,1.0,43696.0,43814.0
HISTORY,44655.0,0,HIS 108-A0Z1,67,1,1,1,1,78,1.0,43696.0,43814.0
MATHEMATICS,57276.0,10,MAT 150-A0H1,76,0,33,11:45 AM,23,88,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44461.0,,CMM 298-A001,40,4,1,1,4,34,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44860.0,,FYE 100-A0Z2,64,1,1,1,1,78,1.0,43696.0,43814.0
MUSIC,44586.0,,MUP 102-A001,Voice,4,1,1,HUMH0131,92,2.0,43696.0,43814.0
MATHEMATICS,45061.0,10,MAT 126-A002,72,2,0,0,62,87,2.0,43696.0,43814.0
PSYCHOLOGY,44685.0,6,PSY 110-A0Z3,94,1,1,1,1,103,1.0,43696.0,43814.0
CIS,44622.0,,CIT 105-A0Z3,35,1,1,1,1,21,1.0,43696.0,43751.0
ECONOMICS,44635.0,6,ECO 201-A001,49,0,10,20,16,19,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,45104.0,,BAS 282-A0ZB,22,1,1,1,1,20,1.0,43759.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,45021.0,,MIT 217-A001,79,2,23,30,64,49,2.0,43696.0,43814.0
RADIOGRAPHY,45375.0,,DMI 220-A0C1,Clinical Practicum IV,10,1,1,4,Henderson,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44437.0,,EET 264-A002,51,2,15,2,43,53,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44548.0,1,BIO 113-A002,25,5,5,27,20,26,2.0,43696.0,43814.0
PHILOSOPHY,44588.0,0,PHI 110-A001,90,2,5,24,54,99,2.0,43696.0,43814.0
WELDING,44494.0,,WLD 221-A001,Welding Certification Lab,2,15,11,80,113,2.0,43696.0,43814.0
THEATRE,45007.0,,THA 226-A001,Acting II/Scene Study(Realism),1,1,1,4,11,2.0,43696.0,43814.0
ENGLISH,44575.0,0,ENG 105-A001,Writing: An Accelerated Course,0,0,0,36,67,2.0,43696.0,43814.0
COMPUTER AIDED DRAFTING,44836.0,,CAD 100-A0Z1,33,1,1,1,1,34,1.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,44665.0,,IEC 170-A0Z1,Observation and Assessment,1,1,1,1,83,1.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,45356.0,,AGR 115-A001,Agriculture Maintenance,6,14,13,SE119,5,2.0,43696.0,43814.0
WELDING,44512.0,,WLD 131-A001,Gas Tngstn Arc Weld Fillet Lab,0,36,9,81,112,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44716.0,,5,12,3,11,15,5,8,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,60213.0,,BAS 160-A0ZM,21,,1,,1,20,1.0,43724.0,43785.0
EDUCATION,44643.0,,EDU 270-A001,Elementary School Literature,2,19,23,42,52,2.0,43696.0,43814.0
PHYSICS,44872.0,1,PHY 201-A0E1,91,0,4,5:15 PM,12,18,2.0,43696.0,43814.0
CHEMISTRY,44431.0,,9,34,7,5,9,17,35,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44555.0,2,BIO 137-A001,28,0,5,24,18,29,2.0,43696.0,43814.0
MATHEMATICS,44396.0,10,MAT 150-A003,76,0,19,23,61,89,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,45009.0,,3,11,3,9,13,5,8,2.0,43696.0,43814.0
ENGLISH,45048.0,7,ENG 101-A014,61,2,19,23,55,68,2.0,43696.0,43814.0
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,46366.0,,EMS 235-A001,59,3,15,12,52,60,2.0,43696.0,43814.0
CHEMISTRY,45011.0,1,CHE 170-A0Z1,34,1,1,1,1,Mahajan,1.0,43696.0,43814.0
COMMUNICATIONS,44517.0,5,COM 254-A0Z1,44,1,1,1,1,46,1.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,45358.0,,AGR 145-A0Z1,Technology in Agriculture,1,1,1,1,11,1.0,43696.0,43814.0
WELDING,44519.0,,WLD 151-A0L2,108,0,12:00 AM,12:00 AM,HC102,12,2.0,43696.0,43814.0
PSYCHOLOGY,44772.0,6,PSY 110-A0Z1,94,1,1,1,1,96,1.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44770.0,,FYE 100-A016,64,5,19,23,59,Thomas,2.0,43696.0,43814.0
RADIOGRAPHY,45373.0,,DMI 214-A001,100,6,21,43,73,14,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44537.0,1,BIO 112-A0Z1,24,1,1,1,1,25,1.0,43696.0,43814.0
ALLIED HEALTH,45363.0,,AHS 115-A0YE,19,7,17,13,12,Clouse,0.0,43696.0,43814.0
FRENCH LANGUAGE AND LITERATURE,44577.0,9,FRE 101-A0Z1,Elemen French I,1,1,1,1,72,1.0,43696.0,43814.0
VETERINARY TECHNOLOGY,44466.0,,VET 220-A001,Parasitology and Clinical Lab,10,16,31,DT23,15,2.0,43696.0,43814.0
MATHEMATICS,44389.0,,MAT 100-A0H4,75,2,31,32,41,85,2.0,43696.0,43814.0
 ACCOUNTING ,45364.0,,ACC 201-A0Z2,0,1,1,1,1,1,1.0,43759.0,43814.0
ECONOMICS,45078.0,6,ECO 101-A0ZB,Contemporary Economic Issues,1,1,1,1,51,1.0,43759.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44456.0,,CMM 114-A001,38,10,24,38,31,41,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44757.0,,FYE 100-A002,64,5,19,23,49,74,2.0,43696.0,43814.0
GEOGRAPHY,44648.0,1,GEO 251-A0Z1,Weather & Climate,1,1,1,1,79,1.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,55363.0,,4,13,7,7,11,6,7,2.0,43696.0,43814.0
HISTORY,44659.0,0,HIS 240-A0Z1,History of Kentucky,1,1,1,1,78,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44784.0,1,BIO 118-A0Z1,Microbes and Society,1,1,1,1,28,1.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44717.0,,6,13,7,12,16,6,8,2.0,43696.0,43814.0
ENGLISH,44572.0,7,ENG 102-A006,62,2,19,23,13,69,2.0,43696.0,43814.0
WELDING,44495.0,,WLD 133-A001,Gas Tungsten Arc Wld GrooveLab,0,15,11,81,113,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,45094.0,,BAS 283-A0ZB,23,1,1,1,1,20,1.0,43696.0,43751.0
ENERGY SYSTEMS,44840.0,,ESP 101-A0Z1,Introduction to Energy Systems,1,1,1,1,54,1.0,43696.0,43814.0
MATHEMATICS,45430.0,,MAT 141S-A0M1,Coreq Remediation for Math,2,33,0.465277778,63,89,2.0,43696.0,43814.0
COMMUNICATIONS,44506.0,4,COM 252-A001,43,0,5,24,35,47,2.0,43696.0,43814.0
DIESEL TECHNOLOGY,44897.0,,14,48,7,0,10,9,6,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44714.0,,AUT 240-A0E1,14,6,8,12,5,8,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,45009.0,,3,11,5,8,6,6,8,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44558.0,2,BIO 139-A001,29,0,0,0,18,28,2.0,43696.0,43814.0
RADIOGRAPHY,44970.0,,DMI 102-A001,Med Term for Radiographers,M-F,26,10,73,14,2.0,43696.0,43814.0
ALLIED HEALTH,44609.0,,AHS 115-A0Z1,19,1,1,1,1,14,1.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44578.0,,FYE 100-A001,64,6,19,23,58,46,2.0,43696.0,43814.0
COMMUNICATIONS,44821.0,,COM 284-A001,42,1,1,1,36,44,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44717.0,,6,13,5,12,16,6,8,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44750.0,,ACR 250-A001,Cooling and Dehumidification,0,0,7,2,2,2.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,54059.0,,IEC 102-A0Z1,Foundations/Early Childhood Ed,1,1,1,1,83,1.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44436.0,,EET 265-A001,52,2,22,4,45,53,2.0,43696.0,43814.0
CIS,44950.0,,CIT 271-A0Z1,SQL II	,1,1,1,1,39,1.0,43696.0,43814.0
WELDING,44514.0,,WLD 151-A086,108,0,7,18,HCA100,12,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44640.0,3,BIO 151-A001,Principles of Biology Lab I,0,15,14,24,24,2.0,43696.0,43814.0
WELDING,44504.0,,WLD 140-A001,Gas Metal Arc Welding,2,10:20 AM,4,58,110,2.0,43696.0,43814.0
WELDING,44493.0,,WLD 220-A001,Welding Certification,2,35,31,79,113,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,59917.0,,ELT 210-A002,56,2,29,2,48,59,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44571.0,,BIO 137-A0L2,28,5,19,8,22,29,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,44521.0,,AGR 125-A001,16,2,15,17,11,10,2.0,43696.0,43814.0
OFFICE SYSTEMS TECHNOLOGY,44833.0,,OST 210-A0Z1,Adv Word Proc Application,1,1,1,1,98,1.0,43696.0,43814.0
NURSING,44731.0,,NSG 220-A0L1,88,3,15,11,ACA105,96,2.0,43696.0,43814.0
ENGLISH,44554.0,7,ENG 101-A010,61,2,19,23,36,70,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44414.0,,ELT 110-A0L2,53,10,3,41,46,56,2.0,43696.0,43814.0
ENGLISH,44565.0,7,ENG 102-A003,62,0,15,17,36,65,2.0,43696.0,43814.0
DIESEL TECHNOLOGY,44719.0,,12,46,7,7,30,9,6,2.0,43696.0,43814.0
RELIGIOUS STUDIES,44594.0,11,REL 130-A0Z2,101,1,1,1,1,71,1.0,43696.0,43814.0
RADIOGRAPHY,45371.0,,DMI 128-A001,99,7,26,4,73,14,2.0,43696.0,43814.0
ART ,44479.0,,ART 240-A001,Ceramics I,2,5,23,14,17,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,55299.0,,2,11,3,6,10,6,7,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,44668.0,,MIT 204-A001,78,0,15,17,0,43,1.0,43696.0,43814.0
HISTORY,44657.0,0,HIS 109-A0Z1,68,1,1,1,1,78,1.0,43696.0,43814.0
OFFICE SYSTEMS TECHNOLOGY,44895.0,,OST 295-A001,Administrative Office Technolo,1,1,1,4,43,2.0,43696.0,43814.0
COMMUNICATIONS,44484.0,4,COM 181-A004,41,0,15,17,35,46,2.0,43696.0,43814.0
CIS,45394.0,,CIT 120-A002,37,2,19,23,28,39,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44556.0,,BIO 137-A0L1,28,3,19,8,22,29,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44843.0,,ACR 290-A0Y1,Journeyman Preparation,1,1,1,4,2,0.0,43696.0,43814.0
SURGICAL TECHNOLOGY,45099.0,,SUR 103-A0B1,Surgical Tech Supplement Lab,13,7,3,75,108,2.0,43696.0,43751.0
AUTOMOTIVE TECHNOLOGY,44717.0,,6,13,6,13,16,6,8,2.0,43696.0,43814.0
MATHEMATICS,55586.0,,MAT 126S-A0ZH,73,1,1,1,1,86,1.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,45359.0,,AGR 205-A001,Forage Management,4,1,1,4,11,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44748.0,,ACR 130-A0E1,Electrical Components,2,4,5,2,2,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,44978.0,,MIT 205-A0Z1,Advanced Medical Coding,1,1,1,1,91,1.0,43696.0,43814.0
NURSING ASSISTANT,44700.0,,NAA 100-A001,84,0,16,31,65,93,2.0,43696.0,43814.0
MATHEMATICS,55583.0,,MAT 126S-A0H2,73,2,30,45,62,87,2.0,43696.0,43814.0
WELDING,45114.0,,WLD 229-A0B2,Shield Metal ArcWld Pipe Lab B,14,36,42,81,115,2.0,43759.0,43814.0
MATHEMATICS,44863.0,10,MAT 126-A0H1,72,2,19,23,23,88,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44566.0,2,BIO 139-A0Z1,29,1,1,1,1,30,1.0,43696.0,43814.0
NUTRITION AND FOOD SCIENCE,44450.0,,NFS 101-A0Z1,Human Nutrition & Wellness,1,1,1,1,Foster,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44607.0,2,BIO 135-A0Z1,27,1,1,1,1,23,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44448.0,,BIO 225-A0L1,31,2,24,32,25,33,2.0,43696.0,43814.0
COMMUNICATIONS,44483.0,4,COM 181-A003,41,0,19,23,34,45,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44433.0,1,BIO 112-A002,24,0,10,20,18,23,2.0,43696.0,43814.0
COMMUNICATIONS,61183.0,4,10,43,1,1,1,1,Fancher,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44794.0,,BIO 137-A0YL,28,3,20,28,21,29,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44944.0,1,BIO 113-A0E1,25,7,20,28,21,27,2.0,43696.0,43814.0
ENGLISH,45079.0,,ENG 100-A0H1,60,0,9:55 AM,29,53,64,2.0,43696.0,43814.0
ENGLISH,44560.0,7,ENG 101-A0Z2,61,1,1,1,1,71,1.0,43696.0,43814.0
INDUSTRIAL CORE,45022.0,,17,4,4,1,1,4,41,2.0,43696.0,43814.0
COMMUNICATIONS,44508.0,4,COM 252-A002,43,0,15,17,37,47,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44413.0,,ELT 110-A002,53,10,15,2,46,56,2.0,43696.0,43814.0
NURSING,44740.0,,NSG 230-A0L1,89,7,1,1,4,97,2.0,43696.0,43814.0
THEATRE,45013.0,,THA 192-A001,Production Practicum,4,1,1,4,109,2.0,43696.0,43814.0
WELDING,60362.0,,22,107,2,0.729166667,0.763888889,79,112,2.0,43696.0,43814.0
ENGLISH,44573.0,7,ENG 102-A0Z1,62,1,1,1,1,69,1.0,43696.0,43814.0
MATHEMATICS,55584.0,,MAT 126S-A0M1,73,0,31,32,63,89,2.0,43696.0,43814.0
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,46367.0,,EMS 235-A002,59,3,15,12,52,61,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,47227.0,,EET 127-A0Z1,Electrical Technology Capstone,1,1,1,1,53,1.0,43696.0,43814.0
COMMUNICATIONS,44518.0,4,COM 287-A0Z1,Persuasive Speaking,1,1,1,1,44,1.0,43696.0,43814.0
MATHEMATICS,55587.0,,MAT 126S-A0H1,73,2,27,44,23,88,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,45106.0,,BAS 284-A0ZB,Applied Management Skills,1,1,1,1,20,1.0,43759.0,43814.0
MATHEMATICS,44395.0,10,MAT 150-A002,76,0,5,24,19,90,2.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,44666.0,,IEC 216-A0Z1,Literacy and Language in IECE,1,1,1,1,83,1.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44852.0,,ACR 100-A0E1,2,0,0.708333333,0.784722222,2,3,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,59918.0,,ELT 210-A0L2,56,2,3,41,48,59,2.0,43696.0,43814.0
THEATRE,44777.0,,TA 195-A001,Special Projects Theatre Arts,4,1,1,4,11,2.0,43696.0,43814.0
NURSING,44722.0,,NSG 101-A0C1,85,4,1,1,4,Ebelhar,2.0,43696.0,43814.0
NURSING,44739.0,,NSG 230-A001,89,7,6,33,68,97,2.0,43696.0,43814.0
CRIMINAL JUSTICE,60706.0,,11,45,,1,,1,Sims,2.0,43696.0,43814.0
POLITICAL SCIENCE,44797.0,6,POL 255-A001,93,2,19,23,71,77,2.0,43696.0,43814.0
CIS,44612.0,,CIT 105-A001,35,0,5,24,27,7,2.0,43696.0,43814.0
COMMUNICATIONS,44498.0,4,COM 181-A0Z1,41,1,1,1,1,Bryant,1.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,44520.0,,AGR 150-A086,17,2,15,18,OWCHCA,12,2.0,43696.0,43814.0
OFFICE SYSTEMS TECHNOLOGY,44672.0,,OST 110-A0Z1,Doc. Format. & Intro  Wrd Proc,1,1,1,1,98,1.0,43696.0,43814.0
RADIOGRAPHY,45108.0,,DMI 110-A0B2,Clinical Practicum I,4,1,1,4,14,2.0,43759.0,43814.0
THEATRE,46359.0,,THA 260-A001,Stagecraft,0,10,20,HUMH0112,11,2.0,43696.0,43814.0
WELDING,60365.0,,20,105,0,0.729166667,0.763888889,58,111,2.0,43696.0,43814.0
MATHEMATICS,45427.0,10,MAT 141-A001,74,2,5,24,61,86,2.0,43696.0,43814.0
INDUSTRIAL MANTIENENCE TECHNOLGOY,44473.0,,IMT 151-A001,Maintaining Indust Equip I Lab,2,8,21,50,42,2.0,43696.0,43814.0
MEDICAL ASSISTING,45019.0,,MAI 105-A001,Introduction Medical Assisting,2,0,0,64,49,2.0,43696.0,43814.0
CHEMISTRY,44743.0,2,CHE 175-A001,Gen College Chemistry Lab I,6,5,33,26,35,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44445.0,,ELT 265-A001,57,0,15,2,49,42,2.0,43696.0,43814.0
HISTORY,44652.0,0,HIS 105-A001,66,2,5,24,59,81,2.0,43696.0,43814.0
HISTORY,44824.0,0,HIS 120-A0Z1,69,1,1,1,1,78,1.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44415.0,,ELT 110-A0E1,53,0,9,13,46,56,2.0,43696.0,43814.0
PSYCHOLOGY,44678.0,6,PSY 110-A003,94,0,19,23,19,52,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,44603.0,,BAS 212-A0Z1,Intro to Financial Management,1,1,1,1,1,1.0,43696.0,43814.0
HEALTHCARE FACILITIES LEADERSHIP,44533.0,,HFL 150-A0Z1,Planning Design Const I,1,1,1,1,Hoyt,1.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,44755.0,,AGR 125-A0L1,16,4,1,1,11,10,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44471.0,,ELT 265-A0L2,57,2,3,2:20 PM,50,11,2.0,43696.0,43814.0
HEALTHCARE FACILITIES LEADERSHIP,44886.0,,HFL 240-A0Z1,Maintenance and Operations II,1,1,1,1,80,1.0,43696.0,43814.0
CIS,44621.0,,CIT 105-A0Z2,35,1,1,1,1,Papalouca,1.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,55312.0,,7,15,7,0,10,10,7,2.0,43696.0,43814.0
MATHEMATICS,44399.0,10,MAT 150-A0Z1,76,1,1,1,1,86,1.0,43696.0,43814.0
MATHEMATICS,44879.0,10,MAT 150-A0E1,76,2,9,25,18,Hayden,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44432.0,1,BIO 112-A001,24,0,15,17,17,22,2.0,43696.0,43814.0
NURSING,44738.0,,NSG 213-A0C1,87,4,1,1,70,95,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44855.0,,ACR 113-A001,Sheet Metal Fabrication Lab,2,1,1,3,4,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,44670.0,,MIT 224-A0Z1,Medical Practice Management,1,1,1,1,91,1.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44767.0,,FYE 100-A013,64,5,19,23,49,60,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44420.0,,ELT 210-A0L1,56,2,3,41,46,56,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44599.0,2,BIO 139-A0Y2,29,1,1,1,1,32,2.0,43696.0,43814.0
HEALTHCARE FACILITIES LEADERSHIP,44529.0,,HFL 100-A0Z1,Intro Healthcare Facility Mgmt,1,1,1,1,Workman,1.0,43696.0,43814.0
MATHEMATICS,45426.0,10,MAT 126-A003,72,2,19,23,SE241,87,2.0,43696.0,43814.0
