Var,Actual Payment Date,Due Date,Payment,Payment_ID,Remaining
1,8/3/2020,3-Aug-20,19000.0,KCA/C-HELAL-V3/S/F-12/R1/2P1-CHQ-19000,0
2,1-Feb-21,1-Feb-21,10000.0,KCA/C-HELAL-V3/S/F-12/R1/2P2-CHQ-10000,0
3,,,,,0
1,4/27/2020,26-Apr-20,2000.0,KCA/C-HELAL-V4/S/F-01/R1/M1-TNS-2000,0
2,21-May-20,26-May-20,2000.0,KCA/C-HELAL-V4/S/F-01/R1/M2-CASH-2000,0
3,25-Jun-20,26-Jun-20,2000.0,KCA/C-HELAL-V4/S/F-01/R1/M3-CASH-2000,0
1,12/19/2020,22-Dec-20,10000.0,KCA/C-HELAL-V4/S/F-02/R1/3P1-CASH-10000,0
2,1-Apr-21,1-Apr-21,10000.0,KCA/C-HELAL-V4/S/F-02/R1/3P2-CASH-10000,0
3,,1-Aug-21,8000.0,KCA/C-HELAL-V4/S/F-02/R1/3P3-CASH-8000,0
1,2/18/2020,25-Dec-20,2200.0,KCA/C-HELAL-V4/S/F-05/R1/M1-CASH-2200,0
2,28-Feb-21,25-Jan-21,2200.0,KCA/C-HELAL-V4/S/F-05/R1/M2-CASH-2200,0
3,7-Apr-21,25-Feb-21,2200.0,KCA/C-HELAL-V4/S/F-05/R1/M3-CASH-2200,0
1,12/22/2020,10-Dec-20,2400.0,KCA/C-HELAL-V4/S/F-06/R1/M1-CASH-2400,0
2,4-Jan-21,10-Jan-21,2400.0,KCA/C-HELAL-V4/S/F-06/R1/M2-CASH-2400,0
3,7-Feb-21,10-Feb-21,2400.0,KCA/C-HELAL-V4/S/F-06/R1/M3-CASH-2400,0
1,11/4/2021,10-Nov-20,40000.0,KCA/C-HELAL-V4/IBHR/F-07/R1/1P1-CASH-40000,0
2,,,,,0
3,,,,,0
1,12/31/2020,25-Dec-20,3000.0,KCA/C-HELAL-V4/IBHR/F-08/R1/M1-CASH-3200,200
2,14-Feb-21,25-Jan-21,3000.0,KCA/C-HELAL-V4/IBHR/F-08/R1/M2-CASH-3200,200
3,,,,KCA/C-HELAL-V4/IBHR/F-08/R1/M3-CASH-3200,0
1,4/14/2021,10-Apr-21,2000.0,KCA/C-HELAL-V4/S/F-09/R1/M1-CASH-2000,0
2,,10-May-21,2000.0,KCA/C-HELAL-V4/S/F-09/R1/M2-CASH-2000,0
3,,10-Jun-21,2000.0,KCA/C-HELAL-V4/S/F-09/R1/M3-CASH-2000,0
1,12/21/2020,25-Dec-20,2250.0,KCA/C-HELAL-V4/S/F-10/R1/M1-TNS-3500,0
2,17-Feb-21,25-Jan-21,2250.0,KCA/C-HELAL-V4/S/F-10/R1/M2-TNS-5000-1,0
3,17-Feb-21,25-Feb-21,2250.0,KCA/C-HELAL-V4/S/F-10/R1/M3-TNS-5000-2,0
1,4/1/2021,1-Apr-21,1500.0,KCA/C-HELAL-V4/S/F-11/R1/M1-CASH-1500,0
2,,1-May-21,1500.0,KCA/C-HELAL-V4/S/F-11/R1/M2-CASH-1500,0
3,,1-Jun-21,1500.0,KCA/C-HELAL-V4/S/F-11/R1/M3-CASH-1500,0
1,4/1/2021,1-Apr-21,2800.0,KCA/C-HELAL-V4/S/F-12/R1/M1-CASH-2800,0
2,,1-May-21,2800.0,KCA/C-HELAL-V4/S/F-12/R1/M2-CASH-2800,0
3,,1-Jun-21,2800.0,KCA/C-HELAL-V4/S/F-12/R1/M3-CASH-2800,0
