deployDate,recoveryDate,between_days
3/8/2010,5/5/2010, 2010-04-27
3/1/2014,5/21/2014, 2014-04-25
2/23/2008,5/20/2008, 2008-03-08
3/1/2014,5/21/2014, 2014-04-11
2/17/2011,5/8/2011,2011-04-26
2/17/2011,5/8/2011, 2011-04-15
3/8/2010,5/5/2010, 2010-03-18
2/17/2009,5/16/2009, 2009-02-24
2/23/2008,5/20/2008, 2008-03-31
2/17/2009,5/16/2009, 2009-04-16
2/17/2011,5/8/2011,2011-03-17
1/28/2013,5/6/2013, 2013-04-08
1/28/2013,5/6/2013, 2013-02-15
2/17/2009,5/16/2009, 2009-03-04
2/17/2011,5/8/2011, 2011-05-06
2/17/2011,5/8/2011, 2011-04-19
2/21/2017,5/16/2017, 2017-03-04
3/8/2010,5/5/2010, 2010-04-20
2/21/2017,5/16/2017, 2017-03-02
2/17/2009,5/16/2009, 2009-04-11
2/23/2008,5/20/2008,2008-03-30
1/28/2013,5/6/2013, 2013-04-20
2/17/2009,5/16/2009, 2009-03-03
2/21/2017,5/16/2017, 2017-05-07
2/17/2011,5/8/2011, 2011-02-27
1/28/2013,5/6/2013,2013-02-05
3/1/2014,5/21/2014, 2014-03-22
3/1/2014,5/21/2014,2014-05-08
3/1/2014,5/21/2014, 2014-05-13
2/17/2009,5/16/2009, 2009-02-26
2/23/2008,5/20/2008, 2008-04-14
2/21/2017,5/16/2017, 2017-04-11
2/17/2015,5/21/2015,2015-04-14
2/21/2017,5/16/2017, 2017-04-23
2/17/2011,5/8/2011, 2011-03-28
2/17/2015,5/21/2015, 2015-05-01
1/28/2013,5/6/2013, 2013-04-25
2/17/2009,5/16/2009, 2009-03-18
2/17/2009,5/16/2009, 2009-03-11
3/1/2014,5/21/2014, 2014-04-04
2/13/2018,5/30/2018,2018-02-13
3/1/2014,5/21/2014, 2014-03-10
2/13/2018,5/30/2018, 2018-05-28
2/17/2015,5/21/2015, 2015-04-17
2/15/2016,5/25/2016, 2016-02-24
2/23/2008,5/20/2008, 2008-03-05
2/17/2015,5/21/2015,2015-03-01
3/1/2014,5/21/2014,2014-05-20
2/17/2009,5/16/2009, 2009-04-27
3/1/2014,5/21/2014, 2014-05-05
1/28/2013,5/6/2013, 2013-05-02
2/13/2018,5/30/2018, 2018-02-20
3/1/2014,5/21/2014, 2014-03-07
2/21/2017,5/16/2017, 2017-04-21
3/8/2010,5/5/2010, 2010-04-16
2/15/2016,5/25/2016, 2016-05-18
2/17/2009,5/16/2009, 2009-04-15
2/17/2011,5/8/2011,2011-05-04
2/21/2017,5/16/2017,2017-04-30
3/1/2014,5/21/2014, 2014-03-14
3/1/2014,5/21/2014,2014-04-30
2/17/2015,5/21/2015, 2015-05-11
3/1/2014,5/21/2014, 2014-03-11
1/28/2013,5/6/2013,2013-02-17
2/17/2009,5/16/2009,2009-04-14
3/8/2010,5/5/2010, 2010-03-10
2/17/2015,5/21/2015, 2015-02-26
2/17/2011,5/8/2011,2011-02-25
1/28/2013,5/6/2013,2013-04-06
1/28/2013,5/6/2013, 2013-04-21
3/8/2010,5/5/2010,2010-04-17
3/8/2010,5/5/2010, 2010-04-19
3/8/2010,5/5/2010, 2010-04-02
1/28/2013,5/6/2013, 2013-02-12
2/17/2015,5/21/2015, 2015-02-27
2/17/2015,5/21/2015, 2015-03-22
2/17/2015,5/21/2015, 2015-04-24
3/1/2014,5/21/2014, 2014-03-15
2/21/2017,5/16/2017, 2017-04-01
2/17/2015,5/21/2015,2015-02-17
3/1/2014,5/21/2014, 2014-04-07
2/17/2011,5/8/2011, 2011-03-18
2/21/2017,5/16/2017,2017-05-12
2/17/2015,5/21/2015, 2015-03-06
1/28/2013,5/6/2013, 2013-02-18
2/17/2009,5/16/2009, 2009-03-24
2/17/2015,5/21/2015,2015-05-12
3/8/2010,5/5/2010, 2010-04-15
2/17/2009,5/16/2009,2009-04-26
2/15/2016,5/25/2016, 2016-02-16
2/21/2017,5/16/2017,2017-03-05
2/17/2015,5/21/2015, 2015-04-29
3/1/2014,5/21/2014, 2014-03-31
2/17/2015,5/21/2015,2015-02-25
2/17/2015,5/21/2015, 2015-03-14
2/21/2017,5/16/2017, 2017-04-09
2/21/2017,5/16/2017, 2017-03-03
2/17/2015,5/21/2015,2015-05-08
2/17/2009,5/16/2009, 2009-05-01
2/17/2011,5/8/2011, 2011-04-07
2/23/2008,5/20/2008, 2008-03-29
3/1/2014,5/21/2014,2014-04-06
2/23/2008,5/20/2008, 2008-04-17
2/17/2009,5/16/2009, 2009-04-24
2/13/2018,5/30/2018,2018-05-25
1/28/2013,5/6/2013, 2013-02-02
2/17/2009,5/16/2009, 2009-04-01
2/17/2011,5/8/2011, 2011-03-16
1/28/2013,5/6/2013, 2013-02-20
2/17/2011,5/8/2011, 2011-02-24
2/13/2018,5/30/2018, 2018-05-23
2/17/2011,5/8/2011, 2011-05-02
3/1/2014,5/21/2014, 2014-04-28
3/1/2014,5/21/2014,2014-04-18
1/28/2013,5/6/2013, 2013-02-27
2/23/2008,5/20/2008, 2008-03-04
2/17/2015,5/21/2015, 2015-04-03
2/17/2015,5/21/2015,2015-03-05
3/1/2014,5/21/2014, 2014-05-17
3/1/2014,5/21/2014, 2014-05-10
2/17/2009,5/16/2009,2009-03-25
3/1/2014,5/21/2014, 2014-04-19
2/23/2008,5/20/2008, 2008-05-10
3/1/2014,5/21/2014, 2014-04-13
2/17/2015,5/21/2015, 2015-04-15
2/21/2017,5/16/2017, 2017-04-04
2/17/2011,5/8/2011,2011-04-10
2/17/2009,5/16/2009,2009-04-18
3/8/2010,5/5/2010, 2010-03-17
3/1/2014,5/21/2014, 2014-05-21
1/28/2013,5/6/2013, 2013-03-15
2/17/2011,5/8/2011,2011-02-21
3/8/2010,5/5/2010,2010-04-13
2/21/2017,5/16/2017, 2017-03-08
3/1/2014,5/21/2014, 2014-04-24
3/1/2014,5/21/2014, 2014-03-23
2/17/2015,5/21/2015, 2015-02-23
2/21/2017,5/16/2017,2017-02-25
3/8/2010,5/5/2010, 2010-05-02
2/23/2008,5/20/2008,2008-05-09
2/17/2009,5/16/2009, 2009-05-09
2/17/2015,5/21/2015, 2015-05-13
3/1/2014,5/21/2014, 2014-03-24
2/13/2018,5/30/2018, 2018-05-27
1/28/2013,5/6/2013, 2013-05-06
2/23/2008,5/20/2008, 2008-04-22
2/17/2011,5/8/2011,2011-03-01
1/28/2013,5/6/2013, 2013-04-04
1/28/2013,5/6/2013, 2013-04-17
2/17/2009,5/16/2009, 2009-03-28
1/28/2013,5/6/2013, 2013-02-14
2/17/2015,5/21/2015, 2015-05-07
3/1/2014,5/21/2014, 2014-05-01
2/23/2008,5/20/2008, 2008-03-21
2/17/2009,5/16/2009, 2009-03-12
3/1/2014,5/21/2014,2014-03-21
2/17/2009,5/16/2009,2009-04-30
1/28/2013,5/6/2013, 2013-02-28
2/21/2017,5/16/2017, 2017-03-14
2/21/2017,5/16/2017, 2017-04-08
2/17/2011,5/8/2011, 2011-02-20
2/21/2017,5/16/2017,2017-05-08
2/17/2015,5/21/2015, 2015-03-18
2/17/2011,5/8/2011,2011-04-18
2/15/2016,5/25/2016, 2016-02-21
2/17/2011,5/8/2011,2011-03-13
1/28/2013,5/6/2013,2013-04-14
3/1/2014,5/21/2014, 2014-04-15
2/17/2015,5/21/2015, 2015-05-05
2/21/2017,5/16/2017, 2017-04-19
2/23/2008,5/20/2008,2008-04-03
2/17/2015,5/21/2015, 2015-04-23
2/13/2018,5/30/2018, 2018-02-18
3/8/2010,5/5/2010, 2010-05-04
2/23/2008,5/20/2008, 2008-05-19
2/23/2008,5/20/2008, 2008-02-29
2/21/2017,5/16/2017, 2017-03-28
2/23/2008,5/20/2008, 2008-05-15
2/17/2009,5/16/2009, 2009-02-22
3/8/2010,5/5/2010, 2010-04-03
2/23/2008,5/20/2008, 2008-05-02
2/21/2017,5/16/2017,2017-03-13
2/23/2008,5/20/2008, 2008-05-08
2/13/2018,5/30/2018,2018-02-21
1/28/2013,5/6/2013, 2013-04-01
2/21/2017,5/16/2017, 2017-05-14
3/1/2014,5/21/2014, 2014-03-16
2/17/2009,5/16/2009, 2009-04-13
1/28/2013,5/6/2013,2013-03-17
2/17/2009,5/16/2009,2009-05-08
2/23/2008,5/20/2008,2008-04-19
1/28/2013,5/6/2013, 2013-02-22
2/17/2011,5/8/2011,2011-04-06
3/8/2010,5/5/2010,2010-03-28
2/23/2008,5/20/2008,2008-03-18
3/8/2010,5/5/2010,2010-03-20
3/1/2014,5/21/2014, 2014-03-20
3/8/2010,5/5/2010, 2010-04-10
3/8/2010,5/5/2010, 2010-03-27
2/23/2008,5/20/2008, 2008-03-27
2/17/2015,5/21/2015, 2015-03-16
3/8/2010,5/5/2010, 2010-04-18
1/28/2013,5/6/2013, 2013-05-05
2/21/2017,5/16/2017, 2017-03-12
3/8/2010,5/5/2010,2010-03-08
1/28/2013,5/6/2013, 2013-02-11
3/8/2010,5/5/2010, 2010-04-28
1/28/2013,5/6/2013,2013-02-21
1/28/2013,5/6/2013, 2013-03-26
2/17/2011,5/8/2011, 2011-04-03
2/17/2009,5/16/2009,2009-03-13
1/28/2013,5/6/2013, 2013-04-12
2/21/2017,5/16/2017, 2017-05-01
1/28/2013,5/6/2013, 2013-03-11
2/17/2009,5/16/2009,2009-03-01
1/28/2013,5/6/2013,2013-02-09
2/15/2016,5/25/2016, 2016-02-22
2/17/2011,5/8/2011, 2011-04-01
2/17/2011,5/8/2011,2011-04-14
3/8/2010,5/5/2010, 2010-03-09
2/23/2008,5/20/2008, 2008-03-11
1/28/2013,5/6/2013, 2013-02-08
2/17/2015,5/21/2015, 2015-05-10
3/8/2010,5/5/2010, 2010-03-13
3/8/2010,5/5/2010,2010-03-24
2/17/2015,5/21/2015, 2015-03-02
2/23/2008,5/20/2008, 2008-04-18
2/17/2011,5/8/2011, 2011-03-02
1/28/2013,5/6/2013,2013-04-02
2/17/2015,5/21/2015,2015-03-09
2/17/2015,5/21/2015, 2015-05-15
2/15/2016,5/25/2016,2016-05-16
3/1/2014,5/21/2014,2014-04-26
2/17/2015,5/21/2015,2015-04-10
1/28/2013,5/6/2013, 2013-01-31
2/17/2009,5/16/2009, 2009-05-11
2/17/2015,5/21/2015, 2015-04-20
2/23/2008,5/20/2008, 2008-04-28
2/23/2008,5/20/2008, 2008-02-24
2/21/2017,5/16/2017, 2017-04-24
1/28/2013,5/6/2013,2013-04-22
2/23/2008,5/20/2008, 2008-03-28
1/28/2013,5/6/2013, 2013-02-16
2/17/2015,5/21/2015,2015-04-22
2/17/2009,5/16/2009, 2009-04-09
2/17/2015,5/21/2015, 2015-04-19
3/8/2010,5/5/2010, 2010-04-08
2/17/2011,5/8/2011, 2011-04-21
3/8/2010,5/5/2010, 2010-03-29
2/17/2015,5/21/2015, 2015-04-12
2/23/2008,5/20/2008, 2008-04-20
2/23/2008,5/20/2008,2008-03-10
3/1/2014,5/21/2014, 2014-05-14
3/1/2014,5/21/2014,2014-03-29
3/1/2014,5/21/2014,2014-03-17
3/1/2014,5/21/2014, 2014-03-28
2/17/2009,5/16/2009, 2009-04-19
1/28/2013,5/6/2013, 2013-03-31
2/17/2015,5/21/2015, 2015-03-20
2/17/2011,5/8/2011, 2011-04-24
2/17/2015,5/21/2015, 2015-04-21
3/8/2010,5/5/2010,2010-05-03
2/23/2008,5/20/2008,2008-05-01
1/28/2013,5/6/2013, 2013-02-23
2/17/2011,5/8/2011, 2011-03-06
2/17/2015,5/21/2015, 2015-03-24
2/23/2008,5/20/2008, 2008-05-12
3/8/2010,5/5/2010, 2010-04-12
2/23/2008,5/20/2008,2008-04-07
2/17/2011,5/8/2011, 2011-05-01
2/21/2017,5/16/2017, 2017-03-23
1/28/2013,5/6/2013, 2013-03-20
3/1/2014,5/21/2014, 2014-03-06
2/17/2009,5/16/2009,2009-03-21
1/28/2013,5/6/2013,2013-03-13
2/17/2015,5/21/2015,2015-03-29
3/1/2014,5/21/2014, 2014-05-03
2/23/2008,5/20/2008, 2008-02-28
2/21/2017,5/16/2017, 2017-04-05
3/8/2010,5/5/2010, 2010-03-21
2/21/2017,5/16/2017, 2017-05-02
2/21/2017,5/16/2017, 2017-04-20
1/28/2013,5/6/2013, 2013-04-03
1/28/2013,5/6/2013, 2013-03-14
2/21/2017,5/16/2017, 2017-03-30
3/1/2014,5/21/2014, 2014-04-08
1/28/2013,5/6/2013,2013-04-30
3/1/2014,5/21/2014,2014-03-01
2/17/2009,5/16/2009, 2009-05-02
2/23/2008,5/20/2008, 2008-04-06
1/28/2013,5/6/2013,2013-03-21
3/1/2014,5/21/2014, 2014-05-15
2/17/2015,5/21/2015, 2015-03-19
3/1/2014,5/21/2014, 2014-04-23
2/17/2009,5/16/2009,2009-02-21
2/15/2016,5/25/2016, 2016-02-17
2/17/2009,5/16/2009, 2009-03-02
2/21/2017,5/16/2017,2017-04-02
2/21/2017,5/16/2017, 2017-03-06
1/28/2013,5/6/2013,2013-02-25
2/15/2016,5/25/2016, 2016-05-23
2/17/2011,5/8/2011,2011-04-22
2/17/2015,5/21/2015, 2015-02-18
2/17/2009,5/16/2009, 2009-02-18
1/28/2013,5/6/2013,2013-04-18
2/17/2011,5/8/2011, 2011-03-24
2/21/2017,5/16/2017, 2017-04-29
2/17/2009,5/16/2009,2009-04-06
2/17/2011,5/8/2011, 2011-04-08
2/17/2011,5/8/2011, 2011-02-18
2/23/2008,5/20/2008, 2008-04-09
2/17/2011,5/8/2011, 2011-03-20
2/13/2018,5/30/2018, 2018-05-30
2/17/2009,5/16/2009, 2009-02-28
3/8/2010,5/5/2010, 2010-03-19
1/28/2013,5/6/2013,2013-03-29
2/17/2011,5/8/2011,2011-03-21
2/17/2009,5/16/2009,2009-04-02
2/15/2016,5/25/2016,2016-02-19
3/1/2014,5/21/2014,2014-04-10
2/21/2017,5/16/2017, 2017-03-20
2/17/2015,5/21/2015, 2015-04-28
1/28/2013,5/6/2013, 2013-03-24
2/13/2018,5/30/2018, 2018-02-15
2/13/2018,5/30/2018, 2018-02-14
2/21/2017,5/16/2017,2017-04-06
2/17/2009,5/16/2009, 2009-03-06
2/17/2009,5/16/2009, 2009-04-28
2/17/2011,5/8/2011, 2011-03-31
2/17/2011,5/8/2011, 2011-04-13
2/17/2011,5/8/2011,2011-04-30
2/17/2009,5/16/2009, 2009-05-06
1/28/2013,5/6/2013, 2013-02-03
2/17/2009,5/16/2009, 2009-05-05
3/1/2014,5/21/2014,2014-05-04
2/15/2016,5/25/2016, 2016-02-20
2/17/2011,5/8/2011, 2011-03-12
1/28/2013,5/6/2013, 2013-03-27
2/17/2009,5/16/2009, 2009-02-19
1/28/2013,5/6/2013, 2013-03-03
2/23/2008,5/20/2008, 2008-04-25
2/17/2011,5/8/2011, 2011-03-03
2/17/2015,5/21/2015, 2015-04-11
2/17/2009,5/16/2009, 2009-04-07
3/1/2014,5/21/2014, 2014-04-12
2/21/2017,5/16/2017, 2017-04-15
2/23/2008,5/20/2008, 2008-04-10
2/23/2008,5/20/2008, 2008-04-08
2/17/2015,5/21/2015, 2015-04-13
2/23/2008,5/20/2008, 2008-03-19
1/28/2013,5/6/2013, 2013-04-28
2/17/2011,5/8/2011, 2011-03-10
2/21/2017,5/16/2017, 2017-03-10
2/17/2015,5/21/2015,2015-05-04
3/1/2014,5/21/2014, 2014-05-11
2/21/2017,5/16/2017, 2017-05-10
3/1/2014,5/21/2014, 2014-04-29
2/17/2011,5/8/2011, 2011-04-17
2/17/2015,5/21/2015, 2015-03-15
2/17/2011,5/8/2011, 2011-03-11
2/23/2008,5/20/2008, 2008-03-03
2/17/2009,5/16/2009, 2009-03-31
2/17/2015,5/21/2015, 2015-05-14
1/28/2013,5/6/2013, 2013-02-10
2/21/2017,5/16/2017, 2017-04-28
1/28/2013,5/6/2013, 2013-03-23
2/17/2011,5/8/2011,2011-03-25
2/17/2009,5/16/2009, 2009-03-26
2/23/2008,5/20/2008, 2008-05-16
2/23/2008,5/20/2008, 2008-04-12
2/17/2011,5/8/2011, 2011-02-26
3/1/2014,5/21/2014, 2014-04-27
2/17/2009,5/16/2009, 2009-04-25
2/17/2009,5/16/2009,2009-03-09
2/21/2017,5/16/2017, 2017-04-25
2/17/2011,5/8/2011,2011-03-09
2/17/2011,5/8/2011,2011-02-17
2/17/2015,5/21/2015, 2015-02-20
2/23/2008,5/20/2008, 2008-03-20
2/17/2009,5/16/2009,2009-02-25
2/17/2015,5/21/2015, 2015-04-25
2/17/2011,5/8/2011, 2011-04-09
2/17/2009,5/16/2009, 2009-04-05
3/1/2014,5/21/2014, 2014-03-27
2/17/2011,5/8/2011, 2011-04-27
2/23/2008,5/20/2008, 2008-05-03
2/23/2008,5/20/2008, 2008-05-07
2/21/2017,5/16/2017, 2017-03-31
2/17/2009,5/16/2009, 2009-03-10
3/8/2010,5/5/2010, 2010-03-14
2/23/2008,5/20/2008, 2008-04-13
3/1/2014,5/21/2014,2014-04-14
1/28/2013,5/6/2013, 2013-04-07
2/17/2011,5/8/2011, 2011-02-22
2/15/2016,5/25/2016, 2016-02-18
2/21/2017,5/16/2017, 2017-03-24
1/28/2013,5/6/2013, 2013-04-15
2/21/2017,5/16/2017, 2017-05-13
1/28/2013,5/6/2013, 2013-04-05
2/17/2011,5/8/2011, 2011-04-04
2/17/2009,5/16/2009, 2009-04-21
2/17/2011,5/8/2011, 2011-04-12
