Index,group,name,quantity,unit_cogs
21271,TABLETS,TABLETKI IBUPROM 10SZT,8,4.915
11169,GENERAL,DROZDZE BABUNI 100G,9,0.64
17033,POULTRY,KIELBASA WINERKI KG,0.74,16.1891891891892
8109,DAIRY_CHESSE,SER SMAZONY 100G KOSTKA SREM,1,2.03
12847,GENERAL_FOOD,WIN KRUPNIK POLSKI 59 G,1,1.21
23044,ALCOHOL,WINO SOAVE  BILALE WYTR 0_75 L,2,9.48
2949,CHEMISTRY,WIREK PLYN DO PRANIA 1 L BIEL,1,3.15
10827,POULTRY,FILETY SLEDZIOWE W POMIDZ.170 G,4,2.51
18054,SPICES,PRZYPRAWA DO PIZZY GALEO 12GR,5,0.8
4907,CIGARETTES,TYTO? ROTHMANS 30GR,2,9.26
11543,GENERAL,FRYTKI 750 G SUPER,5,7.16
18861,SWEETS,LIZAK ZELOWY HORROR,1,1.36
3512,CHEMISTRY,PLYN DA NACZYN EDGAR 0_5 L ALOES,3,0.92
5863,COFFEE TEA,CAPPUCCINO CZEKOLADOWE MOKATE 110GR,1,2.59
4226,CHEWING_GUM_LOLIPOPS,GUMA ORBIT SPERMINT DRAZE,1,1.25
5329,CIGARETTES,PAP PS GOLD,38,9.78
8846,DRINK_JUICE,WODA SKARB NATURY 1_5 GAZ,5,0.79
15758,ICE_CREAMS_FROZEN,LODY ROZEK KIT KAT,2,2.45
21447,VEGETABLES,MAK SARITA SPAGHETTI 400 G DURUM,17,1.66
9172,DRINK_JUICE,HELLENA WISNIA N/G 1_75L NAPOJ,5,1.83
3892,CHEMISTRY,PAPIER SNIADANIOW.MAWA 300X325,23,0.45
16824,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,MIOD WIELOKWIATOWY 220 G BASNIOWA PASI,1,3.9
19487,SWEETS,BOMBONIERA POMORZANKA 175 G CHOCO,7,5.36857142857143
7117,DAIRY_CHESSE,SER SALAMI WOSK SREM,6.29,16.093799682035
16604,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,OCET KULINARNY 1 L 10% PLAST,4,1.29
18428,SPICES,KNORR KMIN RZYMSKI 15G,4,1.29
2172,CHEMISTRY,EVA MYDLO W PLYNIE 500 ML Z DOZOWNIKIEM,2,3.71
4856,CIGARETTES,PAP LD RED.,46,10.159347826087
2401,CHEMISTRY,SILAN BLUE DREAM 1L,1,5.19
15403,ICE_CREAMS_FROZEN,LODY BIG MILK TOFFI,30,1.88
11904,GENERAL,WEDEL CZEKOL.100G PANNA COTTA,1,2.43
9689,DRINK_JUICE,WODA KROPLA BESKIDU 1_5L GAZ,9,0.78
3820,CHEMISTRY,CYRKIEL,2,2.95
4497,CHIPS_FLAKES,POP CORN 95 G,9,1.47
11199,GENERAL,PAPRYKARZ KURCZAK DLA JUNIORA 125 G,2,2.13
17331,GENERAL_ITEMS,MLEKO MLEKOVITA 1 L 3_2%,6,2.02
13461,GENERAL_FOOD,PIECZARKA CA?A 156 G S?ON.OGROD,1,2.65
21052,SWEETS,WEDEL CZEK.MLECZNA 100 G,5,2.158
2704,CHEMISTRY,PAPIER SNIADANIOWY 100SZT PAN PACK,2,1.85
10925,POULTRY,P PASTA Z TUNCZYKA,2,1.54
8676,DAIRY_CHESSE,TWAROG SREMSKI 250G TLUSTY,102,2.83823529411765
10532,DRINK_JUICE,NAP ENERGET ROSKST 250 ML PUSZKA,12,1.29
8752,DRINK_JUICE,NAP CAPRIO JABLKO 2L,2,2.5
18642,SPICES,WIN MAGI W PLYNIE 200ML,7,1.79
2226,CHEMISTRY,PLATKI KOSMETYCZNE MEA 120 SZT,4,1.79
8396,DAIRY_CHESSE,GOS.MLEKO ZAG. NIESL.200G GOSTYN,11,1.48
16475,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,CHRZAN TARTY 160G VICTUS,1,1.27
13677,GENERAL_FOOD,WIN SOS PIECZENIOWY JASNY,3,1.03
22755,ALCOHOL,NAP SPIR CYTRYNOWKA 30% 200ML,28,6.448571428571429
14940,ICE_CREAMS_FROZEN,LODY JAK DAWNIEJ 900 ML TRU+TYRAM,2,11.18
18542,SPICES,GALEO PAPRYKA SLODKA 16 G,16,0.60625
2130,CHEMISTRY,ZMYWAK KUCHENNY MALY 1 SZT,12,0.22
13611,GENERAL_FOOD,OCET KULINARNY 0_480 ML L PLASTIK,20,0.82
15947,ICE_CREAMS_FROZEN,FILET Z MIRUNY,3.85,20.083116883116894
19314,SWEETS,BOMBONIERA POMORZANKA 175 G CHOCO,3,5.84
5470,CIGARETTES,PAP PS GOLD,68,9.78
22175,VEGETABLES,KT ZIEMNIAK WCZESNY KG,774.179,0.780478416490243
5426,CIGARETTES,WODA AQA 0_5 L N/G,66,0.35424242424242397
3519,CHEMISTRY,PODPASKI NATURELLA CLASSIC NORMAL 10,3,2.32
18768,SPICES,ZUPA BLYSKAWICZNA WOLOWINA 60 G,3,0.3
19666,SWEETS,BATON SNICKERS 50 G,17,0.99
9583,DRINK_JUICE,NAP COCA COLA 0_5L,21,1.83
4126,CHEWING_GUM_LOLIPOPS,ZELKI MASKI/KABLE,14,0.12
20333,SWEETS,CZEK.MILKA TRIPLE COCOA 90GR,4,2.25
408,ALCOHOL,PIWO LECH PREMIUM 0_5L BUTELKA,151,1.69728476821192
19775,SWEETS,NAP AQA PLUS 1_5 L GAZ JAB+PIGWA,21,0.74
11021,POULTRY,FILET Z MAKRELI BIG FISH 170G,2,3.34
9770,DRINK_JUICE,NAP CAPRIO CZER.POMARANCZA 2L,13,3.03
21752,VEGETABLES,KT RABARBER KG,0.32,5.25
6394,DAIRY_CHESSE,BAKOMA BAKUS DO KIESZONKI TRUSKAW.,3,1.57
19536,SWEETS,GRZESKI W CZEKOLADZIE 36 G,36,0.665
3848,CHEMISTRY,KAPSULKI DO ZMYWARKI FAIRY LEMON 10SZT,1,5.57
5338,CIGARETTES,PAP ROTHMANS BLU 100,20,10.286
16371,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,PIWO PERLA CHMIELOWA 0_5L BUT.B/ZWROT.,27,1.66
15904,ICE_CREAMS_FROZEN,LODY MAGNUM CLASSIC,7,4.29
13521,GENERAL_FOOD,WIN SOS MYSLIWSKI 33GR,2,2.29
18788,SWEETS,BATONIK POWER 30 G,1,0.66
16119,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,WODA CISOWIANKA 1_5 L N/GAZ.,24,0.825
2374,CHEMISTRY,PASTA ELMEX JUNIOR,2,8.44
20861,SWEETS,WAFLE GORALKY 50G CZEKOLADOWE,34,0.57
19463,SWEETS,ANDRUTY   FURMANIAK,64,0.68
5581,CIGARETTES,PAP PAL MAL BLUE,4,9.87
19872,SWEETS,BATON NESLIK 25 G CHOCO,1,0.85
15715,ICE_CREAMS_FROZEN,LODY ICE FRESH 200 ML,8,2.59
19212,SWEETS,NASZYJNIK Z CUKIERKAMI,1,5.13
1941,CHEMISTRY,PLASTRY FAMILI,2,3.71
4664,CHIPS_FLAKES,CHRUPKI 80 G,3,1.24
2210,CHEMISTRY,PAPIER SAMOPRZYLEPNY -8 KARTEK,2,2.49
9861,DRINK_JUICE,PIWO KARMI 0_4 ZURAWINA,3,1.99
16897,GENERAL_ITEMS,DANIE KACHNY PULPETY,8,2.81
5565,CIGARETTES,PAP CHESTERFILD RED,34,9.92
9645,DRINK_JUICE,NAP TYMBARK 1 L  WISNIA JABLK0,4,1.81
16873,GENERAL_ITEMS,DANIE KACHNY FLACZKI W ROSOLE,1,3.9
22317,ALCOHOL,WODKA WYBOROWA 0_5 L,3,16.74
8749,DRINK_JUICE,NAP AQA 1_5 L N/G TRUSKAWKA,6,0.73
22859,ALCOHOL,NAP SPIR SOPLICA WISNIOWA 0_5 L,5,16.458
1562,POULTRY,PIEROGI Z SEREM/OWOC TACKA 4000GR,5,4.19
21724,VEGETABLES,KT JABLKO CZERWONE,81.52,3.2098871442590804
19684,SWEETS,CIASTKA HIT 220 G B.CZEKOLADA I MALINA,1,3.34
21986,VEGETABLES,KT KIWI,12,0.9
9386,DRINK_JUICE,NAP BLACK 250ML PUSZKA,19,1.62
22052,VEGETABLES,KT FASOLA ZÓLTA,4.55,4.4
3495,CHEMISTRY,PATYCZKI HIGIENICZNE 200 SZT MEA,3,1.35
7731,DAIRY_CHESSE,ALMETTE SMIETANKOWY 150G,12,3.015
8252,DAIRY_CHESSE,MAJONEZ 280 G FAMILIJNY,6,1.72
14075,GROATS_RICE_PASTA,SONKO KASZA JECZMIENNA 4X100G WIEJSKA,10,1.16
7300,DAIRY_CHESSE,SER FAVITA 270G,9,2.78
13041,GENERAL_FOOD,CREMONA LIGHTS 200G,1,2.3
2015,CHEMISTRY,BREF 4-FORMULA LEMON,1,2.65
23132,ALCOHOL,SZAMPAN DORATO ROZOWE P/SLODKIE 0_75 L,1,7.86
14055,GROATS_RICE_PASTA,MAKARON CZANIECKI NITKA WALCOWANA 500G,3,3.98
10362,DRINK_JUICE,NAP CAPRIO ROZOWY GREJFRUT 2L,7,2.78
4313,CHEWING_GUM_LOLIPOPS,GUMA ARBUZ,26,0.19
17113,POULTRY,KIE?BASA ZIELONOGÓRSKA KG,0.8,14.5
13943,GENERAL_FOOD,PIECZYWO WASA LEKKIE PSZENNE,3,2.96
341,ALCOHOL,PIWO NAMYS?OW 0_5 B/BEZW,17,1.33
1223,BREAD,BULKA MALA/KAJZERKA__,2611,0.503937188816545
20199,SWEETS,PRINCE POLO XXL ORZECHOWE 50G,14,0.8
4748,CHIPS_FLAKES,WYKA?ACZKI,5,0.75
5204,CIGARETTES,PAP WINSTON RED,6,9.86
15808,ICE_CREAMS_FROZEN,FRYTKI KULECZKI ZIEMNIACZANE 600 AVIKO,3,4.71
6339,COOKIES_BULK,ROZKI NADZIEWANE FLIS LUZ,0.44,15.1363636363636
23139,ALCOHOL,WINO GRZANE RUMOWE 1 L,1,8.1
19554,SWEETS,KULE RUMOWE,15,0.93
19278,SWEETS,ZAJAC MA?Y 30 G,25,1.12
3514,CHEMISTRY,PLYTA CD I DVD,3,0.83
6859,DAIRY_CHESSE,JOGURT OW.WYSPA 150 G,9,1.65444444444444
2682,CHEMISTRY,MYDLO LUKSJA CREAM 100 G,5,0.8
14811,ICE_CREAMS_FROZEN,BARSZCZ UKRAINSKI 450G NORDIS,1,3.43
11720,GENERAL,KLEJ SUPER GLU,6,1.10333333333333
9666,DRINK_JUICE,PUDL SOK POMIDOROWY 300 G,12,1.74
10941,POULTRY,FILETY SLEDZIOWE W POMIDZ.170 G,1,2.51
16242,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,PIWO PERLA EKSPORT 0_5L BUT.BEZZWROTNA,15,1.65
22330,ALCOHOL,NAP SPIR ABSOLWENT POZIOMAKA 0_1 30%,95,3.0684210526315803
15282,ICE_CREAMS_FROZEN,LODY KUBUS,1,0.8
3114,CHEMISTRY,PUR 900 ML DLON+PAZN,3,3.45
22314,ALCOHOL,WODKA STOCK 0_7L,2,24.99
7984,DAIRY_CHESSE,DA FANTASIA Z CZEKOLADA 110G,6,1.22
19215,SWEETS,ORANZADA W PROSZKU ROZEK,13,0.73
16937,POULTRY,SMAKOSZKI KG,0.23,29.304347826087
15995,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,BULKA TARTA MAMUT 450 G,9,1.87
8332,DAIRY_CHESSE,ZOTT DESER Z KORON? CZEKOLADOWY 175GR,23,0.88
2338,CHEMISTRY,HELP 300 G WHITE,2,1.39
9321,DRINK_JUICE,WODA USTRONIANKA 0_5 L GAZ MALINA,10,0.97
2347,CHEMISTRY,LUDWIK D/NACZYN 0_5 L MIETA,1,2.34
15479,ICE_CREAMS_FROZEN,LODY ROZEK JAK DAWNIEJ 180 ML,17,2.87
13249,GENERAL_FOOD,KNORR G.K.CEBULOWA Z GRZANKAMI 17 G,4,0.99
6480,DAIRY_CHESSE,JOGOBELLA EXOTIC 150G,1,1.15
6384,COOKIES_BULK,WAFLE PISZINGER VAT 8%,0.33,10.2424242424242
15575,ICE_CREAMS_FROZEN,LODY JAK DAWNIEJ 450 ML SMIE-WISN,3,6.09
22148,VEGETABLES,KT MARCHEW LUZ,97.872,1.52822053294098
1131,BREAD,PYZY DRO?D?OWE 320GR GRZESKOWIAK,22,2.19
17081,POULTRY,KRAKOWSKA SUCHA KG,0.41,25.439024390243894
8162,DAIRY_CHESSE,BAKOMA POLSKIE SMAK 120 G LESNYCH,9,0.76
23068,ALCOHOL,WINO CARLO ROSSI MUSCATO 0_75 L,2,11.89
9325,DRINK_JUICE,WODA USTRONIANKA 1_5 GAZ GRUSZKA,6,1.5
8947,DRINK_JUICE,NAP TYMBARK 2L ASEPTIC JAB/WISNIA,11,2.58
970,ALCOHOL,PIWO EB 0_5 L PUSZKA,4,2.24
21809,VEGETABLES,KT CUKINIA KG,2.56,3.8984375
1837,POULTRY,ROLNIK PAPRYKA CWIARTKI 720ML,2,3.49
16113,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,WIN MAJONEZ 700G,2,6.5
2687,CHEMISTRY,MYDLO W PLYNIE SASZETKA 500 ML ABE,1,2.25
8112,DAIRY_CHESSE,SER SMAZONY FRONCKOWIAK 200G PÓ?TLUSTY,9,3.71
17536,GENERAL_ITEMS,AMINO BLYSK OGORKOWA,2,0.92
19195,SWEETS,LIZAK KWIATEK/SWIATECZNE DUZY KOLOR,4,1.36
21669,VEGETABLES,KT SALATA,64,1.6890625
6518,DAIRY_CHESSE,SER FAVITA 270G,2,2.97
610,ALCOHOL,PIWO WARKA 0_5L BUT.JASNE PE?NE,12,1.49
14519,GROATS_RICE_PASTA,MAKARON CZANIECKI 250 G NITECZKA WALCOW,11,1.99
7004,DAIRY_CHESSE,GALEO KWASWK CYTR,8,0.55
14000,GENERAL_FOOD,WIN PAPIRUS PAPRYKA   25G,1,2.59
23023,ALCOHOL,WINO TRILVINO 0_7 CZERW/PÓLW,1,12.0
14291,GROATS_RICE_PASTA,MAK SULMA NITKA SPAGHETTI 500G,1,2.62
18614,SPICES,KAMIS BAZYLIA 10 G,4,1.12
8620,DAIRY_CHESSE,PA?ECZKI KUKURYDZIANE 60 G,1,0.99
13971,GENERAL_FOOD,SOL KUJAWSKA 1 KG JODOWANA,34,0.733823529411765
8622,DAIRY_CHESSE,POEZJA DESER CZEKOLADOWY 180 G,6,1.37
21922,VEGETABLES,KT PIETRUSZKA ZIELONA NATKA,101,0.883168316831683
7408,DAIRY_CHESSE,GOS.MLEKO PUSZKA 510 GR KRÓWKOWE S?/ZAG,1,4.89
22040,VEGETABLES,KT AVOCADO SZT,3,3.35333333333333
13026,GENERAL_FOOD,ZEL FIX 3+1 DR.OETKER,5,2.15
13061,GENERAL_FOOD,GELLWE GALARETKA AGREST 79G,1,0.94
8736,DRINK_JUICE,KUBUS 0_9 L MAR.JABL.POMAR.,6,2.37
2202,CHEMISTRY,NIVEA SZAMPON DIAMOND 250 ML,1,6.99
20094,SWEETS,CIASTKA LEIBNEZ ZOO KAKAO 100G,6,2.15
16686,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,PIWO PERLA EKSPORT 0_5L BUT.BEZZWROTNA,39,1.76
7874,DAIRY_CHESSE,MLEKO TUBA KARMEL,1,2.43
13218,GENERAL_FOOD,DZEM SL.OGROD WISNIA 280G,3,1.83
7994,DAIRY_CHESSE,FRYTKI 750 G VIKO,1,6.89
5576,CIGARETTES,PAP LUCKY STRIKE 22 RED,6,12.18
4483,CHIPS_FLAKES,LAYS STIX 40 G,3,1.3
13136,GENERAL_FOOD,SLONECZNIK CZARNY 80G ANDREX,2,0.95
14513,GROATS_RICE_PASTA,MAKA TORTOWA BASIA 1 KG,22,1.93
21914,VEGETABLES,KT MARCHEW LUZ,76.611,1.4449622116928402
4649,CHIPS_FLAKES,PRAZYNKI SPOKO 60 G,12,1.14
5238,CIGARETTES,PAP LM LINK MINT,8,11.7025
13794,GENERAL_FOOD,SKORUPKA BURACZKI MIAZGA 385G,16,1.73
9987,DRINK_JUICE,NAP FANTA ORANGE 0_5L,19,1.75578947368421
12790,GENERAL_FOOD,PIEROGI Z SEREM 400 G GRZESKOWIAK,7,4.19
7603,DAIRY_CHESSE,GOS.MLEKO UHT 3_2% 0_5L GOSTYN,18,1.59
9508,DRINK_JUICE,WODA NESTI 0_33 N/G,4,0.84
18506,SPICES,PIEPRZ ZIARNISTY  APPETITA 18 GR,2,0.88
17503,OCCASIONAL,GAZ DO ZAPALNICZEK 90 ML,1,1.64
6243,COOKIES_BULK,CUKIERKI KROWKA WAWEL/SOLIDARNOSC,0.3,14.333333333333302
317,ALCOHOL,PIWO HEINEKEN 0_5L B BEZ ZWROT,1,2.42
9070,DRINK_JUICE,NAP NAPI 0_25 BUT.JAB+MIETA,4,0.68
3370,CHEMISTRY,ZESZYT 60 K KRATKE,5,0.99
10477,DRINK_JUICE,ZBYSZKO 3 GREJPFRUTY 1_5 GAZ,3,1.86
3251,CHEMISTRY,LEP NA MUCHY BROS 1 SZT,2,0.42
9897,DRINK_JUICE,WODA ZYWIEC 0_5 L N/G SMOCZEK,9,1.21
19369,SWEETS,GUMA ROZPUSZCZALNA KREDKA,14,0.14
17771,GENERAL_ITEMS,KARMA MR CAT 415 G KURCZAK WARZYWA,1,1.31
20499,SWEETS,AMELIA PIANKA CZEKOLADA 380 G,2,5.01
18396,SPICES,CUKIER WANILIOWY 32 G CYKORIA,1,0.39
19166,SWEETS,GOPL.LANDRYNY BRANDO 90G,3,1.05
14708,ICE_CREAMS_FROZEN,SZPINAK SIEKANY 450 G,2,3.16
17738,GENERAL_ITEMS,KARMA MR DOG 415 G PUSZKA WOLOW+WARZYW,8,1.46
7735,DAIRY_CHESSE,AMINO BLYSK OGÓRKOWA 61 G,3,0.99
18850,SWEETS,JAJKO Z NIESPODZIANKA,40,2.28
21214,TABLETS,TABLETKI NUROFEN EXPRESS 10 SZT,1,6.25
13724,GENERAL_FOOD,GELLWE KWASEK CYTRYNOWY 20G,9,0.4
19557,SWEETS,LIZAK KWIATEK/SWIATECZNE DUZY KOLOR,2,1.36
7833,DAIRY_CHESSE,JOGURT ACTIVIA DRINK JAG.BOR.300G,6,1.96
17038,POULTRY,KIE?BASA PIWOSZKI  KG,0.3,22.2
11167,GENERAL,DR O KISIEL SLODKA CHWILA 32 G TRUS,1,1.18
17759,GENERAL_ITEMS,KARMA MR DOG SUPREM 500G,2,2.15
22469,ALCOHOL,NAP SPIR ZO?ADKOWA GORZKA 0_1 36%,20,4.14
22030,VEGETABLES,SUROWKA KUBEK,3,2.13
19624,SWEETS,WAFLE GÓRALKI ORZECH 50 G,30,0.65
18514,SPICES,PRYMAT OREGANO CALE 10 G,5,0.91
12486,GENERAL_FOOD,PASTA Z SUSZONYCH POMID.250G OLE,1,4.65
16243,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,POMPKA PLAY DOLADOWANIE,83,3.87
20260,SWEETS,ZELKI NIM 2 MLEKODUSZKI,7,2.46142857142857
2569,CHEMISTRY,REKLAMOWKA Z UCHWYTEM,105,0.3
18668,SPICES,GALEO ZIOLA PROWANSALSKIE 10GR,5,0.84
8789,DRINK_JUICE,NAP TIGER PUSZKA 0_25,48,1.16791666666667
3826,CHEMISTRY,E DO PLUKANIA 1_8 L KONC,1,7.75
14501,GROATS_RICE_PASTA,MAK SULMA NITKA ROSOLOWA 400G,3,2.11
5812,COFFEE TEA,KAWA INKA 150G KARTON,2,2.9
7586,DAIRY_CHESSE,DA FANTASIA Z CZEKOLADA 110G,20,1.4169999999999998
21139,TABLETS,TABLETKI IBUPROM SASZETKA 2 SZT,11,1.52
5410,CIGARETTES,PAP RGD SUPER PINK,66,10.1075757575758
6643,DAIRY_CHESSE,HOCHL.PAPRYKA 100G BLOK,8,1.69
7540,DAIRY_CHESSE,SMIETANA 18% 200G SREM,3,1.75
19721,SWEETS,GOPL CZEKOLADA MLECZNA 90G,8,2.15
17952,GENERAL_ITEMS,PODKOLANOWKI 2PARY,8,1.62
5690,COFFEE TEA,BISZKOPTY 120 G MLYNY POLSKIE,2,3.25
18754,SPICES,PRYMAT GALKA MUSZKATOLOWA CALA,1,3.07
1746,POULTRY,TUNCZYK ORKA W SOSIE WLASNYM 170 G,1,3.71
10678,DRINK_JUICE,NAP JURAJSKA ORANZADA BIALA 1_25 G,5,0.94
18017,SPICES,GALEO PRZYP.DO KURCZAKA 25G,3,0.8
13776,GENERAL_FOOD,PIWO BOJAN GRUSZKOWE 0_5 L B/ZWR,2,2.69
12685,GENERAL_FOOD,WIN POMYS? NA KURCZAK PAP ZIOLA,1,2.77
36,GENERAL_ITEMS,BELLA HERBS 12 Z WERBENA,1,2.53
13040,GENERAL_FOOD,C PYZY CIAZYNSKI,36,3.57
8491,DAIRY_CHESSE,SEREK WIEJSKI PIATNICA ZE SZCZYPIORKIEM,1,1.39
2225,CHEMISTRY,PLATKI BELLA 80+30%,2,1.99
2367,CHEMISTRY,PAPIER SAMOPRZYLEPNY -8 KARTEK,2,2.49
17077,POULTRY,KIE?BASA WIOSENNA KG,1.02,12.4411764705882
13994,GENERAL_FOOD,WIN GALARETKA AGRESTOWA 79G,2,1.4
4291,CHEWING_GUM_LOLIPOPS,GUMA AIRWAVES PORZECZKA DRAZE,12,1.25
7244,DAIRY_CHESSE,JOGOBELA MUSLI 150 G,9,1.29
17865,GENERAL_ITEMS,RAJSTOPY 60 DEN,1,5.5
9046,DRINK_JUICE,NAP ENERG ROCKSTAR 0_25 PUSZKA,6,1.29
13158,GENERAL_FOOD,VIFON DANIE W STYL.TAJSKIM,1,3.9
20955,SWEETS,GOPL FIGORKA PLASKA 30 G,195,0.63
12747,GENERAL_FOOD,KIELBASA ZYWIECKA KG,1.1,19.6636363636364
2306,CHEMISTRY,BREF KULKI BLU AKTIV,1,5.49
4795,CHIPS_FLAKES,PLATKI CHEERIOS MIODOWE 250G,1,3.47
13421,GENERAL_FOOD,KNORR FIX DO SPAG CARBONARA,2,2.48
18942,SWEETS,BATON KNOPERS 25G,56,0.88
3106,CHEMISTRY,PODPASKI BELLA NORMAL BEZ SKRZYD,2,1.29
21375,VEGETABLES,KT SELER NAC SZT,3,1.21
6679,DAIRY_CHESSE,MAR NIEZBEDNA KOSTKA 250GR,40,1.012
12639,GENERAL_FOOD,PIWO BOJAN GRUSZKOWE 0_5 L B/ZWR,3,2.3
21490,VEGETABLES,KT KAPUSTA CZERWONA KG,1.84,0.8804347826086959
2490,CHEMISTRY,HELP PLYN DO WC 750 ML,3,2.34
20540,SWEETS,CIASTKA KRAKUSKI SERDUSZKA 171 G,7,3.06
6860,DAIRY_CHESSE,JOGURT OW.WYSPA ZOTT 150 G,4,1.6725
13230,GENERAL_FOOD,HOCH KANAPKOWY MINI ZE SZCZYPIORKIEM,1,2.49
15271,ICE_CREAMS_FROZEN,LODY JAK DAWNIEJ CAFFE 900 ML,1,10.32
17029,POULTRY,KABANOSY Z DROBIEM KG,0.25,17.32
7569,DAIRY_CHESSE,BAKOMA OLEJ RZEPAKOWY,10,4.44
10747,DRINK_JUICE,WODA ZYWIEC 0_5 L N/G CYTRYNA,4,1.28
1151,BREAD,C BULKA TARTA,4,1.35
21933,VEGETABLES,KT SELER LUZ,19.925,2.21430363864492
19535,SWEETS,GRZESKI MEGA KAKAO,32,0.65
16727,KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH,CZEK AMELIA MLECZNA NADZIIEWANA 100G,4,1.44
11073,POULTRY,PAPRYKARZ SZCZECINSKI 310 G FALA,1,3.7
11151,POULTRY,PASZTET LOSOSIOWY 160 G,1,1.77
4122,CHEWING_GUM_LOLIPOPS,LOD W KOSTKACH PACZKA,3,2.54
21689,VEGETABLES,SKORUPKA KAPUSTA FOLIA 1 KG,4,2.4
10438,DRINK_JUICE,PRYMAT SOS SALATKOWY CZOSNKOWY,5,0.61
9218,DRINK_JUICE,NAP HOOP COLA 2L,5,2.15
19326,SWEETS,CIASTKA DESSIMO MALINA 135 G,7,1.31
