Index,cast,revenue
1028, Ben Foster,63100000
996, Helena Bonham Carter,245527149
1050, Matt Bush,8493728
1022, Nestor Serrano,81272766
1064, Lucas Black,8138788
985, Mila Kunis,549368315
987, Ewan McGregor,180274123
1039, Malin Ã…kerman,24159934
1040, Alisa Khazanova,127730736
1050, Jean-Luc Bilodeau,8493728
1009, Kara Hayward,68263166
1064, Frances McDormand,8138788
1006, Anthony Mackie,112265139
996, Michelle Pfeiffer,245527149
1056, Jeffrey Dean Morgan,44806783
1038, Lennie James,32204030
985, Joel McHale,549368315
1014,Taylor Kitsch,284139100
1044, Benicio del Toro,47000000
994, Dolph Lundgren,312573423
1000, Matthew McConaughey,167221571
1034, Brendan Gleeson,118338361
1019, Rosamund Pike,301000000
1033,Nicolas Cage,2106557
1043, Ryan Reynolds,208076205
986, Richard Jenkins,218340595
1030, Jessica Chastain,53676580
1064,Matt Damon,8138788
998, Victor Garber,232324128
1054, Sigourney Weaver,16863583
1016, Taylor Lautner,829000000
1004, Luis GuzmÃ¡n,355692760
1046, Abbie Cornish,19422261
1008,Zac Efron,348840316
972, Gary Oldman,1081041287
998,Ben Affleck,232324128
1020,Kathryn McCormick,140470746
973, Kerry Washington,425368238
1006,Benjamin Walker,112265139
1029, David Schwimmer,746921274
1007, Timothy Spall,8106475
1057, Chris Diamantopoulos,54819301
998, Bryan Cranston,232324128
1054,Henry Cavill,16863583
1027, Jonathan Daniel Brown,100000000
1000, Olivia Munn,167221571
1020, Megan Boone,140470746
1069, Jamie Chung,31083599
1018, Ewan McGregor,33372606
978, Robert De Niro,205738714
1074, Jerry Ferrara,96070507
1058, Jean Smart,114281051
1059, Cliff Curtis,22044277
980, Julie Walters,538983207
976,Ian McKellen,1017003568
1051, Natasha Calis,85446075
1025, Brooklyn Decker,79700000
1051, Kyra Sedgwick,85446075
1058, Steve Carell,114281051
980, Kevin McKidd,538983207
1032, Diego Boneta,59418613
1071, Matt Shively,142817992
970, Chris Evans,1519557910
997,Logan Lerman,33400000
1011, Alexander SkarsgÃ¥rd,303025485
996, Jackie Earle Haley,245527149
1043, Joel Kinnaman,208076205
1026, Aasif Mandvi,179379533
1010, Wood Harris,41037742
1006, Rufus Sewell,112265139
991,Jennifer Lawrence,691210692
1070, Zoe Saldana,13231461
971,Kate Beckinsale,132400000
1018, Michael Fassbender,33372606
1060, Matthew Fox,30353232
970, Chris Hemsworth,1519557910
1061, Patrick Fischler,36893721
1070, Olivia Wilde,13231461
1028, Kate Beckinsale,63100000
1024, Natalie Martinez,48126384
982,Channing Tatum,201585328
1041, Martin Landau,81491068
1057,Sean Hayes,54819301
1041,Charlie Tahan,81491068
1042, Leighton Meester,58058367
1040, Mary Stockley,127730736
1032,Tom Cruise,59418613
1010, Olivia Thirlby,41037742
1031, Luke Evans,29657751
1024, Anna Kendrick,48126384
996,Johnny Depp,245527149
1048, Frank Grillo,3428048
990, Emma Thompson,624026776
977, Michael Fassbender,403170142
1023,Adam Sandler,358375603
1048,Jason Bateman,3428048
978, Jacki Weaver,205738714
1050, Katrina Bowden,8493728
1049,Chris Pine,12434778
992, Jessica Biel,198802074
1015, Bruce Willis,47042000
982, Dave Franco,201585328
1065, Steve Zahn,77112176
972, Anne Hathaway,1081041287
1005, Robert John Burke,40346186
1068, Chelsea Handler,11417362
991, Liam Hemsworth,691210692
1009,Bruce Willis,68263166
1037, Maude Apatow,88058786
1034, Jeremy Piven,118338361
1051, Madison Davenport,85446075
1055, Monica Raymund,35485056
1035,Joaquin Phoenix,28258060
999, Alyson Hannigan,234989584
1033, Malin Ã…kerman,2106557
1046, Sam Rockwell,19422261
1055, Susan Sarandon,35485056
1065, Peyton List,77112176
1059, Clark Duke,22044277
1010,Karl Urban,41037742
974, Ralph Fiennes,1108561013
1035, Amy Adams,28258060
985, Giovanni Ribisi,549368315
984, Chris Wedge,877244782
994, Arnold Schwarzenegger,312573423
1015, Paul Dano,47042000
1009, Jared Gilman,68263166
995,Liam Neeson,376141306
997, Emma Watson,33400000
1043,Denzel Washington,208076205
988, Sarah Silverman,471222889
978,Bradley Cooper,205738714
1054, VerÃ³nica Echegui,16863583
1077, Juliette Binoche,6063556
1030, Tom Hardy,53676580
974,Daniel Craig,1108561013
1042, Eva Amurri Martino,58058367
1012, Anne Hathaway,441809770
1062, Pauline Collins,59520298
1077,Robert Pattinson,6063556
1032, Julianne Hough,59418613
1060,Tyler Perry,30353232
1025,Cameron Diaz,79700000
1030, Guy Pearce,53676580
1011, Rihanna,303025485
980,Kelly Macdonald,538983207
1069, Dania Ramirez,31083599
1056, Josh Hutcherson,44806783
1066, RubÃ©n Blades,9622846
1029,Ben Stiller,746921274
1049, Michelle Pfeiffer,12434778
1037, Megan Fox,88058786
993, Jim Sturgess,130482868
1045, Ed Harris,46221189
1001,Kristen Connolly,66486080
1066, Peter O'Toole,9622846
1069,Joseph Gordon-Levitt,31083599
1076, Tom Felton,9627492
1063, Casey Affleck,107139399
1024,Jake Gyllenhaal,48126384
1001, Jesse Williams,66486080
1018, Bill Paxton,33372606
1008, Ed Helms,348840316
983, Gautam Belur,609016565
970,Robert Downey Jr.,1519557910
1040,Daniel Radcliffe,127730736
1063, Jodelle Ferland,107139399
973, Samuel L. Jackson,425368238
1002, Jude Law,306941670
1080, Mia Moretti,32726956
1059,Eddie Murphy,22044277
1037, Jason Segel,88058786
1055, Tim Roth,35485056
1064, Rosemarie DeWitt,8138788
1001, Anna Hutchison,66486080
1078, Michelle Rodriguez,240159255
977, Idris Elba,403170142
1009, Bill Murray,68263166
995, Luke Grimes,376141306
1075, 50 Cent,4636169
987, Oaklee Pendergast,180274123
1047, Kristen Bell,24719215
1001, Fran Kranz,66486080
1044, Aaron Taylor-Johnson,47000000
1042, Susan Sarandon,58058367
971, Theo James,132400000
997, Ezra Miller,33400000
1062, Michael Gambon,59520298
1040, Sidney Johnston,127730736
1007, Jim Sturgess,8106475
1076, Luke Pasqualino,9627492
1029, Chris Rock,746921274
1072, Kirsten Dunst,8784318
1013, Lily Collins,183018522
1065,Devon Bostick,77112176
1071, Brady Allen,142817992
1013,Julia Roberts,183018522
1039, Justin Theroux,24159934
1052, Radha Mitchell,52302796
1027, Dax Flame,100000000
1035, Philip Seymour Hoffman,28258060
1074, Kevin Hart,96070507
1065, Rachael Harris,77112176
1078, Sienna Guillory,240159255
986, Rosamund Pike,218340595
1062,Maggie Smith,59520298
1052, Carrie-Anne Moss,52302796
977, Guy Pearce,403170142
992, Kate Beckinsale,198802074
1050,Danielle Panabaker,8493728
1026,Sacha Baron Cohen,179379533
1061,Katherine Heigl,36893721
1023, David Spade,358375603
1077, Paul Giamatti,6063556
1042,Adam Sandler,58058367
1079,Whitney Houston,24637469
1016,Kristen Stewart,829000000
1029, Frances McDormand,746921274
1079, Cee Lo Green,24637469
1032, Bryan Cranston,59418613
1074, Regina Hall,96070507
1021, Anna Wood,145000000
1069, WolÃ© Parks,31083599
1068,Victoria Justice,11417362
992, Bill Nighy,198802074
1043, Brendan Gleeson,208076205
998, Alan Arkin,232324128
1040, CiarÃ¡n Hinds,127730736
1073, Marisa Tomei,119772232
1023, Selena Gomez,358375603
1020, Stephen Boss,140470746
1074, Meagan Good,96070507
1033, Sami Gayle,2106557
999, Thomas Ian Nicholas,234989584
998, John Goodman,232324128
981,Kristen Stewart,396600000
1016, Elizabeth Reaser,829000000
975,Jeremy Renner,276572938
995, Maggie Grace,376141306
1015, Emily Blunt,47042000
1047, Dermot Mulroney,24719215
1025, Anna Kendrick,79700000
1072, Tom Sturridge,8784318
1070,Bradley Cooper,13231461
1059, Kerry Washington,22044277
999, Chris Klein,234989584
1026, Megan Fox,179379533
995, Rade Serbedzija,376141306
1011, Brooklyn Decker,303025485
1052,Adelaide Clemens,52302796
1038, Maggie Grace,32204030
990, Tommy Lee Jones,624026776
1003, Jessica Lange,196114570
988,John C. Reilly,471222889
983, Irrfan Khan,609016565
1073, Bette Midler,119772232
1003, Scott Speedman,196114570
1072, Garrett Hedlund,8784318
975, Stacy Keach,276572938
1066, Andy GarcÃ­a,9622846
1008, Danny DeVito,348840316
992, Bryan Cranston,198802074
1035, Jesse Plemons,28258060
1066, Oscar Isaac,9622846
1047, John Krasinski,24719215
1045, Jamie Bell,46221189
990,Will Smith,624026776
983, Ayush Tandon,609016565
1036, Jason Segel,53909751
1024, Michael PeÃ±a,48126384
1041, Catherine O'Hara,81491068
1016, Peter Facinelli,829000000
1080,Katy Perry,32726956
994, Bruce Willis,312573423
1055,Richard Gere,35485056
1038, Peter Stormare,32204030
1071, Sprague Grayden,142817992
1061, Sherri Shepherd,36893721
1015,Joseph Gordon-Levitt,47042000
1019, Edgar RamÃ­rez,301000000
1073,Billy Crystal,119772232
982, Jonah Hill,201585328
1036, Rhys Ifans,53909751
994,Sylvester Stallone,312573423
1006, Dominic Cooper,112265139
1079, Mike Epps,24637469
981, Sam Claflin,396600000
1010, Jason Cope,41037742
1026, Anna Faris,179379533
986, David Oyelowo,218340595
1056, Isabel Lucas,44806783
1026, Sayed Badreya,179379533
1035, Laura Dern,28258060
977, Charlize Theron,403170142
1049, Elizabeth Banks,12434778
989,Anna Kendrick,115350426
988, Jane Lynch,471222889
1075, Josh Duhamel,4636169
976, Martin Freeman,1017003568
1062, Tom Courtenay,59520298
1021, Alex Russell,145000000
1056,Chris Hemsworth,44806783
1049, Olivia Wilde,12434778
1011, Tadanobu Asano,303025485
1015, Noah Segan,47042000
974, Naomie Harris,1108561013
1048, Paula Patton,3428048
975, Edward Norton,276572938
1080, Russell Brand,32726956
1031, Brendan Gleeson,29657751
1023, Kevin James,358375603
1030, Mia Wasikowska,53676580
1051,Jeffrey Dean Morgan,85446075
999, Seann William Scott,234989584
1068, Jackson Nicoll,11417362
1016, Robert Pattinson,829000000
1021,Dane DeHaan,145000000
982, Ellie Kemper,201585328
976, Cate Blanchett,1017003568
1036, Alison Brie,53909751
1028,Mark Wahlberg,63100000
981, Chris Hemsworth,396600000
1037,Paul Rudd,88058786
1061, Debbie Reynolds,36893721
975, Scott Glenn,276572938
1072,Kristen Stewart,8784318
974, Judi Dench,1108561013
993, Halle Berry,130482868
1013, Nathan Lane,183018522
975, Rachel Weisz,276572938
1018,Gina Carano,33372606
1050, David Koechner,8493728
1053, Ben Mendelsohn,37930465
1073, Tom Everett Scott,119772232
991, Elizabeth Banks,691210692
1057, Jane Lynch,54819301
1004, Josh Hutcherson,355692760
1005,Jason Statham,40346186
1005, Catherine Chan,40346186
1037, Leslie Mann,88058786
979, Denis Leary,752215857
972,Christian Bale,1081041287
1031,John Cusack,29657751
979,Andrew Garfield,752215857
979, Rhys Ifans,752215857
972, Michael Caine,1081041287
1077, Samantha Morton,6063556
1012, Sacha Baron Cohen,441809770
1078,Milla Jovovich,240159255
1002,Chris Pine,306941670
1012, Russell Crowe,441809770
1048, Hope Davis,3428048
1078, Aryana Engineer,240159255
989, Skylar Astin,115350426
1008, Taylor Swift,348840316
971, Michael Ealy,132400000
977,Noomi Rapace,403170142
1028, Giovanni Ribisi,63100000
1022, Alexander Asefa,81272766
1029, Sacha Baron Cohen,746921274
1071,Katie Featherston,142817992
985, Seth MacFarlane,549368315
1038,Guy Pearce,32204030
1014, Mark Strong,284139100
1005, James Hong,40346186
1025, Elizabeth Banks,79700000
1031, Alice Eve,29657751
1076, Sebastian Stan,9627492
1019, Liam Neeson,301000000
1070, Dennis Quaid,13231461
996, Jonny Lee Miller,245527149
980, Billy Connolly,538983207
1012, Amanda Seyfried,441809770
1012,Hugh Jackman,441809770
986,Tom Cruise,218340595
997, Paul Rudd,33400000
1004, Kristin Davis,355692760
984, Ray Romano,877244782
972, Tom Hardy,1081041287
1017, Jason Clarke,132820716
1052, Sean Bean,52302796
993,Tom Hanks,130482868
1044,Blake Lively,47000000
1001, Chris Hemsworth,66486080
1057, SofÃ­a Vergara,54819301
1010, Lena Headey,41037742
1079, Derek Luke,24637469
1019, Ralph Fiennes,301000000
978, Jennifer Lawrence,205738714
1011,Taylor Kitsch,303025485
988, Jack McBrayer,471222889
1013, Martin Klebba,183018522
1032, Alec Baldwin,59418613
1004, Vanessa Hudgens,355692760
1075,Bruce Willis,4636169
1048, Michael Nyqvist,3428048
981, Ian McShane,396600000
1038, Joseph Gilgun,32204030
1009, Edward Norton,68263166
1075, Vincent D'Onofrio,4636169
1060, Giancarlo Esposito,30353232
1053,Brad Pitt,37930465
1053, James Gandolfini,37930465
1006, Mary Elizabeth Winstead,112265139
1063, Anna Kendrick,107139399
1060, Jean Reno,30353232
1034, Brian Blessed,118338361
1045, Edward Burns,46221189
1014, Willem Dafoe,284139100
1046,Colin Farrell,19422261
1024, David Harbour,48126384
1018, Channing Tatum,33372606
1008, Rob Riggle,348840316
997, Nina Dobrev,33400000
1047,Drew Barrymore,24719215
1056, Adrianne Palicki,44806783
984, Seann William Scott,877244782
1021, Michael B. Jordan,145000000
1022, Gonzalo Menendez,81272766
990, Josh Brolin,624026776
994, Jason Statham,312573423
1002, Hugh Jackman,306941670
1072, Sam Riley,8784318
1071, Kathryn Newton,142817992
