Subtitle,Item #,Description,On Hand,Special,Disc. %
Centrefire Rifles,TTT71RL103,TIKKA T3 SS FLUTED 300 WSM,1.0,845.0,19.52000046
Rimfire Rifles,SAV40060,SAVAGE 64F LEFT HAND SEMI 22LR,1.0,180.0,20.0
Centrefire Rifles,NOS39648,NOSLER 48 LIBERTY 28 NOSLER,1.0,1900.0,17.20999908
Rimfire Rifles,H003T,HENRY PUMP 22LR OCT,1.0,480.0,29.40999985
Shotguns,R25012,REM 870 MARINE MAG 12GA,1.0,796.0,20.0
Restricted Firearms,G22GEN4FS,GLOCK 22 GEN 4 FIXED SIGHTS,1.0,875.0,17.84000015
Rimfire Rifles,21001102,BROWNING AUTO 22 GRADE 1 22LR,1.0,725.0,12.64999962
Rimfire Rifles,SAV45110,SAVAGE 64FV-SR SEMI 22LR,2.0,252.0,20.0
Shotguns,FRA0426200,"FRANCHI INTENSITY 12 GA 3.5"" 28""",1.0,1270.75,15.00000095
Shotguns,7H31816215040,"BERETTA A350 XTREMA SYN 12 GA 28""",1.0,1250.0,27.54000092
Restricted Firearms,1911-22-OD-TB,SIG 1911 22 OD TB,3.0,399.0,42.91999817
Centrefire Rifles,TS3202900,TIKKA T3 SYN 30-06,1.0,675.0,19.63999939
Shotguns,BEN20071,"BENELLI NOVA MAX-5 12 GA 3.5"" 28""",1.0,620.0,20.0
Shotguns,512299395,"WINCHESTER SXP ULT MAR DEF,12-3,18 INV+1",2.0,504.0,20.0
Shotguns,ST20000,"BENELLI NOVA 3.5"" 12 GA 28""",1.0,528.0,20.0
Centrefire Rifles,JRTV141,TIKKA T3 CAMO STAINLESS 300 WSM,2.0,895.0,20.44000053
Shotguns,DEMOM2,"BENELLI M2 TAC 18"" 12GA",1.0,875.0,32.68999863
Centrefire Rifles,35201246,BROWNING X-BLT STLKR 300 WSM,2.0,892.5,15.00000095
Restricted Firearms,BM90831,BUSHMASTER XM15 PATROLMAN 223/5.56,1.0,1095.0,27.0
Shotguns,20051,"BENELLI NOVA TACT 3.5"" 12GA",1.0,476.0,20.0
Shotguns,12271204,"BROWNING BPS 12GA 3.5"" MAG MOSG",1.0,930.75,15.00000095
Centrefire Rifles,JRS2Q41,SAKO 85 FINNLIGHT 300 WSM,1.0,1950.0,15.22000027
Rimfire Rifles,SAV96705,SAVAGE 93R17 BVSS 17 HMR,1.0,479.2,20.0
Centrefire Rifles,R27269,REM 700 SPS SS 30-06 SPRG,2.0,785.0,18.22999954
Rimfire Rifles,SAV96712,SAVAGE 93R17 FSSNS 17 HMR,1.0,356.0,20.0
Centrefire Rifles,35202231,BROWNING X-BLT SS 338 WIN MAG,2.0,1168.75,15.00000095
Shotguns,MKA1919KM,MKA 1919 KEY MOD 12GA,1.0,892.5,15.00000095
Centrefire Rifles,SAV19234,SAVAGE AXIS XP 30-06 SPRG,2.0,425.0,15.0
Centrefire Rifles,TS3203100,TIKKA T3 SYN 300 WIN MAG,1.0,675.0,19.63999939
Shotguns,MOS51672,MOSSBERG 590 TACT 12G ADJ STK,1.0,656.0,20.0
Centrefire Rifles,R27273,REM 700 SPS SS 300 WIN,1.0,785.0,18.22999954
Centrefire Rifles,SAV19579,SAVAGE AXIS WEB 7mm-08 REM,1.0,375.0,25.0
Rimfire Rifles,SAV96703,SAVAGE 93R17 FVSS 17 HMR,2.0,456.0,20.0
Centrefire Rifles,35800246,BROWNING A-BLT 3 STLKR 300 WSM,1.0,573.75,15.00000095
Rimfire Rifles,SAV40001,SAVAGE 64F SEMI 22LR,1.0,184.0,20.0
Shotguns,11403204,"BROWNING SILVER MOSGB DT,12-3.5,28 +",1.0,1355.75,15.00000095
Centrefire Rifles,SAV22228,SAVAGE AXIS-II XP 30-06 SPFD,1.0,500.0,16.67000008
Centrefire Rifles,R84078,REM 700 CDL DM 7mm REM MAG,1.0,695.0,39.56999969
Rimfire Rifles,SAV96901,SAVAGE BMAG SYN 17 WSM,2.0,408.0,20.0
Restricted Firearms,W227R-45-BSS,SIG SAUER P227R 45 ACP,1.0,1150.0,13.21000004
Rimfire Rifles,SAV45200,SAVAGE 64 TR SR SEMI 22LR,2.0,360.0,20.0
Rimfire Rifles,SAV28700,SAVAGE MKII FV 22 LR,3.0,265.0,14.52000046
