Index,genres,imdb_score
1036, Mystery,6.3
263, Music,5.4
957, Drama,6.6
2269, Thriller,5.7
3280, Musical,8.0
1571,Drama,8.5
2199, Drama,6.2
2000,Crime,6.5
4546, Drama,6.2
1572,Comedy,6.3
2119, War,7.8
2456, Thriller,6.7
703, Drama,6.8
71, Western,4.8
330, History,7.7
3198,Comedy,6.5
1715, Drama,6.5
3278, Thriller,7.5
1267,Comedy,6.1
4353, Crime,7.8
1143, Musical,7.5
1313,Comedy,5.8
1065,Comedy,5.7
4419,Crime,6.5
4381, Drama,7.5
2331, Drama,6.4
1120, Mystery,6.8
2815, Drama,7.0
706, Drama,7.9
2099, Horror,6.0
580,Comedy,5.3
3262, Thriller,6.9
3038,Crime,7.6
667, Family,6.1
1549, Thriller,6.2
4361, Fantasy,7.3
209,Adventure,6.4
2850,Adventure,4.9
2973, Romance,7.8
1574, Drama,6.3
4248, Horror,5.1
4399,Drama,5.4
3154, Family,5.9
2367,Comedy,6.1
4240, Drama,7.6
82, Family,7.0
793,Horror,6.7
438, Adventure,7.1
1503, Mystery,6.3
3305, Drama,6.2
2788,Comedy,4.6
232, Sport,6.1
2890, War,4.3
287,Action,5.7
1111, Comedy,5.9
238, Fantasy,8.1
462, History,7.2
1216, Romance,5.9
3465, Adventure,6.7
2319,Biography,7.0
413,Adventure,6.7
271,Action,5.8
2244, Romance,6.3
288, Sci-Fi,8.5
950,Drama,6.2
1078,Comedy,5.7
1829,Comedy,5.7
2826,Comedy,7.2
3511,Drama,6.8
2493, Adventure,7.9
698,Adventure,6.6
2527, Sci-Fi,5.5
3398,Animation,7.3
421, Thriller,5.5
4230,Drama,5.9
3784, Thriller,7.1
1367,Action,5.2
2371,Adventure,3.6
2274, Crime,6.2
916, Adventure,5.1
509,Adventure,8.5
2588, Fantasy,7.3
4631,Crime,7.0
3723, Family,5.0
2222,Crime,7.3
2665, Family,6.7
1083, Romance,5.5
4891,Drama,7.0
1182,Action,6.6
824, Adventure,5.9
3236, Romance,5.9
4684, Drama,5.2
1898, Drama,7.8
710,Comedy,6.3
2544, Romance,6.4
141, Adventure,6.9
4542, Thriller,6.0
1084, Drama,8.1
4563,Comedy,5.6
533, Family,4.1
1191, Comedy,4.1
2660, Romance,7.4
1142,Drama,5.6
348, War,6.0
1750, Animation,5.9
3355, Drama,8.9
1405, Comedy,5.4
1098,Comedy,6.3
1095, Fantasy,7.2
1348, Drama,7.6
2842, Crime,6.8
432, Thriller,6.1
22, Drama,6.7
1849, Romance,6.5
358, Comedy,7.0
1735,Biography,7.9
2441,Action,4.4
1676, Romance,5.1
1368,Drama,7.7
930, Romance,7.3
995, Crime,4.3
310, War,7.2
893,Drama,7.7
968, Sci-Fi,6.1
2263, Romance,5.6
3525,Comedy,2.3
485, Fantasy,7.0
596, Sci-Fi,5.6
3970, War,8.2
1045, War,7.1
4376,Drama,6.7
886, Family,6.4
2597,Drama,5.9
1151, Mystery,6.8
3767, Drama,6.4
2105, Sci-Fi,6.9
2463, Drama,7.2
2047, Fantasy,8.2
1268, Crime,6.0
2515,Horror,6.5
7,Adventure,7.8
2746,Action,4.5
3310, Music,5.4
4268,Drama,6.8
936, Sci-Fi,7.1
467, Comedy,5.6
3710, Crime,7.3
103,Adventure,6.6
2154, Sci-Fi,7.7
706, Thriller,7.9
1581, Thriller,7.3
318, Thriller,5.3
1874,Biography,8.9
2810,Action,6.5
522, Adventure,6.9
3865, Thriller,5.9
1311, Mystery,6.2
1290, Romance,6.4
1791, Drama,6.5
1138, Mystery,7.8
201, Comedy,7.3
1667, Mystery,7.1
3659, Crime,7.1
1646, Thriller,6.6
1847,Action,5.2
3697,Horror,6.6
4984,Comedy,6.6
3401, Comedy,6.0
3704, Thriller,7.1
1787, Sci-Fi,4.9
4328, Thriller,7.7
214, Sci-Fi,7.5
79, Drama,7.8
1921, Romance,5.8
1084,Crime,8.1
2787, Mystery,5.0
668, History,6.0
3299, Drama,6.7
1608, Romance,4.2
2946, Music,5.9
2256,Action,7.8
1584,Comedy,6.9
565,Crime,5.9
1284, Comedy,6.2
3972,Adventure,6.8
1750, Drama,5.9
2079, Comedy,7.1
1911,Drama,8.1
3362, Drama,8.1
516, Family,7.8
2227, Romance,5.9
4499, Drama,7.9
2471,Action,6.7
1647, Fantasy,7.2
1196, Thriller,7.8
2093, Thriller,7.0
1745, Horror,4.9
2169,Drama,7.0
373, Sci-Fi,7.1
1013,Action,6.6
4830, Drama,7.1
3365, Crime,7.6
3622, Romance,5.3
1829, Drama,5.7
7, Family,7.8
938, Romance,6.4
2399, Fantasy,3.1
1914,Action,5.8
1503, Drama,6.3
4541, Mystery,5.9
1467,Comedy,6.3
4928,Crime,5.5
1615, Crime,7.4
76,Action,6.1
1100, Romance,5.6
2867,Comedy,6.4
1366, Sport,7.3
2923, Sci-Fi,7.7
1515, Adventure,5.2
1854, Romance,5.7
3363, Horror,7.6
56, Animation,7.2
2185, Family,5.4
592,Action,6.0
3704,Mystery,7.1
1670, Comedy,7.3
5042,Documentary,6.6
2147, Thriller,7.1
1748, Crime,7.9
3483,Action,6.8
3128,Crime,7.2
2312, Sport,7.2
1503, Thriller,6.3
4537, Adventure,7.3
1771,Comedy,6.3
2059, Comedy,7.5
368, Fantasy,6.8
1760, Romance,5.2
2525,Biography,6.9
958, Thriller,7.0
605,Drama,6.1
4043, Drama,7.5
752, Family,7.0
2628,Adventure,5.4
603, Thriller,6.2
4594,Horror,6.4
2886, Drama,7.1
4195, Drama,7.1
2501,Drama,5.6
4489, Sci-Fi,5.5
1, Fantasy,7.1
202,Adventure,7.5
2174, History,8.1
1338, Drama,7.4
4008, Romance,6.5
4406,Comedy,7.4
4858, Romance,6.7
2270, Comedy,6.6
812, Comedy,8.1
680, Drama,6.7
2688, Romance,6.2
4754,Drama,6.1
1334, Sci-Fi,8.0
654, Sci-Fi,8.7
4747, Adventure,8.7
989, Family,3.5
1814, Thriller,6.9
2237,Comedy,6.8
2703, Crime,8.2
3634, Sci-Fi,3.8
2040,Comedy,4.9
3185, Romance,4.1
146,Adventure,6.9
1291, Crime,5.9
1330, Romance,7.1
328, Comedy,6.8
2770,Horror,5.5
3434,Comedy,7.4
1088, Comedy,7.1
1369, Thriller,7.6
3696, Thriller,6.6
3750,Action,6.8
327, History,7.6
2547,Adventure,7.8
472, Family,4.6
1140,Crime,7.5
2558, Comedy,7.9
1648, Drama,7.6
3360, Fantasy,6.2
1194, Thriller,7.6
1857, Romance,5.2
1086, Comedy,7.3
964, Family,4.7
2764, Romance,6.9
2728,Crime,6.7
578,Adventure,7.1
3244,Comedy,6.7
365, Thriller,7.6
3784, Horror,7.1
3355,Crime,8.9
797,Action,6.6
889, Romance,7.7
984, Thriller,5.9
270,Action,8.8
4301,Comedy,5.8
2048, Comedy,7.7
1343, Mystery,6.6
86,Action,7.8
1492, Drama,5.7
1980, History,7.7
1920, Sci-Fi,6.5
506,Action,5.6
5011, Drama,7.3
3418,Crime,6.0
2832, Comedy,7.3
2766,Action,5.5
140, Adventure,4.2
2449, Drama,7.9
2763, Thriller,6.9
100, Thriller,6.7
2228, Horror,6.5
4987, Romance,6.3
1531, Horror,5.3
576,Drama,6.9
546, Drama,6.6
945, Musical,6.0
2103,Crime,6.6
1097, Thriller,5.4
3935,Drama,7.0
823,Comedy,6.3
183, Thriller,8.1
2167,Comedy,7.1
2026,Comedy,7.2
675, Horror,5.9
4723,Drama,6.5
3143, Family,5.5
2371, Comedy,3.6
1857,Comedy,5.2
139, Comedy,7.3
2099, Sci-Fi,6.0
2638, Thriller,7.7
4280,Horror,5.7
241,Adventure,7.3
1239, Crime,5.9
4758,Comedy,4.6
1606,Drama,7.9
3659, Drama,7.1
1020, Drama,5.9
1461,Action,5.1
3037, Romance,7.4
1612, Romance,7.4
2358,Crime,6.8
746, Drama,7.7
2917, Drama,8.0
2166,Drama,6.9
822,Comedy,4.7
3340, Music,2.1
653, History,7.4
1170,Crime,7.6
2924,Comedy,6.9
193, Drama,5.8
2375, Romance,7.0
1627, Fantasy,7.7
2417, Music,5.3
1758, Sport,7.5
1558,Crime,7.5
1952, Drama,7.3
469, Romance,6.7
60, Adventure,5.8
1441, Thriller,6.7
1421, Thriller,6.3
1424, Comedy,6.3
1138, Adventure,7.8
2508,Comedy,4.9
2330, War,7.1
4344, Fantasy,6.4
3087,Drama,6.6
2102,Comedy,6.4
1457, Drama,6.2
815, Comedy,6.4
2925, Thriller,7.1
2861, Sci-Fi,5.8
2209, Drama,6.6
113, War,5.5
358, Animation,7.0
1397,Comedy,7.8
4383,Comedy,6.3
40, Adventure,6.8
2253, Horror,7.3
1765, Adventure,6.8
3131, Mystery,5.2
402, Fantasy,7.1
326,Crime,7.5
165, Mystery,7.7
1876, Drama,6.2
728, Drama,5.9
41,Adventure,6.3
3677,Drama,7.9
1229,Action,5.2
2301, Animation,2.8
1541, Romance,6.4
2737,Action,6.4
2779, Drama,6.7
1954,Action,4.6
872, Thriller,6.0
1529, Music,6.5
3698, Mystery,7.3
908, Horror,7.6
4781,Drama,7.7
2948,Crime,7.4
986, Romance,5.9
1882, Adventure,7.0
2448, Romance,7.0
1074, Crime,6.3
1580, Fantasy,6.3
986, Drama,5.9
2829, History,8.3
1988,Action,5.9
1221,Comedy,6.4
2373,Adventure,8.6
1339,Comedy,6.1
3271, War,7.5
3908,Action,5.7
1162, Thriller,6.3
1837,Action,6.0
604,Drama,7.2
2909, Drama,6.6
3154, Animation,5.9
667, Fantasy,6.1
4649, Drama,6.5
1262, Crime,5.8
646, Mystery,7.0
1900, Drama,6.8
1194, War,7.6
2947, Romance,7.8
1592,Biography,7.8
2340, Crime,5.1
2446,Drama,5.9
4498,Western,8.9
2563, Drama,5.3
2462,Action,5.9
503, Fantasy,6.0
877, Drama,7.8
4733, Sport,7.6
4007,Comedy,7.0
2049, Drama,7.2
3169,Comedy,4.3
4412, Romance,7.5
1139,Action,5.5
1107, Family,5.9
1622, Romance,6.0
2445, Drama,7.1
798, Thriller,6.9
3690,Crime,7.6
882,Action,5.5
637, Comedy,6.0
169, Comedy,6.0
3024, Adventure,8.7
1039, Fantasy,8.3
4461,Drama,8.1
473, Family,7.0
4411,Drama,7.2
1401, War,5.9
1668,Crime,7.1
1373,Action,8.1
961,Action,6.2
1196, Mystery,7.8
1038, Drama,7.6
2970, War,8.4
4863, Thriller,5.5
415, Comedy,6.7
3824, Drama,6.8
2935, Drama,3.3
3150,Drama,7.4
4544,Adventure,7.4
527, Fantasy,6.7
1540, Family,6.9
3575, Sci-Fi,8.1
876, Animation,6.7
3087, War,6.6
4674, Music,7.5
1856, Mystery,6.4
4930,Comedy,6.3
1635, Comedy,7.5
669,Drama,6.4
2923,Action,7.7
1498, Romance,6.9
4122,Horror,4.1
3146, Sci-Fi,7.1
814, War,7.3
93, Fantasy,8.2
3784, Music,7.1
1377,Drama,6.9
196,Adventure,6.6
4035, Romance,7.4
759,Action,5.4
419, Comedy,7.1
1399, Comedy,6.6
375, Sci-Fi,7.4
3311,Action,6.6
4091, Romance,6.0
2847,Action,6.1
1344, Biography,6.5
2763,Drama,6.9
516,Adventure,7.8
1270, Drama,6.5
1028, Crime,6.4
3095, Romance,5.8
679, Thriller,6.4
2647,Crime,6.6
1278,Biography,6.7
948,Action,5.0
1596,Comedy,6.8
450,Action,6.5
3360,Comedy,6.2
1535, Romance,6.0
3742, Horror,3.8
2745, Drama,5.1
3180,Action,5.6
3553, Crime,8.1
2484, Drama,6.0
4312,Drama,6.6
2813, Crime,7.3
617, Musical,5.9
4642, Thriller,7.1
552, Romance,5.9
3952,Biography,5.8
1758,Biography,7.5
1131, Thriller,6.5
1172, Romance,5.3
491, Sci-Fi,6.3
2657, Family,6.7
1000, Thriller,6.2
1913, Musical,5.6
988,Action,4.4
3635,Biography,5.7
2137, Drama,7.8
196, War,6.6
2951, Mystery,7.0
1423,Biography,7.2
2254, Mystery,6.4
2358, Thriller,6.8
4740,Crime,7.3
2203,Comedy,3.5
3521, Romance,6.3
2399,Action,3.1
808,Action,3.8
2701, Romance,5.9
4567, Drama,7.0
3622,Comedy,5.3
516, Animation,7.8
416, Adventure,6.2
887, Comedy,4.2
2569,Drama,7.2
2222, Thriller,7.3
2393, Drama,7.3
1079, Thriller,6.5
1881,Action,6.0
3927, Crime,6.5
1532,Action,6.5
1429, Romance,7.7
1077, Adventure,5.8
97, Adventure,8.8
104, Adventure,6.1
423,Adventure,5.6
3442,Comedy,6.0
482, Family,5.6
4449, Fantasy,7.7
1532, Drama,6.5
1534, Thriller,6.5
2212, History,7.6
1717, Romance,6.6
72, Thriller,5.2
1104, Romance,6.5
1807,Action,7.9
1928, Adventure,4.6
3211,Comedy,6.5
1557, Family,6.9
315, Family,7.1
698, Biography,6.6
1124,Drama,5.8
531,Comedy,6.7
1865, Thriller,7.5
27, Sci-Fi,8.2
2658, Drama,6.4
2369,Biography,7.1
23, Fantasy,7.9
1712, Crime,6.1
841, Sci-Fi,5.6
532, Mystery,5.1
523,Action,6.5
617, Romance,5.9
659, Romance,6.5
4862, Drama,7.0
2661, Romance,4.8
2285, War,7.1
533, Sci-Fi,4.1
4009, Sci-Fi,5.7
412, Comedy,6.2
217,Action,3.7
131, Drama,6.9
2615,Comedy,6.1
3136,Drama,5.9
887, Family,4.2
3031, Crime,7.5
1756,Biography,7.8
2707, Drama,5.5
1435, Romance,5.9
2219, Drama,7.6
3299, Thriller,6.7
3259,Drama,6.7
2413, Fantasy,6.3
3618,Drama,7.2
1274, Horror,5.1
2832, War,7.3
4070,Fantasy,4.3
1097, Romance,5.4
1987,Comedy,6.7
1030,Comedy,4.9
3116,Action,6.9
1654,Comedy,2.7
3467, Romance,6.1
1363, Family,6.5
699, Crime,6.9
343, Thriller,6.3
107, Fantasy,6.1
1470, Family,5.6
2300, Drama,6.7
3569, Thriller,6.9
1297, Romance,5.9
2900, Drama,7.8
1535,Comedy,6.0
4058, Sci-Fi,5.7
3456, War,8.0
2433, Crime,5.2
2175, Romance,5.7
4511,Adventure,6.2
2539,Comedy,8.0
4147,Comedy,6.5
1871, Thriller,7.9
911, Crime,8.0
1092, Horror,4.6
375, Thriller,7.4
1406, Crime,6.9
1258, Musical,7.2
2500,Comedy,6.2
284, Sci-Fi,7.7
258, Comedy,4.9
1901, Horror,5.9
143, Sci-Fi,5.4
405,Action,6.8
2215,Adventure,6.3
1984, Thriller,5.9
3540,Western,7.3
3854, Sci-Fi,8.1
2382, Music,5.7
4603, Sci-Fi,6.9
777,Adventure,6.1
2883,Biography,7.1
3461,Action,6.2
3403, Drama,7.2
3172, Sci-Fi,6.7
146, Comedy,6.9
1369, Drama,7.6
3911,Crime,7.0
2354, Romance,7.5
3468, Drama,7.7
630, Drama,6.4
2150,Comedy,5.8
745, Thriller,5.0
1164,Drama,6.5
1127, Horror,6.0
2212, Drama,7.6
130, Fantasy,7.0
3767, Crime,6.4
258, Family,4.9
3588, Musical,7.6
818, Romance,3.6
32, Adventure,7.2
1746, Mystery,7.1
1898,Biography,7.8
729,Adventure,5.4
1449, Thriller,6.8
4254, Adventure,7.6
2939, Thriller,6.0
550,Animation,6.6
2769, Comedy,6.9
360,Action,5.5
3319, Music,4.2
2735, Thriller,7.2
2443,Comedy,5.7
200,Adventure,6.2
2049, Adventure,7.2
1390,Drama,6.7
2199,Comedy,6.2
2551,Drama,8.2
772, History,7.4
995,Comedy,4.3
70,Adventure,7.5
1526, Crime,5.1
2841,Comedy,5.5
377,Crime,6.4
783,Comedy,5.9
4769,Comedy,3.3
1824, Adventure,3.6
735,Drama,6.5
1873,Action,6.1
1304, Thriller,5.9
154, Animation,7.2
229, Drama,6.6
3472, Adventure,6.8
1034, Sci-Fi,5.9
598,Action,7.1
133, Fantasy,5.8
474,Comedy,5.2
2768,Biography,7.2
3442, Romance,6.0
2103, Thriller,6.6
1046, Drama,6.4
536,Comedy,7.3
2448,Biography,7.0
582,Adventure,7.2
3748, Thriller,5.2
1569, Mystery,6.1
492,Drama,7.3
2383, Music,6.3
4066, War,8.2
1128,Action,6.0
2021,Horror,6.1
1203,Fantasy,7.5
3181,Comedy,6.7
504, Drama,7.8
3846,Drama,7.7
881, War,6.9
414, History,7.6
3004,Crime,7.5
3404, Drama,7.2
2959, Comedy,7.8
1123, Fantasy,4.9
515, Crime,5.9
725,Comedy,6.1
2275, Crime,7.5
3000, Crime,6.4
3104, Sport,7.0
4804,Comedy,6.1
362, Fantasy,7.5
2661,Comedy,4.8
2304, Fantasy,4.3
252, Adventure,6.5
2602,Comedy,5.9
3926,Comedy,5.8
14, Western,6.5
1442, Romance,5.3
2116, Thriller,5.1
2835,Drama,8.0
1633, Crime,6.4
583, Sport,7.2
1213, Thriller,8.1
1119, Sci-Fi,5.4
1337, Sport,6.4
2907,Crime,8.0
916, Comedy,5.1
485,Drama,7.0
201, Sci-Fi,7.3
2463,Crime,7.2
1118, Romance,6.0
4546, Music,6.2
589,Adventure,6.7
770, Crime,6.7
2482, Musical,4.4
2051, Sci-Fi,8.8
2614, Drama,8.1
2163, Thriller,7.5
3186, War,7.3
3775, Drama,7.4
3584, Crime,8.1
4251,Horror,6.9
1904, Thriller,5.0
16, Family,6.6
595,Drama,5.6
1143,Animation,7.5
171, Adventure,6.9
4645,Biography,7.5
1214, Mystery,6.6
2279, Crime,6.1
3105, Mystery,6.1
2421, Sport,7.1
2360, Mystery,7.2
693, Biography,7.1
2889, Comedy,6.6
1513, Romance,7.2
1455, Fantasy,5.2
454, Sci-Fi,6.3
677,Comedy,6.7
435, Sci-Fi,5.9
1904, Adventure,5.0
2498,Comedy,5.6
1260,Comedy,4.7
2912, Crime,6.2
1408, Romance,6.8
3064, Thriller,6.2
4599, Fantasy,6.0
3178, Mystery,7.7
106, Family,6.4
4551, Horror,5.4
3212, Thriller,7.2
2037,Adventure,5.2
113,Action,5.5
1848,Comedy,6.5
1127,Action,6.0
3622, Fantasy,5.3
4091, History,6.0
924,Animation,5.6
2919, Crime,7.9
2634,Horror,6.4
341, Adventure,5.5
4542, Drama,6.0
788, Music,7.9
1068,Action,4.7
2497, Mystery,5.6
3668, Drama,8.3
53,Action,6.3
2274,Action,6.2
1055, Thriller,6.0
3939, Crime,6.6
2024,Comedy,6.7
1217,Drama,8.0
265,Action,7.1
3332, Romance,7.3
2712,Comedy,8.0
1069, Thriller,6.6
3911, Fantasy,7.0
610, Family,7.7
3142, Family,6.7
2687,Action,4.6
22, Adventure,6.7
280, Adventure,6.9
4429,Comedy,6.3
2005,Crime,6.7
4855, Romance,7.2
1964, Mystery,5.4
77, Sci-Fi,5.8
2308, Drama,7.4
970, Drama,7.4
2201,Crime,6.3
551, Crime,6.6
3699, Documentary,6.6
1525,Action,5.5
2213, Adventure,6.3
566,Drama,6.0
3819, Drama,7.4
2298, Crime,6.3
3452, Thriller,7.9
57, Sci-Fi,7.5
533,Action,4.1
511, Fantasy,6.5
4298, Sci-Fi,6.7
2377, Comedy,6.5
686, Comedy,5.7
739, Thriller,7.0
1372, Comedy,6.0
1117, Thriller,5.3
839, Family,6.6
568, Romance,5.6
3471,Horror,4.9
2054,Horror,6.7
426, Romance,4.3
3936,Drama,5.4
2908, Romance,6.7
110,Adventure,6.3
873,Drama,6.5
1617, Drama,6.8
572, Family,4.6
1774, Horror,4.9
2980,Comedy,6.3
3703, Fantasy,6.6
1748, Drama,7.9
1966,Biography,7.0
778, Thriller,6.4
200, Fantasy,6.2
320,Action,7.0
2757,Drama,6.8
1213,Crime,8.1
2883, Comedy,7.1
595, Fantasy,5.6
2297, Crime,4.5
1628, Comedy,5.8
106,Adventure,6.4
3669, Sport,7.2
1376, Romance,6.1
3892, Romance,7.1
1033, Thriller,3.7
3140, Sci-Fi,4.4
305, Romance,6.0
2498, Romance,5.6
119, Fantasy,8.0
2113, Adventure,4.1
643,Action,5.9
2453,Action,3.5
3917,Comedy,4.7
2169, Romance,7.0
148,Adventure,6.9
1216, Fantasy,5.9
3987,Comedy,7.3
1769, Thriller,6.7
1312, Thriller,4.5
3944, Thriller,7.0
1316, Romance,4.4
2879, Romance,7.3
135,Action,7.4
2329, Sci-Fi,7.5
3624, Drama,7.8
1228, Adventure,6.1
341, Fantasy,5.5
4099,Biography,6.9
1723, War,6.0
2846,Comedy,5.9
1693, Comedy,4.6
597, Comedy,4.5
436, Drama,6.7
2926, Drama,7.4
720, Drama,7.0
2777,Drama,7.7
2256, Fantasy,7.8
384, Animation,7.0
1904, Comedy,5.0
2625, Romance,7.3
2985, Thriller,5.3
4804, Romance,6.1
3908, Thriller,5.7
3679,Crime,6.6
3133, Mystery,4.7
3931, Music,8.5
4681, Fantasy,4.8
3098, Horror,5.5
1689, Drama,5.9
1916, Drama,6.6
2872,Drama,5.8
1418,Comedy,6.3
3974, Comedy,7.0
787,Drama,6.7
125, Musical,7.6
2245,Comedy,5.9
670,Comedy,6.4
192,Action,6.4
4998,Comedy,7.6
924, Family,5.6
2185, Musical,5.4
4778,Adventure,6.4
1988, Crime,5.9
0, Sci-Fi,7.9
898, Sci-Fi,6.8
4123, Drama,6.7
18,Action,6.7
3383,Crime,7.6
285, Fantasy,7.4
2951, Thriller,7.0
3010, Comedy,6.7
275, Drama,7.2
751,Drama,6.5
630,Action,6.4
2644, Drama,8.4
2198, Sci-Fi,6.2
70, Drama,7.5
652, Horror,5.5
819, Adventure,5.7
3333,Drama,6.9
2570, Romance,5.7
1164, Thriller,6.5
1415, Romance,7.4
3106, Comedy,6.9
657,Comedy,5.5
2512, Family,5.8
1564, Thriller,3.6
3491,Comedy,7.3
291, Comedy,7.2
361, Thriller,8.5
2927, Drama,6.5
1192, Thriller,7.4
577, Sport,4.5
574, War,7.1
4569,Adventure,6.4
24, Family,6.1
407,Action,6.2
4752, Fantasy,6.7
939, Comedy,7.1
1008, Family,8.0
