Institution,Specific Graduate Program,Minimum Score Requirement,Restrictions,City,State
Johns Hopkins University,,,,,
"University of Phoenix, West Valley Learning Center, Phoenix",,,,,
"Rutgers, The State University of New Jersey, Newark",,,,,
"University of Phoenix, Nogales Learning Center, Nogales",,,,,
Pacific University,,,,,
"University of Phoenix, Downtown Minneapolis Learning Center, Minneapolis",,,,,
"Northwood University, Florida",,,,,
"University of Michigan, Ann Arbor",,,,,
University of Pittsburgh,,,,,
"Devry University, Irving Campus",,,,,
University of Rhode Island,,,,,
"Devry University, Cherry Hill Center",,,,,
"University of St. Thomas, Minneapolis",,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Downtown Detroit Student Resource Center, Detroit",,,,,
"University of Phoenix, Lathrop Learning Center, Lathrop",,,,,
"University of Phoenix, Hawaii Campus, Honolulu",,,,,
Minot State University,,,,,
"University of California, Irvine",,,,,
Virginia Polytechnic Institute and State University,,,,,
"University of Phoenix, Corona Student Resource Center, Corona",,,,,
Loma Linda University,,,,,
University of Pittsburgh,,,,,
University of Houston,,,,,
"University of Phoenix, Oakleaf Learning Center, Jacksonville",,,,,
"University of Phoenix, Northern Virginia Campus, Reston",,,,,
"Devry University, Tinley Park Campus",,,,,
"University of Phoenix, Deleware Campus, Wilmington",,,,,
University of Delaware,,,,,
"University of Phoenix, Phoenix Hokoman Campus, Phoenix",,,,,
University of Pennsylvania,,,,,
University of New Haven,,,,,
American University,,,,,
"Devry University, Rego Park (Queens) Center",,,,,
Lewis & Clark College,,,,,
University of South Dakota,,,,,
"University of Minnesota, Twin Cities",,,,,
"University of Phoenix, Bakersfield Learning Center, Bakersfield",,,,,
"University of Phoenix, Franklin Learning Center, Franklin",,,,,
"University of Phoenix, Chicago Campus, Schaumburg",,,,,
"Devry University, Oxnard Center",,,,,
"University of Phoenix, Fort Collins Learning Center, Fort Collins",,,,,
"University of Phoenix, Bay Area - San Francisco Campus, San Jose",,,,,
"Devry University, Philadelphia (Center City) Center",,,,,
University of Denver,,,,,
Massachusetts Institute of Technology,,,,,
Northeastern University,,,,,
University of Central Arkansas,,,,,
"University of Alaska, Fairbanks",,,,,
Georgia State University,,,,,
"University of Alabama, Tuscaloosa",,,,,
Tulane University,,,,,
Widener University,,,,,
Davenport University,,,,,
University of Virginia,,,,,
"University of Wisconsin, Madison",,,,,
"University of Phoenix, St. George Learning Center, St. George",,,,,
Palo Alto University,,,,,
College of William and Mary (The),,,,,
University of New Haven,,,,,
"University of Phoenix, Murfreesboro Learning Center, Murfreesboro",,,,,
Pace University,,,,,
University of Denver,,,,,
University of New Haven,,,,,
Northeastern Illinois University,,,,,
Drew University,,,,,
"California Baptist University, Beaumont",,,,,
"University of Phoenix, Chula Vista Learning Center, Chula Vista",,,,,
Mississippi State University,,,,,
San Francisco Art Institute,,,,,
"University of Maryland, College Park",,,,,
Monterey Institute of International Studies,,,,,
"University of Colorado, Boulder",,,,,
"Wheaton College, Illinois",,,,,
Goshen College,,,,,
"University of Phoenix, Magic View learning Center, Meridian",,,,,
Georgia State University,,,,,
,"Department of Modern and Classical Languages MA, French, German and Spanish",,2,33,28
"Devry University, Long Beach Campus",,,,,
University of Connecticut,,,,,
New York University,,,,,
University of Houston,,,,,
"University of Massachusetts, Boston",,,,,
"Devry University, Manassas Center",,,,,
"Devry University, Phoenix Campus",,,,,
"Devry University, Orlando Campus",,,,,
Alfred University,,,,,
Dartmouth College,,,,,
"University of Wisconsin, Stout",,,,,
"University of Colorado, Boulder",,,,,
Rollins College,,,,,
"University of Phoenix, Des Moines Campus, West Des Moines",,,,,
"University of Phoenix, Southlands Learning Center, Aurora",,,,,
Vanderbilt University,,,,,
University of the Pacific,,,,,
"Devry University, Downers Grove Center",,,,,
Virginia Polytechnic Institute and State University,,,,,
,16,12.0,,146,23
College of Charleston,,,,,
"Devry University, Ft. Lauderdale Center",,,,,
Clark University,,,,,
Northeastern University,,,,,
"Devry University, St. Louis Park Center",,,,,
Kent State University,,,,,
"University of Phoenix, Austin Campus, Austin",,,,,
"University of Phoenix, North Florida Learning Center, Jacksonville",,,,,
"University of Phoenix, West Florida Campus, Tempe Terrace",,,,,
"University of Phoenix, Flint Learning Center, Flint",,,,,
Capital University,,,,,
Northwestern Polytechnic University,,,,,
Chapman University,,,,,
Marywood University,,,,,
Massachusetts Institute of Technology,,,,,
Tufts University,,,,,
"University of Phoenix, Chandler Learning Center, Chandler",,,,,
New School (The),,,,,
"Texas A&M University, Kingsville",,,,,
Carnegie Mellon University,,,,,
Massachusetts Institute of Technology,,,,,
"Devry University, Ft. Washington Campus",,,,,
Illinois Institute of Technology,,,,,
Northeastern University,,,,,
Massachusetts Institute of Technology,,,,,
"University of Michigan, Ann Arbor",,,,,
Florida International University,,,,,
University of Pittsburgh,,,,,
"University of Phoenix, Pueblo Student Resource Center, Pueblo",,,,,
"University of Phoenix, Downtown San Diego Learning Center, San Diego",,,,,
Illinois Institute of Technology,,,,,
"University of Phoenix, Arlington Learning Center, Arlington",,,,,
"Devry University, Colton (Inland-Empire) Center",,,,,
"Devry University, Naperville Center",,,,,
Duke University,,,,,
University of Notre Dame,,,,,
"University of Phoenix, Louisiana Campus, Metairie",,,,,
"Devry University, Pomona Campus",,,,,
"University of Phoenix, Downtown St. Louis Learning Center, St. Louis",,,,,
"Devry University, Chicago Loop Center",,,,,
"University of Michigan, Ann Arbor",,,,,
Fairfield University,,,,,
Massachusetts Institute of Technology,,,,,
"University of Alaska, Anchorage",,,,,
"Devry University, North Brunswick Campus",,,,,
"Indiana University-Purdue University, Fort Wayne",,,,,
Milligan College,,,,,
"Texas A&M University, Commerce",,,,,
University of Denver,,,,,
"University of Phoenix, Richmond Campus, Richmond",,,,,
"University of Michigan, Ann Arbor",,,,,
"Baruch College, City University of New York (CUNY)",,,,,
"University of Phoenix, Philadelphia Campus, Wayne",,,,,
"Devry University, Chesapeake (South Hampton Roads) Campus",,,,,
"University of Phoenix, Greensboro Learning Center, Greensboro",,,,,
Seton Hall University,,,,,
"University of Phoenix, Windsor Park Learning Center, Windcrest",,,,,
College of William and Mary (The),,,,,
"Devry University, Decatur Campus",,,,,
"California Baptist University, San Bernardino",,,,,
Fairfield University,,,,,
San Francisco Art Institute,,,,,
Wesleyan University,,,,,
Claremont Graduate University,,,,,
"University of Michigan, Dearborn",,,,,
"University of Phoenix, Culver City Learning Center, Culver City",,,,,
University of Texas Medical Branch,,,,,
"Wheaton College, Illinois",,,,,
University of Scranton,,,,,
University of Oregon,,,,,
University of Chicago,,,,,
University of Connecticut,,,,,
"Devry University, Jacksonville Campus",,,,,
"University of Phoenix, Northland Learning Center, Kansas City",,,,,
"Devry University, Orlando North Center",,,,,
"University of Phoenix, Fox Valley Learning Center, Grand Chute",,,,,
University of Pennsylvania,,,,,
Lake Erie College,,,,,
American University,,,,,
"University of Phoenix, Sarpy Student Resource Center, Omaha",,,,,
University of Rhode Island,,,,,
Johns Hopkins University,,,,,
"Devry University, Miramar Campus",,,,,
"Colorado State University, Fort Collins",,,,,
"University of California, Berkeley",,,,,
Midland Lutheran College,,,,,
Georgetown University,,,,,
"Devry University, Tampa Bay Campus",,,,,
Johns Hopkins University,,,,,
Georgetown University,,,,,
"Devry University, Ft. Worth Center",,,,,
"Texas A&M University, Commerce",,,,,
Johns Hopkins University,,,,,
"Devry University, Houston Campus",,,,,
"University of Phoenix, Livonia Learning Center, Livonia",,,,,
"University of Michigan, Ann Arbor",,,,,
George Washington University,,,,,
Carnegie Mellon University,,,,,
"California State University, Fullerton",,,,,
Luther Seminary,,,,,
California Lutheran University,,,,,
Loma Linda University,,,,,
Dominican University,,,,,
Seton Hall University,,,,,
"Devry University, Portland Campus",,,,,
George Washington University,,,,,
"University of Phoenix, Southern California Campus, Costa Mesa",,,,,
Mills College,,,,,
Massachusetts Institute of Technology,,,,,
Doane College,,,,,
Pacific Lutheran University,,,,,
"University of Phoenix, Northwest Indiana Campus, Merrilville",,,,,
"Devry University, Addison Campus",,,,,
"Temple University, Japan Campus",,,,,
"University of Phoenix, El Centro Learning Center III, El Centro",,,,,
Capital University,,,,,
"University of Michigan, Ann Arbor",,,,,
Tufts University,,,,,
"University of Colorado, Boulder",,,,,
New York Medical College,,,,,
Massachusetts Institute of Technology,,,,,
"Devry University, Paramus Center",,,,,
Clark University,,,,,
Carnegie Mellon University,,,,,
"University of Colorado, Boulder",,,,,
University of Portland,,,,,
Baldwin-Wallace College,,,,,
Lutheran School of Theology at Chicago,,,,,
Doane College,,,,,
Massachusetts Institute of Technology,,,,,
"Devry University, Mesa Center",,,,,
"University of Colorado, Boulder",,,,,
University of Central Oklahoma,,,,,
Cornell University,,,,,
"Devry University, Sandy Campus",,,,,
University of San Francisco,,,,,
"University of Phoenix, Bellevue Learning Center, Bellevue",,,,,
Gonzaga University,,,,,
"Devry University, Dayton Center",,,,,
"University of Phoenix, Puerto Rico Campus, Guaynabo",,,,,
"University of Phoenix, Hillsboro Learning Center, Hillsboro",,,,,
"Devry University, Atlanta Cobb Galleria Center",,,,,
Shenandoah University,,,,,
Massachusetts Institute of Technology,,,,,
University of South Carolina,,,,,
University of Portland,,,,,
"Devry University, Lynnwood Center",,,,,
Monterey Institute of International Studies,,,,,
Marywood University,,,,,
Columbia University,,,,,
"University of Phoenix, Kapolei Learning Center, Kapolei",,,,,
"University of Phoenix, San Antonio Campus, San Antonio",,,,,
"University of Phoenix, Miami Learning Center, Miami",,,,,
Columbia University,,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Plainfield Learning Center, Plainfield",,,,,
"City University of Seattle, University of International Business and Economics",,,,,
"Baruch College, City University of New York (CUNY)",,,,,
Pace University,,,,,
University of Redlands,,,,,
"University of Phoenix, Snellville Learning Center, Snellville",,,,,
Brandeis University,,,,,
Emory University,,,,,
Massachusetts Institute of Technology,,,,,
Pace University,,,,,
"University of Phoenix, St. Petersburg/ Clearwater Learning Center, Clearwater",,,,,
Luther Seminary,,,,,
Johns Hopkins University,,,,,
Syracuse University,,,,,
"University of Michigan, Ann Arbor",,,,,
"University of Phoenix, Sarasota Learning Center, Sarasota",,,,,
"University of Phoenix, Pleasant Grove Learning Center, Pleasant Grove",,,,,
"University of Michigan, Ann Arbor",,,,,
George Washington University,,,,,
"University of Phoenix, Harrisburg Campus, Harrisburg",,,,,
University of Memphis,,,,,
"Auburn University, Auburn",,,,,
University of New Haven,,,,,
Chamberlain College of Nursing (online),,,,,
Rhode Island School of Design,,,,,
Duke University,,,,,
Washburn University,,,,,
Georgia State University,,,,,
"University of Phoenix, Eastern Washington Campus, Spokane",,,,,
Duke University,,,,,
College of William and Mary (The),,,,,
"Pennsylvania State University, University Park",,,,,
"University of Phoenix, Madison Campus, Madison",,,,,
"College of Staten Island, City University of New York (CUNY)",,,,,
"University of Phoenix, Arlington Student Resource Center, Arlington",,,,,
"University of Phoenix, Cleveland Campus, Independence",,,,,
"University of Phoenix, Fairfield Learning Center, Fairfield",,,,,
Golden Gate University,,,,,
Johns Hopkins University,,,,,
Washington University in St. Louis,,,,,
"Devry University, Richardson Center",,,,,
Goshen College,,,,,
"Devry University, Chicago Campus",,,,,
University of Oklahoma,,,,,
Boise State University,,,,,
"University of Phoenix, Beale AFB Learning Center, Beale AFB",,,,,
"Devry University, Westminster Campus",,,,,
Willamette University,,,,,
"University of Phoenix, Southern Arizona Center",,,,,
Massachusetts Institute of Technology,,,,,
University of Arkansas For Medical Sciences,,,,,
Widener University,,,,,
Maryland Institute College of Art,,,,,
"Devry University, Columbus Campus",,,,,
Massachusetts Institute of Technology,,,,,
Alverno College,,,,,
"University of Phoenix, St. Louis Campus, St. Louis",,,,,
"University of Phoenix, Lenexa Learning Center, Lenexa",,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Detroit Campus, Troy",,,,,
"University of Phoenix, Southfield Learning Center, Southfield",,,,,
"University of Phoenix, Pittsburgh Campus, Pittsburgh",,,,,
"University of Phoenix, Palm Desert Learning Center, Palm Desert",,,,,
Pacific University,,,,,
"Wheaton College, Illinois",,,,,
Massachusetts Institute of Technology,,,,,
Montclair State University,,,,,
University of Delaware,,,,,
University of Florida,,,,,
"University of Phoenix, Fairfield County Campus, Norwalk",,,,,
Marywood University,,,,,
"University of Colorado, Boulder",,,,,
University of Pennsylvania,,,,,
Boston University,,,,,
University of Pittsburgh,,,,,
"University of Phoenix, East El Paso Learning Center, El Paso",,,,,
"University of Phoenix, Columbus Ohio Campus, Columbus",,,,,
"Auburn University, Auburn",,,,,
"University of Phoenix, North Alpharetta Learning Center, Alpharetta",,,,,
"University of Phoenix, River Road Learning Center, Tucson",,,,,
University of Virginia,,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Monroeville Learning Center, Pittsburgh",,,,,
University of Houston,,,,,
"University of Phoenix, Greenbelt Learning Center, Greenbelt",,,,,
"University of Phoenix, Omaha Campus, Omaha",,,,,
Syracuse University,,,,,
"University of Phoenix, Escorial Learning Center, Carolina",,,,,
"University of Houston, Victoria",,,,,
"University of Colorado, Boulder",,,,,
"Devry University, Palmdale Center",,,,,
Dominican University,,,,,
"University of Phoenix, Beachwood Learning Center, Beachwood",,,,,
Mississippi State University,,,,,
"University of Phoenix, San Diego Campus, San Diego",,,,,
"University of Phoenix, Woodland Hills Learning Center, Woodland Hills",,,,,
"University of Massachusetts, Amherst",,,,,
"University of Michigan, Dearborn",,,,,
"Texas A&M University, College Station",,,,,
Assumption College,,,,,
Alverno College,,,,,
"Devry University, San Jose Center",,,,,
"University of Phoenix, Central Florida Campus, Maitland",,,,,
University of New Haven,,,,,
"University of Phoenix, Birmingham Campus, Birmingham",,,,,
University of Louisville,,,,,
"University of Phoenix, Mesa Learning Center, Mesa",,,,,
"University of Phoenix, Las Colinas Learning Center, Irving",,,,,
"Devry University, Elgin Center",,,,,
University of Arizona,,,,,
"University of Maryland, Baltimore",,,,,
Colorado Heights University,,,,,
Columbia University,,,,,
University of Denver,,,,,
"University of Phoenix, Woodlands Learning Center, Spring",,,,,
"University of Phoenix, Maryland Campus, Columbia",,,,,
"University of Phoenix, East Orlando Learning Center, Orlando",,,,,
Loma Linda University,,,,,
"University of Phoenix, St. Paul Learning Center, Woodbury",,,,,
Yale University,,,,,
University of Houston,,,,,
Niagara University,,,,,
Virginia Polytechnic Institute and State University,,,,,
"University of Colorado, Boulder",,,,,
"Texas A&M University, Commerce",,,,,
University of Southern Mississippi,,,,,
Santa Clara University,,,,,
"Devry University, Henderson Campus",,,,,
Fordham University,,,,,
"University of Phoenix, Utah Campus, Salt Lake City",,,,,
Brandeis University,,,,,
Baylor College of Medicine,,,,,
"Northwood University, Michigan",,,,,
Monterey Institute of International Studies,,,,,
"Devry University, San Antonio Campus",,,,,
Stetson University,,,,,
"University of Phoenix, Jackson Campus, Flowood",,,,,
"University of Phoenix, Yuma Learning Center, Yuma",,,,,
Georgia State University,,,,,
"Devry University, Glendale Center",,,,,
"University of Phoenix, Lower Burcks County Learning Center, Levittown",,,,,
Northwestern University,,,,,
Loma Linda University,,,,,
Massachusetts Institute of Technology,,,,,
University of Pittsburgh,,,,,
"University of Phoenix, Virginia Beach Learning Center, Virginia Beach",,,,,
Pepperdine University,,,,,
"University of Phoenix, Modesto Learning Center - Salida, Modesto",,,,,
Virginia Polytechnic Institute and State University,,,,,
"University of Phoenix, Diamond Bar Learning Center, Diamond Bar",,,,,
"University of Phoenix, Memphis Campus, Cordova",,,,,
"Devry University, Bellevue (Seattle) Center",,,,,
Massachusetts Institute of Technology,,,,,
Southern Arkansas University,,,,,
University of Southern Mississippi,,,,,
"Carnegie Mellon University, Portugal",,,,,
Emory University,,,,,
"University of Phoenix, Washington D.C. Campus, Washington",,,,,
"University of Phoenix, Town Center Learning Center, Southfield",,,,,
"Carnegie Mellon University, Japan",,,,,
"University of Colorado, Boulder",,,,,
Massachusetts Institute of Technology,,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, Houston Northwest Learning Center, Houston",,,,,
University of Georgia,,,,,
Virginia Polytechnic Institute and State University,,,,,
Doane College,,,,,
"Adelphi University, Garden City",,,,,
University of Pittsburgh,,,,,
Massachusetts Institute of Technology,,,,,
"University of Phoenix, Pasadena Learning Center, Pasadena",,,,,
Columbia University,,,,,
University of Pennsylvania,,,,,
University of Findlay,,,,,
New York University,,,,,
Carnegie Mellon University,,,,,
Loma Linda University,,,,,
Seton Hall University,,,,,
University of Pennsylvania,,,,,
Vanderbilt University,,,,,
"University of Phoenix, Dekalb Learning Center, Atlanta",,,,,
"University of Phoenix, Sacramento Valley Campus, Sacramento",,,,,
"City University of Seattle, Vancouver, Canada",,,,,
"Indiana University, Bloomington",,,,,
"University of Phoenix, McAllen Campus, Allen",,,,,
"University of Phoenix, Cypress Creek Learning Center, Ft. Lauderdale",,,,,
Ohio Dominican University,,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, Burlington Learning Center, Burlington",,,,,
"University of Phoenix, Whichita Campus, Whichita",,,,,
New School (The),,,,,
Capital University,,,,,
"University of Phoenix, Las Vegas Campus, Las Vegas",,,,,
"City University of Seattle, Vysoka Skola Manazmentu",,,,,
"University of Missouri, Kansas City",,,,,
George Washington University,,,,,
Winthrop University,,,,,
"Devry University, Bakersfield Center",,,,,
University of Scranton,,,,,
University of Iowa,,,,,
"Texas A&M University, Commerce",,,,,
"Carnegie Mellon University, Australia",,,,,
"Devry University, Nashville Campus",,,,,
University of Pittsburgh-Carnegie Mellon University,,,,,
"University of Phoenix, Covington Learning Center, Covington",,,,,
"Pennsylvania State University, Harrisburg",,,,,
Chapman University,,,,,
Columbia University,,,,,
"Texas A&M University, College Station",,,,,
"University of Phoenix, Central Massachusetts Learning Center, Westborough",,,,,
"University of Phoenix, Roseville Learning Center, Roseville",,,,,
"Texas A&M University, Commerce",,,,,
"City University of Seattle, Edmonton",,,,,
"University of Phoenix, Taylorsville Learning Center, Salt Lake City",,,,,
Fairfield University,,,,,
Tufts University,,,,,
"Devry University, Southfield Campus",,,,,
University of Delaware,,,,,
"University of Nevada, Reno",,,,,
"Devry University, Indianapolis Center",,,,,
"University of Colorado, Boulder",,,,,
"University of Phoenix, Turnpike Learning Center, Westminster",,,,,
"University of Phoenix, Louisville Learning Center, Louisville",,,,,
"University of Phoenix, Brookstone Learning Center, Columbus",,,,,
"City University of Seattle, Vysoka Skola Financni a Spravni",,,,,
"University of Colorado, Boulder",,,,,
University of New Haven,,,,,
"City University of Seattle, CU-TEI Piraeus Program",,,,,
Saint Louis University,,,,,
Syracuse University,,,,,
"University of North Carolina, Chapel Hill",,,,,
University of Kansas,,,,,
University of Houston,,,,,
"University of Phoenix, Knoxville Campus, Knoxville",,,,,
"University of Phoenix, Southern Colorado Campus, Colorado Springs",,,,,
Virginia Polytechnic Institute and State University,,,,,
University of Iowa,,,,,
"University of Phoenix, Salem Learning Center, Salem",,,,,
"University of North Carolina, Charlotte",,,,,
University of Virginia,,,,,
"University of Phoenix, North Milwaukee Student Resource Center, Glendale",,,,,
University of Pittsburgh,,,,,
Northeastern University,,,,,
University of Baltimore,,,,,
University of Scranton,,,,,
"University of Phoenix, Sugar Land Learning Center, Sugar Land",,,,,
Florida International University,,,,,
"University of Phoenix, Columbus-GA Campus, Columbus",,,,,
American University,,,,,
"University of Phoenix, Minneapolis/ St. Paul Campus, St. Louis Park",,,,,
Massachusetts Institute of Technology,,,,,
University of Virginia,,,,,
"University of Phoenix, Rancho Cordova Learning Center, Rancho Cordova",,,,,
"Carnegie Mellon University, Australia",,,,,
"University of Phoenix, Rockville Learning Center, Rockville",,,,,
"University of Phoenix, Boston Campus, Braintree",,,,,
University of North Texas Health Science Center,,,,,
Massachusetts Institute of Technology,,,,,
Tufts University,,,,,
Delaware State University,,,,,
"University of Colorado, Boulder",,,,,
University of Kansas,,,,,
Fairleigh Dickinson University,,,,,
"University of Phoenix, Springfield Campus, Springfield",,,,,
Metropolitan State University,,,,,
Rider University,,,,,
Georgetown University,,,,,
"University of Phoenix, Florence KY Learning Center, Florence",,,,,
"University of Nevada, Las Vegas",,,,,
Illinois Institute of Technology,,,,,
University of Rochester,,,,,
"University of Phoenix, Northwest Learning Center, Las Vegas",,,,,
University of Miami,,,,,
"University of Phoenix, Oklahoma City Campus, Oklahoma City",,,,,
"Devry University, Cincinnati Campus",,,,,
"College of Staten Island, City University of New York (CUNY)",,,,,
Trine University,,,,,
Washington University in St. Louis,,,,,
"University of Phoenix, Plano Student Resource Center, Plano",,,,,
Boston University,,,,,
Virginia Polytechnic Institute and State University,,,,,
Massachusetts Institute of Technology,,,,,
,Computational and Systems Biology,6.0,6,85,7
University of Puget Sound,,,,,
Pace University,,,,,
University of Oregon,,,,,
Carson-Newman College,,,,,
Illinois Institute of Technology,,,,,
Harvard Business School,,,,,
George Washington University,,,,,
"University of Phoenix, Lynnwood Learning Center, Seattle",,,,,
University of Portland,,,,,
Massachusetts Institute of Technology,,,,,
"Devry University, Fremont Campus",,,,,
Kent State University,,,,,
University of San Francisco,,,,,
Massachusetts Institute of Technology,,,,,
Duke University,,,,,
University of Pittsburgh,,,,,
University of South Carolina,,,,,
University of Kentucky,,,,,
Carnegie Mellon University,,,,,
University of Florida,,,,,
"University of Phoenix, North Valley Learning Center - Chico, Chico",,,,,
"Devry University, Memphis Campus",,,,,
Regent University,,,,,
University of Baltimore,,,,,
Brandeis University,,,,,
"University of Phoenix, South Orlando Learning Center, Orlando",,,,,
New School (The),,,,,
"Indiana University, East",,,,,
"University of Phoenix, Tulsa Campus, Tulsa",,,,,
Williams College,,,,,
"Arizona State University, Mesa",,,,,
University of Dallas,,,,,
"California State University, Fullerton",,,,,
"Devry University, Miami Center",,,,,
"Devry University, Alpharetta Campus",,,,,
"University of Phoenix, Chattanooga Campus, Chattanooga",,,,,
"University of Phoenix, Charlotte Campus, Charlotte",,,,,
"California Baptist University, Hesperia",,,,,
University of Connecticut,,,,,
"University of Phoenix, Cedar Hill Resource Center, Cedar Hill",,,,,
University of Delaware,,,,,
"Devry University, Pittsburgh Campus",,,,,
"University of Phoenix, Mililani Learning Center, Mililani",,,,,
"University of Phoenix, Killeen Learning Center, Killeen",,,,,
Seattle University,,,,,
University of Scranton,,,,,
University of Houston,,,,,
Lamar University,,,,,
New York University,,,,,
Drexel University,,,,,
Houston Baptist University,,,,,
"University of Colorado, Boulder",,,,,
University of Puget Sound,,,,,
University of San Francisco,,,,,
Manhattan School of Music,,,,,
"University of Phoenix, Des Peres Learning Center, Des Peres",,,,,
University of Rhode Island,,,,,
Marywood University,,,,,
University of Pittsburgh,,,,,
Delaware State University,,,,,
George Washington University,,,,,
"Devry University, Sugar Land (Houston) Center",,,,,
"University of Phoenix, Livermore Learning Center, Livermore",,,,,
Ohio State University,,,,,
"University of Phoenix, North Milwaukee Learning Center, Milwaukee",,,,,
University of Delaware,,,,,
"University of Phoenix, Timonium Learning Center, Timonium",,,,,
University of New Haven,,,,,
"University of Phoenix, Tacoma Learning Center, Tacoma",,,,,
Boston University,,,,,
"Devry University, Chicago O'Hare Center",,,,,
"Auburn University, Auburn",,,,,
"University of Phoenix, Westshore Learning Center, Tampa",,,,,
"University of Phoenix, West Oklahoma City Learning Center, Oklahoma City",,,,,
"University of Minnesota, Twin Cities",,,,,
Florida International University,,,,,
Michigan State University,,,,,
"University of Phoenix, Oregon Campus, Tigard",,,,,
Carnegie Mellon University,,,,,
"Devry University, Oklahoma City Campus",,,,,
"University of Phoenix, Asheville Learning Center, Asheville",,,,,
Keuka College,,,,,
University of Oregon,,,,,
Tulane University,,,,,
"University of Phoenix, Idaho Campus, Meridian",,,,,
Massachusetts Institute of Technology,,,,,
"Devry University, Merrillville Center",,,,,
"Richmond, The American International University in London",,,,,
University of Houston,,,,,
"University of Phoenix, Clear Lake Learning Center, Houston",,,,,
"University of Washington, Bothell",,,,,
"University of Hawaii, Manoa",,,,,
"Devry University, San Diego Campus",,,,,
Loma Linda University,,,,,
"City University of Seattle, Vancouver, Canada",,,,,
Massachusetts Institute of Technology,,,,,
University of Portland,,,,,
