Index,City,Latitude,Longitude
24,abong mbang,3.98,13.18
4,dingle,11.0,122.67
309,kenai,60.55,-151.26
56,carlyle,38.61,-89.37
299,luwuk,-0.95,122.79
545,flinders,-34.58,150.86
222,dehloran,32.69,47.27
305,paamiut,61.99,-49.67
579,luanda,-8.84,13.23
533,flin flon,54.77,-101.86
179,uyuni,-20.46,-66.83
232,piacabucu,-10.41,-36.43
467,mirabad,30.44,61.84
16,muroto,33.28,134.15
257,chuy,-33.7,-53.46
31,itapirapua,-15.82,-50.61
82,longyearbyen,78.22,15.64
271,mehamn,71.04,27.85
30,araouane,18.9,-3.53
337,ouadda,8.08,22.4
153,ponta do sol,32.67,-17.1
110,qaanaaq,77.48,-69.36
319,kavaratti,10.57,72.64
395,ushtobe,45.25,77.98
559,tazovskiy,67.47,78.7
302,vikulovo,56.82,70.61
366,mananjary,-21.22,48.33
100,burnie,-41.07,145.92
466,lorca,37.67,-1.7
495,matera,40.5,16.42
289,aksu,41.12,80.26
20,lebu,-37.62,-73.65
109,victoria,22.29,114.16
367,kamuli,0.95,33.12
550,haines junction,60.75,-137.51
252,waingapu,-9.66,120.26
564,khandbari,27.37,87.2
517,neuquen,-38.95,-68.06
219,cap malheureux,-19.98,57.61
528,coquimbo,-29.95,-71.34
451,wagar,16.15,36.2
71,bluff,-46.6,168.33
508,avera,33.19,-82.53
254,dossor,47.53,52.98
7,albany,42.6,-73.97
469,yeppoon,-23.13,150.73
253,esna,25.29,32.55
170,dunedin,-45.87,170.5
329,soeng sang,14.43,102.46
488,divnomorskoye,44.5,38.14
458,kulhudhuffushi,6.62,73.07
313,marystown,47.17,-55.15
454,beloha,-25.17,45.05
8,puerto ayora,-0.74,-90.35
174,kommunisticheskiy,61.68,64.48
560,jiwani,25.05,61.74
5,yicheng,31.37,119.87
244,cabinda,-5.55,12.2
25,reforma,18.1,-91.02
189,pisco,-13.7,-76.22
132,galiakot,23.52,74.0
514,turukhansk,65.82,87.98
55,new norfolk,-42.78,147.06
398,brazzaville,-4.27,15.28
98,gat,31.61,34.76
450,pak thong chai,14.72,102.03
438,chapais,49.78,-74.85
161,taltal,-25.4,-70.48
320,guerrero negro,27.98,-114.06
529,noumea,-22.28,166.46
308,margate,51.38,1.39
78,shieli,44.17,66.75
357,zhanakorgan,43.91,67.25
492,obodivka,48.41,29.25
449,tucuman,-26.82,-65.22
259,bambanglipuro,-7.95,110.28
534,rawson,-43.3,-65.1
475,bowen,-20.02,148.23
192,severo-kurilsk,50.68,156.12
48,juneau,58.3,-134.42
149,sinnamary,5.38,-52.95
177,vanderhoof,54.02,-124.02
446,jalingo,8.88,11.37
506,galveston,29.37,-94.97
515,summerville,33.02,-80.18
295,yei,4.09,30.68
347,ponta delgada,37.73,-25.67
178,apac,1.98,32.54
432,pontianak,-0.03,109.33
229,yar-sale,66.83,70.83
114,inirida,3.87,-67.92
546,imeni vorovskogo,55.72,38.34
215,villa bruzual,9.33,-69.12
375,elizabeth city,36.29,-76.25
50,jamestown,42.1,-79.24
582,skelleftea,64.75,20.95
246,moose factory,51.26,-80.61
62,baculin,7.45,126.58
130,cortez,37.35,-108.59
284,duzce,40.84,31.16
233,divnogorsk,55.96,92.36
435,santa clara,22.4,-79.97
213,labuhan,-6.88,112.21
70,atuona,-9.8,-139.03
335,okato,-39.2,173.88
77,contamana,-7.33,-75.02
210,domna,51.9,113.16
358,kutum,14.2,24.67
563,yarim,14.3,44.38
423,itaperuna,-21.2,-41.89
212,leningradskiy,69.38,178.42
150,clyde river,70.47,-68.59
103,ushumun,52.78,126.53
270,khor,47.89,134.95
163,leshukonskoye,64.9,45.76
141,mahebourg,-20.41,57.7
538,nokaneng,-19.67,22.27
293,sao gabriel da cachoeira,-0.13,-67.09
478,mocuba,-16.84,36.99
133,castro,-24.79,-50.01
183,kurkino,53.43,38.66
266,soure,-0.72,-48.52
569,terrak,65.09,12.37
409,almeirim,-1.52,-52.58
453,cunha,-23.07,-44.96
322,tagusao,9.19,117.81
552,koregaon,18.65,74.08
221,falmouth,50.15,-5.07
314,touros,-5.2,-35.46
565,alta floresta,-9.88,-56.09
468,kirakira,-10.45,161.92
146,lakkion,37.13,26.85
562,chabahar,25.29,60.64
116,pangkalanbuun,-2.68,111.62
361,chokwe,-24.53,32.98
156,okhotsk,59.38,143.3
214,baherden,38.44,57.43
206,naze,28.37,129.48
577,charters towers,-20.1,146.27
527,jalu,29.03,21.55
193,kaitangata,-46.28,169.85
486,ulaangom,49.98,92.07
511,uyemskiy,64.47,40.85
75,lamar,33.67,-95.58
186,hami,42.8,93.45
14,yellowknife,62.46,-114.35
298,ishinomaki,38.42,141.3
303,sibolga,1.74,98.78
225,buston,40.52,69.33
202,oliveira,-20.7,-44.83
549,zapolyarnyy,69.42,30.81
472,te anau,-45.42,167.72
558,nouakchott,18.09,-15.98
188,tiksi,71.69,128.87
125,zhoucheng,35.91,116.31
374,panguna,-6.32,155.48
288,amahai,-3.33,128.92
88,san patricio,19.22,-104.7
36,busselton,-33.65,115.33
419,durango,24.83,-104.83
151,macklin,52.33,-109.93
571,lasa,46.62,10.7
236,maceio,-9.67,-35.74
397,sawakin,19.11,37.33
455,lermontovka,47.15,134.34
102,havoysund,71.0,24.66
101,whitehorse,60.72,-135.05
169,bengkulu,-3.8,102.27
227,lompoc,34.64,-120.46
45,vaini,-21.2,-175.2
312,atyrau,47.12,51.88
33,conceicao do araguaia,-8.26,-49.26
22,beian,63.66,9.57
385,abilene,32.45,-99.73
143,kavieng,-2.57,150.8
290,toktogul,41.87,72.94
484,deputatskiy,69.3,139.9
147,letpadan,17.78,95.75
60,mar del plata,-38.0,-57.56
516,horta,38.53,-28.63
224,kropotkin,45.44,40.58
382,puerto baquerizo moreno,-0.9,-89.6
112,klaksvik,62.23,-6.59
255,qasigiannguit,68.82,-51.19
456,woodward,36.43,-99.39
269,el sauzal,31.9,-116.68
572,palana,59.12,159.97
17,mangochi,-14.48,35.26
346,ajaccio,42.0,8.92
128,kapan,39.21,46.41
539,vestmannaeyjar,63.44,-20.27
448,poum,-20.23,164.02
142,bumba,2.18,22.47
272,rio grande,-32.03,-52.1
93,huilong,31.81,121.66
576,sabang,5.89,95.32
209,fairbanks,64.84,-147.72
452,padang,-0.95,100.35
263,yaan,7.38,8.57
378,petatlan,17.52,-101.27
59,bredasdorp,-34.53,20.04
402,ormond beach,29.29,-81.06
43,tiznit,29.58,-9.5
