Restaurant_id,Ranking,Rating,Price Range,Number of Reviews,URL_TA,ID_TA,Cuisine Style
id_10381,10383,4.0,$$ - $$$,3.0,/Restaurant_Review-g187147-d12571297-Reviews-Combat-Paris_Ile_de_France.html,d12571297,"  Pub, Bar"
id_1040,1041,4.5,$,14.0,/Restaurant_Review-g274887-d10354665-Reviews-Game_Up_Pub-Budapest_Central_Hungary.html,d10354665,  Hungarian
id_1041,1042,4.0,NaN,37.0,/Restaurant_Review-g189852-d3529487-Reviews-Albert_Jack_s-Stockholm.html,d3529487,  Swedish
id_1048,1049,4.5,$$$$,281.0,/Restaurant_Review-g187147-d719083-Reviews-Le_Clos_des_Gourmets-Paris_Ile_de_France.html,d719083,"French,   Vegetarian Friendly"
id_1076,1077,5.0,$,2.0,/Restaurant_Review-g274856-d12018194-Reviews-The_Zoopa-Warsaw_Mazovia_Province_Central_Poland.html,d12018194,"  European,   International"
id_10781,10791,4.5,$$ - $$$,17.0,/Restaurant_Review-g186338-d787024-Reviews-Crystal_Palace-London_England.html,d787024,"  Halal, Turkish,   Middle Eastern"
id_1079,1080,4.0,$$ - $$$,167.0,/Restaurant_Review-g189158-d2703359-Reviews-A_Mourisca-Lisbon_Lisbon_District_Central_Portugal.html,d2703359,"  European,   Portuguese"
id_108,109,4.0,$$ - $$$,371.0,/Restaurant_Review-g187331-d1353540-Reviews-Nagel_Restaurant_and_Brasserie-Hamburg.html,d1353540,"  Gastropub,   Bar,   European,   Central European"
id_1084,1085,4.5,NaN,15.0,/Restaurant_Review-g187265-d4492506-Reviews-Les_petites_serviettes-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d4492506,Contemporary
id_10876,10886,4.0,$$ - $$$,20.0,/Restaurant_Review-g186338-d4185485-Reviews-Haweli_of_Sutton-London_England.html,d4185485,"  Eastern European,   Asian,   Vegetarian Friendly"
id_111,112,4.5,$,30.0,/Restaurant_Review-g274873-d5965027-Reviews-Zhong_Hua_Restaurant-Ljubljana_Upper_Carniola_Region.html,d5965027,"  Asian, Chinese"
id_111,112,4.5,$$ - $$$,1951.0,/Restaurant_Review-g186525-d1186842-Reviews-The_World_s_End-Edinburgh_Scotland.html,d1186842,"  Vegetarian Friendly,   British,   Vegan Options,   European,   Gluten Free Options"
id_11121,11131,4.5,$$ - $$$,7.0,/Restaurant_Review-g186338-d8659568-Reviews-46_Mercy-London_England.html,d8659568,Bar
id_11134,11144,4.5,$,8.0,/Restaurant_Review-g186338-d2225278-Reviews-Semz_Cafe-London_England.html,d2225278,"  British, Turkish,   Mediterranean"
id_1115,1116,4.5,$$ - $$$,87.0,/Restaurant_Review-g187791-d7359557-Reviews-Pommidoro-Rome_Lazio.html,d7359557,"  Vegetarian Friendly, Pizza,   Vegan Options"
id_11158,11168,4.0,NaN,9.0,/Restaurant_Review-g186338-d12277704-Reviews-BBQ_Express-London_England.html,d12277704,Other
id_11266,11276,4.0,$$ - $$$,10.0,/Restaurant_Review-g186338-d9740703-Reviews-Kultrun-London_England.html,d9740703,"  Spanish,   South American"
id_11272,11282,4.5,NaN,3.0,/Restaurant_Review-g186338-d7311463-Reviews-Kitchen-London_England.html,d7311463,International
id_11291,11293,4.5,$$ - $$$,10.0,/Restaurant_Review-g187147-d3543081-Reviews-La_Cave_Marcadet-Paris_Ile_de_France.html,d3543081,French
id_11299,11301,4.0,NaN,7.0,/Restaurant_Review-g187147-d10336129-Reviews-L_Annexe-Paris_Ile_de_France.html,d10336129,Other
id_11306,11316,3.5,$$ - $$$,47.0,/Restaurant_Review-g186338-d2643319-Reviews-Iberica_La_Terraza-London_England.html,d2643319,  European
id_1132,1133,4.5,$$$$,255.0,/Restaurant_Review-g187147-d1877226-Reviews-Shu-Paris_Ile_de_France.html,d1877226,"  Asian, Japanese"
id_1133,1134,3.5,$$ - $$$,61.0,/Restaurant_Review-g188644-d1082420-Reviews-Al_Pronto-Brussels.html,d1082420,"Italian,   European,   Pizza"
id_11407,11417,4.5,NaN,3.0,/Restaurant_Review-g186338-d10109314-Reviews-Heathrow_Restaurant-London_England.html,d10109314,Other
id_1141,1143,4.5,$$ - $$$,28.0,/Restaurant_Review-g187849-d12710453-Reviews-Sara_Indian_Restaurant-Milan_Lombardy.html,d12710453,"  Vegan Options,   Vegetarian Friendly, Indian"
id_11432,11434,4.0,NaN,15.0,/Restaurant_Review-g187147-d1074698-Reviews-Pakito-Paris_Ile_de_France.html,d1074698,Other
id_1149,1150,4.5,$$ - $$$,53.0,/Restaurant_Review-g187514-d12099376-Reviews-Los_Espetinhos-Madrid.html,d12099376,"  Gluten Free Options, Steakhouse"
id_1151,1153,4.5,NaN,143.0,/Restaurant_Review-g187849-d2697097-Reviews-Pravda-Milan_Lombardy.html,d2697097,Other
id_11560,11562,3.5,NaN,129.0,/Restaurant_Review-g187147-d4227711-Reviews-Terrasse_17-Paris_Ile_de_France.html,d4227711,Other
id_1167,1168,4.0,$$ - $$$,26.0,/Restaurant_Review-g188644-d11962971-Reviews-Vertigo-Brussels.html,d11962971,"  Gastropub,   Contemporary"
id_1168,1169,4.0,$$ - $$$,67.0,/Restaurant_Review-g189158-d6883153-Reviews-Restaurante_Sem_Palavras-Lisbon_Lisbon_District_Central_Portugal.html,d6883153,"  Portuguese,   European,   Mediterranean"
id_1182,1176,5.0,NaN,3.0,/Restaurant_Review-g189541-d6813236-Reviews-Koi_Sushi-Copenhagen_Zealand.html,d6813236,"Japanese,   Sushi"
id_1188,1189,4.0,$$ - $$$,173.0,/Restaurant_Review-g187791-d11895495-Reviews-SAO_Brazilian_Sushi_Bar-Rome_Lazio.html,d11895495,"  Vegan Options, Japanese,   Brazilian,   Gluten Free Options,   Vegetarian Friendly,   Sushi"
id_11945,11955,4.0,NaN,3.0,/Restaurant_Review-g186338-d7276832-Reviews-Duke_of_Wellington-London_England.html,d7276832,Pizza
id_12014,12016,3.5,NaN,16.0,/Restaurant_Review-g187147-d3735127-Reviews-Fish_and_Food_Cafe-Paris_Ile_de_France.html,d3735127,Seafood
id_12045,12055,4.0,$$ - $$$,2.0,/Restaurant_Review-g186338-d8635738-Reviews-The_Golden_Anchor_Public_House-London_England.html,d8635738,Caribbean
id_12089,12091,3.5,NaN,15.0,/Restaurant_Review-g187147-d1035596-Reviews-L_Envol_Cafe_Quebecois-Paris_Ile_de_France.html,d1035596,Other
id_1213,1216,5.0,NaN,NaN,/Restaurant_Review-g186605-d7246537-Reviews-Restaurant-Dublin_County_Dublin.html,d7246537,Other
id_1225,1228,5.0,NaN,NaN,/Restaurant_Review-g186605-d12873448-Reviews-Scent_at_Home-Dublin_County_Dublin.html,d12873448,Other
id_12273,12283,4.5,NaN,2.0,/Restaurant_Review-g186338-d1044726-Reviews-Toad_in_the_Hole-London_England.html,d1044726,"  Pub,   Grill, Bar"
id_1228,1229,4.0,$$ - $$$,277.0,/Restaurant_Review-g187497-d790369-Reviews-La_Fianna-Barcelona_Catalonia.html,d790369,"  Spanish, Mediterranean,   Vegan Options,   Vegetarian Friendly"
id_1228,1230,4.0,$$ - $$$,78.0,/Restaurant_Review-g187514-d10331391-Reviews-El_Kiosko_Ferraz-Madrid.html,d10331391,"  Vegan Options,   Gluten Free Options, Mediterranean"
id_12287,12289,3.0,NaN,8.0,/Restaurant_Review-g187147-d11666969-Reviews-Institut_De_Bonte-Paris_Ile_de_France.html,d11666969,Other
id_12302,12304,3.5,NaN,15.0,/Restaurant_Review-g187147-d8261215-Reviews-Paradiso_Ristorante-Paris_Ile_de_France.html,d8261215,Italian
id_12307,12317,3.5,$$ - $$$,63.0,/Restaurant_Review-g186338-d1018974-Reviews-Dim_T-London_England.html,d1018974,"Asian,   Vegetarian Friendly,   Malaysian,   Chinese"
id_12381,12383,3.5,NaN,3.0,/Restaurant_Review-g187147-d715001-Reviews-Chez_Raymonde-Paris_Ile_de_France.html,d715001,French
id_1239,1240,4.0,$$ - $$$,302.0,/Restaurant_Review-g187791-d4023512-Reviews-Hostaria_da_Vincenzo-Rome_Lazio.html,d4023512,"Italian,   Gluten Free Options,   Vegetarian Friendly"
id_12392,12402,4.0,$$ - $$$,NaN,/Restaurant_Review-g186338-d13153300-Reviews-Italian_Corner-London_England.html,d13153300,"Italian,   Pizza"
id_1244,1256,3.5,$$ - $$$,45.0,/Restaurant_Review-g187309-d2524764-Reviews-Majestic_Asia_Restaurant-Munich_Upper_Bavaria_Bavaria.html,d2524764,"Asian,   Vegetarian Friendly"
id_12452,12454,3.0,NaN,2.0,/Restaurant_Review-g187147-d11766630-Reviews-Domino_s-Paris_Ile_de_France.html,d11766630,Other
id_1247,1250,5.0,NaN,3.0,/Restaurant_Review-g186605-d7805333-Reviews-Biscotti_Caffe-Dublin_County_Dublin.html,d7805333,Other
id_12473,12475,3.5,NaN,13.0,/Restaurant_Review-g187147-d4185793-Reviews-Jesusparadis-Paris_Ile_de_France.html,d4185793,South American
id_12475,12485,4.0,NaN,NaN,/Restaurant_Review-g186338-d5583335-Reviews-The_India_Gate-London_England.html,d5583335,Indian
id_12495,12497,3.0,NaN,8.0,/Restaurant_Review-g187147-d10478105-Reviews-Pacha_Kebab-Paris_Ile_de_France.html,d10478105,Other
id_1251,1252,4.5,$,15.0,/Restaurant_Review-g186525-d5442784-Reviews-Sandwich_Culture-Edinburgh_Scotland.html,d5442784,Cafe
id_1257,1258,5.0,$$ - $$$,14.0,/Restaurant_Review-g274887-d10613140-Reviews-Suzy_s_vegan_dinner_above_the_city-Budapest_Central_Hungary.html,d10613140,"Eastern European,   Hungarian,   Healthy"
id_1257,1259,4.0,$$ - $$$,121.0,/Restaurant_Review-g187514-d2096546-Reviews-Asia_Te-Madrid.html,d2096546,Chinese
id_1261,1262,4.0,$,822.0,/Restaurant_Review-g187791-d4811912-Reviews-100_Montaditos-Rome_Lazio.html,d4811912,"Brew Pub,   Spanish"
id_12703,12705,3.0,$$ - $$$,121.0,/Restaurant_Review-g187147-d2011853-Reviews-Aux_Villes_du_Nord-Paris_Ile_de_France.html,d2011853,"Bar,   Pub"
id_1275,1276,4.0,$$ - $$$,377.0,/Restaurant_Review-g187791-d2439603-Reviews-Elliot_Pub-Rome_Lazio.html,d2439603,"  Pizza,   Bar, Italian"
id_128,129,4.5,$$ - $$$,183.0,/Restaurant_Review-g189852-d5949148-Reviews-Un_Poco-Stockholm.html,d5949148,"  European,   Mediterranean, Italian"
id_1280,1281,4.5,NaN,2.0,/Restaurant_Review-g189852-d12949592-Reviews-Gandhi_Grondal-Stockholm.html,d12949592,Other
id_12901,12911,3.5,$$ - $$$,4.0,/Restaurant_Review-g186338-d12996130-Reviews-The_Running_Horse-London_England.html,d12996130,  British
id_12906,12916,3.0,NaN,8.0,/Restaurant_Review-g186338-d5080700-Reviews-Kebabish-London_England.html,d5080700,Other
id_1293,1294,4.0,NaN,6.0,/Restaurant_Review-g189852-d12335302-Reviews-Litani-Stockholm.html,d12335302,"  Mediterranean, Lebanese"
id_130,131,4.5,$$ - $$$,448.0,/Restaurant_Review-g186525-d752894-Reviews-The_Cambridge_Bar-Edinburgh_Scotland.html,d752894,"  British,   Pub,   Vegetarian Friendly"
id_1300,1301,4.5,$,32.0,/Restaurant_Review-g189158-d8008981-Reviews-Pastelaria_Pomarense-Lisbon_Lisbon_District_Central_Portugal.html,d8008981,"Cafe,   European,   Portuguese"
id_131,132,4.5,$$ - $$$,404.0,/Restaurant_Review-g186605-d3859070-Reviews-McGettigans_Cookhouse_Bar-Dublin_County_Dublin.html,d3859070,"  Bar,   European,   International,   Vegan Options"
id_13122,13132,3.5,$$ - $$$,28.0,/Restaurant_Review-g186338-d4040052-Reviews-Peppers_Restaurant_Chiswick-London_England.html,d4040052,"Indian,   Asian"
id_13159,13161,3.0,NaN,37.0,/Restaurant_Review-g187147-d6697515-Reviews-La_Piazza-Paris_Ile_de_France.html,d6697515,Other
id_13175,13177,3.0,$$ - $$$,121.0,/Restaurant_Review-g187147-d3405673-Reviews-La_Terrasse_Vedettes_de_Paris-Paris_Ile_de_France.html,d3405673,"  International,   Vegetarian Friendly, French,   European"
id_13199,13209,3.0,$$ - $$$,11.0,/Restaurant_Review-g186338-d718909-Reviews-Eco-London_England.html,d718909,Italian
id_1322,1323,4.0,NaN,18.0,/Restaurant_Review-g186525-d10146454-Reviews-The_Space-Edinburgh_Scotland.html,d10146454,Other
id_1323,1326,3.5,$,113.0,/Restaurant_Review-g186605-d3431140-Reviews-Chopped-Dublin_County_Dublin.html,d3431140,"  Delicatessen,   Gluten Free Options,   Vegetarian Friendly"
id_1327,1328,5.0,NaN,NaN,/Restaurant_Review-g274887-d8791087-Reviews-Bunny_Chinese_Fast_Food-Budapest_Central_Hungary.html,d8791087,Other
id_1328,1330,4.0,NaN,237.0,/Restaurant_Review-g187849-d1226617-Reviews-De_Pasajo_Dal_Marchigiano-Milan_Lombardy.html,d1226617,Other
id_13337,13339,2.5,$$ - $$$,13.0,/Restaurant_Review-g187147-d4129187-Reviews-Le_New_s-Paris_Ile_de_France.html,d4129187,Italian
id_1334,1336,5.0,$,NaN,/Restaurant_Review-g187331-d12384552-Reviews-Club_20457-Hamburg.html,d12384552,  Pub
id_13389,13399,4.0,$$ - $$$,16.0,/Restaurant_Review-g186338-d4872826-Reviews-Elliotts_London_Bridge-London_England.html,d4872826,"  Spanish,   British, European"
id_1339,1341,4.0,$$ - $$$,1495.0,/Restaurant_Review-g186338-d3181518-Reviews-TGI_Friday_s_Piccadilly-London_England.html,d3181518,"  Gluten Free Options,   Vegetarian Friendly,   Central American"
id_134,135,4.0,$$ - $$$,191.0,/Restaurant_Review-g188057-d7687905-Reviews-Le_49_Rhone-Geneva.html,d7687905,"  Steakhouse,   European"
id_13403,13413,3.5,NaN,3.0,/Restaurant_Review-g186338-d12452377-Reviews-Bella_Italia-London_England.html,d12452377,Other
id_1341,1342,3.5,$,110.0,/Restaurant_Review-g190454-d941095-Reviews-Pizzaria_Mafiosi-Vienna.html,d941095,"  Vegetarian Friendly,   European"
id_13419,13429,3.5,$$ - $$$,35.0,/Restaurant_Review-g186338-d3242247-Reviews-The_Argyle-London_England.html,d3242247,"  British, Bar,   Pub"
id_1346,1348,4.5,$,156.0,/Restaurant_Review-g186338-d8125299-Reviews-Waffle_Jack_s_American_Diner-London_England.html,d8125299,"  Vegan Options, American,   Gluten Free Options,   Vegetarian Friendly"
id_13478,13488,2.5,NaN,8.0,/Restaurant_Review-g186338-d1097059-Reviews-Asta_3-London_England.html,d1097059,Other
id_13563,13573,3.5,$,6.0,/Restaurant_Review-g186338-d8401717-Reviews-Springbank-London_England.html,d8401717,Seafood
id_1359,1360,4.5,$,59.0,/Restaurant_Review-g187497-d9765679-Reviews-Pizza_D_Autore-Barcelona_Catalonia.html,d9765679,"  Mediterranean, Italian"
id_1365,1370,3.5,$$ - $$$,25.0,/Restaurant_Review-g188113-d1125197-Reviews-Milano-Zurich.html,d1125197,Italian
id_13695,13705,3.5,NaN,5.0,/Restaurant_Review-g186338-d4961398-Reviews-Stage_door_steakhouse-London_England.html,d4961398,Steakhouse
id_1370,1381,5.0,NaN,3.0,/Restaurant_Review-g950786-d11995686-Reviews-Atelier_du_Sushi-Schaerbeek_Brussels.html,d11995686,Other
id_1374,1376,3.5,$$ - $$$,66.0,/Restaurant_Review-g189541-d6618276-Reviews-Plaza_Grill-Copenhagen_Zealand.html,d6618276,"  Scandinavian, European,   Danish"
id_13747,13757,3.5,$$ - $$$,39.0,/Restaurant_Review-g186338-d4919283-Reviews-Jam_Circus-London_England.html,d4919283,  Pub
id_13815,13825,3.5,$,28.0,/Restaurant_Review-g186338-d2176100-Reviews-Poncho_8-London_England.html,d2176100,"  Vegetarian Friendly,   Fast Food, Mexican"
id_13850,13860,3.5,$$ - $$$,32.0,/Restaurant_Review-g186338-d7949523-Reviews-Lardo_Bebe-London_England.html,d7949523,"  Vegan Options,   Italian,   Vegetarian Friendly, Pizza"
id_13892,13894,5.0,$$ - $$$,NaN,/Restaurant_Review-g187147-d8660001-Reviews-Chez_Margot-Paris_Ile_de_France.html,d8660001,"French,   Street Food,   Healthy"
id_1391,1392,5.0,NaN,NaN,/Restaurant_Review-g274887-d7724601-Reviews-Bite-Budapest_Central_Hungary.html,d7724601,"  International,   European,   Fast Food,   Hungarian"
id_1394,1398,4.5,NaN,2.0,/Restaurant_Review-g186605-d5812483-Reviews-Excellent_Chinese_Take_Away-Dublin_County_Dublin.html,d5812483,Chinese
id_1398,1405,1.5,NaN,2.0,/Restaurant_Review-g188057-d12414220-Reviews-Restaurant_de_la_Queue_d_Arve-Geneva.html,d12414220,Other
id_14,15,4.0,$$ - $$$,1488.0,/Restaurant_Review-g189934-d850178-Reviews-Kappeli-Helsinki_Uusimaa.html,d850178,"  Soups,   Scandinavian,   Gluten Free Options,   Vegan Options,   European"
id_1401,1404,3.5,$$ - $$$,142.0,/Restaurant_Review-g188590-d3191953-Reviews-Do_Brasil-Amsterdam_North_Holland_Province.html,d3191953,"Steakhouse,   Brazilian"
id_1401,1405,4.0,$$ - $$$,28.0,/Restaurant_Review-g186605-d6633059-Reviews-Green_Land_Cafe-Dublin_County_Dublin.html,d6633059,Cafe
id_1403,1411,1.0,NaN,NaN,/Restaurant_Review-g188057-d7996902-Reviews-Lidia-Geneva.html,d7996902,Other
id_14074,14084,3.5,NaN,15.0,/Restaurant_Review-g186338-d5122063-Reviews-The_Honest_Sausage-London_England.html,d5122063,American
id_1409,1410,5.0,NaN,NaN,/Restaurant_Review-g274887-d13197631-Reviews-Le_Poulet-Budapest_Central_Hungary.html,d13197631,  Hungarian
id_14134,14144,3.5,$$ - $$$,52.0,/Restaurant_Review-g186338-d734267-Reviews-Pizza_Express-London_England.html,d734267,"Italian,   Gluten Free Options"
id_1418,1420,4.5,$,7.0,/Restaurant_Review-g189400-d10122352-Reviews-CENTRO_Coffee_Restaurant-Athens_Attica.html,d10122352,"  Mediterranean, Italian,   Greek"
id_14403,14414,4.0,NaN,4.0,/Restaurant_Review-g186338-d10760580-Reviews-Antep_Durum-London_England.html,d10760580,Turkish
id_1441,1442,5.0,$$ - $$$,49.0,/Restaurant_Review-g187147-d12947099-Reviews-Mayfair_Garden_champs_elysees-Paris_Ile_de_France.html,d12947099,"  Middle Eastern,   Pakistani,   Vegetarian Friendly"
id_14422,14433,3.5,NaN,19.0,/Restaurant_Review-g186338-d5220257-Reviews-Elements-London_England.html,d5220257,Other
id_14512,14523,3.0,NaN,8.0,/Restaurant_Review-g186338-d10686851-Reviews-Umi_Sushi_Bar-London_England.html,d10686851,Sushi
id_1457,1458,4.5,$,2.0,/Restaurant_Review-g189180-d12147644-Reviews-O_Casarao-Porto_Porto_District_Northern_Portugal.html,d12147644,"  Contemporary,   Fusion,   Portuguese"
id_1461,1463,3.5,$,283.0,/Restaurant_Review-g187849-d2589168-Reviews-Kyo_Fusion_Restaurant-Milan_Lombardy.html,d2589168,"Chinese,   Vegetarian Friendly,   Japanese"
id_14612,14623,3.0,NaN,39.0,/Restaurant_Review-g186338-d7994738-Reviews-Slim_Jim_s_Liquor_Store-London_England.html,d7994738,Other
id_1464,1465,4.0,$$ - $$$,678.0,/Restaurant_Review-g187791-d1953294-Reviews-Mavi-Rome_Lazio.html,d1953294,"  Gluten Free Options,   Mediterranean, Italian,   European,   Vegan Options"
id_1466,1467,4.0,$$ - $$$,21.0,/Restaurant_Review-g190454-d2632522-Reviews-Cafe_Berfin-Vienna.html,d2632522,"  Turkish, Middle Eastern"
id_1468,1473,3.5,$$ - $$$,24.0,/Restaurant_Review-g188113-d1887046-Reviews-McGees_Irish_Pub_Restaurant-Zurich.html,d1887046,"  Pub,   British,   Irish, Bar,   Indian,   Fast Food"
id_147,148,4.5,$,105.0,/Restaurant_Review-g274707-d10389421-Reviews-GoodEats-Prague_Bohemia.html,d10389421,"  Gluten Free Options,   European"
id_1473,1474,4.0,$,15.0,/Restaurant_Review-g189852-d1079439-Reviews-Bees_thaifood-Stockholm.html,d1079439,Thai
id_1475,1477,4.5,$$ - $$$,313.0,/Restaurant_Review-g186338-d733450-Reviews-Indian_Zing-London_England.html,d733450,"  Vegetarian Friendly, Indian,   Gluten Free Options"
id_1478,1480,4.0,$$ - $$$,215.0,/Restaurant_Review-g187514-d8123141-Reviews-La_Barra_de_Pelotari-Madrid.html,d8123141,"  Vegetarian Friendly,   European"
id_1482,1485,5.0,NaN,12.0,/Restaurant_Review-g188590-d10027275-Reviews-Samen-Amsterdam_North_Holland_Province.html,d10027275,Other
id_14925,14936,3.0,$$ - $$$,319.0,/Restaurant_Review-g186338-d2361013-Reviews-The_Riverfront_Bar_Kitchen-London_England.html,d2361013,  Vegetarian Friendly
id_14973,14984,3.0,$,18.0,/Restaurant_Review-g186338-d7617571-Reviews-Square_Pie-London_England.html,d7617571,"  British, Cafe"
id_14996,15007,3.0,$$ - $$$,85.0,/Restaurant_Review-g186338-d6403079-Reviews-The_Colonnade_London-London_England.html,d6403079,"  Bar,   European, British"
id_150,151,4.5,$,1317.0,/Restaurant_Review-g274887-d813990-Reviews-Hummusbar-Budapest_Central_Hungary.html,d813990,Healthy
id_1501,1502,4.0,$$ - $$$,144.0,/Restaurant_Review-g187497-d8737446-Reviews-El_Petit_Firo-Barcelona_Catalonia.html,d8737446,  Mediterranean
id_1504,1505,4.0,$,403.0,/Restaurant_Review-g187791-d7208833-Reviews-Gallo_Capitale_Pizza_Grill-Rome_Lazio.html,d7208833,"  Italian,   Pub"
id_1508,1490,5.0,NaN,2.0,/Restaurant_Review-g187265-d1328183-Reviews-Restaurant_Golbasi-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d1328183,Other
id_1512,1514,4.0,$$ - $$$,34.0,/Restaurant_Review-g274856-d2271370-Reviews-China_Garden-Warsaw_Mazovia_Province_Central_Poland.html,d2271370,  Asian
id_1516,1518,4.0,NaN,6.0,/Restaurant_Review-g274856-d11793939-Reviews-Kawiarnia_Amatorska-Warsaw_Mazovia_Province_Central_Poland.html,d11793939,Other
id_152,153,4.0,$$ - $$$,80.0,/Restaurant_Review-g190356-d743790-Reviews-Am_Clubhaus_op_der_Spora-Luxembourg_City.html,d743790,"  Sushi, Japanese,   Asian"
id_1524,1526,3.5,NaN,3.0,/Restaurant_Review-g189400-d13001826-Reviews-Best_Taste_Experts-Athens_Attica.html,d13001826,"  Street Food, Pizza"
id_15279,15291,3.5,$$ - $$$,16.0,/Restaurant_Review-g186338-d5795578-Reviews-Taste_Of_India-London_England.html,d5795578,  Halal
id_1530,1533,4.5,$$ - $$$,34.0,/Restaurant_Review-g274707-d4768479-Reviews-Magicka_Zahrada_Nouveau-Prague_Bohemia.html,d4768479,"  Czech, European"
id_1533,1534,4.5,$$ - $$$,105.0,/Restaurant_Review-g187147-d4697825-Reviews-Lou_tiap-Paris_Ile_de_France.html,d4697825,French
id_1536,1537,4.0,$,20.0,/Restaurant_Review-g188644-d7336387-Reviews-Asia_Grill-Brussels.html,d7336387,Asian
id_1536,1537,4.0,$,27.0,/Restaurant_Review-g190454-d2140541-Reviews-WerkzeugH-Vienna.html,d2140541,"Austrian,   European"
id_1539,1540,4.5,$$ - $$$,4.0,/Restaurant_Review-g188644-d13206789-Reviews-Atrio_Restaurant_Bar_Terrace-Brussels.html,d13206789,"Italian,   European"
id_1539,1541,3.5,$$ - $$$,8.0,/Restaurant_Review-g189852-d12516525-Reviews-Pitcher_s_Stockholm-Stockholm.html,d12516525,"  Steakhouse,   Pub,   Bar"
id_1539,1543,3.5,$$ - $$$,44.0,/Restaurant_Review-g186605-d811284-Reviews-Chrysanthemum-Dublin_County_Dublin.html,d811284,Chinese
id_15402,15414,2.5,$,35.0,/Restaurant_Review-g186338-d5616257-Reviews-Chelsea_Deli-London_England.html,d5616257,Cafe
id_1545,1546,4.5,$$ - $$$,7.0,/Restaurant_Review-g189158-d13171584-Reviews-Tapas_n_Friends_Campo_de_Ourique-Lisbon_Lisbon_District_Central_Portugal.html,d13171584,"European,   Portuguese"
id_1547,1550,3.5,$$ - $$$,91.0,/Restaurant_Review-g188590-d10488468-Reviews-Happyhappyjoyjoy_East-Amsterdam_North_Holland_Province.html,d10488468,"  Seafood,   Korean, Chinese,   Asian,   Japanese"
id_155,156,4.5,$$ - $$$,482.0,/Restaurant_Review-g188590-d4588301-Reviews-Villa_Maria_Restaurant_Amsterdam-Amsterdam_North_Holland_Province.html,d4588301,"  Argentinean,   Vegetarian Friendly,   European"
id_1556,1557,4.5,$$ - $$$,287.0,/Restaurant_Review-g187791-d1095455-Reviews-Il_Bacocco-Rome_Lazio.html,d1095455,"Seafood,   Vegetarian Friendly,   European"
id_156,157,4.0,$$ - $$$,438.0,/Restaurant_Review-g274887-d1648922-Reviews-Jack_Doyle_s_Irish_Pub_Restaurant_Budapest-Budapest_Central_Hungary.html,d1648922,"  Pub,   European,   Vegetarian Friendly"
id_1564,1568,3.5,NaN,5.0,/Restaurant_Review-g186605-d2190085-Reviews-Fusco_s_Takeaway-Dublin_County_Dublin.html,d2190085,Fast Food
id_15646,15658,2.5,NaN,3.0,/Restaurant_Review-g186338-d5440481-Reviews-Unity_Kitchen-London_England.html,d5440481,Other
id_15679,15691,2.5,$,25.0,/Restaurant_Review-g186338-d8505654-Reviews-McDonald_s-London_England.html,d8505654,Fast Food
