Restaurant_id,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,URL_TA,ID_TA
id_1748,  Fast Food,1750,3.5,$,90.0,/Restaurant_Review-g187323-d6280580-Reviews-McDonald_s-Berlin.html,d6280580
id_8588,  Mexican,8597,4.0,$,49.0,/Restaurant_Review-g186338-d5322631-Reviews-Burrito_Mama-London_England.html,d5322631
id_2073,  European,2074,4.0,$$ - $$$,128.0,/Restaurant_Review-g187147-d1048529-Reviews-Le_Cafe_Parisien-Paris_Ile_de_France.html,d1048529
id_592,  Vegetarian Friendly,593,4.0,$$ - $$$,106.0,/Restaurant_Review-g189541-d1526719-Reviews-Wokbaren-Copenhagen_Zealand.html,d1526719
id_12473,South American,12475,3.5,NaN,13.0,/Restaurant_Review-g187147-d4185793-Reviews-Jesusparadis-Paris_Ile_de_France.html,d4185793
id_13478,Other,13488,2.5,NaN,8.0,/Restaurant_Review-g186338-d1097059-Reviews-Asta_3-London_England.html,d1097059
id_981,American,982,3.5,$,12.0,/Restaurant_Review-g189934-d2484423-Reviews-Subway_Jatkasaari-Helsinki_Uusimaa.html,d2484423
id_9924,Pub,9926,3.5,$,39.0,/Restaurant_Review-g187147-d5799345-Reviews-The_Financier-Paris_Ile_de_France.html,d5799345
id_7272,  Gastropub,7281,4.0,$$ - $$$,72.0,/Restaurant_Review-g186338-d7002116-Reviews-Eltham_Gpo-London_England.html,d7002116
id_944,Cafe,946,4.5,$,25.0,/Restaurant_Review-g186605-d4324827-Reviews-Le_Petit_Cafe-Dublin_County_Dublin.html,d4324827
id_4180,  Vegetarian Friendly,4187,4.5,$$ - $$$,26.0,/Restaurant_Review-g186338-d10903502-Reviews-Spit_and_Sawdust-London_England.html,d10903502
id_2024,Bar,2025,4.5,$$ - $$$,93.0,/Restaurant_Review-g187147-d780204-Reviews-Charonne_Cafe-Paris_Ile_de_France.html,d780204
id_3998,  Mediterranean,3999,4.0,$$ - $$$,137.0,/Restaurant_Review-g187791-d2323613-Reviews-Ristorante_Petrucci-Rome_Lazio.html,d2323613
id_13337,Italian,13339,2.5,$$ - $$$,13.0,/Restaurant_Review-g187147-d4129187-Reviews-Le_New_s-Paris_Ile_de_France.html,d4129187
id_3053,  Mediterranean,3054,4.0,$$ - $$$,177.0,/Restaurant_Review-g187791-d7214349-Reviews-Shabby_Bistrot-Rome_Lazio.html,d7214349
id_56,  Bar,57,4.5,$$ - $$$,3491.0,/Restaurant_Review-g186605-d1884058-Reviews-The_Brazen_Head-Dublin_County_Dublin.html,d1884058
id_45,Austrian,46,4.5,$$ - $$$,2490.0,/Restaurant_Review-g190454-d813285-Reviews-Purstner-Vienna.html,d813285
id_3501,  Cafe,3503,5.0,NaN,2.0,/Restaurant_Review-g187323-d11999809-Reviews-Lehrter_Cafe-Berlin.html,d11999809
id_565,  European,566,4.0,$$ - $$$,35.0,/Restaurant_Review-g188644-d3622799-Reviews-Chez_Luis-Brussels.html,d3622799
id_1391,  International,1392,5.0,NaN,NaN,/Restaurant_Review-g274887-d7724601-Reviews-Bite-Budapest_Central_Hungary.html,d7724601
id_820,European,821,4.0,$$ - $$$,130.0,/Restaurant_Review-g190454-d1963456-Reviews-Wein_Co_Naschmarkt-Vienna.html,d1963456
id_3917,  Italian,3918,3.5,$$ - $$$,197.0,/Restaurant_Review-g187791-d3454924-Reviews-Ristorante_Il_Borgo-Rome_Lazio.html,d3454924
id_284,  Vegetarian Friendly,285,4.0,$$ - $$$,905.0,/Restaurant_Review-g187849-d1926746-Reviews-Izu-Milan_Lombardy.html,d1926746
id_360,  Vegan Options,361,5.0,$$ - $$$,49.0,/Restaurant_Review-g274887-d8654533-Reviews-Casa_Pomo_d_Oro-Budapest_Central_Hungary.html,d8654533
id_279,  Pizza,280,4.0,$$ - $$$,257.0,/Restaurant_Review-g186605-d1785149-Reviews-Little_Venice-Dublin_County_Dublin.html,d1785149
id_317,  European,318,4.5,$$ - $$$,523.0,/Restaurant_Review-g187147-d780485-Reviews-Le_Jardin_d_en_Face-Paris_Ile_de_France.html,d780485
id_313,Sushi,314,4.5,NaN,14.0,/Restaurant_Review-g190356-d4844610-Reviews-Takajo_Sushi-Luxembourg_City.html,d4844610
id_1168,  Portuguese,1169,4.0,$$ - $$$,67.0,/Restaurant_Review-g189158-d6883153-Reviews-Restaurante_Sem_Palavras-Lisbon_Lisbon_District_Central_Portugal.html,d6883153
id_451,  Pub,452,3.0,$$ - $$$,178.0,/Restaurant_Review-g274924-d2085183-Reviews-Infiniti_Rock_cafe-Bratislava_Bratislava_Region.html,d2085183
id_356,  Vegan Options,357,5.0,$$ - $$$,84.0,/Restaurant_Review-g187791-d12481552-Reviews-CasaRita-Rome_Lazio.html,d12481552
id_553,  Vegetarian Friendly,554,4.5,$$ - $$$,66.0,/Restaurant_Review-g189158-d10266436-Reviews-L_Artusi_Ristorante-Lisbon_Lisbon_District_Central_Portugal.html,d10266436
id_360,Italian,361,5.0,$$ - $$$,49.0,/Restaurant_Review-g274887-d8654533-Reviews-Casa_Pomo_d_Oro-Budapest_Central_Hungary.html,d8654533
id_538,  Vegetarian Friendly,542,4.5,$,59.0,/Restaurant_Review-g187309-d2255569-Reviews-Fraulein_Gruneis-Munich_Upper_Bavaria_Bavaria.html,d2255569
id_4217,  Vegan Options,4224,4.0,$$ - $$$,169.0,/Restaurant_Review-g186338-d1019284-Reviews-Noura_Mayfair-London_England.html,d1019284
id_1952,  Vegetarian Friendly,1953,3.5,$$ - $$$,39.0,/Restaurant_Review-g274887-d12410110-Reviews-Grand_Cafe-Budapest_Central_Hungary.html,d12410110
id_1986,  Czech,1989,5.0,NaN,NaN,/Restaurant_Review-g274707-d4768291-Reviews-Restaurace_U_Divadla-Prague_Bohemia.html,d4768291
id_918,  Pub,919,3.5,NaN,2.0,/Restaurant_Review-g189934-d904707-Reviews-Pub_Heinahattu-Helsinki_Uusimaa.html,d904707
id_72,  Vegetarian Friendly,73,4.0,$$ - $$$,779.0,/Restaurant_Review-g188644-d4014123-Reviews-Abrussel-Brussels.html,d4014123
id_1907,  Fast Food,1912,2.5,NaN,9.0,/Restaurant_Review-g189541-d5408595-Reviews-China-Copenhagen_Zealand.html,d5408595
id_1524,  Street Food,1526,3.5,NaN,3.0,/Restaurant_Review-g189400-d13001826-Reviews-Best_Taste_Experts-Athens_Attica.html,d13001826
id_156,  Pub,157,4.0,$$ - $$$,438.0,/Restaurant_Review-g274887-d1648922-Reviews-Jack_Doyle_s_Irish_Pub_Restaurant_Budapest-Budapest_Central_Hungary.html,d1648922
id_360,  European,361,5.0,$$ - $$$,49.0,/Restaurant_Review-g274887-d8654533-Reviews-Casa_Pomo_d_Oro-Budapest_Central_Hungary.html,d8654533
id_1921,  Spanish,1922,4.0,$$ - $$$,94.0,/Restaurant_Review-g187497-d8661176-Reviews-El_Catala-Barcelona_Catalonia.html,d8661176
id_8,  Vegan Options,9,4.5,$$ - $$$,956.0,/Restaurant_Review-g190479-d9459585-Reviews-Der_Peppern_Gror-Oslo_Eastern_Norway.html,d9459585
id_4196,  Pub,4197,5.0,$$ - $$$,NaN,/Restaurant_Review-g187497-d12572658-Reviews-Crusto-Barcelona_Catalonia.html,d12572658
id_5524,Other,5527,3.5,NaN,14.0,/Restaurant_Review-g187514-d9742180-Reviews-Restaurante_Y_Al_Vino_al_Vino-Madrid.html,d9742180
id_1346,  Vegan Options,1348,4.5,$,156.0,/Restaurant_Review-g186338-d8125299-Reviews-Waffle_Jack_s_American_Diner-London_England.html,d8125299
id_1374,  Scandinavian,1376,3.5,$$ - $$$,66.0,/Restaurant_Review-g189541-d6618276-Reviews-Plaza_Grill-Copenhagen_Zealand.html,d6618276
id_5312,  Vegetarian Friendly,5321,4.0,$$ - $$$,42.0,/Restaurant_Review-g186338-d12402429-Reviews-Pizza_Pilgrims-London_England.html,d12402429
id_279,  European,280,4.0,$$ - $$$,257.0,/Restaurant_Review-g186605-d1785149-Reviews-Little_Venice-Dublin_County_Dublin.html,d1785149
id_1674,  International,1679,4.0,$$ - $$$,26.0,/Restaurant_Review-g188590-d3610708-Reviews-Eetcafe_Le_Traffic-Amsterdam_North_Holland_Province.html,d3610708
id_1,  Vegetarian Friendly,2,4.5,$$ - $$$,418.0,/Restaurant_Review-g188113-d10169867-Reviews-Tamarind_Hill_Indian_Restaurant-Zurich.html,d10169867
id_1391,  European,1392,5.0,NaN,NaN,/Restaurant_Review-g274887-d7724601-Reviews-Bite-Budapest_Central_Hungary.html,d7724601
id_8523,Other,8532,4.5,NaN,4.0,/Restaurant_Review-g186338-d4924798-Reviews-Amal_Lebanese_And_Moroccan_Cuisine-London_England.html,d4924798
id_4670,  Mediterranean,4678,5.0,$$ - $$$,19.0,/Restaurant_Review-g186338-d10070252-Reviews-Paglia_e_Fieno-London_England.html,d10070252
id_1461,Chinese,1463,3.5,$,283.0,/Restaurant_Review-g187849-d2589168-Reviews-Kyo_Fusion_Restaurant-Milan_Lombardy.html,d2589168
id_7122,  International,7131,4.0,$$ - $$$,79.0,/Restaurant_Review-g186338-d3322305-Reviews-Piano_Kensington-London_England.html,d3322305
id_1457,  Contemporary,1458,4.5,$,2.0,/Restaurant_Review-g189180-d12147644-Reviews-O_Casarao-Porto_Porto_District_Northern_Portugal.html,d12147644
id_1877,Other,1878,4.0,NaN,NaN,/Restaurant_Review-g274887-d9752550-Reviews-Oxygen_Pizza-Budapest_Central_Hungary.html,d9752550
id_991,  Gluten Free Options,993,4.5,$$ - $$$,31.0,/Restaurant_Review-g186605-d8524256-Reviews-Michie_Sushi_Sandyford-Dublin_County_Dublin.html,d8524256
id_3360,  Asian,3361,4.0,$,61.0,/Restaurant_Review-g187791-d7274833-Reviews-Pizza_Pazza_per_i_Pazzi_della_Pizza-Rome_Lazio.html,d7274833
id_284,  Vegan Options,285,5.0,$,93.0,/Restaurant_Review-g187147-d11929974-Reviews-Cook_n_Saj-Paris_Ile_de_France.html,d11929974
id_2806,  Vegan Options,2807,3.5,$$ - $$$,1079.0,/Restaurant_Review-g187791-d1182786-Reviews-Ginza_Gold-Rome_Lazio.html,d1182786
id_4066,  Pizza,4073,3.5,$$ - $$$,286.0,/Restaurant_Review-g186338-d2259559-Reviews-Made_In_Italy_King_s_Road-London_England.html,d2259559
id_2540,Other,2545,3.0,NaN,2.0,/Restaurant_Review-g187331-d1039067-Reviews-Holstenstube-Hamburg.html,d1039067
id_678,Pizza,679,4.5,$$ - $$$,95.0,/Restaurant_Review-g187514-d5487718-Reviews-Pizzeria_La_Cupula-Madrid.html,d5487718
id_3303,  Vegetarian Friendly,3304,4.0,$$ - $$$,61.0,/Restaurant_Review-g187497-d997616-Reviews-Restaurante_El_Pati-Barcelona_Catalonia.html,d997616
id_284,Japanese,285,4.0,$$ - $$$,905.0,/Restaurant_Review-g187849-d1926746-Reviews-Izu-Milan_Lombardy.html,d1926746
id_246,  Mediterranean,247,4.5,$$ - $$$,537.0,/Restaurant_Review-g187791-d6988362-Reviews-Ristorante_A_Maidda-Rome_Lazio.html,d6988362
id_1675,  Vegan Options,1676,4.0,$$ - $$$,41.0,/Restaurant_Review-g189158-d10170180-Reviews-EGGS_MORE_by_MEZ_CAIS-Lisbon_Lisbon_District_Central_Portugal.html,d10170180
id_2224,  Wine Bar,2225,4.5,$$ - $$$,140.0,/Restaurant_Review-g187147-d782237-Reviews-Le_porte_pot-Paris_Ile_de_France.html,d782237
id_393,  Vegetarian Friendly,394,4.0,$$ - $$$,77.0,/Restaurant_Review-g187331-d1873223-Reviews-Cafe_Leonar-Hamburg.html,d1873223
id_311,  Soups,312,4.5,$$ - $$$,34.0,/Restaurant_Review-g274856-d9863670-Reviews-Edamame_Vegan_Sushi-Warsaw_Mazovia_Province_Central_Poland.html,d9863670
id_900,Bar,901,4.0,$,139.0,/Restaurant_Review-g274707-d4769383-Reviews-Pivnice_Pod_Petrinem-Prague_Bohemia.html,d4769383
id_1579,  Vegetarian Friendly,1580,4.5,$$ - $$$,64.0,/Restaurant_Review-g187791-d10744198-Reviews-Matilde_Bistrot-Rome_Lazio.html,d10744198
id_492,  Cafe,493,4.0,$,95.0,/Restaurant_Review-g188644-d2719603-Reviews-Delish-Brussels.html,d2719603
id_108,  Gastropub,109,4.0,$$ - $$$,371.0,/Restaurant_Review-g187331-d1353540-Reviews-Nagel_Restaurant_and_Brasserie-Hamburg.html,d1353540
id_1182,Japanese,1176,5.0,NaN,3.0,/Restaurant_Review-g189541-d6813236-Reviews-Koi_Sushi-Copenhagen_Zealand.html,d6813236
id_7423,Mediterranean,7424,2.5,NaN,44.0,/Restaurant_Review-g187497-d2100338-Reviews-Nou_Can_Tipa-Barcelona_Catalonia.html,d2100338
id_1457,  Fusion,1458,4.5,$,2.0,/Restaurant_Review-g189180-d12147644-Reviews-O_Casarao-Porto_Porto_District_Northern_Portugal.html,d12147644
id_13815,  Vegetarian Friendly,13825,3.5,$,28.0,/Restaurant_Review-g186338-d2176100-Reviews-Poncho_8-London_England.html,d2176100
id_3991,Cafe,3998,4.5,$$ - $$$,48.0,/Restaurant_Review-g186338-d7312499-Reviews-The_Canvas_Cafe-London_England.html,d7312499
id_1547,  Seafood,1550,3.5,$$ - $$$,91.0,/Restaurant_Review-g188590-d10488468-Reviews-Happyhappyjoyjoy_East-Amsterdam_North_Holland_Province.html,d10488468
id_1151,Other,1153,4.5,NaN,143.0,/Restaurant_Review-g187849-d2697097-Reviews-Pravda-Milan_Lombardy.html,d2697097
id_332,  Vegan Options,333,4.5,$$ - $$$,153.0,/Restaurant_Review-g187791-d12423010-Reviews-Rione_13-Rome_Lazio.html,d12423010
id_5817,Asian,5818,4.0,$$$$,52.0,/Restaurant_Review-g187147-d1020592-Reviews-Woo_Jung-Paris_Ile_de_France.html,d1020592
id_237,Swedish,238,4.5,$$ - $$$,154.0,/Restaurant_Review-g189852-d1496204-Reviews-Proviant_Ostermalm-Stockholm.html,d1496204
id_211,  Vegetarian Friendly,212,4.5,$$ - $$$,773.0,/Restaurant_Review-g187497-d2470800-Reviews-B_Burger-Barcelona_Catalonia.html,d2470800
id_1048,French,1049,4.5,$$$$,281.0,/Restaurant_Review-g187147-d719083-Reviews-Le_Clos_des_Gourmets-Paris_Ile_de_France.html,d719083
id_863,  Vegan Options,864,3.5,$$ - $$$,165.0,/Restaurant_Review-g186525-d1136782-Reviews-Empires-Edinburgh_Scotland.html,d1136782
id_4,  Gluten Free Options,5,5.0,$$ - $$$,1078.0,/Restaurant_Review-g187497-d11906544-Reviews-Bodega_Biarritz-Barcelona_Catalonia.html,d11906544
id_9780,  British,9789,3.5,$$ - $$$,162.0,/Restaurant_Review-g186338-d3613533-Reviews-Fish_House-London_England.html,d3613533
id_1188,  Vegan Options,1189,4.0,$$ - $$$,173.0,/Restaurant_Review-g187791-d11895495-Reviews-SAO_Brazilian_Sushi_Bar-Rome_Lazio.html,d11895495
id_415,  Mediterranean,416,4.0,$$ - $$$,615.0,/Restaurant_Review-g187849-d2263352-Reviews-Al_Padellone-Milan_Lombardy.html,d2263352
id_2614,  Vegetarian Friendly,2633,3.0,$$ - $$$,110.0,/Restaurant_Review-g187309-d2267111-Reviews-Shanghai_Restaurant-Munich_Upper_Bavaria_Bavaria.html,d2267111
id_1714,Chinese,1717,4.0,NaN,5.0,/Restaurant_Review-g187331-d1038938-Reviews-Hong_Kong-Hamburg.html,d1038938
id_1879,  Gluten Free Options,1882,4.0,$,33.0,/Restaurant_Review-g189158-d9739262-Reviews-Agua_no_Bico-Lisbon_Lisbon_District_Central_Portugal.html,d9739262
id_739,  Eastern European,740,4.0,$$ - $$$,98.0,/Restaurant_Review-g274887-d2171461-Reviews-Claro_Bistro-Budapest_Central_Hungary.html,d2171461
id_1746,  Mediterranean,1760,4.0,$$ - $$$,55.0,/Restaurant_Review-g187309-d1912599-Reviews-Das_Restaurant_am_Stemmerhof-Munich_Upper_Bavaria_Bavaria.html,d1912599
id_1418,Italian,1420,4.5,$,7.0,/Restaurant_Review-g189400-d10122352-Reviews-CENTRO_Coffee_Restaurant-Athens_Attica.html,d10122352
id_6624,  Cafe,6625,3.0,$$ - $$$,169.0,/Restaurant_Review-g187497-d3292870-Reviews-La_Cava_Universal-Barcelona_Catalonia.html,d3292870
id_2502,  Vegetarian Friendly,2503,4.5,$$ - $$$,138.0,/Restaurant_Review-g187791-d795704-Reviews-Om-Rome_Lazio.html,d795704
id_229,  European,230,4.0,$$ - $$$,47.0,/Restaurant_Review-g189934-d4476199-Reviews-Cafe_Bar_Valimo-Helsinki_Uusimaa.html,d4476199
id_1940,  French,1941,3.0,$$ - $$$,354.0,/Restaurant_Review-g1166685-d1324029-Reviews-Amarine_Saint_Priest-Saint_Priest_Lyon_Rhone_Auvergne_Rhone_Alpes.html,d1324029
id_5673,Italian,5675,5.0,$,NaN,/Restaurant_Review-g187791-d12322989-Reviews-Tasty_Friendly-Rome_Lazio.html,d12322989
id_6583,Cafe,6592,4.5,$,29.0,/Restaurant_Review-g186338-d2524119-Reviews-Cafe_Parco-London_England.html,d2524119
id_9121,Other,9123,4.0,NaN,22.0,/Restaurant_Review-g187147-d4091909-Reviews-Le_Maine_Parnasse-Paris_Ile_de_France.html,d4091909
id_5329,Other,5331,4.5,NaN,4.0,/Restaurant_Review-g187791-d12921595-Reviews-La_Casetta-Rome_Lazio.html,d12921595
id_1188,Japanese,1189,4.0,$$ - $$$,173.0,/Restaurant_Review-g187791-d11895495-Reviews-SAO_Brazilian_Sushi_Bar-Rome_Lazio.html,d11895495
id_1907,Chinese,1912,2.5,NaN,9.0,/Restaurant_Review-g189541-d5408595-Reviews-China-Copenhagen_Zealand.html,d5408595
id_279,  Vegan Options,280,4.0,$$ - $$$,257.0,/Restaurant_Review-g186605-d1785149-Reviews-Little_Venice-Dublin_County_Dublin.html,d1785149
id_2599,Italian,2601,4.5,$$ - $$$,15.0,/Restaurant_Review-g187849-d5264440-Reviews-Antica_Salumeria_Crescenzago-Milan_Lombardy.html,d5264440
id_7270,  Wine Bar,7271,4.0,$$ - $$$,65.0,/Restaurant_Review-g187147-d783430-Reviews-Le_Domaine_Leopold-Paris_Ile_de_France.html,d783430
id_4452,  Mediterranean,4453,4.0,$$ - $$$,171.0,/Restaurant_Review-g187791-d7995957-Reviews-VINO_e_FOCACCIA-Rome_Lazio.html,d7995957
id_360,  Vegetarian Friendly,361,5.0,$$ - $$$,49.0,/Restaurant_Review-g274887-d8654533-Reviews-Casa_Pomo_d_Oro-Budapest_Central_Hungary.html,d8654533
id_13175,  International,13177,3.0,$$ - $$$,121.0,/Restaurant_Review-g187147-d3405673-Reviews-La_Terrasse_Vedettes_de_Paris-Paris_Ile_de_France.html,d3405673
id_194,Cafe,196,4.0,$$ - $$$,106.0,/Restaurant_Review-g187309-d4818393-Reviews-Konigin_43-Munich_Upper_Bavaria_Bavaria.html,d4818393
id_956,Spanish,957,3.5,$$ - $$$,8.0,/Restaurant_Review-g189934-d12310002-Reviews-Bar_Primero-Helsinki_Uusimaa.html,d12310002
id_252,Other,253,4.0,NaN,10.0,/Restaurant_Review-g274924-d12111665-Reviews-Vespa_Caffeterria-Bratislava_Bratislava_Region.html,d12111665
id_602,Asian,603,4.0,$$ - $$$,135.0,/Restaurant_Review-g186605-d7591680-Reviews-East_Restaurant-Dublin_County_Dublin.html,d7591680
id_2073,French,2074,4.0,$$ - $$$,128.0,/Restaurant_Review-g187147-d1048529-Reviews-Le_Cafe_Parisien-Paris_Ile_de_France.html,d1048529
id_48,  Mediterranean,49,4.5,$$ - $$$,1724.0,/Restaurant_Review-g187791-d8511258-Reviews-Pasta_Chef_Monti_Street_Food_Gourmet-Rome_Lazio.html,d8511258
id_35,Seafood,36,4.5,$$ - $$$,2340.0,/Restaurant_Review-g274887-d696117-Reviews-Taverna_Dionysos-Budapest_Central_Hungary.html,d696117
id_412,  Vegetarian Friendly,413,4.0,$$ - $$$,486.0,/Restaurant_Review-g187791-d795702-Reviews-Jaipur_Ristorante_Indiano-Rome_Lazio.html,d795702
id_11291,French,11293,4.5,$$ - $$$,10.0,/Restaurant_Review-g187147-d3543081-Reviews-La_Cave_Marcadet-Paris_Ile_de_France.html,d3543081
id_3191,  Gluten Free Options,3197,4.5,$$ - $$$,123.0,/Restaurant_Review-g186338-d3970522-Reviews-Zen_Mondo_Japanese_Dining-London_England.html,d3970522
id_717,  Vegetarian Friendly,718,4.0,$$ - $$$,68.0,/Restaurant_Review-g189541-d6780578-Reviews-Bakaliko_Greek_Deli-Copenhagen_Zealand.html,d6780578
id_6610,  Seafood,6611,4.5,NaN,5.0,/Restaurant_Review-g187147-d12945640-Reviews-Rech-Paris_Ile_de_France.html,d12945640
id_245,  Cafe,246,4.0,$$ - $$$,92.0,/Restaurant_Review-g189852-d8774485-Reviews-STHLM_Brunch_Club-Stockholm.html,d8774485
id_11432,Other,11434,4.0,NaN,15.0,/Restaurant_Review-g187147-d1074698-Reviews-Pakito-Paris_Ile_de_France.html,d1074698
id_1464,  Gluten Free Options,1465,4.0,$$ - $$$,678.0,/Restaurant_Review-g187791-d1953294-Reviews-Mavi-Rome_Lazio.html,d1953294
id_643,  Pizza,644,4.0,$,19.0,/Restaurant_Review-g190479-d4043773-Reviews-Pizza_Pancetta_Majorstuen-Oslo_Eastern_Norway.html,d4043773
id_4670,  Pizza,4678,5.0,$$ - $$$,19.0,/Restaurant_Review-g186338-d10070252-Reviews-Paglia_e_Fieno-London_England.html,d10070252
id_14996,  Bar,15007,3.0,$$ - $$$,85.0,/Restaurant_Review-g186338-d6403079-Reviews-The_Colonnade_London-London_England.html,d6403079
id_2387,European,2392,4.5,NaN,3.0,/Restaurant_Review-g274707-d1971797-Reviews-Piano_Terra-Prague_Bohemia.html,d1971797
id_270,  European,271,4.0,$$ - $$$,384.0,/Restaurant_Review-g190454-d2021717-Reviews-Vapiano-Vienna.html,d2021717
id_9935,  Spanish,9937,3.5,$$$$,16.0,/Restaurant_Review-g187147-d7047167-Reviews-L_Entree_Des_Artistes-Paris_Ile_de_France.html,d7047167
id_4180,  Pub,4187,4.5,$$ - $$$,26.0,/Restaurant_Review-g186338-d10903502-Reviews-Spit_and_Sawdust-London_England.html,d10903502
id_2393,French,2394,4.0,$$ - $$$,142.0,/Restaurant_Review-g187147-d1071288-Reviews-Quedubon-Paris_Ile_de_France.html,d1071288
id_1994,  Vegan Options,2010,3.5,$,50.0,/Restaurant_Review-g187309-d2517446-Reviews-Dean_David-Munich_Upper_Bavaria_Bavaria.html,d2517446
id_4845,  Portuguese,4854,4.0,$$ - $$$,206.0,/Restaurant_Review-g186338-d3400459-Reviews-Casa_Madeira-London_England.html,d3400459
id_529,  Seafood,530,4.5,$$ - $$$,233.0,/Restaurant_Review-g187849-d3691545-Reviews-Il_Pierrot_Di_Garofalo-Milan_Lombardy.html,d3691545
id_451,  Portuguese,452,5.0,$,78.0,/Restaurant_Review-g189158-d8591395-Reviews-Ola_Lisboa-Lisbon_Lisbon_District_Central_Portugal.html,d8591395
id_1721,Pub,1728,2.0,$$ - $$$,26.0,/Restaurant_Review-g186525-d11688138-Reviews-The_Beer_House-Edinburgh_Scotland.html,d11688138
id_14134,Italian,14144,3.5,$$ - $$$,52.0,/Restaurant_Review-g186338-d734267-Reviews-Pizza_Express-London_England.html,d734267
id_1611,  Seafood,1612,4.0,$$ - $$$,621.0,/Restaurant_Review-g187791-d803842-Reviews-La_Locomotiva-Rome_Lazio.html,d803842
id_522,  Pub,523,4.5,$$ - $$$,40.0,/Restaurant_Review-g274887-d9710368-Reviews-Kamara_Cafe_Bistro-Budapest_Central_Hungary.html,d9710368
id_3198,  European,3209,5.0,$,NaN,/Restaurant_Review-g188590-d10587448-Reviews-Pietersma_Snacks-Amsterdam_North_Holland_Province.html,d10587448
id_3278,Contemporary,3280,5.0,NaN,2.0,/Restaurant_Review-g187323-d7966501-Reviews-Cafe_Seidenfaden-Berlin.html,d7966501
id_11266,  Spanish,11276,4.0,$$ - $$$,10.0,/Restaurant_Review-g186338-d9740703-Reviews-Kultrun-London_England.html,d9740703
id_2773,Other,2780,4.0,NaN,NaN,/Restaurant_Review-g188590-d10467094-Reviews-A_Loja-Amsterdam_North_Holland_Province.html,d10467094
id_35,  Mediterranean,36,4.5,$$ - $$$,2340.0,/Restaurant_Review-g274887-d696117-Reviews-Taverna_Dionysos-Budapest_Central_Hungary.html,d696117
id_9027,Other,9029,4.5,NaN,2.0,/Restaurant_Review-g187147-d13139047-Reviews-Welcome_India-Paris_Ile_de_France.html,d13139047
id_1545,European,1546,4.5,$$ - $$$,7.0,/Restaurant_Review-g189158-d13171584-Reviews-Tapas_n_Friends_Campo_de_Ourique-Lisbon_Lisbon_District_Central_Portugal.html,d13171584
id_451,American,452,3.0,$$ - $$$,178.0,/Restaurant_Review-g274924-d2085183-Reviews-Infiniti_Rock_cafe-Bratislava_Bratislava_Region.html,d2085183
id_1754,  Pizza,1755,4.0,$$ - $$$,382.0,/Restaurant_Review-g187791-d4930739-Reviews-Magnifica-Rome_Lazio.html,d4930739
id_10305,  Sushi,10314,4.0,$,13.0,/Restaurant_Review-g186338-d8463851-Reviews-Itsu-London_England.html,d8463851
id_4773,  Spanish,4776,4.0,$$ - $$$,7.0,/Restaurant_Review-g187514-d10859423-Reviews-Batea-Madrid.html,d10859423
id_2617,Other,2620,4.0,NaN,2.0,/Restaurant_Review-g189158-d12999507-Reviews-Churrasqueria_Central_Santa_Barbara-Lisbon_Lisbon_District_Central_Portugal.html,d12999507
id_2309,  Spanish,2311,3.5,$$ - $$$,307.0,/Restaurant_Review-g187514-d1172837-Reviews-El_Madrono-Madrid.html,d1172837
