"Class 
Number","Gen
Ed",Class,Description,"Credit
Hours",Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
CRIMINAL JUSTICE,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
44488.0,4,COM 181-A008,39,3,2,5,24,33,42,2.0,43696.0,43814.0
MATHEMATICS,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MEDICAL ASSISTING,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
COOPERATIVE EDUCATION,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
ART ,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ALLIED HEALTH,,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
44541.0,6,ENG 101-A002,58,3,0,0,0,33,62,2.0,43696.0,43814.0
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
PHYSICS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
45429.0,9,MAT 141-A0Z1,71,3,1,1,1,1,85,1.0,43696.0,43814.0
ENGLISH,,,,,,,,,,,,
EDUCATION,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
55312.0,,7,13,2,6,6,10,10,5,2.0,43696.0,43814.0
ALLIED HEALTH,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
CIS,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
CIS,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENERGY SYSTEMS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
44919.0,,BIO 137-A0L4,26,,5,5,27,21,28,2.0,43696.0,43814.0
RADIOGRAPHY,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
COMPUTER AIDED DRAFTING,,,,,,,,,,,,
PHYSICS,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
CIS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
KINESIOLOGY AND HEALTH PROMOTION,,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
PHYSICS,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
ART ,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
CIS,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
CIS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,,
STATISTICS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
MUSIC,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
STATISTICS,,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
CIS,,,,,,,,,,,,
STATISTICS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
GEOLOGICAL SCIENCES,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
NURSING,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,,
NUTRITION AND FOOD SCIENCE,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
44967.0,1,BIO 113-A003,23,1,7,19,12:50 PM,20,20,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,,
HISTORY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
CIS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
44918.0,2,BIO 137-A002,26,4,0,21,22,18,28,2.0,43696.0,43814.0
ENGLISH,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,,
THEATRE,,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,,
CARDIOPULMONARY RESUSCITATION,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
WELDING,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,,
CIS,,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,,
44410.0,,EET 250-A0Z1,National Electrical Code,4,1,1,1,1,52,1.0,43696.0,43814.0
NURSING,,,,,,,,,,,,
CIS,,,,,,,,,,,,
ENGLISH,,,,,,,,,,,,
