Index,popularity,budget,revenue,original_title,genres
80,2.070708,34000000,63013281,The Longest Ride,Romance
80,2.070708,34000000,63013281,The Longest Ride,Drama
81,2.060162,80000000,466183544,Hotel Transylvania 2,Animation
81,2.060162,80000000,466183544,Hotel Transylvania 2,Comedy
81,2.060162,80000000,466183544,Hotel Transylvania 2,Family
82,2.055572,17000000,24000000,Love the Coopers,Family
82,2.055572,17000000,24000000,Love the Coopers,Comedy
83,2.049886,35000000,61181942,The Walk,Adventure
83,2.049886,35000000,61181942,The Walk,Drama
83,2.049886,35000000,61181942,The Walk,Thriller
84,2.0266509999999998,11000000,1863315,Tracers,Action
84,2.0266509999999998,11000000,1863315,Tracers,Crime
84,2.0266509999999998,11000000,1863315,Tracers,Drama
85,2.000338,31000000,104384188,Vacation,Adventure
85,2.000338,31000000,104384188,Vacation,Comedy
86,1.984529,35000000,95437994,Poltergeist,Horror
86,1.984529,35000000,95437994,Poltergeist,Thriller
87,1.9800389999999999,4000000,187112,Maggie,Horror
88,1.9597650000000002,0,2000000,Equals,Drama
88,1.9597650000000002,0,2000000,Equals,Romance
88,1.9597650000000002,0,2000000,Equals,Science Fiction
89,1.95632,50000000,3324330,Child 44,Crime
89,1.95632,50000000,3324330,Child 44,Thriller
90,1.926739,5000000,58978653,The Gift,Thriller
90,1.926739,5000000,58978653,The Gift,Mystery
91,1.904898,50000000,240360392,Daddy's Home,Comedy
92,1.876037,0,0,Mythica: The Necromancer,Fantasy
92,1.876037,0,0,Mythica: The Necromancer,Action
92,1.876037,0,0,Mythica: The Necromancer,Adventure
93,1.872696,10000000,0,Vice,Thriller
93,1.872696,10000000,0,Vice,Science Fiction
93,1.872696,10000000,0,Vice,Action
93,1.872696,10000000,0,Vice,Adventure
94,1.865007,64000000,97571250,The Little Prince,Adventure
94,1.865007,64000000,97571250,The Little Prince,Animation
94,1.865007,64000000,97571250,The Little Prince,Fantasy
95,1.841779,0,233755553,Alvin and the Chipmunks: The Road Chip,Adventure
95,1.841779,0,233755553,Alvin and the Chipmunks: The Road Chip,Animation
95,1.841779,0,233755553,Alvin and the Chipmunks: The Road Chip,Comedy
95,1.841779,0,233755553,Alvin and the Chipmunks: The Road Chip,Family
96,1.82313,11930000,18340000,The Dressmaker,Drama
97,1.758618,8500000,43528634,The DUFF,Romance
97,1.758618,8500000,43528634,The DUFF,Comedy
98,1.742286,10000000,52882018,Sinister 2,Horror
99,1.73518,30000000,107597242,Paul Blart: Mall Cop 2,Action
99,1.73518,30000000,107597242,Paul Blart: Mall Cop 2,Adventure
99,1.73518,30000000,107597242,Paul Blart: Mall Cop 2,Comedy
99,1.73518,30000000,107597242,Paul Blart: Mall Cop 2,Family
100,1.7247119999999998,0,0,Frozen Fever,Adventure
100,1.7247119999999998,0,0,Frozen Fever,Animation
100,1.7247119999999998,0,0,Frozen Fever,Family
101,1.661789,0,0,High-Rise,Action
101,1.661789,0,0,High-Rise,Drama
101,1.661789,0,0,High-Rise,Science Fiction
102,1.6510779999999998,4000000,50163103,The Boy Next Door,Thriller
103,1.646664,0,0,Spooks: The Greater Good,Thriller
103,1.646664,0,0,Spooks: The Greater Good,Action
104,1.532997,30000000,49263404,Entourage,Comedy
105,1.5100959999999999,23000000,79799880,The Wedding Ringer,Comedy
106,1.499614,15000000,14860766,Scouts Guide to the Zombie Apocalypse,Comedy
106,1.499614,15000000,14860766,Scouts Guide to the Zombie Apocalypse,Horror
107,1.495112,5000000,98450062,The Visit,Horror
107,1.495112,5000000,98450062,The Visit,Thriller
108,1.4832459999999998,53000000,99775678,Black Mass,Crime
108,1.4832459999999998,53000000,99775678,Black Mass,Drama
109,1.449072,8900000,50136,Heist,Crime
109,1.449072,8900000,50136,Heist,Action
109,1.449072,8900000,50136,Heist,Thriller
110,1.448002,15000000,61548707,Krampus,Horror
110,1.448002,15000000,61548707,Krampus,Comedy
110,1.448002,15000000,61548707,Krampus,Fantasy
111,1.443406,20000000,208588,Dark Places,Drama
111,1.443406,20000000,208588,Dark Places,Mystery
111,1.443406,20000000,208588,Dark Places,Thriller
112,1.41239,5000000,54418872,No Escape,Action
112,1.41239,5000000,54418872,No Escape,Thriller
113,1.40805,700000,17986781,Dope,Crime
113,1.40805,700000,17986781,Dope,Drama
113,1.40805,700000,17986781,Dope,Comedy
114,1.3882510000000001,28000000,28208085,American Ultra,Comedy
114,1.3882510000000001,28000000,28208085,American Ultra,Action
115,1.388032,11000000,61619773,Woman in Gold,Drama
116,1.38032,0,0,The Scorpion King: The Lost Throne,Action
116,1.38032,0,0,The Scorpion King: The Lost Throne,Fantasy
116,1.38032,0,0,The Scorpion King: The Lost Throne,Adventure
117,1.3766049999999999,30000000,105011053,Sisters,Comedy
118,1.360926,12000000,32248241,Project Almanac,Science Fiction
118,1.360926,12000000,32248241,Project Almanac,Thriller
119,1.360827,0,5189646,Absolutely Anything,Comedy
119,1.360827,0,5189646,Absolutely Anything,Science Fiction
120,1.3558219999999999,25000000,72629670,The Transporter Refueled,Thriller
120,1.3558219999999999,25000000,72629670,The Transporter Refueled,Action
120,1.3558219999999999,25000000,72629670,The Transporter Refueled,Crime
121,1.345982,55000000,74679822,Crimson Peak,Mystery
121,1.345982,55000000,74679822,Crimson Peak,Thriller
121,1.345982,55000000,74679822,Crimson Peak,Fantasy
121,1.345982,55000000,74679822,Crimson Peak,Horror
121,1.345982,55000000,74679822,Crimson Peak,Drama
122,1.342839,0,0,Everly,Thriller
122,1.342839,0,0,Everly,Action
123,1.338481,14800000,122413057,Magic Mike XXL,Comedy
123,1.338481,14800000,122413057,Magic Mike XXL,Drama
123,1.338481,14800000,122413057,Magic Mike XXL,Music
124,1.338322,10000000,78099553,Paranormal Activity: The Ghost Dimension,Horror
124,1.338322,10000000,78099553,Paranormal Activity: The Ghost Dimension,Thriller
125,1.329702,0,229094,Slow West,Romance
125,1.329702,0,229094,Slow West,Thriller
125,1.329702,0,229094,Slow West,Western
126,1.316239,15000000,8235661,Trumbo,Drama
127,1.315266,19500000,32189727,Secret in Their Eyes,Crime
127,1.315266,19500000,32189727,Secret in Their Eyes,Drama
127,1.315266,19500000,32189727,Secret in Their Eyes,Mystery
128,1.29314,0,2500431,Mistress America,Comedy
129,1.291013,74000000,311594032,The SpongeBob Movie: Sponge Out of Water,Family
129,1.291013,74000000,311594032,The SpongeBob Movie: Sponge Out of Water,Animation
130,1.284541,0,4719695,True Story,Crime
130,1.284541,0,4719695,True Story,Drama
130,1.284541,0,4719695,True Story,Mystery
131,1.278928,20000000,43967255,Max,Adventure
131,1.278928,20000000,43967255,Max,Drama
131,1.278928,20000000,43967255,Max,Family
132,1.25358,0,59700000,Shaun the Sheep Movie,Family
132,1.25358,0,59700000,Shaun the Sheep Movie,Animation
132,1.25358,0,59700000,Shaun the Sheep Movie,Comedy
132,1.25358,0,59700000,Shaun the Sheep Movie,Adventure
133,1.251681,11000000,0,Louder Than Bombs,Drama
134,1.2452239999999999,0,1702433,A Perfect Day,Comedy
134,1.2452239999999999,0,1702433,A Perfect Day,Drama
135,1.225325,40000000,10664749,The Gunman,Action
135,1.225325,40000000,10664749,The Gunman,Drama
135,1.225325,40000000,10664749,The Gunman,Crime
136,1.191138,1000000,62882090,Unfriended,Horror
136,1.191138,1000000,62882090,Unfriended,Thriller
137,1.178831,35000000,51680201,Hot Pursuit,Action
137,1.178831,35000000,51680201,Hot Pursuit,Crime
137,1.178831,35000000,51680201,Hot Pursuit,Comedy
138,1.1647239999999999,10000000,104303851,Insidious: Chapter 3,Drama
138,1.1647239999999999,10000000,104303851,Insidious: Chapter 3,Horror
138,1.1647239999999999,10000000,104303851,Insidious: Chapter 3,Thriller
139,1.161812,0,118483,Z for Zachariah,Drama
139,1.161812,0,118483,Z for Zachariah,Science Fiction
139,1.161812,0,118483,Z for Zachariah,Thriller
140,1.144808,0,0,Dragonheart 3: The Sorcerer's Curse,Action
140,1.144808,0,0,Dragonheart 3: The Sorcerer's Curse,Adventure
140,1.144808,0,0,Dragonheart 3: The Sorcerer's Curse,Fantasy
141,1.142518,6000000,41387687,The Lady in the Van,Comedy
141,1.142518,6000000,41387687,The Lady in the Van,Drama
142,1.138395,40000000,34227298,Victor Frankenstein,Drama
142,1.138395,40000000,34227298,Victor Frankenstein,Science Fiction
142,1.138395,40000000,34227298,Victor Frankenstein,Thriller
143,1.128081,0,0,Brothers of the Wind,Adventure
143,1.128081,0,0,Brothers of the Wind,Drama
143,1.128081,0,0,Brothers of the Wind,Family
144,1.1252389999999999,8000000,3759286,Anomalisa,Animation
144,1.1252389999999999,8000000,3759286,Anomalisa,Comedy
144,1.1252389999999999,8000000,3759286,Anomalisa,Drama
144,1.1252389999999999,8000000,3759286,Anomalisa,Romance
145,1.0733489999999999,1800000,0,Bone Tomahawk,Horror
145,1.0733489999999999,1800000,0,Bone Tomahawk,Western
145,1.0733489999999999,1800000,0,Bone Tomahawk,Adventure
145,1.0733489999999999,1800000,0,Bone Tomahawk,Drama
146,1.065888,0,17671101,Regression,Horror
146,1.065888,0,17671101,Regression,Mystery
146,1.065888,0,17671101,Regression,Thriller
147,1.0630549999999999,0,0,Pawn Sacrifice,Drama
148,1.046518,0,11472454,The Man Who Knew Infinity,Drama
149,1.041922,20000000,0,Momentum,Thriller
149,1.041922,20000000,0,Momentum,Action
150,1.03839,2000000,1477002,The Diary of a Teenage Girl,Drama
150,1.03839,2000000,1477002,The Diary of a Teenage Girl,Romance
151,1.036825,0,0,Pay the Ghost,Horror
151,1.036825,0,0,Pay the Ghost,Thriller
152,1.02762,0,0,The Voices,Horror
152,1.02762,0,0,The Voices,Thriller
152,1.02762,0,0,The Voices,Comedy
152,1.02762,0,0,The Voices,Crime
153,1.021441,0,3643591,Last Knights,Action
153,1.021441,0,3643591,Last Knights,Adventure
154,1.0084739999999999,12000000,0,Il racconto dei racconti,Romance
154,1.0084739999999999,12000000,0,Il racconto dei racconti,Fantasy
154,1.0084739999999999,12000000,0,Il racconto dei racconti,Horror
155,1.0070540000000001,11000000,27391084,Irrational Man,Mystery
155,1.0070540000000001,11000000,27391084,Irrational Man,Drama
156,0.973316,15000000,0,Queen of the Desert,Drama
156,0.973316,15000000,0,Queen of the Desert,History
157,0.956096,18000000,41325328,Ricki and the Flash,Comedy
157,0.956096,18000000,41325328,Ricki and the Flash,Drama
157,0.956096,18000000,41325328,Ricki and the Flash,Music
158,0.9536469999999999,0,0,Miss You Already,Comedy
158,0.9536469999999999,0,0,Miss You Already,Drama
158,0.9536469999999999,0,0,Miss You Already,Romance
159,0.953046,630019,0,Kung Fury,Action
159,0.953046,630019,0,Kung Fury,Comedy
159,0.953046,630019,0,Kung Fury,Science Fiction
159,0.953046,630019,0,Kung Fury,Fantasy
160,0.950793,12000000,60273173,The Perfect Guy,Drama
160,0.950793,12000000,60273173,The Perfect Guy,Thriller
161,0.9384319999999999,0,1936524,A Bigger Splash,Crime
161,0.9384319999999999,0,1936524,A Bigger Splash,Drama
161,0.9384319999999999,0,1936524,A Bigger Splash,Mystery
161,0.9384319999999999,0,1936524,A Bigger Splash,Thriller
162,0.9376200000000001,10000000,7587485,While We're Young,Drama
162,0.9376200000000001,10000000,7587485,While We're Young,Comedy
163,0.9273389999999999,40000000,106511453,Get Hard,Comedy
164,0.91704,0,0,Kidnapping Mr. Heineken,Drama
164,0.91704,0,0,Kidnapping Mr. Heineken,Action
164,0.91704,0,0,Kidnapping Mr. Heineken,Crime
164,0.91704,0,0,Kidnapping Mr. Heineken,Thriller
165,0.913085,60000000,0,The Ridiculous 6,Comedy
165,0.913085,60000000,0,The Ridiculous 6,Western
166,0.90686,0,0,Kill Me Three Times,Comedy
166,0.90686,0,0,Kill Me Three Times,Thriller
167,0.9060360000000001,25000000,24902723,The 33,History
167,0.9060360000000001,25000000,24902723,The 33,Drama
168,0.8982959999999999,14000000,16002420,Suffragette,Drama
168,0.8982959999999999,14000000,16002420,Suffragette,History
169,0.8944770000000001,0,0,45 Years,Drama
170,0.8809379999999999,6000000,11122090,We Are Your Friends,Drama
170,0.8809379999999999,6000000,11122090,We Are Your Friends,Music
170,0.8809379999999999,6000000,11122090,We Are Your Friends,Romance
171,0.880268,0,6075,Barely Lethal,Adventure
171,0.880268,0,6075,Barely Lethal,Action
171,0.880268,0,6075,Barely Lethal,Comedy
172,0.874641,0,13192457,Macbeth,History
172,0.874641,0,13192457,Macbeth,Drama
172,0.874641,0,13192457,Macbeth,War
173,0.872149,0,16775,Extraction,Action
173,0.872149,0,16775,Extraction,Thriller
174,0.8611790000000001,0,0,Jenny's Wedding,Comedy
174,0.8611790000000001,0,0,Jenny's Wedding,Drama
175,0.848748,0,0,Descendants,Music
175,0.848748,0,0,Descendants,Action
175,0.848748,0,0,Descendants,Adventure
175,0.848748,0,0,Descendants,Comedy
175,0.848748,0,0,Descendants,Family
176,0.843174,0,0,Tumbledown,Music
176,0.843174,0,0,Tumbledown,Romance
176,0.843174,0,0,Tumbledown,Comedy
177,0.842202,0,30229977,Far from the Madding Crowd,Romance
177,0.842202,0,30229977,Far from the Madding Crowd,Drama
178,0.8369409999999999,0,3002884,The End of the Tour,Drama
179,0.8324870000000001,10000000,85978266,The Second Best Exotic Marigold Hotel,Drama
179,0.8324870000000001,10000000,85978266,The Second Best Exotic Marigold Hotel,Comedy
180,0.829111,20000000,6420319,Little Boy,Comedy
180,0.829111,20000000,6420319,Little Boy,Drama
180,0.829111,20000000,6420319,Little Boy,War
181,0.821443,0,0,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,Action
181,0.821443,0,0,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,Adventure
181,0.821443,0,0,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,Animation
181,0.821443,0,0,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,Family
182,0.820691,0,1986615,Remember,Drama
182,0.820691,0,1986615,Remember,Thriller
183,0.814206,37000000,26250020,Aloha,Adventure
183,0.814206,37000000,26250020,Aloha,Comedy
183,0.814206,37000000,26250020,Aloha,Romance
184,0.813893,26000000,0,Accidental Love,Romance
184,0.813893,26000000,0,Accidental Love,Comedy
185,0.810667,0,0,Halo: The Fall of Reach,Action
185,0.810667,0,0,Halo: The Fall of Reach,Animation
185,0.810667,0,0,Halo: The Fall of Reach,Science Fiction
186,0.795762,28000000,7002261,Our Brand Is Crisis,Drama
186,0.795762,28000000,7002261,Our Brand Is Crisis,Comedy
187,0.792471,0,0,Into the Forest,Drama
187,0.792471,0,0,Into the Forest,Science Fiction
188,0.7879689999999999,0,231737,The Invitation,Thriller
189,0.781809,0,0,The Benefactor,Drama
190,0.7739090000000001,0,0,Open Season: Scared Silly,Animation
190,0.7739090000000001,0,0,Open Season: Scared Silly,Comedy
190,0.7739090000000001,0,0,Open Season: Scared Silly,Family
190,0.7739090000000001,0,0,Open Season: Scared Silly,Adventure
191,0.77107,0,134552,Cop Car,Thriller
