Account Name,Membership Category,Membership Level,Website
Shanghai Lianfeng Textile & Garment Co. Ltd.,4,2.0,
Zephyr Textiles Ltd.,,3.0,
GTN Industries/GTN Engineering (India) Ltd.,4,2.0,
"An Hui Yu Hua Textile Co.,Ltd",7,2.0,www.AHYHFZ.com
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Changzhou Yueye Corduroy Co. Ltd.,6,3.0,
Zhejiang Saintyear Textile Co. Ltd.,6,3.0,
"Dezhou Yuanji Textile Co., Ltd",6,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Thats It Sweater Ltd,9,3.0,
Bari Textile Mills Pvt Ltd.,9,3.0,
Retailers and Brands,,,
Associate Members,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Kilim Group,4,2.0,
SMM Textiles Ltd,7,2.0,
Narteks Tekstil San. ve Tic. A.S.,4,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Zhejiang Shengfu Trading Co., Ltd",12,2.0,
Jaba Textile Mills Ltd,7,2.0,
Sri Jayakrishna Textiles,7,2.0,
Shandong Huitong Textile Co. Ltd.,4,2.0,
"Siam Kurabo Co., Ltd",7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Zhejiang Lucky Bird Textile Co.,Ltd",7,2.0,
Gokhan Tekstil San ve Tic A.S,4,2.0,www.gokhan.com.tr
Arif Knitspin Ltd,7,2.0,
Yiwu Hengsheng Textile Co. Ltd,7,2.0,
Shristi Cotspin Pvt Ltd,4,2.0,www.shristicotspinn.in
Gimatex Industries Pvt. Ltd.,7,2.0,
Anadolu Iplik ve Tekstil FabrikalarÂ› Sanayi Anonim Sirketi,7,2.0,
Associate Members,,,
Suppliers and Manufacturers,,,
"Sociedade Algodoeira do Niassa JFS, SARL",11,3.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Umer Group,4,2.0,
Nantong Tangsheng Textile Co. LTD,4,2.0,
Zhangjiagang Free Trade Zone Changxin Techical Textile Co. Ltd.,7,2.0,
Ring Shine Textiles Ltd.,6,3.0,
Maharaja Shree Umaid Mills Ltd,7,2.0,
Jiangsu Jin Xia Textile Co. Ltd,7,2.0,
Satia Synthetics Ltd,7,2.0,
"Tongxiang Yunsheng Textile Co.,Ltd",4,2.0,
Sri Sankari Yarns Pvt. Ltd.,7,2.0,
Kipas Mensucat,4,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Kashion Industry Co., Ltd",9,2.0,
DVS Tarim Urunleri Tekstil Sanayi ve Ticaret A.S,7,2.0,www.dvstekstil.com
Gillanders Arbuthnot & Co. Ltd,7,2.0,
Jiangsu Yueda Cotton Spinning Co. Ltd,4,2.0,
Ravv Tekstil,9,3.0,
Henan Pingmian Textile Group,4,2.0,
Vaibhav Laxmi Export Pvt. Ltd.,12,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
PT Kewalram Indonesia,7,2.0,
Ugurlular Tekstil San Tic A.S,7,2.0,
Rajapalayam Textile Ltd,7,2.0,
"FuQing HaiAn Shoes Materials CO.,Ltd.",,2.0,
Basil Commodities Pvt. Ltd. (Basil Group),12,2.0,
Bharat Cotton Factory,12,2.0,
Vikrant International Pvt. Ltd.,12,2.0,
Hamid Fabrics Ltd.,9,3.0,
Shandong Dashing Cashmere Products Co.ltd,,2.0,
Shri Dhanalakshmi Spintex Pvt Ltd,7,2.0,www.shridhanalakshmi.com
Zafer Tekstil San. ve Tic. A.S.,7,2.0,
"Jiangsu Yulan Yarn-Dyed Fabric Co.,Ltd",6,3.0,
Formosa Industries Corporation,7,2.0,
"Nantong Huaqiang Cloth Co.,Ltd",4,2.0,
"Shandong Huimin Dongtai Textile Co., Ltd",7,2.0,
Berto Industria Tessile SRL,6,3.0,
Arikan Mensucat San ve Tic A.S.,7,2.0,
Paul Reinhart AG,12,2.0,
Erdem Tekstil,7,2.0,
Faisal Fabrics Ltd.,6,3.0,
Foshan Deyingjia Textile Company CT,6,2.0,
Metco Textile Pvt. Ltd.,7,2.0,
Theni Guru Krishna Textile Mills Pvt Ltd,4,2.0,www.atktextiles.com
"Textil Santanderina, S.A.",4,2.0,
Sambandam Siva Textiles Pvt. Ltd.,7,2.0,
Roytex S.A.,4,2.0,www.liztex.com
Producer Organisation,,,
Sarob Non-Commercial Cooperative,2,0.0,www.sarob.net
Suppliers and Manufacturers,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
IR Accessories Pvt Ltd,5,3.0,
Mekotex Pvt. Ltd.,7,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Aarvee Denims And Exports Limited,7,2.0,
Modasan Tekstil San. ve Tic. A.S.,7,2.0,
Nisar Spinning Mills Pvt Ltd,7,2.0,
Qilu Hongye Textile Group Co. Ltd.,4,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Aman Spinning Mills,7,2.0,
"Xiajin County Ruixin Textile Co.,Ltd",7,2.0,
Sanko Tekstil,4,2.0,
"Changyi Huachen Yuesheng Textile Co.,Ltd",7,2.0,
Ensar Tekstil San. ve Tic. A.S.,4,2.0,
Bannari Amman Spinning Mills Ltd.,7,2.0,
"Kuang-You Enterprise Co.,Ltd",7,2.0,
Sandhya Spinning Mill Ltd,7,2.0,
Masood Textile Mills Ltd.,4,2.0,
"CVS Distributor Co., Ltd.",10,3.0,
Alps Industries Ltd.,4,2.0,
Narendra Cotton Ginning & Pressing Co. Pvt. Ltd.,5,2.0,
Cedro Textil,7,2.0,
Aastha Spintex Pvt Ltd,7,2.0,
Tusa Ring Isletmeleri Sanayi ve Ticaret A.S.,7,3.0,
Akij Textile Mills Ltd,4,2.0,
Paramount Textile Ltd.,6,3.0,
Jiangsu Sifang Textile Co. Ltd.,4,2.0,
Wuxi Shilead Dyeing Co. Ltd.,7,2.0,
Cotton Distributors Incorporated,12,2.0,
Nantong Textile Group Co. Ltd.,7,2.0,
Sirikcioglu Mensucat,4,2.0,
"Yarns&Colors Co.,Ltd",7,2.0,www.yarnscolors.com
Tavex Europe S.L.,4,2.0,
"Zouping County Sanli Textile Co., Ltd.",7,2.0,
Kamal Yarn Ltd.,7,2.0,
Spintex Swaziland (Pty) Ltd.,7,2.0,
Dezhou Huayuan Eco-Technology Co.,7,2.0,
CHTC Dayao Textile Co. Ltd.,10,2.0,
"ChangShu Cotton Textile Co.,Ltd",4,2.0,
PT Primayudha Mandirijaya,7,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Crescent Textile Mills Ltd,7,2.0,
"JiangYin  BeiYe Textile Co.,Ltd",7,2.0,
Vertical Knits SA DE CV,6,3.0,
Culimeta - Saveguard Ltd.,7,2.0,www.culimeta-saveguard.com
Tirumala Cotton And Agro Products Pvt Ltd,7,2.0,
Aarthi A1 Traders,9,2.0,
"Sunvim Group Co., Ltd  No. 2 Towel Company",9,2.0,
Mocotex S.A.,11,2.0,
Bulut Tekstil San. ve Tic. Ltd. Sti.,7,2.0,
Devcot S.A.,12,2.0,
Plummy Fashions Limited,6,3.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Jiangsu Liangji Group Co. Ltd.,4,2.0,
Tamijuddin Textile Mills Ltd,7,2.0,
Rajasthan Textile Mills,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Mayfair Ltd.,7,2.0,
PT Sri Rejeki Isman,4,2.0,
Finteks Tekstil ve Hali San Ltd Sti,9,3.0,
"Zaozhuang Hiyoung Dynasty Textile Co.,Ltd.",4,2.0,
Jiaxing Qiuxin Textile Co. Ltd.,7,2.0,
"Saigon Joubo Textile Co., Ltd.",4,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Top Star Textiles,6,2.0,
Sambandam Spinning Mills Ltd.,7,2.0,
Bhaskar Industries Pvt. Ltd.,7,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Jiangsu Xin Nong Xin Textile Co., Ltd",12,2.0,2014
Manjeet Oil Products,12,2.0,
BSB Spinning Mills Ltd,7,2.0,
Outpace Spinning Mills,7,2.0,
Botas Nehir Boya Emprime San. Tic. A.S.,7,3.0,
Prilla 2000 (Pty) Ltd.,7,2.0,
Gapsan Tekstil San. ve Tic. A.S.,7,2.0,
Yuli County Cotton & Linen Company,12,2.0,
Yesim Tekstil San. ve Tic. A.S.,4,2.0,
Prabhu Spinning Mills Pvt. Ltd.,7,2.0,
Zibo Yinshilai Textile Co. Ltd.,9,2.0,
Kamal Textile Mills Ltd.,9,3.0,
Iskur Tekstil Enerji Tic. ve San. A.S.,4,2.0,
Textufil S.A. de C.V.,4,2.0,
GRV Spintex Pvt Ltd,7,2.0,
PT. Spinmill Indah Industry,7,2.0,
Ramatex Pvt. Ltd.,4,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Sichuan Zorluteks Yinhua Co. Ltd.,4,2.0,
"Mirafios Sociedade, FIacao e Tecidos Lda",7,2.0,www.mirafios.pt
Salona Cotspin Ltd,7,2.0,www.salonagroup.com
"Fugou Chang Mao Textile Co., Ltd.",4,2.0,
Uspar Tekstil San. ve Tic. A.S.,4,2.0,
Al-Muqeet Textiles (Private) Limited,7,2.0,
Kongkiat Textile,7,2.0,
"Shangqiu Huifeng Cotton Industry Co., Ltd.",7,2.0,www.hfmianye.com
Sarmangal Synthetics Pvt Ltd,7,2.0,www.sarmangal.com
Loyal Textile Mills Ltd.,4,2.0,
Rauf Textile & Printing Mills Pvt Ltd,9,2.0,
Gulle Entegre Tekstil Isletmeleri Eml.San ve Tic A.S,4,2.0,
PT Bitratex Industries,7,2.0,
Ambika Cotton Mills Ltd,7,2.0,
Zhong Xiang Waisun Textiles Company Limited,7,2.0,
Chenduran Cotspin (India) Pvt Ltd,7,2.0,
"Nangtong Doublegreat Textile Co.,Ltd",4,2.0,www.ntshtex.com
"HuBei SenYu Textile Technological Co.,Ltd",7,2.0,
"Changzhou Jintan Huamao Jinsheng Science And Technology Developing Co.,Ltd.",7,2.0,
Sitex-Swift,4,2.0,
Dabiruddin Spinning Mills Ltd,7,2.0,www.salmagroup.com.bd
Weifang Chang Hao Textile Co. Ltd.,7,2.0,
Aadhi Vinayaga Spinners,7,2.0,
Kallam Spinning Mills Ltd,7,2.0,
"Haining Bafang Weaving Co.,Ltd.",4,2.0,
Besler Tekstil San. Tic. A.S,7,2.0,
Far Eastern New Century Corporation (Taiwan),4,2.0,
"Jingzhou Aoda Textile Co., Ltd",,2.0,
"Nanpi Huayu Cotton Industry Co.,Ltd",7,2.0,
Huafu Top Dyed Melange Yarn Co. Ltd.,7,2.0,
DCM Textiles,7,2.0,
Retailers and Brands,,,
Tom Tailor GmbH,3,0.0,www.tom-tailor.com
Suppliers and Manufacturers,,,
Ozone PB Spintex Ltd,7,2.0,
Sri Karpagam Mills India Pvt Ltd,7,2.0,
Nagina Group of Industries,4,2.0,
"Zhejiang Huahong Top Dyed Melange Yarn Co., Ltd",7,2.0,
Amarjothi Spinning Mills Ltd,7,2.0,
Basyazicioglu Tekstil San. ve Tic. A.S. (AKA Bamen),7,2.0,
Sapphire Group,4,2.0,
Shandong Pingyang Textile Co. Ltd.,7,2.0,
Kuk Il Vietnam Co. Ltd,7,2.0,
Naheed Composite Textile Mills Limited,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Thiagarajar Mills Pvt. Ltd.,7,2.0,
Becri - Malhas e Confeccoes S. A.,9,3.0,
Retailers and Brands,,,
Associate Members,,,
Suppliers and Manufacturers,,,
Gadoon Textile Mills Ltd.,7,2.0,
"Ningbo Yu Tai  Thread Industrial Co.,Ltd",7,2.0,
Kikani International Pvt Ltd,10,3.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Thermax Group,4,2.0,
Techno Spinning Mills Ltd.,7,2.0,
Veritas Tekstil Konf Paz San Tic A.S,9,3.0,
Eurotessile Spa,4,2.0,
Gohar Textile Mills (Pvt) Ltd.,7,2.0,
Haian Lianfa Cotton Spinning Co. Ltd. (Aksu Lianfa Textile Co. Ltd.),7,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Anandi Entreprises,12,2.0,
RMT Textile Mills Ltd.,7,2.0,
Pagmat A.S.,7,2.0,
Malwa Industries Ltd.,4,2.0,
Socota Textile and Clothing Division,6,3.0,
Luoyang White Horse Group Co.Ltd.,4,2.0,
Amber Group,4,2.0,
Fazal Industries,5,3.0,
Atesa Tekstil Insaat Tarim Gida San. Tic. A.S.,7,2.0,
PT Easterntex,4,2.0,
R S Cottmark India Pvt. Ltd.,12,2.0,
"Shandong Huajie Textile Co.,Ltd",7,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Selcuk Iplik San. ve Tic. A.S.,4,2.0,www.selcukgroup.com
Ilsan Tekstil San. Ve Tic A.S.,4,2.0,
RKS Cotton Pvt Ltd,12,2.0,
"Jiangyin Haima fancy yarn Co., Ltd",7,2.0,
Sri Velayudhaswamy Spinning Mills Pvt Ltd.,7,2.0,
Purbani Group,7,2.0,
Zahra Textile,7,2.0,
"Bengbu Huawan Textile Co., Ltd",4,2.0,
Bajwa Spinning Mills (Pvt) Limited,7,2.0,
Dong Guan Texwinca Textile& Garment  Ltd,4,2.0,
"Xinjiang Litai Silk Road Investment  Co., LTD",7,2.0,www. jinshengroup.com
UTAH Spinning Mills Limited,7,2.0,
"Dengzhou Yongtai Textile Co.,Ltd.",4,2.0,
Wearit Global Ltd,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Adwaith Textiles Ltd,7,2.0,
Namoi Cotton Alliance,12,2.0,
"Jess Smith & Sons Cotton, LLC",12,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Turpan Esquel Textile Company Limited,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Retailers and Brands,,,
New Look Retailers Ltd.,3,0.0,www.newlookgroup.com
Suppliers and Manufacturers,,,
Sunrise Textile Group,4,2.0,
Raj Overseas,9,2.0,
Jiangsu Zhongheng Dyeing & Finishing Co. Ltd.,6,2.0,
Associate Members,,,
Suppliers and Manufacturers,,,
Civil Society,,,
Associate Members,,,
Suppliers and Manufacturers,,,
Sri Vishnu Shankar Mill Ltd.,7,2.0,
Armstrong Spinning Mills Pvt Ltd,7,2.0,
Prem Textiles International Pvt Ltd,4,2.0,www.premtextiles.com
Sri Jayajothi & Co Ltd,7,2.0,
"Shananxi Changrong Textile Co.,Ltd",7,2.0,
Biteks Iplik Sanayi ve Ticaret A.S,7,2.0,
S Raja Exports,12,2.0,
Artistic Milliners,4,2.0,
Organi Mark (Pty) Ltd,12,2.0,www.organimark.co.za
ETF Tekstil,9,3.0,
Ahuja Cotspin Pvt. Ltd.,7,2.0,
Suraj Cotton Mills Limited,4,2.0,
Ghazi Fabrics International Ltd.,4,2.0,
Kedarnath Ginning Pvt Ltd,12,2.0,
Yonca Iplik Ticaret A.S,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Texhong Textile Group Ltd.,7,2.0,
"Zhucheng Chinatex G-Way Textile Co,.Ltd",7,2.0,www.g-way.cn
Arik Bey Tekstil,4,2.0,
"Jihua 3509 Textile Co., Ltd",,2.0,www.jihua3509.com1
Innovative Textiles Ltd,4,2.0,
"Atlantic Mills (Thailand) Co., Ltd and AMC Spinning Co., Ltd",4,2.0,
Yunus Tekstil,4,2.0,
S. A. Aanandan Spinning Mills Pvt. Ltd.,7,2.0,
Qingdao Textile Group Fabric Co. Ltd.,4,2.0,
Mohan Spintex India Ltd,4,2.0,www.mohanspintex.com
"Chonbang Co, Ltd",4,2.0,
Tianli Spinning (Mauritius) Co. Ltd.,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Loeb & Company, Inc.",12,2.0,
Compagnie Malienne pour le developpement des textiles (CMDT),11,2.0,
"Shaanxi Qinyuan Textile Co.,Ltd",4,2.0,
WCT Holding,12,2.0,
Aggressive Textrade Pvt Ltd,12,2.0,www.atplcotton.com
"Wahoo(Changshu) Imp&Exp Co., Ltd",12,2.0,
Interloop Ltd.,4,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Shandong  Hengtai Textile Co.,Ltd",7,2.0,
Cargill,12,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Zhangjiagang City Haoran Textile Co. Ltd.,7,2.0,
Maritas Tekstil San. ve Tic. A.S.,4,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
"Huafang Co.,Ltd",6,3.0,
Mafatlal Industries Ltd,7,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Diamond International Co. Ltd.,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Youth Spinning Mills Ltd,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Sister Denim Composite Ltd,6,3.0,www.thermaxgroup.com
Novetex Textiles Ltd.,7,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Shiva Texyarn Ltd,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Producer Organisation,,,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Indigo Textile (Pvt) Ltd,7,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Cetinkaya Mensucat San ve Tic A.S,4,2.0,
"Siyu Group Co.,Ltd",12,2.0,
"Ningbo win-win Melange Yarn Co.,Ltd",7,2.0,
Shanghai Textile Raw Materials Corporation,12,2.0,
"Fujian Changle Changyuan Textile Co.,Ltd",7,2.0,
SCM Textile Spinners (A Unit of Space Textiles Pvt. Ltd.),4,2.0,
Ningbo Seduno Group Co. Ltd.,9,3.0,
Pahartali Textile & Hosiery Mills,7,2.0,
Mega Yarn Dyeing Mills Ltd,6,3.0,www.megayarn.com
Maksons Spinning Mills Ltd.,7,2.0,
HuNan LouXing Textile Ltd.,7,2.0,
"Xiangshui Milan Textile Co.,Ltd",7,2.0,
Ipek Tekstil ve Dis Tic. A.S,7,2.0,
Sanjana Rotor Spin Ltd,7,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Hussain Mills,4,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Karacasu Tekstil,7,2.0,
"Fujian Gelier  Printing & Dyeing Co., Ltd.",4,2.0,
Vijay Pratisthan,12,2.0,
DD Cotton Pvt Ltd,12,2.0,www.ddcotton.com
Shangtex YuFeng,7,2.0,
Olam International Ltd.,12,2.0,
"Tiong Liong Industrial Co., Ltd.",6,2.0,
Far Eastern Industries (WuXi) Ltd.,7,2.0,
Balavigna Weaving Mills Pvt Ltd,6,3.0,www.balavignaorganic.com
Producer Organisation,,,
Suppliers and Manufacturers,,,
Civil Society,,,
Suppliers and Manufacturers,,,
Civil Society,,,
Suppliers and Manufacturers,,,
Arvind Dyeing & Bleaching Mills Pvt Ltd,7,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Lucky Knits (Pvt.) Ltd,9,3.0,
"Alroubaia Textile Co. ""FOURTEX""",7,2.0,www.sharabati-denim.com
Sagar Manufacturers Pvt Ltd,7,2.0,www.sagarmanufacturers.com
"Shaoxing Dafa Cloth Trade Co., Ltd",6,3.0,
Polo Composite Knit Industry Ltd,9,3.0,
B. K. S. Textiles Pvt Ltd,6,3.0,
WestPoint Home LLC,4,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Tongzhou International Cotton Limited,12,2.0,
Saiham Textile Mills Ltd,7,2.0,www.saihamtextile.com
Qingdao York Fashion Manufacture,9,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Pacific Best Ltd,8,3.0,
Zibo Luqun Textile Co. Ltd.,7,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Louis Dreyfus Company,12,2.0,www.ldcom.com
KKP Spinning Mills,7,2.0,
Associate Members,,,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Civil Society,,,
Suppliers and Manufacturers,,,
"Foshan Xindongpo Textile Co., Ltd",7,2.0,
Imteks Giyim San. ve Tic. A.S.,5,3.0,
K.P.R Mill Ltd.,4,2.0,
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Umar Spinning Mills Pvt Ltd,7,2.0,
Mustaqim Dyeing and Printing Industries Pvt. Ltd.,9,2.0,
Civil Society,,,
Associate Members,,,
Suppliers and Manufacturers,,,
Mei Sheng Textiles Vietnam Co. Ltd.,4,2.0,
Dhancot Fibres Pvt. Ltd.,12,2.0,
Exportadora TSA S.A. de C.V.,4,2.0,www.hilasal.com.sv
Xingtai H & J Textile Co. Ltd. (BlueDaimond),4,2.0,
"Xiajin county tianrun textile co., Ltd",7,2.0,
PT. Embee Plumbon Tekstil,7,2.0,www.embeetex.com
Cone Denim,4,2.0,
Nitin Spinners Limited,7,2.0,
"XianYang China Resources Textiles Co.,Ltd",4,2.0,
Ashima Group,4,2.0,
L. S. Mills Ltd.,7,2.0,
Sangam (India) Limited,7,2.0,
Nagreeka Exports Ltd.,7,2.0,
Reliance Weaving Mills Ltd.,4,2.0,
S T Cottex Exports Pvt Ltd,7,2.0,
Retailers and Brands,,,
Cotton On Group,3,0.0,www.cottonongroup.com.au
Suppliers and Manufacturers,,,
Om India Trading Company Pvt Ltd,12,2.0,www.indiatradingco.com
SEL Manufacturing Co. Ltd.,7,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Cocamar Cooperativa Agroindustrial,7,2.0,www.cocamar.com.br
Shri Cheran Synthetics India Ltd,7,2.0,
"Jiangsu Jin Wang Textile Co., Ltd.",,2.0,
"Xinfang Group Co.,Ltd",4,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Ecom Agroindustrial Corp. Ltd.,12,2.0,
Mittapalli Spinners Ltd,7,2.0,www.mittapallispinners.com
Producer Organisation,,,
Suppliers and Manufacturers,,,
Jiangsu Yulun Textile Group Ltd.,4,2.0,
Din Textile Mills,7,2.0,
Minateks,7,2.0,
Dalian Shenzhou Textiles Co. Ltd. Group,7,2.0,
"Keer Group Co., Ltd",4,2.0,
Comfort Group,4,2.0,
Civil Society,,,
Suppliers and Manufacturers,,,
Shandong Daiyin Textile Group Share Co. Ltd.,4,2.0,
Burteks Tekstil San ve Tic A.S,4,2.0,
Tonrose Ltd,9,2.0,www.tonrose.co.uk
G C Threads Pvt Ltd,7,2.0,www.gcthreads.com
Winnitex,4,2.0,
Rajvir Industries Ltd.,7,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Gujarat Cotton Corporation,12,2.0,
Skywin Spinning Pvt Ltd,7,2.0,www.skywinspinning.com
Best Corporation Pvt. Ltd.,5,2.0,
Birli Spinning Mill Pvt Ltd,7,2.0,
"Henan  Xinye Textile Co.,Ltd.",4,2.0,
Kautilya Industries Pvt Ltd,4,2.0,
Producer Organisation,,,
Suppliers and Manufacturers,,,
Shandong Linqing China Resources Textiles Co. Ltd.,7,2.0,
Radiant Textiles Limited,7,2.0,
Sintex Industries Ltd (Yarn Division),7,2.0,
Grateful Textiles Co. Ltd.,6,3.0,
Rubenis Klima San. Tic. A.S.,7,2.0,
Ekoten Tekstil,6,3.0,
Reedisha Spinning Ltd,7,2.0,
Israq Spinning Mills Ltd.,7,2.0,
Mahima Fibres Pvt. Ltd.,7,2.0,
Gul Ahmed Textile Mills,4,2.0,
Phenix Spinning Pvt Ltd,7,2.0,www.phenixspinning.com
Jytx Textile Co. Ltd.,4,2.0,
Krishna Traders,12,2.0,
Huangchuan Rongfeng Textile Industrial Co.Ltd,4,2.0,
Bezsan Tekstil San. Ve Tic. A.S,4,2.0,www.bezsan.com
Crescent Bahuman Ltd.,4,2.0,
Rasi Tex (India) Pvt Ltd,7,2.0,
CMT Spinning Mills Ltd.,7,2.0,
Associate Members,,,
Suppliers and Manufacturers,,,
Hursan Havlu Uretim San. TIC.A.S.,9,2.0,
Shahi Exports Pvt. Ltd.,4,2.0,
Akshara Spinning Mills Pvt Ltd,7,2.0,
Candiani S.p.A.,4,2.0,
GTN Group of Companies,4,2.0,
Blue Line Project S.R.L.,9,3.0,
Producer Organisation,,,
Civil Society,,,
CAB International Regional Office Pakistan,1,0.0,www.cabi.org
Retailers and Brands,,,
Suppliers and Manufacturers,,,
Shree Siddhivinayak Cotspin Pvt Ltd,7,2.0,www.sscotspin.com
Shreedhar Cotsyn Private Ltd.,12,2.0,
"Jiangsu Guotai Int'l Group Guomao Co., Ltd",10,2.0,
