Index,unit_cogs,quantity,name,group,date
33,4.19,3,EVA MYDLO W PLYNIE Z DOZ 500 MML,GENERAL_ITEMS,2018-01-04
34,2.05,2,PODPASKI BELLA  NOVA 10 SZT,GENERAL_ITEMS,2018-01-04
35,6.29,1,BAMBINO SZAMPON 400 ML,GENERAL_ITEMS,2018-01-05
36,2.53,1,BELLA HERBS 12 Z WERBENA,GENERAL_ITEMS,2018-01-05
37,1.84,6,BELLA PODPASKI NORMAL 20 B/SKRZYD,GENERAL_ITEMS,2018-01-05
38,2.5875,4,BELLA PODPASKI NOVA MAXI 10,GENERAL_ITEMS,2018-01-05
39,5.49,1,PLYN KAMIEN I RDZA 750 ML,GENERAL_ITEMS,2018-01-05
40,3.15,1,TAMPON BELLA A/8 REGULAR,GENERAL_ITEMS,2018-01-05
41,3.15,3,TAMPONY BELLA A/8 SUPER,GENERAL_ITEMS,2018-01-05
42,3.15,2,TAMPONY BELLA A/8 SUPER PLUS,GENERAL_ITEMS,2018-01-05
43,1.98,2,WATA 100G BELLA,GENERAL_ITEMS,2018-01-05
44,2.53,2,BELLA HERBS 12 Z WERBENA,GENERAL_ITEMS,2018-01-06
45,1.84,2,BELLA PODPASKI NORMAL 20 B/SKRZYD,GENERAL_ITEMS,2018-01-06
46,2.08,2,BELLA PODPASKI NORMAL MAXI 10,GENERAL_ITEMS,2018-01-06
47,3.6,1,ODSWIEZACZ SZYSZKA ZAPAS,GENERAL_ITEMS,2018-01-06
48,10.99,2,SZAMPON HEADS SHOULDERS 400 ML PIELEGNAC,GENERAL_ITEMS,2018-01-06
49,3.15,2,TAMPON BELLA A/8 REGULAR,GENERAL_ITEMS,2018-01-06
50,3.15,1,TAMPONY BELLA A/8 SUPER PLUS,GENERAL_ITEMS,2018-01-06
51,2.53,1,BELLA HERBS 12 Z WERBENA,GENERAL_ITEMS,2018-01-07
52,1.76,8,BELLA PODPASKI NORMAL 20 B/SKRZYD,GENERAL_ITEMS,2018-01-07
53,2.09,4,BELLA PODPASKI NORMAL MAXI 10,GENERAL_ITEMS,2018-01-07
54,2.57,2,BELLA PODPASKI NOVA MAXI 10,GENERAL_ITEMS,2018-01-07
55,2.89,2,BELLA PODPASKI PERFECTA GREEN,GENERAL_ITEMS,2018-01-07
56,4.39,1,PLYN DO ?AZIENKI 1 L ZÓ?TY,GENERAL_ITEMS,2018-01-07
57,2.05,4,PODPASKI BELLA  NOVA 10 SZT,GENERAL_ITEMS,2018-01-07
58,10.99,1,SZAMPON HEADS SHOULDERS 400 ML PIELEGNAC,GENERAL_ITEMS,2018-01-07
59,2.51,2,BELLA HERBS 12 Z WERBENA,GENERAL_ITEMS,2018-01-08
60,2.89,2,BELLA PODPASKI BLUE MAX,GENERAL_ITEMS,2018-01-08
61,1.778,5,BELLA PODPASKI NORMAL 20 B/SKRZYD,GENERAL_ITEMS,2018-01-08
62,2.09,3,BELLA PODPASKI NORMAL MAXI 10,GENERAL_ITEMS,2018-01-08
63,3.58,4,BELLA PODPASKI PERF.BLUE 10,GENERAL_ITEMS,2018-01-08
64,3.71,1,EVA MYDLO W PLYNIE Z DOZOW.500 ML,GENERAL_ITEMS,2018-01-08
65,3.15,3,TAMPON BELLA A/8 REGULAR,GENERAL_ITEMS,2018-01-08
66,1.85,10,BELLA PODPASKI NORMAL 20 B/SKRZYD,GENERAL_ITEMS,2018-01-09
67,4.27,6,BELLA PODPASKI PERF.BLUE 10,GENERAL_ITEMS,2018-01-09
68,3.71,1,EVA MYDLO W PLYNIE Z DOZOW.500 ML,GENERAL_ITEMS,2018-01-09
69,5.49,2,PLYN DO ZATLUSZCZONYCH POWIERZCHNI  750,GENERAL_ITEMS,2018-01-09
70,5.49,1,PLYN KAMIEN I RDZA 750 ML,GENERAL_ITEMS,2018-01-09
71,1.98,2,WATA 100G BELLA,GENERAL_ITEMS,2018-01-09
72,2.49,1,BELLA HERBS 12 Z WERBENA,GENERAL_ITEMS,2018-01-10
73,1.8566666666666696,3,BELLA PODPASKI NORMAL 20 B/SKRZYD,GENERAL_ITEMS,2018-01-10
74,4.27,4,BELLA PODPASKI PERF.BLUE 10,GENERAL_ITEMS,2018-01-10
75,3.19,1,BELLA PODPASKI PERFECTA GREEN,GENERAL_ITEMS,2018-01-10
76,3.71,1,EVA MYDLO W PLYNIE Z DOZOW.500 ML,GENERAL_ITEMS,2018-01-10
77,5.49,1,PLYN DO ZATLUSZCZONYCH POWIERZCHNI  750,GENERAL_ITEMS,2018-01-10
78,5.49,1,PLYN KAMIEN I RDZA 750 ML,GENERAL_ITEMS,2018-01-10
79,3.15,1,TAMPON BELLA A/8 REGULAR,GENERAL_ITEMS,2018-01-10
80,6.75,2,BAMBINO SZAMPON 400 ML,GENERAL_ITEMS,2018-01-11
81,1.86,3,BELLA PODPASKI NORMAL 20 B/SKRZYD,GENERAL_ITEMS,2018-01-11
82,2.09,2,BELLA PODPASKI NORMAL MAXI 10,GENERAL_ITEMS,2018-01-11
83,2.525,4,BELLA PODPASKI NOVA MAXI 10,GENERAL_ITEMS,2018-01-11
84,3.19,2,BELLA PODPASKI PERF.BLUE 10,GENERAL_ITEMS,2018-01-11
85,3.6,2,ODSWIEZACZ SZYSZKA ZAPAS,GENERAL_ITEMS,2018-01-11
86,4.39,1,PLYN DO ?AZIENKI 1 L ZÓ?TY,GENERAL_ITEMS,2018-01-11
87,10.99,1,SZAMPON HEADS SHOULDERS 400 ML PIELEGNAC,GENERAL_ITEMS,2018-01-11
88,3.25,1,TAMPON BELLA A/8 REGULAR,GENERAL_ITEMS,2018-01-11
89,3.25,2,TAMPONY BELLA A/8 SUPER,GENERAL_ITEMS,2018-01-11
90,6.75,2,BAMBINO SZAMPON 400 ML,GENERAL_ITEMS,2018-01-12
91,2.49,1,BELLA HERBS 12 Z WERBENA,GENERAL_ITEMS,2018-01-12
92,3.19,2,BELLA PODPASKI BLUE MAX,GENERAL_ITEMS,2018-01-12
93,1.88,3,BELLA PODPASKI NORMAL 20 B/SKRZYD,GENERAL_ITEMS,2018-01-12
94,2.09,2,BELLA PODPASKI NORMAL MAXI 10,GENERAL_ITEMS,2018-01-12
95,2.5833333333333304,3,BELLA PODPASKI NOVA MAXI 10,GENERAL_ITEMS,2018-01-12
96,3.05,1,BELLA PODPASKI PERF.BLUE 10,GENERAL_ITEMS,2018-01-12
97,3.085,4,BELLA PODPASKI PERFECTA GREEN,GENERAL_ITEMS,2018-01-12
98,3.6,1,ODSWIEZACZ SZYSZKA ZAPAS,GENERAL_ITEMS,2018-01-12
99,2.15,1,PODPASKI BELLA  NOVA 10 SZT,GENERAL_ITEMS,2018-01-12
100,3.25,1,TAMPONY BELLA A/8 SUPER PLUS,GENERAL_ITEMS,2018-01-12
101,0.75,2,BIBULA KOLOR,GENERAL_ITEMS,2018-01-01
102,0.49,1,ZESZYT W LINIE 32 K,GENERAL_ITEMS,2018-01-01
103,0.21,12,BALON KOLOR,GENERAL_ITEMS,2018-01-02
104,0.75,1,BIBULA KOLOR,GENERAL_ITEMS,2018-01-02
105,0.49,2,ZESZYT W LINIE 32 K,GENERAL_ITEMS,2018-01-02
106,0.21,16,BALON KOLOR,GENERAL_ITEMS,2018-01-03
107,0.84,1,PAPIER KOLOROWY A4,GENERAL_ITEMS,2018-01-03
108,1.99,3,SERWETKI WIELKANOCNE 20 SZT,GENERAL_ITEMS,2018-01-03
109,0.59,4,ZESZYT W LINIE 16 K,GENERAL_ITEMS,2018-01-03
110,0.21,3,BALON KOLOR,GENERAL_ITEMS,2018-01-04
111,0.59,8,ZESZYT W LINIE 16 K,GENERAL_ITEMS,2018-01-04
112,0.49,2,ZESZYT W LINIE 32 K,GENERAL_ITEMS,2018-01-04
113,0.21,3,BALON KOLOR,GENERAL_ITEMS,2018-01-05
114,1.69,1,KOREKTOR  W PISAKU,GENERAL_ITEMS,2018-01-05
115,0.59,4,ZESZYT W LINIE 16 K,GENERAL_ITEMS,2018-01-05
116,0.21,8,BALON KOLOR,GENERAL_ITEMS,2018-01-06
117,0.21,3,BALON KOLOR,GENERAL_ITEMS,2018-01-07
118,0.59,2,ZESZYT W LINIE 16 K,GENERAL_ITEMS,2018-01-07
119,0.74,1,DLUGOPIS PSTRYKANY,GENERAL_ITEMS,2018-01-08
120,0.21,2,BALON KOLOR,GENERAL_ITEMS,2018-01-09
121,0.74,2,DLUGOPIS PSTRYKANY,GENERAL_ITEMS,2018-01-09
122,0.21,2,BALON KOLOR,GENERAL_ITEMS,2018-01-12
123,0.74,3,DLUGOPIS PSTRYKANY,GENERAL_ITEMS,2018-01-12
124,0.59,1,ZESZYT W LINIE 16 K,GENERAL_ITEMS,2018-01-12
125,2.5,3,PIWO BOJAN  WIELKOP.0_5 L B/ZW,ALCOHOL,2018-01-01
126,1.61,7,PIWO BOJAN FAJRANT 0_5 L B/ZWR,ALCOHOL,2018-01-01
127,3.02,1,PIWO BOJAN KOKOS 0_5 L B/ZWR,ALCOHOL,2018-01-01
128,2.5,1,PIWO BOJAN STRAZACKIE 0_5 L B/ZW,ALCOHOL,2018-01-01
129,2.37,5,PIWO BOJAN SZWEJK 0_5 L B/ZWROT,ALCOHOL,2018-01-01
130,1.35,12,PIWO BRACKIE 0_5 L B/ZWROT,ALCOHOL,2018-01-01
131,3.78,4,PIWO CIECHAN MIODOWE 0_5 L B/ZW,ALCOHOL,2018-01-01
132,1.79,60,PIWO DEBOWE MOCNE 0_5L BUTELKA,ALCOHOL,2018-01-01
133,2.34,4,PIWO DEBOWE MOCNE 0_5L PUSZKA,ALCOHOL,2018-01-01
134,2.42,24,PIWO DESPERADOS 0_4 L,ALCOHOL,2018-01-01
135,2.67,2,PIWO DESPERADOS 0_4 L 6%  B/BEZW,ALCOHOL,2018-01-01
136,2.93,3,PIWO DESPERADOS 0_4 NOCTURN 7%,ALCOHOL,2018-01-01
137,1.7,2,PIWO EB 0_5 L B/ZWR,ALCOHOL,2018-01-01
138,2.05,8,PIWO EB 0_5 L PUSZKA,ALCOHOL,2018-01-01
139,1.26,61,PIWO FOX 0_5 L PUSZKA MOCNE,ALCOHOL,2018-01-01
140,1.07,1,PIWO FOX 0_5L PUSZKA JASNE,ALCOHOL,2018-01-01
141,1.23,1,PIWO HARNAS 0_5L BUTELKA,ALCOHOL,2018-01-01
142,2.19578947368421,19,PIWO HEINEKEN 0_5L B BEZ ZWROT,ALCOHOL,2018-01-01
143,2.13,2,PIWO KARMI 0_5L BUT /ZWROT,ALCOHOL,2018-01-01
144,2.43,2,PIWO KSIAZECE PSZENICZNE 0_5 B/ZWR,ALCOHOL,2018-01-01
145,1.55,1,PIWO LECH LITE 0_33 BUT BEZ/ZW,ALCOHOL,2018-01-01
146,1.5,1,PIWO LECH LITE 0_33 PUSZKA,ALCOHOL,2018-01-01
147,1.75,76,PIWO LECH PILS 0_5L BUTELKA,ALCOHOL,2018-01-01
148,2.2,4,PIWO LECH PILS 0_5L PUSZKA,ALCOHOL,2018-01-01
149,1.92,32,PIWO LECH PREMIUM 0_5L  PUSZKA,ALCOHOL,2018-01-01
150,1.68,87,PIWO LECH PREMIUM 0_5L BUTELKA,ALCOHOL,2018-01-01
151,1.55,3,PIWO LEZAJSK 0_5 L B/BEZW,ALCOHOL,2018-01-01
152,1.55,2,PIWO LEZAJSK CHMIEL 0_5 L B/BEZ,ALCOHOL,2018-01-01
153,1.58,1,PIWO LOMZA EXPORT 0_5L BUT/BEZ.,ALCOHOL,2018-01-01
154,2.15,1,PIWO LWOWEK 0_5L B/ZW,ALCOHOL,2018-01-01
155,2.6,2,PIWO LWOWEK MALINA 0_5 L B/ZW,ALCOHOL,2018-01-01
156,0.86,36,PIWO MOCNE POLSKIE 0_33L,ALCOHOL,2018-01-01
157,3.56,5,PIWO MUSCOVADO 0_5 L B/ZWR,ALCOHOL,2018-01-01
158,1.82,2,PIWO OKOCIM 0_5 L RADLER B/Z LIMON,ALCOHOL,2018-01-01
159,1.57,6,PIWO OKOCIM PILS 0_5 B/ZWROTNA,ALCOHOL,2018-01-01
160,3.82,1,PIWO PILSNER URQUELL 0_5L BUTELKA,ALCOHOL,2018-01-01
161,1.81,10,PIWO PRAZUBR NIEP.0_5 B/ZW,ALCOHOL,2018-01-01
162,2.53,2,PIWO REDDS MALINOWE PUSZKA 0_5L,ALCOHOL,2018-01-01
163,2.53,3,PIWO REEDS 0_5L PUSZKA JABLKOWE,ALCOHOL,2018-01-01
164,2.7,2,PIWO SAMERSBY  0_500 ML PUSZKA,ALCOHOL,2018-01-01
165,2.65,1,PIWO SAMERSBY BLACKBERRY 0_5 L PUSZKA,ALCOHOL,2018-01-01
166,1.39,277,PIWO TATRA JASNE PE?NE 0_5L BUTELKA ZÓ?T,ALCOHOL,2018-01-01
167,1.72,29,PIWO TATRA PILS 0_5L PUSZKA,ALCOHOL,2018-01-01
168,1.74,1,PIWO TYSKIE 0_5 L BUT.NIEPAST.,ALCOHOL,2018-01-01
169,1.53305454545455,275,PIWO TYSKIE 0_5L BUTELKA,ALCOHOL,2018-01-01
170,1.9343434343434296,99,PIWO TYSKIE PUSZKA 0_5L,ALCOHOL,2018-01-01
171,1.45,1,PIWO WARKA 0_5L BUT.JASNE PE?NE,ALCOHOL,2018-01-01
172,1.95,16,PIWO WARKA RADLER 0_5 L BUT.,ALCOHOL,2018-01-01
173,2.3325,8,PIWO WARKA RADLER 0_5 PUSZKA,ALCOHOL,2018-01-01
174,1.59,5,PIWO WARKA RADLER MAL+CYTR .0_5 B/ZWR,ALCOHOL,2018-01-01
175,2.14,6,PIWO WARKA STRONG BUTELKA,ALCOHOL,2018-01-01
176,2.47,4,PIWO WARKA STRONG PUSZKA,ALCOHOL,2018-01-01
177,1.1855871886121,281,PIWO WOJAK 0_5 L BUTELKA JASNE,ALCOHOL,2018-01-01
178,1.30914075286416,1222,PIWO ZUBR 0_5L BUTELKA,ALCOHOL,2018-01-01
179,1.68,199,PIWO ZUBR 0_5L PUSZKA,ALCOHOL,2018-01-01
180,1.71,25,PIWO ZYWIEC 0_5L BUTELKA,ALCOHOL,2018-01-01
181,1.97,33,PIWO ZYWIEC PUSZKA 0_5L,ALCOHOL,2018-01-01
182,2.5,1,PIWO BOJAN  WIELKOP.0_5 L B/ZW,ALCOHOL,2018-01-02
183,1.65909090909091,11,PIWO BOJAN FAJRANT 0_5 L B/ZWR,ALCOHOL,2018-01-02
184,3.02,1,PIWO BOJAN KOKOS 0_5 L B/ZWR,ALCOHOL,2018-01-02
185,2.5,6,PIWO BOJAN STRAZACKIE 0_5 L B/ZW,ALCOHOL,2018-01-02
186,2.45,2,PIWO CIECHAN LAGEROWE 0_5 L B/ZW,ALCOHOL,2018-01-02
187,3.78,9,PIWO CIECHAN MIODOWE 0_5 L B/ZW,ALCOHOL,2018-01-02
188,1.799375,32,PIWO DEBOWE MOCNE 0_5L BUTELKA,ALCOHOL,2018-01-02
189,2.36,8,PIWO DEBOWE MOCNE 0_5L PUSZKA,ALCOHOL,2018-01-02
190,2.485,12,PIWO DESPERADOS 0_4 L,ALCOHOL,2018-01-02
191,2.67,5,PIWO DESPERADOS 0_4 L 6%  B/BEZW,ALCOHOL,2018-01-02
192,3.09,3,PIWO DESPERADOS 580 ML,ALCOHOL,2018-01-02
193,2.57,6,PIWO DESPERADOS RED 0_4 L,ALCOHOL,2018-01-02
194,1.73333333333333,9,PIWO EB 0_5 L B/ZWR,ALCOHOL,2018-01-02
195,2.07,12,PIWO EB 0_5 L PUSZKA,ALCOHOL,2018-01-02
196,1.26457627118644,59,PIWO FOX 0_5 L PUSZKA MOCNE,ALCOHOL,2018-01-02
197,1.0748936170212802,47,PIWO FOX 0_5L PUSZKA JASNE,ALCOHOL,2018-01-02
198,2.33,11,PIWO HEINEKEN 0_5L B BEZ ZWROT,ALCOHOL,2018-01-02
199,2.13,1,PIWO KARMI 0_5L BUT /ZWROT,ALCOHOL,2018-01-02
200,1.39,1,PIWO KASZTELAN 0_5 BUTELKA,ALCOHOL,2018-01-02
201,3.15,9,PIWO KSIAZECE IPA 0_5 B/ZWR,ALCOHOL,2018-01-02
202,2.43,3,PIWO KSIAZECE PSZENICZNE 0_5 B/ZWR,ALCOHOL,2018-01-02
203,2.02,3,PIWO LECH  FREE 0_5 L  B/ZWR,ALCOHOL,2018-01-02
204,1.55,1,PIWO LECH LITE 0_33 BUT BEZ/ZW,ALCOHOL,2018-01-02
205,1.8348322147651,149,PIWO LECH PILS 0_5L BUTELKA,ALCOHOL,2018-01-02
206,2.2,20,PIWO LECH PILS 0_5L PUSZKA,ALCOHOL,2018-01-02
207,2.0031034482758603,29,PIWO LECH PREMIUM 0_5L  PUSZKA,ALCOHOL,2018-01-02
208,1.6957142857142902,77,PIWO LECH PREMIUM 0_5L BUTELKA,ALCOHOL,2018-01-02
209,3.89,2,PIWO LWOWEK PORTER 0_5 L B/ZWR,ALCOHOL,2018-01-02
210,2.45,2,PIWO LWÓWEK 0_5 L B/ZWR,ALCOHOL,2018-01-02
211,0.56,42,PIWO MOCNE POLSKIE 0_33L,ALCOHOL,2018-01-02
212,3.95,1,PIWO MUSCOVADO 0_5 L B/ZWR,ALCOHOL,2018-01-02
213,1.82,1,PIWO OKOCIM 0_5 L RADLER B/Z LIMON,ALCOHOL,2018-01-02
214,1.57,12,PIWO OKOCIM PILS 0_5 B/ZWROTNA,ALCOHOL,2018-01-02
215,3.82,1,PIWO PILSNER URQUELL 0_5L BUTELKA,ALCOHOL,2018-01-02
216,2.3,4,PIWO PRAZUBR 0_5 L PUSZKA,ALCOHOL,2018-01-02
217,1.7542857142857098,21,PIWO PRAZUBR NIEP.0_5 B/ZW,ALCOHOL,2018-01-02
218,2.58,2,PIWO REDD`S APPLE 0_4L BUT.B\ZWR.,ALCOHOL,2018-01-02
219,2.53,1,PIWO REDDS MALINOWE PUSZKA 0_5L,ALCOHOL,2018-01-02
220,2.58,2,PIWO REDDS MALINOWY 0_4  BEZ/ZWR,ALCOHOL,2018-01-02
221,2.53,1,PIWO REEDS 0_5L PUSZKA JABLKOWE,ALCOHOL,2018-01-02
222,2.7,2,PIWO SAMERSBY  0_500 ML PUSZKA,ALCOHOL,2018-01-02
223,2.65,3,PIWO SAMERSBY BLACKBERRY 0_5 L PUSZKA,ALCOHOL,2018-01-02
224,1.39,206,PIWO TATRA JASNE PE?NE 0_5L BUTELKA ZÓ?T,ALCOHOL,2018-01-02
225,1.74,2,PIWO TYSKIE 0_5 L BUT.NIEPAST.,ALCOHOL,2018-01-02
226,1.5497285067873303,221,PIWO TYSKIE 0_5L BUTELKA,ALCOHOL,2018-01-02
227,3.09,2,PIWO TYSKIE 0_65L BUT,ALCOHOL,2018-01-02
228,1.9642857142857095,112,PIWO TYSKIE PUSZKA 0_5L,ALCOHOL,2018-01-02
229,1.45,2,PIWO WARKA 0_5L BUT.JASNE PE?NE,ALCOHOL,2018-01-02
230,1.97,8,PIWO WARKA 0_5L PUSZKA,ALCOHOL,2018-01-02
231,1.95,14,PIWO WARKA RADLER 0_5 L BUT.,ALCOHOL,2018-01-02
232,2.15,10,PIWO WARKA RADLER 0_5 PUSZKA,ALCOHOL,2018-01-02
233,1.59,7,PIWO WARKA RADLER MAL+CYTR .0_5 B/ZWR,ALCOHOL,2018-01-02
234,2.14,3,PIWO WARKA STRONG BUTELKA,ALCOHOL,2018-01-02
235,1.2,225,PIWO WOJAK 0_5 L BUTELKA JASNE,ALCOHOL,2018-01-02
236,1.31661526599846,1297,PIWO ZUBR 0_5L BUTELKA,ALCOHOL,2018-01-02
237,1.72106951871658,187,PIWO ZUBR 0_5L PUSZKA,ALCOHOL,2018-01-02
238,1.7225,20,PIWO ZYWIEC 0_5L BUTELKA,ALCOHOL,2018-01-02
239,1.92307692307692,26,PIWO ZYWIEC PUSZKA 0_5L,ALCOHOL,2018-01-02
240,1.79,2,PIWO BOJAN FAJRANT 0_5 L B/ZWR,ALCOHOL,2018-01-03
241,3.02,1,PIWO BOJAN KOKOS 0_5 L B/ZWR,ALCOHOL,2018-01-03
242,2.63,8,PIWO BOJAN STRAZACKIE 0_5 L B/ZW,ALCOHOL,2018-01-03
243,2.45,1,PIWO CIECHAN LAGEROWE 0_5 L B/ZW,ALCOHOL,2018-01-03
244,3.78,1,PIWO CIECHAN MIODOWE 0_5 L B/ZW,ALCOHOL,2018-01-03
245,3.78,3,PIWO CIECHAN PRZENICZNE 0_5 L B/ZWROT,ALCOHOL,2018-01-03
246,1.78345454545455,55,PIWO DEBOWE MOCNE 0_5L BUTELKA,ALCOHOL,2018-01-03
247,2.44,7,PIWO DEBOWE MOCNE 0_5L PUSZKA,ALCOHOL,2018-01-03
248,2.5789999999999997,10,PIWO DESPERADOS 0_4 L,ALCOHOL,2018-01-03
249,2.67,5,PIWO DESPERADOS 0_4 L 6%  B/BEZW,ALCOHOL,2018-01-03
250,1.75,9,PIWO EB 0_5 L B/ZWR,ALCOHOL,2018-01-03
251,1.69,1,PIWO EB 0_5 L PUSZKA,ALCOHOL,2018-01-03
252,1.16,46,PIWO FOX 0_5 L PUSZKA MOCNE,ALCOHOL,2018-01-03
253,1.12,23,PIWO FOX 0_5L PUSZKA JASNE,ALCOHOL,2018-01-03
254,1.23,6,PIWO HARNAS 0_5L BUTELKA,ALCOHOL,2018-01-03
255,1.8,1,PIWO HARNAS 0_5L PUSZKA,ALCOHOL,2018-01-03
256,2.2,6,PIWO HEINEKEN 0_5L B BEZ ZWROT,ALCOHOL,2018-01-03
257,3.15,12,PIWO KSIAZECE IPA 0_5 B/ZWR,ALCOHOL,2018-01-03
258,2.43,6,PIWO KSIAZECE PSZENICZNE 0_5 B/ZWR,ALCOHOL,2018-01-03
259,2.02,7,PIWO LECH  FREE 0_5 L  B/ZWR,ALCOHOL,2018-01-03
260,0.82,5,PIWO LECH  MOITO 0_5 L B/ZW,ALCOHOL,2018-01-03
261,1.87,166,PIWO LECH PILS 0_5L BUTELKA,ALCOHOL,2018-01-03
262,1.99,24,PIWO LECH PILS 0_5L PUSZKA,ALCOHOL,2018-01-03
263,2.06222222222222,54,PIWO LECH PREMIUM 0_5L  PUSZKA,ALCOHOL,2018-01-03
264,1.71,116,PIWO LECH PREMIUM 0_5L BUTELKA,ALCOHOL,2018-01-03
265,1.97,3,PIWO LECH SHANDY 0_5 BUT,ALCOHOL,2018-01-03
266,1.68,2,PIWO LOMZA EXPORT 0_5L BUT/BEZ.,ALCOHOL,2018-01-03
267,2.78,3,PIWO LWOWEK MALINA 0_5 L B/ZW,ALCOHOL,2018-01-03
268,3.89,1,PIWO LWOWEK PORTER 0_5 L B/ZWR,ALCOHOL,2018-01-03
269,1.06,30,PIWO MOCNE POLSKIE 0_33L,ALCOHOL,2018-01-03
270,1.63,6,PIWO NAMYS?OW 0_5 B/BEZW,ALCOHOL,2018-01-03
271,1.82,2,PIWO OKOCIM 0_5 L RADLER B/Z LIMON,ALCOHOL,2018-01-03
272,1.57,19,PIWO OKOCIM PILS 0_5 B/ZWROTNA,ALCOHOL,2018-01-03
273,1.45,4,PIWO PRAZUBR NIEP.0_5 B/ZW,ALCOHOL,2018-01-03
274,2.58,4,PIWO REDDS MALINOWY 0_4  BEZ/ZWR,ALCOHOL,2018-01-03
275,1.48,3,PIWO SOMERSBI APPLE SECCO 0_5 PUSZKA,ALCOHOL,2018-01-03
276,2.77,3,PIWO SOMERSBY  0_4 B/BEZW,ALCOHOL,2018-01-03
277,2.77,3,PIWO SOMERSBY 0_4 L BUTELKA BLACKBERRY,ALCOHOL,2018-01-03
278,1.39,180,PIWO TATRA JASNE PE?NE 0_5L BUTELKA ZÓ?T,ALCOHOL,2018-01-03
279,1.81,8,PIWO TATRA PILS 0_5L PUSZKA,ALCOHOL,2018-01-03
280,1.55140845070423,213,PIWO TYSKIE 0_5L BUTELKA,ALCOHOL,2018-01-03
281,3.09,2,PIWO TYSKIE 0_65L BUT,ALCOHOL,2018-01-03
282,1.64,2,PIWO TYSKIE KLASYCZNE 0_5 BUT.ZW,ALCOHOL,2018-01-03
283,1.9607272727272704,110,PIWO TYSKIE PUSZKA 0_5L,ALCOHOL,2018-01-03
284,1.45,4,PIWO WARKA 0_5L BUT.JASNE PE?NE,ALCOHOL,2018-01-03
285,1.764,10,PIWO WARKA 0_5L PUSZKA,ALCOHOL,2018-01-03
286,2.29,2,PIWO WARKA RADL JAB+GRUSZKA 0_5 L PUSZ,ALCOHOL,2018-01-03
287,2.05,1,PIWO WARKA RADLER 0% MIETA B/ZWROT,ALCOHOL,2018-01-03
