Subtitle,"Class 
Number","Gen
Ed",Class,Description,Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
MATHEMATICS,44863.0,10,MAT 126-A0H1,72,2,19,23,23,88,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,44978.0,,MIT 205-A0Z1,Advanced Medical Coding,1,1,1,1,91,1.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,55348.0,,AUT 140-A001,12,9,7,14,10,7,2.0,43696.0,43814.0
ENGLISH,44570.0,7,ENG 102-A005,62,2,5,24,55,68,2.0,43696.0,43814.0
PSYCHOLOGY,44677.0,6,PSY 110-A002,94,0,5,24,72,102,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44418.0,,15,55,2,5,36,47,54,2.0,43696.0,43814.0
WELDING,44510.0,,WLD 143-A001,Gas Metal Arc Wlding GrooveLab,0,21,18,81,112,2.0,43696.0,43814.0
SOCIOLOGY,44699.0,6,SOC 235-A001,Inequality in Society,2,15,17,71,106,2.0,43696.0,43814.0
CIS,44614.0,,CIT 105-A003,35,0,10,20,27,7,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,45026.0,,BIO 139-A0L2,29,7,6,26,22,31,2.0,43696.0,43814.0
MATHEMATICS,44386.0,10,MAT 150-A0H3,76,0,10,20,41,85,2.0,43696.0,43814.0
ENGLISH,44540.0,7,ENG 101-A001,61,0,0,0,54,68,2.0,43696.0,43814.0
MATHEMATICS,44389.0,,MAT 100-A0H4,75,2,31,32,41,85,2.0,43696.0,43814.0
SOCIOLOGY,44698.0,6,SOC 101-A0Z2,102,1,1,1,1,Lovitt,1.0,43696.0,43814.0
CIS,44626.0,,CIT 170-A001,Database Design Fundamentals,0,19,23,28,39,2.0,43696.0,43814.0
SURGICAL TECHNOLOGY,45113.0,,SUR 125-A0BC,Surgical Tech Skills Pract I,13,6:15 AM,20,4,108,2.0,43759.0,43814.0
ENGINEERING TECHNOLOGY,44470.0,,ELT 265-A002,57,2,29,2,51,11,2.0,43696.0,43814.0
OFFICE SYSTEMS TECHNOLOGY,44672.0,,OST 110-A0Z1,Doc. Format. & Intro  Wrd Proc,1,1,1,1,98,1.0,43696.0,43814.0
STATISTICS,44404.0,10,STA 220-A003,104,2,5,24,62,107,2.0,43696.0,43814.0
ENGLISH,45084.0,,ENG 100-A0H4,60,2,1:50 PM,41,53,48,2.0,43696.0,43814.0
MATHEMATICS,44879.0,10,MAT 150-A0E1,76,2,9,25,18,Hayden,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44432.0,1,BIO 112-A001,24,0,15,17,17,22,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,45367.0,,BIO 137-A0L5,28,6,22,29,21,28,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,44439.0,,EET 286-A0Y1,Program Logic Controllers II,4,1,1,1,53,0.0,43696.0,43814.0
SURGICAL TECHNOLOGY,45099.0,,SUR 103-A0B1,Surgical Tech Supplement Lab,13,7,3,75,108,2.0,43696.0,43751.0
MUSIC,44584.0,0,MUS 222-A0Z1,83,1,1,1,1,92,1.0,43696.0,43814.0
PSYCHOLOGY,44679.0,6,PSY 110-A004,94,0,15,17,72,102,2.0,43696.0,43814.0
MATHEMATICS,45424.0,QE,MAT 116-A001,71,0,19,23,41,85,2.0,43696.0,43814.0
KINESIOLOGY AND HEALTH PROMOTION,45110.0,,KHP 100-A0BZ,70,1,1,1,1,76,1.0,43759.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44853.0,,ACR 101-A0E1,3,0,0.763888889,0.833333333,3,3,2.0,43696.0,43814.0
MUSIC,44586.0,,MUP 102-A001,Voice,4,1,1,HUMH0131,92,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44779.0,,FYE 100-A0Z1,64,1,1,1,1,69,1.0,43696.0,43814.0
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,46365.0,,EMS 231-A003,58,3,15,12,52,62,2.0,43696.0,43814.0
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,46367.0,,EMS 235-A002,59,3,15,12,52,61,2.0,43696.0,43814.0
NURSING,44731.0,,NSG 220-A0L1,88,3,15,11,ACA105,96,2.0,43696.0,43814.0
ENGLISH,44554.0,7,ENG 101-A010,61,2,19,23,36,70,2.0,43696.0,43814.0
ENGLISH,44565.0,7,ENG 102-A003,62,0,15,17,36,65,2.0,43696.0,43814.0
WELDING,44512.0,,WLD 131-A001,Gas Tngstn Arc Weld Fillet Lab,0,36,9,81,112,2.0,43696.0,43814.0
ENGLISH,44541.0,7,ENG 101-A002,61,0,0,0,33,65,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44923.0,1,BIO 150-A001,Principles of Biology I,0,23,30,24,24,2.0,43696.0,43814.0
CRIMINAL JUSTICE,44634.0,,CRJ 295-A001,Criminal Justice Capstone,4,1,1,4,50,2.0,43696.0,43814.0
HEALTHCARE FACILITIES LEADERSHIP,44529.0,,HFL 100-A0Z1,Intro Healthcare Facility Mgmt,1,1,1,1,Workman,1.0,43696.0,43814.0
ART ,44479.0,,ART 240-A001,Ceramics I,2,5,23,14,17,2.0,43696.0,43814.0
VETERINARY TECHNOLOGY,44469.0,,VET 210-A001,Pharmacology,2,10,20,77,13,2.0,43696.0,43814.0
WELDING,44496.0,,WLD 130-A001,Gas Tungsten Arc Welding,0,35,31,79,113,2.0,43696.0,43814.0
PSYCHOLOGY,44678.0,6,PSY 110-A003,94,0,19,23,19,52,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,45105.0,,BAS 283-A0BY,23,0,19,22,16,20,0.0,43759.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44748.0,,ACR 130-A0E1,Electrical Components,2,4,5,2,2,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44578.0,,FYE 100-A001,64,6,19,23,58,46,2.0,43696.0,43814.0
RADIOGRAPHY,45375.0,,DMI 220-A0C1,Clinical Practicum IV,10,1,1,4,Henderson,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44462.0,,CMM 299-A001,5,4,1,1,4,34,2.0,43696.0,43814.0
COMPUTER MANUFACTURING AND MACHINES,44463.0,,CMM 214-A001,Industrial Machining,10,27,3:20 PM,31,41,2.0,43696.0,43814.0
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,46361.0,,EMS 250-A001,Medical Emergencies II,3,15,12,52,63,2.0,43696.0,43814.0
WELDING,45005.0,,WLD 152-A0EL,109,1,1,1,4,12,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44787.0,,FYE 100-A015,64,5,19,23,37,70,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,44527.0,,AGR 200-A001,Agricultural Internship III,1,1,1,4,11,2.0,43696.0,43814.0
HUMAN SERVICES,44954.0,,HMS 102-A0Z1,Values of Human Services,1,1,1,1,82,1.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,44755.0,,AGR 125-A0L1,16,4,1,1,11,10,2.0,43696.0,43814.0
PSYCHOLOGY,44682.0,6,PSY 110-A008,94,2,10,20,71,96,2.0,43696.0,43814.0
POLITICAL SCIENCE,44797.0,6,POL 255-A001,93,2,19,23,71,77,2.0,43696.0,43814.0
MATHEMATICS,55574.0,,MAT 116S-A0H1,Co-req Remed for Tech Math,1,1,1,1,85,0.0,43696.0,43814.0
CHEMISTRY,44611.0,1,CHE 145-A001,Intro General Chemistry Lab,3,10,30,26,35,2.0,43696.0,43814.0
WELDING,44492.0,,WLD 298-A001,Welding Practicum,2,16,9,80,113,2.0,43696.0,43814.0
WELDING,45100.0,,WLD 225-A0B1,ShieldMetalArcWldOpenGrooveLab,14,36,42,81,115,2.0,43696.0,43751.0
WELDING,44501.0,,21,106,10,8:50 AM,36,78,110,2.0,43696.0,43814.0
SOCIOLOGY,44694.0,6,SOC 101-A002,102,0,19,23,71,106,2.0,43696.0,43814.0
NURSING,44730.0,,NSG 220-A001,88,3,16,31,68,96,2.0,43696.0,43814.0
BUSINESS ADMINISTRATION SYSTEMS,60817.0,,BAS 288-A0Z1,Personal and Organizational Ldrshp,,1,,1,deMesa,1.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,55363.0,,4,13,5,10,11,6,7,2.0,43696.0,43814.0
PSYCHOLOGY,44676.0,6,PSY 110-A001,94,0,0,0,72,101,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44711.0,,ADX 170-A001,8,3,7,11,5,5,2.0,43696.0,43814.0
THEATRE,45013.0,,THA 192-A001,Production Practicum,4,1,1,4,109,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44760.0,,FYE 100-A005,64,6,19,43,33,75,2.0,43696.0,43814.0
ART ,44478.0,,ART 113-A001,3-Dimensional Design,0,10,21,14,Schartung,2.0,43696.0,43814.0
PSYCHOLOGY,44689.0,6,PSY 223-A0Z1,96,1,1,1,1,101,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44946.0,,BIO 137-A0EL,28,6,11,16,21,31,2.0,43696.0,43814.0
ENGLISH,44543.0,7,ENG 101-A004,61,0,15,17,38,68,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44843.0,,ACR 290-A0Y1,Journeyman Preparation,1,1,1,4,2,0.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44919.0,,BIO 137-A0L4,28,5,5,27,21,30,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,55312.0,,7,15,6,6,10,10,7,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,61049.0,,15,55,2,3,41,47,54,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44555.0,2,BIO 137-A001,28,0,5,24,18,29,2.0,43696.0,43814.0
EDUCATION,44642.0,,EDU 201-A001,Intro to American Education,2,5,24,42,52,2.0,43696.0,43814.0
PHILOSOPHY,44587.0,0,PHI 100-A001,Intro to Philosophy,2,15,17,55,99,2.0,43696.0,43814.0
RELIGIOUS STUDIES,44964.0,CS,REL 160-A001,Rel Exp of Forgive & Justice,0,15,17,13,99,2.0,43696.0,43814.0
RADIOGRAPHY,45373.0,,DMI 214-A001,100,6,21,43,73,14,2.0,43696.0,43814.0
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,44893.0,,IEC 221-A0Z1,Creative Expressions in IECE,1,1,1,1,83,1.0,43696.0,43814.0
CIS,44628.0,,CIT 184-A0Z1,Attacks and Exploits,1,1,1,1,40,1.0,43696.0,43814.0
ECONOMICS,45078.0,6,ECO 101-A0ZB,Contemporary Economic Issues,1,1,1,1,51,1.0,43759.0,43814.0
GEOGRAPHY,44648.0,1,GEO 251-A0Z1,Weather & Climate,1,1,1,1,79,1.0,43696.0,43814.0
ECONOMICS,44638.0,6,ECO 202-A001,50,0,5,24,41,19,2.0,43696.0,43814.0
HEALTHCARE FACILITIES LEADERSHIP,44530.0,,HFL 110-A0Z1,Intro Healthcare Industry,1,1,1,1,80,1.0,43696.0,43814.0
CIS,44808.0,,CIT 130-A0Z1,Productivity Software,1,1,1,1,7,1.0,43696.0,43814.0
COMMUNICATIONS,44484.0,4,COM 181-A004,41,0,15,17,35,46,2.0,43696.0,43814.0
ELECTRICAL TECHNOLOGY,47227.0,,EET 127-A0Z1,Electrical Technology Capstone,1,1,1,1,53,1.0,43696.0,43814.0
WELDING,44491.0,,WLD 170-A001,Blueprint Reading for Welding,10,9:50 AM,9,79,113,2.0,43696.0,43814.0
COMMUNICATIONS,44487.0,4,COM 181-A007,41,2,5,24,35,47,2.0,43696.0,43814.0
SPANISH LANGUAGE AND LITERATURE,44597.0,9,SPA 101-A0Z1,103,1,1,1,1,7,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44608.0,,BIO 135-A0ZL,27,1,1,1,1,23,1.0,43696.0,43814.0
CIS,44621.0,,CIT 105-A0Z2,35,1,1,1,1,Papalouca,1.0,43696.0,43814.0
ENGLISH,44792.0,7,ENG 101-A013,61,0,5,24,37,70,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,45021.0,,MIT 217-A001,79,2,23,30,64,49,2.0,43696.0,43814.0
PSYCHOLOGY,45085.0,6,PSY 110-A0ZB,94,1,1,1,1,103,1.0,43759.0,43814.0
PSYCHOLOGY,44690.0,6,PSY 223-A0Z2,96,1,1,1,1,103,1.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44967.0,1,BIO 113-A003,25,7,19,12:50 PM,20,22,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44880.0,,ACR 291-A001,4,1,2,8,2,2,2.0,43696.0,43814.0
NURSING,44739.0,,NSG 230-A001,89,7,6,33,68,97,2.0,43696.0,43814.0
RADIOGRAPHY,45372.0,,DMI 128-A0L1,99,7,19,8,73,14,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44819.0,2,BIO 139-A0Y1,29,1,1,1,1,29,0.0,43696.0,43814.0
PSYCHOLOGY,44687.0,6,PSY 223-A001,96,0,5,24,17,101,2.0,43696.0,43814.0
INDUSTRIAL CORE,45022.0,,17,4,4,1,1,4,41,2.0,43696.0,43814.0
HISTORY,44824.0,0,HIS 120-A0Z1,69,1,1,1,1,78,1.0,43696.0,43814.0
MATHEMATICS,45432.0,10,MAT 150-A006,76,2,10,20,41,85,2.0,43696.0,43814.0
CIS,44623.0,,CIT 111-A001,36,0,15,35,29,38,2.0,43696.0,43814.0
AGRICULTURAL TECHNOLOGY AND STUDIES,45358.0,,AGR 145-A0Z1,Technology in Agriculture,1,1,1,1,11,1.0,43696.0,43814.0
MATHEMATICS,45425.0,10,MAT 116-A0H1,71,2,19,23,41,85,2.0,43696.0,43814.0
EDUCATION,44643.0,,EDU 270-A001,Elementary School Literature,2,19,23,42,52,2.0,43696.0,43814.0
NURSING ASSISTANT,44700.0,,NAA 100-A001,84,0,16,31,65,93,2.0,43696.0,43814.0
SPANISH LANGUAGE AND LITERATURE,44977.0,9,SPA 101-A002,103,2,19,22,54,7,2.0,43696.0,43814.0
ENGLISH,45081.0,,ENG 100-A0H3,60,2,5,42,53,65,2.0,43696.0,43814.0
RELIGIOUS STUDIES,44593.0,11,REL 130-A001,101,0,5,24,56,9,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44746.0,,ACR 100-A001,2,2,2,2,2,2,2.0,43696.0,43814.0
MEDICAL INFORMATION TECHNOLOGY,55588.0,,MIT 204-A0Z1,78,1,1,1,1,43,1.0,43696.0,43814.0
MATHEMATICS,57272.0,,MAT100-A0H1,75,0,5,24,23,88,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,45009.0,,3,11,5,8,6,6,8,2.0,43696.0,43814.0
MATHEMATICS,44392.0,10,MAT 150-A0ZH,76,1,1,1,1,89,1.0,43696.0,43814.0
DIESEL TECHNOLOGY,44981.0,,DIT 140-A001,Hydraulics,3,0,9,8,6,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44715.0,,8,15,7,8,6,6,8,2.0,43696.0,43814.0
CIS,44624.0,,CIT 111-A002,36,2,26,36,29,38,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,44906.0,,FYE 100-A007,64,5,19,23,16,77,2.0,43696.0,43814.0
MATHEMATICS,44387.0,,MAT 100-A0H3,75,0,30,45,41,85,2.0,43696.0,43814.0
WELDING,60365.0,,20,105,0,0.729166667,0.763888889,58,111,2.0,43696.0,43814.0
HEALTHCARE FACILITIES LEADERSHIP,44533.0,,HFL 150-A0Z1,Planning Design Const I,1,1,1,1,Hoyt,1.0,43696.0,43814.0
MUSIC,44579.0,0,MUS 100-A001,82,0,5,24,38,92,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44446.0,,ELT 265-A0L1,57,0,3,18,50,42,2.0,43696.0,43814.0
PSYCHOLOGY,44688.0,6,PSY 223-A002,96,2,15,17,72,102,2.0,43696.0,43814.0
THEATRE,45006.0,,THA 126-A001,Acting I: Fundamentals/Acting,2,14,21,76,109,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44429.0,,ELT 114-A001,54,10,15,2,48,53,2.0,43696.0,43814.0
ENGINEERING TECHNOLOGY,44831.0,,ELT 265-A0L3,57,0,6:00 PM,6,50,42,2.0,43696.0,43814.0
MATHEMATICS,55587.0,,MAT 126S-A0H1,73,2,27,44,23,88,2.0,43696.0,43814.0
AIR CONDITIONING AND REFRIGERATION,44855.0,,ACR 113-A001,Sheet Metal Fabrication Lab,2,1,1,3,4,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,44707.0,,ADX 150-A001,Engine Repair,6,0,9,5,5,2.0,43696.0,43814.0
NURSING,44732.0,,NSG 220-A0C1,88,4,1,1,70,96,2.0,43696.0,43814.0
BIOLOGICAL SCIENCES,44888.0,,BIO 139-A0L1,29,5,22,29,22,28,2.0,43696.0,43814.0
CIS,45095.0,,CIT 161-A0Y1,Introduction to Networks,6,14,5:10 PM,30,40,0.0,43696.0,43814.0
