"Class 
Number","Gen
Ed",Class,Description,Days,"Begin 
Time","End 
Time",Room,Instructor,"Instruction 
Mode","Start 
Date","End 
Date"
46365.0,,EMS 231-A003,58,3,15,12,52,62,2.0,43696.0,43814.0
NURSING,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
44554.0,7,ENG 101-A010,61,2,19,23,36,70,2.0,43696.0,43814.0
WELDING,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,
ART ,,,,,,,,,,,
VETERINARY TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
44462.0,,CMM 299-A001,5,4,1,1,4,34,2.0,43696.0,43814.0
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
WELDING,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
HUMAN SERVICES,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,
WELDING,,,,,,,,,,,
44492.0,,WLD 298-A001,Welding Practicum,2,16,9,80,113,2.0,43696.0,43814.0
45100.0,,WLD 225-A0B1,ShieldMetalArcWldOpenGrooveLab,14,36,42,81,115,2.0,43696.0,43751.0
SOCIOLOGY,,,,,,,,,,,
NURSING,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
THEATRE,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
ART ,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
EDUCATION,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
CIS,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,
GEOGRAPHY,,,,,,,,,,,
ECONOMICS,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,
CIS,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
SPANISH LANGUAGE AND LITERATURE,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
CIS,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
45085.0,6,PSY 110-A0ZB,94,1,1,1,1,103,1.0,43759.0,43814.0
BIOLOGICAL SCIENCES,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
NURSING,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
INDUSTRIAL CORE,,,,,,,,,,,
HISTORY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
CIS,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
EDUCATION,,,,,,,,,,,
NURSING ASSISTANT,,,,,,,,,,,
SPANISH LANGUAGE AND LITERATURE,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
WELDING,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,
MUSIC,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
THEATRE,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
44429.0,,ELT 114-A001,54,10,15,2,48,53,2.0,43696.0,43814.0
MATHEMATICS,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
NURSING,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
CIS,,,,,,,,,,,
45095.0,,CIT 161-A0Y1,Introduction to Networks,6,14,5:10 PM,30,40,0.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
COMPUTER AIDED DRAFTING,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
CIS,,,,,,,,,,,
SOCIAL WORK,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
44789.0,7,ENG 101-A012,61,2,10,20,37,70,2.0,43696.0,43814.0
FIRST YEAR EXPERIENCE,,,,,,,,,,,
CIS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
44566.0,2,BIO 139-A0Z1,29,1,1,1,1,30,1.0,43696.0,43814.0
RADIOGRAPHY,,,,,,,,,,,
NURSING,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
WELDING,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
NURSING,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,
HISTORY,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
CIS,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
HISTORY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
GEOLOGICAL SCIENCES,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
POLITICAL SCIENCE,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,
NURSING ASSISTANT,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
44553.0,1,BIO 121-A001,Introduction to Ecology Lab,6,6,26,20,26,2.0,43696.0,43814.0
DIESEL TECHNOLOGY,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
ART ,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
CIS,,,,,,,,,,,
PHYSICS,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
44401.0,,MAT 205-A001,Math Elem/Middle SchoolTeach I,0,15,17,61,86,2.0,43696.0,43814.0
CIS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
MUSIC,,,,,,,,,,,
MEDICAL ASSISTING,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
OFFICE SYSTEMS TECHNOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
THEATRE,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
NURSING,,,,,,,,,,,
CIS,,,,,,,,,,,
45376.0,,CIT 105-A0ZB,35,1,1,1,1,21,1.0,43759.0,43814.0
NURSING,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
NURSING,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
CRIMINAL JUSTICE,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
HISTORY,,,,,,,,,,,
NURSING,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
SURGICAL TECHNOLOGY,,,,,,,,,,,
ART ,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
CIS,,,,,,,,,,,
NURSING,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
44703.0,,ADX 120-A001,Basic Automotive Electricity,0,0,9,5,5,2.0,43696.0,43814.0
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
FIRE/RESCUE SCIENCE  Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
NURSING,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
NUTRITION AND FOOD SCIENCE,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
INDUSTRIAL MANTIENENCE TECHNOLGOY,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
BUSINESS ADMINISTRATION SYSTEMS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
HEALTHCARE FACILITIES LEADERSHIP,,,,,,,,,,,
PHYSICS,,,,,,,,,,,
STATISTICS,,,,,,,,,,,
KINESIOLOGY AND HEALTH PROMOTION,,,,,,,,,,,
PSYCHOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
ENERGY SYSTEMS,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
HISTORY,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
COMPUTER MANUFACTURING AND MACHINES,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
AGRICULTURAL TECHNOLOGY AND STUDIES,,,,,,,,,,,
44773.0,,AGR 240-A0L1,18,1,1,1,11,13,2.0,43696.0,43814.0
45360.0,,AGR 215-A001,Weed Management,4,1,1,4,10,2.0,43696.0,43814.0
ECONOMICS,,,,,,,,,,,
WELDING,,,,,,,,,,,
MATHEMATICS,,,,,,,,,,,
PHILOSOPHY,,,,,,,,,,,
EMS PARAMEDIC/ALLIED HEALTH Contact Jimmy VanCleve at 888-306-8015 or Kay Whittington at 270-686-4490 for further information.,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
ART ,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
44719.0,,12,46,7,7,30,9,6,2.0,43696.0,43814.0
AUTOMOTIVE TECHNOLOGY,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
SOCIOLOGY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
WELDING,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
RADIOGRAPHY,,,,,,,,,,,
RELIGIOUS STUDIES,,,,,,,,,,,
ENGLISH,,,,,,,,,,,
44557.0,7,ENG 101-A011,61,2,15,17,37,67,2.0,43696.0,43814.0
 ACCOUNTING ,,,,,,,,,,,
FRENCH LANGUAGE AND LITERATURE,,,,,,,,,,,
 ACCOUNTING ,,,,,,,,,,,
COMMUNICATIONS,,,,,,,,,,,
FIRST YEAR EXPERIENCE,,,,,,,,,,,
DIESEL TECHNOLOGY,,,,,,,,,,,
NURSING,,,,,,,,,,,
AIR CONDITIONING AND REFRIGERATION,,,,,,,,,,,
MEDICAL INFORMATION TECHNOLOGY,,,,,,,,,,,
CIS,,,,,,,,,,,
ENGINEERING TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
COOPERATIVE EDUCATION,,,,,,,,,,,
ELECTRICAL TECHNOLOGY,,,,,,,,,,,
WELDING,,,,,,,,,,,
CHEMISTRY,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
INTERDISCIPLINARY EARLY CHILDHOOD EDUCATION,,,,,,,,,,,
BIOLOGICAL SCIENCES,,,,,,,,,,,
HISTORY,,,,,,,,,,,
