cuisine_style,ranking,rating,reviews_number
Cafe,2099.0,4.0,41.0
 Mediterranean,2099.0,4.0,41.0
 Spanish,2099.0,4.0,41.0
 Vegetarian Friendly,2099.0,4.0,41.0
French,1049.0,4.5,281.0
 European,1049.0,4.5,281.0
 Vegetarian Friendly,1049.0,4.5,281.0
Chinese,1912.0,2.5,9.0
 Fast Food,1912.0,2.5,9.0
unknown,10151.0,4.0,5.0
French,9233.0,4.0,25.0
 Vietnamese,9233.0,4.0,25.0
Italian,280.0,4.0,257.0
 Pizza,280.0,4.0,257.0
 European,280.0,4.0,257.0
 Vegetarian Friendly,280.0,4.0,257.0
 Vegan Options,280.0,4.0,257.0
 Gluten Free Options,280.0,4.0,257.0
Steakhouse,156.0,4.5,482.0
 Latin,156.0,4.5,482.0
 Barbecue,156.0,4.5,482.0
 European,156.0,4.5,482.0
 Argentinean,156.0,4.5,482.0
 South American,156.0,4.5,482.0
 Vegetarian Friendly,156.0,4.5,482.0
Cafe,2628.0,4.5,4.0
Italian,1586.0,4.0,25.0
unknown,5513.0,4.5,6.0
Japanese,548.0,4.0,554.0
 Sushi,548.0,4.0,554.0
 Vegetarian Friendly,548.0,4.0,554.0
unknown,10034.0,4.5,2.0
unknown,8764.0,4.5,4.0
unknown,1622.0,4.0,2.0
Spanish,3663.0,4.0,26.0
Healthy,151.0,4.5,1317.0
 Mediterranean,151.0,4.5,1317.0
 Vegetarian Friendly,151.0,4.5,1317.0
Irish,53.0,4.5,1820.0
 Seafood,53.0,4.5,1820.0
 European,53.0,4.5,1820.0
 Soups,53.0,4.5,1820.0
 Vegetarian Friendly,53.0,4.5,1820.0
 Gluten Free Options,53.0,4.5,1820.0
unknown,1982.0,3.5,8.0
Japanese,534.0,4.0,1060.0
 Asian,534.0,4.0,1060.0
 Fusion,534.0,4.0,1060.0
 Vegetarian Friendly,534.0,4.0,1060.0
 Gluten Free Options,534.0,4.0,1060.0
Seafood,2069.0,4.0,112.0
 Mediterranean,2069.0,4.0,112.0
 Spanish,2069.0,4.0,112.0
unknown,8650.0,4.5,3.0
Chinese,2274.0,4.0,157.0
 Asian,2274.0,4.0,157.0
Italian,644.0,4.0,19.0
 Pizza,644.0,4.0,19.0
Swiss,855.0,4.5,12.0
 European,855.0,4.5,12.0
French,794.0,5.0,8.0
 Irish,794.0,5.0,8.0
 European,794.0,5.0,8.0
unknown,6032.0,2.5,2.0
Bar,7131.0,4.0,79.0
 International,7131.0,4.0,79.0
unknown,1250.0,5.0,3.0
European,888.0,4.5,66.0
 Portuguese,888.0,4.5,66.0
 Mediterranean,888.0,4.5,66.0
 Contemporary,888.0,4.5,66.0
 Wine Bar,888.0,4.5,66.0
 Vegetarian Friendly,888.0,4.5,66.0
Italian,775.0,4.0,138.0
 European,775.0,4.0,138.0
 Vegetarian Friendly,775.0,4.0,138.0
 Gluten Free Options,775.0,4.0,138.0
Spanish,6028.0,3.5,20.0
 Cafe,6028.0,3.5,20.0
Seafood,36.0,4.5,2340.0
 Mediterranean,36.0,4.5,2340.0
 European,36.0,4.5,2340.0
 Greek,36.0,4.5,2340.0
 Soups,36.0,4.5,2340.0
 Vegetarian Friendly,36.0,4.5,2340.0
 Vegan Options,36.0,4.5,2340.0
 Gluten Free Options,36.0,4.5,2340.0
Mexican,13825.0,3.5,28.0
 Fast Food,13825.0,3.5,28.0
 South American,13825.0,3.5,28.0
 Central American,13825.0,3.5,28.0
 Vegetarian Friendly,13825.0,3.5,28.0
Japanese,1013.0,3.0,19.0
 Sushi,1013.0,3.0,19.0
 Asian,1013.0,3.0,19.0
Italian,362.0,4.5,288.0
 Pizza,362.0,4.5,288.0
 Mediterranean,362.0,4.5,288.0
 Barbecue,362.0,4.5,288.0
 Grill,362.0,4.5,288.0
 Vegetarian Friendly,362.0,4.5,288.0
Sushi,3672.0,4.5,10.0
Mediterranean,2173.0,3.5,130.0
 Grill,2173.0,3.5,130.0
 Italian,2173.0,3.5,130.0
 German,2173.0,3.5,130.0
 European,2173.0,3.5,130.0
 Vegetarian Friendly,2173.0,3.5,130.0
Chinese,1463.0,3.5,283.0
 Japanese,1463.0,3.5,283.0
 Seafood,1463.0,3.5,283.0
 Sushi,1463.0,3.5,283.0
 Vegetarian Friendly,1463.0,3.5,283.0
unknown,1485.0,5.0,12.0
Italian,1370.0,3.5,25.0
Indian,9.0,4.5,956.0
 Asian,9.0,4.5,956.0
 Vegetarian Friendly,9.0,4.5,956.0
 Vegan Options,9.0,4.5,956.0
 Gluten Free Options,9.0,4.5,956.0
unknown,1019.0,4.5,45.0
unknown,500.0,4.5,45.0
Middle Eastern,1467.0,4.0,21.0
 Turkish,1467.0,4.0,21.0
Fast Food,7823.0,4.0,21.0
 Healthy,7823.0,4.0,21.0
South American,690.0,4.5,29.0
 Latin,690.0,4.5,29.0
 Central American,690.0,4.5,29.0
 Venezuelan,690.0,4.5,29.0
Pub,1728.0,2.0,26.0
 Bar,1728.0,2.0,26.0
French,3704.0,3.5,1135.0
 Seafood,3704.0,3.5,1135.0
 European,3704.0,3.5,1135.0
unknown,3419.0,3.5,27.0
Healthy,542.0,4.5,59.0
 Central European,542.0,4.5,59.0
 Vegetarian Friendly,542.0,4.5,59.0
Italian,1447.0,4.0,21.0
 Pizza,1447.0,4.0,21.0
Chinese,1842.0,4.5,17.0
Italian,2906.0,3.5,3.0
Mediterranean,2042.0,3.5,339.0
 Spanish,2042.0,3.5,339.0
 Vegetarian Friendly,2042.0,3.5,339.0
French,1410.0,5.0,NaN
 European,1410.0,5.0,NaN
 Hungarian,1410.0,5.0,NaN
French,198.0,4.0,370.0
 European,198.0,4.0,370.0
European,3345.0,3.5,3.0
 Portuguese,3345.0,3.5,3.0
European,1941.0,3.0,354.0
 French,1941.0,3.0,354.0
 Seafood,1941.0,3.0,354.0
unknown,2928.0,4.0,28.0
unknown,8247.0,2.5,25.0
Italian,2050.0,5.0,NaN
 Mediterranean,2050.0,5.0,NaN
German,4593.0,4.0,29.0
Chinese,4281.0,3.5,83.0
Italian,5298.0,4.0,9.0
French,6.0,4.5,1222.0
 Swiss,6.0,4.5,1222.0
 European,6.0,4.5,1222.0
 Vegetarian Friendly,6.0,4.5,1222.0
 Gluten Free Options,6.0,4.5,1222.0
Italian,6014.0,3.5,48.0
 Pizza,6014.0,3.5,48.0
Pizza,679.0,4.5,95.0
 Vegetarian Friendly,679.0,4.5,95.0
 Vegan Options,679.0,4.5,95.0
unknown,888.0,1.0,3.0
Indian,4634.0,4.0,62.0
 Middle Eastern,4634.0,4.0,62.0
 Pakistani,4634.0,4.0,62.0
Italian,3437.0,4.0,26.0
unknown,1490.0,5.0,2.0
unknown,11612.0,4.0,16.0
Italian,2771.0,3.5,346.0
 Pizza,2771.0,3.5,346.0
 Mediterranean,2771.0,3.5,346.0
 European,2771.0,3.5,346.0
 Vegetarian Friendly,2771.0,3.5,346.0
unknown,4119.0,3.5,30.0
Italian,200.0,4.0,211.0
 Mediterranean,200.0,4.0,211.0
 European,200.0,4.0,211.0
 Vegetarian Friendly,200.0,4.0,211.0
Italian,3016.0,3.0,1012.0
 Pizza,3016.0,3.0,1012.0
 Mediterranean,3016.0,3.0,1012.0
 European,3016.0,3.0,1012.0
 Vegetarian Friendly,3016.0,3.0,1012.0
 Gluten Free Options,3016.0,3.0,1012.0
Peruvian,1657.0,5.0,11.0
 Asian,1657.0,5.0,11.0
 South American,1657.0,5.0,11.0
Italian,2863.0,4.0,459.0
 Mediterranean,2863.0,4.0,459.0
 Vegetarian Friendly,2863.0,4.0,459.0
 Gluten Free Options,2863.0,4.0,459.0
Italian,2424.0,3.5,481.0
 Pizza,2424.0,3.5,481.0
 Mediterranean,2424.0,3.5,481.0
 European,2424.0,3.5,481.0
 Delicatessen,2424.0,3.5,481.0
 Vegetarian Friendly,2424.0,3.5,481.0
unknown,10345.0,3.5,6.0
Mediterranean,8456.0,2.5,566.0
 European,8456.0,2.5,566.0
 Spanish,8456.0,2.5,566.0
unknown,9011.0,4.5,2.0
Cafe,1252.0,4.5,15.0
Cafe,7473.0,4.0,28.0
Cafe,6592.0,4.5,29.0
 British,6592.0,4.5,29.0
Greek,874.0,3.0,3.0
Bar,271.0,4.0,85.0
 Polish,271.0,4.0,85.0
 European,271.0,4.0,85.0
 Eastern European,271.0,4.0,85.0
 Steakhouse,271.0,4.0,85.0
 Pub,271.0,4.0,85.0
 Vegetarian Friendly,271.0,4.0,85.0
Swedish,238.0,4.5,154.0
 Scandinavian,238.0,4.5,154.0
 Vegetarian Friendly,238.0,4.5,154.0
 Gluten Free Options,238.0,4.5,154.0
Spanish,4656.0,4.0,18.0
Italian,821.0,5.0,134.0
 Pizza,821.0,5.0,134.0
 Vegetarian Friendly,821.0,5.0,134.0
Asian,1725.0,4.0,3.0
 Tibetan,1725.0,4.0,3.0
 Nepali,1725.0,4.0,3.0
European,87.0,4.5,1256.0
 Wine Bar,87.0,4.5,1256.0
 Eastern European,87.0,4.5,1256.0
 Central European,87.0,4.5,1256.0
 Hungarian,87.0,4.5,1256.0
 Contemporary,87.0,4.5,1256.0
 Vegetarian Friendly,87.0,4.5,1256.0
 Gluten Free Options,87.0,4.5,1256.0
Italian,2045.0,4.5,89.0
 Mediterranean,2045.0,4.5,89.0
Italian,4158.0,4.0,182.0
unknown,14623.0,3.0,39.0
Italian,5081.0,3.5,32.0
 Seafood,5081.0,3.5,32.0
unknown,4506.0,4.0,57.0
Bar,8128.0,2.5,1768.0
 Mediterranean,8128.0,2.5,1768.0
 Spanish,8128.0,2.5,1768.0
Japanese,4436.0,4.5,19.0
 Sushi,4436.0,4.5,19.0
 Asian,4436.0,4.5,19.0
 Vegetarian Friendly,4436.0,4.5,19.0
Spanish,4112.0,5.0,2.0
European,747.0,4.5,42.0
 Vegetarian Friendly,747.0,4.5,42.0
Cafe,230.0,4.0,47.0
 Bar,230.0,4.0,47.0
 European,230.0,4.0,47.0
 Pub,230.0,4.0,47.0
 Vegetarian Friendly,230.0,4.0,47.0
 Gluten Free Options,230.0,4.0,47.0
Fast Food,811.0,4.5,79.0
 Barbecue,811.0,4.5,79.0
 Vietnamese,811.0,4.5,79.0
 Healthy,811.0,4.5,79.0
 Vegetarian Friendly,811.0,4.5,79.0
British,15007.0,3.0,85.0
 Bar,15007.0,3.0,85.0
 European,15007.0,3.0,85.0
unknown,5207.0,4.5,7.0
Chinese,4527.0,3.5,1352.0
 Asian,4527.0,3.5,1352.0
 Vegetarian Friendly,4527.0,3.5,1352.0
unknown,253.0,4.0,10.0
Asian,8995.0,4.5,9.0
 Korean,8995.0,4.5,9.0
unknown,1281.0,4.5,2.0
Steakhouse,771.0,5.0,3.0
 Southwestern,771.0,5.0,3.0
 Barbecue,771.0,5.0,3.0
 Grill,771.0,5.0,3.0
 Wine Bar,771.0,5.0,3.0
Cafe,2464.0,4.5,12.0
 Contemporary,2464.0,4.5,12.0
French,720.0,4.0,175.0
 German,720.0,4.0,175.0
 Vegetarian Friendly,720.0,4.0,175.0
unknown,1947.0,4.0,5.0
French,3503.0,5.0,2.0
 Cafe,3503.0,5.0,2.0
 International,3503.0,5.0,2.0
Indian,1143.0,4.5,28.0
 Vegetarian Friendly,1143.0,4.5,28.0
 Vegan Options,1143.0,4.5,28.0
European,319.0,4.5,88.0
 Healthy,319.0,4.5,88.0
 Vegetarian Friendly,319.0,4.5,88.0
 Vegan Options,319.0,4.5,88.0
 Gluten Free Options,319.0,4.5,88.0
unknown,1381.0,5.0,3.0
European,698.0,4.5,68.0
 Czech,698.0,4.5,68.0
 Central European,698.0,4.5,68.0
American,212.0,4.5,773.0
 Contemporary,212.0,4.5,773.0
 Vegetarian Friendly,212.0,4.5,773.0
unknown,8306.0,5.0,NaN
Italian,1540.0,4.5,4.0
 European,1540.0,4.5,4.0
unknown,11301.0,4.0,7.0
Seafood,250.0,3.5,101.0
 Mediterranean,250.0,3.5,101.0
 European,250.0,3.5,101.0
 Slovenian,250.0,3.5,101.0
 Vegetarian Friendly,250.0,3.5,101.0
French,1977.0,4.0,345.0
 European,1977.0,4.0,345.0
Italian,3234.0,3.5,209.0
 Mediterranean,3234.0,3.5,209.0
 Gluten Free Options,3234.0,3.5,209.0
American,3810.0,4.5,25.0
 Bar,3810.0,4.5,25.0
 Pub,3810.0,4.5,25.0
 Vegetarian Friendly,3810.0,4.5,25.0
 Vegan Options,3810.0,4.5,25.0
Italian,2045.0,3.5,5.0
Mediterranean,4074.0,3.5,26.0
Cafe,1859.0,3.5,4.0
 Contemporary,1859.0,3.5,4.0
Pizza,13860.0,3.5,32.0
 Italian,13860.0,3.5,32.0
 Vegetarian Friendly,13860.0,3.5,32.0
 Vegan Options,13860.0,3.5,32.0
Turkish,1778.0,4.5,11.0
Indian,483.0,4.0,36.0
 Middle Eastern,483.0,4.0,36.0
 Pakistani,483.0,4.0,36.0
unknown,5025.0,4.0,NaN
unknown,3556.0,2.5,19.0
Seafood,13573.0,3.5,6.0
Italian,3568.0,5.0,NaN
unknown,10675.0,4.0,7.0
unknown,2662.0,4.0,39.0
unknown,2684.0,4.0,5.0
unknown,2850.0,4.0,NaN
Italian,3054.0,4.0,177.0
 European,3054.0,4.0,177.0
 Mediterranean,3054.0,4.0,177.0
European,2140.0,5.0,2.0
 Portuguese,2140.0,5.0,2.0
Italian,530.0,4.5,233.0
 Pizza,530.0,4.5,233.0
 Seafood,530.0,4.5,233.0
 Mediterranean,530.0,4.5,233.0
 Barbecue,530.0,4.5,233.0
 Vegetarian Friendly,530.0,4.5,233.0
 Vegan Options,530.0,4.5,233.0
Balti,413.0,4.0,486.0
 Indian,413.0,4.0,486.0
 Asian,413.0,4.0,486.0
 Vegetarian Friendly,413.0,4.0,486.0
 Vegan Options,413.0,4.0,486.0
 Gluten Free Options,413.0,4.0,486.0
unknown,1153.0,4.5,143.0
European,9.0,4.5,816.0
 Central European,9.0,4.5,816.0
 Vegetarian Friendly,9.0,4.5,816.0
 Vegan Options,9.0,4.5,816.0
 Gluten Free Options,9.0,4.5,816.0
Japanese,7673.0,4.0,65.0
 Sushi,7673.0,4.0,65.0
 Asian,7673.0,4.0,65.0
Pizza,1526.0,3.5,3.0
 Fast Food,1526.0,3.5,3.0
 Greek,1526.0,3.5,3.0
 Street Food,1526.0,3.5,3.0
Italian,986.0,4.0,928.0
 Mediterranean,986.0,4.0,928.0
 European,986.0,4.0,928.0
 Vegetarian Friendly,986.0,4.0,928.0
 Vegan Options,986.0,4.0,928.0
 Gluten Free Options,986.0,4.0,928.0
Peruvian,637.0,4.0,23.0
 South American,637.0,4.0,23.0
 Vegetarian Friendly,637.0,4.0,23.0
Italian,2492.0,4.0,69.0
unknown,16046.0,2.0,NaN
Indian,1477.0,4.5,313.0
 Asian,1477.0,4.5,313.0
 Vegetarian Friendly,1477.0,4.5,313.0
 Gluten Free Options,1477.0,4.5,313.0
 Vegan Options,1477.0,4.5,313.0
Belgian,73.0,4.0,779.0
 European,73.0,4.0,779.0
 International,73.0,4.0,779.0
 Vegetarian Friendly,73.0,4.0,779.0
Spanish,8003.0,2.5,2.0
Italian,3033.0,4.5,4.0
 Seafood,3033.0,4.5,4.0
 Mediterranean,3033.0,4.5,4.0
 European,3033.0,4.5,4.0
 Healthy,3033.0,4.5,4.0
Asian,1812.0,4.0,68.0
 Vietnamese,1812.0,4.0,68.0
 Vegetarian Friendly,1812.0,4.0,68.0
 Vegan Options,1812.0,4.0,68.0
American,452.0,3.0,178.0
 Bar,452.0,3.0,178.0
 European,452.0,3.0,178.0
 Pub,452.0,3.0,178.0
 International,452.0,3.0,178.0
Seafood,305.0,4.5,70.0
 Mediterranean,305.0,4.5,70.0
 European,305.0,4.5,70.0
 Portuguese,305.0,4.5,70.0
 Soups,305.0,4.5,70.0
Mediterranean,1922.0,4.0,94.0
 Spanish,1922.0,4.0,94.0
 Vegetarian Friendly,1922.0,4.0,94.0
 Vegan Options,1922.0,4.0,94.0
unknown,942.0,3.0,25.0
Pizza,3023.0,4.5,42.0
Fast Food,717.0,5.0,9.0
 European,717.0,5.0,9.0
 Healthy,717.0,5.0,9.0
 Hungarian,717.0,5.0,9.0
 Vegetarian Friendly,717.0,5.0,9.0
Fast Food,8597.0,4.0,49.0
 Mexican,8597.0,4.0,49.0
Italian,14144.0,3.5,52.0
 Pizza,14144.0,3.5,52.0
 Vegetarian Friendly,14144.0,3.5,52.0
 Gluten Free Options,14144.0,3.5,52.0
Asian,2576.0,4.0,205.0
 Thai,2576.0,4.0,205.0
 Vegetarian Friendly,2576.0,4.0,205.0
Indian,10886.0,4.0,20.0
 Asian,10886.0,4.0,20.0
 Balti,10886.0,4.0,20.0
 Eastern European,10886.0,4.0,20.0
 Vegetarian Friendly,10886.0,4.0,20.0
Greek,1248.0,4.0,15.0
unknown,2275.0,4.5,2.0
French,13894.0,5.0,NaN
 Healthy,13894.0,5.0,NaN
 Delicatessen,13894.0,5.0,NaN
 Street Food,13894.0,5.0,NaN
Sushi,314.0,4.5,14.0
French,6383.0,4.0,35.0
unknown,2079.0,4.5,5.0
unknown,2620.0,4.0,2.0
unknown,1001.0,4.5,5.0
Mediterranean,2356.0,4.5,15.0
 European,2356.0,4.5,15.0
 Contemporary,2356.0,4.5,15.0
 Fusion,2356.0,4.5,15.0
 Diner,2356.0,4.5,15.0
Bar,4786.0,4.5,85.0
unknown,1012.0,4.5,9.0
Italian,12304.0,3.5,15.0
American,343.0,4.5,72.0
 Fast Food,343.0,4.5,72.0
 Diner,343.0,4.5,72.0
 Vegetarian Friendly,343.0,4.5,72.0
unknown,2948.0,4.0,6.0
Bar,4197.0,5.0,NaN
 Pub,4197.0,5.0,NaN
International,4923.0,4.5,3.0
Indian,3558.0,4.0,24.0
 Vegetarian Friendly,3558.0,4.0,24.0
Italian,1240.0,4.0,302.0
 Seafood,1240.0,4.0,302.0
 Mediterranean,1240.0,4.0,302.0
 Soups,1240.0,4.0,302.0
 Vegetarian Friendly,1240.0,4.0,302.0
 Gluten Free Options,1240.0,4.0,302.0
Argentinean,5043.0,4.5,39.0
 South American,5043.0,4.5,39.0
Mediterranean,3657.0,2.0,292.0
 European,3657.0,2.0,292.0
 Portuguese,3657.0,2.0,292.0
unknown,4601.0,4.0,NaN
Chinese,4714.0,3.5,376.0
 Japanese,4714.0,3.5,376.0
 Asian,4714.0,3.5,376.0
 Thai,4714.0,3.5,376.0
 Vegetarian Friendly,4714.0,3.5,376.0
 Vegan Options,4714.0,3.5,376.0
 Gluten Free Options,4714.0,3.5,376.0
European,21.0,4.5,956.0
 Central European,21.0,4.5,956.0
 Hungarian,21.0,4.5,956.0
 Vegetarian Friendly,21.0,4.5,956.0
 Vegan Options,21.0,4.5,956.0
 Gluten Free Options,21.0,4.5,956.0
Italian,4678.0,5.0,19.0
 Pizza,4678.0,5.0,19.0
 Mediterranean,4678.0,5.0,19.0
 Vegetarian Friendly,4678.0,5.0,19.0
 Vegan Options,4678.0,5.0,19.0
Italian,385.0,4.5,40.0
 Mediterranean,385.0,4.5,40.0
 European,385.0,4.5,40.0
 Vegetarian Friendly,385.0,4.5,40.0
Spanish,3583.0,5.0,9.0
unknown,5184.0,4.5,6.0
Greek,962.0,4.5,4.0
Japanese,1133.0,4.5,255.0
 Asian,1133.0,4.5,255.0
Sushi,5360.0,3.5,60.0
 Asian,5360.0,3.5,60.0
German,2963.0,3.5,59.0
 Cafe,2963.0,3.5,59.0
 European,2963.0,3.5,59.0
 Fusion,2963.0,3.5,59.0
 Mediterranean,2963.0,3.5,59.0
 Vegetarian Friendly,2963.0,3.5,59.0
 Vegan Options,2963.0,3.5,59.0
Asian,13084.0,4.0,3.0
European,2413.0,4.0,2.0
 Portuguese,2413.0,4.0,2.0
Indian,779.0,4.5,45.0
 Nepali,779.0,4.5,45.0
 Vegetarian Friendly,779.0,4.5,45.0
 Vegan Options,779.0,4.5,45.0
unknown,11434.0,4.0,15.0
Italian,1465.0,4.0,678.0
 Mediterranean,1465.0,4.0,678.0
 European,1465.0,4.0,678.0
 Vegetarian Friendly,1465.0,4.0,678.0
 Vegan Options,1465.0,4.0,678.0
 Gluten Free Options,1465.0,4.0,678.0
Italian,989.0,4.0,88.0
 Seafood,989.0,4.0,88.0
 Mediterranean,989.0,4.0,88.0
Bar,12705.0,3.0,121.0
 French,12705.0,3.0,121.0
 Pub,12705.0,3.0,121.0
American,1341.0,4.0,1495.0
 Bar,1341.0,4.0,1495.0
 Central American,1341.0,4.0,1495.0
 Vegetarian Friendly,1341.0,4.0,1495.0
 Gluten Free Options,1341.0,4.0,1495.0
Steakhouse,13705.0,3.5,5.0
unknown,2156.0,3.5,20.0
Spanish,2362.0,4.0,23.0
 Wine Bar,2362.0,4.0,23.0
Italian,129.0,4.5,183.0
 Mediterranean,129.0,4.5,183.0
 European,129.0,4.5,183.0
 Vegetarian Friendly,129.0,4.5,183.0
Italian,51.0,4.5,1068.0
 Street Food,51.0,4.5,1068.0
 Brew Pub,51.0,4.5,1068.0
French,12383.0,3.5,3.0
Mediterranean,6723.0,3.5,2.0
 European,6723.0,3.5,2.0
 Spanish,6723.0,3.5,2.0
Pizza,1116.0,4.5,87.0
 Vegetarian Friendly,1116.0,4.5,87.0
 Vegan Options,1116.0,4.5,87.0
unknown,7079.0,3.0,22.0
Caribbean,12055.0,4.0,2.0
Portuguese,7235.0,4.5,16.0
 Mediterranean,7235.0,4.5,16.0
 European,7235.0,4.5,16.0
unknown,3039.0,4.0,46.0
Asian,1256.0,3.5,45.0
 Vegetarian Friendly,1256.0,3.5,45.0
Asian,814.0,3.5,16.0
 Thai,814.0,3.5,16.0
 Vegetarian Friendly,814.0,3.5,16.0
European,1202.0,4.0,278.0
 British,1202.0,4.0,278.0
 Vegetarian Friendly,1202.0,4.0,278.0
 Gluten Free Options,1202.0,4.0,278.0
unknown,6117.0,4.0,5.0
Asian,13364.0,4.0,34.0
 Thai,13364.0,4.0,34.0
Austrian,774.0,4.0,67.0
 European,774.0,4.0,67.0
 Central European,774.0,4.0,67.0
 Vegetarian Friendly,774.0,4.0,67.0
Moroccan,962.0,4.0,64.0
 Mediterranean,962.0,4.0,64.0
Italian,1342.0,3.5,110.0
 Pizza,1342.0,3.5,110.0
 European,1342.0,3.5,110.0
 Vegetarian Friendly,1342.0,3.5,110.0
Seafood,6537.0,3.5,122.0
 Mediterranean,6537.0,3.5,122.0
 Spanish,6537.0,3.5,122.0
 European,6537.0,3.5,122.0
 Vegetarian Friendly,6537.0,3.5,122.0
unknown,4621.0,4.0,NaN
European,331.0,4.0,59.0
 Mediterranean,331.0,4.0,59.0
 Vegetarian Friendly,331.0,4.0,59.0
unknown,5058.0,3.5,4.0
unknown,3463.0,4.5,11.0
Chinese,1543.0,3.5,44.0
 Asian,1543.0,3.5,44.0
Bar,7047.0,4.0,97.0
 British,7047.0,4.0,97.0
 Pub,7047.0,4.0,97.0
 Vegetarian Friendly,7047.0,4.0,97.0
unknown,12091.0,3.5,15.0
Indian,3334.0,4.0,143.0
 Asian,3334.0,4.0,143.0
 Pakistani,3334.0,4.0,143.0
 Vegetarian Friendly,3334.0,4.0,143.0
 Halal,3334.0,4.0,143.0
unknown,8569.0,4.5,8.0
Bar,4374.0,4.5,87.0
 British,4374.0,4.5,87.0
 Pub,4374.0,4.5,87.0
 Vegetarian Friendly,4374.0,4.5,87.0
 Gluten Free Options,4374.0,4.5,87.0
Japanese,1542.0,4.5,17.0
 Sushi,1542.0,4.5,17.0
Japanese,3197.0,4.5,123.0
 Sushi,3197.0,4.5,123.0
 Asian,3197.0,4.5,123.0
 Vegetarian Friendly,3197.0,4.5,123.0
 Gluten Free Options,3197.0,4.5,123.0
Italian,1781.0,4.5,31.0
unknown,2736.0,4.5,13.0
Lebanese,32.0,4.5,548.0
 Mediterranean,32.0,4.5,548.0
 Middle Eastern,32.0,4.5,548.0
 Vegetarian Friendly,32.0,4.5,548.0
 Vegan Options,32.0,4.5,548.0
